url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/2016wspd/posts/2356371811117344","1569810000","【事故一瞬間：汽車違規篇】

 為了自己與用路人的安全💯💯💯
行駛在道路上一定要遵守交通安全的相關規定
才能避免發生交通事故

 人人守路權～交通更安全！

 https://youtu.be/WnrzcmeO2GM","1571578788","https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2FWnrzcmeO2GM&h=AT1FQkgKbo7nD3b3FxbagV1hWFzRW2d3eMbS4so0D9i2hFexRxq9DvVqKhagEez3LvKEWjWHYDHaDzobA8G_IPtta9IExO7weEV2PtqoKlhNXbubSZDvDPZ--QQBHIzvOqnjS10Z0KfIbd1M-9eCOHB8ATtjrj0NKpjyw58hDe5pBvSf_wQKPukF8V0y-xqUktrZzadeS5ZeQBBUat3CCt5eqi-Doo7tVG4O0NBteoEzOZd2NV6EQlxvf7BgekeX98YKpa7-XsBYc2sa5cFS0BxR1E6qxcdHJ9rS3EZpYcupuAZQwkzvd_rrNtjIl0p_G4nfTLCZkJmD-fSoopfOCthEFKAlEA4A1zXpjv49VcYh6ZmulY71DI0GTHqPbZAy6vFDQhJ_5gd1CoRsxZkevYDlbin3Uo6FmEsxL-sQcLOSJRXRQvyO_24jwtYvBHD7YNTjoyEHHJY-mZRBYI7uOVyXNjzyu3eT1Mb8z4qEygeIVgrdjI0Raenlv-gATB1rF_c2DEhtSCeaolMbu8SDyUKk5HL9LODYpJpwsBGe_H1XjNRdP--POhSdk1OsLNsR5sjZC-aAf8b2f94FUSaEFG1B3HNmbosjVCX6v59ia59s9_w3AXTmmTkFNLwr8CmRBHtguXul392YHlM-","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQBpIUbGhNExVApK&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FWnrzcmeO2GM%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQA8ySNZ5mm_OAI5","Keterangan foto tidak tersedia.","事故一瞬間：汽車違規篇","臺北市政府交通局為提升駕駛人防禦駕駛觀念，繼101年推出10篇直擊事故現場，今(102)年再製作5篇交通事故案例影片—事故一瞬間，藉由蒐集路上常見之危險行為以事故畫面輔以正確解說，提升駕駛人安全保護力。 這5篇「事故....."
"https://www.facebook.com/2016wspd/posts/2476330835788107","1571279040","https://www.facebook.com/jadtcpd110/posts/1709512385847764","1571578788","/jadtcpd110/photos/a.259219187543765/1709511075847895/?type=3&eid=ARBpJmdle60Ee2zvgBchIGc1nEPpEsKvE89gNwZpsBLa8yjhXe3nd6IQ7qsgFziXI5UfNfXtUVrVyT77&__xts__%5B0%5D=68.ARBD9E08GBD5WA8RD-Xlt-62yMNschHkw3xvfK5je_93eocttUhoSNpnoihG4H-t-PrxlHWX30Iw9oKss-AUpBRMP6xKODvS4BmxrXpA8HK68pHerRb6MF_d0kltSDSoIzjXssnN2GMDTnkzoMt9c4CzbmWasCgOFU2C1J7tphasiJ_qlKeP8LrGA0JtZFIHQvmEAAD2_EvUnD5zQzvUNC0a1Wsc3fCuZLa0Pv-Qksm3AIJalh_MVso6wjbjjP-dqOuWn-VVLyXjzovJdEJMs2vaml9Xx9fqo-DKFoFBHFuZW5O9q01bVrXkqeK7_awiiXmYOGPzYlElmjM-IbDUR376BNgPgKWSOayX8JqSnnxJxH-hCV-qkYeF8KQKO8AeSlurwgf9cxnFAj9ZlO5uxMOXrUqTFnXhS3SVvk3CxtW7TmPwwkpxNB7-TUsL7WhWPSUtkndVl_cd6Ki0fgvc6BCQmCEwAv3ywHVOhkP3tYdPnVMgHILHh07S&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/s526x296/70779754_1709511079181228_1475982648189911040_n.png?_nc_cat=101&_nc_oc=AQmaJvGGGDlXUvUrdclYfm2RwUy49lywJXVde5_ZL7V7TvEh5r1QwW-FkSMTmSgj5sI&_nc_ht=scontent-sin6-1.xx&oh=cd66d8f48770ca0ebde7431ac0364956&oe=5E60E7C1","undefined","少年花露米",""
"https://www.facebook.com/2016wspd/posts/2349749735112885","1567058400","【拒絕疲勞駕駛】

 如何避免疲勞駕駛🧐🧐🧐

 ✅在高速公路上，最好在1個半小時到2小時到就近的服務區休息。
✅駕車前一天要保持充足睡眠，可以嚼食口香糖或聽音樂等方式來提神。
✅許多車型都配有駕駛疲勞提醒系統，當系統出現警示時，表示駕駛需要停車休息。

 駕駛朋友請充分休息後再開車上路，切勿疲勞駕駛，以保障自己與他人的用路安全。💯💯💯","1571578789","/2016wspd/photos/a.994996627254876/2349749065112952/?type=3&eid=ARC6U-PH24wFOao_PXFN5hYXXamMuAW5zJ4JTa0j5A8TKSnMd1z1KggraMKbQIkKNbCXhWEAODo0Wg9w&__xts__%5B0%5D=68.ARD8SyKP9_vhMylA9sUN4mnX-NzY6AHfPdas3asOqe4K4NMXx-fXfkDRHnEjc-rvLsMJ5J2Ou_uOGU3b5DH6hB0_ronmMKfzROV2x9qT4vEjnZwhG06usjAj-j3jpJszjBBe2Il1lr2fyh0w8Zx0V2-uyKgso6OQKVIMDiaNVf80XPvHUPF6nrZt6B7SH6LmrWRfYsOCUPVdfUN-g0v8yQ0w7xknR6h9Rr1uT8uhqIMnoMBaKIDcH2BEKNszCXe-ameGMaZPOz_omE_56K0VBR3_8SCrcTkSZvh5PbDhoLpNxIy7oUzLqYBhHCWQ9sATUjKM4_VEbSwgZ6nIUgK8U9EcVA&__tn__=EEHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p526x296/67818131_2349749071779618_4049575752587280384_o.jpg?_nc_cat=102&_nc_oc=AQnJi9lQJ5NgS-S7XkE_PgsHO2s1wRPKKWXuZZr6MF-tZjQ7XYVvRwaWMbN8_blb3EA&_nc_ht=scontent-hkg3-1.xx&oh=fb7c2a15a71dd75da0e166b2e0883f9b&oe=5E60BAF3","undefined","",""
"https://www.facebook.com/2016wspd/posts/2442756252478899","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579218496,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/2016wspd/posts/2433570663397458","1568187494","",1579218497,"https://www.facebook.com/photo.php?fbid=2338095032953816&set=p.2338095032953816&type=3&eid=ARAGQdQzrgObqM41XeUmd44QvaDAatbDJcGMv_iSmKSjQL1ejBkF7zN0BR71LQUXy-XgI6EP9ymOBDWG","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/71012104_2338095039620482_7424768569423953920_o.jpg?_nc_cat=110&_nc_ohc=Tut88Jwr6IEAX8b7mqy&_nc_ht=scontent-sin2-2.xx&_nc_tp=1002&oh=f7852af4043c4f54a9b7c6511e434608&oe=5E9E7350",undefined,"",""
"https://www.facebook.com/2016wspd/posts/2356153794472479","1568430000","【三思而後騎】

 預測危險，避開危險
行車一路平安喔！！！

 請各位駕駛人起步時
務必先查看周遭行車狀況
再行緩速行駛喔👍👍👍

 https://youtu.be/xrl1L8ABMqM","1571578789","https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2Fxrl1L8ABMqM&h=AT0gwY38xggMebfj-zjSgCoDnAfUHA5NznR4NGEy0rLXaMU_wHtrHjWJPC-MhtEKee8Nz5IWkCS1405Vqq2HduVVnrSStkQr5aiN7lW9wkSM6muPlFmrPseYkCsAHeGpklTej002ByTamL3LRzKnDUj1fsJzs5DsNDdZOlgp85_vqvi2wfy4rmL_meqRsmtc-90h4WHpV-iSYB50oFVBQcABV99Y8WxANPMkTTm9M7APBtQ2WimTOy8i5TVQ1VxeYyA4fKyft-WJsHShcVuW82JmaPmtLOkILF55iT5z70vSc5AQC9f0RMEypet1_UDv8fRqD2oJ9T8UKS8OKhme9pb-1216Zwgc8bHS3WCHxkMBchklTvlyvxxa5DJehImaBI_iJphrcj51DCyRG99j7kVllaRufvMuylBpIDHFBGS0izroHTrrmVORelU-77LSeV50aPsvrS7VdCK7dTelUfgPhvxElZ0NqDHY1eYD9N281iWZwiF4rtTtwChK3ofFGJ8xmdq22xffZQJ9xFTMoExBOhwUtmiAQ_1KBJUHlRa_wX397P6ziLoqMctW7PWJcywNsKaOEpGLTAtzAZ2s5hRSiwyElsO3tY0Vic2Zt1gClAOMLTgLGL9h1Pc4WVFm_P-_J4rQLL-2JLpa","https://external.fpnh6-1.fna.fbcdn.net/safe_image.php?d=AQBouTFizYQIFnD5&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2Fxrl1L8ABMqM%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQA3dwQVHyv6PrCD","No photo description available.","三思而後騎",""
"https://www.facebook.com/2016wspd/posts/2444998028921388","1568727364","烏龍男騎錯機車！ 迅速歸還險成竊賊！
文山第二分局景美派出所日前於深夜時分許，一名神情慌張的劉姓男子急忙地跑到派出所，表示在景美夜市用餐後騎車返家，發現自己居然騎到別人的機車，當場嚇得急忙騎至派出所，請求警方協助。
擔服巡邏勤務警員尤嵩元獲報後，立馬了解原因。經了解案情後，發現男子騎錯機車的當晚，有兩輛同廠牌、款式和顏色相同的機車，剛好同一時間停在景美夜市同一條街上，直呼「機率就好像中了大樂透！」，唯一不同的是－車牌號碼。令警方與劉男驚訝的是，劉男的機車鑰匙竟然能發動另一輛機車！警員尤嵩元隨後立即查詢該機車並聯繫車主到派出所，劉男頻頻向車主表示歉意，並非故意騎別人的車，純屬一場誤會。經警方向其述說發生經過後，車主表示覺得不可思議，隨後警方陪同車主檢視及確認其機車無遭破壞之情形後，領回其機車。
文山第二分局呼籲，在外停車於駛離前，務必再三確認是否為自己所有之車輛，為避免發生類似情形，應確認車牌號碼是否正確，勿一昧只觀看車型外觀斷定，以免官司纏身，跳入黃河也洗不清。
相關連結：
華視新聞網 
https://ctsnews.page.link/1b4bN","1571578789","/2016wspd/photos/a.997524310335441/2444997862254738/?type=3&eid=ARAXWdf34EBTJP6uFQtfbt47uoTyF-f971ngZM47jL9z9HGSYzA-mmFAVQDEhZUnMH16vQD7S9tZKint&__xts__%5B0%5D=68.ARC3-4MZ-HbWeTFKtsKBq1q_HK4dVnuKf6eu0l_aeQpHMkvTZJNIN09K6j9cGnDBmUof183KrMSwgDKKnxDyHvUa_W2DEVGQvqim9bycjytYBb7ce9FnIvaAU3c_byV5r1UyaB4NjAs5jICOA39doee05nIhLNOdAxQZfc095FAnSAw4yzNMlEfRVOzWWRlE2e3CYL1Escf3ElOJGeyA0-yYMvqe4oLrpLHZQRJ2UgiGFClu3W3RcZ4UzOpQv4xo9qwZ3_h-HCFb0aDe1wkc8fGb6tIF9Oo9wT_-AD1xnddFog3D6U30WjhsWjr_6WdTS1behTNRCiNlTDVjHenrphBkdA&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/71274654_2444997865588071_1249992721888706560_n.jpg?_nc_cat=102&_nc_oc=AQk9qhfw80Q7eU6_hTe5G1yn7JT3BDArKK8MopjfkY6T-kAC8KXmKuLp1xnl0igmSdo&_nc_ht=scontent-sin6-1.xx&oh=d2005a163c1bcd6d65b0ea00d437c579&oe=5E5CF496","undefined","",""
"https://www.facebook.com/2016wspd/posts/2496990477055476","1571052398","","1571578790","/watch/?ref=external&v=500821804097778&__xts__%5B0%5D=68.ARABw7G4UZUp92B6nr4EokcSZUNb8ICpRr3xh9K5fY2Ad5DtRm35BlCzukB1fx6bJoFfZxEppMO7HheS8fHvYm-SEc-4ko1rsj0RcLVYIJKJSLPRH4JCJpQldtBC-ftIqQI7I_xPzMj4kZ6qsbsC8fvYBBjpxClYasVg691hWAwkHoNw6yzHOcj0i8UF1nevy8WJrwCqkpvf_paqDqhcQcqUNrIF8ALU_wbyEWFL1D_FmLBPlOrSJ3VMTGAPYEerZ5egYTR99efDh5FOn9DXFN5bkY6mrRQV28301-XK5CNBq8M4_shmEqXkmykx86_9nMXivKPd-o7aCrCuAcAijhh-AE75z5DZ8n1temWaHnAj09FHJvRiB7KB0FnfOecp8WDbE_mDHa3BOAc9FbzPlycm7on5r80SAr1_3naTCbwJv0mhMRwLjJyEJw5o3d8IQ0-NNP8Qs2yaEWNb0i9h8NiboQ4tRRF0SW_kLw6MHBhOdR4Hm0Wnl3qin2so5JE5ng&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/70068488_500830310763594_7650503202869084160_n.jpg?_nc_cat=101&_nc_oc=AQmG588bib6i42Ky4GmoC2IUlVnjWrib8zKR86K0GtaJH-1JMTo-SGK5PcT3NzPdUgc&_nc_ht=scontent-sin2-2.xx&oh=8c752f81bfa55b4e29c0b84548795fe7&oe=5E2129BC","undefined","【刑事Bear的日常】第三集 聽李博士上課","Posted by CIB局長室"
"https://www.facebook.com/2016wspd/posts/2435447476543110","1568279163","禮讓行人路口淨空、交通安全你我做起

 
有鑒於交通事故發生及壅塞，均以未禮讓行人及未保持路口淨空有關，文山第二分局於今(12)日協同交通義勇警察大隊文山第二中隊，在轄區交通流量較大之福和橋頭舉牌宣導『禮讓行人保持路口淨空』，盼汽、機車駕駛人行經路口時特別注意禮讓行人，並保持路口淨空，增進行車順暢，降低交通事故發生。
經分析行人行經行人穿越道過道路時，遭車輛撞及的交通事故，原因都是車輛行經路口未減速、疏於注意，到達行人穿越道時不禮讓行人所引起，依交通法規規定，只要行人徒步走在行人穿越道，車輛就應該禮讓。
正確的「路口淨空」觀念，即車輛行至有號誌之交岔路口，遇有前行或轉彎之車道交通壅塞，應於停止線後方稍待，不可逕行駛入交岔路口內，致號誌轉換後車輛仍未能通過，停留在路口或行人穿越道上，影響橫向的車流或行人無法通行。
文山第二分局呼籲駕駛朋友確實遵守行車規定，保持路口淨空，行經路口應確實減速慢行才能確保交通安全，如遇行人穿越道有行人通行時，請確實禮讓行人優先通行，並請駕駛朋友行經路口遇車流壅塞或行人通行狀況時，應發揮耐心及同理心，共同維護道路交通安全秩序與順暢，構建「以人為本」的交通環境。","1571578790","/2016wspd/photos/pcb.2435447476543110/2435447416543116/?type=3&__tn__=HH-R&eid=ARCO1DpHPal8pS-SnBSHvn3VOy2Kxj9ULBeLbYpKp7DyTL324OKvbxiL6kdc4vja-_aVqma5eJH5wrjb&__xts__%5B0%5D=68.ARCD2loLxlrm3iLl6qxvAQe8bBeziCBZNswJujjJq05t6vjsTJ6rOYkWuBIRsqcjToVO2XMMt-EM7UEOOjP7Q_Nm8sTKa9Rd5WmAmQyqC6Y3f8UfxkkFJVIBLcarUttPVO70-Bl7IrDIP-w4Z4sSFK6c7qivzst4BE86sleZ2Db-f-nrpGYkbm26Dk1E4ilzCaDX0pWwDHyyE_fTVs8p7fX0dIq6RdJ89ApcXltN1H_3BORCL38oLbBhhi-BvsiIuyOAAwXhloZvLEhS7zsh09odoH9hd-H25hTKRgJhJgt3bu1ZGrF9yux_W-ydoZ7KIR20fj-ESdBEBMidDkqsmIv_nw","https://scontent.fhan1-1.fna.fbcdn.net/v/t1.0-0/p526x296/69829594_2435447419876449_8190382657855553536_n.jpg?_nc_cat=102&_nc_oc=AQnQkOlB3rL7mhXqaAZb2BEz8f-AN-DezalLwTTfWVBJhFEt8y65BUQDkhOyYZ_TBew&_nc_ht=scontent.fhan1-1.fna&oh=bc6818ff5b29cc47df1ae75994bcc4c8&oe=5E1790FD","undefined","",""
"https://www.facebook.com/2016wspd/posts/2476469319107592","1570162562","電動自行車10/1新法上路，文二分局在此提醒大家新法重點，把交通法規落實到生活中，也別忘記提醒身邊親友要多注意喔！","1571578790","/168motc/photos/a.299999196750029/2548736208542972/?type=3&eid=ARByFn6XFMM05I14ZjM-IeUfYiEcTS-nXAzBJCxYk5ulg2WBhlKNy1NgSZwfS3e4vTuCyiVR7n8s4Lcz&__xts__%5B0%5D=68.ARAwsE1SCTW08qmOwtGfGF1pVJuQvQ2a2GuAfaPeN2CEDUaMGwnSnqIEiVzdkclPW2Nc_LrV0WLaAHnh6Zv3ayasw5k59VcKUIvMRJ84uFIoMmr9NH-gJnj0zzD0k48Zvu6oj9_zbUc0Ukqk0kzDDonaHRRV4I_GQuqB33FN33Cjbw2deLkbyRqyv0MdUEcxmjpvovMbm0q6528cMrN4tvM6I_3sWI_u-3tnsMkbnWZejQ8SArYRB3g4aK0DoZbowzLxyWRv_PTboc5gxNyfqJBW95LTt2RNR4R_FsbfiAWF51vPU_qALqgNVg4UV8nA4sDVr_q7QI5HQwCpMNNQY7Pq0GxYorvNV7wmggPh2XsSS-ui6cxbB3WBtjvDC4aG6SJu6P2Nh5H9sFC-DYEbiMfjCYjT_j8WHMiT4eWWKiV3buaaL3o9Meh4mrOgb7i8Bifykb8sI_Ui-gRoMjHGR5FREHoX8dNOZPPBNMC4iQJY86F6JKQ9gJIb&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/71492272_2548736211876305_2180460497093001216_o.jpg?_nc_cat=110&_nc_oc=AQk8nDeT0edK3pPgvB-8KE-TIppTk8hEGNp5Q0zjljqAui6QTeblndjO-PqkNGVG7BQ&_nc_ht=scontent-sin2-2.xx&oh=6a6a291e57c169e0933b9d95c03a54b7&oe=5E1B8EC6","undefined","交通安全熊平安",""
