url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/permalink.php?story_fbid=485922648893575&id=373853160100525","1565502496","經營的模式",1579271341,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/permalink.php?story_fbid=524652728353900&id=373853160100525","1570510520","十月的第一週，本該是輪到我顧店，但台南正興街那邊，正緊鑼密鼓的籌備一場地方音樂季，活動時間就在10/5，內心躊躇了一下，決定請假一週，上一任店長怡芳得知此事，非常樂意延續一週，解我一燃眉之急，非常感謝。

 
前天完成正興街活動收尾，昨日便抵達長濱，與怡芳在哈地喇用餐，分享些彼此近日生活，我們有共同好友，甚至其中還有正興街昔日的咖啡館好友，但到時第一次這樣坐下來長聊，快吃完時，在書粥門口擺攤的
 找嘎妞 老闆嘎妞也來了。

 
最近隔壁鄰居在整理房子，拋出許多要淘汰的傢俱，怡芳與我都有路邊撿拾堪用傢俱的習慣，日前她就撿了些回書店放，今天我再撿一個竹籃子與折疊桌，我在台南的家裡，50%的傢俱都是撿來的，還有些是朋友給的，但還真都很好用，路邊採集的樂趣非常多，也能第一線感受到地球資源的過盛。

 
怡芳原訂昨日離開，但依依不捨，在門口與嘎妞聊天喝咖啡，坐在撿來的汽車座椅上，分享附近阿嬤也會在這乘涼的經驗，還手牽手把另一個阿美族阿嬤帶來店裡坐，阿嬤一直說很多感謝的話，還說「一千萬都買不到...」，不知道買不到什麼，但大概明白她的意思。晚上我們去休息好一陣子的馨家小廚吃飯，邊吃邊聊邊笑，還有超厲害的花枝排與巨大葡萄
🍇，晚餐默默被隔壁桌的花店老闆請客了，謝謝。

 
昨晚住嘎妞家的怡芳，剛剛傳來訊息，她打算徒步至寧埔，用最慢的速度離開長濱，以赤腳徒步說要接地氣的照片，讓人有點擔心會不會燙傷，總而言之，是被這塊土地與風景黏住了，應該沒多久又會再來吧！

 
新任店長邦邦剛剛抵達了，下午要來串門子的美濃朋友也來了，關山朋友等等會來會合，另外，台南朋友寄了一堆東西要給另一個台南朋友，結果寄錯到書店來，傳訊息告知，索性將錯就錯，請我們分送給長濱朋友。

 好像，某種能量正要舒展，感謝萬能的天神。",1579271341,"/373853160100525/photos/pcb.524652728353900/524648661687640/?type=3&__tn__=HH-R&eid=ARC-1BD9ynD_j8Qrz8x51KDftZfQ2jqOXkcbxhx2SKhx75WHDNNEgddaZdO8CJe3llaLM7v56CMw7tee&__xts__%5B0%5D=68.ARAVe8Wc__OVZpGircZYPLwQU0b1lOAmr7zFJtFSx0JTShH91mu7c747xsMp7hQAowqySR0pp8bd1xTvfoUip08J5dmtKtP4KCwr3XBNAQYUG4oDaDsV3RpcgBctz-9XBIARbK1f5MFuX5U1_x79NQerN5nCugHNFHw--BVb4vrySnOCYhhKO_vxM5CqGH-sfEeFg35jnyWii9mOcry12snig5mO3GCC8sdSkiPb-z9B4Mb9tOMjrBtcs2PsYaaeuvfkoliTwk2oqmZT01nfgVm-bYVxHmmOo3nVPPfhGHbxtHKNTzEx8PtexSqXt1RZSPuhmGqBxCwzhqz2ZPt0SS4","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/71847837_524648665020973_5851532013223280640_n.jpg?_nc_cat=103&_nc_ohc=fJ6WseaAhHIAX8sULxP&_nc_ht=scontent-sin2-2.xx&_nc_tp=1002&oh=3b3c2f7d3d9354723c39445ab1153547&oe=5EDA5A6D",undefined,"",""
"https://www.facebook.com/permalink.php?story_fbid=527518964733943&id=373853160100525","1570851332","若你最近發現書店到夜裡八九點還開著，成為街上除了星星之外罕見的亮點。那是因為現任的店長邦邦，還在跟朋友聊天或是自己在裡面看書，我也覺得很奇怪，為何她不準時七點打烊休息，不過也可能這樣的狀態，對她來說就是休息。

 
邦邦之前是婚禮顧問，似乎對占卜有些熱情，所以推出顧店期間買書可以幫你占卜，有時候她在幫人占卜時，會有一個女生代班顧店，那是最近在徒步環島旅行的剛畢業的大學生，他說這趟徒步環島「在尋找某些東西」，用最慢的速度去遇見人事物，在長濱被黏住，停留幾天，有時候在小屋子有時候在書粥。

 
眼前的風景有沒有答案呢？昨天我跟她聊天時，突然不知道怎樣的有點感觸的倚老賣老的跟她說，「世間上的事情不見得有答案，或許就是在練習面對無解時如何自處，練習明白很多事情是無法理順的，但我們就身在其中。」，在那麼多價值觀的環境裡建構自己的世界，找尋生活的意義。

 接下來要往哪去，書店或旅人各自有各自的旅途。

 (連續假期突然詩意起來還滿好的，靜靜的在朋友家的窗邊回味不久前的過去)",1579271343,"/373853160100525/photos/a.374404886712019/527512138067959/?type=3&eid=ARAvlGwO9Z2udpaiOEjvvXHnmNi8KjgXjQq8QK9uvN3gYOTvt8xpCnCaqwYc4vION8rrcCN6QEDVmXMj&__xts__%5B0%5D=68.ARDLmOvScC6hUvbCGY-8nE93ijhYSa0rv5b_2N79QFhIeQI_xXV43OjgU2byPUoazRWOaj6zBlel69raqp9e0mtnFM9AnJva83JIa5jJ94uWqe7pycBNgqFYMGlmh5oOSMhQCWVoYTm9j2VSJAj4srqgzvaywK0JSrz5SozZCkrEFO9E-5v9OTT3A4kWfDQixKtynHtEyGdDFi1KQuaUOsrDkafYqlix0t0WZz6KxSkv6NfW3oYW654x4xoUz9vovx0QHBdNbupn9TXQSj4aa6nG8c2hN8kb01gKUX6w5CI3TjJfDU4esoTSY2Y89frFt9QcnZT6_q4Mw70ih4kWeQk&__tn__=EHH-R","https://scontent.fspd1-1.fna.fbcdn.net/v/t1.0-0/p526x296/72418828_527512144734625_5866141271466180608_o.jpg?_nc_cat=103&_nc_ohc=mAajqGC1CCEAX_zG8aG&_nc_ht=scontent.fspd1-1.fna&_nc_tp=1002&oh=9b472260fb8cd59f5fe40415d1025614&oe=5E9CA1B8",undefined,"",""
"https://www.facebook.com/permalink.php?story_fbid=466411607511346&id=373853160100525","1562765400","昨天上架的書當中，有一本很喜歡的書。

 就像有時候，喜歡一個人卻說不出喜歡的原因；對這本書的感覺也是。好吧，書或許還是可以列舉出原因，然而好書有種特質，每位讀者都能得到自己的共鳴點。

 上架前原以為是國外藝術家的書，細讀才知原來是高雄長大、唸師大美術系的台灣在地插畫家 61Chi Art 的作品。

 這本書的編輯方式在國內出版品中是很特別的存在；並非一般的作品集結畫冊，圖文間充滿故事性；但也沒有刻意的抒情文案，讀來每頁都是懇切的心情。

 特別喜歡它的用紙、印刷和編排，每個跨頁都有呼吸的空間，可以感受到繪者心中的世界。這大概是實體書與數位版本最大的不同。

 很值得珍藏的書。書裡還附贈一張精美的藏書票。

 書粥有售，目前只有一本。歡迎來認識一位有實力的台灣插畫家。

 *《南方小鎮時光》，61Chi 著， 大辣粉絲團dala pub

 #代班店長可能早上就會開門營業",1579271356,"/373853160100525/photos/pcb.466411607511346/466399717512535/?type=3&__tn__=HH-R&eid=ARCb1i7I9OdU9eevXlTHM0w1rHCCdNHTsCAcPdmokMzpsXj17uTtXXHDum5dsJsdStWWmtf20Q7bNeQV&__xts__%5B0%5D=68.ARB0MczJff93AK10M3jfzuvlLZsb_9s4rBdTQDRlQofloNvq5d1xH8IcNCu4eB3wJHOB5STJVz_3Vr2nltC_NaQET6AzrgZRC9EsSiPujEKzGjIe44SImFHi4r89rp8hwPgP3oi5-JKvVgS5U4ynNE0pKGwTb-dUS791N-OHEgY41ITowiHUGUacWiR_NbXzYUcZLH9BZNDMuVEqVLTo3KVEWsKGKC_ojCo6R9WP_4ag02GABTw6u6LHhdyP0RkFyglOmGQDykdBJGsnJyaDHt_GpxcaeSfMu7p9uUslZJ1OmFs1coez5iRGFGAUvIgptxyEtxXgw6LtIEbhYJjrq8M","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p403x403/66713824_466399724179201_7897885278939906048_o.jpg?_nc_cat=108&_nc_ohc=rUIvXiqB8AQAX9Rhv4Z&_nc_ht=scontent-sin6-1.xx&_nc_tp=1002&oh=3186fa56a0a075e1e60f2cebfc362a30&oe=5EA3C912",undefined,"",""
"https://www.facebook.com/permalink.php?story_fbid=499319177553922&id=373853160100525","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579271344,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/permalink.php?story_fbid=406731270146047&id=373853160100525","1554191993","昨夜抵達長濱，換我接力顧店了。首先，把書牆整理一番，上架些新書，安頓安頓後，去村裏繞繞，今天起至4/10在書店掌櫃為大家服務。

 今天早上寫了新書推薦板書，經由村民們的建議，最近多了些餐飲食譜、旅遊及地方書籍，街上知名飲食店長濱100老闆娘說想看台灣及原住民歷史相關的書，也陸續來了。

 同時，也順利的把房租交給房東了，總而言之，三月過去了，四月來了，每位換宿店長都受到村民善良的對待，經常被帶出場吃飯看星星之類的，實在感謝。

 街區沒什麼太劇烈的變化。倒是很照顧書店一切的附近鄰居 #小屋子 
，四月起轉變為誠實商店的型態，目前有些新鮮出爐的甜點麵包，可以自己拿自己付錢，付錢的地方相當不明顯，請大家務必細心留意，不容錯過。

 中午已經去買了麵包與司康回來吃，麵包很好吃，司康給來訪的朋友吃也受到讚美，剛再去買時竟然只剩兩個，被我掃檯了，很抱歉。

 剛寫完PO文，聽到垃圾車的聲音，衝出門去確認有沒有回收車時，一輛轎車經過，開車的人是附近學校的老師，從車窗跟我打招呼，說「ㄟ你回來啦～」，感覺真好～

 那我就，繼續顧店了，謝謝～","1571311783","/373853160100525/photos/pcb.406731270146047/406726503479857/?type=3&__tn__=HH-R&eid=ARBK-mN8_XnrSBOVodihJjZdo-kMKGAy5_w4G9lFvy2ldwdGHRa0AWzHwGpX2N42clqR203acMLsm0uP&__xts__%5B0%5D=68.ARD1D1b4rc17kf7sjnaK9YSxJHi9iK5__1drQXjVUqjrmGkFIo4cAGch2WMKb3vbeBNKUBg2MMU3TeFpFRB32szbhblcTqsakI_UX6_N8frDe8IlNQKAX5Jg0TDydmaOy8TnQ1fhihPgy9Qv2J_4NvQ07_DpBAMhe312f2Stoplr9ik2bNFxin1OIeTDEXyVWEPB0w81ITGkjQm7SjePOA8l41IsOIVy1B2ovb6Pt5RLS3vt-VpJNnMe8OYtPrFqGfpDjEofnChzax-XDIYdaiCssnwt8pW31boDOVTXIekNjIdcw8qdUpfKYkUNMWBAVr3cEu32uEM6HhXhMDe1Je8","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p403x403/56352722_406726506813190_7358637605052743680_n.jpg?_nc_cat=101&_nc_oc=AQkMdUZv2exAOhkB030F2ZzgfHAMwLnov7VmfZmCrMLJZ5P57H1mZhbpmjfTWtXqYnk&_nc_ht=scontent-sin2-2.xx&oh=8f5b4a54e460c97864988b2cdb72a6b5&oe=5E29819A","undefined","",""
"https://www.facebook.com/permalink.php?story_fbid=466376590848181&id=373853160100525","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579271347,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/permalink.php?story_fbid=483151985837308&id=373853160100525&__tn__=-R","1565106998","顧了幾天店，在店內賣了些書也看了些書，在店外看了山與雲，海與石頭，螃蟹與鳳蝶。一日一日，人來人往，更深刻的體會一個島國，一個親海親山之城的豐盛與自由。

 
每次剛來時，先像個久違的旅人，細細觀察一下店裡歷經不同店長後的痕跡，感受那些曾經發生在店裏的互動，經常有許多驚喜，慢慢吸收，然後轉化，或增或減，再揉合成一個樣貌繼續。

 
最近的旅人中，有幾位待在長濱的人，每天都來，串門子閒聊，偶爾在其他地方也會遇到，村裏就那幾個地方，相遇的機會很高，今天就巧遇摩托車店的大哥三次，瓦斯行的大哥兩次。

 中午過後，台南的朋友一夥人來了，車上載著一位讀美國學校的高二生，要在我顧店的期間擔任臨時代理店長，是一位生活安穩，尚未有什麼機會好好碰撞世界的內向女生。

 
晚上一夥人去看星星時，順便看了幾顆流星，順便她也在流星下，內向的提出一個主意，她在顧店期間，可以教小朋友英文，那麼短的時間，我想或許就來個對話練習之類的，她說這是她僅有的技能。

 
不過，我想，有沒有什麼技能並不需要特別去在意，有時候遇到了就會長出來了，況且，畢竟也才高二啊～～倒是今天在短暫的接觸與互動時發現，她滿喜歡讀書的，「苦雨之地」「閃亮共和國」...都看過，還隨身帶了書來看，還問我下班後還可以看店裡的書嗎？這樣子，待在書店還滿適合的。

 
總而言之，看完星星回來街上，另一個台南朋友突然出現，這位在台南大菜市賣杏仁茶的仁兄，一時興起，打算24小時騎摩托車環島，即刻啟程，來到長濱，大家寒暄給力一下，他就繼續出發了，實在佩服。

 台灣的多采多姿與島民的爆發力如此這般，聽說最近GDP還整個衝上亞洲四小龍之冠，我們應該要對自己再有信心一點才是。",1579271345,"/373853160100525/photos/pcb.483151985837308/483133922505781/?type=3&__tn__=HH-R&eid=ARBZmsn5zh2AJ-92NhPnWDozNchKej3kr-b8Qy72IFw7VT9iFWoCMTUWfIgnOg-ANZOKRl-dSyHVOQ7r&__xts__%5B0%5D=68.ARB_YeO-4eT2aCqd6im0I7XDyCYcbMFSActx0BYGVtfz4I8SL6ruQ98qajMB_h2-Ser6CGg5iWC9EEwerjDwqHS4dloqMT4tyFNZArfyS4UgBUl_s3znmlY5tauXhUn-xa4PDt7lfrQIU45KX8cVnWKEMa_oI-zQ-bg7Vip-9AmvE4sIaIWXpMLv98vEwZXJuCduRxS9x2UW9b7HZUupZl-M2iKCjVmcIhRAcdfVS6IfsT1cha9JZyUr3uPdIhey6G97tGx8HoN5ipp5iVtEeo74Ja8mRszX1Ldy7WfHJI6q4COrj19tHT8_l5WYd7EsR9We0KODN1F1rKy46hT5qRc","https://scontent.fbkk6-2.fna.fbcdn.net/v/t1.0-0/p526x296/67584242_483133925839114_1092282467672391680_n.jpg?_nc_cat=107&_nc_ohc=moseU58mKjoAX_0ZR66&_nc_ht=scontent.fbkk6-2.fna&_nc_tp=1002&oh=6a48fd6a304a8ee18b6c3bd2f8d8deb0&oe=5EA69596",undefined,"+11",""
"https://www.facebook.com/permalink.php?story_fbid=438510250301482&id=373853160100525","1558939314","長濱生活一下子要交班了，原本接下來的那位有藝術性及靈氣的接班人，因為我們彼此時間沒喬好，中間有一天半的空檔，而我又必須回台南忙些事，於是...消防隊旁賣誠實甜點的小屋子女主人以及長濱國小對面賣花及菜苗的老闆，會來接力幫忙顧店。前幾天附近食堂老闆聽聞此事，戲謔地說，給菜苗老闆顧店的話，書店恐怕會不保，為了破除這個擔憂，請大家來跟他們買書，確保他們的人氣不需要擔心，好嗎？

 
書店經營了三個多月了，甜蜜期似乎是逐漸過了，慢慢回到了很日常的節奏，前兩天週末時光，我充分的擁有許多看書的時間，坐在店裡舒適的沙發，讀了「我跟地球掰掰了-超有事滅絕動物圖鑑」，在詼諧的圖文書中，很羞赧的不斷發現許多怪奇可愛神秘的動物滅絕事件，都跟人類有關；又稍微讀了一下「人類大命運」，從很多特別的視角，幽默又宏觀的探討人類發展；再翻了「60歲，最年輕的老人」，讀了「侘寂」，夜裡則從「瀨戶與內海」這本漫畫裡的各種段子找樂趣。(超好笑的)

 顧店之外，還利用上午尚未開店前的時間，去了趟石梯坪，參與Idang 依浪 
舉辦的研習營，學習獨木舟自救與基本技巧，下午的淨灘與浮潛探索我就翹課，回長濱顧店了，這算是史上最遺憾的一次翹課了吧，不過聽Candy教練說他們六月還會繼續開課，請大家追蹤他們的粉絲頁。

 謝謝這幾天來書店光顧的各位，甚至有再度從台南衝來的書店同業 林擒二手書室 還買了「山之生」成為昨天打烊前第二個客人，整個帥氣的注入了一劑強心針！

 
今天早上去八仙洞給鄰居阿嬤探班，她在那邊擺攤二十幾年了，聽說沒什麼客人但左鄰右攤經常會下午茶聚會喇賽，已經不再只是生意工作，早形成了她的生活型態。在農會買的她愛喝的海尼根作為伴手禮，果然讓她相當的開心~
 

 
早上早餐店了老闆娘開玩笑說我是來度假的，確實也有點像，但並不是說口袋有錢所以可以這樣子，實際上還是得到處工作維持生計，相較於錢，我有的比較多的是時間與健康，以及長年累積的經驗與社會資源，不太想等生計什麼的都顧到了再來思考理想性的東西，就比較貪心的想讓自己還有餘力去體會生活時好好的享受，自然是得犧牲掉一些機會，不過得到的也就是這樣的生活。

 開店不容易，賣書不容易，生活不容易，所以我們至少要讓日子好過一點，放掉一些取得一些，努力地找尋平衡，不要失去自己。

 準備回台南工作了，話突然有點多了，不好意思，下次見，除了客人們，也謝謝讓這一切繼續的店長們。","1571311783","/373853160100525/photos/pcb.438510250301482/438493273636513/?type=3&__tn__=HH-R&eid=ARCvDhNcEaeXPBbIFEmvYnMZNch2aGa2b2i7CJ5u1Z1dSao1kww-aXoifppTrhqXiYYhYs3zwPsu3af9&__xts__%5B0%5D=68.ARA2Lfb2cFPgMCDqbLvMasXYk6Ps1nA17Pig-d6EwkJIsYjgeAeJJH-0cJvCt350B_dnk3P7vB0haYhdBt6MIWN8gG1MZIs9XVd6yh6XGCnUQSX_9Vq8unyOmnTn2prHA6TGshHNpuslWd564r6e7h3S4INQhMm56Bcwjt8yiJsK9nZ5MtVrWAtKaJia7bg-DkGf3043e5q3Ivi1etS_4c3M45OU-wGq22BjuxUFDOnmWieLgfK57AKBy0cZMLBDP2h2_jqtfrfdd7lws4z2VsB7WWmskerTQtAGSPK3ZE1TFGAidiDyl4SDEpQ_SUVIvu_0pzAIRVEyiv3FdgGLP70","https://scontent-syd2-1.xx.fbcdn.net/v/t1.0-0/p526x296/61187907_438493276969846_105304033933131776_n.jpg?_nc_cat=103&_nc_oc=AQnEno365tOskZGp3LljAN8we8fjnh2MzdI28NG45on3e8o8EthgzzThYqQLqAP9pKY&_nc_ht=scontent-syd2-1.xx&oh=4d66d8b1e3df2460aafa886e650359d5&oe=5E2AEC00","undefined","",""
"https://www.facebook.com/permalink.php?story_fbid=398289940990180&id=373853160100525&__tn__=-R","1552829316","繼正興咖啡館的店長小碧後，接著換宿顧店的是林百貨行銷小當家芃芃，這是她人生中第一次當櫃姐，就請假開車到遙遠的長濱。

 
昨天剛到，仍在慢慢適應中，同樣來自台南的茶詩人奉茶葉東泰大哥一早翩翩來訪，帶著茶具與茶探望櫃姐；台南的剪紙藝術家阿貴前幾天也結伴台東有人在家闆娘小官而來；再前幾天正興街布萊恩紅茶的小當家J亦旅行前往，三月真可以說是台南月。

 
本週櫃姐芃芃顧店期間，會幫買書的人免費似顏繪，認識她幾年沒想到她這第二專長那麼厲害，謝謝她在書店分享這個禮物，照片右下是書店隔壁鄰居阿嬤，也來給畫一下，相當可愛，阿嬤平時在八仙洞擺攤，若日後大家來訪書店，可以嘗試規劃書店下一站到八仙洞探訪她，陪她泡茶聊天。","1571311783","/373853160100525/photos/pcb.398289940990180/398282207657620/?type=3&__tn__=HH-R&eid=ARAaohtGSz8wXSfDyPHwMebZdAfVJwcLyiSjBST2Q6icnFlTdYhEaTk5-y-6cjZD2dGTf9TuSKhk1-hK&__xts__%5B0%5D=68.ARCB2NyKk7-phn3rUZB56h-yivx9Z_B3lAA3hOoSyJto8wJtYAs2mmOp8yT4sP5L3eyAV1DJajhguyrRbc75K5NnYjA9P5TLZmec6-ywb6rumz-T4aNLiS3wWxMltOCJI0fU6G14SB3eyOtiIY-eqL6HZ_V7zmJedC_BoFsnxEpn9gPqZd8jn-8dMQNH2iafa0JFv5iSa3kYI-b3N1nHCbwyX8H1AcEliNjO64LYOEPmTmuxdAN6XwJbe2EDFjSMhISkW8cF1ZDx69wipio2__KqSxR-xdIuAXK7had4wDcoVRnvbLFIe-WFOiXuuWKHVVKpH7vIGRd0EfPLru62Lqk","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/54522311_398282210990953_6512504338793889792_n.jpg?_nc_cat=109&_nc_oc=AQk3JDWy8UQnJaxegIRjWLYPmvHlt0d6iZK2mrx94lq-UiHyPqDPQDILoO3YX4sC1fs&_nc_ht=scontent-sin2-2.xx&oh=8853ff41d8a0a1df61b387b69972781a&oe=5E2BF971","undefined","",""
