url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/Dr.LinTzuHung/posts/2316360045272408","1562077838","#診間對話

 （產後回診,診間閒聊。。。。。）

 暗爽林:「好，剖腹產傷口很漂亮唷！一個星期換一次水凝膠，記得按摩按摩傷口唷！」

 產婦先生:「誒，林醫師，我那天傳生產照片給我媽看，他說你的醫師很帥耶！」

 （剖腹產的照片我不是都包頭戴口罩嗎？難道帥氣的外表這樣都被媽媽認出來。。。。） 心中os....故作鎮定

 暗爽林:「哈哈，你媽太客氣了啦！」

 產婦先生不停灌迷湯:「真的啦！我媽說要是他再年輕一點，也想要指定你剖腹生產！！」

 暗爽林:「沒問題呀！請問你媽今年幾歲？」

 產婦先生:「今年七十三。。。她還有加你粉絲團！」

 暗爽林:「🤣🤣🤣😅😅😅」

 #阿姨的年紀有一點點太大了啦
#下輩子我再幫妳剖腹等我等我
#笑到差點並軌","1571526658","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/Dr.LinTzuHung/posts/2372025846372494","1569292162","#為何要住月子中心

 我常常在想
如果是我自己生孩子
我應該不會去住月子中心
應該會窩在自己的家裡
哈哈哈

 請問各位媽咪們住月子中心的一百種理由","1571526658","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/Dr.LinTzuHung/posts/2304365413138538","1560602705","#高層次超音波對話

 林醫師:「來，媽咪有沒有什麼問題要問？」

 緊張媽:「有，我想問醫師，寶寶有沒有爆牙？」

 林醫師:「。。。。。。。這位媽咪，寶寶出生沒有長牙齒唷！」

 另一位

 林醫師:「來，媽咪，這個是寶寶的腳掌唷！」

 緊張媽:「有，我想問醫師，寶寶有沒有姆指外翻？」

 林醫師:「。。。。。。。」

 #下次搞不好有媽媽問我看不看的到寶寶有沒有頭皮屑","1571526659","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/Dr.LinTzuHung/posts/2332480286993717","1564236791","🐆 獵豹 🐆 1 2 3 4
超級美","1571526659","/Dr.LinTzuHung/photos/pcb.2332480286993717/2332480076993738/?type=3&__tn__=HH-R&eid=ARB9A2QcgJTBoB4UgXpJnkrjY9bjFT26fJswSAZVuxWdVTQaQvl1v2iwQOPJ5NJUMVQr3q_phWKcLDlc&__xts__%5B0%5D=68.ARDIbo75PxMphC4VBo2FzILQC1FdxUBRZ4pGmRpKAcgPcFmb3Sh103_jGUuHpa7pNxK2Y6wdaNy4bASBdhSCgC2tI44sq3seXipAR50x6xrc5LpOf04N4IFh6_Q6Dh7azXviIA2ci_xnT6QfeJIXylzE7X2xdS1YFlUmxskMq3_G1WfdL1IJ_oDnITAV8EosGGo8JzPHZqqYlB-3_WNmXB-GKyT8l7fxbhyDIGEZRwnibEU6PpP1KPiQqg7wkB86vrJ1zPRjSTqDq45XT7R6fiK8dwU-xILY2TqwljWYL5b1-dcw_fxH3WvY5UCGkoXt_DuiSDPcrBlYiPv6IcbMMRncIW0J","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/67305181_2332480080327071_8809051681569374208_n.jpg?_nc_cat=106&_nc_oc=AQlStgcP1SZNYISAZx-fQFLTpDp0dVr_OTnPCOOtnszDjblDRkykI7BzJK3v2BVSM0c&_nc_ht=scontent-sin2-2.xx&oh=310e1b0d56693f0d0aa0b3784dcce2e8&oe=5E5F4BA9","undefined","",""
"https://www.facebook.com/Dr.LinTzuHung/posts/2210443372530743","1547209272","婦科大神，來了
希望能更全方位照顧每一個需要禾馨的女性
家人，自己，有婦科問題的
歡迎來找韓醫師

 禾馨婦科子宮鏡中心
也將在農曆年後與您見面
加油","1571526659","/1717216381839342/photos/a.1717218468505800/2512695418958097/?type=3&eid=ARDbz-FLkzbyLz15k5zjmU4hHlb8Yx3HqcLEoqMlWqKbSmp0dbK712CrDqyOtqHDJdzJ2TFoDswnqWSp&__xts__%5B0%5D=68.ARCdWoc7iCwJCw10KFPlEL9yH69tL0rUo5EV64RKI6g4fS86pWnO7MLiDt51B40-CHWueCBTlPK4UtoOocUxqbhEKzBAYK3qG-eKKiHdI3RuWttshbrOzEOfmqlJaNInt_4uqh5WTeYOrjBNifE2Q7FVNyAOTTWe2_W9p5BKNnzuU-NmsIrEdovHKqbV66Alz08f1oxI5z29BP9V0AQgbnQRV5_lkLFxtSEKW3dqmkTktUnB8ZhrGZmBZfd_fAtfZ2PdgBzzzSZMChlnOSGYb_MCpU2NqloZkgXY1ze0OAS3i-7J-SifbVr5zRZcHDrC4wgAGQBqULWdoWrQlE0BoLzd_Vhm1ip-eJ40AjKxTpGROCOcTUCJHb2lW6MwW3Ou4KsUbJT86WmA3idhrGIXqDteGdIg_LQAelB4NPz7Yr0Q7GEcQVirgmyw26Q2KWTbXcT6l2jgNal67n0KyIVt89t1pwN_A0_0_AKa-1UA7Z6iTYtMix5empqxw6UTDA&__tn__=EHH-R","https://scontent.fpnh1-1.fna.fbcdn.net/v/t1.0-9/50230549_2512695422291430_9028254932477673472_n.jpg?_nc_cat=110&_nc_oc=AQlZFuvX1LN-JWUpFdf69Hi7v4C_txTCEW-3Tw6xkMTl1tLfoWFvfhMqKjNtPWLD7nc&_nc_ht=scontent.fpnh1-1.fna&oh=e5e221fce1e8c3365bb15bb49d567bf9&oe=5E61A945","undefined","禾馨民權 婦幼健康中心",""
"https://www.facebook.com/Dr.LinTzuHung/posts/2226808700894210:0","1549520629","#三隻小豬

 破我個人紀錄的豬年招財進寶兄妹檔
3426gm/2992gm

 媽媽太厲害了啦！","1571526659","/Dr.LinTzuHung/photos/a.1658911917683894/2226808700894210/?type=3&eid=ARDLApmnkgd3dggzDwK46jv70x300CJq8TMarj_6UQUgHXeTZ3LaVGyDK_bPIuOLkyOmuZoTiVHfrxgy&__xts__%5B0%5D=68.ARBUoFT1uQQn6bzvmRNBtHs78OIepx7scUeU3S3KPLiWaCsaJQHk_Du7s9jtlok48AkGQaLJQy8iWAu8uIOCX6Xm2L5Jd5pkzpUPOEHPWNTjFayi63y6RTNP9i3YOTdHO0VFPNCPTySm-PwhW_oCdvRcEkT1wkDM24dNbYL6GqVqghtXQxt_Q34AKEIhTqjRzrnun0pX6BSLMbcomGSjvJ9n3IT7s7vnLUq1Q7xTkSihXTz6nhbIzff3y_FhJ94EwAFhPc5tBuAxdfFmM9fB9I5vsZLw2E3hVCX6Ojg1tPlboEeHIkwOTcr3Jw_LiTQbzh2o2XBDpo6xtYgqA5grivdhVj6E&__tn__=EEHH-R","https://scontent.fbkk5-7.fna.fbcdn.net/v/t1.0-0/s600x600/51308445_2226808704227543_3180489790256578560_n.jpg?_nc_cat=107&_nc_oc=AQmMIcFPqMgm5qHaIETD0B92PGkHih5z7HSMHroNqD2LSQjmkEvimifUmNVkXb9bEwM&_nc_ht=scontent.fbkk5-7.fna&oh=dd0bf66ac8c8107a8392b1f97bc0ee76&oe=5E5A0BF1","undefined","",""
"https://www.facebook.com/Dr.LinTzuHung/posts/2370563923185353","1569119165","#診間對話

 多胎媽:「林醫師，請問生完產可以順便結紮嗎？」

 林醫師:「當然可以，自然產剖腹產都行，老公結紮也可以！！」

 多胎媽:「那請問會有後遺症嗎？」

 林醫師:「不孕！！」

 多胎媽:「天呀！那怎麼辦？」

 林醫師:「？？？？（黑人白人都問號？）」

 #妳結紮是還想再生嗎
#Mommybrain","1571526659","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/Dr.LinTzuHung/posts/2344615735780172","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579340302,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/Dr.LinTzuHung/posts/2200702913504789","1545883044","#一起面對

 
前陣子有一對夫妻來找我諮詢，這段對話讓我印象深刻，太太是一位紅斑性狼瘡的患者，在發病時相當嚴重，身體的許多器官都有受到影響及損傷，還好經過免疫科醫師這幾年細心調養後目前是一個穩定的狀況。。。

 林醫師：「紅斑性狼瘡是可以領有重大傷病卡的，你們知道嗎？這個疾病懷孕時表現差別很大，有時完全沒事，有時也可以很嚴重，每人表現完全不同，要仔細追蹤。」

 
老公:「我知道我們有重大傷病卡，完全懂，之前我去看免疫科醫師時，他就訓了我一頓，那時我們還是男女朋友，他就說這個時間點發現這種病的最後一定男朋友跑了分手收場，沒一對有好下場，可能我那時戴個耳環一副搞不清楚狀況的樣子他看我不爽吧？」

 林醫師:「哇哇哇！講這麼直接？那後來呢？」

 老公:「當然就娶了女朋友呀變成我老婆啦！不然你現在看到是誰？哈哈，怎麼可以因為生病就不要他了，她對我很好，我們要一起面對。。。。」

 （已感動😭😭😭）

 林醫師:「那你有找那位醫師來當證婚人嗎？」

 老公:「哈哈，本來有這樣想的啦！不過後來沒有，可能那時候沒那麼熟，不過現在跟醫師是好朋友了。。。」

 林醫師:「👏👏👏，太美的故事了，那我們一起努力吧！加油！！」

 夫妻離開診間的同時 我的心也暖暖的
愛情在這個年代似乎脆弱的不堪一擊
但在生活中還是有很多令人印象深刻的愛情故事
因為沒有爆點 他們不會上媒體 不會被人發現
媒體和社群網路有時散佈的是目的性的偏頗思想控制
久了真的會覺得
這社會好像好人好事好少好少
但心存善念的人可能就在你我身旁
張大眼睛打開雙耳多感受人的溫暖
我們才會有良善的正面能量","1571526660","/Dr.LinTzuHung/photos/a.1645843845657368/2200702890171458/?type=3&eid=ARC4BO7uPDcRSQHFTGbZCTl8wjFsIGxVap4xZxXhFdoUvcCS1Hdt8y4Yg21lDU-rWrhnf0cNKFbyit5h&__xts__%5B0%5D=68.ARBlvCjrZkLWlTG8WCWdiQrXJvYRoBOAPBXitldRSNjHGP_nn-X66Oyn2gRvSRR-kyRK_HvVy_0KdPypX9mwoNnEqMU6omCffFR3a2zfA70DcJp1hcRbpvCI2Noq23c6dhWVFOVcGI3avb7iA4BhWLV8awV816xZeTRkoOZ_kbyurzutLd2IT0wZLmVXVD3vkHkR0I5bkYX0svta0aeJrsHhMxsjpkjdAX6BFjc9zNasIZFzlukg-iARIveV6SyO5Hwejpj-_mlDEFkaOFu1LswQjskR80-5G-Mj6Udd3Zn65YHf4ZNdKS0yE79xla911o77QdTxlcGsVCF7PuLw2D-ZlxZp&__tn__=EEHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/s640x640/48899243_2200702893504791_4354356974192689152_n.jpg?_nc_cat=107&_nc_oc=AQl7XN4KBKW4XB4-RQ3UAw61rzOYSjwP87rwbhHBVACwnwi-W3Nco7Y1yRWqxmRbH_c&_nc_ht=scontent-hkg3-1.xx&oh=0a779f5ea0960161094bbc33094a3ed2&oe=5E2EBF77","undefined","",""
"https://www.facebook.com/Dr.LinTzuHung/posts/2309731165935296","1561277473","透過@樂孕」一書，了解懷孕正確觀念。",1579340298,undefined,undefined,undefined,undefined,undefined
