url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ERdoctoreyes/posts/2354871014842497","1570966394","#身為急診醫師最重要的七個提醒 

 1. 遠離有害癮頭：酒精、菸癮等。
2. 練習快樂、正向，每天進步一點點也OK！
3. 記錄每日時間流向，審視自己是否過著想要的生活。
4. 飲食是健康活力的來源，少油清淡之外，有意識選擇吃下肚的每一樣食物。
5. 運動是遠離疾病的好幫手，規律運動很重要。
6. 一年一次健康檢查不可少(尤其是胸部低劑量電腦斷層、胃鏡、大腸鏡檢查別忘記)。
7. 騎車、開車千萬小心！否則再怎麼養生，很有可能在車禍瞬間，功虧一簣。

 希望對大家有幫助的一篇文章 😊","1571526109","https://l.facebook.com/l.php?u=https%3A%2F%2Fthebetteraging.businesstoday.com.tw%2Farticle%2Fdetail%2F201908220001%2F157886%2F%25E7%259C%258B%25E9%2581%258D%25E7%2594%259F%25E6%25AD%25BB%25E5%25BE%258C%25E7%259A%2584%25E7%259C%259F%25E6%2583%2585%25E5%2591%258A%25E7%2599%25BD%25EF%25BC%2581%25E6%2580%25A5%25E8%25A8%25BA%25E5%25AE%25A4%25E9%2586%25AB%25E5%25B8%25AB%25E7%2599%25BD%25E6%25B0%25B8%25E5%2598%2589%25EF%25BC%259A%25E7%2596%25BE%25E7%2597%2585%25EF%25BC%258C%25E5%2585%25B6%25E5%25AF%25A6%25E6%2598%25AF%25E5%258C%2596%25E4%25BA%2586%25E5%25A6%259D%25E7%259A%2584%25E7%25A5%259D%25E7%25A6%258F%25EF%25BC%2581%3Ffbclid%3DIwAR2WEEwkxTpWVBO5y-PhL3IgyfcweAS5jFEbbKFSFSykEPbkFYN6biDWieQ&h=AT2w3v2mpP5ZyCdZq66oVg9-EPbmhBFWlxKX2FfLSBo05M0_MCfRL65elGOCiLJvIpCv3H3nCawiowayOTGAmEWLy_VBGbCE78lGZ8vGa1LE_y0Fz6LfXtIqO-o98waIwXzYhknMyFEAbOa5jzdnySw3M-DNVAot6SSZLFFmkt21vwoUj_Py_EkaoBeZlKb9qxmLU-gKflzjalzMhKpOtimLJJEbnhEjNm2690XVuOUPNV1sDLURxav1vM3xZDGpMXZDChZqHfuTUco1BhwVLM2gkCsjW7HnDRpOzecBwfM32yeYQb6qMYGq5-eja_Ib0xr3FoOO2O3SGI2kMlndderF-bW-DYBmr9yi0O7VdPCB9xOErmeQokHFzUwnaMIcndr1z8vMmA3eh0Sks37QDB1tOzFbDdZVsJ97uWko9dh1O4xFAwxmFtt49Cww4pIU11vjPc-OHnyaskgAlVo5fAlzfTizp-FbFa48c26RRKrAOLlpzx2CtLsGzAQVWypoxXGcVSXvIhyk5tGznQfTy_aCi-WrhkGdjVPb_Hp0zlhX_2IWntWZemqF_v0wI8ScpL9SPa3Jsa4bKALNJBER7YSYdBjQdgWhhVJEQN13O01ho4CGc2doWJuXxu1U8IjiyS7Smpnia2YiSszeHmc","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQBstkUFSXLnSOiK&w=540&h=282&url=https%3A%2F%2Fs3-ap-northeast-1.amazonaws.com%2Flazybusiness%2Fdata%2Fcrop_article%2F92659%2F3655.jpg_600x450.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAWZ48xbug2_fZy","Image may contain: one or more people, people sleeping and baby","看遍生死後的真情告白！急診室醫師白永嘉：疾病，其實是化了妝的祝福！","罹患重病，是頓刀子割肉的無盡折磨，還是向死而生的重生機會？ 頻繁接觸死亡、每天被「無常感」圍繞的急診室醫師白永嘉，除了心中有了篤定的答案，還有無盡的憐憫…因他發現，許多人在疾病發生後，才發現人生完全走....."
"https://www.facebook.com/ERdoctoreyes/posts/2135909846738616","1544075762","「 阿北是胃癌合併肝臟轉移⋯⋯」
阿婆聽到這句話，在診間就哭了起來

 「 有沒有兒子女兒來？我也跟他們解釋」
阿婆更難過了：
「兒子最近才開完刀，也是肝臟腫瘤，都還在醫院住院⋯⋯為什麼父子都是這樣？」

 「 不知道要怎麼跟他說？」
我告訴婆婆，如果你願意讓我說
我來跟他說
「 醫生你不要跟他說的太嚴重」

 來到病人床邊
八十多歲的阿北
我用台語跟他把病情大概說明
看到旁邊阿婆 難過的表情
心中很感動 也覺得很不捨
我明白那種老夫老妻的痛

 我努力說一些安慰和鼓勵的話
畢竟要宣布癌症是不容易的事

 阿北最後說
「 謝謝醫生，我會勇敢 」

 還是替阿婆感到難過
希望他們能走出家裡的困境
禱告可以恢復健康 奇蹟發生","1571526110","/ERdoctoreyes/photos/a.1767625236900414/2135902960072638/?type=3&eid=ARBk-D2F31wdhZv9RZFFXiZySH1P6BR-0bVsoFbO7LjGU3hA2LOBlInmBXXTAggZEpLJvsTzuCfVd_ZS&__xts__%5B0%5D=68.ARDfY_Ko2fSAOsp7xCeZrkg_jgLVcFLVx48eNnL0lGiyCGcJjoR0iSEH6RoI-O0plDgOxT0NR4aVmLgWILBt-GE_J5y8AtEReV-yYNMARSRHpHRFJ7-Mp5unhnZe0crf9pXIesHKQ7VLfvWyHXEm5xww1xL4D7cRXGNnbCnDce6SjYKqoBcHBP5aV0y3RTZ_RlHK9cJvFmZRj6_u3vE42wuc8DvxQRA1298tx_a6v7OjNWd2mxUyq8HDo9PBvvvZ5sQ5o-sX-OJnymHPFVnRfxwdgkITr5Gprng0VnKV24TE3TZ_XOWzvSWON12Rzo6KPZPRlPiUa-Aly6h00hZ3Lua0UBDI&__tn__=EEHH-R","https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-0/p526x296/47505298_2135902963405971_1600178263278223360_n.jpg?_nc_cat=107&_nc_oc=AQnapUVLRoSRDIblQsdAQfrZTYvXc3GgA2Aow0ytn2vpl_Hq6Fr371x7SG_4o6VaWWQ&_nc_ht=scontent-hkg3-2.xx&oh=ad34261af4cb7188da006d48151f32df&oe=5E16A544","undefined","",""
"https://www.facebook.com/ERdoctoreyes/posts/2359908974338701","1571443562","面對親人的死亡 我們會痛苦
面對自己的死亡 我們會恐懼

 明天（10/20）早上10:30 在基隆
我們來談談：#在愛中面對死亡

 #在恐懼和憂傷之中注入盼望
歡迎基隆的朋友一起來","1571526110","/ERdoctoreyes/photos/a.1767625236900414/2359906494338949/?type=3&eid=ARDr_6xl1r4F5ZEBqMgyizrCyALhBLAkDkkqu5ABusfTFq6Sdm-GoEB_R7eWdjj-l5PDtZh0QM4XljDj&__xts__%5B0%5D=68.ARCzXbfXqzLpfijRkdALnM8lU5YD8hjjhxmm2am2z8xf5fC9Ow6kKGAuLQNx9m2Q-ppo6oyoemAeoLHo9EDkjXJdUe6JLMTaDattCctrAdMPx9d6VYTz1khlzyQ0Yfx_K6EDMcxmEZ06cYRQZYQ-jky_LovV0arr3zOHYVMZpbJy0srTt1jJEP5L-9igoC7bGO1IFITpkGd_OZGZFJv7ynA9YiUSiOZu0fMGCShxUn0S-pZa0-J4yUvDFvCZFmMQ00jgtUUrSrWLz6nSX4RYRzKmuvg8z7AdTGKs1q1EUS2ELkpi2okeniTQfjRipptQ6jRkZxsGaGQmBLqxEAPZSJqCz9VyQ0zgSaceiHShFG3lrjMaFimYdxtwoCZE89DVaGXagA28sTD51zuYGEdWO-mCCTlhZ-LwhGKBRa4ov3Kguu0&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/s526x296/72465872_2359906497672282_5043679485530996736_n.jpg?_nc_cat=104&_nc_oc=AQmg8ttdk-FqGgvvh5DX4zoCquFutQZ4wBrFwiKyMC1NwxzX9VRl8TbOGbownlf0-vA&_nc_ht=scontent-sin6-1.xx&oh=6f19bbc77dcbb4fca828e0279cb584f1&oe=5E5AEB40","undefined","",""
"https://www.facebook.com/ERdoctoreyes/posts/2339541746375424","1569369344","有些馬來西亞朋友留言罵我
OK我尊重
少數罵髒話或仇視台灣的發言
我就直接封鎖了

 若不是為了生活 
多一點打工機會 多一點工資
誰願意離鄉背井 
從印尼和新幾內亞坐船來到馬來西亞
沒有身分 住在油棕叢林深處做工？

 他們生病不能去政府醫院
因為沒有馬來西亞的合法身分證明
更不可能有錢去私人醫院
有一些馬來西亞的醫生很有愛心
但也不敢進去叢林幫助他們
因為是不合法的

 三年半前和幾個很熱心的馬來西亞朋友
開始接觸了解他們
也是在叢林裡成立「急診醫師的眼睛」
讓我們有機會重拾醫者的初衷
這些人是最需要醫療幫助的人
因為他們從沒看過醫師
ㄧ生重病就可能等死了

 生活環境不好很多的蚊子
有些發燒因而過世的
都有可能是登革熱或是虐疾
這幾年來有很多台灣朋友的愛心
捐給他們非常多的蚊帳
這是我們想得到能做的

 可能真的是太窮了
兩包米的故事是千真萬確的
我們利用自己的假期
自己掏腰包買機票錢
但有馬來西亞朋友攻擊
說我想去馬來西亞騙錢
聽了覺得太好笑 也太小看我了
也有人一直要追問確切的地點
甚至說要報警去抓他們
叫他們「滾回自己的國家」
聽了覺得很心酸很難過

 他們在馬來西亞都是寄居的
他們是人也有家庭也會生病
沒有誰比誰還高貴
罵人和批評很簡單
付出行動才是最不容易的
罵人之前要想想你做了些什麼？

 我感謝有一群充滿愛的馬來西亞朋友
願意付出時間金錢和行動去幫助他們
因為我們每一個人在這世上
都是寄居的都是客旅的","1571526110","/ERdoctoreyes/photos/a.1767625236900414/2339541719708760/?type=3&eid=ARCY7VQviPcR1SA8LcMnHcVb0M_zV_lhUk0gMaWit8G4q3FzsdjYpGC5RUYoC-KeA0uHtUv385A7W4bO&__xts__%5B0%5D=68.ARD4FwNUfIZlUeZCM1qUv2EBJNWWmQkNZR-8CGxeTCI2wC9Bko9aQP97yn91k1SdnJ8YaPrV_9gM3XzFwn4cXAUXpg-odZMRBTBKUe2wspkjHnw5F3Vi4zL527Toij7xyBtrYKNaNTKxNxEahfQam1xCTAmO8rCl2kuIRQDTWaNXy3KN4CLXDjA_niOLO9t94vxYYnrKRBVmF_NQeNABGZPgvzTIhyp8oaF-CjC_W0YtNbpjETIgc2PNiQ4pK1b8JlX1sqyI0F5D4hwHYELYd3dOLg73fEGvrX6-IkJ7C7lt-d3OeKgbpwStgK7JcB7v9_MTNnJvVJG2nUKFFWR54_UAZno-&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/71951771_2339541723042093_102381085349904384_n.jpg?_nc_cat=100&_nc_oc=AQkI_vJKOMFIcdhtgrs6KWHM23v8k0t3q6OQrC3iM8OcX3GtZAmcCDfaQ5EPOT05UWSGge6X54BwJ_L3sIPnz_27&_nc_ht=scontent-sin6-2.xx&oh=eb783331f2169d73869d7be31079e992&oe=5E5A0725","undefined","",""
"https://www.facebook.com/ERdoctoreyes/posts/2357473437915588","1571221564","有太多的急診護理師
不僅臨床工作專業、教學研究認真，
更積極參與推廣急救、災難救援、空中轉送

 他們把青春都扎根在急診了
要選出十大，我覺得三十大都很難選
#感謝優秀又有愛心的急診護理師們 ❤️","1571526110","/ERdoctoreyes/photos/a.1767625236900414/2357473407915591/?type=3&eid=ARBb7zz6K-ugDY8Hk8Cfk4lOam7dZuj4qRMCuvjmZ53nSh-Z20wzjcHV-0KZ1BYa1IVYueS4HnwtHBCK&__xts__%5B0%5D=68.ARCNA_aQbGhMFT4FxFaPTStMCowQNyZYGCL8ryW_y-RTDsberV0ZyJp_aFb9EwbxrKKoC16qMDrnL0SVr4kq0lNSEdFms6Bm9h3bXERBT23Z8nOM_lUgfClxP0DwGq0ElgHdRHtlkBouIw1H2Yqf_0ux_P3vmBOiDXK5Fas47utvBVTCrYQlyF49KzaEYojPCvFvcXaGlBgmJ_t_r2YlSFj0ZqqZC1EclU4MFE8Nyf_yjDCkykl2RcS93Wk943lDTr-9Hn0H7zWXL8uq6x6DXhNo0aJmMSGLM2he2MT3FNufl5HS36JpcLy_xs8cr4YpVRNVkyKQZ6T5UcLuCCV258iRmsYW&__tn__=EHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p235x350/72554477_2357473411248924_3499110839598710784_n.jpg?_nc_cat=103&_nc_oc=AQnrdCwGm2dwvzIsr7LlxTt4bfFCqchovJP5E0tqQoLEIbI18eJpKbwGzjvLF4zf1ss&_nc_ht=scontent-sin2-1.xx&oh=f97b71ba3bf86272d19e0726b4ce2e37&oe=5E60D5FA","undefined","",""
"https://www.facebook.com/ERdoctoreyes/posts/2331157637213835","1568436277","#黃金3小時之內突然單側肢體無力
腦部電腦斷層檢查沒有腦出血
就一定是中風嗎？
要評估打血栓溶解劑嗎？

 這位30多歲的病人 看起來相當年輕
最近沒外傷沒有按摩
突然間左手左腳無力

 我們沒有給他打血栓溶解劑
再仔細病史詢問和理學檢查
我們安排了 #頸部核磁共振檢查
檢查如果沒事大概就等著被核刪了 TT
檢查出來果然發現
頸部有一個明顯的腫瘤
也可能是血腫
治療方向和中風完全不相同！

 有時候覺得病人真的好可憐
幸好我們有檢查出來
希望他能正確的治療早日康復

 祝大家中秋節連假愉快
急診醫護沒有連假 繼續奮鬥中","1571526110","/ERdoctoreyes/photos/a.1767625236900414/2331154227214176/?type=3&eid=ARBLWedNN6FJNHDHV0YPeajeAI6XZU3sRdETRNsRayDPpfOc0QsdOc6JaGOk2Sr9mg1YYpUHVKoM1k1d&__xts__%5B0%5D=68.ARAAP3AM_OOIFQTvtk8MLbd8Nl2pf3XksXhwQ3BATojv4VOqpzFsumnICHQpNjjz4W82cCN5eNibGcWZZmyhkXly6LxYwNzGWpsmS6DKN1fakvNGgltN5XAWfCooOB2D3Ek_C84XxOYefU0Bv44cLeoe3P6JMKd-njJ3gTqt-AtGok9wQf6BPTJtYrVegqUXyPeSJlawebd3n7JUOgEqxyA7gFvwpnEStZLJFWOYyPLDJTiJc0mfg4uflaJ-ATxuSTl21v9gD5krkF7ZGPKgN_Go68Od7kGPvz9X1YxtXseiE9tOfETNlFnq1iZHw2Rth_2Axixl2c83Ab757kxkbJP6PsqVYmKLpdfX6p-Yahw4-LsAdKKRkL_XK0zNbbJuGmjfMRp7JivYAZU_iNuPsD6qcYRsZGnecWTVyHb8c981Rrbf5L4N&__tn__=EEHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/69992798_2331154230547509_4572672528375349248_n.jpg?_nc_cat=110&_nc_oc=AQnxxXkqHy1EzieNDC3fqS7hYy1zOHlO0eVIDY5sAeWgPwtJ71E4xlANlJwxFhEbxS8&_nc_ht=scontent-nrt1-1.xx&oh=a9c9e8ae2d7f31edf31ddec8708f1623&oe=5E5F70FD","undefined","",""
"https://www.facebook.com/ERdoctoreyes/posts/2194031360926464","1551604347","請政府正視醫療崩壞的危機
而不是只有在數字上的改革
健保制度也該有防濫用機制

 - - - - - - - - - - - - - - - - - - 

 都有病床啊！
但沒有醫療人力有床有用嗎？

 每年都有新的醫師和護理人員加入啊！
但菜鳥居多，老手逃離。

 護理人員都有符合勞基法！
實情是刷卡下班後還要回去補護理記錄

 護病比都符合評鑑標準啊！
加上沒有從事臨床工作的護理長、督導充數可以嗎？","1571526110","https://l.facebook.com/l.php?u=https%3A%2F%2Fbuzzorange.com%2F2016%2F09%2F13%2Ftaiwan-medicalsystem-issue%2F&h=AT3z4MZ7929p8D7xH54Aoe1avoaiFA1oeRhcAMBy9qAby4xPvLKZucGPnVJoe9RyWl7uKBMVTjJoIqTgFh9UMPhoiQTskdfQou1c-UcZKqZ9Xeq_u9WLqgEhEmbj-EEFEyyXJVCHH5BnrRErv16kW8sUcmG6vLhpYCiJv4cSIbDKAzk-5cmVakZ0_plCNXOcuuxT6DTobXjVqTTUKwgZzDKjQ28gRIeNhk9GxPkJGW8cWIPFsN_U8a22JNf92gdyrtxJ3dVAvv2XIFtiBMHo6b2pdSy3qUfNxfF04i4YiwEOzWKv7kXGMax4p_4TrmQffZGgXgoi9zrifvFsLuOOiE-d8SPvXwo-GGNaP9SHi2lgdyyt6wWM158v6cGSMXQgxZ3E-TtOIO6LkCpdbaU-XCy7V2nvtjd5x1_WPnOBTsWJkdsP066tNOjeweg20gXwmFlCSpjUhit8NN5g06y84ZClczH-hLTbRuHPKyRae-Oifqh8mIl74ip235YdDjXkmHapujnrdSmnpeSuTaTG113wNDiH0I_lWbbDQ4JkFjSFXX4uLeN4P7_az9EFRLYkICoieU4yw_2qeY4bRbO3pD66baH9YghG-Pd6NFQg0Qqz_8dHBCPT7ZtnHYUCh_E3MIQW1wie47cpBn_CVl6i-KAPJg","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQAKPV56MjHOzOVV&w=540&h=282&url=https%3A%2F%2Fbuzzorange.com%2Fwp-content%2Fuploads%2F2016%2F09%2F8116055362_5ab856d0be_z.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAfnln3BrJil-RR","8116055362_5ab856d0be_z","千瘡百孔的醫療系統：「不是國外醫療貴，而是台灣醫療賤」| BuzzOrange","【為什麼挑選這篇文章】 改變醫療系統重點非常簡單，但、改變卻似乎非常困難。醫療系統千瘡百孔，健保看似平等卻實際上犧牲了大把醫療系統應該要有的資源——不是國外的醫療太貴而是台灣的醫療太賤。20 年前哪裡[...]"
"https://www.facebook.com/ERdoctoreyes/posts/2306387419690857","1565576662","香港的醫護人員
從今天開始罷工了

 香港的現況 實在令人擔心
我們每天為香港禱告好嗎？","1571526110","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.cna.com.tw%2Fnews%2Ffirstnews%2F201908125002.aspx&h=AT1vArXwfba9-G2njprmNko6R8ClLBNat3m-xtV86lCFRZUy-iVDLl8bCRUorKbmlXVAHfyJryTGjZTY1KOk5CNg4i05tkWs-VpTM0iKfeKBE5U1utPFteKeKp7i7HMYIEBQSqsxx-VV6sbx0rQUayCj-f9FbEkorv1luDIdWLFzeN-rr9VmD3fjS_TqMK4p9oiqv-yhvHMRecdt3dawXudFqsteY4iBcCQxOPowQjucdySmA1DdFK2cY4Tqb0v6JDv2brzBfhdibun8nSAlmvilNyQm-C5Q9e9C5aTO9JkErMjgmkncgKSCbLKg6c5xhpD2AO8oc796PN8ZHVWUby1YRaupH4iPj1lFBQFiS-aytZnU_ZWM6CcuIkagg5QP-IK-vE9euB8o8TfwgrAteenMmx7uC3ga1nG-4yuez2-kKq_fnZqEnpSfRj-kcuud6WXfktB6JKGQ5iYKY048KJlqDk9cX2ajSQoBmXG1sks5b7-zpOcUQ06AVFmecqhJ-SRB2oParHiGnVUHj9p9_7x2JfhAMV-kDujA63zosYT3TE9KkjlsnEVYichPXqrmgJ6cGD-6yIS_0QwUklSHeKtGo-IPknl6pzUaeEX-lkzOV6WLNpydsRZ97njw3tuHY79ESIiMju6vTxUWfCg","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQCRT1wX8oBl_g-h&w=540&h=282&url=https%3A%2F%2Fimg5.cna.com.tw%2Fwww%2Fwebphotos%2FWebOg%2F600%2F20190812%2F1074x564_128334350400.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAdb0Py041tss1G","Image may contain: one or more people, crowd and outdoor","中央社新聞粉絲團",""
"https://www.facebook.com/ERdoctoreyes/posts/2127777850885149:0","1543038946","朋友們都排隊了吧？
大家今天排多久呢？

 每個人都好有耐心的滑手機喔
為了我們最愛的台灣
排再久也是ok的啦～ ❤️

 還沒投票的快點出來投票喔
四點前排在隊伍最後面都可以投
請記得防曬
孕婦、老人、行動不便者
可以跟志工告之，優先投票喔！","1571526111","/ERdoctoreyes/photos/a.1579757682353838/2127777850885149/?type=3&eid=ARAtricfl6FuZ3dm972aetOzNQkoFOORrjl0Kg__J_MK1nwHHt3PSY4SAKUfRGTtD7bqdmZtzBQtObTV&__xts__%5B0%5D=68.ARA3qej3MNAoe04P7AmeJqbgd9csp-NYhLxeku2_rwnnJm3cQ3yH7S9owt_ct2RCB8EbpWIZ-HGtDD1mNmWDsTcSuDXkbGhUjVLEYxjV9a_Rl9v3gEbs_dm9JU6gCXTXk0tt28v0-ufWR9d-5y0JcrYIFxE_xqhLL1ft1eNBMFDKiVsxxB_DZEVTl83XiTG0EO6J7a1tCQVF5hjTgR93es53in05Dt0az1U0mSdHRYRevIIglHanPp1ScRl7fF2cYL6Gui5jQ86GYcAvoieP-X2WW92SBqKwd_GW6vRFoKSTCeuJ2umvp7IGbg8qD00quyYGPv551C1X9KjLxdV9OFXQEdKk&__tn__=EEHH-R","https://scontent.fsub8-1.fna.fbcdn.net/v/t1.0-0/s640x640/46779843_2127777857551815_2232529974760308736_n.jpg?_nc_cat=111&_nc_oc=AQnKkgS6dJXEunPQn-75CXA3zN4tiCIvnfGZeO8YhgnWzO90OBD0L-LL0zPvN03z10w&_nc_ht=scontent.fsub8-1.fna&oh=a01f25b5e8c03666c85d226075c736ae&oe=5E1DC2F3","undefined","",""
"https://www.facebook.com/ERdoctoreyes/posts/2268278040168462","1560989584","身為急診醫師，我強力反對使用巴拉刈！
在急診室看過一時衝動的病人
很清醒哭著說：「我好後悔」
卻沒有機會了，很快的邁向死亡

 真的無關政治！只關乎人命！
#強力反對使用巴拉刈！
#支持農委會推動全面禁用","1571526111","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.setn.com%2FNews.aspx%3FNewsID%3D557736&h=AT2Xw2EPk4M-142HOfHwvYNrbHig9zWCiOxYA3QYH_kXlKycjW3qMoFoHk4x2UpcDTqCiAK5PgsQfy4dj4mAyQF-6X0ZYPaCfUDku94fMpTsRfH_gzq7bsRpqRiCPIKpJj-aO730z05K3lUk3Qgx1A4vKco-C2-XePPyE5VEy0z3XZqWaErsdPsKljWI3CHy6UiGz5tF0e859nWsbamTY1MeNIl0TZBogaSVIQosMME409bXe6lTpGVHBK-OiBdeuF53wLIjG1U-9cTmfVtT1iFCdcR6RuHUC1Gp3balmjsPOpENdUNbjI3n7q5c5tcJDH6YkWLr3Ot09UKuTsWzA95l84zIZwPMolCrqra0A7Sjd1yMvrvbVD8DLdVNZaPp99ekkyPby9gMD8RMjNpnvKeJ3nbw_cCVfq7egdsIX5PS4PTcrV9jy7XqJP0ZsdKXTWB_DR5XM6OojYbQPthLIsK8QmTsMRtHodTlA3v3XkaVE2_x--qE7B14KvePfuLe61sUH8xEzsqO2uQtgXqcnJg4ztBG9eyBzuUken0cymCr4K8Kmed8EYov9YIzrX5eznd0yJlD3vD_E828L5O-ZpRCmu_yqilid-lJUfV1zgU-pkHdv8wVToF1UegPRXYYZAtbWrbg3ZVtQSkbnrE","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQD31aTO11IG-Fp5&w=540&h=282&url=https%3A%2F%2Fattach.setn.com%2Fnewsimages%2F2016%2F05%2F31%2F544850-PH.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCOkemx5nxWxwzM","No photo description available.","潮案內",""
