url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ETtodaySPEED/posts/2534091230154905","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579466162,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/ETtodaySPEED/posts/2356809554549741","1560988090","UNDER ARMOUR運動用品原廠出清，全台最低價公益巡迴瘋狂特賣，將在7月8月引爆....有喜歡的朋友請再忍忍，就快到了.......",1579466163,"https://www.facebook.com/photo.php?fbid=10219578760755095&set=p.10219578760755095&type=3&eid=ARChoQcuEu3lZqfljV16nVOUEbnp_-GfnaCGRt1zxUdbd4HIFmlVFzwWrBKOTxDGqpBhXkCv-dDTBm-R","https://scontent.fhph1-1.fna.fbcdn.net/v/t1.0-0/p526x296/64950187_10219578760795096_4154624674052964352_o.jpg?_nc_cat=100&_nc_ohc=l_VoXypzK8IAX9xSBfa&_nc_ht=scontent.fhph1-1.fna&_nc_tp=1002&oh=2b4a120a37ccc0798be1cef9ca2ca43c&oe=5ED4E36F",undefined,"",""
"https://www.facebook.com/ETtodaySPEED/posts/2349108298653200","1560045978","不抽煙真的很好耶，福氣、健康跟著來。~",1579466163,"https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.taijimen.org%2FTJM2016G%2Findex.php%3Fsite%3DD2%26cat%3D5%26cid%3D13224&h=AT0XbtFpF3h_YO5wuzTWsRkjCW4o81xEWV0MwDMGxgXmXJg3DcwVzktSU5BfMj4NO6Q14MnJ0KPcqoKD7l4KRaiIvDktbBmsMP-zZgnGrOOmqu9VysIit-EmPyf-dfLMvgU2cGxcJCLgQB-1Oy_Kga1AxbCww_spqY2QuxWlnzHIOw","https://external.fbkk23-1.fna.fbcdn.net/safe_image.php?d=AQDgRThS2gvjhpKX&w=540&h=282&url=http%3A%2F%2Fwww.taijimen.org%2FTJM2016G%2FTJMNews%2Fphotos%2F201602%2F20160204-13.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCOHVmU2v4ToW8d","ในภาพอาจจะมี หนึ่งคนขึ้นไป, ผู้คนกำลังยืน, แว่นกันแดด และ สถานที่ในร่ม","醫學上證實香菸燃燒時，會產生多種對人體有害的成分，更有致癌的風險，二手菸也會對他人造成傷害；因此，菸害防制法嚴格限制三人以上的工作場所全面禁菸。當這個法令開始實施時，曾是老菸槍的我感觸特別多。","taijimen.org「菸投桑」變「緣投桑」醫學上證實香菸燃燒時，會產生多種對人體有害的成分，更有致癌的風險，二手菸也會對他人造成傷害；因此，菸害防制法嚴格限制三人以上的工作場所全面禁菸。當這個法令開始實施時，曾是老菸槍的我感觸特別多。醫學上證實香菸燃燒時，會產生多種對人體有害的成分，更有致癌的風險，二手菸也會對他人造成傷害；因此，菸害防制法嚴格限制三人以上的工作場所全面禁菸。當這個法令開始實施時，曾是老菸槍的我感觸特別多。"
"https://www.facebook.com/ETtodaySPEED/posts/2533260740237954","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579466163,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/ETtodaySPEED/posts/2532587626971932","1579244654","平價實用的Ai-1 Comfort 來囉！
內文有Ai-1 Comfort vs. Ai-1 Sport變化重點整理（喬）

 Aeon宏佳騰機車

 🎉車雲官方Instagram：
https://www.instagram.com/et.speed/",1579466164,"https://l.facebook.com/l.php?u=https%3A%2F%2Fspeed.ettoday.net%2Fnews%2F1627838%3Ffrom%3Dfb_et_speed&h=AT1Ss0-NpcOa42PksngLuC1X1_mAXxt_A97uMJOMSqHLsuBfOFxGz9e9hhzj7ojzfLfB3Qo5YJqdUpLuYVahQ4jwrP1vW_gUPiOa-O7pPp3tlEIFkzpbZ1CDptynVO723e9c6OqQRu0SECOfK0DlVmW6Vz-MjX6WtOCi_UiXn-uivBcD5MoyEVKvbQWQqIIpZjDhWrhghfnn7hMWI8wbFNezJtxoOPJA-ZVMnwqlfVlIXisvZA9HI-Ok4vy37urr6FapPz7GtmEamomlKhmF7ihzy8MaHzZCXOF2dN1Ai78Gmr3regMFeVoG1lYtY1owe3Dm0LHu0iZaXZiG3uSsWjGJQMeLrnNzdnRdaGbmjy2H3ZSibzrH-Jp5VoIB6QmamvMxU8RRUumVQptYBKV1T9USQAXvb0PrKKfx5KuJHwXSmxzIYO7ipUE6VkCdCO7T9upO0D4AnGZQBZv8InKsvaNOHXJLT88r_AMR1lDXgSz0gTt29PiOzHP27dX_KNMSNdVEqiPCXMAxKkGwUnWYZDbiIP09elW6SACs0RZchIuUeruq_4r__sASZgUs0zoVbZ6flAMae4ECDEo2oy-GOaVnubP_MNy713pKwiwqsUxxxdZuQCqWkHlxBXLKNjqtCBnKKaPlSx3dgVtIk2I","https://external-sin2-2.xx.fbcdn.net/safe_image.php?w=540&h=282&url=https%3A%2F%2Fcdn2.ettoday.net%2Fimages%2F4656%2Fd4656652.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAu1Kpxm9QI4jTt","▲79800元起！宏佳騰Ai-1 Comfort發表　第2台電動機車搶年終獎金（圖／記者張慶輝攝）","Powered by Gogoro Network（PBGN）聯盟成形後，除了較晚加入的台鈴機車外，各成員均有1台採用Gogoro技術的車款正在販售中，不過AEON（宏佳騰）並未因此滿足，繼Ai-1 Sport智慧電車取得優異成績後，今（17）日趕在農曆新年之前，再推.....","speed.ettoday.net79800元起！宏佳騰Ai-1 Comfort發表　第2台電動機車搶年終獎金 | ETtoday車雲Powered by Gogoro Network（PBGN）聯盟成形後，除了較晚加入的台鈴機車外，各成員均有1台採用Gogoro技術的車款正在販售中，不過AEON（宏佳騰）並未因此滿足，繼Ai-1 Sport智慧電車取得優異成績後，今（17）日趕在農曆新年之前，再推.....Powered by Gogoro Network（PBGN）聯盟成形後，除了較晚加入的台鈴機車外，各成員均有1台採用Gogoro技術的車款正在販售中，不過AEON（宏佳騰）並未因此滿足，繼Ai-1 Sport智慧電車取得優異成績後，今（17）日趕在農曆新年之前，再推....."
"https://www.facebook.com/ETtodaySPEED/posts/2534358463461515","1579442580","電池是電動車成本最高的零件，當然要想辦法壓低囉～（尚恩）
🎉車雲官方Instagram開張：
https://www.instagram.com/et.speed/",1579466164,"https://l.facebook.com/l.php?u=https%3A%2F%2Fspeed.ettoday.net%2Fnews%2F1627356%3Ffrom%3Dfb_et_speed&h=AT0YkfEq7k9OwV0WEVkeeOg0vladwTwDoAcyk2T7CCrxD2f7TwlIQ7eWLno8jchSUu2SCy4J51uCf_4D79wGnYQMIuL_2O5_k30heZAmtobIpovuWuDr58Lk5FVdhOuLhr3n-DOJtObrOFPVras3YYb0DUnGCyB0fB7OYHKr1R0c5y7TkEuVugf-xuPAuKNyBHLEIA4lp13SEF_VPFePWIydheZaWVuMuZmkVf0hkRe_4YTL3JzibbMwIX0DrZALcHSG4dMkJX-H9-h59R0yjPrGcVLM2DXflHKElBO0vOsAQQnvo0uOhta60FgPY4jdq-PHTmlNOx5GRKA5yJzGXtHFcLxmumpn8KZ8PP6Q4MdRexAjEFgmidMm3sC72sm-UTK8oulrgtq88iyP-3-aT7TmDMUZgn9B89MdSL9Gdi9oA6Fe4oboDdyc31RV0xP76yS7MxlQbJx260yVgiXD-1pcmvi-1YC07mJrYccDvJrTreHs6nW12aS7ZtsZ0D4dVEkwX4Xe_W0vDaO3qZLKJBFhlacu4CURXf2HfaJmBj4R9ih3sX3zDPhUITkgigehCHaVwSCpfMm3z_MVR4rRRLRMaRiUgjwqQgGNHwLqJtFLWEIJDYYG2gK-gcI9FQZbM4sgjgh8BoDmjijoAAA","https://external-cdt1-1.xx.fbcdn.net/safe_image.php?w=540&h=282&url=https%3A%2F%2Fcdn2.ettoday.net%2Fimages%2F4654%2Fd4654889.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQA81uQ0657WJkaP","▲Ford Mustang Mach-E野馬電動休旅 。（圖／翻攝自Ford）","福特（Ford） Mustang Mach-E野馬電動休旅是品牌邁向電動化的第1步，其搭載的GE1（Global Electrified 1）平台是透過大幅修改C2平台而來，並具有最大馬力465匹的強悍實力。","speed.ettoday.net福特「新電動車」與Mach-E共用鋰電池　產量越大才能賺越多 | ETtoday車雲福特（Ford） Mustang Mach-E野馬電動休旅是品牌邁向電動化的第1步，其搭載的GE1（Global Electrified 1）平台是透過大幅修改C2平台而來，並具有最大馬力465匹的強悍實力。福特（Ford） Mustang Mach-E野馬電動休旅是品牌邁向電動化的第1步，其搭載的GE1（Global Electrified 1）平台是透過大幅修改C2平台而來，並具有最大馬力465匹的強悍實力。"
"https://www.facebook.com/ETtodaySPEED/posts/2531508927079802","1579150980","今天天氣好舒適～
明天大陸冷氣團報到，中部的朋友晚上也會有感唷（喬）

 🎉車雲官方Instagram：
https://www.instagram.com/et.speed/",1579466164,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ettoday.net%2Fnews%2F20200116%2F1626817.htm%3Ffrom%3Dfb_et_speed&h=AT3naswvZGKXmtzgPGUr3_Jevft5COSCOM6j3vYmSJ2j8_LqdIkJbRwTkga_3Tk1DGhgo-wNf5m7D_8Bh2_HJQlQ8h2YpU0Gg0cebubJ7T3UZczUDCDJk7MPjW7yvIeWW3wstP3tkcQzMYPq-gxdtcojFZPZW82j3IvkY3BrwtDVcKRrASW0og0OWDGKCYgnbTHj3f3CPWJsL2duZBhdz3MPbL84Khw8xcieMf7hPxxjf7KhdP1YUcLftxYHZQDDBU2FG-S8oGVlCzBNSCcXKGjG9XpPTYELnvOYe8tSHM8eUJRczHr0lqBTpCCWuS5BXap9fqH-TPMKZArzjcmnmzFg_mY19IP8gOdxQh_6N-iQ7BBvFjjqtLVupA2PHmzy4dVYRwfdp90b1xxxxsSQ4l0MlAVQBgDBOAT4L1YaOxO_LipBplAbPQR7VSEyePy_RwWY1dcbnYMCpQHH_gBDWAyisnq0MCc-uqfF9j3cfUTA0oUp35aCo0pE4kcnIEGCEuK9QuVit8DioWR5IcGDTAPP5yqbaIJVW6m25lP2fzY_KO3F1YR9Qxbb4LXVhpDANMTVb6XyTsWsFgZuuAMeihOa9QF3JIvcTMRLAgYKbAqIrN-DuujfHFwwQYDwaJgB5bP9TZku5DuH8mVDeL0","https://external.fhph1-2.fna.fbcdn.net/safe_image.php?d=AQBfqTeu_HCNAkBm&w=540&h=282&url=https%3A%2F%2Fcdn2.ettoday.net%2Fimages%2F4652%2Fd4652962.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBkXoIkrxnODtTH","Trong hình ảnh có thể có: ngoài trời, nước và thiên nhiên","下一波冷空氣強度升級！氣象局指出，周五影響台灣的冷空氣強度調整為大陸冷氣團，周五開始南下，北台灣明顯轉冷，高溫跟今天相比落差有6-7度，這波最冷時刻為周六、日清晨，中部以北、東北部低溫12-14度，空曠地區更可....","ettoday.net強度再升級冷氣團！北台周五高溫暴跌7度　最冷時刻曝「低溫剩11°C」 | ETtoday新聞雲下一波冷空氣強度升級！氣象局指出，周五影響台灣的冷空氣強度調整為大陸冷氣團，周五開始南下，北台灣明顯轉冷，高溫跟今天相比落差有6-7度，這波最冷時刻為周六、日清晨，中部以北、東北部低溫12-14度，空曠地區更可....下一波冷空氣強度升級！氣象局指出，周五影響台灣的冷空氣強度調整為大陸冷氣團，周五開始南下，北台灣明顯轉冷，高溫跟今天相比落差有6-7度，這波最冷時刻為周六、日清晨，中部以北、東北部低溫12-14度，空曠地區更可...."
"https://www.facebook.com/ETtodaySPEED/posts/2531501427080552","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579466164,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/ETtodaySPEED/posts/2533442596886435","1579345380","賞車可以乖乖「賞車」就好嗎？（尚恩）
🎉車雲官方Instagram開張：
https://www.instagram.com/et.speed/",1579466164,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ettoday.net%2Fnews%2F20200118%2F1628310.htm%3Ffrom%3Dfb_et_speed&h=AT2mHietSI0-OoI_jsuScC5eH17syNx9geG6STLWHRc4WERjufDL9iWz6112yPkCKZizUBDBlYuT3xFuKXZQk_-0LA7RtZnmjrzUuaAJ2YvzYQJsShKpgE7oTm536Vm1chINZzxee3LnBmvX4ddj40cGJYCOuKgG67fn-2EwA84hqc7LOZ7UUd5NrRlI3Mvvu-bVrnbYYtUTV059W5CUW-GoO52ZL5ZkluksXIPgelyQ7UdkvhiiJiecu3cG0gn6QD4VthkgMx9GsmpUdazgRXllZ8zFgyIIn84MX5Wf78KDdVwALUw50Vi2TPmNvbfYY1_IUUXiVDYDqK3rhHKhfKALYxYsse9JzM4pO9RdxOhJVLXj6uLSQ8AXcUCyq6QTN1qwT7VIrSYjoWWmMJm3g2rUIKLRDDhy_GQJKjALAnp1OVI9osJrd5BLplR2DFiW0aT0S2kTxF72II-MEZwehUUUEw6Z8fJSTcTfydcQOPHDJPnO1mwPYK7zfeGWUFCzCB6miDh6O94jy_un7gVb7ELXhFPEGPNfuskc-jFCgzmpuN5PVsxNa3URLVt2eMApG5chUqisVzLt_xNZmXtidzKOj7OPPvBNn4YhmBp46nM4J6m1jlCDY5R2jIuUtG0gnpK5mES9U7ohWbWqH2Y","https://external-cgk1-1.xx.fbcdn.net/safe_image.php?d=AQDNy00Dkf4G-FTv&w=540&h=282&url=https%3A%2F%2Fcdn2.ettoday.net%2Fimages%2F4219%2Fd4219091.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAxcwHM0F9UBmAk","▲▼銀行女行員、OL、辦公族、櫃姐。（圖／翻攝pakutaso）","高雄曾姓男子2018年7月前往車廠賞車，由業務員萱萱（化名）負責接待，試乘途中曾男突色性大發，先是頻頻把萱萱拉往自己身上靠，接著還摸她屁股說，「想看妳不要穿黑絲襪」，性騷擾得逞。高雄地院審結，刑事部分依違反....","ettoday.net準爸爸想換大車！試乘時忍不住「摸臀」女業務：想看妳不穿黑絲襪…我們交疊 | ETtoday新聞雲高雄曾姓男子2018年7月前往車廠賞車，由業務員萱萱（化名）負責接待，試乘途中曾男突色性大發，先是頻頻把萱萱拉往自己身上靠，接著還摸她屁股說，「想看妳不要穿黑絲襪」，性騷擾得逞。高雄地院審結，刑事部分依違反....高雄曾姓男子2018年7月前往車廠賞車，由業務員萱萱（化名）負責接待，試乘途中曾男突色性大發，先是頻頻把萱萱拉往自己身上靠，接著還摸她屁股說，「想看妳不要穿黑絲襪」，性騷擾得逞。高雄地院審結，刑事部分依違反...."
"https://www.facebook.com/ETtodaySPEED/posts/2534093400154688",undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
