url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/EzgoFunClub/posts/2605944372804570","1571094900","【每月15食物日，介紹好食物】
#毛豆 蛋白質含量是牛奶的12倍❗
想知道新鮮毛豆怎麼挑❓
毛豆為什麼叫「綠金」❓
毛豆、大豆、黑豆有什麼關聯❓
請看▶http://bit.ly/2OE6kON

⭐熱門活動⭐
2019新市毛豆節>> http://bit.ly/2OJSHOa
美濃毛豆田認股>> http://bit.ly/33s711Q

#十五日食物日
#在地食材當季吃
#揪人共食快樂吃
#原型食物真好吃
#不要浪費食物適量吃

臺南市新市區農會 美濃區農會 美濃白玉蘿蔔及好豆股東會","1571228220","/EzgoFunClub/photos/a.331476610251369/2605943892804618/?type=3&eid=ARCQh8ut7AoHE4jv9GdcWVqZayeXoty3RlUQbgadE1DF8pcKHi2DYzgUQ11b2g9vtzuuJC_SEUscaOSz&__xts__%5B0%5D=68.ARB-yh198U-WId1R44-g3lxN5BNoQEEOorG_cs4INbqNXBrZEtlqr5K2camwC5itbD7ZiZLZXqCd8EIJT-zbRp7stVGbIxIZz_z_aiCLTtN7ZjDv3hgPuiApxt5BvHdqL1JhPqQJEs8cKLQed8fKN28x7OQhStCXhkGFncgh0zrPUBB7lpN7lo2mY62-468-hCDWDxRDLrpXIYioIpFUt9OfFJfxNqMerIVH-ioWW9RkGuu-TK4lVhqJ2Jt4aiFk4fTfF9KZU7Mv50sWP0kJDOZG-F45Pb1srz9lBHyjh_5QbrFi-4V2jtT11y7SRtSVGqGra5XZPo2lGfjohADKur0PKQ&__tn__=EHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p526x296/72526872_2605943896137951_5970685980951183360_n.jpg?_nc_cat=101&_nc_oc=AQklggblpIoaZgD97SsYFuQlzdO_vQ6lQgJ4chbSQ7jiysVuv88zkdIEJvKL0aP639M&_nc_ht=scontent-hkg3-1.xx&oh=a614eeff45afc8b71dd1a56b6000bb35&oe=5E2DDF31","undefined","",""
"https://www.facebook.com/EzgoFunClub/posts/2611949195537421","1571197398","什麼？投票就能抽住宿券、美食券⁉
投票方法簡單，但要選擇好難😆
快來看看這些優秀的作品吧▶http://bit.ly/2OOU1Px

台灣休閒農業發展協會","1571228220","https://www.facebook.com/TaiwanFarm/?ref=nf&hc_ref=ARQfzCvImPecD6Ih_u6zqLQbR8Nwxa4bP48MHuYQgbQTBShSrwGsT3MTnWTYLrb6TY0&__xts__%5B0%5D=68.ARCU-FM1vnmbpGLCs0K5WheMkNHxKGK8R5CFAiNNHeWzXQvx6kYRJG-4SCBwOA-KYwoBM9Juo4jjAJkzZXWssBRG5E_A6PdV-DHsmhPZFARrlijH6v8m5UuId7Qjeo_v-VVTOlbvorH-l66gxaTfWqVt76UreEoQ1vqOZeEHZoldxFkrl1YmEBiYngLD6JcF99IEQtGzf4UDavWIsnyGWohW31x69LCZwMsITXcCIk6UKEfZayjreWb_8NIQNbp0yP_7zebhRCReHAQ_hQDGX9ieju-NxhVUwDAWaohOAn9-epgguyKNVJdniNf5tt1jZr3jNNSx_6eEjbnqAm9wCtdMOlP844pPtOZVZCCPxlg6otTsQPIDo2MXaD7n0dILmGbq7-TR-NFFg_UttSHKBccSDCsUUafpq3WjyRgRP8JTxfksirnqH3xYm_eEOTn2rAlRgOBqRPKh4KWdxLhHn1eCBkmILGQdzRqqcPSzOA-6e1WtGR1zXZYf&__tn__=%3CH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-1/p32x32/73442_165740173455549_1088510_n.jpg?_nc_cat=109&_nc_oc=AQkqJTd9gMZHpYVRbIKY-vWKLI1pQSQC-P0_ireTCz2diLBmpT8GZAoxHx1d08Ge2XdbWjjoCB_zGgFL60-MZTAz&_nc_ht=scontent-sin6-2.xx&oh=4fc724fda359de9db761b57319e0aecf&oe=5E223C5F","台灣休閒農業發展協會","台灣休閒農業發展協會",""
"https://www.facebook.com/EzgoFunClub/posts/2481870591878616","1565247747","想吃柚子的粉絲有福了！13家農會及11家糕餅名店聯合推出預購優惠，準備剁手手囉👉http://bit.ly/319KPbv","1571228220","https://l.facebook.com/l.php?u=https%3A%2F%2Fezgo.coa.gov.tw%2Fzh-TW%2FFront%2FNews%2FDetail%2F1302&h=AT0fdmcMu7Uj0WdwGH7bo2Enr4wHusmPFqKryERib_U_KR33ENQgsft-W2qqGGtoJoTqmxVn8Ukc9l6HGR7fiNvZz_OPXMEWXyT2Hwq_dwcaTTVaTnYjIiY_BXt8MU3H_3ELbQjB4oUdH9au25n4F-Z_cf__pYBs73YloxowC5olwXM0yr6W9EdzyrOQMQVRqkDTbe8_xHAert41BkdBzjadnIBY5P4uJ-_pzp76AXTNXnIb3xtfz0StvSHiS5ppn3zT5KqDtD3K1-2nJ117bHAh2oZnZqJCpG2AxqlKiFjPKP92euke1rweYqOEIH5uD-L5oUrZ6EDEM3bYVf1I5zZPa3LIYNt59SPcnjimLs771Iv6Yfbn8otTqAqepgPkrmGGZH70HQqwy4SM-d1FJnIcKMXFRFREslTZeGVPzfGmEc5wf3hj4A6l1lHXDseXfzK6uR_lIPtplGvLlDF8ekgu7rwUE0aTMexe0d2IGw4CGvaZALFnrzQk3LoLnJ-I_J4m42LiTW0V3N_4iXA25tpEHTnWV3qYGbU_w2cZWlhYatpxsPKQlU51Z0GvTOIjD2G0Ztn58lSpIw9zi3z0ZPwcZfghSPwbvptV31sP0pmUIANZ2WrDOFNf2gf2vlKqdwPesJDCthaJgqrB","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQADaE0syrLPjT2X&w=540&h=282&url=https%3A%2F%2Fezgo.coa.gov.tw%2FUploadImg%2F3%2F%E5%B0%81%E9%9D%A23.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAMNwXwo8XDMrZF","『柚』見中秋 預見幸福 –串聯主要文旦產區13家農會及地方知名11家糕餅名店，推出中秋節預購優惠專案","『柚』見中秋 預見幸福 –串連13家農會及11家糕餅名店，推出預購優惠專案-農業易遊網","為讓消費者可享受美味的文旦柚及以柚子為原料之糕餅禮盒。本活動與全國文旦策略聯盟、糕餅公會全國聯合會、連鎖加盟促進協會合作，透過電商平台及實體通路進行文旦鮮果及其相關產品之預購，現在無論你在哪裡都可直接..."
"https://www.facebook.com/EzgoFunClub/posts/2529462680452740","1568511000","菱角怎麼挑解答：
買菱角要選成熟度夠的
拿起來越重，或按壓菱角中間
感覺越飽滿、越硬者表示越成熟
至於菱角殼的功用>> http://bit.ly/2NOl50Q 

#十五日食物日
#在地食材當季吃
#揪人共食快樂吃
#原型食物真好吃
#不要浪費食物適量吃","1571228220","/EzgoFunClub/photos/a.331476610251369/2529457707119904/?type=3&eid=ARAQvc5NzYx1xVaF5TQ4aZ-EwMu9Ged-3-kn2NfEogD6uh-TEHI_ax8FPBbGcag9yP0q3lTkYlV2A3nJ&__xts__%5B0%5D=68.ARAHN8bs_fnb5BFg80fxGLrx6QAy4sjvwiXTKIvI6OS8xOk_1b5FzEtnFRoAzqhN1YdMJJcQGBXb0lsTmAKnwjyrGrEyyoYChoQ4oK-SJdzXbQh4Tn85AuwNEu-hUZYrp7XW8_MLCFwZTV8JiNRgZX5suyB3tTXypRRfZsISfOviA3vxwjN3Eqc9nKpyI4lcHl63LKMxRy6kyWXLLJ0yLVQ_BlOUIcdhZusND9hUoEuc2sYetHiN9Q6I_XUhyK8dnmE0-doI9grHK3vHW286afQ7mDDrI4y8eq2g0JLgk0xqnCwJgfMA1oZqSBIhcUYMpCRe7A-mHHcr42YqyH-5L7ZiMQ&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/69537018_2529457710453237_7319429359708667904_n.png?_nc_cat=111&_nc_oc=AQlW166ke_K-fhU4giXwryvWlwpgRF-ijtF1paYs9OBP1yRNcn7kgugA8W_x4h6sy9U&_nc_ht=scontent-sin2-2.xx&oh=ef354ee5ab93e7762492c7d1b4aaed6f&oe=5E29AA73","undefined","",""
"https://www.facebook.com/EzgoFunClub/posts/2492409570824718","1565962200","從建地走進農地、從拿筆改成拿鋤頭
胡志宏的人生正在跟他的西瓜一樣
逐漸由青澀轉紅

囍朵農創販售的不只農作物
而是年輕的生命色彩","1571228220","https://l.facebook.com/l.php?u=https%3A%2F%2Fezgo.coa.gov.tw%2Fzh-TW%2FFront%2FAgriTheme%2FDetail%2F927&h=AT2ys96KzRrTXm1MvQptZywuXyrzCUtjn4QGVZ5JjIAtugvzSshRX2xiB9oZrtdTiqkaxKuomJgrBxaau4odtspUQDOEeFLFmpt_Y80zW4Tr4zFIVEiGJ5ufyNkvNRNxYOwp6GmqI0vSIQtSpJh1mMmQ_hCp0UzjXRmLMVdjKCV4qsLaI00zk_rdK44ySCU5o3pp5DiwAuLCJzJgA58q04eBfWfNsqu04sX8syg9lTI0jl3_ysEDR7hjWYioJOSnUws8BR01WP_Gm0Q0eT_fuR23J9HpwRbMr5DUBpbWM8C64gj51aMGTeo-AEK_V71_AYQw_Ftr9r0n9odF1xJS9I17CeHtBVEckz6gWjfU_G7aOYI-B364iJ2bZ2FZaeNswxtiDOd5vMUjfVEyfkuk6yFWraHU05pLOYtCp18UKMD7e1emx_XphVjqOs31nj7jdEd-SOmLDS9cjOmpMlRkVmT_2tX2UIQ1zOJ5jklpfQzudAiu-CRyQUvLVjgOUJrmAsbXdq-5yyb-4Jjc_hXnYiG8hnInFnXULEk6dBiHiCh0FIjRkyxc4XMR4msuq0uUOwyr5rEzs-CJ4jARHJr1OrQ1YF0905Wdzz_rwYZkq0Y9uPo8pGtElgXprez7otQ076xcoMj2gmykY2H9","https://external.fmaa1-2.fna.fbcdn.net/safe_image.php?d=AQCGffXmLsXoiud5&w=540&h=282&url=https%3A%2F%2Fezgo.coa.gov.tw%2FUploadImg%2F8%2F%E7%A4%BE%E7%BE%A4%E5%9C%96%E7%89%87%E8%A8%AD%E8%A8%88_%284%29%281%29.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAQTGCuV-Bmjk5s","Image may contain: one or more people, outdoor and nature","水果旅行／台中囍朵農創西瓜　嘲弄最難熬-農業易遊網","這是一個典型青農創業的果園。囍朵農創賣西瓜、賣甜瓜，賣色彩鮮豔亮麗的紫玉米、紫地瓜與洛神，但販售的不只農作物，而是年輕的生命色彩。 民國72年次的胡志宏，出生新北三峽，逢甲大學取得建築碩士學位，退伍..."
"https://www.facebook.com/EzgoFunClub/posts/2581839845215023","1569936901","夢中的橄欖樹之旅🌳天堂來的果實饗宴...
天啊~小編光看遊程名稱就想去了😍
４人成行，一人只要９９９元！
揪團手刀報名👉http://bit.ly/2mtNIFm","1571228220","https://l.facebook.com/l.php?u=https%3A%2F%2Fezgo.coa.gov.tw%2Fzh-TW%2FFront%2FNews%2FDetail%2F1352&h=AT3xbZEU4hQoJA1ggM2bWI_tp6nwtU1I1mS1MDVAhWF0mkzFI0-0mfxoc6B3GblFC1yRWDr5DGW_aWMnwNiA-zwrmHM0BvYLpHj7Kyx3KOCnP9u_vmZe7OF2XVQRi8LRI4Kem3ouGzQUq8_NmEgesVCfd51tO_gVZzJT6NYIrnuW1fhMhUkwRwbBPrCtHNgS3RnmRz6N_4WcxUFV75W7B4feoYZYf1Q9U6gTc0t_PPDVgvhGqSCoCdZIQqlBQzOB9h8QD9r2FhVg_xWhqrClryboaTngZzHwJR39e-qlx6RcPfiMw19rOAU8yDJvwbTCMk30DASCThL5B_28lHRSQJF2013rqxmA6JGonj7mErmcQ7eGopjVOF1TH3qGdTYvN9U66kdVR6__XGVRf1w38UXnmM2nD1gs4kxBLt3AjePOrfCmtaoP5m57XMUuK-q62EqXkT31VgSTdwRrq4GKYIBpc0xvCV4_abVcPWqB1AN9Sd2CuWEZ6AwKIpyi1Gny0gZSNRz6-mlSLZSlFM5Niz5SpNoJ6_uhHLHi0YPLARBUPHLjfkIFEzBvbwpmjz7r7uew5YhEJp6g2lNznJyew670km0z0MZZZBQupooizJaWzdmQjTGzgnQLUjb9A82HFBpSQoGn6GBnhFMp","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQCge5-tZznsvbNj&w=540&h=282&url=https%3A%2F%2Fezgo.coa.gov.tw%2FUploadImg%2F3%2F%E7%A4%BE%E7%BE%A4%E5%9C%96%E7%89%87%E8%A8%AD%E8%A8%88_%283%29.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCKGxqWTdBo-yvt","null","2019幸福台東農遊趣-冬季-農業易遊網","精選台東特色遊程，四人成團、天天出發，一人只要990元！趕快呼朋引伴作伙出遊！【一日遊】週一 台東轉運站/台東火車站/東遊季採集館 ..."
"https://www.facebook.com/EzgoFunClub/posts/2542424509156557","1569227401","美食救心情，菇菇的美感下午茶這樣呈現！
「醃漬菇沙拉」、「歐姆蛋」、「菇菇燉飯」
內文有食譜可看可下載 >> http://bit.ly/2NSgmva
喜歡菇菇的 +1 

電子書(PDF格式)連結
尋味臺灣 四季養生 (農業試驗所特刊第196號)：http://ir.tari.gov.tw:8080/handle/345210000/7502
尋味臺灣 複合養生 (農業試驗所特刊第203號)：http://ir.tari.gov.tw:8080/handle/345210000/7911
尋味臺灣 品味養生 (農業試驗所特刊第211號)：http://ir.tari.gov.tw:8080/handle/345210000/9918

食譜影音(YouTube)
尋味台灣 四季養身 (農業試驗所特刊第196號)：https://goo.gl/7ujDMw
尋味臺灣 複合養生 (農業試驗所特刊第203號)：https://goo.gl/5svfwQ
尋味臺灣 品味養生 (農業試驗所特刊第211號)：https://bit.ly/2TIbhoA

新社 百菇莊 【阿亮香菇園】樸實認真專業的香菇園區 見山農場","1571228221","https://l.facebook.com/l.php?u=https%3A%2F%2Fezgo.coa.gov.tw%2Fzh-TW%2FFront%2FAgriTheme%2FDetail%2F996&h=AT2yW3Zwf_Vi-Un3GPWxTZSYEN-4M_Xev5rBRct6jYG0mFiSBp-w8b8Ik2tXLvdTe0rbukDImJyO6TqoVkWdbJ0NU6CoMhuKmN-_mBFs4vpOY3GWxeQOdJpXTEPTyDXgsgysqYE1CS7qJQOmGxINDbHDO2Fr45IqBK89qfR1q9nds1K7q-2xUKS5mHtw7NV8bdkLABiuKtF6ZyZncOE66BdRSZ3mfZRjvNS61OFlP6bB9_RnyNqtjsmtdRggQnsErY9fRWFElVfgcC8g9l_9RlUhdpNX4WqKE0Ux_qTnK2-S0L7PCJSa62401uXgy9K80MYYtBnim6wKyr-FH1mcMeRPeyb32adSTSqaE2gU88X4olc_5UNsqzwOUyY3UEvpiWmh9mHZj4blcI9B6o-9smwU5q2QnkDEo5xK91jhRzUh8S7uqoHK9BTdm3y8dBPX_PUBLvon-Pjz9AgNcbiOElC9WlGSIyVAy7bdHk822ZPBJSO2fB2pCKRcqFDFxLYZEobS_0VvmCAiaf6PFDZ2fg9cgEcAuayWzmJvCkc_Q6sQSGNWTv9lbdTsMKP-OcIlqhQG40mwFoSR-2nrYPW6d7DXX_i2jXaVqYO8m_SX6K1U4uxAuWpId37P4w-1r__nxPvsZkiX0wqjm2rb","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQC4PMH8Bn-Lc4Eb&w=540&h=282&url=https%3A%2F%2Fezgo.coa.gov.tw%2FUploadImg%2F8%2F%E7%A4%BE%E7%BE%A4%E5%9C%96%E7%89%87%E8%A8%AD%E8%A8%88_%281%29%283%29.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBokNvXDEN5bWtb","ในภาพอาจจะมี ข้อความ และอาหาร","生活不憂鬱，讓菇菇療癒你．主廚秀出三道美食-農業易遊網","臺中新社區，是一個適合四季農遊的地區，除了最著名的新社花海，新社的香菇街（協中街）也相當知名。除了家常料理理常用的香菇，新社還有其他菇類嗎？這些菇類又有什麼機能呢？徜徉漫步在新社區，淺山交疊、午後大雨..."
"https://www.facebook.com/EzgoFunClub/posts/2529151520483856","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/EzgoFunClub/posts/2558795737519434","1570022700","【加碼體驗券到苗栗】#玩苗栗的優惠地點
苗栗的休閒農場都非常精彩
可以畫臉譜、可以採水果、可以認識貓頭鷹，還有道地農村美食!
很適合找新鮮的家庭旅行喔！

➖➖💁‍♂自由行💁‍♂➖➖
遊客平日入住公告旅宿業者（含旅館、民宿、休閒農場），每日每房加送１張農業體驗抵用券

合作旅宿業者 >> http://bit.ly/312XOMu

☎諮詢專線：（03）938-1269
（服務時間：09:00~18:00）","1571228221","/EzgoFunClub/photos/pcb.2558795737519434/2558795130852828/?type=3&__tn__=HH-R&eid=ARCaG8lbqDDwsacual6Us4jHj_WqqKbmxWMEe2rI25Z1ayRJgKpPz-fpohf3vL96naFG9_vjY5ihHgJi&__xts__%5B0%5D=68.ARBdCnyhfA78ygADr0fX49XK-hPghStjDID7R6vArQG2umWLUQNs_demP8zfZAgcwSkyuoxxADEJSNTh2TCNAybXryNT6k1FON6H8ec00EasC5P-REhZGWgjXPDM4em5Nira-BuxK89DkHkL1c6Hz9_wMirQQwREn-d-CSE6mLO5L-Nr_JeKnaLyoFT6Y4ps8qjzthEb1b1eaDaVsNDLosFNeslqUY5zEgFV7wgJ7iAZe8YPtqtvbxsdE53KKISG6LvPaewBx4naXZFunw3g2XIl73YqHjMwJ86u7TIX78kP7-XTGVVYi_5Dw6esgY1ZEOa54TBzJ3ex_IOquKRBJeOg2w","https://scontent.fbkk5-3.fna.fbcdn.net/v/t1.0-0/p403x403/70686722_2558795137519494_7951513116771090432_n.png?_nc_cat=105&_nc_oc=AQnItWExfFTBXH0ot06AR6FGyOI0xdBIHUYSof4LkFx4bPvxvbvI_ez0tbUJ18z6nD8&_nc_ht=scontent.fbkk5-3.fna&oh=394f7ea32870008d9d6064526458cb89&oe=5E2AAC3D","undefined","4",""
"https://www.facebook.com/EzgoFunClub/posts/2523928751006133","1567231253","哪裡能一次吃到全台特色月餅❓
鼠小編揮汗已經幫各位探路完，週末來 台北希望廣場「田園媽媽味~饗中秋」
😋超過40種口味月餅展售
🎁消費滿300元送限量好禮
❤月餅義賣所得捐公益團體
快來快來，晚了就只能再等一年!!!
看看可以買什麼：https://pse.is/K53X6
更多現場活動照片：https://pse.is/J7L7K","1571228221","/EzgoFunClub/photos/a.2523902407675434/2523903234342018/?type=3&__tn__=HH-R&eid=ARA84B0I5ZuiVo6K4aBmcncCKd5RwLF93d27Wf7M14WBD8g847DmcXjRf4nRHjivcNlWhqp1B-4UqyQ_&__xts__%5B0%5D=68.ARBdxd54PnmWovb49fY8f7gplGmCZHk-owqcOfRO3O0zZdmGTcL3B9COMvvtQ3tL4zEhNkNYQa9zbVCPiiCbB6F2aRUkiL7bzH5C5vrCqfW0TmFOhNHJhMKUfFX0l8nzj1NK6Rk9HMP3a1YO_17bOkHZ5Cxyvt50wWPiN_vvqr82zThpGLPO2puhtHUJyaPak9kuOdA7pKu8ryWV6cYZRZ0R3qmgD_ToB4seoKGkhptfAIKFV4UbVPBsoUXIStz4jidtuAPejqC56wjHYzUVkf0mOTa2o9FC4hHGeGVr4D0e4A1HND0RGgTOomywJHm1JRB6xsNVQ4ZFklev0Cb3dfkwDKbBNdgy3j8RbyXLmUzHKyH6iW-8I8OlvZTfo2As_f71FUVstQN0JD_YQTVo3p8kj_8bSoWZzfNICxsXApLkC0P8dWqG1tOgnLuKoxFXlU9Eo28xixBPzRv_IOw78g","https://scontent.fbkk5-5.fna.fbcdn.net/v/t1.0-0/p526x296/69705241_2523903237675351_6112060284107489280_n.jpg?_nc_cat=100&_nc_oc=AQniPnfwUvzEoGOUa-oV_tMZfeLHBEjcOrXfyVTGmjWgN4KJEz0--5kTEaeHFwms8-s&_nc_ht=scontent.fbkk5-5.fna&oh=e3ef0a0aeaa79e4808fa1d7195a43919&oe=5E65520F","undefined","26",""
