url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/FHFund/posts/2500073896755257","1571198402","【三大步驟準備退休，打造幸福人生下半場】➡http://bit.ly/2m7ty3m

 隨著年金改革爭議不斷、勞保基金更恐於2026年破產等新聞甚囂塵上，讓多數人對老後的退休生活憂心忡忡，甚至可能成為老本不夠花、沒人照顧的下流老人！
究竟該如何為人生下半場預作準備？其實可以從這三個核心問題開始：

 問題一： ＃能領多少
一般來說，勞工會有兩筆退休金，一筆是勞保退休金，一筆是勞工退休金。先了解自己退休後能領多少，是規劃的第一步
➡立即試算你的退休金：http://bit.ly/2m7ty3m

 問題二： ＃還缺多少
知道每月大概請領金額後，再來看看退休後需要多少「必要支出」，像是日常生活費、醫療等花費共需要多少錢，算出「資金缺口」，也就是還缺多少錢。

 問題三： ＃如何準備？
與其縮衣節食效果有限的節流，用正確的方式補足資金缺口，才能事半功倍！但一筆資金究竟該如何投資？＃金複合投資法 
以母子基金雙邊運作的方式，讓資金達到最有效率的運用！
>母基金：只要24萬即可投入，再每月分散投資至2~3檔子基金，分散風險
>子基金：達停利點時，會自動循環回到母基金，生生不息

 如何量身打造自己的退休投資組合，請撥 #金管家理財顧問專線
📞0800-005-168 #有專人為您服務

 ＃加入復華Line@ http://bit.ly/2H1tdsb
投資人因不同時間進場，將有不同之投資績效，過去之績效亦不代表未來績效之保證。",1579103321,"/FHFund/photos/a.1339133482849310/2500073116755335/?type=3&eid=ARCHUC40bUgTv7IyELs6d7CCnIimzJ3Af28s34JcEIgPJWjPSDo-sY3-7dOvZIfNCa-w7PlaPBx7mwIE&__xts__%5B0%5D=68.ARDk0vekM5BT2dpyBoBv0XIuoKsEeV-LJYELoWCJhWzOx6_Y8FhKVe3MsNLOZkK-OWdQJ-l88oT5YTJeGrBM8Vh_mLrVfSuAIz-7_bIeHlNyCoDESGn_kUIrzpdENa30EGz3Mk_N3Y5Va1p2pgpDbqtPGdiRs0ajPn5jQULbfGJ77yWl2jDUdjOP_hlkhCdy_Fiabs7ue_AX84jJB-Zc8evQh44PxzEpRpWyKEsHc_YMA7LpY5snKUdgpGF8DFTAGxvKpf7l42Mf127bD-22dhV-HfOsf_Tqh3uBrxbFGGT9DHa5hvQIyZWKYhCBdcqhT3lOt0Hpl_k4VdriLSiMoWuN8r5r&__tn__=EHH-R","https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-0/s526x296/72596060_2500073123422001_6623859449071140864_o.png?_nc_cat=102&_nc_oc=AQmQ5Yq5M5bTL_kqTMi--GPka0zdF8LzwA28Tb_0gkJexDg96zdJAVHMwIzoKRy2BRg&_nc_ht=scontent-iad3-1.xx&oh=e298ca90f61312c427dd66a67601677c&oe=5E931F01",undefined,"",""
"https://www.facebook.com/FHFund/posts/2484316938330953:0","1570449603","＃每月一金【了解治癌新趨勢，掌握投資先機】

 你能想像，如果有天癌症病患只需要在家使用電療，就能輕鬆完成療程？
以色列生技公司 #Novocure 發明的「治癌電極貼片」，讓這件事成真了！

 
這種電極貼片，外觀長得像是插了電線的酸痛貼布，透過低強度、特定頻率的電流，可以在不影響正常細胞情況下，有效的抑制癌細胞生長，更能讓癌細胞逐漸衰弱、死亡，同時病患不會像傳統化療那樣有不適感，副作用也只有輕微的皮膚刺激和疲倦感而已。

 
而Novocure在2015年時於美國納斯達克上市，短短4年股價就已成長四倍之多，目前美國FDA已核准於治療腦瘤與間皮瘤兩種致命癌症，若未來可擴大應用到肺癌、肝癌、胰臟癌等其他癌症，適用的病人預估將是現在的20倍！若反映於營收獲利，成長空間相當可期。

 ＃復華全球物聯網科技基金
＃治癌電極貼片
＃國際投資趨勢搶先知曉",1579103315,"/FHFund/photos/a.1339133482849310/2484316938330953/?type=3&eid=ARCG9sk2AhgGSddfZfKlqAUNRurkR5inAPLz_kPOopqAUA_NKUfv1H8bgkQ8yc5ZL3B0vHizvtBVZJWw&__xts__%5B0%5D=68.ARAybZI6YcKRrYkE2aVkv70zhayfg5fpIhStX5gPF_Vdc9ws5JTbMkCHlMXniFRWNQZbbFDRvfVgJJ6yVq_7APJdLOY2JvewAbRpqr7nBruYu8iSmDQ1mc1SSFmUa_JCpTxTmKGjbTe6wglzJqolS9WF1Y77XynFel905bdDH2Ufz88AATyK-x2yVqaQiGiswCY_oOYGc6rUP9jbBsM2y2huRir0YmYU_4S6ZFxdQNe6ocJTiCKIIHhY_3jC2raM0g6zn4WtTk5LB_zc4gHlDhEWx0vyDLAAtsmUWKmJIZEyN9Q-fGRoh49XJY7ubiUomeIt55-xXFPobmUH7VHq_qre4G3h&__tn__=EHH-R","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-0/s526x296/72869294_2484316944997619_6749029042483101696_o.png?_nc_cat=101&_nc_ohc=ouU86P1mufoAX8XZM48&_nc_ht=scontent-cdt1-1.xx&oh=44cbca36376a91e053d2412ad136024b&oe=5EA37D00",undefined,"",""
"https://www.facebook.com/FHFund/posts/1729238800505441","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571474554","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/FHFund/posts/2349924908436824","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579103325,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/FHFund/posts/1661351860627469","1523592000","【 #復華咕咕湯 】你也有 ㄘㄈㄗㄧ 嗎？

 注音文最近很夯！
拿起你的手機輸入看看，是否和小管家一樣，得到真正的「財富自由」～

 --

 努力達到財富自由，不是因為有多麼愛錢。
而是這輩子，不想繼續為錢向誰卑躬屈膝，也不想因為錢而為難了誰。

 「每個月你都有一次機會，決定未來的你會不會更有錢。」

 雖然達到財富自由的境界不容易，但只要跨出第一步開始規劃，一切沒有不可能。
現在就選定適合自己的投資模式，創造個人財富正循環🔃
👉http://bit.ly/2q0vtWO

 #復華投信","1571474554","https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F2JexJBv&h=AT1TAab5aEBXDeuFf--MRA2fmGyG_JmmkUYIppbvWQnHsQJUpG1SbKQbSCvQ9IzyW_LiJ-E6ndfpna5wKeZt5ws-55ZlSx6sHKu4pp7WxF5ucsP_bn1cVl9bsl-LTZFwBddy2156eCVy2YTN33xK6iWsogOARU---pal_Oo1UZKl8DjQqxHN9X4zwh7mHAP5nz27yEWEy_VBHxAkn5QoLDS_xHar1yts-XtZcBJCII-FuCHgvJMSDC0lZpFKC2Gqj_i0rBnJLqbEVobsmoLyfAX87tHnjWMx0DxOzG9zhzzUA8XGjyIUD5pO6kfjvxhUuU8DWTOJQyw6_U76Fl8c3iTJa7-Xk6hY1nBMZCBQxpJ1zZiWaf2NsfSKqFLclrjxTRRbdaFbjN6LEzd2fzlVhxDTSiC8FjO6VHHqBkSUvLKxhGbNdgQZF5FsbnUoKjV32SxhTXMQ13hbBkRAmRSb187Vkx2rmXsa7qusuSnXI2VHDZIgvZNqQPSzcaN5AxsYzo7Uowo9F4FPF766rVvS_3E_gwIpwPgCld7b0T9q6qi6g2FiKOxWFie9udSajhpBTWd2wYkuTbdsaSnI8DDcUgk08xNQavZvcqqOfA0UOJz6CzsoG6tsWbYjTez8YqPkxusfRTG6aeZlskV8xYs","https://scontent-sin2-2.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c1.0.1198.628a/s526x296/30277111_6090043320074_1691744745530851328_n.png.jpg?_nc_cat=108&_nc_oc=AQlQvYdkSO3ROz_R4852HgII8OrHCRqzEfkqvdCLRsJZeY7mCQLQPqdl20Ij6q53YtA&_nc_ht=scontent-sin2-2.xx&oh=532219a03a88279e58a7bed20eaaab66&oe=5E60FF39","Image may contain: one or more people and glasses","拿起手機輸入看看！","還沒得到真正「財富自由」的，這邊請 >>"
"https://www.facebook.com/FHFund/posts/2088868151209169","1549857600","#上班不Blue #收假大調查 
農曆新年假期咻一聲就結束拉～
收假收心好痛苦！下面哪個你覺得最難辦到？
1. 調時差，早上七點睡覺，改成七點起床（按怒）
2. 認命上班，不滑臉書 （按哭）
3. 回復到放假前的體重 （按愛心）

 #開工收假 #有時差 #早起好難","1571474554","/FHFund/photos/pcb.2088868151209169/2088866807875970/?type=3&__tn__=HH-R&eid=ARAdrYckaszRm4Qywu1XsK72S2yCgUkrRKKjHsfsz_lJtzuKMmjLiTbCYPaJI87xt1k4v6BoTEOenuFY&__xts__%5B0%5D=68.ARDspiroM8af8GxMrGLWUPf18qghWNfJwX9anMje4i6uxhiuWx19iUoZO8_5R0gVkq59At-17FauExJaDXnQdgYTTJHRgYA6eOV5mucxzURJwKb54vztwAcQtVD8fuJSjy18xEbyeDF1kDmHw0QXfASovKOeBnjdUJ-0QzFUYtz98KlNVSWpIBgXZvjWiI2ue3PPXCbjO8JZewTbmRJoECPdU2tgxqIpPwJryKWUj4VcgOdAQv_GZ1ctG2mTO02wtr5jnJPwIQF7ARKhF6eQ5-61fW7p_-sBAdNV888353NZNCpPniK7MbrYmZtNpSw4rqwgpKm6QXr8hvqR9IKm_-kWuJjV","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/51580557_2088866814542636_5901604309623111680_n.png?_nc_cat=103&_nc_oc=AQkhrrZoJ3UPtRdCikwZHJ8dl83xqero6ow3pZX-SZpMIgThbQnFjQmdIF-LWDJ8QXc&_nc_ht=scontent-nrt1-1.xx&oh=48ddc5b5f53a23815f1d0063e806c60c&oe=5E2A8503","undefined","Send Message",""
"https://www.facebook.com/FHFund/posts/2433126713449976","1568174400","#投資疑難雜症
近期中美貿易戰局勢多變，市場行情忽高忽低！
「股市大漲我該追嗎？」「急跌我該趁勢買進嗎？」
如果你總是缺少判斷進出場的眼光，那你就該選對投資工具！

 在動盪的時點，一筆資金究竟該如何投資？
這些難解的疑難雜症就交給 #復華金複合投資法 來處理吧👍！

 相較於一般定時定額，母子基金投資更具效率，
雙邊同時啟動產生雙倍投資動能，
>母基金只要24萬即可承作，再每月分散投資至2~3檔子基金
>子基金達停利點，自動循環回到母基金，生生不息

 市場震盪，讓「金複合投資法」為你吸震
做好風險控管，一步做好資產配置😊
👉️ http://bit.ly/2KOoA5u

 更多投資疑難雜症請撥 #金管家理財顧問專線
📞0800-005-168 #有專人為您服務
#加入復華Line@ http://bit.ly/2H1tdsb
投資人因不同時間進場，將有不同之投資績效，過去之績效亦不代表未來績效之保證。",1579103316,"/FHFund/photos/a.1339133482849310/2433126553449992/?type=3&eid=ARCC9tcOOgMEuAQmFxCD7m1tHT1bwuoR30sCkNjcDxR0Xz-3zp3Ni7a40tVu-0_xg4vwb69FqP7fzwdo&__xts__%5B0%5D=68.ARDzuBt86mxsbxd7bOR0V4SLR9KJsAd4UmWSGM7SrgYmNEG2KN0G4kzKw_07EkdhGI52wE29TjiFJNZNqj42TASxAik6mdGT7K9fsTLK5nZoVeyVFvAmEiHpH9JTr8OBX5ET0Cez22ZP4FR0iQh3Gxxs8_amUUWdaWp3vA8jU6Erd-4kvMjtM0ARtKFwomXC_kOCcAyBf1xdfmuPNyWImvXH2wXOZkkVc832-E2GPrPGaOw4FfEIi553oxcV4A_bhKbsCGZI8iEGfp-4u_iJjZu98eE6Nrh1cYWyhzNVmDFFkznyktAR8qqqA8cluj9RtKUmIC_8tI6xmIAwxnGZLHv5cDoY&__tn__=EHH-R","https://scontent-arn2-2.xx.fbcdn.net/v/t1.0-0/s526x296/70079749_2433126560116658_1497896855529324544_o.png?_nc_cat=108&_nc_oc=AQkbBv3RallrKodC1FEod8hU9A3yMdnMfZZVLlAogMxTMNvPtrfZonxGRanrrYLMbQU&_nc_ht=scontent-arn2-2.xx&oh=8e4c3b31d11663d894012cc6d9c00cf4&oe=5ED487DF",undefined,"",""
"https://www.facebook.com/FHFund/posts/2498036416959005:0","1571046109","【＃大數據看市場】｜美中貿易露和平曙光，市場投資信心大增

 🇨🇳🇺🇸
貿易休戰的和平契機？中美貿易戰局日趨緩和，雙方已達成「第一階段」貿易協議，預計於11月中簽署協議內容，並停止進一步加徵關稅；而英國首相與愛爾蘭總理會面，英國硬脫歐風險有所降低，利多消息激勵下，上週歐美股市皆大漲。

 
同時，聯準會將在本月啟動每月600億美元的購債計畫，並至少持續到明年第二季，目的是維持貨幣流動性、改善短期資金緊俏現象，並強調此非QE，但寬鬆政策仍支持未來降息機率。上週美國10年減2月公債殖利率正利差擴增13bps，10年減3個月公債負利差縮減至僅剩1bps，美經濟衰退擔憂有所緩和。

 🇨🇳🇺🇸雖中美貿易戰局勢趨緩，然而簽訂協議前仍有不確定性，但短線風險降低有助於恢復投資信心，在全球央行保持寬鬆政策下，第四季全球景氣仍有機會落底止穩

 🇹🇼而台股受惠於貿易戰轉單效應、5G產業發展、半導體景氣可望落底改善，建議投資人可逢低增持股票型與平衡型基金。

 🔎重要經濟數據整理
【🇱🇷美國九月數據】
ISM製造業指數 🔻 當期：47.8 前期：49.1

 【🇨🇳中國九月數據】
財新製造業PMI 🔺當期：51.4 前期：50.4

 【🇪🇺歐元區九月數據】
Markit製造業PMI 當期🔻：45.7 前期：47

 復華計量團隊將各項市場技術指標整合為大數據，以判斷各金融市場的多空趨勢，供投資人參考

 #數據看市場
#基金找復華
#復華投信
要持續掌握市場與產業動態
#加入復華Line@ http://bit.ly/2H1tdsb
#或撥打金管家理財顧問專線 📞0800-005-168#有專人為您服務",1579103331,"/FHFund/photos/a.1339133482849310/2498036416959005/?type=3&eid=ARCFYEx5R7G4PkXLveYgWg-7Xv3B486FYvlahVirzYGj_rhI_GMlWCpkD9Imh65Z0WtfkC5twRv8TtyA&__xts__%5B0%5D=68.ARDeYdMC9-kRWEJpnAU0qvoJbA3HIDC0BqKoZmZO4qU4F6tFW4toscL4p_sc7YwwfV27m3mYfADTPg8y1ZUrwwrwbcJyUK03WfBP-6Cubs84Ru3QGrEOnDTjv-oCeTF9xR8KGrCEEx7vUO36jtuPohKhA4cK1C_u4814DCCpA2KrQsWeFP4TUsUeIthTu_JksBmt84OMtYhcYsYvApCNTlT9ZZLpJNVVCAjrOcz3Q-MHGlHoFEf9BpR3f0xn9FeB9qnHvEC5WE6dtBa9N2erBw1J7wY86f8a4vDNpYYjjzrT3scjJNJZ3pOdpkLaMQnYaetx2SRHMONYEse7gcJHhextvVAl&__tn__=EHH-R",undefined,undefined,"",""
"https://www.facebook.com/FHFund/posts/2365314890231159","1564722000","【 #基金百科 】#指數型基金(TIFs-Traditional Index Funds)
降息來襲將使資金充沛，經濟可望軟著陸、帶動第四季企業獲利回升，下半年可望迎接股債雙漲🌊🌊。此時若趁勢搭上指數型基金🚢
，讓自己跟著指數順勢投資，簡單直接地參與市場，不錯過任何絕佳行情機會！

 什麼是指數型基金呢？
1.貼近指數：直接複製市場指數，基金漲跌跟隨市場表現，不錯過行情
2.較低成本：享有比一般基金更低的經理費，降低成本
3.無折溢價：相較ETF會隨市價淨值變動產生折溢價，指數型基金每日僅有一基金淨值，申購簡單

 簡單說就是以更少成本享受一般基金的申購服務，更簡單的方式參與指數的市場行情，所以若想以低成本跟上股債雙漲趨勢，可別錯過指數型基金啦！
#復華股債指數傘型基金8月26日火熱開賣

 #金管家理財顧問專線
📞0800-005-168 #有專人為您服務
#加入復華Line@ http://bit.ly/2H1tdsb",1579103315,"/FHFund/photos/a.1339133482849310/2365314073564574/?type=3&eid=ARDvYhQc-vApSzl1wLPBRB7AR-ApVMsfkAZDZElLnx1fNp3wOsKu8J7tQ5ZbDLoGvDfmv2mj2QLz03ZD&__xts__%5B0%5D=68.ARB34Nhbe1NPXuDePEWP3amTWGwhPvVsl9kwVw0qmPQvWHkh-7abZyFuA0IFQqmQtGu1hgpjKTIpOYpFdYKWxeexXQUloNw4q3wfoyyH_40ZplynJrjCwJYBiz6EaEQi9BOPEC98wqoxw1ryllJqlfqQWusxboigd3uGkfLoT70WTJ8pdTzzgGAbqh18hP8gIrkUjC7_GB-h74eLixBm_C7f2r5yCXPk-oebJ7s-_UpMkn_JipqH9e96TNbFW9hQuDR9PvNMc76E01SDIYCZLVpvHxQ_psUX-7F-QvLlEdjLzFyNPpgj_xtjjCTXx3J64KOvhRZgN-hR2ZWWacN4J14KBD9g&__tn__=EEHH-R","https://scontent.fbnu4-1.fna.fbcdn.net/v/t1.0-0/p526x296/67497666_2365314076897907_7561791276140462080_n.png?_nc_cat=100&_nc_ohc=-UL2dfembnAAX-Ii8ou&_nc_ht=scontent.fbnu4-1.fna&oh=3f22c984ab9a9f0f8d0a2aaf4b957f43&oe=5EA6A35A",undefined,"",""
"https://www.facebook.com/FHFund/posts/1728240490605272","1528430400","【 #金管家看市場 】貿易戰免驚！Ａ股磁吸效應，中國市場先蹲後跳

 隨著Ａ股入摩熱鬧滾滾，績優藍籌股啟動慢牛行情，
未來市場可望更加透明化、國際化，以往的惡意操作不再，還好股票一個公道💪
近期貿易爭端只是波動製造器，可別因為慢牛行情而輕易下車🚐💨

 除了Ａ股嫁入 MSCI 的強大吸金效應，還有三大看好中國股市的理由～
❶ 企業獲利雙位數成長，提供Ａ股有力支撐。
❷ Ａ股上漲為企業獲利帶動，估值並未擴張，在全球股市創歷史新高之下，A股位階相對低，有利於逢低布局。
❸ 政治結構穩定，加上強有力的改革，中國經濟持續轉型中，短線逆風都是長線布局的好機會！

 抓對時機，趕音樂結束前，抓緊位子坐下🎵
聚焦Ａ股，提前布局 👉http://bit.ly/2sAvHoX

 #復華中國新經濟A股基金
#復華華人世紀基金 
#復華投信

 ---

 本文提及之經濟走勢預測不必然代表本基金之績效，本基金投資風險請詳閱基金公開說明","1571474555","https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F2sAvHoX&h=AT1_rLowLy20iTtNJvA5G7-vRcR8jkdWHMU33Kps4i9UX_gqQ5QohtFOp6S4VZlBIN6DgVZMfVv3PW-2nPnhGX0F49yaCAR68LVXY3RbP1YsPC8lcdp93d0yapYvMysmSUKOZmupya9Q7Vv2ypNqnFwd2Nv76oFREr8ySuXPkkamZr8H5poy5ypkQdME8HBPR5m6fsgcVFoVPTHHt5MWZCi09BHIhy_YTW8GkoCyr0kJ-IpENHUaqsFlITZu5YQt-ajZB5meqiksLWqsoCl_SoKDnzBuTp9H-x30YPpaDLgqof9mG3H5sEueJ-477TMs4SLQeKy_RqyvTZOeito0_Y4Ed-ktouZN28pD8OFMTe83_nyQmPpZ-3tudh-1jkltXyLE-5idGGw7giRdHZQ13qGKLjKhB2peAFwIAB823DhGn5g31hYKUf76gOZL3ulMZFVzMKoHDTz_RM5xIsJsFX1otaRkFxXOuwTJgBkFKhbAYNZDfmnubsXhZY81_ooveo4VArTE8TQOL9MSNTdbHObOSCmX4OVr6S7ruBLUXqehSCk4zdbhV3_CQAdDj_2A2S9Bho1pM0A7lmGEHjYtz3D3c3AMT4zUZSP0ITbOL4Ah4NYHAH4SAYtMml0V-bHNTHAGi7Idsfru0DKKMjF2D32D1mn7uY-lmKw","https://scontent.fhan1-1.fna.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/p600x600/34193237_23842874263930652_4341474352932323328_n.png.jpg?_nc_cat=100&_nc_oc=AQlT5LCNoWyONTG6qPE5_iAHt9x7gg8r2fLRkwS0YO17vFJWuU2hMrI-i-EyFnxQ3bM&_nc_ht=scontent.fhan1-1.fna&oh=2076025a5807425ecf4734ba6caa1e6d&oe=5E32D355","undefined","Ａ股入摩，躍升國際舞台",""
