url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/KrenzArtwork/posts/2153012768122751","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571542059","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/KrenzArtwork/posts/2566165996807424","1569297600","本周六9/28在台北地下街場CWT★PARTY-26 
攤位在▼C15,C16 靠近Y20的出口方向
同樣會販售拾柒慕向及HJL個人畫集 
本場不用門票歡迎大家來玩唷^O^
周六就來地下街逛逛吧～攤位位置圖下收

 #同人場 #同人販售會
#CWT #台北地下街",1579350332,"/KrenzArtwork/photos/a.346361922121187/2566161053474585/?type=3&eid=ARAFaQsiKZT4Wjbl5-lrhAJIZypmGyR8efvTUWy1jXnFBcceSv8bZNlBco-cRHZBCQyN2sFWzaKHoLmv&__xts__%5B0%5D=68.ARAkXQsrKCkZk6K7fniyRYhew43hvrg_pebtBuLm_OVL4xH8CfJYJ52pu3n1pgPkiusIum8lC0eR2HOvO52edOzmvmQbk5Uyff_tKtU6FPKKmFOXup7UMuaUVCNjxxEBZBGl_IVzXi3ybXlkW-KC82oN3KeFzbAOHvaFOsPipjsdrkf6p4qIjb4hMC1JYkj8XTIAXHxNSWu5xVC7oeoBPa8SC-91yzCtjA_LLdMQcg_ZIvh0PJqte2EZInluPey1E7V2V04vSkJ8RZIHdOwRzYIHvJjtpnmqJVNh0xwgXSWApfrowm3V90tn8yE_yqEp3LPPqIB4FeEVPvkdkyKNRbFSAA&__tn__=EHH-R","https://scontent.fcgk6-1.fna.fbcdn.net/v/t1.0-0/p235x350/70581888_2566161060141251_2500015100526592000_o.png?_nc_cat=102&_nc_ohc=yj632Yb-R3EAX9XVzOd&_nc_ht=scontent.fcgk6-1.fna&oh=4c90472e21890ba956c8a18c87750dd5&oe=5ED942DC",undefined,"",""
"https://www.facebook.com/KrenzArtwork/posts/1915180488572648","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/KrenzArtwork/posts/2596024140488276","1570248696","《台灣正式授權，代理販賣 TIMBOUGAMI - GACHA GIRLS》

 千呼萬喚始出來
本書由來自德國的繪師TIMBOUGAMI(Tim Löchner)繪製
內容收錄了大量精美的FGO角色插圖 
主打可愛又帶點色氣酒吞童子
喜愛酒吞的你還不趕快買起來帶她回家(O)

 於今日開放露天與買動漫網路通販(連結下收)
有興趣的朋友們請趕快下訂哦 !!!

 規格：B5
頁數：32P
價格：250元

 #內容尺度稍大，但無R18
#亞洲獨家代理
#FGO #酒吞童子 #源賴光",1579350335,"/KrenzArtwork/photos/pcb.2596024140488276/2596023090488381/?type=3&__tn__=HH-R&eid=ARArm8tTKnSvY-YfDbZzvGwvKj0XMy7aEOxiLbnIvgHxmzlTbBAPCeHyiJEipFRI5N9j44CxcH3PCA-s&__xts__%5B0%5D=68.ARD5u_btMbH-kpvWqTGOAF8uQQAkotYzCqNo9PNRaPpscfCP-qHtorQpGK-n2Ordh0Rjq3BQMT_jEjE0A3GxIs_V15AmUGxqDB-yMPpCfePD4xLnx-J53IBThFSCT9N3zBJg2vBPHZiwl4n9uNN-X3vkXiSuYI_LSbQj7llbxzrNB9CjI3L8dRlN6sbp1f60SJ66gKr5fCVe7idsJW-uhAlukBLymoIiiisw9w3MhGT-6bPCATbDlveEGzb5dyE5JJeXIUXosPHJwMVZaFeKv_SLgyL5Rzwew14qO7a-YCVbN7gc_EYWAkLyoGQZy8LnFb3kiKx2XmZCQVzUGogE4yQhrQ","https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-0/p370x247/71140202_2596023100488380_6284067874566832128_o.jpg?_nc_cat=109&_nc_ohc=2kGBBvIWvYIAX_p1wMn&_nc_ht=scontent-cdg2-1.xx&_nc_tp=1002&oh=ac337d66885e2ed68e02f4a1bb36f492&oe=5EA13CCB",undefined,"",""
"https://www.facebook.com/KrenzArtwork/posts/2405800756177283","1560939673","夏季 #透視與結構 課程報名倒數24小時，6/20(四)18:00截止！

 目前課程仍有少量的名額可以報名，
如果還有想要上本季透視課程的同學，
請盡快把握時間，建議最好今晚就先填寫申請表，
並預留1~2小時進行報名資料的申辦+填寫，
才能夠順利的報名上這次的課程唷~

 ※ 2018~2019沒有上過網路班的新生請走一樓連結 ※
※ 18-19 網路班舊生快速通關請來信索取 ※
小精靈信箱：krenzartwork@crespirit.com

 【小精靈貼心提醒】
本次採「資料審核」制，並無搶課優勢，請申請的同學務必確認繳交的資料完全正確再送出表單，以免因為資料有誤而扼腕唷~~","1571542061","/KrenzArtwork/photos/a.346361922121187/2405793139511378/?type=3&eid=ARBtfHCHrd8Bgot0nhUHrqM2N0Ty1z-IrH3SkLp0_RSFBwG3lQ2NfIvES3aQxD_UzHWfwKadTCwI0x3l&__xts__%5B0%5D=68.ARAJ1bfrYSLX94PAIjaQpfAKU_Gg57w8S5Jlm2a4FFwbAbjKrIStrcfp0Fk-FigK-6MzC1wVsc8DNd70gdk3G-bWzJm_NqfWrCclqH0zbLZEToRdiybwSN0JkYlZ9oaJIDj8ynupwokjULJBG2fd7wiEpC3HxPyTwlW66Zk4yTF60hN9E2qhmFCsuYyvU1CW73H3OSNcfW7g9q5PCA2jBYit1ac7Rv_nb62YdM74mNYtQG7Mv2AgdPcXD8kJA3f0ktf_9rJ746c19J_8AS1CQYo6LjBIMBWZD1aODuS85MWhBBw885t8EL_wDOdPqBEypJl179NIf7zIoZAlN8IH4R8Y4A&__tn__=EHH-R","https://scontent.fcgk17-1.fna.fbcdn.net/v/t1.0-0/p526x296/65027383_2405793142844711_9102810466610053120_n.jpg?_nc_cat=106&_nc_oc=AQlYkBHiAe5JRJI5GdN4RfJD8JMdCcBQgBrQi02ZdWkrnD-Dw_b0s8s3Lp3zB8xO9uQ&_nc_ht=scontent.fcgk17-1.fna&oh=4a548173dea05ffd88aa48983a5a4071&oe=5E1CCAAB","undefined","",""
"https://www.facebook.com/KrenzArtwork/posts/2400093966747962","1560664054","這幾天有買家反應
收到的拾柒慕向有損傷
因我們沒辦法控制物流運送的品質
如果您收到的書是有損傷的
請直接與我們聯絡
我們會協助您處理後續退換貨的部分
未來我們也會加強書籍包裝部分
造成大家感受不好我們感到抱歉","1571542061","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/KrenzArtwork/posts/963760707047969","1458117753","","1571542061","https://www.facebook.com/photo.php?fbid=974950745875061&set=a.203892652980878&type=3&eid=ARDo_k4vewicO1L7KdreRiTzmUHtoZJMq-Uwcpqwn59ybzS6HjZQTFy_oBhOlazreQqX0zr-H08WN-7M&__xts__%5B0%5D=68.ARCRpkkd754JIvdLLJalZojCvtF9eCiTKn5R_SOb1A3s6ktfFtcmlUKtv2USwcxnZLk6Dm5joGvokLu0hsRm750EV6cu2zGxYQ6wPoU6biGj2uzfzYsr65lhqbEwOAa0q2-Dr2RBxhxThkwv3EnqOqs-zLh8ENjYC9KP67RPVJd8dut9Vmob4_-sZN2M8phldlAY2ioo3fD1mBs30O8dNNsJSoOsYO6Twdd65HnrQcVWne-6AOnPzd1K6xmW9B4MIpPFoEQmS_HEM7YwiksrjZLooBJDywuDCzRv1Z0cgA7QuF3My54KXMg179qPYc_Ltp5q19zjXnQ2wbKnEGbmrBs&__tn__=EHH-R","https://scontent.fbkk7-2.fna.fbcdn.net/v/t1.0-0/p235x350/1915022_974950745875061_903897875566076982_n.jpg?_nc_cat=109&_nc_oc=AQkE1odorKFu_c7m6k67orZqH01-FbfPU7TMT58vrrAS8doikznYX14v7IKdCmYpdPw&_nc_ht=scontent.fbkk7-2.fna&oh=9bea77b018634f655123164aa588d924&oe=5E2DDA01","undefined","Krenz Cushart",""
"https://www.facebook.com/KrenzArtwork/posts/1529349120489122","1509373811","Recently doodles","1571542061","/KrenzArtwork/photos/pcb.1529349120489122/1529347153822652/?type=3&__tn__=HH-R&eid=ARB9NbTZkaR0-h7LqrhQouDfjDuwiUmvL_TpZvKeHLRVUe9QJIayAq3iIb880Y9YNF_F-SR8LZ3an4MK&__xts__%5B0%5D=68.ARCAgmAQwLQ13oJD_FgEABQmJOe0OloFSn7nJw8hwmHZVx49_n0xgi10RlbjLOkhBpWanc1NofvfYYGuLSn4x816xGbCQhUCY7_KgHgq7frOH47PqqsT3a9v1EZepsrxIdIMhim_UaxOO2cS8H5pjSkpEFwNTsF6uIjQdDcF1JNo7paYQC7oYOtKXUlPBJtnEOZXNCToPZ2kq1yZALCc_RAQZWVXab1-LjATurNN6WGVOS11j_x80vdC8qlF1HvNhB5jz7_igHztgAE4lTlr6Tdlu1sj2mjYRpOvD4gRlMw7yEbztK7Wqz8fkRH1hPhCwTnwjI9gGfUu3ygAwb9Uv448Sw","https://scontent.fsrg1-1.fna.fbcdn.net/v/t1.0-0/p526x296/23130565_1529347153822652_7838324327520575745_n.jpg?_nc_cat=109&_nc_oc=AQnZRqOXJyjo2BlBoaMqRHmdfftyOMndpYIM0jdWEwbi7ES4pDGYW0kW6CzahR5A_WU&_nc_ht=scontent.fsrg1-1.fna&oh=95536f34d5df45bf3a9ebf3c3851499c&oe=5E1E8743","undefined","3",""
"https://www.facebook.com/KrenzArtwork/posts/1934884536602243","1535889601","【台灣及海外地區報名】
2018秋季動態構成&光影色彩網路班《《招生啟動》》！","1571542061","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.krenzartwork.com%2Fregister.html&h=AT0oZf2oc_LSuMf4GFCb1MPJcmnRtKpreSI40cMKUSeZQFR5OnS02CkanSLYJWJwsGaJLFizvfLb0O4Xi_k8oclPfN6bv0Se6zGAiDIMZ1yDkupl2bYryfytseo5PX2DvaizfnS97t918wWcizRX7XPJogbi5E64rRwq2Gh9Sj8RfPtElwIclh-rNgSJoYuTK6PqNpyP2grq5z3sjC3ik6pW-G8wBNg1QYsBq3TAmkJu7UVfX1rGgcVcACObhxeBVBB4rhrOsU_izy5T04c54Wb3FAqJIJE557vev08hL6y1PaK0mNv2e2PPddNvQlwuQ1uhqYUZ5fZAq8JjHrrrClFPTHvIYMi1p1fQhpVYPnQzDTRReTYJHsTJcvJ0C-VrWVln6x5gEdUPKEdqmzg7rSc2zkvE0ejoXAExnYYgarYTyFKsHhXRifSado0MxgjIpKee59uhm3YUxJJEE4ig67-5c940tPpSozF7kqFXEDOHC6etQ7sjxZ-c6-XGTmNdSDArsI0xuOKqF6cURJyWYCNOocERQVco1UE3zTIbLa_7dgeDKQ2GVxjUW7C18fwpWHph4hq8RW127v4HZ997KCC5O5lXmgpvgBbNxUnmPTNKMpE1ZeRWbl5Oy6MkCQFH_1Lh1NWVXlzrrH_0","https://scontent.fhdy3-1.fna.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.43.520.273a/p403x403/40548560_6123786172326_930549950813569024_n.png.jpg?_nc_cat=107&_nc_oc=AQlGNRqbXo5znPtdsi1AjPrkcDdEofiAxWGwXgLUTeunAc48COM2039Sz-O2lzQ_lVI&_nc_ht=scontent.fhdy3-1.fna&oh=d096014274377efc7649554dcaf1ae77&oe=5E5E8E5C","ไม่มีคำอธิบายรูปภาพ","課程報名","Krenz's Artwork當期課程報名資訊"
"https://www.facebook.com/KrenzArtwork/posts/2590563631034327","1569746651","steps",1579350338,"/KrenzArtwork/photos/pcb.2590563631034327/2590562364367787/?type=3&__tn__=HH-R&eid=ARBiQQ_hdd0QFi1sH8ODmgZprLZ8pZNWalTCNIYoaAfnkiZl0nMtgi4noSBzLfc6gb1MGlRlW_2OM96V&__xts__%5B0%5D=68.ARCpo3YMF1wxkqBctPMl_S38IX9E1nAg5BKRwJRudOrkYS0Ou8J2onajZGiUV7QHvbMz-Vue8kdwxtGG3ZmCT7LOhw9wbViSQaJjHAFHZ7TlS7iz6D6uw72zMSG0k9zu2WM70IAsJWrdS3hesD0B_wqvO7_rEHv1uEqlxIems4rD6CT2mMSQoYQ5FGhN0SkO_38PjMhDOp79Uj57mUFqbV_6ETdT2hiJt2sfSoHPZDnJk2q4yhc7PwwGigtFzLlhsV0P6U9H3o4FCIQYGPrR0rBmQU9aMzsN6Vywc5g_1PmP7o7CfBmzV8Cog_RHd3UvImoqGSEQY_mdKFP0FA6DlNiYbQ","https://scontent.fiev11-1.fna.fbcdn.net/v/t1.0-0/p526x296/71234842_2590562367701120_8665086598305546240_o.jpg?_nc_cat=105&_nc_ohc=SLsdgaUK4UUAX__FA9c&_nc_ht=scontent.fiev11-1.fna&_nc_tp=1002&oh=bd2b656312539278407ff29f0b129060&oe=5E94E343",undefined,"+3",""
