url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/LMSAsia/posts/926201937764764","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1570874282","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/LMSAsia/posts/923813874670237","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1570874282","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/LMSAsia/posts/911161332602158","1568859000","【起司控請尖叫😍哪裡的起司全台最牽絲🧀】
看過起司火山視覺衝擊嗎？
吃過拉不斷的起司瀑布嗎？
沒吃過怎麼能自稱起司控⁉

 鹹香濃郁的牛奶香氣
熱氣蒸騰而滑順流動
這些可是爆漿起司的靈魂！
小編親身探訪百家以上店家
精選全台起司最澎湃的三個店家

 👉現在留言【牽絲到太空】
小編就把私藏已久的起司名單奉上！

 感謝提供照片的各位：
IG @ foodieejessica @ na.foodiedaily @ nora.chou
@en.ha.ha

 ＃起司控","1570874282","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/LMSAsia/posts/870241670027458","1563454800","🔥小人不要來🔥
有貴人相助的地方，就有小人伺機而動❗️
不是被上司打壓、就是和同事起衝突？
想知道最近究竟哪裡犯小人了嗎👿
⛅️直覺選出最喜歡的雲 Ex.3 讓小編來救援

 小人不是病，犯起來要人命😤
👉快選擇你最喜歡的雲
讓小編告訴你犯小人指數多高！

 #小人退散","1570874282","/LMSAsia/photos/a.653361588382135/870241370027488/?type=3&eid=ARCEL_0o00ZHbzu67nRpaK6z2wyK4chDWBLUS8GPLN6quS9O1H0S6j43C79uVtBs_I91lVG3Jx2B_X_m&__xts__%5B0%5D=68.ARDd5ncLUjTAQXJZdr1mXh09lvHKBMqoNwSSKcqjYEH24PB2baPUcNoatK-vjjAhDbvtGcodXZO9_tJEf7z0HidGWlJ6SPRqLbkjBF-6OhO_rxiF6Km5IjHG941IXEw8lYtq86BKJv2seA5niFTJny5LXlQaralKVl5HbyYhXkFbGOLnwHTsL46ydQ7k7OCDs8GLwhZLcTBYA5uo9K6fy5y4M9v3M9yN--dWqtFbt6LLlzL1T1e0utnIVum0FDAU9hLi_sDxzqnrrYqZR8bJDW13-NqWZnxQtQKDeMftuGM4aIBxEvrIxSHxNVfMC8iYTbw21AL0J7hy3cnpKND9wcY&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/67080002_870241376694154_6377622767763718144_o.jpg?_nc_cat=104&_nc_oc=AQnUOGtXDak-G6dw5qbdQ_x6Se6a5ZXMD3yJD2x1dopkLEF147dXARbJfwIw7cBEQAk&_nc_ht=scontent-sin6-2.xx&oh=640c255aa02a736b12de2ddd3640f8d1&oe=5E3008EA","undefined","",""
"https://www.facebook.com/LMSAsia/posts/859703414414617","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1570874282","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/LMSAsia/posts/819352741783018","1557203400","大合集！🇯🇵日本老人們上綜藝節目搶答
答案都超可愛又搞笑
小編才看不到10秒就爆笑了🤣🤣

#星期二中午很需要
#佐拉小編

 影片來源YouTube: Mew Ng","1570874286","/watch/?ref=external&v=761841564213466&__xts__%5B0%5D=68.ARDwKV4g5NForagfgF8hilLjdYf9eTrucqKThi0SgQHDJxwoZcwhiZzmGoc8wB0bT8BIrpuIae_CGNZYAYDiQgVxyDljwF4YOAT2hkpMSnE8ZAPpl-qXiZtLXW1rD8-eF13bwEk7g4em-ruh-Lf91q82ugBCg6GS4uFq0CxaIg_CL4fUxbfZNLwIhztWgxHLlbhdqrcZkqFz4kTVYdsFOLo96eMDoBKFkR-O5IgUsgQIt0g-hdbUV8Ur1tllo7ADooCgtk-MNdpgFvpP4mPUnWhcC3zbaPENEc-T5a1NrLWsqiE0lPWir5c8iHlPxflmT11RLEmgS0L8q94MTsY66wS5bcAWeY71&__tn__=kFFHHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t15.5256-10/57568528_761842824213340_8063801574981369856_n.jpg?_nc_cat=106&_nc_oc=AQk7MnUdaQpQ2UCXoqCQZ2VOKBzBzKge0vaz_lyI2FO27mQeq8SwtsmCvfjWcYgKwb8&_nc_ht=scontent-sin6-2.xx&oh=e202eadb9a84cf2e47337fa060619be8&oe=5E2EC865","undefined","上班千萬不要看！！小編忍不住爆笑啊啊啊","Posted by LovemeStory"
"https://www.facebook.com/LMSAsia/posts/817670895284536","1557063000","✨太酷啦～～你們知道這在哪嗎？？
猜猜看在哪！在下面留言你覺得這是哪個地方
猜中就有讚👍👍👍

小編光看影片腳底就癢了🤣
💖btw 大家週末去外面走走，放鬆一下吧！

#令人大開眼界的奇景
#佐拉小編

twitter影片來源： @onhi","1570874286","/watch/?ref=external&v=2374230062797169&__xts__%5B0%5D=68.ARD74_nVgeGIfuzWE9SYusSEJBRjm9S8Uq1J1U4Y5LAc5Y-pGJEOHzpG6vVh1jPyxRS2IJkcbeGW2FY_iKVHpu6YSDSksvEqRIq8vfXv-VAs6W850pu_mXOLgb6dTQAnq37ffYRzs0RsYvTiLs5n1lqo0_01XbYzs_jYLNArX3QRBhWce9g9YxtBjW2dkGMNMxCH2kNSTOEYjflali7zBKMTXZXYDZZJ5ohvJVjofC8Ju9nzlzBN0kLlLzrSJSc5SEz6RQp1IHPj-xpayT34cCn3DEULFsXf8xTM81WlYqY9snNBRwf0E_rsKPwwV7OUFSNs3XNGjJEWLF8Fl7rG-qr440FVRshP&__tn__=kFFHHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t15.13418-10/57303549_2269820599923383_3653285528276566016_n.jpg?_nc_cat=109&_nc_oc=AQli_InqpJkAZvCsBbYJZjJpXbu93eGm85zvFUnCPWiA8uZZ6_2goo7XzOfuFurOjgs&_nc_ht=scontent-hkg3-1.xx&oh=10d88827a5d65c12589edd916339e6b9&oe=5E2FB576","undefined","奇景！聳立在深山老林中的怪石！","Posted by LovemeStory"
"https://www.facebook.com/LMSAsia/posts/819954165056209","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/LMSAsia/posts/817664838618475","1556793000","這篇必存！限時限量！#芋頭系列 買一送一🎉
✔tag姓陳的朋友，沒回就請你喝啦～

滿到一半的芋泥+芋頭塊，單醇濃厚的鮮奶🥛
這天氣大吸一口超 滿 足😍😍😍
tag越多 #姓陳的朋友 就喝越多杯啦！

活動詳情👉 http://bit.ly/2L9LLJR 

#只有七天 #不喝對不起自己
#佐拉小編

照片來源：一芳水果茶","1570874287","/LMSAsia/photos/a.653361588382135/817660668618892/?type=3&eid=ARD7zQl9ph48RDeRCYfpr4xO0k89_lTyc_JitAEeDz9ChAT9ORAz6uwb5AUOD6vt0fp177JbhgIhmbXj&__xts__%5B0%5D=68.ARD7_r3ryjZ_04mKWU7Ur27KEjIxV84wkBH478DmYp4gzzoK0j6piODwSL9dfNeZXG6e0-GlNehvigTdNZj8LKVXqtqp61UKPYpT20vrorSXE0JVo6HA8XBeHYqat4QQNRAOxsrtI1ksBM70xwUymmS5Wy6isBqfaFHy2CA-7pMGbQgdterGcMe-t-fHhcK9kif32K5QHazz7GaR-HKxr9_2T9-buSz4q8Xb5_8gg-wkYxwIDIwIqigrf6SP4bvsQfzRYtI4o39rFuNk4ZYnOcs30YrkVzLTf-gVtXy4VeHTywu6vL7uSwSzUrvdjr-j8TqTSasdXAzL4yM_CtjrNY4&__tn__=EHH-R","https://scontent.ffjr1-1.fna.fbcdn.net/v/t1.0-0/p526x296/58608428_817660671952225_1609466112875954176_n.jpg?_nc_cat=100&_nc_oc=AQmCoz4oBuctthFeN0jAr0ZTHrsBPO5qEbzo6jUjp_MoNfFpqbH46nzVQf2N-TNPsIs&_nc_ht=scontent.ffjr1-1.fna&oh=df8d71179fe698c63fe854d36ca4488e&oe=5E27C01E","undefined","",""
"https://www.facebook.com/LMSAsia/posts/817679825283643","1556535440","#間諜河馬 有毒！！
這一系列太可愛了啦～～看一集就像中毒一樣戒不掉
不管這節目企劃吃了什麼，都給小編來一點🤣

#阿龍
#佐拉小編","1570874287","/watch/?ref=external&v=614317955708403&__xts__%5B0%5D=68.ARBcR8HRe5pYu4ngjgqAZ4Eqy3IimwUUu0VQELkGUAEdZzWScO-3rg436dp-7ZmpWt-G5byTaGVMTnK6d_TEV8Vtuv9dit0KgLP-tEujEiFH-efOtoqOqMgSZjAqcz_uB8uckaIzZ5B6VsHxahom4KD3a5aBjgEtbc6VVmvF8phqEOJACq-H7bzQHQcHuN78UKIeE4beVzxIf5avdr3IbD1o8Ug32dWhrnTBfGIHtUDlMz5uSn2uBd7LwHzMvJCOo63-AwWOuuw5nPqkLwU-smr13HMq5jT2mGkIqu0-p3GV3_3XpBGxdXOyEhw7Amm0cxJR1DpkK1-UCeDwzAkgEx2SGTzVFZaAsSE3qFV0kao5zdhR1L19IaFf9LGS5prjHUrrS92TshjLXkuMVUlXpzYaecDPAZ9jQBj4Zn-RB07Y-ypDqnu-RuO3BhMbe0r9cdgnzZdzbx99Enr4NvlSLoVrKL2Y8n1Ssn7fsqtgC8Dv0H5H44q5dJBFFGgz81da&__tn__=kFFHHH-R","https://scontent-yyz1-1.xx.fbcdn.net/v/t15.5256-10/57016723_614070295733169_5633076657855135744_n.jpg?_nc_cat=104&_nc_oc=AQnwRH9Kh8KfDvYABXV_Q57S-kOvZsPrS2yBTYFIafnAG7x0VFBeFln6dN3wprM2u94&_nc_ht=scontent-yyz1-1.xx&oh=ce5afe522880e9661e2dad9c7880c1d4&oe=5E20FBC1","undefined","間諜系列的阿龍｜動物秘密一籮筐3｜公視生態全紀錄","Posted by 公視粉絲團"
