url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/MeredithHuang.TW/posts/1232368923622163","1570618801","＃郁芬在議會幹麻
本會期我繼續待在教育委員會為大家把關💪💪💪

 趁連假前，趕緊向大家報告， ＃我在教育委員會中問了什麼！也歡迎大家留言跟我說，你都關心什麼議題呢😲

 👩‍🏫教育局

 1. 台北市力推實驗教育，今年起新增的「溪山實小」、「湖田實小」都在我們士林北投，我也十分樂見實驗教育可以帶給孩子不同的選擇。但我也擔心， 
＃若實驗教育的師資及課程與以往大同小異，將失去實驗教育的本意。我要求教育部 ＃確實監督校方進行師資培訓。

 2. 教育部力推「＃光電風雨球場」，在風雨球場上方加上太陽能板，結合學生運動需求與綠能。然而依照教育部體育署資料，台北市46所高中以下學校沒有室內運動場地，卻 
＃只有1所願意架設光電風雨球場。據教育局局長回覆，多數北市學校 ＃擔心光電風雨球場會有漏水問題
。難道全台灣其他642所有意願裝設光電風雨球場的學校，都不會擔心漏水嗎？我要求教育局要確實向各學校說明、宣導，不能因為對太陽能有誤解就失去參與綠能建置的機會。

 🏀體育局

 1. 健身風氣愈來愈盛，許多民眾選擇去健身中心，卻容易 ＃因健身中心定型化契約不合格而引發糾紛
。然而，體育局卻沒有即時、完整公佈健身中心定型化契約不合格的業者與違規項目，恐有更多不知情的消費者受害！我要求體育局要即時、完整公佈不合格名單，也要確實督導其改善。（因為會議時間有限，以書面質詢方式提出）

 🎬文化局
1. 北投影視音園區延宕多時， ＃近期的招商又再度流標，北投人到底何時才能看到北投片廠再生呢？我要求文化局提出北投影視音園區的時程規劃，不能一拖再拖。

 2. 臺北數位藝術中心位於士林，力求推廣數位藝術，但今年上半年只半了四場展覽、共吸引不到三千人參觀，等於一個月不到五百人參觀，這樣 
＃真能起到推廣數位藝術的效果嗎？我要求文化局重視數位藝術發展、協助臺北數位藝術中心加強營運績效。

 3. 上會期我便曾質詢過有關列冊文資的議題（http://bit.ly/2ItbXvf
），本次趁機繼續向文化局長追進度。文化局長說明在10/25文化資產審議委員會召開後，會公佈新一波的文化資產名單。

 🧳觀傳局

 1. ＃雙層巴士 
做為新興的遊客交通方式，可以一邊看台北街道風景、一邊聽導覽。但導覽有中、英、日、韓、泰五語，網站卻只有中、英、日、韓四語版本。這種情況下，雙層巴士上的泰語導覽，
＃是放給誰聽呢？？？我要求觀傳局 ＃增加雙層巴士網站語種，吸引更多遊客，務必讓有興趣搭乘的外國遊客都能賓至如歸。

 2. ＃台北同志大遊行 將於10/26舉辦，台北旅遊網上也有 ＃彩虹專區、介紹台北同志地標與友善店家，值得鼓勵。然而，彩虹專區只提供中、英雙語版本，但 
＃同志大遊行往往吸引日韓與東南亞等多國遊客共襄盛舉
，如果想來參加同遊的外國民眾無法看到觀傳局精心準備的網站，會非常可惜。我要求觀傳局擴展彩虹專區語種版本，讓彩虹經濟可能更加蓬勃。

 3. 台北市政府早於2016年同志大遊行當天，便首次升起彩虹旗、響應同志平權。今年做為 ＃同婚元年，台北市政府也不該缺席。我呼籲市政府協調 
＃於同志大遊行期間升起彩虹旗，會中包含林穎孟議員、苗博雅議員都同意這個方向。觀傳局長也同意將與市政府團隊研議。

 委員會討論時間寶貴，每個議員大多都只有十二分鐘的時間可以問各局處首長😰😢
大家有什麼關注的議題，想要我們來追🏃‍♂️🏃‍♀️嗎？
歡迎留言跟我們說☺️","1570974596","/MeredithHuang.TW/photos/a.875929269266132/1232359753623080/?type=3&eid=ARBuk0Ocx2AhxiiJCDqp6Bt3v70c2_iBRJIBCgswxk_X2q9BLZpbp_4YFdGHee_MOEQ8JWcRBrmv1TP-&__xts__%5B0%5D=68.ARAkdQut0Bv_wIR70vHBp5QRzRxrJrhfLoiu53l-c95pi8-U76YMFQlrhNO5jMwmXOwpAnazpA6vCvnPv0E60DuIn7Xoo_VAWcEIOvAw_Kb0c59tAIDfsuR7D1MyUOyg6tBxdL3JuHJVhEibX8ERa_6FjVeTzW_gq6oFzm4S4Lx8KMIJDUaBEI54FyoGQU9qz8T-wGKoOjB3jTdPfLJMm6tZ3f4-7Rv3MTjHwVPIl5-N4LVcqq0m3gWHqSSbJTYvye0ahq67Zt872aztMVoEybRSIEVnttkAln6c84Y82MUmsauGaW3bqQnP6R0G3Bd5FazTY0Dhq6Hx1jD5MtIbVNyNrw&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/72568127_1232359760289746_1306114771782729728_n.jpg?_nc_cat=105&_nc_oc=AQkH90dIqw2wkfgj6kDC41Z4PSPvqWAPMk9n3OjHHR6XB7BPNoI5uMvVdhs2fDs-M50&_nc_ht=scontent-sin2-2.xx&oh=5f63c0c3cbaf95b8d538bd8cdf0969ad&oe=5E379E31","undefined","",""
"https://www.facebook.com/MeredithHuang.TW/posts/1235827536609635","1570959444","史明歐里桑，謝謝你帶給臺灣人的一切，我們會繼續努力。我們必須繼續努力。

 振魂護國 史明畢業典禮 — 與史明歐里桑再走一段台灣路","1570974596","/MeredithHuang.TW/photos/pcb.1235827536609635/1235827006609688/?type=3&__tn__=HH-R&eid=ARBUkQUZ_8zriJFCZX0hsAN7zeu_iSdKZnGoteOjZvffMvdGk2oMtbvCNt0PihEBZnSJgNdeeosR0AsV&__xts__%5B0%5D=68.ARA3lj6yHPksFkm5Iz1wyglyP6PdXT0mb1DK4SXDn3RXxvoCQx9q7x5i8yMINWmTgWWmRJpMNqp6wSfTsZ0eOqIJFeNRcPQDpfXJ8LQ2f8W7jMQfTBbPJkcd-mzOurlOy9IlyscSBIhyUMhkXRAgBJLWkKuOCuLxd9vrWWwaZWXbQsrUFosZxNVJ0KGC6dr7YFp7nsYeIHCH40Qf_1jBeoFBp5NG1ZwQ6uxBp_CMdVhGTKZMfcqpDAwWgWmWhXj4qGGBGsCjNJQBIJg05-KQxzGxceBuCV6HEEoycLKm2eX4Hte6IzL7nn95At_Tx05M1UdlWP2k8GFYcU8jf02PlUnu-Q","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/72366431_1235827013276354_3533453952148307968_n.jpg?_nc_cat=105&_nc_oc=AQnOxEdteoNaljuquSKJGBQnu0oDLYjdQhFd1-U0nl7Cgko7hkt5whH5vHB7BlfNNKg&_nc_ht=scontent-sin2-2.xx&oh=9b5f0f3bf4b9931fe5fa5dc1ebadddc6&oe=5E2A6005","undefined","4",""
"https://www.facebook.com/MeredithHuang.TW/posts/1231024863756569","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1570974596","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/MeredithHuang.TW/posts/1137052569820466","1559112242","【Love For All系列講座（六）真彩虹媽媽JOVI，說婚姻平權繪本】

 真．彩虹媽媽來了！

 
在前幾場的講座中，有許多人提到現在在校園中有一些志工家長自稱為「彩虹媽媽」，看起來是在教導性別平等教育，實際上卻是透過許多不恰當的事例宣導不符合性平課綱的內容；例如將蘋果發給學生輪流摸，然後暗示不守貞的女性就如同那顆蘋果一般。

 
這些事情不但無助於孩子認識每個人的獨特性、尊重他人，更加劇對於特定性別的壓迫及刻板印象，並且增添對於與既定性別想像不同的孩子進行排擠霸凌的風險。

 
真正的性別平等教育，應該是讓每個孩子能自在做自己，並且不需要因為自己的獨特而受到差別待遇。這才是彩虹媽媽所應該傳達的。

 
這次，我們就邀請到了身為同志，同時也是有個六歲女兒的媽媽——JOVI 吳少喬。

 
少喬於2015年與同性前妻自費赴泰國做試管嬰兒，用前妻的卵子與精子銀行配對，形成胚胎後再植入子宮內孕育，之後順利生下女兒苗苗。身為同志家庭，吳少喬認為，在國中、國小階段應該落實性別平等教育，避免人們因不了解導致歧視發生。

 
因此，可以見到Jovi在各種社會運動的場合，講童書給孩子聽，不論是在街頭、在車站，隨處都可以是性別平等教育的教室。

 
平權講座第六彈！我們邀請JOVI少喬透過繪本閱讀的方式，讓大家知道所謂平權教育不只是透過死板的課本教學，也能夠透過繪本的故事互動，帶給大家全新的平權教育體驗！

 
歡迎各位爸爸媽媽，各位大朋友、小朋友一起來，聽「真．彩虹媽媽——Jovi」說故事。","1570974596","/events/393464291510404/?acontext=%7B%22ref%22%3A%22108%22%2C%22action_history%22%3A%22null%22%7D&__xts__%5B0%5D=68.ARDaKLOnYDJNE5I0pxq1KXn_17-xVE-cwWNW7J78fcG9o5Ixs7HGRN2bE0HJWmQ3t7oYhNjf7GZcChgolmvxXJ_8YYOXQoZjidGPC2eWCobAX7AtYNlhUjzNO94C0vyXNefHVqrpZEafi0tZQC-t2Q_dgVLMeZ1LJtStLLYL5QLOCM3GhYHy-ox2hTVyW8v6AjjkiYnB3mfBpaCfzC8KKp-ELVYzlNzQiPPToDDlXtyQTEg8YWV3lKQ8460_hNkDVzZ7f8IjoM9e1SXl4JipZVZe6-dTm-18be8VlK9mz81-UpHfo4SJX816S789U4wfNGrDO4FsNjkPd7Pu821Q760yVg&__tn__=HH-R","https://scontent.fhan5-6.fna.fbcdn.net/v/t1.0-0/c3.0.955.502a/s526x296/61210507_1137048746487515_1748655106607284224_n.jpg?_nc_cat=107&_nc_oc=AQn0MjY2W_AoeDTVbrfKpIi1hyyo50fIYcU_x3Z75saQCEetTHYxckuhet-aZ-huAHM&_nc_ht=scontent.fhan5-6.fna&oh=0e559926e198a20cd88397cf3a32a1f9&oe=5E2B0D27","Ảnh bìa của sự kiện Love For All系列講座（六）真．彩虹媽媽JOVI，說婚姻平權繪本","Love For All系列講座（六）真．彩虹媽媽JOVI，說婚姻平權繪本","黃郁芬 士林北投加分 · Đài Bắc, Đài Loan"
"https://www.facebook.com/MeredithHuang.TW/posts/1217686831757039:0","1568984704","士林北投今天下了一整天的雨，不過就算如此，也澆不息我們會勘的決心！
-
由於洲美公宅在今年三月開放申請後，這幾個月居民逐漸入住，我們陸續收到陳情，由於現在出入洲美公宅，主要都從承德路與福國路交叉口進出，而目前會駛進洲美公宅的兩路公車，都以捷運站（芝山站及劍潭站）為轉乘節點。但因缺乏公車站牌的關係，卻無法就近在承德福國路口轉乘承德路上的公車
🚌。
-
今天會同公運處、交工處、新工處、首都客運、里辦等單位，一起到現場討論在承德福國路口設置站牌，讓居民能就近轉乘行駛於承德路公車的可能性，未來相關局處將會就整體交通規劃及運量進行評估。
-
有沒有朋友住在洲美公宅呢？
如果對大眾運輸規劃有任何建議，都歡迎跟我們說喔！","1570974596","/MeredithHuang.TW/photos/a.875929269266132/1217686831757039/?type=3&eid=ARDmuWq_76kB1WORaZnCST_prdTW6rjmJHl2fshJZnubUDLdEHe52hjFv7HRjdiv_WYaVjTlVI1mu4f_&__xts__%5B0%5D=68.ARBWWT4LLEeFdr0N3rB6azZjYCvOz4vzgsUwUFhwKvMSg4cG0YIV4_IboD_5prCv5KeivjaQlMVwjyarO91EO4xkastkLxzWOAZjCZUuVjcCRGBkptPImLF9F1qhnFw5eTYaKNod-m2u8OjKHb41_fnnpX6bz_xyiju0NtKaFF7LdvMRt1Nbu0N3iJI3hCouer_d66LP_YTrKdDSu3M0Ssl3GfA0eVgR1YfFHPq6SeKfLkFCcYiPAJq-2HOJE-UzDmqRxgfh2SNWWE5o7h-KqZey0sb4E7E9ClFgBPyH3Wip1Lab_A2gtNNSohp3sHWVKVURaKGHDDCzLHF4D3j_U9sQZQ&__tn__=EHH-R","https://scontent.fbkk22-1.fna.fbcdn.net/v/t1.0-0/p526x296/70393190_1217686835090372_2909086962826608640_n.jpg?_nc_cat=110&_nc_oc=AQm4MxAmMiVMes9YapormokL3ElM8zYB97DmF9b7ROGPfcW42CedXPUI10tR8L4wFks&_nc_ht=scontent.fbkk22-1.fna&oh=977eacf9fcf470e0d7035c33a8621aa7&oe=5E38FED6","undefined","",""
"https://www.facebook.com/MeredithHuang.TW/posts/1136552676537122:0","1559050497","有別於台北市其他區，士林北投擁有非常得天獨厚的環境——我們有非常多條河流在生活周遭。

 
今天是北投再生計畫當中，磺港溪再生的說明會。

 
為了應對現在越來越明顯的極端氣候，世界各國皆致力於改善城市中的河川環境，以承受短時間內暴雨導致河川水位上漲的情形。

 
而發源於大屯山南峰與西峰一帶的磺港溪，上游長期被加蓋，一路經過長安公園、北投市場、磺港公園、奇岩抽水站，最後流入基隆河。這是一條與北投人的生活息息相關的河流。

 
你對磺港溪有什麼想像呢？
6/12、6/13的晚上7點，
一起去磺港溪再造的共識凝聚工作坊聊聊吧！
〈北投磺港溪再生〉：https://reurl.cc/pAa0Q","1570974596","/MeredithHuang.TW/photos/a.875929269266132/1136552676537122/?type=3&eid=ARCimUQnabaGUMWK1kD5DK12puP8PopJEAWmh15kZSYxD_IAoXT3xkxRkK8IUBrkA-Jlky0FIKBxwVCS&__xts__%5B0%5D=68.ARAa6EZzpqJ_QfAotjxnp0vbWNzaPGi6aZ9Kk5LV4qeP4NpNG0cxp4Tx4ktQcPdcnRqKLbG9E0jY5DwltCCEELpKe7A7tqdDh2P5OKTMUO5MkpufHJbtw9N_RnwMkOg1vvE6PPttSXYlJiHIxMY8lHFsjQ8KVyQj6U61QjZ4Z6KKJ3mbNH9oYViu-V-mYDGODvOphXCuLYUwugfPP6doAfAMa15TU4jb5v2RhtLWIojh3IJ3QHjaB5P7aVdySjxHB54Vs5NyMN1k15JjSxxzMf5VyxcK6rTtr5ja3VGYMgUyfnpG1XZ4_RtRjCb6N2bY6v-BB0TyKSc3Ra20MGLX4-El-w&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/61502695_1136552683203788_3796690960121856000_n.jpg?_nc_cat=110&_nc_oc=AQluBa6RiIYoxfat0tO9SR6kOMqoDEa8dLXj18JJeDazNPNqO7RbZwG-1K9AVCm1dYw&_nc_ht=scontent-sin6-1.xx&oh=7290355705f9d082a8112aeb53f721ff&oe=5E23FF37","undefined","",""
"https://www.facebook.com/MeredithHuang.TW/posts/1115995091926214","1556411986","為了盡量不影響到參與議會的日程，我們搭乘半夜的飛機前往東京。感謝社團法人台灣伴侶權益推動聯盟
的邀請，昨天下午抵達明治大學後，認識了日本LGBT友善的議員，也跟在場的台日議員、性別運動者進行交流，內容相當觸動。

 
日本有好幾位跨性別和出櫃同志議員，有的甚至已經連任多屆。性別身份雖然可能帶來阻力，但幾位議員們各有他們對於從事政治的理想與方法，才能夠在這條路上勇敢揭露身份並持續戰鬥。台灣的LGBT友善議員們也紛紛分享了在選舉時因為婚姻平權議題所受到的挑戰與突破，似乎在這個「自己人」的氛圍裡大家都更暢所欲言。

 
日本跟台灣，有許多相似之處，也有很不一樣的制度跟政治環境，重要的是我們能夠自由的交換意見、串聯合作。這也是為什麼我們會認為，參與社運不該成為限制或緊縮出入境管理的理由。

 
昨天早上在成田機場的遭遇，我也在交流時跟大家分享了。日方紛紛表示幾乎沒有聽說過來日本參與同志運動遭受到盤問，也沒有台灣人入境曾因為參與社運而受到阻礙。

 
昨天那篇在機場被審查官以參與三一八運動為由而被滯留機場的貼文出來後，許多朋友給予建議與疑問，有人說「任何人都可能被盤查」而認為我大驚小怪。

 
但事實上，在被盤查時，審查官很明確在第一個問題就主動拋出「是不是有參加過2014年的學運」這件事。這不是一個普通、例行的檢查，而是針對社會運動參與者的施壓。

 
另外，在盤查的當下，審查官是在詢問過後，才知道我的市議員身份，以及此行訪日主要進行同志議題的交流和參與同志遊行，也就是說，在我被強制要求被詢問的當下，對方僅知道我是一位「曾在2014年參與三一八運動」的參與者。

 
一個國家當然有權力審核入境者，但是對於民間社運的交流進行限制跟施壓是值得我們警戒的。因此，我們要強調的是，這種對於社會運動參與者的不友善對待，是應該被節制，而不是視之為常態的。所以我們選擇把這件事說出來。

 
跨越不同國境、不同地區的社運參與者互相交流，看見多元社會處境底下的制度與人們，進而反思各自的倡議手段，是議題推進的重要過程。正如同婚姻平權的價值，全世界有許多自發的交流活動正在發生。許多同志朋友也會特別去參與其他國家的同志遊行，正如每年的台灣同志遊行也會帶來觀光效益一樣。

 
以國家安全之名，究竟應該要限制和管控到什麼程度，值得大家更多思考。不該是一句「國家本來就有權力這樣做」帶過。未來，希望這樣跨國之間的運動交流還可以繼續蓬勃發展，一同為我們想要促進的價值理念而走。","1570974597","/MeredithHuang.TW/photos/pcb.1115995091926214/1115992765259780/?type=3&__tn__=HH-R&eid=ARBtl3oAuEcEs_NGbg2lbyXE-n-MBiNyr5ynTxylfIJ58RrTMTjavYGccrMPDT-uqFRFRA1mnseacZkU&__xts__%5B0%5D=68.ARCPEHZgcRYm5o-TfctJ__LLzkYTqcx3JjBqv3TvT6pGrZSOSbHyIYCp3RvYfRN2bC-c9fll_3eT9695qqoC2ZxHen60_iHeKgXKrak3EW7Jsp600rXWfwk1ASAaYzcun8pxZXTHRH3IvqN98gIiJJcTG72P2RYmIwNYL9EZD9LKxt6tVy97JyQkCv6IAo0ST5Gm7gAioTt8hkhBdFgTeer9wFm4JqmQdZfJMuUHSijB0lStbY0FAfU5LQmQna8He8_RTD5v7MCp9k86PuvrBhK9UzZW3X7HTrFyD8qyw6-lbBGa75NARRp6hhfIPm0DYvMhtE_XKcKvrnCClstwqlQUmw","https://scontent.fkhh1-2.fna.fbcdn.net/v/t1.0-0/p235x350/57486244_1115992775259779_8637098147568418816_n.jpg?_nc_cat=109&_nc_oc=AQkE5YbvPUhqaIjDXPPb8c5NayQ5dwgExme63iunhf8aLUQ2qDR7fgunTRbHyCHd5UmJ3GmaJY3iGz-TL07q7IvJ&_nc_ht=scontent.fkhh1-2.fna&oh=6b9b66fd7d44a71007f3f342385beac1&oe=5E34A70B","undefined","還有 2 張",""
"https://www.facebook.com/MeredithHuang.TW/posts/1230895537102835","1570429795","【🛵道路平權，友善好行】
近幾年，有越來越多的聲音不斷檢視「機車兩段式左轉」是否真的能增加行車安全性，還是有可能因為待轉動線複雜，為了騎去待轉格反而造成後車不易得知待轉動向，進而產生嚴重交通事故？

 
從我上任以來，收到許多人向我反映兩段式待轉的問題，一方面是道路平權意識抬頭，另一方面在我選區就有三處路口是⚠️台北市十大機車未待轉違規熱點，因此爭取 #道路平權 
是我非常重視且極欲改善的交通問題。

 
非常感謝 台灣機車路權促進會的朋友在周末前來和我們一起聊聊。
會中我們聊到機車兩段式左轉所面臨的狀況、路口設計問題以及如何能讓機車騎士擁有更友善的用路環境。整場討論真的讓我們受益良多，我也分享了目前我們在改善機車平權所面臨到的狀況，尤其是這些涉及不同用路權的議題，特別需要大家的參與、一起努力推動。

 
我們相信，爭取道路平權並不會影響到行車安全，而是要讓使用不同交通工具的人，都 #享有同樣平等的交通權利，同時，也讓用路人能夠 #更安全的行駛在道路上。","1570974597","/MeredithHuang.TW/photos/pcb.1230895537102835/1230895067102882/?type=3&__tn__=HH-R&eid=ARCxisayC3T4c8czYtJIXnLgvHR6XDZWiMzf2fSvvI4LWI_uhSKu70rfyc897MzH84UCxlof7h-YfkOo&__xts__%5B0%5D=68.ARAo9W7J3DNddcX5iCn4I0N00QIIZlOVt5ZeVPwzY_LMMGqXqHLreZGf_r4AZE-XJeP6q9MG2mFxIRjuHmNoLfUCyg5lu4xvbpDpDb_Eu61Z29NppeKIkzUpgtjRihq8v3MdspfLWoz0FBaE4Q2u5c_g5RfcVH2Y8rKwZBwdn2yb9PvvlfpRbkuY6DEdPM7eZOuHIyBoJ02A2Ky_8i8ykTgTRvR5jniEziEqstxNbz4ecsLqT4_3ZKELjaAwGNh29OJd6h9PR1dF8192DeASYJdCxa2COncMa-jSI1iZdYoDUtxl1RWfBVQf5VdjZRSPvO3VuQ1F7-SNLeCYZUXHhNG7ZQ","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/72316309_1230895073769548_1030671041552187392_n.jpg?_nc_cat=102&_nc_oc=AQlmSzgI_BpiKhUT3bh5turwdUZO_degORo_NtM179VIBhAUPs5y6wHfq9863ydZIITcdcxLRRKZwJTbFt32DLhI&_nc_ht=scontent-sin2-2.xx&oh=d29e4ca78e4638b9597e32414bcdfa44&oe=5E2F8C79","undefined","",""
"https://www.facebook.com/MeredithHuang.TW/posts/1177669435758779","1564047573","維護您的夜歸安全，刻不容緩！

 
這幾天有民眾透過粉專訊息，向我們反應，於7月23日晚間，在新光醫院後方停車場，有不明男子以全裸驚嚇路人。我們辦公室隔天早上一接獲訊息，馬上請台北市警察局，針對該處加強安全處置，並評估增設監視系統，同時也請公燈處了解該處是否有夜間照明不全之處，並評估增設照明設施。

 今天士林分局及公燈處分別針對該事件來函說明處理情況如下：
1、本案由轄區文林派出所與偵查隊刑責區小隊追查嫌犯，錄案偵辦中。
2、文林派出所業與新光醫院建立聯繫窗口，並加強該路段巡守，將每日21-06時路檢點變更於新光醫院後門美崙公園前，另重點時段編排便衣勤務於該路口及美崙公園埋伏，以維護夜歸女子人身安全。
3、目前會先請文林派出所評估該處是否有增設監視器之必要及需增設地點，在相關預算完成編列後，再行裝設。

 公燈處針對該事件來函說明：
7月23日夜間，民眾反映該區路段路燈不亮，經公燈處來函告知該日乃台電供電系統故障所致，夜間7點多即通報台電查修，7/24當日夜間已派人前往確認該路段路燈正常放光。

 
我們辦公室將會繼續督促警察局落實相關加強守護的工作，如果有增設監視器的必要，我也會協助爭取預算，維護周邊安全，最近這段時間如果有比較晚下班的朋友，經過這個路段的時候也請多留意周遭環境。

 ⚠另外也要提醒大家，如果真的遇到暴露狂時怎麼辦？

 👉遇到暴露狂請勿驚慌失措和尖叫，因暴露狂許多都是藉由他人的驚嚇反應來成就自己內心的成就感與優越感，最好的方法就是無視、保持鎮靜，並馬上至附近的派出所報案。

 最後，如果大家發現還有任何角落有類似的安全疑慮，歡迎隨時通知我們，「打造平安回家的路」不應該只是口號，而應該在生活的每一刻落實。

 其他如果有生活週遭需要解決的問題，也請大家不要客氣，歡迎隨時跟我聯絡反應，我和我的團隊會在最短的時間內，盡力為大家解決這些疑難雜症，讓士林北投更加分。

 ．
黃郁芬 士林北投加分
服務處地址:士林區中山北路六段328號
服務處電話:02-28315775
每週一及週三晚上七點於服務處有免費法律諮詢服務，歡迎來電預約","1570974597","/MeredithHuang.TW/photos/a.875929269266132/1177668585758864/?type=3&eid=ARA5sJjgpkzDfPChBCiHUM3dGySMa7hBJLOMX_IjUCJyI9WqpX5w1hU_UlFFe5ev4VZFb7vaNtfIQo07&__xts__%5B0%5D=68.ARDoqfUVQc9dgPyghAr_KlPDMJcDswskniHlQQcr5f0r5FEMVvi84s72W8q5DG2NwB4L9XkLmnfiG-uODeL_wm8ixRKCQJI-Xr3O9d1AlKQ-flL23QpeWfZ8dQjHImY3T4FxC323PGaOg0fLyERUb2w9O_xppCGIcfQabZwAWf0HbKTYttaz8mNa4pkK946hg3gZL3VnwtS4Yg8h-QHHYoYKmgtOCtVlKmItz80EHfByMja56X2acW7hedcUjrRLgu93May_FeNpVd5C20d7Wc1SA23cmnhQSl9QbRCsY47p-jSBSjYgTt0aDlr8stilBPqGnijf9uSr0SWuvWmZL8wMSw&__tn__=EEHH-R","https://scontent.fcgk6-1.fna.fbcdn.net/v/t1.0-0/p526x296/67629410_1177668592425530_4455163034905608192_n.jpg?_nc_cat=100&_nc_oc=AQlN3GfgnwU8BrAvL8UKznEgjDupTj40dWXK8C2lcT9Fa_S_cR_y4WuGt5HkWWWIa2k&_nc_ht=scontent.fcgk6-1.fna&oh=1c08aeed9e36f4e45765616cf5000952&oe=5E1B7C28","undefined","",""
"https://www.facebook.com/MeredithHuang.TW/posts/1175687205957002","1563789373","香港反送中效應持續延燒，民眾星期日再度上街遊行，並有部分示威者蛋洗中聯辦，港府表態追究責任，就在深夜11點左右，一群身穿白衣的黑道份子衝進元朗西鐵站，手拿棍子不分老弱婦孺，對於所有乘客、記者一陣暴打，連孕婦也無一倖免，全都被打到頭破血流，立法會民主黨議員林卓廷甚至被打到臉濺血，畫面曝光引發眾怒。

 
其中最令人感到痛心的是，整個過程中無論民眾如何撥打電話報警，始終無法看到警方到場制止暴力行動，一直到凌晨1時，白衣人士陸續散去，警察才姍姍來遲。甚至早有人拍到這群白衣人集結時是坐政府租用的巴士到達現場，還可以跟警方交頭接耳做任務分派，萬萬沒有想到，竟然是香港警察與黑道聯手對手無寸鐵的人民進行恐怖襲擊，一國兩制變成警察和黑道共治。

 
人民集會遊行權之所以重要，就是因為掌權者需要被監督，這也是我當初質詢時再三強調的，身為掌握權力跟資源的人，不應該輕易地用妨礙交通、用公共安寧、用社會秩序等等理由來排除我們覺得「刺眼、刺耳」的不同意見。因為有時候，這些看似「混亂」的社會運動，是社會進步、社會改革最重要的動力，多元意見的表達是民主社會裡最珍貴的東西，這是我們跟中國一國兩制最不一樣的地方，所以人民集會遊行的權利當然需要特別被保障。

 #20190606市長總質詢 #集會遊行保障
https://www.facebook.com/watch/?v=2372035743041452

 .
香港人民目前面對的情勢已經越來越險峻，昨晚元朗西鐵站內被毆打的市民及記者，據統計已經45人受傷，其中1人生命垂危、5人受重傷，都在急救中。香港血淋淋的教訓就在眼前，請大家多多跟家中還相信九二共識可以為兩岸帶來和平的長輩們溝通，讓他們看看現在香港一國兩制的慘況，想想台灣的未來。今年初，中國中央總書記習近平在發表《告台灣同胞書》40周年對台講話，已經明確的將九二共識定義為一個中國、一國兩制，所以對於九二共識我們不該存有任何不切實際的幻想。

 香港正在努力掙扎死守，台灣還有機會捍衛民主和自由，我們都必須堅持到底，一起撐下去！

 .
圖片來源：
左上:TVB新聞、
左下:臉書粉絲專頁—非凡人物、
右上:香港電台
右下:林卓廷臉書、","1570974597","/MeredithHuang.TW/photos/a.875929269266132/1175686655957057/?type=3&eid=ARDtLKVTYUfaysOUDVlMHGCo1LIbgsgBWTGZLqbPLfr3kRjhr6nDed85jARcWW8S6mn58xvqv-P4BV-T&__xts__%5B0%5D=68.ARDFBZLL3sNmnmxM8znior1rtzRFFqivy8nO7ZzDCbteL0uhVqPbICTBBGZXZgeSkJ8gURk4JYDH7D3RoSciMbfPcNChZ2gAAGY5lnXa4nY1dEihCSHAhts9t1lRo-VchfaRspVlJpTfKgQwqvYTDtorRDFVcpxfqOnw09mr2Xi7CrAG3aYkq-nOeo3Qxi_a22E-Cft3neF-5ElV1XDM8hNv3hgdq6A-nXqx_e5n6Q58jcbm6O8Ovr1xFxwhE1uKjo8X_nvStJwH642pjbdOL1usOQfXxlZflvofk_Q130t6keHS111tTb0jGNA632OUk_nEN4MLE_woPfobn3oki8YUNg&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/67092128_1175686662623723_4338356283984838656_n.jpg?_nc_cat=103&_nc_oc=AQk_wk5Mgu_NevCI1C4ttNB6dfogpKGeerGmEYobiQDEVKe5cFx8WfVLO2RcKx-in6s&_nc_ht=scontent-sin2-2.xx&oh=dc149737c029fd99ef1eec9cb75dbf3c&oe=5E2A47A8","undefined","",""
