url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/NightKeepers/posts/2486584928227238","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571741508","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/NightKeepers/posts/2102537953298606","1524065878","在睡不著的世界裡，守夜人又多了一個身份，StreetVoice 街聲駐站DJ 守夜人！

 如果你只是想釋放一下.....
在自己的房間想動就動，讓我們為你準備：

 幾首消除心事的跳tone舒壓搖滾，
幾首溫暖憂傷的歌，
替你哭完然後還給你勇氣，
幾首在房間夢遊的歌。

 帶來睡不著歌單：房間裡的舞曲

 讓我們待在房間跳舞，請相信，今晚你值得被好好招待的喔。

 #streetvoice歌單頻道大改版
#駐站DJ
#守夜人睡不著歌單
#房間裡的舞曲
#街聲好多舒壓歌
#我睡不著
#StreetVoice街聲","1571741509","https://l.facebook.com/l.php?u=https%3A%2F%2Fstreetvoice.com%2Fmusic%2Fplaylist%2Fsection%2F6%2F&h=AT0gCUCpRUlIVAzVd6gVbwH4Ei41TkfP6H1OXSm5ZOrZbeic6iqpGechDlNcikD5QTSmS1gmCZ9M693zRFU7bF04EhYsijwGG8eW6ysayTvl-WSnHQbpM6_HMKgpGP_B7vGk17Ilgv87ps7NRkfw8tpRZJlkdcUaG7uOUCuBJMrBSicxu2gQFbFH_qSjETYmg3Dj8g-ruf4IWhwEEvVCb60prBnJN6MYG-aOD5frgturU3mbP4_dXhphoQ_YTQNYfgVllsj_-fPgXBrwpDGMqOq4RKl7VRqS6Z9L-dbELFCQT2FJ5aTKuY-lvF1v1KRfYvJjd2zQYWJJcws_EXS429U1xd0cjqRSHodiM28L2Jt8oM1f30C28qUTdH2bYSux2BftZrQTPfqK4fLp9bsSI8eGFC6H2G05Wx1DfnOdZ2j9poWay8cW3xx9G6Z-0EO6xLJf2vi8l9dI3XhduxNYTpk-QkBH2n7ob6MJfhsu__FMuO95J6-h6g5i8uVfV3Cwyh3pRkZtOc6ZfsM8pfO_cPFc_2Lfj9KV3L3Ks8e-Ht_UVviwOuFitzvFGTEA2iyETXOKu1PGO9mQSEHsffxMqXs_jYS3UW0YmMLWeo_5CKd7ycjYrntmHxTUaJZzVdcmnbqVrVpgMl3k6OYgIfE","https://external.fhan2-1.fna.fbcdn.net/safe_image.php?d=AQA3TvSSpwUIZHUt&w=160&h=160&url=https%3A%2F%2Fd17s7kz6fsfhju.cloudfront.net%2Fasset%2Fimages%2Fsv_c_300x300.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher_square&_nc_hash=AQD8-YRlSVPLnjCP","Không có mô tả ảnh.","駐站DJ - 情境歌單 | StreetVoice","「這樣的時代與這樣的歌，你有沒有聽過？」街聲特約音樂人駐站選歌，更多元的觀點和更新鮮的選樂口味！"
"https://www.facebook.com/NightKeepers/posts/2479963155556082","1571050801","[[ 我睡不著 前導小故事 ]]

守夜人樂團一路走來
在夜裡持續地發出微弱的訊號
尋找著一樣在夜裡
因為各種原因睡不著的朋友們

一直到2017年
我們在臉書開啟了一個
只在晚上11:00到早上6:00
才能使用的「聊天機器人」應用程式
在Massenger接收到來自守夜人樂團
和陌生網友們所創造的訊號

程式啟動的兩年以來
集結到一萬多則
網友們創作的訊號

這些訊號
提醒了許多睡不著的人
在夜裡沒有人是孤單的
有時候接收到的是很ㄎㄧㄤ的解決失眠辦法
有時候是能讓你好起來的咒語
有時候也會是一首沒聽過的歌曲
有時候則是給你了一個正當哭泣的理由

「我睡不著」這首歌曲
也在訊號傳遞的過程中
慢慢形成

10/15 晚上 10:00 「我睡不著」MV大首播...","1571741509","/NightKeepers/photos/pcb.2479963155556082/2479969095555488/?type=3&__tn__=HH-R&eid=ARBTq_vQINxEfX-Lv-TidE_c2b5Hsu2LMD7tDjnmOImWUk6Tuysnx50czyKmwprBamYxlrESG8mHqZsE&__xts__%5B0%5D=68.ARCSoq-R0YqVr2jaKgn1pOS1FSFfUUoXOfy7wo5gHjD5781Q8B5h30LUMOCYKWiJLSDVLR9pAeMhMv_5dw5biZByJl8w5NPK1jLmKKdjfmbB6tj0K8EBym0VqbmfkcwReK_Z9iYxq6xal0oMIavL1s-XflL5O7G1CqMeEZVPslT6UNtu6T6_U1J5Avn8TrUWp7rOxssJZ_xWOTE1gZKIuCbdT6KWyhmtco4Sat8nGmuawj8alBUxQ5j0ivt80ayeUHn2IljyTd8mmA6t2OQanXS6Rsd6SAmwyr8Z_nSd3awx3GCIQxpLRmsvqNq8Y4XEJTcR4rpH8E4rUWG5qaeZZFjdLDzg","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/s261x260/73325574_2479969102222154_8204493528093425664_n.jpg?_nc_cat=102&_nc_oc=AQnHjMlyQzCSRLPUuztQMZ6qI_qUJ8C4y6MzQkzQEe6fvEbVTizMqb37dHd6ZaaTxD0&_nc_ht=scontent-hkg3-1.xx&oh=bcd743dc45cbd439576e0ee2960035a8&oe=5E1BC2A3","undefined","6",""
"https://www.facebook.com/NightKeepers/posts/2198307243721676","1534483457","今天想要特別送一首樂團參與的創作給這裡的你 / 妳。

 但願這首歌
，能『替』你扮演著安撫朋友的勇氣與能量，在這個世界裡我們都在學習跟每一種能量平衡的相處，平衡的傷心，平衡的安慰著在乎的人們，也平衡的讓自己學會被在乎的人在乎。

 粽邪這部電影中有許多不同的跨界合作，甚至是不同空間的能量交流，其中能為莊鵑瑛 - 小球寫出一首自己喜歡的詞曲是今年非常開心的事情。謝謝她為這首歌帶來的力量。

 這裡聽歌：https://lnk.to/Ball_Ti

 送給每一個在現在跟將來 互相陪伴的我們，

 替 詞曲 秦旭章
演唱：小球 莊鵑瑛
編曲：Night Keepers , Ruby Fatale , Toshiya Fueoka

 替

 肩並肩 望著你 時間能夠暫停？
唱啊唱 看星星 就忘記了自己 

 誰能夠 找到這裡 把我的呼吸送給你
誰能夠 替我珍惜 就一步步陪你睡去

 啦～啦

 肩並肩 望著你 時間能夠暫停？
唱啊唱 看星星 就忘記了自己 

 誰能夠 找到這裡 把我的氧氣送給你
誰能夠 替我呼吸 就一步步陪你睡去

 就一步步鬆開過去

 粽邪環球音樂Night Keepers 守夜人莊鵑瑛 - 小球

 #小球
#莊鵑瑛
#替
#粽邪
#電影
#主題曲
#七月
#鬼月
#中元節
#恐怖 #鬼片
#告別 #思念 #救贖 #脆弱
#害怕
#靈魂
#守夜人","1571741509","https://l.facebook.com/l.php?u=https%3A%2F%2Flnk.to%2FBall_Ti&h=AT0nyvpZdGiPjmN5tfFY3TlmD6PTT-kiSRcvCP_29MjgfUaTdh2i1wD8DWVAmjEJ1INYqBbrRJaEJuo2qvHK7Kx6Cn9GJ-C4tRWXXH3_xomzuK_ICDRgSslWsWgRrsXQmoc1b-NRNSUXaQaFZFJGpJRm4L1zHjuybrWFgO4zXT8wzVZVENTJqomtI2m-qY1E7_6qgOAPtxuJGNJR-8S4DqLvLT2iaHppzJodMnMhUbL6hXOPTIV0JH2-y5ol1_0Zn58EHdEgB3i-HyUeUQ9TxJ68seT-G2beSdl17djqOZg5tsQEOPxasjDCOhP3l9scflLOdv7XcDEuHxanlq-gy9SKOojE1HN2GWb5UXAmEBDAPg-VRorbCPu-jv69Ub0wW9VwC1f9D9yYmC_wzKNZshqW0Z2KVjpPY_7yhGEAu80zqPloKfJFs64hVhNdx2Da_41afKX86l_2jaZr0-eITVDL2yLIt7yF98dwv6Fdg6iuQe-F23lTxgsqaeGR7NAfDbt84NAtmx7sJq2b34a5u-K-srcc7Dvza50_0yuUg31GpCEAr-HOlDAErTlI3pm-FnGQnrjVfNiGVjFJX_AW17g-JUFE1vJCAhNP6PlJiRU3uMinhE7Pb_Z2QnaBICaET2WYgNTDHE3H-Jsaifg","https://scontent-hkg3-1.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/p160x160/39256779_6094441242976_4035679677958848512_n.png.jpg?_nc_cat=108&_nc_oc=AQmJ13smdGc7f4TFFRUtpztv9lWSnlYCZ_qE6bKjM-mSTG3hPQC_R_cr0j63N-9lTVo&_nc_ht=scontent-hkg3-1.xx&oh=2a57ecde0fe240e246d66ea62bc26e58&oe=5E2B84BF","Image may contain: one or more people and text","小球 - 替 (粽邪電影原聲帶)","選擇音樂收聽平台"
"https://www.facebook.com/NightKeepers/posts/2483769648508766","1571411674","‼️就是明天‼️ 
明天在南投舉辦的「無限自由音樂藝術節 」，
守夜人將在ACG舞台上跟大家見面：）
我們準備了許多在Cytus、Deemo和VOEZ裡的歌曲 ，
還有各種我們創作的動漫音樂等等遊戲歌曲
👉ACG STAGE 18:30 👈
大家明天見🙌","1571741509","/NightKeepers/photos/a.1682865335265872/2483769611842103/?type=3&eid=ARBpuxtDPKpD59KAarljBpejwzMrfcIsGYd8GE6iFCS1ZuNbRCspLUhKqObFnSma8RO_xEDVCar1k__3&__xts__%5B0%5D=68.ARBxJUoZIm3inylzR3wIQRnYz7yG7jsdP6p4MfT-LLm1QmLKi1Y4vc_2vRCizcMSEVGB4m_OknQgxKinertmqcwBcs9-94k6SxYJqkguuyqGfuW41Abx4KYsUtj8D2kGzmM2bHMqTaqGlbM2azKEsBa0ZO7dt_XG8lOSG0-aL3rOi-H0j5rlMZ6Ps2CO_hg87ySJBBMWaPcZpI_Oy65x97G4Y_4j09qjsnMjpOgo8IcPPQTtYCtthuQJcMdiifDhaBriSaCpzEkNyCMk9P0baOc9MUTths1qY3q1TsUhzxI4x5DgqUpe0JbHz1rCRycwibsHm26U7_SJvOtzVr3pAG24Njtb&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-9/74235533_2483769615175436_3348553917838393344_n.jpg?_nc_cat=106&_nc_oc=AQn5c-8sMv21pjwNJK5x7mYBzYAmpTU9LK3QHpOhnwOr-L8H5ka3NeJoLgIM7u-qO1d7d-gKKLwpuvak-jXGIY0W&_nc_ht=scontent-sin2-2.xx&oh=a1bb3be79d80a6520a6b237d71d0acc7&oe=5E1820FE","undefined","",""
"https://www.facebook.com/NightKeepers/posts/2340679062817826","1554723357","在三井outlet表演的禮拜六
午後的天氣舒適的剛剛好
來到這裡遇見的每一位朋友
不管是聊到deemo
或是最近的生活
都為這個連假
留下美好的回憶
還有幫我們拍照的日本朋友
@aren_sato 

 謝謝在表演結束來跟我們聊天的朋友
很開心能在這裏遇見你們
下次見🙌","1571741509","/NightKeepers/photos/a.1697755107110228/2340678816151184/?type=3&eid=ARBQHY2X6-GBlCKxtVleTnY9k3M7To9NcUXM3_D4nhHyJ5HhN8aIhEBPyAzz4tpNV6Vl1kta5_BZbVOn&__xts__%5B0%5D=68.ARAY4JKo2mHfvoW8cWgbVYQi9eBhMgP-82mx2UU_ffEU9rSMMdSpf66vgcMh3paiu_FHdRw-tKaRaFXvFjHgBYmIgiTm0GOLzDTVQ0LzSvn0w5KdRo2o_ZhPW4g4BegNljSAxZkAmHwhoHavmGiUCsPtJ4IfEZZFfkGDZjYdvjBrrdRhV_lWolQgsmQC-ddDW1N1fG5k9tYWBiRzds4A1URxVYRc3XnysM_tdrrfpkbXooeA7A4h3cDM6BLp7lhy7BGwCQu1YhzPGZe3L0DUU9lvr2lb-B0n-NOtrNfuWNI_NUuQU-Zdhxz68CpWhmNGIoqB3YrmRUrEqPaRvW5_Bd_H2X58&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/56757441_2340678819484517_8817479966477254656_n.jpg?_nc_cat=110&_nc_oc=AQnrU4e7sRZL6Jf1SYbhNimm1EdvnxOcqykaETe6q2HpeT62Bb6WyAny4-lb2J7_6yQsyfT-YXoHuxrGCFSD-O6N&_nc_ht=scontent-sin2-2.xx&oh=263b5f19732fc0f20154f8f7167a5c6e&oe=5E25BC7D","undefined","",""
"https://www.facebook.com/NightKeepers/posts/2474027892816275","1570453206","｜守夜人 【團體枕聊計畫】11/01 台中場Live巡迴
正式啟售!!
搶票傳送門👉 https://reurl.cc/GkEqWx

 -

 嘿~睡不著的你，我們幫你準備了一場橫跨虛擬與現實的枕聊計畫
有時候只想待在自己的結界，沒有時差的追劇看漫畫
戴上耳機與人交談，想宅就宅
讓外賣維持我的呼吸，白天睡覺，晚上覓食。

 不被瞭解又如何？這一刻不用誰懂，你也跟我一樣，都是活在自己世界的同類

 睡不著其實沒有關係，你的故事還有我想聽...","1571741510","/NightKeepers/photos/a.1682865335265872/2474027696149628/?type=3&eid=ARAFR9M_D3WIkt-NnKbYmZ7fETQVMW751ULllPC4RcO_6J6-5HYaCHRFWUe7xYzREUH7Nccd5k19F8NK&__xts__%5B0%5D=68.ARCmUHQXuCyc7b4uEefJQYEDITmuNeh6PO3JL6lcPg52jah8Z009uOcmKXcuSSD_HQ3OoqNwlWWKZJMVlKddaFtXu-GTlcJDjJ9Fe4YUQVJy2gR8UQAE9n9kf4EY0_ZerhylpJdPOLhZwGqueOpPNV0AHhcSnmgLiub5rZJzBFOoGqGtE1CgM7hMzqD8M_YqMBTbgdFn3liIsu12slj708I0yTXu0yQDKpJ40Gj50REcgISuaV8mzFssNqUNyvJPYKMkUAA7S7QLTpO4LdE5tDTwfozUl-Dla97-X-urXOwx3cmInGpKHPgSv8-xar8-Uf3Rt7U9yxzvh5t596Sgv4qLo6dJ&__tn__=EHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p261x260/71674014_2474027699482961_3157040870843219968_n.jpg?_nc_cat=110&_nc_oc=AQl1EWBV0JpCNpUTTIccaeBG3_Hdt-1PFTzmvBInsfSPo8ZPDjIwLTRCYhKr8Hv0pQ8&_nc_ht=scontent-hkg3-1.xx&oh=17d4c7b2a92bf49f3b2719fb9bb2fb93&oe=5E206681","undefined","Send Message",""
"https://www.facebook.com/NightKeepers/posts/2435461346672930","1566306295","農曆七月，
可以很溫馨的，
相信你所想念的人，
也正在某處陪著你，保護著你。

 「太想念一個人沒有關係

放輕鬆

放輕鬆

不管時間長短過去」-晚安使用手冊

 你正在想念著誰呢？","1571741510","/NightKeepers/photos/a.1697755107110228/2435461176672947/?type=3&eid=ARCfAda5vMyjA-6mw4ZbumuK2PO0zdt1tTHcji1sMTPB5WeOQsge0oU1-ToTIVPbnHv3yTjh1s2_l1CQ&__xts__%5B0%5D=68.ARAkZLnLpc9UMG3RqI75GijoCEfegMZqr_VNvcCP9gN-yMZRbUCWA3e4z5hVUeAkhRKdZR3iO-q_RvTBUqVj-U3Duox076n2iCutY6w5rVSmUCj2sjHRfbyRk_n0BgUamtgZ_CI9tj8gLOQPFyfBWT_5rvam28UVcveFxyaw_rtyE_YeSZXPKPENnJbW1illdOvjqXWQi3zRIve3WrjYswtbeh74yEmYp3jab9PTGirulWl377D9mZwSXIfkXqPliQiAf4pmyhk_mLppcL7H2rNcwrN9aine5jcogaHzoes42wlgT4CQL48hGTrmDZqe-RwpNh2fYMCw7egsFvV6hZeVqgTi&__tn__=EEHH-R","https://scontent.fhan2-3.fna.fbcdn.net/v/t1.0-0/s640x640/69500920_2435461180006280_573325370342768640_n.jpg?_nc_cat=107&_nc_oc=AQmCFIPa4fR9zN4JQhgLokl_AUTLlirtr9hye9IjQ1JmDd-YZRJm7yaBYTe-oCL54lE&_nc_ht=scontent.fhan2-3.fna&oh=a511c726785a95680e44c8751b4a0876&oe=5E5B9E06","undefined","",""
"https://www.facebook.com/NightKeepers/posts/2480971615455236","1571147993","【 我睡不著 MV正式上線 】

 此刻，訊號啟動...

 這一年多來，
有著同樣時差的人，
在夜裡創造了許多的訊號，
彼此交換著空虛、痛苦、孤獨的故事。

 2019年，
守夜人將這裡累積的一萬多則來自失眠網友的訊號集結，
譜出這首主題曲〈我睡不著〉。

 今晚，讓我們再一次啟動新的訊號，
打開你的結界，
一點一點的說出來，
放心的讓你的眼神軟化，
讓我們在螢幕前面虛擬或實際的擁抱彼此。

 守夜人最新單曲【 我睡不著 】
https://reurl.cc/oD0Y7g 

 歡迎轉送給那些也睡不著的同伴們","1571741510","https://l.facebook.com/l.php?u=https%3A%2F%2Freurl.cc%2FoD0Y7g&h=AT2EOxz46Xmbv0XiAnE3kU53p7e3XympIA28MVOjFTV7S4BzIK-bmOQC3_14JcvVyCBrlEr7t417oPQmFLs7lU_k4pl-BhWRgKJTXNdRGJQqM0nTR0hucdaZIukvTgxdkRphgyEkyjE5MRsMuIB67mc-ppHY2e0r8aRK0B6ACsG1KiqpTZyBbncF4v9dxIm9PBqWqqfr5xVMVT31B-6JvAM7dj3FM_GwO_FiZgXzQz8faQknO5Wh--FINjpAuwCGcJoCcIagTZ_cnHd5AUuYfyVRmEa7MwIX3rOSLYEcoPC1baPsNZJ9kaQBHBMB-lUQDYT4P8aDU_Aqm78OxLmylcsZdLsv0skMWS4GvtC8q1dSqdxE3Nj2T7aINIS7wTLJ2jqqJ49f2ZbNbGongkDPjjFhbzUI7VcHZD5HWPzFLjKy81LWkrpUUkIHWEUTvf8QIzCfjlK0T1qJzI1ephoImbXBrR7Wunko-FPATB_N3iuURPEuhuwZlFxiOCegzLgumfAIxm6C6XLjSTrbAL3ruaG59UQHp1BvxhRp0jpeELy1_ZMGjUk_gZvOWqee8jtaevsFJIHtg3Kc9j1bY5Sz9ykwAaFWBRKqtWgvaOBOEbGSBA8zqzPH-7FnE_G6UDs8T775Z6DoYbH2Fk-8WcA","https://scontent-sin2-2.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.25.1280.671a/s526x296/73086432_6152716857071_3372838401664352256_n.png.jpg?_nc_cat=106&_nc_oc=AQmUQrAFvAkZqHsrJ-yKWXHEqF6iWYklS51OPTwPY_HeOREeR-WM44vQLafEOn1E4t0&_nc_ht=scontent-sin2-2.xx&oh=9fb67de87b5d75f0e806c6f4ca0fba25&oe=5E594D6A","No photo description available.","Night Keepers守夜人樂團 [ 我睡不著 I Can't Sleep ] MV","「想試著在黑夜睡去，卻總是活在一種清醒的狀態」 你也睡不著嗎？ 睡前越來越無法放鬆 訊息不斷的湧動 卻聽不見任何的交談聲 滑遍了手機所有的訊息與遊戲 卻還是覺得孤獨 我想找人關心我 我想要有人聽見我說..."
"https://www.facebook.com/NightKeepers/posts/2296658340553232","1548515457","小編編

 連續兩個禮拜都重複..............

 以後都不要接收訊號了啦😡","1571741510","undefined","undefined","undefined","undefined","undefined"
