url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ROC.Blue.Power/posts/2513071582122944","1571031047","想罷韓想得美","1571307021","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/ROC.Blue.Power/posts/2033243560105751","1545666239","卡管案認賠殺出續集

 
卡管案續集引發茶壺裡的政治風暴，葉俊榮以簡訊通知行政院長賴清德時，賴揆回覆應「審慎思考」，行政院秘書長、民進黨主席參選人卓榮泰馬上跳出來翻臉說，葉俊榮不顧賴揆「審慎思考」的提醒，執意逕辦、棄行政倫理不顧，令人遺憾；「必須查明事實、追究責任」！獨派團體立馬配合發出聲明稿，要要求葉俊榮立即下台。

 
看樣子又要犧牲一位教育部長才能真正結束亂局，不過也就印證了卡管黑手是獨派團體，超盤手是小英指揮賴神，否則賴神為何只敢提醒「審慎思考」，全民等了一年終於真相大白了。","1571307021","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/ROC.Blue.Power/posts/2504712389625530","1570667426","","1571307021","/junglicity/photos/a.246645595426574/2498739743550470/?type=3&eid=ARD5tKzXp5hoEsa_nTrgRz0arqb4UGnKxB8nNPoggfMCDZcgCKTqGTnP5ZTJVfxQSGwcVoBexeZMPiUW&__xts__%5B0%5D=68.ARDzSQn8hno2DGTxNwcqCdEhzo4lF0MCAY69f0Lw-PKbnKOiiKLGmZbAF7Pn2dDLb9KPrnH5s6_FXAATBJbvZ1ypcXrcyovnORAz66qztf9YUUVBZl8f-o43t7gyd31j5rDD_4Mq8Dyi48fRLEgklmWtCUWz6uBjn4OKxVVVyQCtKaHs5ZI0o8ENerFzme9yQ5bZi_FAg3FGliLWnsh2iUG-vsemfT7oe6Eo2S-1dZcn-xNgIDjQ-ePHXgPeRQMHW35RqEkaz71TOJuMfRC_vE8YORrOxsVp-MDhE8XGfO5N62Fim2AOptGqQdGxn5QcYGbI_UsHtYfoihcT02JQYVpz6uJ6_Z-V1vPb7KxdOHGVVZ_m7f_QIdeiFuHJht0JNExPxI2Q-KW_H9zFy1KYk3u0d3ifbYZlhM1qGtTDiH6YfojZ8Xox8d66GXs5ZO2RiIDWCfrCh4IYrGbntPKSdY5KI0kg0_-u6jzNuz8pAFyg8jtit3SUKnfE&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/72692980_2498739753550469_1802711831282712576_n.jpg?_nc_cat=108&_nc_oc=AQkkvTaM1pO9wl7MuR-wV91hRCq6WNE5lKmtopZriU094jJoel2xfmKzSS408CZWATw&_nc_ht=scontent-sin6-2.xx&oh=74e6209bb857532b68816e3c3186d622&oe=5E31FED5","undefined","陳學聖",""
"https://www.facebook.com/ROC.Blue.Power/posts/2501896376573798","1570541398","","1571307022","/twantruth/photos/a.1962120170722905/2449997871935130/?type=3&eid=ARA3QfY1DF4KxZbBziVf1UqzV0mNE3J-kqBEooy-y2YpOeqgeJDtoVVbac6Jp3IPAArcA-9HY5nMnaYV&__xts__%5B0%5D=68.ARCtlf2jG5Ftro7_Xo2LrC8HmfOVywVjVsl7nVN2nody_JjTWHUQxB6gKBesAWgLBADSOjfwTSvqbvbyvvIokDo6OF83VwkZPSBhkZblx_cWdTUaKIiHHZgBnBmqlW2nbHhPWBd0c3bOIsrC_proIPWHi12ouz7FRHOvoaxOAO4zkm0pmq-gm77N2ykd-skfLWX5kYg_sqY3gpS-PgcMFjqQY86y24PqVzapiJxmgYzxZcJr0l5vl1lPiPKbiB0FJBrnLplq1C1As2ZXRw0Mr-MzTJLoCslUWSKb-n2LDnisaMBTEAnqT55JC1yUFC_BDPGBx9jBQb_MOoPXbu-_9fPIy4fN6cf_16tInlxdqq8sPcvAVZMMzeyG3dmF1XS9ojgwo17NtZ-jjlKEdQ5abAa3D3JDvpFmEMiN5gGMLJ-e8tXV83lNCwg1M3cEzz-9Et0e8JY5kaMPJxi6VQPT2Q-xiF8KCq6UpvDvajend7_wqYtKvq-YgHIZ5Q&__tn__=EHH-R","https://scontent.fhan2-4.fna.fbcdn.net/v/t1.0-0/p403x403/71938194_2449997878601796_2222139005762273280_n.png?_nc_cat=104&_nc_oc=AQmaK3tSsfItiXmAY7ViBcijaejYN4llBBuqVN1VPRAvckgdb-wWtAJe7jC95PC1bb8&_nc_ht=scontent.fhan2-4.fna&oh=16df39e6e5ecb061a27f76fec4fcb57d&oe=5E2FBFAD","undefined","台灣的真相",""
"https://www.facebook.com/ROC.Blue.Power/posts/2520056958091073","1571305184","","1571307022","/ROC.Xianyao.Zhang/photos/a.1806285399423368/2717049785013587/?type=3&eid=ARBuf2iZS922FWOT-ULKXz0d4XnwQdg4Rr5y9FlHI6idAIgCpZZDARanjABF8zlP8rqe9Nle6gXhT5EB&__xts__%5B0%5D=68.ARAZIyyaxvAa_kMjM39De_BEAPeg0SES7b5KjhDblwWWfaukkWOmHp8G8Ospv7nJz0TWZh7yU6umqnFy_jcqLutPc_nBWI6Ft3F03n5nOET0XnQBgqLx3W5pzcC1NZhy-0_9ZGnCABVWqRzuQRMtijA0bxhKxPU2fPIXYIfFaSAAQv-MjbiXPsx4I4IITdu75ZqgvFYQtGqS8mDTep6Cjq2z_mRIZYp2-F3aARmNuU9iKnTEsCU3beStuwFzLQ1cvtD-hn9SsXLeQp1GNIsbKQ2CbD_3yhX6EEkwiUKYzuMpkN0XZ7UlEQ1idlHXsJLWmZPJ5leGrHIPQCEBTfjcjADZL4z0U3uNsz5Eb9eSzJf5Ip6I1J7iaztTC11P7OmORsfm3OkB_j5tEtwVQ_mWLV170L2rYfHj0Z12ZsKA7Zy3cGd9IlrsGMjsfrtTKWdVzi-xSaFxLoh8S5COgJWuXNKvGfDBBF0Jveh02txhQM5dQ-d5VagY0A5JrQ&__tn__=EHH-R","https://scontent.fhan2-1.fna.fbcdn.net/v/t1.0-9/s851x315/72653742_2717049791680253_128606074054901760_n.jpg?_nc_cat=101&_nc_oc=AQmjjG1Ym06_Ze0nDgnWoK9LEAI6afXN-CbVsJHzD6F2Utq1qzwYwsuLpwMS7y0-tqg&_nc_ht=scontent.fhan2-1.fna&oh=575b535e2e648bc943adbf52a889f8b5&oe=5E5FE2F2","undefined","張顯耀",""
"https://www.facebook.com/ROC.Blue.Power/posts/2032975423465898","1545652379","綠營認賠殺出 管爺勉強上任

 拖了一年的卡管案終於落幕，但是還有太多已經被人民用選票證實違憲違法，獨裁決策的施政，仍然擺爛在蔡英文抽屜裡，不知道是想硬撐到底還是等崩盤時候到了再認賠殺出。

 12月16日我在臉書貼文「日頭赤艷艷 隨人顧性命 大難來時各自飛」已經清楚點出政府空轉的危機，及無視責任政治的執政黨。
「賴清德說時間到他一定走，現在立法院審理通過的明年度預算，做不做數？」
「賴清德說要走，人民只能安靜的等待他走嗎？再等候民進黨派系廝殺一番，推出一個派系都可以接受的行政院長，這一段時間政務空轉，蔡英文如何因應？」

 記住，人民不會給失去民心的政黨第二次機會，趕緊徹底檢討認賠殺出，或許還能繼續存活。
今天聯合報社論刊出「即將離去的閣揆，如何為兩兆總預算負責？」顯然民進黨並不在意這些國家大政！
https://udn.com/news/story/7338/3554196…","1571307022","https://l.facebook.com/l.php?u=https%3A%2F%2Fudn.com%2Fnews%2Fstory%2F7338%2F3554196%3Ffrom%3Dudn-catelistnews_ch2&h=AT1uB_YWil81WvSUQeIjRnKDt4lo2E5VWNkknZquh5ZXQa-SngrZzyIVik9fvHBuXd9xXKGqueST_buLO4blBjSgyS1yyRsnjCyb1lB0YrMleqqIdkf-9S6jn3fQLnlu0Iy0Qh4vgiHliLtS7pKqABrcbi5Nlqc0jjiGPNwp4noS4tfPwH34g651vkv29GmBZ1KvJ8jzyrpx7mlPuKucKRYoaLXbKtR6gJZcafELoy12FyWeAPQeZ7pAtCWRZxv82_WjMtuheRHnO1Z_DoSCuAoHNDAkdC_N7G8JOWQxEPHJbHtj2tqRXuW3l-PEqYKeAvcR31rWKlgsqfucHlNDsp8JfEq7cnt-DacyDVZpGCwkrC1h2nktXJPSu0WZ8A516FB3UMVKZUCqSiDbEeltpTjjqAHc83ogag6o3GoFXM2rwDDjplpFyURhwRL3eA3Kl22TvG-XucgnH2VySfAzL8tfqtz8Fa_sfsOTXLyVxmbsS9u9z0VkMzUnHR_rWh1k99xo-WHaOcz3hn3tgEDmBDa7BXC0nJopaO01uFUHk0TBrZEggQFuSwDUZha2ti2j8qDNX_g1zM8ph318Zhf2v1GmwSe8Azhbl3d_ENQmLcL8SrYUk1QmCocAph1vERtFCbF5WTZXEu37xIve","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQAx4nU5w8QGqost&w=540&h=282&url=https%3A%2F%2Fpgw.udn.com.tw%2Fgw%2Fphoto.php%3Fu%3Dhttps%3A%2F%2Fuc.udn.com.tw%2Fphoto%2F2018%2F12%2F24%2F1%2F5701789.jpg%26x%3D0%26y%3D0%26sw%3D0%26sh%3D0%26exp%3D3600&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCifH1-crtRWvk6","行政院長賴清德。 圖／聯合報資料照片","聯合報社論／即將離去的閣揆，如何為兩兆總預算負責？ | 聯合新聞網","行政院長賴清德預告在下月總預算審查過後即將總辭，由於時間緊迫，民進黨擬將總預算案逕付二讀，國民黨則誓言阻擋。問題在，賴揆所提的中央政府總預算規模超過兩兆，創歷年最高紀錄；但他即將去職，已無法對這筆兩兆..."
"https://www.facebook.com/ROC.Blue.Power/posts/2515514898545279","1571134566","","1571307022","/ROC.Xianyao.Zhang/photos/a.1806285399423368/2711646935553872/?type=3&eid=ARB6u9fvRLb55JyfXrncpauTfscCn8j43MGsdj5hXAPLAJRzsUJD2F7W13y0qr5GWDdpOSoMQWop_gBa&__xts__%5B0%5D=68.ARDBFD4hIkDqoWytXTAMpUWOGPvtYPd3D9LcInvLgI6bPbFYxqHpmY8UAwFD5nrrKzbLcPeRmJ44Y5CxKGJ86JE5u_mUAqn4Jt1fthJFcKf8SBGLGCJtZBAoDGprQBdCWHDgzEJcxn62LeSc_qEVahCActA5rFdb8GmakGbaR80wRkw5LAj7jIMJHOHuBH04o9MlGKZhUzj5nQFAeEC-klt5CEBytBjhaIj0Zz6vp43xShvF9oGPaGe_JAMZX64dvCgEsdiA4fS_ENeWs9vi2AnoSobXIqfiQNpUC0EUTv8kiqLWuzdexqEtFtTt8elOTeLvbQGbv-Ifj4ggityaBB4fM82ZdKdRSAoX6TRwcRxA6v-9tu1xKtl6XbUaSwtUy6NvunUCi1IjRXtTZEVgpWZdZB1sRIL8BJOJztvpJmCROZLkpRR4Db6o0XyR-GEKcR1QKpnuR-2aAVMohXmrb1AczqOodqRmZmEAD2CqjYJ2lRBiQe1LUbk7DQ&__tn__=EHH-R","https://scontent.fbkk5-5.fna.fbcdn.net/v/t1.0-0/p235x350/72315507_2711646942220538_8470473813283307520_n.jpg?_nc_cat=104&_nc_oc=AQkNiGFEjHbDQtGBsljCngleTjViJHx7qeAt1WHyxBTTi5k9hrKqDlhjI1nQ9vQlR3M&_nc_ht=scontent.fbkk5-5.fna&oh=ab9708598e4d5be348d9bb0970ef77a3&oe=5E172537","undefined","張顯耀",""
"https://www.facebook.com/ROC.Blue.Power/posts/2513100525453383","1571024931","","1571307022","https://www.facebook.com/rcrightchoice/?ref=nf&hc_ref=ARSRtxBB1m-oiH9frv2N1gTGthaSDerN5rOSk8ul34Di4XJC-AACVhdCrPk5lO0Uzk4&__xts__%5B0%5D=68.ARChjc9_3FfzO3sun13wM6qI3hMt2olGvlAQAGxoL5RLH7qPR4arMdAmwX-rdj5ZstVFC3kkqXg9mubQ8H2_9Q-zf6vWW5dzQF51FhtHuPj95_V18kQ2oNAbQpn9o1z1IJnidMdfNbo2NBsGqH-V0hrP49jNOWfoicQCuCK3p_maM6G_Dw8KhVKuG3TyGTDNYUIRRt8it6x-XpCgpdgOoIQtUKpxjtMOAlKx4mrViAydsr7eiNaokfG7WKa7mhrfjtM604U2x2uKIhrDlrehbhFa5dQFvOT9fQV4YQGPCeIDEMQic3neOJBrhZ222LujDqII8r1_OUsf0OQPQBRY1IECy7jjPbaYdPYm0TAfo-OVA7ilQLSLxx1mucA_qvPMkl1lyJzZ5w_PDuICyj4xD3f2dow3Pn6VTz3z9-RVB0VRu9m4z8KAFpgOhN8PhOCYgbkixgbIszMcr7zKlZx-k1Wy3zP6-M-y05tCFsfY2dFin7pMFqgdS6Q_hA&__tn__=%3CH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-1/p32x32/67956331_1441048406038246_7679025651185090560_n.jpg?_nc_cat=109&_nc_oc=AQmDwT8R5NcJ8SF0eSgvUfpicVPyOcxxcG6oaet0rmZxZIxn9WaN9j0HpfuxhJRlJm4&_nc_ht=scontent-sin2-1.xx&oh=1ff25aad12fe42c3bbe553289fdf39b9&oe=5E2303A4","Choice選邊站","Choice選邊站",""
"https://www.facebook.com/ROC.Blue.Power/posts/2505209349575834","1570693132","","1571307022","/watch/ROC.Xianyao.Zhang/?__xts__%5B0%5D=68.ARA_OwGuhzlHa4i55aE3xfUQRmXrs8JMV_7dHhHqO0GW5OnIGHWx5THFf22gXFrpz0Cw71i-dqY6mx6iQyMFfVH3JeUU2hqx1eDt97sE581OB8azjy-XItW0yHTQTsUZ7pkDEvQBnCA_O95IYYnzmsY7CHMnvUiQ4tE-WkD6Cwoapx6WPTQLN-9-E7EyX_0-f8W4rWR8wh_nwjP2EvZE-pSaB5q0kUmfJ6Euq8rFizeriBlFoxocZqU65pp2iH8kDeQmUDswHm_mxsZayTg7e6CsPO1mjQZ7TL9XF2HyFLKS3DePBmbuK7VwgU6nIo8DQ4MUPBumKb2fXXV40o8j7e23UL_UDLZQq_uo4zBcl062mZBFJKwe_L2vDHXm-0T-_JuKisQfVCwMWzhOKWunWUvW7wZbE5hMbUfFCWThlWIp1HpOAd8XJ67Mk_vf8rf3tSFFy_o1gm_RamRaNP4F8QmOf6Hc7neOFK-uTkEKeeYDUZKgt6lo-VExnrtsakzIMsU&__tn__=kFFHHH-R","https://scontent-syd2-1.xx.fbcdn.net/v/t15.5256-10/71847222_1290629027781867_2882088970202644480_n.jpg?_nc_cat=107&_nc_oc=AQleqD4ldTdJ_OIMHF1RYkPW3O1KdN-Tn4tsCnMzsHTPCul6rvmWGRcloPDejqzSf78&_nc_ht=scontent-syd2-1.xx&oh=e549a7845a49157844cf0a419b952306&oe=5E63E0E2","undefined","張顯耀","4,801 Views"
"https://www.facebook.com/ROC.Blue.Power/posts/1575163995913712","1514427322","","1571307023","/watch/wang.huimei/?__xts__%5B0%5D=68.ARBjMvJK1cHz7VEOpTTSTeN5_yn19wRKJaehlO5O_7AzXcNDBVU2WxMV_4Yna-i-oz5e9Wa2mdDt6Mm6uiT2keeC9sg-2LuJBEnobA_1J6EPkFuwygPvcQtlHaC3r9ug9mlhSXyTikYe13CWiMOuxToZQnFHMwKIB4Af13AWhxnVQh48D5oTe9PAtd45CGA_jQCdmmDCHxHdxyRNVmlsdgHIPoslcfKUiaFdAv6D4hIN3klySQT8X1Vg0Hz534mUXsp0t0Cn3R0rIPjk4PAi6YzMxMY1VUwbLnPHIo9MpbMCqCDwlOHhlpaDpTpctptPGYCzuDqLxO_far6OTz4g6g0unZ5xNPZ-f1_-eIyLvQEt0FSGH_kc4YpSwTEOmOjZLABONP8dq9ujc3UCkI4sOGKsDYtjoSoiebNQqIuUP_rHNuSpPA6qV9e8CLKJMB8bEBTYy_ptz9Dtc5gzheA120MoukVVqi0-bDJNpEhZWuSXtEvuBnjIP9ujr8Bo5vP1Wy9I&__tn__=kFFHHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t15.5256-10/24520150_2021726491185778_1079722531599941632_n.jpg?_nc_cat=102&_nc_oc=AQkb-8EhA_PhfAm0C5crO1l7ONJyNPoNMV5IxwHhY0E8PhmjFd11kYYRJpk6jszQsxc&_nc_ht=scontent-sin2-1.xx&oh=4269c6b3a4a79b41c21bc36c527371cc&oe=5E643B01","undefined","王惠美","18,816 Views"
