url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/RSPannie72127.tw/posts/2205809152882224","1568029391","我喜歡你 也有訂閱妳","1571008219","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/RSPannie72127.tw/posts/2227196277410178","1569064523","YouTube：https://annie.pros.si/LNEV4

 我是超級不愛吃香菜的反派！
為了追求公平性還找了超愛吃香菜的嘟嘟一起試吃！
沒想到成功的讓嘟嘟加入陣營了？
另外辛苦聖結石品牌小幫手們了哈哈哈...

 聖嫂 Dodo 聖結石 Saint",1579134649,"https://l.facebook.com/l.php?u=http%3A%2F%2Fannie.pros.si%2FLNEV4&h=AT34ldP9v0ExUIheRXVcaCeJyTsr1dWq8-P2Syh20Pbra_4E4LTnghf3d7dOsDaxmt67ZJZtobgp6PpTVh5bojhZ4opc2j2o-cteWuBNFT3kWnvEQZINBVh6-ReXbRLCdnXoQ1TkKMHbdGtrvDUa_aWGiIO3F1pdbanChdfYeS3Ld-v0KVvNTFPIXt_0zAZ-568CwhmLbtBaM9y7emQoPg_ECymPcRnMDzHijeX0llJvxCfMTGEunS8KvLtltMv6qzQltHbqUjlMdRS4FM2vFOZk5Vpaxl50IuHx38ZFV1Mk4seGwzS4si2ssWXfWkztI-nF-lFzag1t739h_5thbbVTZ6tG62dXAzaaljZ4lyDZUMY1FTBmeEJqijGLXET75yA-RB1dMgRrDjztOMj07bMPYVCtrEgf2FVvmwC3a4gqATmjXHcmJFwdyLQQ-KSEQP4wpHc1wQVyO-hPSerqsXQZ3bzB1Bqe8xOZMUM6BED_jL9sWEOuXu_ffuIHDiYjavhQTRYDKjOC0KCzCIFh7ZXJgoFlJsJOvLW70oI_5wjR4v3WkmCKcalEkfNx00HEudZpq27GebBQI-w0M6qPozrt_QxC0uacdMLCKAj1cIoL12wwu8pkBmxUBfu-13kMGdp_4OgXXjx7Hs7b","https://external-sea1-1.xx.fbcdn.net/safe_image.php?d=AQDJTAJ0s-7TtPfl&w=540&h=282&url=http%3A%2F%2Fcdn.psee.pw%2Fstatic%2Fimages%2F3014F490-25F8-F6DA-A6D0-0B22AD409B2E.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAUodK8_PHzIWHz","【魚乾】試吃六種香菜口味食品...吃到懷疑人生...(Feat. 聖嫂嘟嘟、聖結石)","訂閱追蹤最新影片：https://goo.gl/GN8hjU #記得開啟CC字幕 更多亂糟糟的試吃：https://goo.gl/WuM8SZ #每周六固定有影片 我是超級不愛吃香菜的反派！ 為了追求公平性還找了超愛吃香菜的嘟嘟一起試吃！ 沒想到成功的讓嘟嘟加入陣營了.....","annie.pros.si【魚乾】試吃六種香菜口味食品...吃到懷疑人生...(Feat. 聖嫂嘟嘟、聖結石)訂閱追蹤最新影片：https://goo.gl/GN8hjU #記得開啟CC字幕 更多亂糟糟的試吃：https://goo.gl/WuM8SZ #每周六固定有影片 我是超級不愛吃香菜的反派！ 為了追求公平性還找了超愛吃香菜的嘟嘟一起試吃！ 沒想到成功的讓嘟嘟加入陣營了.....訂閱追蹤最新影片：https://goo.gl/GN8hjU #記得開啟CC字幕 更多亂糟糟的試吃：https://goo.gl/WuM8SZ #每周六固定有影片 我是超級不愛吃香菜的反派！ 為了追求公平性還找了超愛吃香菜的嘟嘟一起試吃！ 沒想到成功的讓嘟嘟加入陣營了....."
"https://www.facebook.com/RSPannie72127.tw/posts/2197251197071353","1567618444","希望KTV有更多魚乾的歌","1571008219","https://www.facebook.com/photo.php?fbid=2403140203114916&set=p.2403140203114916&type=3&eid=ARAUM5iZ6jostc0mAmedMFDATFH-9uqyyh4Y-DilD_kCnGP8SlPE3uWy-J2xizGcLhWaxwLrHQFY4JkB","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/69648736_2403140206448249_7227710792664088576_n.jpg?_nc_cat=104&_nc_oc=AQkz9KSkWwmezfSK1TWAQ9K35M1weA-16BiifIq13i2e_advO-WmVCpUbtE1lla_GkU&_nc_ht=scontent-sin6-1.xx&oh=05bf11661ad60070edb1c8dfbd7ae22f&oe=5E307660","undefined","",""
"https://www.facebook.com/RSPannie72127.tw/posts/2177300242399782","1566642784","YouTube：https://annie.pros.si/JMGM9

 不知道從哪裡開始流傳的都市傳說！
聽說全部都通過的話，表示貓咪已經完全信任你了？
有想過我的感受嗎？我不信任牠們啊(X)！

 飲水機剛好拍到一半沒水了才會閃藍燈！
而且剛好要換濾心啦~~~
怎麼拿麼剛好~~~",1579134658,"https://l.facebook.com/l.php?u=https%3A%2F%2Fannie.pros.si%2FJMGM9&h=AT0ZAjnToAgBKKTHzE7DDfXQnpa5oGyQL73ew6bKUjH5A09qyao8d_N11Mynq7jhQH8Sz5JcVyIY_Djf2QQfhmw42ryeErliu-QFeMROIruj6kiogUVKHNO0Z_CmtsSXEjRKTaQBAjLB0yt6Ud7p2xahdKb_Y3_SJCII1OAP4wnwdFER13L91-sFDsf_r3HaE86THXRJh6H9IX4cwFjtJQQZV55NhSzJCDORDdVktmcwT_HOsCbxDRrUnjTV7Bb4MArunU3X2LTnyPUU1SUmJ3IFsqw4smcAVgkvm5qxs_vo95FREcdMfWeAsoWG5Q6jap9mja6SIeJC0PPHl3_w-EN8mHhubsPDY5qXdU1vFc3yN-A-C4cyi60YyqhfyRBcriAzzN0YUwftyX6f-Yy5C9xxXdVCOQcWNavbPCU0Sb1ridpyPlFRTGu8jzhNT6EHAYh7bXputMBjUAosYibq2REXPFjZhDcTlqbF0d9jVau38veQW1NAB_4cpfAFjWM22JR1i91-3aCtYNya7aHpDFsh3a-DADXDvue01dtFsAfgcXso1FDg162dgH_Wnknao8sQADzm4C5V986hOMYSaNtoOLZ-VMOGui3XH3T3Awbg6VgcJs-lbvaiNpG5Yr_vXaii5bQ2qcku9GRT","https://external.fcgk6-1.fna.fbcdn.net/safe_image.php?d=AQAB-cIII3KeLHiD&w=540&h=282&url=http%3A%2F%2Fcdn.pse.is%2Fstatic%2Fimages%2FB7EA6AB5-8AF3-6B34-851C-67CC7E4D7080.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQByXAHRNPM8vTwS","【魚乾】五種方法！測試貓咪對你的信任程度...小心別被咬啊！","訂閱追蹤最新影片：https://goo.gl/GN8hjU #記得開啟CC字幕 更多超療癒的卯迷：https://goo.gl/yWfShV #每周六固定有影片 飲水機剛好拍到一半沒水了才會閃藍燈！ 而且剛好要換濾心啦~~~ 怎麼拿麼剛好~~~ 不知道從哪裡開始流傳的都市傳說....","annie.pros.si【魚乾】五種方法！測試貓咪對你的信任程度...小心別被咬啊！訂閱追蹤最新影片：https://goo.gl/GN8hjU #記得開啟CC字幕 更多超療癒的卯迷：https://goo.gl/yWfShV #每周六固定有影片 飲水機剛好拍到一半沒水了才會閃藍燈！ 而且剛好要換濾心啦~~~ 怎麼拿麼剛好~~~ 不知道從哪裡開始流傳的都市傳說....訂閱追蹤最新影片：https://goo.gl/GN8hjU #記得開啟CC字幕 更多超療癒的卯迷：https://goo.gl/yWfShV #每周六固定有影片 飲水機剛好拍到一半沒水了才會閃藍燈！ 而且剛好要換濾心啦~~~ 怎麼拿麼剛好~~~ 不知道從哪裡開始流傳的都市傳說...."
"https://www.facebook.com/RSPannie72127.tw/posts/2139917186138088","1564736401","陰陽師現在竟然有個線上歐非抽籤系統？
好險我的驗血結果還算是小混血到啦哈哈...
看來以後都要先來驗一遍再決定要不要抽卡啦！

 你要不要也來驗驗看自己是哪裡人哇？
抽籤網址：https://shindanmaker.com/914993

 #陰陽師Onmyoji、#陰陽師漫博夏日花火祭",1579134661,"https://l.facebook.com/l.php?u=https%3A%2F%2Fshindanmaker.com%2F914993&h=AT16v5qDIdhCnMySmjZwCTYui40AkSq-rKQzmqzvbj7vbUQxOZiDkLKDA9EfO2SfZQVSO1BPmceH0GlTsiSPT77SkA0sFzIFsfDz5OZ04xxyPa6co1j69o6jfw3z0IIFUdFjocN5NcwT2tLoDn3WCY4cSABB1UFK0561IWJ8qP60p74QjvU1iBHnGn4xU1TnoJLfd4DBR2fXTnMbVbpRr4l12Mi3KAPn9dansW3UG9XMffXtaoKO-tZl5DfBB-S4tux_5k4aewX4U4b7nsXECyoEEvEN6haKHXpB5wAOowAXbw2IYLv3gsO4tAhi9xZ4t5p40m8UE5GyFSkZXTbBERvX38NGQWBSJo9eaP3_ARrrA8genpQZmXGSj5tmmnsExR761gi36HM1kAN1i1b1EAPsNpN6oEKXenIJ4mtZAs5b9DQPD4U0JCYsnR9tqAsVcOp-wReYHApN7mep8ZhHLGnIAyHD-U618biNvyz3rr-WDSntRYKVHWWDo8dibRlR17xRq578-kHENP4NGGN_Z4n8TEYu2QOm-I3WLH3rZNIqCO3OaGOapX7MJjhh6Ee23et-Q-RYFdevOlOPBTib2AJzFjY-Nrp0zWg5Hrp4dz60nARhJsG8kfIMgKeigv_1WCiSe70l67HD-mQ0","https://external.fmcz5-1.fna.fbcdn.net/safe_image.php?d=AQBQJlivXUKMoe0N&w=540&h=282&url=fbstaging%3A%2F%2Fgraph.facebook.com%2Fstaging_resources%2FMDEyMzM5MTM4NzA2MzU0NjU3OjEyNTU1MDI2MDc%3D&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDSiKxlX7J92zgn",undefined,"輸入姓名，即可獲得您的歐非鑒定籤紙哦~ - 診断メーカー","shindanmaker.com陰陽師歐非檢測輸入姓名，即可獲得您的歐非鑒定籤紙哦~ - 診断メーカー輸入姓名，即可獲得您的歐非鑒定籤紙哦~ - 診断メーカー"
"https://www.facebook.com/RSPannie72127.tw/posts/1859500690846407","1549346963","YouTube：https://annie.pse.is/EUAKU

 結果是我睡過頭，我對不起大家，新年快樂啦！

 一天收到了來自JN的訊息，說他想唱歌，
怎麼這麼剛好，我也想唱歌，
所以我們決定要唱，就唱大的！

 紳士痞子 x JNIF 無敵家娛樂

 -----------------------------------------------------------------------
▼影像製作▼

 出品：無敵家娛樂
導演 吳俊諺 尤傑恩
攝影 洪培德 林子翔
現場執行 陳亮村
剪輯 蔡子暘 尤傑恩
特效 尤傑恩
幕後拍攝 小紅 大潘
場地 GOOD GOOD 好拍市集
妝髮: Honor Hair
髮型：聶新哲 Ivan Nie
彩妝：陳韋陵 AU Chen

 -----------------------------------------------------------------------
▼音樂製作▼

 編曲 楊恢宇 G.B @禾酷音樂
配唱製作 劉普恩 P.N @禾酷音樂
錄音師 尾仔 Wade @禾酷音樂
錄音室 禾酷音樂 Hardchord Studio
混音師 賴彥中 Lai
混音室 禾酷音樂 Hardchord Studio

 -----------------------------------------------------------------------
▼演員名單▼

 主唱 魚乾 傑恩
鍵盤 九善
吉他 徐森 未來事
鼓手 麥茶 未來事
BASS OK BOOM","1571008220","https://l.facebook.com/l.php?u=https%3A%2F%2Fannie.pse.is%2FEUAKU&h=AT2TRcBXxplSA7_4WxoqVLPmvfV9c3Brr18hRG5yFnkMdxCn4pYiLyrVmjFrfxMxPzJS42W68u8ilm6Yp0Iebl8wGQvT9zL3GYGanhEhu5hHyD9OT7stiwycJPMQzV4dtcS49WxZGQOvxjkFIa9QyYJcVXnooEKqgttnq_RpaI0ZdG4NZL-w8zg_DBnjfv4ym1yTNt3Gmt42O26y4S_wiAFbbu6S_wxdgU9USlBrZqZ9mD5eSSEPMfgGEs46x0xvcwB8QldAu9qJcJZChEYwuLpWUljYF1sRzClrHIuGroK43EOAG0BPhx-XpYzMjBfTVoJlgy596lGzu6P8vCD4T41MzyRlD1f9chGEY5p12hiGWiN-blG6aRXHliR7iKLsXfV9l5JyRrUhvXa2b6dsRz8KbDrJeU_UwfB1nUL4BiN5jN03j3bsop_4A8Sg4CiilnmPhEYneF_Y-Jw2bPHLUQzFMMs0vDKf5nV7r0gjgrSzhEg3geOwgb2F_kAbUyGB09RCe8mDO-P0DE5YQ4DHAUvKEg7D4K2FjjGzC6hjtXQb3GHyFdoWn7ufmwYbZv5Ivr39ql7Zqy9-d2IGLYBYurwqaIvcTMGdGMqI-I-6ypwUS53YdpyZPnG7kfyjDFyja9ifPgiFWJKGqcOD","https://external.fbkk10-1.fna.fbcdn.net/safe_image.php?d=AQDHeAy-qQflKGw7&w=540&h=282&url=http%3A%2F%2Fcdn.pse.is%2Fstatic%2Fimages%2F77AFA10A-D8A0-2D34-BDD5-EE9B015A8E58.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBL2eCscIe6cVXH","【魚乾】超高難度歌曲cover！『一眼瞬間/黑色幽默/不該/後來的我們/你說了算 』(Feat. 紳士痞子JNIF)","【魚乾】超高難度歌曲cover！『一眼瞬間/黑色幽默/不該/後來的我們/你說了算 』(Feat. 紳士痞子JNIF)","訂閱追蹤最新影片：https://goo.gl/GN8hjU #這次的難度真D高 更多翻唱音樂作品：https://goo.gl/D5RrGa #新年快樂萬事如意 拍攝幕後花絮：https://youtu.be/zqWKIM8yeV0 紳士痞子的FB：https://www.facebook.com"
"https://www.facebook.com/RSPannie72127.tw/posts/2030040373792437","1559116985","用pixel拍的照片都很好看但都會忘記po！
尤其猜歌大賽的時候我還偏正不po可惜！
雖然過了很久還是要來講一下，

 感謝上班不要看邀約！
感謝所有創作者對手！
感謝我的雙胞胎麻希！
感謝宇宙人這麼帥氣！
辛苦大家了！好玩！

 大家趕快再去看10遍 #猜歌大賽
還有宇宙人新歌 #陪我玩

 #猜歌大賽我最愛 #上班不要看",1579134661,"/RSPannie72127.tw/photos/pcb.2030040373792437/2030039817125826/?type=3&__tn__=HH-R&eid=ARCftV0JxVCRTfaDB8HK-jpxBWWoNRuNKBvMpKiv5Tmp_Q1Aq8E16_mJrvonQfEmvwFHw3jSfRYEBbaK&__xts__%5B0%5D=68.ARAni8xN6K0XX7PNdnCT22TmUFxuMqmNR98eRiCnb_hWYPg22R1AKsiUpQIYDEy1uXWvt9quiBGWF7mD6Wlzyb7NhVK7EsBqrHvvrqbT2cJ6kvaMoUUMvzdclCTrEFzTxEmANRKQkT7JpmGeLFt2rlAEHdlRTpJJIzYzO26fGUdZMrrY-GCJDT4zIbuJ668a6YeCg-2Losisbg6_iZGh7e2uzreONdFN3aHWta8HOv40upmWFDJM_Q-RzJZG0vG5OwBdX8lZK-WVn6zM6LIAafS3AGwT0F5OwOI8ItU7djzCvfMQBmQeDgwW5CIbwolKOtPW5pAgM6fHVA8B9F3ZgdIPvw","https://scontent.fplu8-1.fna.fbcdn.net/v/t1.0-0/s261x260/61374738_2030039823792492_7128560596462600192_o.jpg?_nc_cat=110&_nc_oc=AQnZeW2lsKEyflMUyHApb4Y7ctVw5qjQjZw6HS5BaGzV2pdCQ2VmeEndeKq1aTHeGgE&_nc_ht=scontent.fplu8-1.fna&_nc_tp=1002&oh=882f2e3c594ca29e7fefdab74f3100a1&oe=5E93C762",undefined,"+7",""
"https://www.facebook.com/RSPannie72127.tw/posts/1910977965698679","1552376166","一樣大了！

 #ULU小跟班 #APAsocute 
#太陽浴 #可以吃了","1571008220","/RSPannie72127.tw/photos/pcb.1910977965698679/1910977865698689/?type=3&__tn__=HH-R&eid=ARDDCaMb5l-K5bRanQBCztz6HCqMOeFch1iny9JiAZbjwLpTKnvhLHFzVMwsGVyi37wp2tGsoyaV1J9M&__xts__%5B0%5D=68.ARBgYjpzPvb2TGCtXqfNHmstxNjDidXYrh_CUzPMjDmEif7cumFudg4vmLiJFEpCoQoFgyQDh0i8XJupdieYcQDWfOssFfgcod6ZIKIKavlxUmfnwjErgTJpVWLyoR7WcMZyZSTFvMPuQaszRn-Lh1obLNcNdn_JwW0HerOizN-JyB9Gu36wx97G6AA3O9n9q-3qKRhZITULpC7iop6AfG4-TgWmXjDkZ0AfZfnpRU7Za4U26mEF_17vhP5xm06mBCnpjPtkOu-BqdwC7nMAbl2qMSfAzmoBY_swHF9bj5h2tm5kWADvy0-RnrCk6DBDZEVR_MQvGh0K7SiE0z6dn9D-6g","https://scontent.fbkk18-1.fna.fbcdn.net/v/t1.0-0/s261x260/54514760_1910977869032022_3578927622769344512_n.jpg?_nc_cat=105&_nc_oc=AQkBefRJgFoKjQ3KgNjM8x3hl-dI4L56AdlqXYREPzTFMpLC3rsx9VLjVsTvDh1_s6U&_nc_ht=scontent.fbkk18-1.fna&oh=64eb7744f7ca079d4974d957e4ea874b&oe=5E36FF18","undefined","",""
"https://www.facebook.com/RSPannie72127.tw/posts/1845754165554393","1548507544","YouTube：https://annie.pros.si/ELSJG

 拖很久的北海道來啦！
先上個悠閒溫馨的小菜給大家吃吃！
後續還有很多有趣的體驗Vlog！
(雖然你們應該在其他地方都看過啦)
#北海道歉要露胸部

 首次用Gopro7拍攝的Vlog，
夜拍真D恐怖...","1571008220","https://l.facebook.com/l.php?u=https%3A%2F%2Fannie.pros.si%2FELSJG&h=AT1ExIJdj6Y3hGVARKZL6geciMwJGu7sLMqnl7BJNCrJkBTxdoy59GZ1S_ZT03vu_bwqjDIPqIShbrI5-1Zs-mTx_MzK1Y3vYfQM1mq2k0czYBrvQF4V03uzV5S5lH8TEIHuYd0RvGIcZqrQe2FhFTfXu3raH143f0unXA9Oa5K9bPF-l-L9q8P0LT-yw12207m8dyv3Gb-1ftFv7ICoOhkDBsWDcXtqRS8S3x9hfbjGBNljZ_BO0lQnVgI-w_F1G-1OAUi5a0Ynx4083MJeCi0Sy7ciMa3B2oRv1vAdQKBmJdXwxQxqYguv4-gC9lYqqh8vt8Cds0J4GVOW_oolNpwU0Z7UucuKUE0n7teFAJScgf7ant63wTcA2RKRmPrpYiYp2c5B_Hz_Ztr4A1r4tDdH-88cDfvFqCGVZvhYU4fzGu7iwWE63TwKawJzZVyfw3FcxmElw3ibgIWfU6ZpqXv7q0UPbqRAvDkS9BYvdb8NUQ1RRWCzZmzNvcbG448cArx3cgjoQtQcE8OTL9wQgKa58R8XP6noifAV1X_gpm0bL3g5ridwbIoUSKaIv0ZTaqkDMSlZtbvLp5YakHDa7heEtIJgYuze7KS3YaarNUmOCiqBqQbctsnvta_Nyozhsmk9NVfviXt0WA0Y","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQA0xRcN5C827E-E&w=540&h=282&url=http%3A%2F%2Fcdn.psee.pw%2Fstatic%2Fimages%2F21238F47-214E-9812-25D9-F230D825208D.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQC-AR2pXSAOBK1T","【魚乾】這是什麼胡鬧的Tag？又是這群YouTuber的北海道之旅！EP.1 (With 菜喳、聖氏夫婦、阿滴英文、劉沛美根、林辰)","【魚乾】這是什麼胡鬧的Tag？又是這群YouTuber的北海道之旅！EP.1 (With 菜喳、聖氏夫婦、阿滴英文、劉沛美根、林辰)","訂閱追蹤最新影片：https://goo.gl/GN8hjU #記得開啟CC字幕 更多粗氣王的Vlog：https://goo.gl/T12F8a #每周六固定有影片 拖很久的北海道來啦！ 先上個悠閒溫馨的小菜給大家吃吃！ 後續還有很多有趣的體驗Vlog！ (雖然你們應該在其他地方...."
"https://www.facebook.com/RSPannie72127.tw/posts/1913712775425198","1552565018","YouTube：https://annie.pros.si/FYJ4J

 突襲發片！
文慧如真的很好聊！
又一個不小心聊了一個小時XDD

 文慧如的這張專輯，
我聽了真的很有感觸，
雖然他是寫給20歲的年輕人，
我18歲，還是很有感觸。

 Boon Hui Lu 文慧如","1571008220","https://l.facebook.com/l.php?u=https%3A%2F%2Fannie.pros.si%2FFYJ4J&h=AT0GJ5VRAnnY28KBkOWBog-Ry-MHWZ8t3fGNKny_Vor1v8BPWRDJ-Ojki2_n3FFzUoO0_z9X29aLxMMBQX0G6uPANhAyHfc9A-n1oi5UFdij1fZflEHouRDh3uSnxvxbRBFGtyjQeR7Aa9ug1KjMbfU5wIa6w0v4xeE36i5vNnDajutJjx71nLoWZmwAMoZGxrBYL6hrRvjEmaoditokbL3P4eo75gG-X3tU2O_dkiiAScUIcrCAH4wRFDbZCHb5OnMpkUzffEqOT4BVH2NKmK3Guqw4FImcPc-qe3ABClvkUcuO2GBRegFhHb8-3TiL2sj6P2WIKJaMG3ScSRpnDMCQFZfucuSVjwJ_CyW2QvpKnJwwoDLf-4uMI0I45Gy8KYLAD5vIHcRLzI7-4xDXKbBUsadgSbwVDw_OaUXUdZzjTdS8Qna5cXHIlZjD0nSvBjGqQPJC9RQ5YFrKUgxCxAFDMRA0wkcIvZ9vLtEwaeQQySbZoJsNpBDdLWsW6GSqX2T84hE-ufkElTrwZ-zRS9kH4hltrTPPflPnH9JdP4OkD-bKvbIOkswIN6_P3tPpBvcnW2m6n6wgqmr2gwjL31NDTF-TTyCp-73Bw7DJtVT9CNBWs4n25p3_-5dYllyORZXklaJbg957BBda","https://external.fbkk23-1.fna.fbcdn.net/safe_image.php?d=AQDySth4rCcd5rVE&w=540&h=282&url=http%3A%2F%2Fcdn.psee.pw%2Fstatic%2Fimages%2F8A6768A8-8455-3E2F-F64A-BABA696D21C5.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBacFPHj6QTCmh3","【魚乾】點閱千萬的影片為何下架？翻唱到發片的過程？(feat. 文慧如)","【魚乾】點閱千萬的影片為何下架？翻唱到發片的過程？(feat. 文慧如)","訂閱追蹤最新影片：https://goo.gl/GN8hjU #記得開啟CC字幕 更多日常的小影片：https://goo.gl/sxDhv7 #好好聽好好聽 文慧如的這張專輯， 我聽了真的很有感觸， 雖然他是寫給20歲的年輕人， 我18歲，還是很有感觸。 ▼推薦▼ 怎樣的我：h..."
