url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/RUFOUSCOFFEE/posts/2508274485900676","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579299741,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/RUFOUSCOFFEE/posts/1699251250136341","1518504539","春節營業時間
店休日
除夕2/15（四）至 初四2/19（一）
開工日 初五2/20 （二）
歡迎來喝咖啡
祝福大家新春快樂，有個最旺的ㄧ年！",1579299743,"/RUFOUSCOFFEE/photos/a.637497012978442/1699250446803088/?type=3&eid=ARDahvAYOjDy_IUwycT0unaUSzORv8WE25n3nyZKbrBwiL71eqq_u3bpI6qDZhX4MPOIlAgGtw4aszVe&__xts__%5B0%5D=68.ARBc4jyz7P55lnOHcZZRWkFqy4vq2aYMLc3PkXhyM83J5nF5H6erbGYoh9IH-RCU98eCmYKIWNujVbdQYFZ1oZZvh0IiFV8nITI-crFRQL8LFbNIPGEghgcdomSGtJPKTgnYmP_FBWNw75Znyr9dr04udANcgQ8D1jbs1BGOurWSJoXdN-oIEn308nsAQq6H-0JyzlXPNJzITFFOwW1BK09UbForcARgcu7x5ZVNZKSf4AISZQHUkPoe864owHMC9IC_X4q_geuRKseopGapFZjSs6APtDlDg0Pe4eXstvfWx69FScLpvvxqKarKxliut9yZTRWjhgJdCcPb0WDoGxXc0w&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/27972162_1699250446803088_5776537796510295390_n.jpg?_nc_cat=108&_nc_oc=AQl1vSGGQU8EBZsudQ774r9Nsq-7sugJDFOPZOSbDgMvQmD30v4jWkwX0LOkDkKIwzg&_nc_ht=scontent-sin2-2.xx&_nc_tp=1002&oh=e89a27818156ea0e15104cf871abace0&oe=5EA15150",undefined,"",""
"https://www.facebook.com/RUFOUSCOFFEE/posts/1158442577550547","1472036941","在Ruins Coffee Roasters 煮咖啡
活動期間：8/25（四）14:00～22:00",1579299742,"/161148114305872/photos/a.163072507446766/181470148940335/?type=3&eid=ARCfn49xOu3E1vtcF9ycRg6utWpSDtYW84TDShte3oyG68OwCFja-epmPIPAa-YWdcaGe39_N2EZsLWd&__xts__%5B0%5D=68.ARAXzP73wwC7LzJKaPyq1eKVzIC_-Kws6qeYaxzLJ6dBG-O9u9eF8nX30-cxWQJYsWTDHJPAoC6im7z_sfgjju0zb7GVRxhxU9owjH8urewLyiEkvxJ9AJ5gZJ4wr53DfREXD1JE-BV10A6c2_AgYrdkPoktqV4HvCUW0mql3gZaM1QMUILfRVfpXhndx7ib_K8Tvf9Rj20z1rnV_Dt7I8UcUAzRA6yPMkXEkTUVkxNBqBLoOjN2ZSxkWc-IdmqpS8o1HG8ccYmYgoMK2-1zUrmhWxMPBY3xVRTRJo8BOqvAwn_Bvg7QDv9d7uE_1htVN_F9f2buxkoPBBmVP-X-qhJ5ZrnOxcSszETi74GQLiroFCtEFze09PF0SnJZbFrGDAn1ZQ-CFM1RhhRFkzMPj8mX63iTTXvem70roAf8ZcDhHqzxDmObqT_nOLdEHBL8RYxxxPLjNJoxw-eR_-b9cx3sUrJEWECTfd0R7XcbEQgviHByu5q5sg&__tn__=EHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p235x350/14021581_181470148940335_4253278219013359960_n.jpg?_nc_cat=104&_nc_ohc=_D7loham-W8AX97viJs&_nc_ht=scontent-hkg3-1.xx&_nc_tp=1002&oh=e2b50fe3637f487ec4cb22ebe82e3fb0&oe=5EA327A7",undefined,"咖啡老頑童",""
"https://www.facebook.com/RUFOUSCOFFEE/posts/163432440384904","1303993053","","1571378148","https://www.facebook.com/media/set/?set=ms.c.eJwzNDM2MTYyNDA3MDU0MzDRMwTxzY2NQHwDCyMAYrcGLg%7E-%7E-.bps.a.163432083718273&type=1&__xts__%5B0%5D=68.ARCazBTmVvebVF_Ulp00AvPEvVzBzcBxoNvZhCIZXZzlh92b_U3TF-aZd7OmwHwFAN9lteajaYphLG7E2NicUDxLLlbxlxa2yF6BW0T51wD-YLlnQJRL9SmG4cUVFbYjeyMHkdPwZ3hSiJ1EXQU8493v8BRK4U29WL7MOowCH1mnuTx5b8SknCq15mjTY1xuy0cCpNz866LxbSXnLiNObFgWiYCOM1i5hcbU25TPTQ4vnbTQrKSNDtYpS1DbJDPCrYrTVtRFFsC9z8OvdVftQ__LNdMvSPnyhrOFiaQLXzT7JTpovAVN86Qngna4Zoy7RTSFhEXDa4l0gsSzCnzYHR1Ap56tUu1zd0YPVzF0ALXFTDyu4kmmmCF10vh51vW8_EThcF6yNM_2WtelC1HrRyuwaFPFlrzm8duvZoBmmJF3BjAm6S0ZAfRW_WswmeQe3APld6UlAEE3He0D4A&__tn__=HH-R","https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-0/p526x296/227927_163432107051604_4351898_n.jpg?_nc_cat=108&_nc_oc=AQmmatqmzMukG6BSmocOmoJdnCmkm9-WFS8S_-DRL71p8ELqgFcFnOg5ddan702oe-Y&_nc_ht=scontent-iad3-1.xx&oh=a79a218b48570dd970691e9561333f8d&oe=5E5E7BA7","undefined","Latte Art2 Photos",""
"https://www.facebook.com/RUFOUSCOFFEE/posts/1950804784980985","1535518985","",1579299742,"https://www.facebook.com/RUFOUSCOFFEE/?__xts__%5B0%5D=68.ARB0Nfd_o2dnCLZgu5JdQys-ByhTgxCEPPD7HFBAwxSF7QRYgpiUsxeBooyEToofTSWrjjwJmkLi9uBgBs3ENpWeB6Uj0Sbri8taqO_dUgmqxw7q4V0ZBGTPJb4oQvvdm_tCkYL19y1di6km5-vUlBn0Bs0ZD-sVm-HluavBQUIJ08yY0BmD-w0QQT46t8Bfq7faaz0swhCNIBv4K9nR-8hlN1frJfIj77DYpQO-0WFlFV-dInPXKf6IfFIz21kpx6W39bcPbtdPDuRzF9Rss3tNsuGwLvTpdft2dy31j0Uun2zj8VC9RRmw8-YYGDeS9hbcgXjAT3HIKrUAIMbXGCXc8A&__tn__=HHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/c0.39.526.276a/p526x296/29356825_1739578446103621_8859905918173479823_n.jpg?_nc_cat=106&_nc_ohc=YgQaMCEjw-0AX_CWhem&_nc_ht=scontent-sin2-1.xx&_nc_tp=1003&oh=74c4f228da605704fdb2c1634f06f5af&oe=5E94368D",undefined,"RUFOUS COFFEE updated their phone number.",""
"https://www.facebook.com/RUFOUSCOFFEE/posts/163730947021720","1304102927","[甘邑酒康寶藍 ]已經開始供應!!
特色口感介紹:
在杯子邊緣沾上蜂蜜與黑糖及純巧克力粉,並在濃縮咖啡中加入榛果果露,最後將甘邑酒與鮮奶油一起打發加入杯中,堆疊出一層層的味道,入口的苦甜巧克力伴隨著濃縮咖啡與葡萄酒的香氣,冰與熱的口感變化,非常值得一試喔!","1571378148","https://www.facebook.com/media/set/?set=ms.c.eJwFwYENADAMwrCPJigV6f%7E_XzXbDsE7vWD03xAKNER9kzwZG.bps.a.163727340355414&type=1&__xts__%5B0%5D=68.ARDMYCGEtD5RfG4Eb3JnUDNiDYcFvIjAjcL4-1f0LGLlD-Eawa42hXO_SeUjj-qMr5jfqwTgj-NJV1pwNI1YWvTe3hLL6CPkHzj3__gbFcMie1n_Xhit1YL7zMqjNREGcznz8aaZYyEPexx5nQyqpBkHLEJLGKvCPK4K9CxLrYJgfLYXKXr_i8dBwq02U76Teuh7hQT44U3m3K5JUUozehNG2-hb_FZnNVbuh876HsiidZQimH14N4tHaXcKCbn11WaAJHxOc9XdfGUcaSQ-eDmmHI3X5k9UAAMxH99VRa0C5VfjClKra24TZ4uq3DWwYeJEiOoFCA_rL0qW-rJC3EtQ3v3hn8aeHwgPHKcTEgnwy7QilNVKlc23CyMcyBvGvJ-MW_gIb_3GGR_oaDgNX4mXOyVrt7ualXkufGuHvTGP0lWBZI1JzbZxqJW5WFTkSF1B-Yjnvy-bcoYulg&__tn__=HH-R","https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-0/p350x350/230241_163727413688740_3542551_n.jpg?_nc_cat=102&_nc_oc=AQkL6Spt4uo5PKjaqoxrGSg5lFxxGw9x8tuKXqorZtdgwnSBo10iHTz1jmI5q2vUrEY&_nc_ht=scontent-cdg2-1.xx&oh=821e414530a9c45873870f48df85f492&oe=5E19F1B7","undefined","新的咖啡菜單2 photos",""
"https://www.facebook.com/RUFOUSCOFFEE/posts/160989217296464","1305217098","等你的地方","1571378149","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DB_U5d9ywBa8&h=AT2V1fFQwM6Q7kShOFPJfMM5IHJQTt1U0Hw1YhhF9b9GVph7gA5baNl0RgIeq-UqFzYsiZBUTkeElMBQprxSc5NZXaT-0vW0fpItYNv_gVde8X46QkzGEcgk7Ff2imRMzz93QDy-Psi7TTf-a6tzN3fYgk7-8cjuNRmBoh3oA1kCZzKkRtJe-MoNdGuuLaxavi5Spo1eZprwMaGYP_Wntz7EuHaOxGIbrrVG8WMvGu93llfSp3PtCmX_LWVLvr0jU5s0urSx95ecszB33yncB-ZgvDz7av6zTthNnXtie4wcO1BoPRFQXn_CobFfPh-dezaAN70FN9gEdbiaEuS4O2hBeHaAsgT9XBaws8Ocy4EVVf7EJT7WA2yQSq0OErl0Vbb-tfb__6YM22xN6-7YJe2D7e_LpvOk3Z5lduVcUB8FV3A4FhPJ5nD4IiU6k3lRcmhElQCW5y3lquhw3KvB-Mcj5L1cIeuXBVvfHjVK8jND6Rmx--uyUK9YtboVXnRbIHq4Z3VyePc6JqKa0kE_ANbuAXe4imk6SodQcm5FvHW5ZBZtz1NnVIs1sE2C3_2-75zAb8Ea1yJKa-wgkZWVTx-e0Oa9Ad4sbU__dfGpAml3GuT8S9R1-2UG7HVBLPGmmrZ2Hz1tddM","https://external-cdt1-1.xx.fbcdn.net/safe_image.php?d=AQB8hDAWOK_1MsPD&w=160&h=160&url=http%3A%2F%2Fi3.ytimg.com%2Fvi%2FB_U5d9ywBa8%2Fdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher_square&_nc_hash=AQCUtswt08AA1d78","Image may contain: one or more people","蕭敬騰公益廣告「等你的地方」完整版","其實一個人孤孤單單並不可怕，可怕的是，這世界沒有等你的地方！ 紐約知名保養品牌kiehl's，再度在2010年在台灣跨界結合出版、唱片、電影受注目的優秀領導人，創作公益影片，並執行「浮萍兒課後陪讀計畫」的經費贊助與理念推廣。 這部長達四分鐘的「等你的地方～完整版」影片結合了台灣幾米的繪本、蕭敬騰的演出與歌聲、李鼎..."
"https://www.facebook.com/RUFOUSCOFFEE/posts/163434713718010","1303993950","http://www.wretch.cc/blog/hallychen
hallychen拍攝
https://picasaweb.google.com/cidchi/RUFOUS#
林子淇拍攝","1571378149","https://www.facebook.com/media/set/?set=ms.c.eJwzNDM2MTYxMTY3MDU0NjfUMwTxzYwtjM0NzS1MjAFj2QZG.bps.a.163434427051372&type=1&__xts__%5B0%5D=68.ARD_Gwrqwa7MEpGm5Mrlcgz42-07Qpvl2YxtkRY29jkLrYgW4u6JcnSS98WVc_s8AnnGCOE-yWlvxdwMjRv8n0430l5uUn8OELcx-ugkeBjBn3WJfg1YkJHkuNSdGYXZlEIlVZYiKadu8WtLP-x8YpogT_TFpp1ur57J0iHbo6-q1nLEj4InJkK3l0BPZdsaZqT4inhC3xAhc1fKZb3cS_Kkgopllx1OQImKxo1lFx06VrYiu2TeXk6Jc_Gx9zaVYdjkrCJ9wDjXzFPQK-I7O454nD6U1l5zb-NS4LVvILY3NeH0dKfDfcKuFkMCGIcz9VWIvRMb0P6_SaVM2qpMBdJ6oMdXjVUFL63ZBR3R44NS_QwPKWYmeIDiMwzuSOqq2mesRl5mWHSPTvoQYPBbixgDHLA_COG326EkXugP5GSlqRwCdDpB8RrZwaXcTY38Rt6OVZRC_zV2njYHHw&__tn__=HH-R","https://scontent-lhr3-1.xx.fbcdn.net/v/t1.0-0/p235x350/221634_163434437051371_2089945_n.jpg?_nc_cat=101&_nc_oc=AQn6_wZ2YVOH45u8iPzCamwwZAhM254XplRxWciuawTIrGN3mhZ_csTnh65-TDVd8bs&_nc_ht=scontent-lhr3-1.xx&oh=75d36be7d46b6d3ce9220533aa1233ba&oe=5E2CB222","undefined","關於RUFOUS 的那些2 Photos",""
"https://www.facebook.com/RUFOUSCOFFEE/posts/10152293459409344","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579299742,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/RUFOUSCOFFEE/posts/997602430301230:0","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579299749,undefined,undefined,undefined,undefined,undefined
