url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/SaveTheER/posts/2704968522868841","1568531510","還記得台中市婦人張翊湄因為在日本因腦動脈血管瘤破裂，累積上千萬元的醫藥費無力支付，後來經各界募款及協助，7日才得以順利返國嗎？目前她經首次手術後情況趨於穩定，但據她丈夫楊琮閔獲得消息，前天又有國人因心臟主動脈剝離，赴東京同一醫院急診，手術加急診醫療費用已達1500萬元日幣，相當於新台幣428萬餘元，且同樣因為沒有保險，目前陷於困境中。
楊琮閔說，經過妻子的經驗，他深刻感覺到出國必須保險的重要，尤其是去像是東京、美國這些高醫療費用的地區，沒有保險等於置於險境，一出了事真的難以應付；除了應該保旅遊平安險，還應該附加醫療專機費用，而且保額必須提高。
昨天是中秋夜，楊琮閔在台中榮總陪伴著妻子，看著妻子眼睛已能張開，雖還無法言語，但他內心充滿著感激。
他說，當妻子返國被送進台中榮總急診室，他第一次結帳竟只有7百多元，眼淚幾乎要掉下來， 對比在日本4天就花了230萬元，台灣的健保真是德政。
更令人佩服的是，他的妻子返國僅兩天，醫師就從腦部攝影又找出另兩顆腦動脈血管瘤，但在東京的醫院住了40幾天，卻從來沒有聽醫師提過，讓他深刻感覺台灣的醫術在全世界都是首屈一指的。
楊琮閔說，醫院要等其妻情況更穩定後，進行第二次手術，解決腦動脈血管瘤和積水引流和顱骨重建等問題，他再次感謝各界，讓他們家人終於能在中秋節前團圓。","1571530762","https://l.facebook.com/l.php?u=https%3A%2F%2Fudn.com%2Fnews%2Fstory%2F9650%2F4048179&h=AT3_MGVPb0r9CW6xg11kHHHLECc1EMZhPMQHrvljZNhb4SKCo6ITkkaayVWeQtP-aQoLrocB2CALQCujBrcy-oyuSjKnFCkHVUTrHxq_Xtg-Yk5hyk6PJnes7X44RwOnr10JdCaNsssNr6sZYGANoPBOvsSCBJEmu7gj2SKTRt0UgMPnY3GeoQx_795VgTUDQbOkdpE6zzvMn2avHuDSimF6J7_zFmEASC6yTa55at7Gd7RhAuXvWgRBti69vTqkplqYIF9jNdsMwEJYuGGXM_9BEjF0FgFnhiMzZJh9BiqSQDPwEth5qUD_mjbUmE3MPzlYnvkVHOLi_l-dgP_Tu2nsqzfae-7hG-f7bBPEHGWmzThasHWvbM5syHyjQYa7ST-APudyTQjn5-BchrkR5rmL4H6w_bBtKScUuWLazwCPMCIVfWfVP6G0rUCDn6a1u2-MPs3UlD1fOTeelaM74h0kf9amr9s5TDXLQw8W2FlKVr_ZkOWpFe2tSD7IXIuQtukr6y0z3pVatb2UOCd5UOu0OHvlFIKU_GWY4u0_I9YyIagety8H2Lp1X5_Nl6LJldtyN4g3Bs7dcO00Sm4p8PA_Z0ImvYLH7RvdqdnVKltjhYKoTIKuSe3w3MJXd-8QNDQdzBNOivPu1a45","https://external.fbkk6-2.fna.fbcdn.net/safe_image.php?d=AQAzy0CD15KqbWM2&w=540&h=282&url=https%3A%2F%2Fpgw.udn.com.tw%2Fgw%2Fphoto.php%3Fu%3Dhttps%3A%2F%2Fuc.udn.com.tw%2Fphoto%2F2019%2F09%2F15%2F1%2F6822107.jpg%26s%3DY%26x%3D0%26y%3D0%26sw%3D1280%26sh%3D853%26exp%3D3600&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDZXt6GoYwru-iW","ในภาพอาจจะมี หนึ่งคนขึ้นไป และภาพระยะใกล้","又有國人急病滯日！醫療費兩天4百多萬元陷入困境 | 聯合新聞網","還記得台中市婦人張翊湄因為在日本因腦動脈血管瘤破裂，累積上千萬元的醫藥費無力支付，後來經各界募款及協助，7日才得以順利..."
"https://www.facebook.com/SaveTheER/posts/2690139074351786","1567854518","搶救急診室要對金門縣長提出最嚴正的抗議

 這是什麼樣子的地方，急診醫師竟然遭受衛生局長的醫療暴力？？？？

 請縣長公開向全國急診醫師道歉，並宣示一定嚴懲你的局長

 我們都在等著看，縣長怎麼做!!!!","1571530762","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/SaveTheER/posts/2741430162556010","1570075153","台中市大雅區中和六路一家物流中心今天凌晨1點多發生大火，警消出動到場救援，後來帶隊小隊長發現火勢蔓延，情況危機，呼喊「撤退！撤退！」，當時在火場探測溫度的2名西屯分隊特搜隊人員張哲嘉、謝志雄卻無回應，小隊長再多次以無線電連絡仍無訊息，確定失聯，懷疑受困火場，8點左右找到2人遺體，得知同袍罹難，現場參與救災的打火弟兄忍不住淚崩。","1571530763","https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.ltn.com.tw%2Fnews%2Fsociety%2Fbreakingnews%2F2934577&h=AT1Oap8pYp5linbZia2cL6VlOg5UFGhZ0RXsG8R1x_xN7BWtfFx9mls0dVeXxDdukKoruFIBmUAtGfHiZ-emc_25PnL6hZoYg8NhjCiO6VoTIW8lfelN1u9qgDihGBijsPyh4FYouqkLDy-cX_2zeuyIvSTchRXLMsVF_PJ_8HKxuZ1uZRHeEsYYN2e0P6hx3EMc05dkAMXoUljmxliK2jvv3QYKeAkLgvj8mzQ8ci2djoVSf9ihQ2Nvvcr4UVjXlWLcdQcyrCZrgfogoAqZJvriHQ78eb8CVV6iZ0nNERv4PsxFq6A2ffcDRjx5a2CiZsl04xRlmny1ds-pyYbfyAv692GS8wgljlJtujpxvCESnNfnU82XIh54i3-FFfykCdVq1Iyt9eh_0ZggYaRFeRZSQJA6ac-UUo2TDH7eCp-YdHZwH-YJZpRoLtN0dgQLteytk6DognWX3dvy82lvHkGNXH-ZZFyCq88EDkpYUs68haPouRpzoJ27W0_th7u_MiOlK2GwzE339QbPWtYDdOXseXvg66yXhi-bhnkHPW0TLbxuNldDQE_43jbncTkWRJf18Ps9AVkyUzScLebsBm2T-ikU7LXMSj9KEHhCH0UjMGHQv0cwfPAG7vTG3pBusrFvws5XjbfTHuzX","https://external-prg1-1.xx.fbcdn.net/safe_image.php?d=AQBRe0frqQ15Lo5U&w=540&h=282&url=https%3A%2F%2Fimg.ltn.com.tw%2FUpload%2FliveNews%2FBigPic%2F600_phpmfHCkk.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBb1EqHjkU6eDZf","殉職消防隊員遺體運出。（記者歐素美攝）","中市違章工廠大火 2警消不幸殉職 - 社會 - 自由時報電子報","首次上稿 07:04更新時間 11:46"
"https://www.facebook.com/SaveTheER/posts/2689921807706846","1567843470","南投一名男子喝得醉醺醺打電話叫救護車，說自己「痛到快死了」，卻不肯配合救護員指令。到了醫院急診室態度更差，不只對著醫護人員大小聲，甚至還一把扯掉手臂上的壓脈帶，甩在地上轉頭就走。
喝到醉醺醺，到急診室測量血壓竟然還敢大小聲。先是不滿護理人員詢問基本資料，突然動手，一把扯掉手臂上綁著的壓脈帶，甩在地上還一邊大罵。
這名男子住在南投，從他上了救護車一路到醫院急診室，整個過程做出一連串脫序行為，把他載到醫院，他又說突然不需要就醫了，不聽勸說，甩頭大搖大擺走掉。
https://www.setn.com/News.aspx?NewsID=598760","1571530763","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.setn.com%2FNews.aspx%3FNewsID%3D598760&h=AT1KMqbvtj4DLUpYen7bvmZ54sAE6pJhoKA-a7-w-3MbxISKAat6Q4Y3ob0OBbGiTfvaTth69clky80qQA8vckqEkMizjgRqS376nWYpHqYHLpthMyyXpWQ38AXE2wI471Fh8uzI92j634r9yzkkRd_jU6C3hdDvo2HRHhuyZG02077fHijAqMnt1ADwd5W_SA3ivzbDViH8Mvm2sdR686FOcullQW4A6YqOyWs087EO3ipebRcpwauSeI88xwi8f6dnkTRMXLb88ideXKxgRC5wSoa1OAT5eAU-KNGnqFfGUjr34i8c-Aaq_bpw9kZZDxSelsz9TthRknu28ysYgT_2OkmhX2aemDcgLO1Ng3mgHIXl8_Llhm8TL2T8OQGG_eKiWhFmtez9qKsdXC6mgZaBWcXn9piKbXwrTA6uPisY6ICFvzxZebmAb6OaIxqdxrree6wDUfv9vH9zBxKQRs4R0XK9j1cS-TYVp9MlF6KvusbOg9PSJwWPqGjSIDBK330p4yMumGmV-GeXChQuQHfP6MUG0rErZhFi0jgyTH9ey6-qpga3KJ9YDJwrMFcCUSF0deiYGTaSqP7Gpc0N-iKNF072njIZ0Uc-VzDEAkwtWlxzpYq5kZXOrxIpuGZG1Jh849iBkupVb3ek","https://external.fhel5-1.fna.fbcdn.net/safe_image.php?d=AQCutohRnG4jO8qB&w=540&h=282&url=https%3A%2F%2Fattach.setn.com%2Fnewsimages%2F2019%2F09%2F07%2F2117113-PH.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAVFzd9-9kKHYQ1","Image may contain: one or more people, people standing and outdoor","三立新聞",""
"https://www.facebook.com/SaveTheER/posts/2697317456967281","1568176472","台南市南區杜姓男子今年8月中旬在家中休息時，突然感到胸口不適、昏倒OHCA（無生命跡象），家人撥打119電話求救，由台南市消防局救災救護指揮中心人員在線上指導家人為患者做CPR（心肺復甦術），直到消防局救護員到場接手，再送到台南市立醫院急救，成功挽回杜男寶貴性命。
台南市消防局指出，近日有對夫婦及兒子共3人午後拜訪消防局第七大隊灣裡分隊，消防員細問下才知悉，原來是8月中旬南區灣裡轄區1件OHCA救護案件的當事人與家屬，到灣裡消防分隊致謝。
據了解，此案是約50歲的杜姓男子半夜胸口不適、陷入無生命跡象狀況，家人撥打119電話求助，南市消防局119指揮中心執勤員蘇賢昆在線上建立DA-CPR，指導杜男家屬如何做CPR，同時派遣第七大隊灣裡分隊救護車馳援。
抵達現場的灣裡分隊張明德、嚴升佑救護員及德興義消中隊隊員侯世賢立即對杜男施予CPR、自動體外去顫器（AED）分析，共執行2次去顫、配合自動心肺復甦機持續急救，到市立醫院後由急診團隊接手，因搶救得宜及患者到醫院後的不間斷生命之鏈，讓患者在幾天後奇蹟式的平安走出醫院。
消防局第七大隊長張明欽指出，到醫院前心臟驟停（OHCA）的患者，雖其存活至非病危出院的比率僅約8％，「但並非完全沒有機會康復」，透過消防救護人員和急診醫護人員積極進行心肺復甦術及高級救命術，患者幸運恢復自主心跳，再透過必要的緊急心導管介入性治療後，才能讓突然倒下的患者復活起來、恢復意識！
杜姓男子感念灣裡分隊救護人員及線上消防指揮人員的救命之恩，患者與家屬特地到灣裡分隊致意，也為府城發揮「生命之鏈」急救成功再添一樁佳話。","1571530764","https://l.facebook.com/l.php?u=https%3A%2F%2Fnews.ltn.com.tw%2Fnews%2Fsociety%2Fbreakingnews%2F2911779%3Futm_medium%3DP&h=AT3Uy6OsMnfCGpAduau_oVveCeTNRu4J8a_ufOj887YtpirPLllwfNGrinWi2-T75GSIFHRQwwVZWanIN35AaaqIiRan-Bn881tyR5cT5qpJ3GBsWiBgoHDrZ2-61jzt_R-65PobOX6Y-MqVu1WLzxqKD2lcLvSEK0HWgSlzM8YOYwzk_IBDV_rqhXdycnDq2HEPMtvssNOqScfbRiiAB7_CUZeIlTfSB14_bIaOTEi9PwqMJh6lvzUZkHQkxx_yxAPWKaMEdp15_ormdng7Ixne93Ht4CYJfkJbAIXRoimDUT56TML1xq2SQS6tDGqXkBJn3gMQBmNbGoEBKiQBbIC7s2OzQAe4UBafHvIr-bZKA8Guu2I0pMgs2BcsPTYmDxpuNl18LPzNDajU1tx3IcEdt2wa2Sb4_U5tZfOYXXOOyKOYQSMqfxhIDf0vY0AO_Rz75CW6vAt66EFupoWMZtI2G1afisTZ7R61mLEIHMFMqPuwaTxCK29TSIMJ7Io0iQLSGp5qBrJD6eCZk8kXg5SuAIINSAzxJKeGpe_UPNqMVz72lwHqtpvu0xZSarp1hbY6D8SlPnNm_xQpQVRx4nKrpNt2zRBMErNWaYeHSI4PKhLCX8u8gLvVXUvahFJx_hdFAFiZLt2oxYGF","https://external-frx5-1.xx.fbcdn.net/safe_image.php?d=AQD0Ttm7IaCbtMBf&w=540&h=282&url=https%3A%2F%2Fimg.ltn.com.tw%2FUpload%2FliveNews%2FBigPic%2F600_2911779_3_1.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQC_Nx79TX6WOqEp","死裡逃生的杜姓男子（右二）與家人到台南市消防局灣裡分隊致謝。（記者王俊忠翻攝）","壯年男失去生命跡象 消防員電話指導CPR上演復活記 - 社會 - 自由時報電子報","台南市南區杜姓男子今年8月中旬在家中休息時，突然感到胸口不適、昏倒OHCA（無生命跡象），家人撥打119電話求救，由台南市消防局救災救護指揮中心人員在線上指導家人為患者做CPR（心肺復甦術），直到消防局救護員到場接...."
"https://www.facebook.com/SaveTheER/posts/2766693116696381","1571135797","戴姓工程師上月在台中市路口突然昏倒，無呼吸心跳，來往車輛多很驚險，休假中的台中梧棲童綜合醫院護理師張芷瑜立刻救人，為他CPR，救護車趕到接力電擊，他恢復生命跡象送醫急救，救回一命，戴姓工程師今天送花感謝護理師和所有救他的恩人，包括下車擋來車的司機，拿三角椎維護交通安全的貨車同伴，護理師張芷瑜說，她第一次遇到這種突然狀況，直覺就是快救人，利用自己所學為患者心肺復甦術，雖然過程緊張，事後知道救回人，她感覺很快樂。","1571530764","https://l.facebook.com/l.php?u=https%3A%2F%2Fudn.com%2Fnews%2Fstory%2F7320%2F4105094%3Ffrom%3Dudnamp_storysns_fb&h=AT3XMUW-4sMxRjM6lz5jF3OybasqJEY-IefswPnWMNVvcmxxX30mRxz_rGxy298vDpWljGedEVf85FPJzacGD4OG-1liLXmRxPnKMubGnS7wWUKXIWFFiTLDPfjuy9cA946AvMZfW-wwubBazof58VjhFFAH6uuy-1_SaRqTj-zW_4esjMsw9lNKLZL9mKwM2UlP6TXvcN44mHWI3JZ-esTHdAbQMIkZrnr94IKb8JfBq8fo4F5rEmXWaFUBGegwMpU7mWWJ4CTrP2FtnetYUv86xcCA9ib22y7xMnKQasUCWoVFVeymO9esxanY1tu2YYP63ZVJ7rLN78y-irO8mr4S6oIW5Mh_TQPiG5dO25G4-6zRCqTWT0zCDBdG9upVdIWZGuTvnPinFYjKOirzTIlvmkbPv7l_-cUFDOtK6cD1a2v3oDF-uDCHDX6p8PGxbl5zt0Y9sISjt5L_9z2xayoNARznTxLSaATMCCWcvNRunF6-KKUD5NygE3g7Q2D4XMMZstv--oijZ0C7xQevI80qA0YckVRCC6jjt020pwSVrwoieojM1Pi8yNQquI2s-pQUJdVqroL5eD0I1mAVHkD7H8ECC_B9XRPrt4H9T5wdje98dLBiq1Si3ClVjjLMFJx8PkPhRJbH0Woy","https://external.fcgk12-1.fna.fbcdn.net/safe_image.php?d=AQCF4iYu2utkDiRa&w=540&h=282&url=https%3A%2F%2Fpgw.udn.com.tw%2Fgw%2Fphoto.php%3Fu%3Dhttps%3A%2F%2Fuc.udn.com.tw%2Fphoto%2F2019%2F10%2F15%2Frealtime%2F6942707.jpg%26s%3DY%26x%3D174%26y%3D0%26sw%3D933%26sh%3D622%26exp%3D3600&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCQcXoTX72Azyyl","No photo description available.","影／工程師昏死路口驚險一瞬 護理師和路人齊力救回他 | 聯合新聞網","戴姓工程師上月在台中市路口突然昏倒，無呼吸心跳，來往車輛多很驚險，休假中的台中梧棲童綜合醫院護理師張芷瑜立刻救人，為他C..."
"https://www.facebook.com/SaveTheER/posts/2713959828636377","1568938001","國泰醫院爆發麻疹群聚後，傳出護理師居住的社區管委會要求其搬家。對此，衛福部疾管署副署長羅一鈞表示，「不能理解，可能管委會對麻疹有所誤解。」他指出，我國麻疹疫苗接種率高，群體保護力足夠，近年從未發生社區住戶麻疹群聚，「這是小題大作、無的放矢的行為。」
事實上，國泰醫院麻疹群聚自主監測將在今天期滿，換句話說，若今天不再有新增個案，國泰醫院即可宣布解除麻疹疫情。對於該社區管委會的決議，羅一鈞表示，可能違反傳染病防治法，「請台北衛生局依法裁處。」
羅一鈞解釋，雖我國偶爾會傳出醫院麻疹群聚，但近年從未出現社區住戶群聚事件。台灣麻疹疫苗接種率高於9成，群體保護力足夠，尤其在爆發麻疹群聚後，國泰醫護人員已全數完成麻疹疫苗接種，反而較不易染病。
該起群聚指標案例於7月底從越南返台後，原為治療潛在疾病就醫，8月5日發現感染麻疹，17日發現造成4名急診醫護感染，雖緊急管制，但又出現3醫護人員及急診陪病家屬感染，院內有7人受感染，另指標案例歸國確診前還傳染一名同住家人及同班飛機乘客。","1571530764","https://l.facebook.com/l.php?u=https%3A%2F%2Fudn.com%2Fnews%2Fstory%2F7323%2F4057702&h=AT3WlbKRk9X0xJD0nLdaAbOxMSnkO9MDX3ILtFimy0rUrB6Qz3R_LlRMAf8RoC5M_v0RCV2EenOPiFtliAlik-7RzSkfaPooF6dreEYcr0B3YWsDcsKkO2hy0zPLuGZEmLmD3aGXRZ3gzBMxqbKCrzuz_FxF-hL_E5dC6mBeA0K6YDxmwjptPijRaIPW0WmQUWX78U7gdsR41VEirL54ucJlfx8xpWKkW4JCx1Fs86xrikmSaNWqg3NnV_DTzXKYjfnK4yJHp8FQJgngVCVia7Qw20SFbBMwNCxNz21Dl682S4tFMX3G5zstpjgBQYwOM0Jw71wLOpN6KB_1CS7A0ieLrYuEr1GmTkeeGBf1yunwT2v9RBs-tU5f3lZOqk6_LdvZYBTSrvxJwIpk4GnKwFSGV5jBTr464SnOdZ0AnRUhwc0BbLhcef-vqgYh0Q37cbO_Ol8oSWY95kvsiBhSGO7KCcJrLs0nFSBUcU-BQiopAw4-3GskPZs6AVNimzSGWCS-e5xQxT4uVo-c3ApL6gsoToR47dEw9VduUe6kehAJEsZTAto7Ib-73B1urKx5-Yai8bmMUS3E4ySvQAeIKJGjq6XUBw7NeNyu9jqUJHikRmPozEp_Zd9mx8LiiWnyR5rxZhDUS0VMvA7L","https://external.fcgk12-1.fna.fbcdn.net/safe_image.php?d=AQBUBH7fQkuf4LgX&w=540&h=282&url=https%3A%2F%2Fpgw.udn.com.tw%2Fgw%2Fphoto.php%3Fu%3Dhttps%3A%2F%2Fuc.udn.com.tw%2Fphoto%2F2019%2F09%2F20%2F1%2F6841293.jpg%26x%3D%26y%3D%26sw%3D%26sh%3D%26exp%3D3600&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCxLk1aBDOTE-cM","Gambar mungkin berisi: dalam ruangan","護理師被要求搬家／疾管署：管委會對麻疹誤解 | 聯合新聞網","國泰醫院爆發麻疹群聚後，傳出護理師居住的社區管委會要求其搬家。對此，衛福部疾管署副署長羅一鈞表示，「不能理解，可能管委會對麻疹有所誤解。」他指出，我國麻疹疫苗接種率高，群體保護力足夠，近年從未發生社區..."
"https://www.facebook.com/SaveTheER/posts/2727388750626818","1569477973","<< 小孩撞到頭掛急診，在台灣要多少錢？ >>

 
很多人大讚台灣健保便宜又好用，讓不富有的人也能看得起醫生，相對地在歐美就診有時會被收取天價。一對韓國夫婦赴美旅遊，卻因孩子進了急診室一段時間，回國後被收取幾十萬的診療費。
Vox.com報導，一對韓裔夫婦2016年帶年幼的兒子到舊金山旅遊，晚上孩子不小心從床上翻落到地上，撞到頭後嚎啕大哭。媽媽擔心腦部受損，打了911急救電話，救護車趕來將孩子送到祖克伯綜合醫院（Zuckerberg
San Francisco General Hospital）。
醫生確認孩子只有外部擦傷，腦部沒受傷，他在醫院喝了一瓶配方奶、睡了一覺後，隔天父母就帶走繼續旅遊。
兩年後，這件事早就被淡忘的差不多了，這對夫婦居然收到一張來自祖克伯醫院的帳單，要價18836美元（約新台幣56.5萬元），他們感到相當吃驚，雖然先前有買旅遊保險，但也只能報銷5000美元。
這對夫婦感到很疑惑，當初孩子並沒接受什麼治療，為什麼就要付1萬多美元？這張帳單上列出兩個項目，一個是3170元的急診費，一個是15666元的創傷活化費（Trauma
Activation Fee）。
院方解釋，創傷活化費和急診、手術費不同，屬於獨立收費，急診室匯集了最優秀的醫護人員，24小時待命，需消耗大量人力物力，即時接診搶救重症患者。創傷活化費是各家醫院自訂標準，就診超過30分鐘就可收取此費用。上述的小孩雖然沒接受治療，卻在急診室待了三小時，符合此費用收取對象。
這種創傷活化費在北美一直都有些爭議，也常常被民眾抱怨投訴。一名30歲女子Alexa
Sulvetta分享經驗，她幾年前在室內攀岩場摔傷扭到腳被送醫，收到一份高達十幾萬美元的帳單，包含創傷活化費、急診、救護車等費用，她不解自己只是扭到腳，卻每天被醫院追債。
這種創傷活化費最高甚至可以收到5萬多美元（約台幣150萬），許多美國當地人即使有保險，仍然大喊吃不消。但大部分美國醫院只要患者在急診室待不超過30分鐘，就不會被收取高額費用。","1571530765","https://l.facebook.com/l.php?u=http%3A%2F%2Fhealth.udn.com%2Fhealth%2Fstory%2F5999%2F4069462&h=AT16mEYuDlgXhtGXlwyvhRIoWqMCgoG-NczSOXh1HziIL9-iYqzV-JZRpvMqzMpPpTOItzGdRWbP2t8VEwaKCk-v4sxlj20khMRAKUI9RZZsPYsPT5GKp3fJ7vzcUB7kZE0qjqqj46n7yNF9jQ48B7ZPOLSLKQGTQCcV4en-ehQur-XBSA7RMa-hhsIKdgtDXT0LdQmOssi-apa5XRpT37irP8tAnv349PHYLDZT0ILNhPk3a4PnFsBWrvPPkavFZjpi2unvmUP8mkRvEwdCRLxxdEv138gEHdeA_wRHypGxMP43oAKy86JBaof0Dw1Pzq7QNN7w5bRXsL6MjkhPBJczO6LS-20et1ueve3NbamiRZqglbigZS362iGDKdO2PEfChsxVhaTh9zHIYDdhnmxaCT1sSe7aOJpwxr3p7Im33Hur2mlcntCqep3FASOtOaAwleYMbeyX5KB-VOj22sEbTC3iUyyqNhKhvnJn-Ve9uNpf5DYsBWmv8uPSDbK4SWfhfR1v9AWWE83SVys6MP-z7bayCdEgvTGIVLhDtUidPqFqEb4kG0pkreyjtJLuPIoBV0jzrlSlVY9j7-hGqHjwfvQz6yO18jwYocKBjvxFIKQT2yHShSJPjHtI82mwWsz-JvqQ1MdyUQfh","https://external.fevn1-2.fna.fbcdn.net/safe_image.php?d=AQD4whWxfCGWuvE2&w=540&h=282&url=https%3A%2F%2Fpgw.udn.com.tw%2Fgw%2Fphoto.php%3Fu%3Dhttps%3A%2F%2Fuc.udn.com.tw%2Fphoto%2F2019%2F09%2F26%2F99%2F6866971.png%26x%3D0%26y%3D0%26sw%3D0%26sh%3D0%26sl%3DW%26fw%3D800&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAFwWSBGUwcv_3R","Image may contain: one or more people","男童在醫院喝瓶奶、睡一覺 父母竟收到56萬元帳單 | 元氣網","很多人大讚台灣健保便宜又好用，讓不富有的人也能看得起醫生，相對地在歐美就診有時會被收取天價。一對韓國夫婦赴美旅遊，卻因孩子進了急診室一段時間，回國後被收取幾十萬的診療費。 Vox.com報導，一"
"https://www.facebook.com/SaveTheER/posts/2761999307165762","1570941935","","1571530765","https://www.facebook.com/photo.php?fbid=2575167785901521&set=a.529493633802290&type=3&eid=ARCLI4NPeX1YQNUOt85vAoy6W7wmJLSpGy3hqjXHAw-aY0ahls7fg2S-IpsUWs_Rpp-zC_Z3M6tcur_k&__xts__%5B0%5D=68.ARB5IBWNPzOwlQo7iq-jPlnNT-bWyI8YJZbZkQbW4vcnCwuVLUBpuF09hp9hkVUpFVe1JooJE_1x5GDlc2VVSMG1Uoq6jwjRXUsm1Ot2UNaU2XPTWGRl3MeXBsxPQJaOPpDgTEEmO73oCHXtMDalMn1-rTjYpVKfwJP2XZpRntzx5bpowVMZo3sL60yfuwnOSHNGvizUClFRKhPGaJraTKMF6FHnXpGNrJcVGlxxenvgyQmzLF90HsG69FDwVGB3JI2Hwolfv3ZJB5hVarkCZmWE_J5e-6l8c9ODDosTrjaCxwsI-zbgGpXuHCGQW-3UaPMwBgTWPk6ToL7RTIJlCMfHMQ&__tn__=EHH-R","https://scontent-frx5-1.xx.fbcdn.net/v/t1.0-0/p526x296/72477932_2575167789234854_1333049847430774784_n.jpg?_nc_cat=109&_nc_oc=AQkb7gMr_IWM9WPsS8QzQdBcA-LaxKrBfLzThFRg9oOIUwgl9iN4-7WW5L226iRg8kA&_nc_ht=scontent-frx5-1.xx&oh=6646a6519c5b7e0d524bf5f36f28c64e&oe=5E1EE554","undefined","朱智宇",""
"https://www.facebook.com/SaveTheER/posts/2773677619331264","1571379026","清洗地板卻意外送命！嘉義市有名32歲何姓男子清洗地面時，因為觸電當場倒地不起，救護人員趕到時他呼吸微弱、已經量不到脈搏，還好看到的人先協助移除電源，接著在消防員的電話指導下進行CPR，一直到救護人車趕到才救回男子一命，我們來看觸電的原因到底是什麼？
救護員推著擔架把人推上救護車，原本都沒了心跳的男子這時已經恢復脈搏，全因為這通救命電話，消防勤指中心人員透過電話指導民眾現場進行CPR，被急救的是32歲的何姓男子，他像這樣洗地板時觸電當場倒地，嘉義市蘭潭消防分隊分隊長李明泉，「呈現那個瀕死式呼吸的狀況，兩眼上吊然後瀕死式呼吸，所以我們研判需要立即給予CPR還有AED這些急救。」
線上消防人員以及現場民眾空中連線，把男子從鬼門關拉了回來，消防人員表示，如果遇到有人遭電擊時，要救援時要先戴上塑膠手套，穿雨鞋來絕緣，再用木棒等不導電物品，將導電電源移除，接著把電源關閉，千萬不要貿然接觸患者，讓自己也被波及。","1571530765","https://l.facebook.com/l.php?u=https%3A%2F%2Fctsnews.page.link%2FcqNgw&h=AT1aciVrt0RBZq085FBmvQ2KQQHJJ0A2Ag5f8WSU6_74-cDH2-kEKSk3V3xSoAk4o2EULcCWW3yUqQmydI5eAsohIBwV0-AEU9QB9aKqPGD2X4hh9BIIge7DCpcTT7KgnMLsldE5OdGrV3ndCj7ahemtKsvE22aUClfXpC9CBotkFjHw8GamO3614TI7yRao5xuTBdpjT82r1rFNLTPapNxojFtRkexAnC_lH8NdIYERhMjThc1H3GP8pNLHQIRBIhexEjJWLVzgt-0D3OVCWyoAWFpIsvouk2MRmYriQdJhDfkIiU-u0ua-bz1k6J1qkcPaAlZsccAxkNyiHe29dvnQAHulvTfwOquogtKeVFCw_vyc1cNF68wDQ7VIT-3VFUil3p7KvVpgVBbIw-Pynxa1rFYVkY2heioHIYgNV4N2QDw62acCREx49q4NwxUQlFqLvJ11NvY7yyMJ3JftcDSsN-JJ5H34HXLXFVCporFepPIfqS83DuZQcrl0lOtqTqObzvY-CIkGvNOvLgU6vDQ8oqLpcq_owROmgPfLho34EdjgzgIqHmDDIOcg4lHQbr0EZA5FVzJ4mdPQfOFJgX-ZxnMRbweNhA7rNgTdl6QUGK8VA5Fef-keAGXVwWvI_cGux0PunVtH1fgg","https://external.fmcz4-1.fna.fbcdn.net/safe_image.php?w=540&h=282&url=https%3A%2F%2Fnews.cts.com.tw%2Fphoto%2Fcts%2F201910%2F201910171978207_l.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBmL4ZqR-SpJ3ic","消防電話指導民眾CPR 救回觸電男子 | 華視新聞","華視新聞",""
