url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/SimpleKaffa/posts/10161520244590402","1553177137","[Simple Kaffa Flagship 營業公告] --3月26日星期二暫停營業一天
今天是第一天試營運，對興波團隊來說完全是一場震撼教育！由於試營運期間發現許多需要進行調整的事項，因此3月26日
星期二將暫停營業一天，期待後續能夠更順暢的服務大家，謝謝。",1579301071,"#","https://external-cgk1-1.xx.fbcdn.net/static_map.php?v=1021&osm_provider=2&size=500x248&zoom=15&markers=icon%3A%2Fimages%2Fmaps%2Fpins%2Fpin-default.png%7Canchor%3A0.5%2C1%7C25.04263625%2C121.55182606&language=id_ID","Lampiran peta","Simple Kaffa","Kedai Kopi"
"https://www.facebook.com/SimpleKaffa/posts/10153154122380402","1376915965","","1571381119","/thelobbyofsimplekaffa/photos/a.264250810320093/503233029755202/?type=3&eid=ARC0TVo0_6y3JXOtKg83Ao0yOYnkhmYThJ25ASF43GBhAD_eDxS6spRQHzosfCFZEjUd6brb5Ujvww0I&__xts__%5B0%5D=68.ARB4Pv-H4LzzdkjIvqBzn4M-loCiz9UrhfDdZ7QEq8SgkMptpPTUl2cc6Br2i2t7iJPm9nvCyNdqezpx5u9twdBXJdbgwz_3nf1jAvjWsn8bBUoNr5BtI-Cu67W2iv6rSdg3fQonG6QJwwwTalwJwWLHiVuHfAoBv7WSVSKzfP0VoZWT7D_0M3XkIMbFwN1sfQ599Xv5Fvtn4sxp9WjSinsUMUMYkaxDy9yzdF53NAJlyLlsnyWyKdtUhjJqFZYNZbcsEdcDUcdgiFiC9kJ-Z_r_1aXDtTrkvZiGfc46VxVGgIzMQ2NANDhagCx2ErQk9QetdiZlIh9YOivATasPi7Z26YjQ6E_Mf6jTI7OkqvocndXgR4CHxu8V0x6jYJOr3OpToHCdGd1hfr7A_FjeDqXHPgI4iHUumE7GdZ5YAtfMbC6Wh09IcQlTdeBegKw09edZAB6BLTEsBUnzLBk55rNxsY9vHhqLBtf2P9bacRoYRx2x7eOu_XCD16w3Re_C&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/1146475_503233029755202_313514573_n.jpg?_nc_cat=107&_nc_oc=AQmwHCng4PIxWodeAuvRLZeMr_uQfh3lHXuHRnJqO_lkI7VrErPg892rs2EHrFYbBNA&_nc_ht=scontent-sin2-2.xx&oh=a43b3a75e19a5e9472eb819e2b1cf4eb&oe=5E18B84F","undefined","The Lobby Of Simple Kaffa | Hotel V",""
"https://www.facebook.com/SimpleKaffa/posts/10161600651660402","1555044020","[Simple Kaffa / 興波咖啡 -- 徵：1.廚房全職、2.洗碗清潔PT]

 履歷投遞：
履歷需為PDF檔，並請附上至少一張""生活照""，寄至recruit@simplekaffa.com。 因信件繁多，麻煩標題註明你所要應徵的職缺，例如:
""廚房全職--姓名""、""洗碗PT--姓名""。 任何能夠讓我們多認識你的資料都歡迎提供。 若我們認為有機會成為同事，會主動與你聯繫。

 圖片：Simple Kaffa 2.0 店內一景

 ------------------------------------------------------------------
「廚房全職」薪資福利：
1.一般起薪28600，學會所有餐點製作、備料、盤點叫貨後保證底薪30800，未來薪資則視能負責的工作內容調整（例如是否具備開發能力）。若你認為自己在餐食專業上有優於一般應徵者的實力，請告知我們幫自己爭取薪資。
2.週休二日。
3.國定假日上班雙倍薪資。
4.保證0.5個月年終。
5.生育津貼，有小孩的同事每月薪資會有加給。
6.不定期聚餐。

 「廚房全職」工作內容：
工作地點在Simple Kaffa 2.0 (忠孝東路二段27號)，專職廚房工作，包括鹹、甜輕食的製作、備料、盤點等等。在Simple
Kaffa工作，常常需要應付很大的瞬間客流量，所以工作必須專注、快速、精準到位，我們並不會因為要求速度而捨棄細節，所以不適合抗壓性低的應徵者。

 「廚房全職」徵才條件：
務必來過我們店裡，知道我們販售的品項有哪些。需具備基礎刀工能力，注重衛生、思緒清晰、快手、有基本體力。

 --------------------------------------------------------------

 「洗碗清潔PT」薪資福利：
1.時薪165元（150元底薪加上全勤獎金15元），每週須排三日以上。

 「洗碗清潔PT」工作內容：
工作地點在Simple Kaffa 2.0
(忠孝東路二段27號)，工作時間為每日下午2:00~7:00，工作內容為洗杯盤與擦乾歸位（店內有洗碗機），打烊後協助打掃店內環境。

 「洗碗清潔PT」徵才條件：
做事有效率、細心、有耐心。",1579301071,"/SimpleKaffa/photos/a.10150178001070402/10161600651615402/?type=3&eid=ARBOJmZ-clwtkT8aSNRqhE9HE_NSUb1aNxaBw6C6JMEuUOUq5-zF-7SSA3QfIGM5verOcWFQinmSd9h6&__xts__%5B0%5D=68.ARBGqKGlJTRdgDEbmLoEBt12VyJ7He0SmBdwxLYlLczipsOubQ6NSzgI9uYmtD2cSrmrzUKaRLWMTIC-gRmvJfuzbC1ThVBvyeM43vquqr_sFfeWedELW57eTQGBNA_mLHY6t-0rsx-GotsMs7OAh14MwswgPjVi_20ZxH-9l7kdVxn8I0iVgR0wyTdHgHUUuMq4yK8IRHYGqDu-WfZ7i7IQxQPm4k5s1ftWCxkExqYF8POqu9_ckElUwWOFS8JaBdXMZEgmFs-poZ5cNK8Q06THR1VSHc2ZpbFdA54SYiEOyXCz1vckogoNaxy79aIo7QQjetbq5-uLjWgRzW4f64bW1pnRqFE-yw&__tn__=EEHH-R","https://scontent.fluh2-1.fna.fbcdn.net/v/t1.0-0/p526x296/56862440_10161600651625402_7675006115846815744_o.jpg?_nc_cat=110&_nc_ohc=zTQfeHvZPFgAX_a5EAM&_nc_ht=scontent.fluh2-1.fna&_nc_tp=1002&oh=1d1703f41403ca39c042b3e295ecfcd0&oe=5E92CB0C",undefined,"",""
"https://www.facebook.com/SimpleKaffa/posts/10161755512220402","1558460735","",1579301072,"https://www.facebook.com/Simple-Kaffa-Flagship-興波咖啡旗艦店-617873595341908/?ref=nf&hc_ref=ARQs1f5_PhtZMqgNsmV54vjKePOdDBVL97gdCbcXYnQzGH8HKUWBWHBBdXuF1xRNoVE&__xts__%5B0%5D=68.ARBK_oDuKP9BJV8fuItp5MqoP6wAYTbbpYLV4JcaLpg8yACgnrnmEVBmzhViJnxP1RXBgpkWhxycfIE86IRUfbin8YPVtnd4uqqabcYH8ufvflvGNv0dyYtAvasIEZaCMxDHmC6UWrw-6Nu1mlorQUHZsiCKDi9L9MLKEMP9EsLDiwTs_19TVeF1DESXXPXZvvVFXHqEqgaoAqDGhvd_PoNDc6Uh7T5lPtf2vNfyq8bI9w2K52XBBt2r6mKvYSt7FZopBf4e5jcqBckG_ywkM7dLP8bd5yHxW11SWuo9HDbAiOk9u5sgDFnYkokAGInMo7LnbjTcRRjpKiHFmgsDUNd-qsKpe40YEsf3N5p5zfA3aY2DZ0lw_J4Oo_vdfdIn8cz209B17ArfqibqHxqm0jftZozZO8io4GNxE37GwJ_JXkSGWtqVgc8cWq6eDa7pojSi1nxeTQB1ORdM8OnQX0Vs3XqOMwbH8opaGMeW2myKSujylGE9w48kA9m3jh2b&__tn__=%3CH-R","https://scontent.fkgf1-1.fna.fbcdn.net/v/t1.0-1/cp0/p32x32/54434537_617874485341819_6991038251905581056_n.jpg?_nc_cat=107&_nc_ohc=QA7HHd9L5dQAX-ZlJAL&_nc_ht=scontent.fkgf1-1.fna&oh=9c14478f17b1e912712c059c5642e4a9&oe=5EA2DFD0","Simple Kaffa Flagship 興波咖啡旗艦店","Simple Kaffa Flagship 興波咖啡旗艦店",""
"https://www.facebook.com/SimpleKaffa/posts/10162256562070402","1569076203","",1579301069,"/617873595341908/photos/a.629426854186582/725569861238947/?type=3&eid=ARADZuFwDChc0YZ1fKYvWDmqyiL5Jj226MPKeUdk714ir4jYo2lvNTPcDa68KI_jxywjW-DPNfD6NM3a&__xts__%5B0%5D=68.ARAHncqJLu_mgMXkQnbQazLDRHekL8IJJ7oO3hB165OhzH947kopF0mqfHFEB5eDXypvCtfFnJwUtsZTkqLlS8hZpGWminrU5voUBagNsneDsRJB4rvin4eRKCioRa98I_ebsXF-Ww5rx3lYlNSHZciwLpOdYchVZ0HIFgGFxNgQxxwlF3Ky-c1XVapKvzDEiF8dg8ptlLaG-JUOwpmH0obPZw2fs74bCc_vbTWIsjjdvRdLj9YgYkpJNk3VJ12_hiFzXCFTtVH44wnlWXk5EKCd_u-MiWdwsS2rG2_-q_h-Jwjow_y-syISmWf2z1260WiT0nJ5V6miclYKwtN6oNbsrbldR4fUJaJMe61r8g_xjQpvhfM9HplWadPKJdnn0JTPcbUDOr7JAVawmztqSa3meQ5SkqMU1HBRK7WlaCAdziTq4fE2lNoKlQiJlc2JcMceFY6qrlwfYsAyxbR-zOeA4wvKhpSMTzfeTUj8I5PvGQ_2K59RA2Bn3PojZjhF&__tn__=EHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p235x350/70486126_725569867905613_1834203523634429952_o.jpg?_nc_cat=101&_nc_ohc=gW0DuoPklbAAX8iF7w4&_nc_ht=scontent-sin2-1.xx&_nc_tp=1002&oh=f89c6b81cba52939693548387568d1e3&oe=5E97AACD",undefined,"Simple Kaffa Flagship 興波咖啡旗艦店",""
"https://www.facebook.com/SimpleKaffa/posts/10153171637560402","1377351683","","1571381120","/thelobbyofsimplekaffa/photos/a.264250810320093/505278512883987/?type=3&eid=ARCUpwJj2yignGXBosMmdTcDF9xRBMIh1eXXWHBAIu3ujVzMxlY9ydVXL6xsKypaBcuaSiw5jiRGF5YB&__xts__%5B0%5D=68.ARB4v4GLFY4gzN-PDFXLx-KZ2PIwVbcUFyufMQW3vKwqGUYpeGj2Ica37l5gllnGG_ZNq8q3gEzmKNEHoL_5zsFPJMajNY8Pqj9oBOfIn_pNFS6N4ZYCjqfBCFk0C8AI-J2lBaVglnrZcX0IsUyxOKsOkno5Wvi2HcWob1ZISZpvvHqA-ALnrpaf3QNKl3WXDXoj-Ej54aMWLU_E1Jy4cOmgQrtNzzFQVXCj8VgVGjPgvTRkKupx6qLt7gho58HiJ5AwgId-9xdkbOhoF-Ot3kOpnhu7pcHXKxcYykoOMbcj7z_SKhuo-qiCt4yPXKa0ueAt7FUk6ys_yj5fi4mr75w9YQ6xtR3O81k6oQ88k8g5q0Mgud327U9VyNIOF8pucRojxa4eCiiGOL3yMSppYTxQg6aPkUAAAAP8iDPqDMwS7U6QNa9PwTsfLmdGUHyFX_9QQ-a9QiDUtekXPesi2kf2Ld9tYkmAN-FnqWjT-NkD1K3gqPUb_91p2zENNK7N&__tn__=EEHH-R","https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-0/p526x296/1235963_505278512883987_191870752_n.jpg?_nc_cat=104&_nc_oc=AQkqBfRMtsix09oGTrzdiQvLf8g0lpKt2fpy73t2WX_3o2CYRx__blCT_FtV0-cHmcM&_nc_ht=scontent-icn1-1.xx&oh=e6132d1bcf3745dc1e7b985026e8a8e4&oe=5E2C3E3A","undefined","The Lobby Of Simple Kaffa | Hotel V",""
"https://www.facebook.com/SimpleKaffa/posts/10161824443460402","1559922263","",1579301067,"/permalink.php?story_fbid=661726614289939&id=617873595341908&__xts__%5B0%5D=68.ARA7AxebW7yVJO7mmnOfTUgubnOwRSVCBLktvTc6ZFL7I-jqm9kdby1EFRLs4BSjiJaEydH3j450Ce6pU2OzMXvnvvTIYo1I8czMYsphaJfDahTx6gyw6Q7hO04ejnJDbF8WzTMVlo5dPsbqL8-npByYGbE8zrHuny1WFzhR6cvA3pZWgr7UyjVtRAAqw879zAQ6vnzNxiLMj4-L5zHJCOHjcvwH69VRGKwslmr3qN6dYjVBcZwziP42duSSeLAjabycQbztOhqU9G8Mu74-4kXZ3rIjQgPYXBGGJh1AdjXfGiLM-4TYa5nuy78Lwn6JEF7MTFkxfP6L6Fv5yIwugbM0ealpN8gXFolQsnAMYGln8VJwccaYZC-ui17c6z_igcCMqGB4wlG2Gnv8nUWDkcj4__ltYqkBzUncoImO0Wze3xfYpfmg4TM9L-CRHsigph2jOSosdgvcG7GfxURYTKwAAQq7WMnRde9fk5PbQ8IGNGPntBXV8r9Kun9f&__tn__=H-R","https://scontent.fsof3-1.fna.fbcdn.net/v/t1.0-1/cp0/p32x32/54434537_617874485341819_6991038251905581056_n.jpg?_nc_cat=107&_nc_oc=AQkkZxNKqwz-3eSMQuyFzJvqKDd0nbBAGjtTVyo7IW5jk738tSesU2xTr-KUTu-WDzQ&_nc_ht=scontent.fsof3-1.fna&oh=2d15cf8459cb5d7013731d826932aab6&oe=5EA2DFD0","Simple Kaffa Flagship 興波咖啡旗艦店","Simple Kaffa Flagship 興波咖啡旗艦店",""
"https://www.facebook.com/SimpleKaffa/posts/10152854122780402","1369274179","一年一度的WBC又開始摟，有興趣的朋友可以觀看比賽影片，沒跟上直播也沒關係，底下都會有已經結束的選手比賽影片。","1571381120","https://l.facebook.com/l.php?u=http%3A%2F%2Fnew.livestream.com%2Fwbc2013%2FMelbourne2013&h=AT3_FpNfsrMQU6aur52TfQM8JqkcnoHKfoFeehJ6thP8jKs5ciFkKI20O_Mmm-iz-pdZckVoPLUyLVtMgC5lQvFEsm03nXCN1l2zP0n50qwLfCPU0P3lZrxoHjhczoHse90G29oDRjoJl0iojh_GKUuqRvseJSwunjpKtqEksDV-xJuUvVbcTFmPV7BB8rSZlKztPtv__TVty7ZqGofuBTxh9JbWOXNQOsyFNf9nmZXKe3S_Mkw4wCJ2yC0VjsuMJ-hVb9pBcOd-EI7UqTtjU4G9s90Z41UwVRwX2aock5hJ-dw0vQsmi7WHnrVuc8acDC1OVMwizEauWjEmeQlScfJT_dwSO69Bf_TUWdx7pZtbbaKnrpqFNPQaE7ImD2BO_9u9mR4J107wTmRt9Iz3txHxD9TieND6sP4HzS-0ALIk-twXNhohKHwudb0mOJ6uGHBPiyBgV5hDLApvSSZdO5OJXDQwmTAcTbJn9-sNoz_EtuoUiqpm6Mx31Zx2qNb1ltBsVmOu0vdaPvozAL1BxJAjupsQasEodI4_KSWtZ-fL9nXPmU9E3T9IMfvfEmqJGOMQPkdVsC5qdkSu9FVTdDw_KyGOMA2P8FWRLoLvYJpn4_pbrVx89ColZxhJR_0RCxIeUzWgYQsbDCSbrb13ZPj-BnGrVT7MBR-LYb1GLxOhJ2oU-fM","https://external.fcnx3-1.fna.fbcdn.net/safe_image.php?d=AQA0TxRauhn_u1Ah&w=160&h=160&url=http%3A%2F%2Fimg.new.livestream.com%2Fevents%2F0000000000205cef%2F41b00030-8412-474b-ab9f-6d08afdb7b6f_170x255.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher_square&_nc_hash=AQA7zdL9wuzJRoLO","沒有自動替代文字。","World Barista Championship 2013 by World Barista Championship","Watch World Barista Championship's World Barista Championship 2013 on Livestream.com. The 2013 World Barista Championship, Melbourne, Australia"
"https://www.facebook.com/SimpleKaffa/posts/10161912690690402","1561820174","",1579301063,"/617873595341908/photos/a.629426854186582/675600976235836/?type=3&eid=ARBF7utCnfWxk8dWASGeueGouxRWqQddd8HDbVD9O1oydlnvDNIDQeXNXcesu-oDFOaMMl8d94KeBhf5&__xts__%5B0%5D=68.ARCKxzJDSXr-APoenG6EZLwiDVsBmZ1puOUCl_XCwGZzmtsh-6qxXOYR0TMgGqImf5UwajA1e0yJrt_gi-M6GHWPzFsl_h-X4cWXzY_-ECRejY8-y1d8FeHDwdcmdHxqoAQOIJNSrWK5D-8pjOoZlFWkwjID8GiXdoXiPSFyZBc__711HT62kx__w9cvh5hxYqzcXqxgEABdXTuAk1ZSJoctfHod9G-I37ZjsSW7esbI_6VEWiG3a8HrHVUnUWY5OTY2xF2LTg60eFcMHsIcRHlWHJbChcSPF98Q7w1vxUUC6N5HbFH7g3M1CSoMZMziiNXb7NPVrOhx5PO4X-0Gf28MRkXtrE0filjTKB4Pt7PXIysMakc220V4vPtRIEqMF-BH_rcTxks-IXBiSzN9BDJV8rAoKQOBKO9JupvJYyY4SsjPFR6mdCHHq7o80cQyat2DNbhjmX2-sjucWZ8v7qf7_4tahlgYbl-edlBHabJYKaDXtlO01e2DWQ4XI59K&__tn__=EHH-R","https://scontent.fcgk13-1.fna.fbcdn.net/v/t1.0-0/p526x296/65264777_675600982902502_922597243339407360_o.jpg?_nc_cat=100&_nc_oc=AQlqE4Apgt2wu7--C-pO1xUbchziSDOfAAbSK7CyUq_Q4m1APWlrbZrj8mHUARL3cKQ&_nc_ht=scontent.fcgk13-1.fna&_nc_tp=1002&oh=ac24d7fb3f8c4df1305691dae7daa798&oe=5E92BB51",undefined,"Simple Kaffa Flagship 興波咖啡旗艦店",""
"https://www.facebook.com/SimpleKaffa/posts/10153617119400402","1387186222","最後報名機會！！
TBC第五名毛毛的分享會，就在12/17星期二晚上7:00，請趕快撥02-87711127報名。
毛毛說除了咖啡之外，還準備了好吃的愛心餅乾要給大家吃，別錯過啦！","1571381120","/thelobbyofsimplekaffa/photos/a.264250810320093/554182234660281/?type=3&eid=ARDy97fjSX-4TaopW1MERg_2Z0vd4LB3I4koxxDRoPTxZO_Qmul4Z3DuRDNPUKj62JVq6qkdwCCmVSXp&__xts__%5B0%5D=68.ARCn69yoDPmpwjiqBAY3_YqjKMttdq3M3ZHGJoIUAP7PXqABIdt_Fuu0N_dAdmOyiR5eQo0jzb7BB-g3UeP-KAAc4eJgJDa-E4hDMy2QQHJcs8SwoEBBWKPw_Cq2XHFzRKcQshA6aPHaHGzY7glrZ3JWlExfchfF8f_IdK3b0daqaY0GchdxeknYaAFWU6jBKsTyueWhTVX062eHXHDSNpIgMFHNKZ-4bUDPJRSpiD2QOvw4c8lQYHecUgudFLVmyyOzKLdge5YBbpVnulohOzkSbDN3IvP6zYS9IYuSA-Cdd2XU_BZa7iHbQitCBZ05k3a42wdyJDwPDQsMSjP7a-8RHU8vI0eRn-LtxjI_5GJ9kNV_U3TKVmD4u1ycA_FRo1PA94AKbCxJCv6VtO6kfbMsOUsvcwofgaSvWE-Ls9KAYSFetdyP_gDG-nKXSfFtTCAo5b5xVwEC9DK5nvGQfOj5fwFQuAAeKNrzFaBoY3Bhj1DxTHA4wAsxOy9j3ZLTNDBaq6Kay5bH86WmkcMe3CtIdB6ICgl0mvdAMQn8VJJDJy3iSH7CMjJNNtsRrHaJ-TXdBUDoBvfgkwHrrWUrHwF1U8990YMqGeKqwzal90da_Zka04OC3wpy50AzmoCcwTkL72z58CCU&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/1463006_554182234660281_1174864323_n.jpg?_nc_cat=100&_nc_oc=AQmHVSsQH1HVcB3I705HPp_0v3ZGKbVVIE9rKsXVDqrVSKKDubZFfnRzyMSPsXZ8iEs&_nc_ht=scontent-sin2-2.xx&oh=14dcfe245145d7c96825b8089b5e9a2d&oe=5E24F2BA","undefined","The Lobby Of Simple Kaffa | Hotel V","Ann Mao"
