url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/chloe.wu0918/posts/2727449770633030","1571407238","我的婚紗花絮出來了😳😳
快來看！！！！！😳
Maru在裡面好可愛唷！！
（我是不是又離題了哈哈哈

 超感謝YES先生專業錄影團隊❤️❤️

 記得按HD畫質唷～","1571576292","/watch/chloe.wu0918/?__xts__%5B0%5D=68.ARAvt7ts_YK57XDkNZgmJ3eGOcUi31frSljc5ao86pZkw2otZmLoD2iYqfb1Oz7xA8Z0kGFGoXbwRlHAnNZRdAJyhW995WvbMlgEaHrSTnw7UWILE1OS11YF-e79qW2fsWe40sVSDvFLmR9PUql7gTorfDAojGx7Kd1NFQTPW9SHiMLabBv5OnS2sxGLhN9wqGmdo5lJrchFj2AVgOgbKVfIvFT3G0eMADwkkd6eQv9sdvaTMAzVqzaGXOMYOAh0pXNwNCXFjtqKKMs0fqL3XU7VJDHtbXR5qV3tBHYnIgnlgeNKNSA01WYmps6TGAhbAXgPvFM44YXO0-zJpS-q2RW0ixSbnc02UTe8KA&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/74966228_578955785977053_8208038984941568000_n.jpg?_nc_cat=111&_nc_oc=AQkIY_wOJokThoZ-DKjv5xbTbd0ZdG-80J_UKZhhpPeexGRjWXO8wFA1zv2_Lduqy0A&_nc_ht=scontent-sin2-2.xx&oh=e88a21753d6885f69080396242a19916&oe=5E1A74B7","undefined","Chloe* 吳洛儀","25.660 tayangan"
"https://www.facebook.com/chloe.wu0918/posts/2729669090411098","1571493657","挑喜餅啦🌹
帶著我82歲的奶奶一起去試吃🥰
（我奶奶是不是保養超好der~~
看起來很年輕吧🥰)

 我也算是被奶奶帶著長大的，想在這重要人生日子裡，可以一起分享這幸福的時刻❤️

 Cupetit 卡柏蒂法式手工喜餅
我從很久就知道她們家了，
這次新出的新包裝<蓋亞緋紅>
我超級心動～～一眼就是它了，
奢華又貴氣典雅，內容物更不用說了，
我奶奶都吃得笑呵呵了哈哈哈哈

 而且當天居然也有Maru的喜餅！！！太開心了😍
是汪喵星球跟Cupetit 準備的～～～
So sweet！！！❤️","1571576293","/chloe.wu0918/photos/pcb.2729669090411098/2729664420411565/?type=3&__tn__=HH-R&eid=ARCfBdEW0x9x2oXmDQdC_gF5wMjxQsBdT4LuvtS9d165lkMvCMiukiXWDGfjYY2Sn7GgfYXx19Ardsa7&__xts__%5B0%5D=68.ARCwg-8rd1St2M1xLq-DbyTUiohRaTYz5nwk_jgO2pe6gtDxrOX9G78aq5eTAuEtTmBVZwxTxLhcQ8sxS0K7ExO4zbbKUBp3yPjORg4nPLod5TBfsMgwiDNxB2EPwkXUe12IScuawzlM3Tt9C84F0thIQhTN0Fxho8AvE4aUEi35uvWEovHLAh8An2OvbftrwZkm6xvo9dpmCbS7wKrIZEq8Z0cIjQqBghDqSNEkMKAXsBYE_YYpbWuJIpeYCHpcCpuUWNM-YO4pklLB9hRWu12NWjh8y0OJBig7dRCaZWvtjh1KZBeNKlZo3GaNlz2VwiF5hpImN0ghQ9IkfAazcptuNQ","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-0/p350x350/74274125_2729664423744898_8444329763237003264_n.jpg?_nc_cat=107&_nc_oc=AQkZQ_xotEYvfDlUyUVt-p4-DdX2aw5R2zS5vtIBRDbt3dCAYJvBV_7v0hAL7kuznFU&_nc_ht=scontent-cdt1-1.xx&oh=950db944e1c6d7cb85e88132e79e6823&oe=5E19FE13","undefined","5",""
"https://www.facebook.com/chloe.wu0918/posts/2651723114872363","1568297198","God~~~好期待唷！
今天終於看到婚紗設計圖了😳😳😳

 對於婚紗整個完全沒想法🤪
（看了好多家還是沒想法）

 謝謝 Lin Hui Chi 林卉祺手工訂製婚紗禮服幫我手工訂製婚紗👰

 偷偷給你們看個背面哈哈哈哈哈哈（噓","1571576293","/chloe.wu0918/photos/pcb.2651723114872363/2651723008205707/?type=3&__tn__=HH-R&eid=ARBZ3r2LpkeqJ3G2bF-pKNumkcVhY_FL9EQhYfiSuW7V1y4UZ3Ag2Kk_81YNiiTX4sYDW6XAfhN85obl&__xts__%5B0%5D=68.ARBpQS7lREeF4cZKtCnWR0SGK3ysv19DEId82llvs1L41p-YvrByLNcbVAxTzPqhfXinAGluqypl_ljKZm1axptihVLJLMr7ZQmhUDRRylSWDTKOoVAr-QgPJIq4r499cvGzuYznn_Lk7qr2ilVqxuYHhwiOLb8YSBBOp4N4-erPdEZFYBZmzr9GNK_TVJrT-_wBYbgldhEVp6gqREmYQ0V2ejH1oqFPOZKtfElKmyJInK9RJmqGbMzk_Csvgfbj3TMXnBAre2CmlDerbOGjR2B7ehlXAOoTWsaZIXrGKNjIGklaV0X6OtQQgtGQlxKlytutRjty-05UWZCBGMy6ykEytw","https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-0/p168x128/70327751_2651723014872373_3639055223588126720_n.jpg?_nc_cat=107&_nc_oc=AQkItm5_INentRCb_z_liheJV5iOazS4AW7ZPQZp6JAtYGrHag-p_gS8kfrvt38iW9A&_nc_ht=scontent-cdg2-1.xx&oh=c37a7305745bad7fb3f6b656e4c398f1&oe=5E5A6DE1","undefined","",""
"https://www.facebook.com/chloe.wu0918/posts/2715800758464598","1570976224","連假最後一天😭
不想收心哼哼

 牛仔合身洋裝👉🏻 U.Soul","1571576293","/chloe.wu0918/photos/pcb.2715800758464598/2715800641797943/?type=3&__tn__=HH-R&eid=ARDaxbRzkwO4rjEUxIhPJ5oAYi2p7PFy_ark7MQkDtJsUcGwgcJvyrD7m6hAgofUkLE1QpJMOHqOuort&__xts__%5B0%5D=68.ARAYFIc_jEfBupbOk_MlRAYpWcAtzSQVOPYJP4zsHW7z4kC9NC10myHzqbmZPd063RgCUtXbobNZNywGs3Juy-BbJS36Y-hnZw11LQavwPXKbcZvXuFd81JwYI1OPqM5Xbl_WBDLnFNFNbV4X8Uy33-PdhH9ydgsH9dC9hE0tCOG4nHFZEtOYf0uKhhYx-a9l27iRqB5lMJhuLcTs6kE0vtJz3tCSbwfKC28o3LvPApqAq2jpZ-QVylUelxB5yW5aOKNj-Ewf8BdiJT1RG8Y3BEgKObjR1j9uc5ibTmapZiJrxlfIRbnXVigeGpipvYQiMuKlE8JXbiQd-nG8x5v5lxocg","https://z-p3-scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p403x403/72378658_2715800648464609_6378662502036668416_n.jpg?_nc_cat=104&_nc_oc=AQlpsMLL8ydXXnkisWb5B8XPhzg0mMyF52UrUU-gfXGt_Q_WS7ZiATYtFtd5KFUqTac&_nc_ht=z-p3-scontent-sin2-2.xx&oh=98a6d8d07ee4af56f62ed13fea472eef&oe=5E5948FE","undefined","",""
"https://www.facebook.com/chloe.wu0918/posts/2709621529082521","1570716883","台北時裝週
Seivson的秀超好看耶❤️❤️","1571576294","/chloe.wu0918/photos/pcb.2709621529082521/2709621385749202/?type=3&__tn__=HH-R&eid=ARBqPy6UGLT-otU_cgdXBpTxaa6nldpmsfLOG_SlFQ0dobBsnlMIlHHFZvK-Yhr5SlyNqbDf6Lokr2d0&__xts__%5B0%5D=68.ARB-mC4Z4VDIKG2hj1eYbC73iSuLc6wNibOijuarKSZLkUsXTp1YsRYJAnY6HYfSkPwTs4G_mVKG0zO0v8erXxugBWjtJmtiUQfqBHlMVI-VqmXRsjMPJWJJWy-3KEBDwhCraap6OUDnkIB8V5djYotHoxn6kZ_GiE_iYgD8LagIsXRE-8WAPhhwnEaZr4agnoxT0zFewSf2vrt8pW2LvgKFcTK11yclf4uYqBou1d_1WQpJitNImIyroSeJ5t4E9dTHbgXonUeDuCTTxeFH8D8qt3AYsuw9psLVM5UvAt7E5b1YplkeBZGduwS6-D7qWo5GCHiNJvKXNw-2YNbEX0WGfw","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p350x350/72139134_2709621389082535_6098633584980000768_n.jpg?_nc_cat=108&_nc_oc=AQkglXjj3z6A6ZZpzzOdDZ1e0SRyQ7WQcJJr6-RdeYNDk8pWElOWWyFXDVnhzHWbwhw&_nc_ht=scontent-sin6-1.xx&oh=d83c1ac7ee6f9e537a04d77d0e22ae1a&oe=5E5CC1A5","undefined","2",""
"https://www.facebook.com/chloe.wu0918/posts/2666575536720454","1568952239","午安！！！
昨天整天廢在飯店好開心唷哈哈哈～
都沒發文(๑¯ω¯๑)

 好啦很多人問的緞面光澤感套裝
👉🏻 梨花 이화","1571576294","/chloe.wu0918/photos/pcb.2666575536720454/2666574836720524/?type=3&__tn__=HH-R&eid=ARDhLDLfhx4ZirqTwHf8cacSgGYhzBPeLPUeo3W520ONtgpZZWiqQNSx_P7It5huMVmyBApTz0PFCkTU&__xts__%5B0%5D=68.ARDrn2Wj6xf6pgVzY5MBPGoq3QH48AwuFVhA5TGvthLmppchDO2hCLduwJSqOFjjSfWu2Vg5Eaf_FUl7RahhCiQxBnq-Iuxcp5jeCKcuR2XJtarXuLEEqqW9QkNoSNNlzFKD0hLXW6FnpKeokiuF5AHZsRRmy1GkCFPg_Ao_YyTwejTMto3MQdJNC7MZCobu3FPrwHeVkBKTjq4judbUWnUik-ym9NrMettkbWNGjheDj8j1FT3EPddFzQUwirhjeKv-L8LxloT5mYD5bctp55DNJYyLMsOEgkxYQq3eqUC87bQ84igUypjrge2It3esSf_hRSHMvu_kO9vcrJSpoOxkHg","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/s261x260/70336476_2666574840053857_5324106275473063936_n.jpg?_nc_cat=108&_nc_oc=AQl0XaZsq7RZn4gkQLQzqIYqZOZaAMbEUFQ9lMD9BfI-Lh3llzJOuBmHl6oluo9Fs10&_nc_ht=scontent-hkg3-1.xx&oh=75b414736a11f8e87a0527c413abf268&oe=5E213EE5","undefined","",""
"https://www.facebook.com/chloe.wu0918/posts/2684748614903146","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571576294","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/chloe.wu0918/posts/1835495673161782","1521347737","","1571576294","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/chloe.wu0918/posts/2634547413256600","1567519154","即將要拍第四次婚紗照🥰
太棒了～～這次不用跟某人拍了XD

 這套粉禮服好夢幻，可惜沒檔期了😫
White Atelier 高級訂製（ White手工婚紗）","1571576294","/chloe.wu0918/photos/pcb.2634547413256600/2634544816590193/?type=3&__tn__=HH-R&eid=ARAo9Ui3esVfcO_Y45Js9C3QOEfOsHLcN6WminQfNFbiTkkWuO3GPMtyY7deAda9DFfjIelNI7VRUisf&__xts__%5B0%5D=68.ARDmcC6YDzey06Y24CVHBlxeIk832hDHpNX11pADSrK-2tLtNaiRPuKm2njBgqE6fRwJsvxnVWoaM0gtV6QP0KtUoDqSC2Lwgy_QhNNObk_sVdt0yimeVZvzLwmLdxlQcqzMwEP3863zIRBB-zMCp9i51c1VgTgcsS8bVgr31GJ2HNIEiFyq52k2_lfJrYWdzuK0V2_7tx7tCA7NCg0kc5i9G0ECwHMuTLJ_Htc9m8fBW0fusnx-9gyfE5LJXVdNPfc0WW3LvUthOwJBuWl4wzEW4NLI7AsoZuXB2zvMNWlNakdHkxi-6_Hmof9-DN6n1XTlX5jyxiFT8AXrT9f6SImlww","https://scontent.fcgk6-1.fna.fbcdn.net/v/t1.0-0/p403x403/69929594_2634544819923526_4981114417757290496_n.jpg?_nc_cat=106&_nc_oc=AQmSJajnK2kbAaBldRmTAZcFuCBicqdc6EHv1xkQUXHAHOOynUxyMU_igE4LGi-LPQ4&_nc_ht=scontent.fcgk6-1.fna&oh=399ec19bd9b68edb31f9356254c011e9&oe=5E61A7E9","undefined","",""
"https://www.facebook.com/chloe.wu0918/posts/2619056624805679","1566828007","來韓國吃無限的辣湯麵🤪
這麵不是泡麵是QQ的韓國刀削麵耶👍🏻

 但旁邊的肉好難吃哈哈哈哈","1571576294","/chloe.wu0918/photos/pcb.2619056624805679/2619056541472354/?type=3&__tn__=HH-R&eid=ARACwosv4T6BbVfxanbMEfuutiy9JuCyhJ4nuemLBKM9ey8V0ujetqoWWs3asxSGWrrUSWMgV8q3ZPOb&__xts__%5B0%5D=68.ARCb3HfxTlvVxlWrohM-fUjouTb4pUA4h2HE4lsIxwNXuQqEMtcEaSsiYi5DKymEfWom1b0VKtWZCKrrUXOL_FkmltDaUzhLpORFQnXXCNo6juwEDDgHCrpipzbuw_Jh0OS74kmLidMgG3VhwrQc3aW30a1f3yshMXlu-SrrnQHRLyZE9aVVtV97G5Z3nUOMm-ATynn7evWsnkgdR1N7zIByxgs16zw4TtpifiKZC_EZ6ASLbS9iK1eLbyIgoEGdQz4GFbOoxjikwp0CW9RAab1GzJCLfbn_nflE_7euGh3IiPtOMsmYCA0vPqRyVpMsS0oC-5C2XGV8uIfqiFuY_vwUlQ","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/s261x260/69172844_2619056544805687_1982027192632082432_n.jpg?_nc_cat=101&_nc_oc=AQlMju0OFWW1esAK4lHLhhf3jbvI0qU4os2eb0EionDs6xMnXhNWv3_Ne_18C6PmDwo&_nc_ht=scontent-sin2-2.xx&oh=ba5c5fa24b0562d58ac872c69ecca408&oe=5E246A27","undefined","",""
"https://www.facebook.com/chloe.wu0918/posts/2621164954594846","1566914443","韓國宵夜必吃炸雞😍
我放醜照可以嗎😂
美照留給大家發好了哈哈哈哈

 但份量好多唷！根本吃不完！
而且辣的超辣完全不敢碰哈哈哈","1571576295","/chloe.wu0918/photos/pcb.2621164954594846/2621161454595196/?type=3&__tn__=HH-R&eid=ARDdjvxCuipBuc45si06JfRfYvBlJhOtFL06ejzN1pxus3Vb77pmsGZXcxs192GTu2XvvswGVHaEn2ZP&__xts__%5B0%5D=68.ARDN-z_Xzlilv7FAdgfsAtzKfaceNPPYoX3a46BiuGZqy5Qg7SHGiwfqlC0Arw7wMHLPHKmWKxL2YTVv4pKL08f0hCHZoHCMGwQblJ1C745uNrT-UJPwhBwYXmXO8LM4xCiRNyRsu5eSJclEeWaFqk4P0CYF8DIahmdgQEKWr4iSVI_J0YVsrqLdD8MDkHmPAnR5xshfiNww7V-h2KGDvTp_ntqhXfyagfgjnLgkzaXJl0Zc9wfg2zIBmJ0KNIqiLB4sjBC3agEchCfqGwzyvEfFJDalsm8YyoRZrpb3Xb_sdvj3sKiS2boidHyuyTVkDnlxH0-FZpr7Kr_QRpZiUvJqPA","https://scontent.fdac10-1.fna.fbcdn.net/v/t1.0-0/p403x403/68537736_2621161457928529_6801960571626323968_n.jpg?_nc_cat=106&_nc_oc=AQlvVQO_XWztVb6nUoCkaJfGq92LnIzOakZTwjT9BBJZ0H0y67sJAn-1kQiMvHzpsSM&_nc_ht=scontent.fdac10-1.fna&oh=88b62ab624d89a623787f73ae1cce8ed&oe=5E64CCAD","undefined","",""
"https://www.facebook.com/chloe.wu0918/posts/2547429951968347","1563458692","好啦！！
我不愛吃麵包！🍞
但我來買麵包XD
酷吧哈哈哈哈哈

 白背心/洋裝
👉🏻 Lisly Shop日韓空運服飾","1571576295","/chloe.wu0918/photos/pcb.2547429951968347/2547429725301703/?type=3&__tn__=HH-R&eid=ARBjUyOOOwCFBsOFIKt-1qHDTmyyU1KwNZkiQyyMqg6yjoUTQ6syEJcDEA5ur7KjdblOPTYOqG5YjPFj&__xts__%5B0%5D=68.ARDinpXaWtDi1OSm_fUPqj9cDemYp-ANY6yaHKdzWA0iR-ai1ungvGt5MkAkke-QB55SLh-dvq9EDCiY5dXQ3058lpi_AyR-xS16Zcz5nlxMP-9w1iH8F8rlpt4HzZogJKsWmoIKdMw-1kxZfGLxDFzuzb8yrAWsjmbVB9FZON2LYBgVriy4KbOmYleJbZLP3RTTRq8N2kAEja_eAMvUKblAfQWnzsHL0rBren0cL2wj71ZJZ-rftG0aCUeaDTJkeYc-f5TRDmWDfMIicWbUL461C3DrgMp4Mqh5ft-6R6r6EiXNthz_NEW5Ew2__T5OcCJcVmqJAqGxitj42T6U6Aq0jA","https://scontent.fbkk5-3.fna.fbcdn.net/v/t1.0-0/p403x403/67144802_2547429728635036_4972837624935874560_n.jpg?_nc_cat=105&_nc_oc=AQlK9W_FE5RPNBfNkQpQfqkJw_ZhDIVwU_1JbjKUyEcPZYfoKDGCIAO9KKj1klleu80&_nc_ht=scontent.fbkk5-3.fna&oh=b5cdfbeefab3de3c35b6efa7776b8a23&oe=5E1A88C3","undefined","2",""
