url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ciaojoanne/posts/2766310203380757","1571397036","「世界很大，我們絕不是只為了遇見某個人而來的。」
·
不用花太長時間走出情傷，不是什麼值得得意的事，每一段情，每一個伴，每一次我自己的狀態，都不一樣。無法相提並論更不用拿來比較。不過，世界很大，我們有著更大的使命，而不只是為了感情而來。關於關於這個論點我是深信不移的。
·
往前走，繼續往前走，一起加油。
·
很開心因為 #聖人大盜 認識了溫暖的 曹晏豪 Yen Tsao 💛
#謝謝姐妹淘","1571721973","https://l.facebook.com/l.php?u=https%3A%2F%2Fbabyou.nownews.com%2Fnews%2Ffeature%2F300009059609%2F&h=AT0qA2YH50kREhDNcX32j0MAWiXeHJS8_wijuv_quGZMTHkI0IyyodMg34IisWo0ijYUGtHXXP05JVGHbBz-Hu5rjjlXOStOwCIhpSK2wqQmD7fiuQnEIN6OtG4tuBPNS0kGDWZrTylyW-n8YXKuISghNQwRUEBnNYc5bKZw5Kt5yUYUqVhXx4yvNB4Rz8GOX7lwQ1kDmkETmu3RPPSPP8MlFo6ABkRG0GkYs7RtjfiGfKdeuGO-NqAEbcN4eOKMDlgf0GOc1miY3gWamDkeclxHdHZeezJL4luOUf_fRnxcAtp93FkIlbe3ZpTZud2cWaRVj7Mp527qkWPIhMl65rXGExHQGq3QdOxVSzrJMWde6Qy4Cj3bmYq092ztD28MKlAvnDF35i5nIQd-T3xxmmkZ9etnif2Y_GC6IwSK-RBdq6u9zWja9_yBT6ayDsuHUYWWmAw74qK76tssUk_HZDT3y0B5LXubDdncbhvdTSaBZqL9oWos85nNUwRFajYiIp9o4NuPScYmLvppGnvkzxefe9OuCqKHteR51OJyct5NiaAVjZhAW8NH9K0a7HEr60i-cm0Tu1b0cxRipV9gkq2EiLicTEuDiXz3StK2J8GB2C1_iPzbVIF-o7245RHgj0BWkVjhb3SkKquM","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQDrfupXDOmi0K8R&w=540&h=282&url=https%3A%2F%2Fbabyou.nownews.com%2Fwp-content%2Fuploads%2F2019%2F10%2FIMG_0046.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAhIU9GlYBp0oB1","Image may contain: one or more people and people sitting","【專訪】曾之喬與曹晏豪／失戀的時候，就去想著世界有多大吧！","曾之喬與曹晏豪在電影《聖人大盜》飾演交往多年的情侶，戲外兩人"
"https://www.facebook.com/ciaojoanne/posts/2727673037244474","1569838963","颱風天！
就在家看書吧✨✨✨:)
·
這本手繪讀圖書真好看
可惜不到2分鐘我就看完了
只好再讀一次🤣🤣💛💛
·
這本書是一個抱枕喔
是抱枕也是靠枕（可以合起可以打開）
打開後這本書還可以翻頁
裡面藏著超好摸的法蘭絨毛毯
（毛毯控！都要入冬了你還在等什麼？）
（毛毯控就是我本人🤷🏻‍♀️😂❤️）
·
大家都要平平安安的：）
雨好大！注意安全喔！
·
#知性抱枕毯
#集點就i屈臣氏 #屈臣氏集點
#生活大玩家
兩大巨星✨✨✨🔻🔻🔻
#hellokitty #theveryhungrycaterpillar
#watsonstaiwan #屈臣氏","1571721974","/ciaojoanne/photos/pcb.2727673037244474/2727672657244512/?type=3&__tn__=HH-R&eid=ARC-lBHpwaV22yB1FTS22w43CIdG6j6_uJulxnYc1IysXdg1Nc9yVe66mkuMIrvIhczmYZVN9itnTZm1&__xts__%5B0%5D=68.ARAiKNGw3OP1UaylGSk2pfbjVpf9Njuc7_i0SsgfdJJhdZpl97B3uGcOpyjWtiRtCfvfiyxV9_9uEMonl4djcjlFvHjSbycpAmzPvuMDB4H9yVCuumsP80WEj7CX-36lQJT0PMU7mOKiJgYzuPIXRew0-SjkYRRcMLz7QN1ngNjEyPfMIojhl8pkdUt9jC24dQ1sy64qJ_kquDtozRfd8C5OAH6tpfSsREcQsibFzjTT1S-H-yRpIw9VMC3crIMRUC3wue0BSl0aZpu4ogIHBCm7xIphlTaDZtMtSYjiJXL9_2ONHgEQSDwuT7tTaA3K2zuaEpA83ezyE8FkM2jWvxIURA","https://scontent.fhan2-4.fna.fbcdn.net/v/t1.0-0/p403x403/71761498_2727672663911178_480884037611683840_n.jpg?_nc_cat=104&_nc_oc=AQklsF1RnAwYVJ8kjZLvE_Uqg4Hq4WalE-N1fBKHpLWJQfJcTPAuIp4Y8zSsKd2E-wQ&_nc_ht=scontent.fhan2-4.fna&oh=a32c2f52e0059933e6719d0bcb17a6e6&oe=5E1A57C9","undefined","",""
"https://www.facebook.com/ciaojoanne/posts/2768809959797448","1571492286","你希望今天是什麼樣的一天
想好了嗎？
選一瓶香水✨✨✨
出門前朝著前方空中壓三下
淋一場美麗的雨
·
今天嚮往著不著痕跡（卻美麗心機最重的）
法國女人❤️於是選了蝴蝶之水
·
不同情況不一樣的香味
明白知道自己是很有個性和主見
所以和喜歡的男生吃飯時💛選了羚羊之水
第一次見面先不要嚇到他
先以果香調性溫柔小女人的方式相處
（再慢慢讓他發現其實我是大女人XD）
·
Asia Vision 宏亞香水
#洛蔻芳 #LECOUVENT
#LeCouventdesMinimes
#仙境之水 #珍奇動物系列
#洛蔻芳A8旗艦店
飾品agete Taiwan","1571721974","/ciaojoanne/photos/pcb.2768809959797448/2768806723131105/?type=3&__tn__=HH-R&eid=ARCo2g9exAFEy3dZDDdo0RosEJa6J2nDmN2v-_Zk8QlODzuqf0z9jEPRZhBngZPL2nUxVVozz1mYticM&__xts__%5B0%5D=68.ARDPiXvnZ1Y9MpLxDeI0JI4E1mYEUV6hrE28cXTuZxs0yRm7bkkV1BpMiQoKIl5tQKku0qt9DnPA53R-C38WKZ_7Ofv9o3lPim-X-52_3bQRmdabQlw_7LzxxHmAFXdj3dkHw9Ek8r6o5_5KyIFNSIMVB9c4mZHWfKInPO1xm-C2OGFdKzJ00tnKtOtValzvBzJbsS2zYqTwlBrCQfMjBWi78T9r4af2NOLN7lrUh_pNuamDaiaKBntspu3F9AMKcVG8w04DnYU9d9ajTb0v2g9PzpxDZEJY9L_MvANQYuWf0DK-zZAeulLFmT-Z9K_-BnZNnPI69x_eUQVr8WjDsCBVLQ","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p403x403/74156840_2768806726464438_1965837034236936192_n.jpg?_nc_cat=109&_nc_oc=AQlldlJtTeWkLNcNgFR7B-JUzM7kUo__cJmeQ72eCBz_ZPaB9oMy_I1qSYNxqWGvxbc&_nc_ht=scontent-sin6-1.xx&oh=67f37dd003ffc8d7db169fdd127b671b&oe=5E1AA4B6","undefined","2",""
"https://www.facebook.com/ciaojoanne/posts/2759532977391813","1571136308","「不要害怕丟臉，感受到丟臉就是你在破壞框架，你在學習了！」——曾喬喬

 「沒有哪一條路會是錯的，但要記得，這是你自己的選擇，要用力地對自己的選擇好好負責。」———曾沛沛

 謝謝拍手✨✨✨","1571721974","https://l.facebook.com/l.php?u=https%3A%2F%2Fwp.me%2Fp8gXhE-3ar&h=AT1ekC0ix6bHnrT0MbEWIOpV52w-rNVBAmdAeOkh9Z-cNKCWh8SGipI8bM8kv8h_xfYl-aoRDqj5B6kyjP6EWqR20nCnFqQahmGNY62qrrKTDKD33Rgr1DOUP7PWb3hxKu0_j5UVs1lTZ-Q0Exbcd5mwdIM6sjtWbzZQSB9bsBa3RyWhrWP40QJQrLajh6gsGKiILG0cBualithrAybuIu7yoBYwAZeq4kJCzBmo3u5fWuKUP16NGXEOM9tbTILmruTWDLkZDoWdW28l_y0Mdwwa-6xpmgvCb2Sp6rFgEdSGZ5-tHk8wHD3Ut-Upa9HuCm7TaBtxGw_1cOrkDTCgjsBsPyHN2E8ePBhz5AKM3uBA9z4Mo8FKYUAHS4_63iyLpkWXUqBf6mT2q0nkLfM7aDj63ZIwfrftk1UB26_TAbrKnu8s75Ov-cWKvd5j8jsZEYfIHxZHubcn-oWoADDg8zAD4H__W2WEoHvc2nQAiGb0QMRbB69cJMkCTH3EkohNHFCfJp_S5r59_D_pfnsQ1Q6U9aGSbn_hYO3sYoTqqw55aXx47mf_dPWyGSATG3WViPuLStfw3wOn6dDSF0lyP4oEGhumZib1H9scXmgXzEnDYjHxBqjQwwh321lInb50I7lAqXnF8z1sD_bdtDY8pNls5EU52lc9Zr7-quEhPfQ","https://scontent-syd2-1.xx.fbcdn.net/v/t39.2147-6/c0.38.540.282a/p540x282/73023604_410991262892828_4588604816934043648_n.jpg?_nc_cat=104&_nc_oc=AQkrvGqIPQbUlUJYmrzahqidr9SykL-GDAJwSb0oVC-0ABG0ew4ZpzBBY-_ARiaiBVM&_nc_ht=scontent-syd2-1.xx&oh=13f6ed8a0c4b0b10b9afb9ad47b35398&oe=5E20AEAB","undefined","拍手Clappin｜專訪曾沛慈、曾之喬｜歌手或演員？想傳遞什麼，比「你是什麼」更重要","演員曾沛慈與曾之喬因《你那邊怎樣‧我這邊ok》首次合作。同為歌手出身、跨界戲劇，表演路上的跌撞與獲得狀似雷同，卻也只有當事人懂得箇中滋味。訪談最後，也請兩位分別留了段話給新進演員，或處在人生交叉口的讀者...."
"https://www.facebook.com/ciaojoanne/posts/2493464240665356","1559385968","最熱情的高雄🔥🔥🔥❤️❤️❤️
我要來囉！！！
好久沒有和現場觀眾玩遊戲的機會了～～～
可期待期待✨✨✨","1571721974","/464090063609240/photos/a.464092966942283/2516626125022280/?type=3&eid=ARCjYRLiD4eU3je86S55MoSXvFWRLVtHgBOWGoXqj2jEcl6KjEpfHBjiAY12lmiZblQqRF3BFTZlSAib&__xts__%5B0%5D=68.ARBn1M5C0YAadzlgxKEfmbMmylJ61EsNZT9zbE_cTXdNv1OB93t00VXTfEf2jjJHkLPdO63FX4vZp6x1_OEeUSgMJRFSFQMYG-Pf3FzNp-UxCfNahYfvI-DdiuS8YS3RrL-Fl7eq9wKOTYbFrZkZ3sdp8qvrldEin5hOHEYU7vXI26gOFnu9o5-p_Sv0yOUsTUjK15-q1GGPSCD0dkVhPGKiL63P3NkEaE-Jr-hTV5x-NYhMOXyCITrMfg79moUCwppyV6qDfLkTk7Aa53y29WauMUCgr_vo1u4QI4g565oRg1YSLLfgKYSR88Du3j6jLg8xr7JfnnN9Z37RNPcyoklDq-Z22rkll16JTT2p2mD356r7OJiJnlv1iyMF4kFQuhb4S9cy8gIInDNnwFjoe1E6dXI0-qIYjJYMi-jlQdPbQK5t-WwF55tdc3WH8zTIFmUYZSamHu_iXyEe5YxzNE0FJs6WnznYTK_0MRN6_KsEJA79X6Ky399B&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/61431461_2516626128355613_5313536730324795392_n.jpg?_nc_cat=101&_nc_oc=AQmaR06qR1jqBroZjSpG6mM38XQPcVJDBzcU9RtaEa1Tk48zM2eu1j2SmftGmx1alEI&_nc_ht=scontent-sin2-2.xx&oh=cd9e9c829f5fc56b206032a293731601&oe=5E61464C","undefined","SKECHERS",""
"https://www.facebook.com/ciaojoanne/posts/2750484871629957","1570783103","西裝配皮短褲！
再來一波！
·
我希望西裝外套～～～～
永遠永遠永遠永遠～～～～
都不會退流行！！！
難得穿長襪配球鞋❤️💙
想要的找王大哥買😛😉
王子 邱勝翊
·
#連假你在做什麼
#我在家準備20號的演講
#大愛西裝外套
#自拍神梯","1571721974","/ciaojoanne/photos/a.627210720624060/2750484208296690/?type=3&eid=ARDlYMcpCre2nZI8uK9OqdcWAEtnlttHL7Vl2f63IXAreP_VZ6G9Xg5l6CZPz_11nImf-Xrpn6hfS0ko&__xts__%5B0%5D=68.ARAW5pTdBSOpwnpTcnKfzs4gWdX4fvJvmAKEyRqGbRxcDe851QocrPlV490Mldg-ygYXK3cjH5Pouuszlf2tBzE72MxWXcF1TkU_rbwJqrUr4eJMllFCcRfyHjtsjlwVkxpjrmKYSWsxatAJPPi190uRY4Tu-_p4Ej8WcPVz3k9_BiX0hIi6AhEVIsK5t5vjb4Fvm1kDrivB8HbfXeZs2NBDqiDW6NaJksNs9QZ5Kphq2Ax1zKeCb2lpWPYs9xtQTpnlRhv7UJE47Fh8T7GHPb41KGCePKUvFJPanwt5mCPHLbht_I81JL75zkQwko66C2z3r62UsF9y6AdMqNxI4DGMRg&__tn__=EEHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/s640x640/72050482_2750484214963356_5669171073384448000_n.jpg?_nc_cat=108&_nc_oc=AQmysL0HJSNlZtZhdUtinvw2fiUNJ7treBVK_vtWvNjTLCa8WcxDux46DqjJxrmbRVM&_nc_ht=scontent-sin2-1.xx&oh=9d14ca554d90b8edffe0aab3e219c24d&oe=5E63F185","undefined","",""
"https://www.facebook.com/ciaojoanne/posts/2752517448093366","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571721974","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/ciaojoanne/posts/2757009494310828","1571033207","「能支持對方夢想，是件非常重要的事情。」

 謝謝明潮✨✨✨","1571721975","https://l.facebook.com/l.php?u=https%3A%2F%2Fm.youtube.com%2Fwatch%3Fv%3DudUdyEaRCZg&h=AT0vqYVU9yrO8Tccgt6EA4RDZ4fKSqAXRGVJwoJ0wuo6HvxiRO1101C8UsfDwVAppX42X7AaQRjBaQHwGoSxgzxIbbkJtQjz5RhbR5Jtp7B71uq9mpz3Zm9NhM4RbTYg9LQX6HSGYFcq5wuqXyOh6_7WO24Rrw6iSWLxFp5_UdLO4-bPZh4Oe7kazQn5DI9Cc0DWmjfKNRMolwYkNjlbqSOy2eByAgQH6oD76f3xnb1Y3hvwlIyFtB7mn2lK-D-bAzA1KvtRdBAWDwtwuej5BgDNYCgeoLKyG1oGJ0AKw8kVsDmfAgYyaGPHK16UTYGdvmk8kGPe6axtaIO0J4MejNAhwV-nL-IXesaEnwIvX72q9hsQz0lInzPh697DvELa_eOsK3XVexkGKCaThjcoxaNvhMeUtwWENFe12iv5p3vP0o5laHayDp7tu1Yo4OX5URSHUkCcl2GDnZrLO4ejlgnpGo5eSwq1Q0-KSrDrw-n75OI57tP1nKSbX47kQho5KDgcX_xfvvaoO0xUqEG6hfaL5-xmyX3uc5popjD5G59ShJD1FSpOeaDlfTX4NrFMbQ9CBheN4YTQWNg0ie8U5PSKJCq1Ii95d2BvxWqCzj_9nwwUdqwmVnnVL4cbgfvZewiSZefevPJO-Inm","https://external-frx5-1.xx.fbcdn.net/safe_image.php?d=AQA8cY92Wl9BGcVE&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FudUdyEaRCZg%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBX7XzAMw283leL","Image may contain: one or more people, people sitting and indoor","曾之喬：能支持對方夢想，是非常重要的一件事！／明潮M'INT【封面人物】","曾之喬（喬喬）帶著新片《聖人大盜》來宣傳，她片中被飾演的陳曦被大讚是完美女友，喬喬認為在交往過程中「能夠支持對方夢想」，是非常重要的一件事！ #曾之喬 #聖人大盜 #明潮封面人物 --------------------------------------------..."
"https://www.facebook.com/ciaojoanne/posts/2757233947621716","1571040984","「不用甜蜜的承諾，真實的陪伴和支持更重要。」😌💛
·
舉例～偶像劇男主角最愛承諾：
「我以後絕對不會再讓你哭了。」
🙄🙄🙄🙄🙄🙄🙄🙄🙄
（不好意思喔後來每次讓我哭的人都是你）

 #謝謝蘋果日報
#聖人大盜
✨✨✨","1571721975","/AppleEnews/photos/a.202570069806647/2669340863129543/?type=3&eid=ARC3xdupiF-caX9CYPYofjomh7kbUvf9JK2c61m8MQz9U_X6n3zwhXIhGQwj5qjn2P86GON9iipV229F&__xts__%5B0%5D=68.ARAtjdBo0ngOmp6YlBH78d35KBxyTcsd9vwwygdd_vkq4iZY9sG4_e0LdcxSmF0xam1KwxHewzfefWBHh9sGOC56DJEKEd6OONHOCfv7O5ehZC4YhTmGQ8udIK14xhf0KnFeQNEZj1jw-ZSX1ABIbLLmczn3N6uLC_2OM5KnXjDV90YM3mRb-P8qU5rNoeVkCfKd1sy_P0OZwvUGIg_cggqY_I0c0mlh3qVfUbIMr0QAASHPPA6WyQUdMq8ThfVMvWuw9lvKJwYvpvCV7m559AH2avGlFxCCMbS0QlIo2-_l2rZ5uKT06LrKx8fad3l8aagdE10ym1Re5_DpO4djTL3HJuZmFz2uVSfs5LOW2r3M3hq9tnGUdWslE1oqrbiS75AZ4WXpw5paFKUr-aTpxEamyUN7hbbmClVJhm1tLLZM7rj5DMQIKmVwQXL5imvL3HRxUvN15ufBYWK61qahO4ngd9HyN-VBqIikAPsxaLw2ilsWwCFEsiA2&__tn__=EHH-R","https://scontent-syd2-1.xx.fbcdn.net/v/t1.0-9/s851x315/72104435_2669340866462876_4356718768118824960_n.jpg?_nc_cat=110&_nc_oc=AQmPjv0UVEXs86iXcXE_6zVsAAOTUKRyN6kG6ucF_WRSfA77aptXlpkGCUeMKzBCOk8&_nc_ht=scontent-syd2-1.xx&oh=fc96cbf91c814b71c4ff62a11edb9d12&oe=5E624368","undefined","娛樂蘋果派",""
"https://www.facebook.com/ciaojoanne/posts/2717371854941259","1569415578","天啊是Hello Kitty!!!!!!!!!!!!!❤️❤️❤️❤️❤️
以及兒童界的巨星毛毛蟲🐛🐛🐛🐛🐛
（你真的要認識這小傢伙不然會落伍喔）￼
你們趕快仔細看這支廣告
下次再跟你們一一介紹～～～～～
我多喜歡這一次的集點贈品
要收！要收！要收！
🙌🏻🙌🏻🙌🏻😍😍😍
·
#是的我們就是資深代言人
#小王與小曾
王子 邱勝翊
#集點就i屈臣氏
#屈臣氏集點
#生活大玩家
#hellokitty
#theveryhungrycaterpillar
#watsonstaiwan
#屈臣氏","1571721975","/watch/ciaojoanne/?__xts__%5B0%5D=68.ARCFVZmPzyYbSCwbOR2O2IOBFr-AMijfLRszxf7_vY_7FNzkQBp9caqn6eD8omXCwoYnabcJn1YWv48c0dVqSrvn-kLDOV9bpHjijCWk8axqVkScQlq8smLBM3OrxvGfhXh6hONAbSzO4qEOV8w0uOShnbPoyAusE6wZ3S5i-PLkMxVhqy24AXLGoJAM7TvO0Mj1CfMnSUG2_SM47vsUJlCEsbhYPZZnw-BtIX0Tc3zlX1hgvRR2lSm18WMXJI8lBMWkG6EFxx1RR0qtLVoo7J8zkQPPS60YVGt0DvtEb_chiALvtXVFU0Mx_qkkiU2tExzCXYRhqZExOYO6aDGPKOWWGM9by9fdcFg7Yg&__tn__=kFFHHH-R","https://scontent-cdg2-1.xx.fbcdn.net/v/t15.5256-10/69153648_1239658856220453_4070062295617634304_n.jpg?_nc_cat=111&_nc_oc=AQk_JMOYfxDwte5eNsuQavFn0snik_zRnuadg4SvAFcnTbZRy8bKN5zhkzRoSS-JEzM&_nc_ht=scontent-cdg2-1.xx&oh=7bb022c56ca1c96b801fe692145a25e1&oe=5E25F751","undefined","曾之喬","53,292 Views"
