url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/customs.tw/posts/2180938698863004","1566916267","想請教一下
目前關於非洲豬瘟
本人目前在大陸，會帶些非肉類的食品回台灣，但不確定是否感染到非洲豬瘟，請問是主動申報就不會受罰金額嗎？ 還是有其他相關條例會受罰？","1571755151","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/customs.tw/posts/2175007106122830","1566127791","請問普洱茶刀可以帶回台灣嗎？","1571755151","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/customs.tw/posts/2216013942022146","1571034040","108年公務人員特種考試關務人員考試錄取人員第2梯次分配選填職缺作業結果🎉🎉

 本次調訓日期為108年10月28日，調訓通知將於本公告分配結果後寄發，10月16日後如未收到調訓通知函，請撥打☎️(02)25505500分機1167查詢。

 新聞稿👉https://is.gd/XxISv1

 #關務人員、#選填職缺","1571755151","/customs.tw/photos/pcb.2216013942022146/2216011252022415/?type=3&__tn__=HH-R&eid=ARBo4ZkIaQLNR-b1B-ZiwzFrtK06Wi8JbZd7iMFJYFOxPic6BXmM7PijmSCrNr5hHVmWnjiE1shdz1gF&__xts__%5B0%5D=68.ARD59tkMyJcgdyyEqeXGHRukI4Y2T_zbhF_Aeo7uDPgdbgYxdS-PivLUlaOFb_LfEooxQgvJxPeibXxFXS5Stx0cX07V856hBBg6jMu3ct93qNIA_gZDZ4r-HvYX7NJ94ztbRZ7MwzQVe9LCe-swlwvmVOMJtpEO_L2qRxCG1PM4DdckX9D1CGbdW1mWGHrAtZ9fT0hw0QhpSFH-rslO822ZQRLojzaoJm7BUhPmMlraIfs4Jd9xrPRoaaEefNIFkWDtK7cISSySjMAaRW00Fzh2auAk88xVlhI2TCszKCoCiB5CxfxsT5ZO84iDwIrJix9_uZyF6e8P71CgCBLbDDznvW0w","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/s526x395/72070810_2216011258689081_3485484720844701696_n.png?_nc_cat=103&_nc_oc=AQkwhm9pO6_KcS51Ed7H8xs08qB8TXFv-OpcyePEofVZxzDqnJ9y_ijGahgieEE-wpQ&_nc_ht=scontent-nrt1-1.xx&oh=108805d7114994ad5a2f123b821852a0&oe=5E5662C8","undefined","",""
"https://www.facebook.com/customs.tw/posts/2197742540515953","1568962362","關務署臺北關與航空警察局聯手查獲進口快遞貨物走私古柯鹼😮😮

 臺北關與內政部警政署航空警察局於9日在一件裝了一罐義大利番茄肉醬🥫罐頭，以及數包的義大利麵條的快遞貨物中，查獲古柯鹼441公克‼️
是國內首度查獲入境貨品夾帶闖關古柯鹼案。

 新聞稿：https://is.gd/gR8nWL
中時電子報：https://is.gd/q7r2km

 #關務署、#臺北關、#古柯鹼、#走私、#義大利麵","1571755152","/customs.tw/photos/pcb.2197742540515953/2197738010516406/?type=3&__tn__=HH-R&eid=ARD7UEwG3qVvaSW1wP5_qVfc1K5l-JWf0g9lFWhcd6sELf4b4eqt_YaxVqdM25Iq0dVsqrDw1I0BBupH&__xts__%5B0%5D=68.ARDybCYnfiC6T7ognRZ3La-pdB340cMPuzpuLeM82WUM8JN_KJdI0F2YWUuZOEfs-E4_aIDz__V-vCmsMs8pDAB_la7eGb_V5JGwVOOVuSa5AYQHFkDBquJKnXcYWlfBJ7YPBuoGKtw85HgdeK4H15E8FH_zLnnuCPtvhKz26NNIegjcReIfKiriIyiT6VSCtJ09hxB7n4ZYaBiMMp21tnz64hzpK5yzprA1fKFPC93snVKPMt_TQQXSYtdFylQjOS8ELD772aPQ0ukE2z-a6P93NnxEr0j9Z4q4_g_EP7VlKYqFzDRVLWEp7XufBbUFy3X-YDGJU-BUp3btm6BE3Im6GW1J","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/s851x315/70354292_2197738013849739_4104788768358137856_n.jpg?_nc_cat=109&_nc_oc=AQmZz6gxmgXvlIPmPUdSGVR4lYUXqCtylgBeZXqw3rcSiyVnlwvn1s-j1P-u5ikGXmU&_nc_ht=scontent-hkg3-1.xx&oh=fa63d92cc5aedf610d3b01de485f8edc&oe=5E5B7A95","undefined","",""
"https://www.facebook.com/customs.tw/posts/2163633733926834","1564573412","海關積極落實毒品零容忍！全力掃毒！","1571755152","/mof.gov.tw/photos/a.1437592493041278/1625445574255968/?type=3&eid=ARBnlqxuVwnDE4yZbgiOiw-uaswLRS51Dz8nyqEOnPJyidjhA7881ArnOp7BnxzReusyixPP8Cnor5es&__xts__%5B0%5D=68.ARBA3rAjNgAI93sHcOgM2QZhxSZimTQXVNxTYWr_ZPItdZUdgenWrtgER7FFGUuW0OYp_sYpTOSrScPYjjIk4zYTVtyW3DWJ2Cr6y-mueuYUZPLH_LuKiGizOsyjIijps7pPj_iv-vAKvO177Y_cUFLQNV2YfL9BD_18Nu-FqZpg5_xJvjze2KuiR4mRfN1cRaoSWvY4u5mHj6IR3CxnjK9XkTX01UWwkiYMnqE1218LnfxfIGBaU1w_E9-4mevGu4zhG7DSZxdrqgS52_9whcwL4HcJrJZWoVAlP_FlwCYMyTqsYYBmxP202m0kIcOjMXAryujQryvdIeCOxVnO6wQwHhVD35Kt5Ekon9jZuTb7CSWgvKxSv6MmobYbiA0joI1oKELdjh_hILfxDZV4W8rEud-GCqE-KQeC4V5fmZZ9SgleW2ZBOSUbSStTQzTGQr_jaE3fWBHeR759AGrOIo_6WMLchpdBJ5wzuJrtbUXR6lPTe_J0O6mCtXRWPQ&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/67517895_1625445577589301_818484594679480320_n.jpg?_nc_cat=106&_nc_oc=AQnyNjgYf_PwF3u6fZSO9fBE_vgEEvLZnaoHhOm1RERjpKN09Q0OV3s2N8e5vHxG99Y&_nc_ht=scontent-sin6-1.xx&oh=38582161defbbf35732614263a92e946&oe=5E210F51","undefined","Send Message",""
"https://www.facebook.com/customs.tw/posts/2211339962489544","1570529281","#高雄關好棒棒
#無密報查獲走私香菸

 關務署高雄關緝獲市價破億轉口未稅菸品🎉🎉

 高雄關於10/7無密報緝獲4,000多箱未稅菸品🚬
自越南卡萊港🚢起運➡️高雄港➡️菲律賓
4只貨名申報為「傢俱」之40呎轉口貨櫃
估計私貨市價超過新臺幣1億5千萬元‼️

 #香菸、#高雄關、#轉口、#傢俱","1571755152","/customs.tw/photos/pcb.2211339962489544/2211331045823769/?type=3&__tn__=HH-R&eid=ARDAXCtjN-PuNcaI_IfvprmpdJUhSgtCSrdPte01plq5YgY10CugeWDMVtfJj6LSsC-aj-RVIhR2laG6&__xts__%5B0%5D=68.ARB_O_pOOjxvrhA1o1Ulv_x2SDHpwW9keNyD4ajK9v4S_srQyTqmhdns2L7ZJ9OeFNMS6m2CtmzxdEyYdYJtnfkxTJs1T0AB_-10l_2jtTx9oxSAaQ4xKB7aFQBN_duhPhHuI2t8_k4cldZnud_R_eAoOMXT4BqPy-EGukd1iBnVT_584U5STggNZWd0fmN8ThH9c53hb8fZie98IVCtGz0uRjA-Czx34banJJdiu0cVjCNQMXTggYhGmLZJfMPTpk3ZJjDKFQ1881NbQXSmbquju_kE3Bs8XGQTpSvqQUm4xNozTZ5S4n16K8xABI35_tVpgsJyhadx_3wpk4LCvr03QMY4","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p235x350/72085946_2211331052490435_5679075345278435328_n.jpg?_nc_cat=106&_nc_oc=AQmR38knZZ3AogWG_DwVPtwxDgeKikrjBzMlsj0lcSavybYr1ITl7A1VYLmE8YhyqiQ&_nc_ht=scontent-hkg3-1.xx&oh=535069acdf8626261bfcc8ff2ddfed01&oe=5E1999BD","undefined","",""
"https://www.facebook.com/customs.tw/posts/2162152517408289","1564363764","https://www.facebook.com/kcfor2016/videos/2343857362357195/","1571755152","/watch/kcfor2016/?__xts__%5B0%5D=68.ARCAQC_JbKyykFGCtGReJ12Q6Du-1Y18Kj1G-bOLaSoMZQIET_IkjqHZC8Ok5QuUOOuLxqE6B9f4fZlf1rQz_6JcaEqah9DBGYgsgueTo0mUhA5tLxFuRr8Wq4tOUkAO8don1V6C-Y1pD_6M0SYOxTrw1bq7mIn8pDQLgtXMWsEoElj--ekpElic47hRbzNBqVMYQYwnQJqITarMh_Xqy1l1bdB81_MkSxHzICYsTp3fa8t2rBItSuCpZeanbG0mBwgt7jhJGIIyq0McleAW3SzbGyY9OeFoXepTUvzJezEGIjGl93rQQ5PYUjBv_oKWmz43o1YaU50Yuw-Y6-kmxsEKMVXCfn00Hv_IuA&__tn__=kFFHHH-R","https://scontent.fdac76-1.fna.fbcdn.net/v/t15.5256-10/66234996_2343866815689583_317521782527492096_n.jpg?_nc_cat=109&_nc_oc=AQlRUhopC9cuZAQawdXbASfcMP169QYKP6IFtdISAFXgQe2X7lCMgPjxXBo_7lSR7_k&_nc_ht=scontent.fdac76-1.fna&oh=63d92fe6ee07599de5a5528adf9311b2&oe=5E29B86F","undefined","立法委員 黃國昌","105,624 Views"
"https://www.facebook.com/customs.tw/posts/2162218504068357","1565177283","稅則分類小教室第4集--解釋準則五

 容器❓樂器盒➡️要一起歸入所裝貨品的稅則
壓縮氧氣鋼瓶❓鋼瓶➡️單獨歸壓縮氣體鋼瓶

 請繼續觀賞同仁力作的最後一集💁‍♀️💁‍♂️

 #稅則分類、#HSCode、#HS","1571755152","/watch/?ref=external&v=476600233098071&__xts__%5B0%5D=68.ARCvaRD1MXDL0glVegt5St9aAQ0hnegb2qKZ0PauhUiOOYDqexedKXDkuBOdCAmgo-bq05oThjkR-73G8B-P6nhWXzrvHD1IQRTohL360HiDWDdc_82SiJIvLQgc5boYWBWGAAFvXNQKlLGp_K6gducSqdJkGWrgeczUoNK9yAc9cjvq1LzITHbJLpwV6jtD0050outVEX8xhG0B2-OyFJlMrIxc6xcsJyhWDva7lqsIgw6H6N4X9G8IRbk-Ty_wFuRZowGc43WGKmQeipGTCREWlMpjhggZKYZjwHKB3iVBUFMnDSKZBQW4fHBt_7lWlr9kUxnQg6CzhHdF-QPWxN38GiLuR39VR8quDs46&__tn__=kFFHHH-R","https://scontent-syd2-1.xx.fbcdn.net/v/t15.13418-10/65838803_2217840591677585_1067123859217448960_n.jpeg?_nc_cat=110&_nc_oc=AQkooWDbFz-JR1CC2LQArF2QsRdUuNRVV9g1gi5G6x1pJMXEgR9bqEmaLaHIQEdPA3s&_nc_ht=scontent-syd2-1.xx&oh=df8adb6efae562acd709541d42927aa9&oe=5E2086F9","undefined","稅則分類小教室第4集","Posted by 關務署"
"https://www.facebook.com/customs.tw/posts/2219566928333514","1571404836","超萌小幼犬，明日的緝毒小戰神","1571755152","/1412275325674626/photos/a.1700325163536306/2478664475702367/?type=3&eid=ARDqWgNov1-8oFOMmw2pjPXuS1COsdIjgnInOVF6rNpaQsiywRH0nNO9fI2SBX0AFZewt_yUkTCgou1j&__xts__%5B0%5D=68.ARBVRfWZ1PlJKttdHsqXjNLkr1nj7CEgTpnT0xSzgPDtLI7JUXgD2tudJ50nQ3x8rR0CsCY8EHI8LZTyrLHu5AKDq09JyHJWSjxWdVwroi1vI0qUuDCJ5MVH7V69uwlcNuxAvtJLlK_1oz7cU68wzzQQEBJjETNWX0_Mj2t94vQag88MwX9UERAjrewJEzaCPKJQh9kh0iYysYIqPq9dX_jniLSaa2UrH77AvOiGSrjfgesUs6_gNaZdUBx7-WA6VnFL6HJBiiWiH6mK0W-t72LBEfDhgzPKN9f4om8GqMvU7meBx0QVZ3HofZn4Xue4QJtRXDvFC9n6fK9sQ1Biws8wMOTBV-I5xZT6VNSJ4icMebQtWP8jEY39zcS6mVurZnbllK-nziDlYNuXOmPe9B6pMHtDg4ANHz2ilQS4X7fsMoGBunNihvtUe4TvDi_1QUDv3sTTU118b-YkTKoVrN-swF4xMq77llbwzat8bCPEjO4sdNSXhRrh6-K3Ug&__tn__=EEHH-R","https://scontent-frt3-1.xx.fbcdn.net/v/t1.0-0/p526x296/72923380_2478664485702366_5610299290938245120_o.jpg?_nc_cat=107&_nc_oc=AQnj3zlNHxposFIwGHv6ER7M-EdFIl9rNchA3L2g6E18y-BtCnUUI47ckqG_BglxuYui74NXZHZsv1xo5BgrK0pp&_nc_ht=scontent-frt3-1.xx&oh=4c99b6966620dee13a5fd7ac006f9704&oe=5E2DF2C8","undefined","海關緝毒犬",""
"https://www.facebook.com/customs.tw/posts/2104423713181170","1556705700","關務署高雄關傳捷報！ 端午節前緝獲貨櫃走私香菇🎉🎉

 本署高雄關查緝關員充分利用✅大數據精準分析，✅並運用風險管理機制，➡️
於4月26日過濾艙單時，發現來自香港之1只40呎進口貨櫃貨名申報籠統，非常可疑，經岸邊開櫃檢視結果，貨櫃內共夾藏🍄
乾香菇2,231公斤及乾香菇絲8,100公斤，市價估約💰新臺幣1,000萬元‼️
因來貨未列載於艙單且未具運送契約文件，依法全部予以查扣，並移送相關單位追究法律責任。

 🍄新聞稿➡️https://is.gd/48RB4t
🍄#高雄關、#走私、#香菇","1571755153","/customs.tw/photos/pcb.2104423713181170/2104421393181402/?type=3&__tn__=HH-R&eid=ARCJXQpFB1FZ4lPzRwvvDtcrkjtUiUTxwnKh2beQOa1-WryjJq8L7z_-tFUAU8m8AOs7s2bWH3Ulso8M&__xts__%5B0%5D=68.ARCwaKM--aeTZ3UEhCkVkYMJ-DxMBQp40OktjupOdPHVidsby2iDBhhtL_BaFt1sVN7FLCYl73oDu26sEonh1cFlA-HDvGzFTjLmH_YX2LUHmZoOLZ2BW4ybr1oep1wNkbcMOI0xE7HZVHX_pGZi2MPXyqwJ6atBWJtYbBMSDLi0MvO3Df-SsilyZJjP2vQk401Xy6fdqvkuoIH2_3Cvjvc6XIEkJkI1Adbr9-7K6gN85UIv0drexHDTEvZnCvvC0VnJAs1yhMy8QHtCmsDGXLaQFOKLcVGWstN-Y3vEvwK-8AHuHGBJhB2vKEXN5BqzQvQ9ZW3T1rEc5Jq6wifxt5fmYNO8","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p235x350/59079171_2104421399848068_4233262299722285056_n.jpg?_nc_cat=102&_nc_oc=AQnU_1Mj9EIq8GTvvCRMgm_R9BqAXOdSkbKhwzifvgMNPAuSLBi1NKe_0G8OD9tkwqQ&_nc_ht=scontent-sin6-1.xx&oh=f49e0eae49bb2147aee7d66ad7cbf8f0&oe=5E607333","undefined","",""
