url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/djanday/posts/2710195039012885","1571386772","#直接動動手指頭最新款就寄到你家
#最後一天了您還等什麼
✔IFME X FILA下單►► https://is.gd/yH1dw3
⭕各款式實拍照►► https://reurl.cc/yykMlO
上次隊長夫人跟我抱怨
他們去西班牙玩之前沐沐剛好會走路
她急著要買學步鞋出國穿
尤其沐沐又是超級寬版的胖腳ㄚ
但是宜蘭怎麼也找不到IFME...
後來還是殺來台北才買到！！

 我跟你們說
跟這團非但不用出門還是秋冬最新款啦
隊長夫人說IFME的質感真的好好
本尊比照片更好看！

 沐沐自從穿上後
走路跟飛的一樣XD","1571481519","/djanday/photos/pcb.2710195039012885/2710194852346237/?type=3&__tn__=HH-R&eid=ARCNpZdLrlrFmfEcoqBOr8vFe-YWcbwC5ZU_hP7SJP7EX1UDTDbiquIlAKYBHRmJb1p7X0B9TORdFmQE&__xts__%5B0%5D=68.ARDEL8S9JYQuk8g7PeFx8aM8f-UNZsnQTqzKr6UJJ6Lg0n-LjVQIcfnnkQ1mhLiA9_2KUhTiahuOOKIU5IospINwOygi2KCRIQpysQH7pygP1RUeTe_EZw_Ui6xZgLdFKkxkUkAw9hPGAjZdptJXdwlSPxDO1ChoNqCDdqYygOHrrs2oIz3dfrl3IjpegOWDXwF-R6ma7gKYNB5uIvDYI9idhjdLU50epymNlsLLJKPDJ1yThoL2DbAELyDSdfDzX89YzIz6F5wBYw0i3tMEnlEjCrnvy-ibSnGvAY65ZAwsZYRDLKTttT_8pa1eNMdOGqBGnXMVyUCWSfL0lXtkwfTNAQ","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/s526x296/73097452_2710194859012903_3421582363463778304_n.jpg?_nc_cat=109&_nc_oc=AQnra6lWKe4EewP4QcJgrGdOZHdceSFIZTtYvFB8etv1dQpfWIi7B9j2SFgCLYLaUe8&_nc_ht=scontent-sin2-2.xx&oh=82ccac92612bb73cfaca84cb1a175592&oe=5E2C67F6","undefined","",""
"https://www.facebook.com/djanday/posts/2706356442730078","1571228943","✔鳥大叔車上和允嘉大哥書桌前的清淨必備好物，獨家首發團預備備！！！
⭕今年六月才上市發表的LG PuriCare™
Mini隨身淨空氣清淨機，除了安靜和質感超級好之外，用的是跟大白($15900)一樣是PM1.0的Sensor(主打跟大白一樣的敏感度)，目前所有通路都還在賣原價(價格還硬到跟石頭一樣...)，下周可能會有獨家首發團，有興趣的團員請用力按讚並留言+1，讓社長可以成功爭取到最後優惠XD
※※※※※※※※※※※※※※※※※※※※※※※※
【LG PuriCare™ Mini隨身淨空氣清淨機主要特色】
💝去除 99% 的灰塵
💝英國過敏協會(BAF),Intertek 認證
💝無線小巧的設計(530g 重量輕，幾乎與一瓶水的重量(500ml)同樣輕便，內附內建電池，讓您外出時可輕鬆帶著走。)
💝行動藍牙App (便利的智慧遙控，特殊功能包括自動通知、出風強度遙控、濾網資訊，並即時檢查環境空氣狀況、汙染記錄和電池電量。)
💝在非密閉內且移動時可以在2坪內淨化個人周圍的髒空氣 (廠商說8坪內需要10分鐘完全淨化，2坪內2分鐘完全淨化)

 ※※※※※※※※※※※※※※※※※※※※※※※※

 
鳥大叔車上必備好物除了GPS就是這種小型空氣清淨機啦！他覺得外面空氣差，車上一定要放車用空氣清淨機，之前那台夏普舊機型放了好幾年，現在換LG這台最新最強大的機型服役，還多入手一台給允嘉大哥放在書桌或帶去唸書用，書讀到一半悶熱想睡，還有清淨空氣可以呼吸吹涼醒腦，鳥大叔和允嘉大哥都覺得這台真的是安靜和質感超級好，還有點像藍芽喇叭，要是真的加入這功能就更強大了~~

 ※※※※※※※※※※※※※※※※※※※※※※※※

 ★清淨且可信賴的好空氣★

 您可信賴 LG PuriCare™ Mini 隨身淨空氣清淨機，

 贏得包括國際機構 Intertek 的「清淨效能」和「去除過敏原效能」的認證。

 ★四步驟全方位淨化系統★

 更輕鬆就能呼吸到清淨空氣

 偵測到汙染物後，雙變頻馬達會吸入過敏原和極細粉塵，而雙淨化風扇會以更遠、更廣和更快的方式，吹出清淨空氣。

 ★四色燈號智慧顯示★

 PM 1.0 感應器能即時偵測極細粉塵，並以直覺的四色燈號顯示空氣品質。

 ★雙變頻馬達★

 雙變頻馬達達到更快速且更強大的空氣流動和淨化。

 ★全方位抗過敏濾網★

 全方位抗過敏濾網，使用壽命為 2,000* 小時，可完美去除 99% 的一般粉塵、極細粉塵和過敏原。

 ★雙龍捲風扇★

 絕佳氣流和強大的雙風扇，以更遠、更廣和更快的方式，讓空間充滿清淨的空氣。

 *與濾網的初始集塵效能相比，依據 50% 0.3μm 微粉塵的去除率（依據 Eco Energy Research Institute
的強風模式操作和濾網壽命測量標準）

 **由 Intertek 測試。高速模式 (H) 可在 155 分鐘內清除 8m³ 空間中 99% 的 0.3㎛ 粉塵（結果可能依據環境和使用單位而不同）

 ※※※※※※※※※※※※※※※※※※※※※※※※

 📣時刻享有清淨空氣

 LG PuriCare™ Mini隨身淨空氣清淨機，不僅輕巧可單手拿取，無線功能還可讓您隨身攜帶。先進的技術和低噪音，讓您時刻享有清淨空氣。

 📣電池使用最長達 8 小時*

 可輕鬆使用 USB 線充電並隨時隨地自由使用，時間最長達 8 小時。

 📣30dB 低噪音**

 與輕聲細語的音量相同，您可以放在辦公室、圖書館或任何安靜的場所，而不會打擾到周遭的人。

 * 依據弱速模式(L)，強模式(H)可持續使用 2 小時

 **國際認證機構 TUV-Rh，以弱速模式(L)在距離 70 公分處所進行的噪音測試結果。 結果可能因使用者環境而不同。

 ※※※※※※※※※※※※※※※※※※※※※※※※","1571481519","/djanday/photos/pcb.2706356442730078/2706354379396951/?type=3&__tn__=HH-R&eid=ARD78yd_C5jZkRgD0ANHkClu-jkGr1SfZux7tkLizPRU_N2Hmg1rRr7utAjEVDBY0QU7s3nX4JAaTrXt&__xts__%5B0%5D=68.ARCSY-ClWMicqXPO-GGBmQz5H4vzLoxjkc1r8-SL1_bV4KtRUs5sYiOulPYQ70YD3bUxbSVVGpErXnAXMG-emc3Mba35POMs_HW5Q8CcDrBIM2UjGPi4BRMN3qmIVwatGqTospN5F-ozl2_Zfr6gI_F9Gg0ZgwS0O7m9Oax4mZAfFwFzw2QZ7pPoAoFckeZYUjLMTdNMz_uJ3mv9Si3Z1Z-ojVQuoanLi2T7Sw6WlMi8QPO575vZaZiKeNFI5KVi5XZsKmS1FqDei9osyFW6P0qQvpoP9uVjDIRjz6A6KvtoqW2tIlHggGBUMQOLP8S76xj9bRw4cNMEKm5jrOYjCCa-Jw","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/s526x395/73541620_2706354382730284_281584098944745472_n.jpg?_nc_cat=102&_nc_oc=AQldrMoPs4EiBJ1_AuYFdMDzYji3YKrbzE54CVEPPbp9tzmzEZ77dX-ALCRHmsA9t6M&_nc_ht=scontent-nrt1-1.xx&oh=5654ec4550b2bb0912f966f0d8da862a&oe=5E5B5052","undefined","7",""
"https://www.facebook.com/djanday/posts/2632399013459155","1567995116","#免費牛小排如何獲得請看留言
#正宗台塑牛小排網路首團倒數ing
✔正宗台塑牛小排下單►► https://gbf.tw/3zhgy
⭕團購文►► https://reurl.cc/6g2Gxk
台塑牛小排～其實就是台塑創辦人王永慶的最愛
赫赫有名的台塑牛小排，以往想吃上一口沒那麼簡單，因為只在13樓招待所才能吃到，獨特風味讓人難忘，聽說利用17種獨特秘方醃漬而成，再加上特殊方式料理，一直是招待所內最文明遐邇、歷久不衰的招牌名菜。

 ®現在全台吃的到的地方只有:
🔺台塑集團招待所(僅限員工)、
🔺林口長庚球場(僅限内用)、
🔺彰化台塑生醫健康悠活館。

 
不過就算你沒人脈或沒時間跑去2.3.所述的地點場所也沒關係，社長讓你手指頭點一點就直接宅配到你家啦(網路限定獨家首團)，由於每天產能有限(每天最多120支)，將以下單付款的先後順序出貨，越早下單越早可以拿到。

 📢由於冷凍車運送本來費用就不低，大家記得揪團一起買才可以省運費‼

 還有不確定之後的團購價格會不會再變！？
聽說他們做團購只是暫時的，目的是為了想讓大家知道什麼是正宗的台塑牛小排！！
所以啊，趁有團的時候跟風嘗鮮，下次就可以大聲跟別人說：『你吃過台塑牛小排啦~~』

 📢最後4小時倒數ing
之前有人反應為了準備中秋團圓，冰箱早已塞滿各式美味
打算最後幾天再來下單(必須得消化冰箱庫存才能好好存放牛小排)
提醒大家本團是到今天午夜結團喔！！

 還有團員跟我分享，每次吃台塑牛小排都不用擔心孩子吃到生的 
因為他是全熟牛排不見生肉
社長平常吃牛排可是最愛三分熟
總覺得好牛肉煮太老也太浪費！
但台塑牛小排讓人訝異的是除了全熟好吃
冷凍過後再加熱竟然也好吃！

 尤其這次為了團購推出12orz兩人份的全新包裝
一家人吃一餐剛剛好！！
#中秋過後也要繼續吃大餐😁
-----------------
☑開團時間：2019年9月9日10:00~9月15日23:59(今天午夜結團)
☑現貨+預購
☑運費：本島冷凍宅配運費依數量不同另計(詳見部落格文末)；外島寄送原運費另加120元。
☑
出貨時間：現貨為下單對帳後5-7工作天出貨，唯每日產能數量有限(每天最多120支)，會依付款先後順序排單，下單時可選上午或下午收貨時間（表單中有選擇讓大家填喔）。","1571481520","/djanday/photos/pcb.2632399013459155/2632627306769659/?type=3&__tn__=HH-R&eid=ARBIMOtxWDDGloe9K9OLE7aHwinIWvWTJLai26kfgtCzQIUjt32cX9-uTzw6-xF7qecpfzyIkU80altP&__xts__%5B0%5D=68.ARALcdTyWF82dg4QsUsQNr1FSw8cDUbzr6F0K5DIkIBVydo8jQVsR6tmw2nS0O37NtjQ95JtCP6-ndymA6CvG2IZGZ2YHLMUCBXtQp_BuwNGT0TeEReSZ6eTiYrNFu3W_dTfD3xeU8q9sGfdRl2ogaJy5jSy_VmdVR5WJ9ZJgAo0IU3qoLo8kIuv38KdC3Hk1WY9iZTuBN-br30-oKzBzZh8NcGd1QZ1Vy11rdYNJqhfKJzlc8Wf8BwLd1YI7nzQl4KYwd41zgcBMmo8SbVAfBaTBj0el1bA2eXoxvQewHyQIraj01eMCTbCe-3vORzS6Hg_RfC5QiBTmQ0pX-H4PAo3Ig","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p235x350/70303678_2632627313436325_3924531486321016832_n.jpg?_nc_cat=108&_nc_oc=AQlMjsvUdx4kVRVam-SJkKPweaZJk1V1Qb7iDNEd9xWYEgEF7qxluNY4_XQ0CdLGUvw&_nc_ht=scontent-sin6-1.xx&oh=232fe508a6618e63b8ecbf0e5e9735a1&oe=5E279F62","undefined","",""
"https://www.facebook.com/djanday/posts/2520104438021947","1562677145","「已訂房！礁溪轉運站旁最新巴洛克式歐風溫泉渡假飯店暑假最優限時團購！！►► http://bit.ly/32dJmm0 」","1571481520","https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F32dJmm0&h=AT1L-2LfEeR2KxufmuNXfIHVRuZR-qe8Bm7YJlGI5LumkNIL7wpUbN_3E6Zdmc0CrTPz8vNEMetVCUMuw5PW_v48IAtCLrhIuA_XV_n4o-Wx8SCYNTjG5KQwSgMyWNXRUV-38rwCsVsq_UuhD3ghuS31WdnBBaKxSOjPyn9JD2YdEg","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQATcehJjzHxanim&w=540&h=282&url=https%3A%2F%2Fpic.pimg.tw%2Fbajenny%2F1562456561-68368689.jpg%3Fv%3D1562456584&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQD0_J05W5SfrfKs","Image may contain: table and outdoor","《2019暑假凍漲最優限期二天半快閃團》礁溪轉運站旁最新巴洛克式歐風溫泉渡假飯店Ｘ限量升等家庭房(二大床+小客廳)Ｘ加贈傳藝中心或蠟筆城堡門票四張Ｘ贈送二位12歲小童含早Ｘ指定假","大家許願的宜蘭礁溪中天溫泉渡假酒店暑假凍漲專案終於來啦！宜蘭中天溫泉渡假酒店是礁溪轉運站旁最新巴洛克式歐風溫泉渡假飯店 (全新建築非拉皮改建的喔) ，位處礁溪溫泉精華區，交通地理位置超級便利，市中心鬧"
"https://www.facebook.com/djanday/posts/2691101847588871","1570587827","#社長的手工布包跟風開箱一下
#今天午夜結團提醒
✔獨家設計手工訂製布包下單►► https://hoshino.1shop.tw/eca2a9
⭕團購文►► https://reurl.cc/k5NNGn
好感動😭
我的新蘋果終於有廣角功能了欸

 以前只能羨慕別人的照片無限廣
現在自己終於也能要多廣就多廣😁
各行各業的開箱照片看來還要流行好一陣子XD","1571481520","/djanday/photos/a.597520546947022/2691100660922323/?type=3&eid=ARDkr29hlHqnLQArJBQJtN1dV3OziI7tGFhWwvHmcg8SaFfrgmtuZ4sX1TFv1mRSHGoTYUlkKaz82n9T&__xts__%5B0%5D=68.ARB2i5y3pngu4JLwW2IjuEoPNhpDkHsn_u2y_GXKlx4FykEztOCTnpPokPv3hdQMukjhHOo4Evsx9Ta7YQVt_WKvIyhRpfwyyNp5Vwn79ED8-5K-10vdcORLl2zcBm4QYKUK8tJOJByRHKK2dDTyDbgjuILinUyqrWzKWScE_xZgyLlsc6e0uWvPrm7J8pKAtfHLno-1lkK3pRXDmLSKfANv5QpkfvNVjGCaUTmerjCgB7mPrJLK1cF-MDxtaiO54GqgQZcjzi1o-J69xszBhkSX1hShDC6Ryja_KCerVQpAMW68mtcNPClWvRiwm27FX-c3OAWkIyMiYoKbC75D-BRBhA&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/s526x296/72732731_2691100664255656_3938162926539505664_n.jpg?_nc_cat=105&_nc_oc=AQnn17xK4R1IREVU75n9PxsrRRGHlpuJAOs900EPPFb1_fxjg8wKMLyWMMfPu3DXTuc&_nc_ht=scontent-sin2-2.xx&oh=cc4ec9e67e6d9f5014399572cd7befca&oe=5E1DBC23","undefined","",""
"https://www.facebook.com/djanday/posts/2493462094019515","1561383023","😀","1571481520","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/djanday/posts/2537343579631366","1563508382","https://bit.ly/2YZhShF
面對天災人禍不斷的地球，需要您我一起護衛，透過無國界的音樂會💌邀請您一起擔任愛的天使","1571481520","https://l.facebook.com/l.php?u=https%3A%2F%2Fbit.ly%2F2YZhShF&h=AT1dA2yGgJJk9uvbqsngLWGtRnWmeAwDkV876hWNy1UKWlnRQseGE7UUJd1aFYEyoPfvuVohhCyalrZyQhDoJnStp-UlujgLm9EVUyOfe0blFi_fSlU2bRvdHBrZ9h2m5ulbBUIRXyXcDOKCBYMp7BArZstkXDIQH2iY95EcyZ19LQ","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQAEDPiw4KMyJ_8W&w=540&h=282&url=http%3A%2F%2Fwww.taijimen.org%2FTJM2016G%2FTJMTV%2Fphotos%2FV_EF12221_pic_640.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDi82EIVmjRucVI","Image may contain: one or more people, crowd and wedding","愛的天使是你是我","近年，世界各地氣候異常，火山爆發地震不斷，地球只有一個，需要人們即刻展開行動共同護衛。每個人都可以是愛的天使，透過無國界的音樂，串連全世界人們的心，共同昂首向前行。"
"https://www.facebook.com/djanday/posts/2597119550320435","1566363607","福岡快閃小旅行，好吃的燒肉一定要吃，看著窗外的藍天，同行允嘉哥有我這個姑姑烤給他，爽度很高呀，等會中場打算去吃水果蛋糕！","1571481520","/djanday/photos/pcb.2597119550320435/2597119320320458/?type=3&__tn__=HH-R&eid=ARD6C3PnjV00jT4Az_qVcJNIWJCWPHKCqoNQ7UO2zNWrBT6sMq8tE81QWSboJ2wb59_SecJlws5rPmXB&__xts__%5B0%5D=68.ARCN-8ZaoI8vtQXIagEeCxCBPGz-cVgpyO--eG3sGBMJOIkb76cCid9-m4zpRxAkuwuV7HbnrDLe7aBnUjzuienWHeF1wdSA3KbU7I4ezqByTXF9DAb4bMvK6k48iPhj7pSgxSVj6UANmnRNWGvPckZdRYIjjYqtpUJhiGPaXmf2PVVne_lzGKPNtilQGo5N_oXa6jOgkOlfgAbd69OtXNZIt3LF15L6j6oiOIV5EfLX76MkFSU3nWJidxdIenzRNgknBR7HcmIPwgoW2Z_bbAfr3qAlwrvuJ11DOR06paBx53PXxhRtsgtWbaG6D2ns-I7pLpAQK-BsUxklpCBL0Cflt4aBpmkDprnzZlNGZ_gIffcarNih0sYsZhF6sjzwHcl_xhql-Yj_Oi1n3m1gu8mwe57GejJ7QJ0nrXENrnwizE4","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-9/s720x720/68859980_2597119323653791_2590380817297440768_o.jpg?_nc_cat=110&_nc_oc=AQlP3bywKLSJifdqEiE1kJ2EOT8m7JDxypUJOiyuTtkJSGrbbmRwJbUYJwY4N0rmftQ&_nc_ht=scontent-sin6-1.xx&oh=0aa06d330d599c218a5ee12bdcf12711&oe=5E63AAFA","undefined","",""
"https://www.facebook.com/djanday/posts/2699544096744646","1570946591","日本颱風過後天氣超藍，我來到日本版夏威夷，美翻了！","1571481521","/djanday/photos/pcb.2699544096744646/2699543610078028/?type=3&__tn__=HH-R&eid=ARAXrLpBmg3ecEzn8SJX6hUYqc_W9_7qte5qpnY39U3TuM4J_BKEQtUPW-Il4LVGvlfZfQ1mPvIsm5Oq&__xts__%5B0%5D=68.ARC8QPVYYqnHKW8YOz4wB23ZRrDXeCb-F2quD5TmDBfc7gMNN-6myPIA34Vw9ogL57_vUl42cUC1ClURutyqbgbirISPjNCFpEAqgUkRPOdMxg-0Gcj3fYd1TAc3h6rO_ydCMz0XPBu-AjShvobH622yv3VQ9K8ZyfD2mf0Sjr7Cn44SUPDDc-2cqQR5Rrb22j0vM031GiBQ7FVDRRkYeXZJFzFizKrh15nNmQfWQJVgN0BO01imToCh5SGzoSsE0aDPEGshC5HUlgzpecRsebe86sKLzDRTysVwClpO-d9OKxATWfj9gu7a5N2qjZl4hbRiOlwJ29le0Ee6tQzVXX2ExA","https://scontent.fbkk5-7.fna.fbcdn.net/v/t1.0-0/p403x403/73022630_2699543613411361_978178750124392448_n.jpg?_nc_cat=107&_nc_oc=AQlb9EByqA7kNf4-YHhqbQXvssIgM8wOUSFZjwUt01i6uIW3jcJ25xUlycNg-oYMXRI&_nc_ht=scontent.fbkk5-7.fna&oh=3bdbc2fd61e576d661dfdd491e751be7&oe=5E610C96","undefined","4",""
"https://www.facebook.com/djanday/posts/2693211090711280","1570675853","國慶連假第一天好天氣，大家有沒有安排去哪呢？
小姑在日本旅行中，在由布院住一晚，不用當天來回來去匆匆逛不到什麼，在這住一晚溫泉飯店，一泊二食再泡湯，悠閒享受旅行的美好！這次入住的根本是森林裡的秘境，可預約車站接駁很方便。","1571481521","/djanday/photos/pcb.2693211090711280/2693210784044644/?type=3&__tn__=HH-R&eid=ARCyixJ8-vbWWWJAlcWasnhJZPTg69ucLWyPsVWs6oltOWsHjnE_VYOykDNWgR6nDAJKCOMun2yaXO0i&__xts__%5B0%5D=68.ARBLqmMtYRXxpjS96VP_kz0c_B-1fQRFlTPkCLI5u4N0TLXnGG-5DX0dPi2kYiVhoieZ7S0IYy_5HKP8cehW1tpDuSLgHSmlswUYTee0FCCYGfFUcDE8N6z22cOZ66dxAQPpBfnItq0fH3tfkufyZF8Qama2g9OgBoZk7xARp9q51uMbD6fiAyQfzFbHAsZihCa5MSW2yqlEYAudqO6MT23d3Z5TFdtES4uit5DuAWvrLsRd8ggiasYv8JV8p_Hy6_yHGnIajtKrdd2GdzQl2OZ_nNbNuVN4_kzh_-Y0Fbf9aIY68iBwHWIu9KbsQn_E64bSJuyCq2yfXwVjtUMmA2a1yg","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p235x350/72487982_2693210794044643_184990954472603648_n.jpg?_nc_cat=109&_nc_oc=AQk_xtvStb94nCsz6SPHjfOeVYKg-Ta5-4UiKJvwZx4TXnmBtnVtlpYbJzQSg3_9V3A&_nc_ht=scontent-sin2-1.xx&oh=a02549cf055c8ad2edd14f6f86b82884&oe=5E23B1A5","undefined","",""
