url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/dolostnews/posts/2152871931685829","1568896130","","1571550686","https://l.facebook.com/l.php?u=https%3A%2F%2Fpetitions.whitehouse.gov%2Fpetition%2Frequest-communist-china-government-redeem-imperial-dynasty-s-bond%3Ffbclid%3DIwAR0MK7_5Lc8OnD3PSDEA7qKbBeddal2qmPrAeRMFr7nI2pqLu1j3XXQ3GPw&h=AT0fakdqiW5fFd4OCIiH-qA_Yt8NVOCiavsPQOPYZHNdGzdG-OxkiTCjft_FUV8XdBfrfiVbk6tDYrTsOd8kb5JghK2qSmO0OSeRxD02WforZ1gzJAnPAySf8KtGSGe9xFaPhWqFTae_DboT60UpdkYTgcvRjckmOZuLFf54KGoPuA","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQA0LuQ3ftDgez-U&w=540&h=282&url=https%3A%2F%2Fpetitions.whitehouse.gov%2Fprofiles%2Fpetitions%2Fthemes%2Fpetitions_responsive%2Fimages%2Ffb_share.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBRDyV7rFU3_T_C","Democracy in danger | We the People: Your Voice in Our Government","Request communist China government to redeem imperial dynasty ‘s bond | We the People: Your Voice in Our Government","The Hukuang Railway bond was sold in 1911 to help fund construction of a rail line stretching from Hankou to Szechuan. After regime established, china doesn’t recognize the debt, of course. A political regimes should inherit their predecessors’ rights and obligations Hong Kong ruled under commun..."
"https://www.facebook.com/dolostnews/posts/2167585290214493","1570531188","","1571550686","https://l.facebook.com/l.php?u=http%3A%2F%2Fwhyhow.online%2Fview2%2F8099%2F&h=AT1XT_pvG5H4x0zrbJ9Nk2cKz0G3ISR_u66iWt2P7A2QRa1ahxw2ORVup-Eus667Ep3tfSGfjyFPWBtVgB9trw-1wSQyyfMVdMLN0VA8H4dAFWpoaFUkzng8hPrKwmGAYr55cZxxjWNRlnSoFHV6_Rn_soL6bVGLCPAFNkT2aLqPSZi17epBOOwTX_p0EFjlF45f_l-MQ2-WfV-x1Yikn-UN-kQGUMHKtDz7yO6gdtbFNctpua1vthWXEYhxrqyDRdMzz7niDln5f2ugMCd9eVR-XwcBicEDDVwW7JTKqILk37K7BuwymgxSiX_489vCzKzbdhN0veDpmmRxrFCopsKNHyX2Q59QW3y0BLZMYnNzj0TmlhRz3F3FRNNnFq6R9NDC1sXDFWE7tbXrxQgueD7Hu3_KF97a_vTN8zxfPc5YoTlFBWIuSA0xBJdo8Zoh6MensBYtPuUQ9GjDaAxcvtxoE_C0dqmoA81Urr_XZjYRyL_0kOCVG480SKsxBl9cSFFWP4sMpKENWphwguRBYuPkrcTPeu43KmUcU2Fd5tw4rzheadAzAO6pwZHEvh_ZbwB_NBkgJr-7ggMJn2DAu61iO-BrcrxuEC-s3zsobDtBuZcG67Nq5cTx881irQcFIcIqszUDchOBDrYBa60","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQBVKOr23fEekERL&w=540&h=282&url=http%3A%2F%2Fwhyhow.online%2Fwp-content%2Fuploads%2F2019%2F10%2F%E5%8D%81%E6%9C%88%E5%85%AB%E6%97%A5-%E6%B5%B7%E6%80%A1%E5%B0%8D%E5%87%BA%E5%85%A8%E8%BA%AB%E9%BB%91%E8%A1%AB%E6%B5%AE%E5%B1%8D.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBQGZtZFpsQitgW","Image may contain: one or more people and text","慎入！十月八日 海怡對出全身黑衫浮屍 |","Home 時事新聞 慎入！十月八日 海怡對出全... 時事新聞 慎入！十月八日 海怡對出全身黑衫浮屍 由 admin - 十月 8, 2019 在Facebook上分享 鳴叫在twitter Views: 2 (慎入) 時間：10月8日約17:00 地點：海怡對出海面 又有浮屍，全身黑衫，似係...."
"https://www.facebook.com/dolostnews/posts/2171082243198131","1570898841","","1571550686","/watch/justadullan/?__xts__%5B0%5D=68.ARBVT9PN2PJFAtslVz26IJLjTqx4ZYoHKd3zUNR68vUZoNyWL5BlLGhQOCyFtHHLDrhkiVEJnqB5zHi2nF_iwA59a9yiuSPhywoowfJf-KVGL-5B8NWQ2B4ItsKfR8f-xp8z6vqT8i3DJEEmtylT6l2vo8N68043eBkJdGdS8fQRIzMb1VzetKrxTvk7QRZeXDQAjYG1If_yrCLRJOo4bF42aEbpw-QUYz7jtKcqhKG9ZFryhMl88FyYo620w-PQ_M_U9RCsluMfXQzSLGbyBpMl0N57lmAxZXkazb78hDd0HicNyC1x9mk6_xrKc4HAdRprTzY4Ljw4R-vI5wahQcBKYGi7FP7IVg1Ej6JNgK6pTNqL5DAgkPn-3Pbn2ou-oOBwDnwHkJ4_3l9qZ7zzkE6sFpXb9g7wYzcH1b4sC4V62S9t9Bie_n9WSMCqdCBB4sietlcWHhjBnpX6hMDdze-se6D-WrZem6ruOlmTsDykiIb6yEWn1B2oG5H6TjLQLnxECw&__tn__=kFFHHH-R","https://scontent.fhan2-3.fna.fbcdn.net/v/t15.5256-10/70526680_1696029597196326_4051722415896526848_n.jpg?_nc_cat=107&_nc_oc=AQlvXU7jREA-k7gfypdL54hoskMMZMra8jZi3mn5SaWcIQoQiA7_OIkXJIb6smxDnsg&_nc_ht=scontent.fhan2-3.fna&oh=895cec215526669e3d6e11fb1c93fcfd&oe=5E1837B4","undefined","只是堵藍","49.608 lượt xem"
"https://www.facebook.com/dolostnews/posts/2176173242689031","1571388788","","1571550686","/HateKPPolitics/photos/a.2779823118757609/3097863003620284/?type=3&eid=ARAi7KNs9hCENaMowEfJvI6yDqL04MKv8GX3I7Ya_FxbPKzjyuSBJMgiLND8m91ubxOkkIdkfiLpTIcs&__xts__%5B0%5D=68.ARBH-NMhQ525R2dq30EtzsqQoNDEWvk1bwXW9W6iijLwJUM-_kj3lkzFMPpaDQrl4YE0dxexjstY_W3e1w3BvrWmfQvNNuQOJWKqj_GPkAJ2_ItAIVLik_oYLVmXH6gj6ThXMSK7417HQqPMr4G-C2xJ5TtQPVvCVB7Y6fI9uHNvlHKVK-dpgkhFEa2jyftBzjrZLdwpQwKGTYyyPCDxkr1xfCWF0caOlyRNh6n_giN3J2LLEGGcBKAgsgiY0J-gZPRjxD8TJrFuMNqQKB-0hwxNcA4HtR3kMrNsC3Z0zU6RXwNg7LCcxaQWjFqURc_Nu8Nu1IeAK4JaSO6fOtv2jlDD0LjLiFX_O5BAU_HMlj91FbVNYhtZfwlMjP9O3xG_XB0abAuHw-AYxjbzUsk4zZUnMux1wdoeE5MUYLso7KdQ-r4jRzTcwN511NJjAcL5rrj99idIKkTfDZSa1BV0ISnbPaU-DOafiH_gv69TmKFl33WWg_CBasqttV97Yg&__tn__=EHH-R","https://scontent.fcgk6-1.fna.fbcdn.net/v/t1.0-0/p526x296/73390829_3097863010286950_6653347066732871680_n.jpg?_nc_cat=107&_nc_oc=AQmxCHAq8D7mjKQlhM6LMZcuwr9OGUTRqooXydkJJRPucSRordtzlNDLy9CjudXJBzE&_nc_ht=scontent.fcgk6-1.fna&oh=d8118983c4c2f272734af984ee17997e&oe=5E17877C","undefined","百柯全書",""
"https://www.facebook.com/dolostnews/posts/2173281109644911","1571120676","","1571550686","https://l.facebook.com/l.php?u=https%3A%2F%2Fthestandnews.com%2Fpolitics%2F%25E5%25B0%2588%25E8%25A8%25AA-%25E4%25B8%2589%25E5%2580%258B%25E6%2594%25BE%25E7%2581%25AB%25E7%259A%2584%25E5%25B0%2591%25E5%25B9%25B4-%25E5%2592%258C%25E7%2590%2586%25E9%259D%259E%25E6%2580%258E%25E6%25A8%25A3%25E8%25AE%258A%25E6%2588%2590-%25E7%2581%25AB%25E9%25AD%2594%25E6%25B3%2595%25E5%25B8%25AB%2F&h=AT0DM31kAQcHornSREO7y6MTFC03rBy0VyX7KtDoXQahzKcrxHVJRXHd2qmL5ejWsOCyWoMLtTIvSodO28fgYuT-ftGNLRR0sgvKU70oV8ec9qV_7C5Dc8KuLitzMmqo3E1NqegFpZNwgZiPiTuDXJEORfQ_4NMgn-kskcPg-BiFgllN_bCXdTcY4LPTUZJe64dcb_5Fg105MEs04gzQoq7HxAuDQ87n_7EsfpWL-qgz0e3_rmh91E2Vlqevh2O8G7-LS-LOdItwldNfHnNgf9BXz1TYykTEAlL1pETspf7qc7N82JeXR-buotIpdAf9FNZEsNcT6LWAFUQOlHeNq7igfR7wzvj7CR6bHexNpHi3JlKw2SoOvPx6CXbjcKaleQstj3Te36jsij1nlAgAgBUSlRe-ivxKX7xCSz0yBQLQgvFpZIhy_WNT_msCFn0_Av8T4jf1VUan5Ef4tMWBWJCf2X85zE4FtKz1WRoQi9obqGy57gyVhuBKImKkFKTFidpPF1vKLzaRPbtxV_OnWcOhFkY7yotsUfeAOxcIy7EWWgMatDGA35SL1fQBgbmALlQzPZD3aItP1yH5468BCVN5IM6Hb1OJjC-ZReEsXULiMwHNlijGRjtI3gKdLXoBi8H0XLwGLIp9UnGmXUI","https://external.fcgk13-1.fna.fbcdn.net/safe_image.php?d=AQBESjiTRyiJiTTT&w=540&h=282&url=https%3A%2F%2Fcdn.thestandnews.com%2Fmedia%2Fphotos%2Fcache%2Ffireee-09_tCcsY_1200x630cropcenter.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQANP6dMpP7ABydg","Gambar mungkin berisi: satu orang atau lebih dan teks","【專訪】三個放火的少年　和理非怎樣變「火魔法師」？　武力邊緣上的抗爭 | 立場人語 | 立場新聞","小康之家的睡房內，大學生阿芝握著一個裝了水的膠樽，反覆練習投擲的姿勢。為免驚動家人和弄壞房中物..."
"https://www.facebook.com/dolostnews/posts/2166942363612119","1570459511","","1571550687","/watch/?ref=external&v=2469207586527706&__xts__%5B0%5D=68.ARAlQ4fd14MTZ17iIxOaTLvFU9gkInNiY7QQEW-Bmy2cUc8lZE4KpDF_BPsXRU1RdJqNqyjJiMdxlZizqpJQtmx-bBiohqhNcXnodf4UwNQGZtrKxVjS0g6wB1XPR076tNM1EO6tcUIAL8Ghs_yknvRD5rMcpWDXLI5aRd_2U5jNFUJ8AJHxeRGivjMPxpiNqLu0oz3JM8WayP9SmfscHWVw3LITKXaX5L0pzk10VuADYq-OqAplSUq8B-1KrhoijJduSVvRA7Zh8pU8vJWtTYo3c3DtkpBc1e5V4prz4KeNV6rdxk1rm6DgPN-1i7FJHQ0u9wY2n5HUhcw58i5rwauou5dl81mXZNt8uKRMoEha3Bob2rxP_b0XouIV22WaGd2IvNWCnX5xgh2eGZHYaId3akiTTF8QKTD7L02jAZZI7yy1jnd4a8NzLX6qJLI9QHrxrUs8zEVE07qx_x1METk3zWH4twmQoUycILskLN_qxzXBbmlJTnnUCbTb0Ugna_33ew&__tn__=kFFHHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t15.13418-10/71763733_2392172387709060_7146026914195439616_n.jpeg?_nc_cat=104&_nc_oc=AQmQ-Iihhm-_NI653Xu7tc23yFrdUbZ2HxM7fiF-VKd5-DIs28rBqsCa4ol4u87I_d8&_nc_ht=scontent-nrt1-1.xx&oh=bd4d9d264e2f233935b70b5dcf46217c&oe=5E26924C","undefined","【2210 馬鞍山新港城】立場妹妹被黑警打","Posted by 飛 影"
"https://www.facebook.com/dolostnews/posts/2175329929440029","1571307933","","1571550687","/standnewshk/photos/a.720050934747196/2537707659648172/?type=3&eid=ARDWHNtFn6yVqCFnaAPHISG622I4gU57kJKflMc7-xaXfZJComLiEAhSSNx-GazRWu3CAU1wfI3kR-1Z&__xts__%5B0%5D=68.ARAjLm_hZSJY9FB8sYQ3dATjA-4egTP82ltzZlQWnySRrJU3bNpFcOS37TELm2c7YVs5ZeEaA6_2Z8nXeX2oPxoVSsBGgz26CIkEkT6xXtfvB7onrTfzSkA3Vfs87QR1TVR7gQNDvVNh0HN5NIlC09ToDozSmDH0BC02XSfziTrtMwBRVTYKYHwuPWTzJ0WicxEIge6CyYzMOi3obtzMVnf4ixX9BXssUivmyQ_Gh2exxLi2LXJk4wWFlGbxwZIII-jpIrquR8X8sL4qOfjbqe7ZKWwpVue93RsuPanzJyQ_0boKdCdZHDRVrXQ2naeqoOME-8R_b8eqQL1ZqjfWcILKY85wELRGcVh9FqMoWqt70iYvSG5YTuT_uFcMGT_ZDVnaoUJ9BczaPcRLKxtPx7l_un0b71dsC2iv6WeR3ESnbSFk3olRvTH0DkXUESahg5mGFXriyl99aZPK_i1iB-j3cHL-MFmnNEXBMmto7pu7gTPiKMETutVkLcJa&__tn__=EEHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/72319418_2537707662981505_7297687028370505728_n.png?_nc_cat=106&_nc_oc=AQkCWZ346ixfQToUUzYblGwtCy0EQ_czfogBg0BOkx-_Y85mZbSw7-AB4MlPHULq_VM&_nc_ht=scontent-nrt1-1.xx&oh=b0a18aa8a8cb67a65432bc25c1d563ba&oe=5E1ACCB2","undefined","Stand News 立場新聞",""
"https://www.facebook.com/dolostnews/posts/2177076099265412","1571466899","內文：
除了德國，比如加拿大國會也有類似計劃。這可以視為德國繼接收黃台仰、李東昇兩位政治難民之後，進一步對香港議題表態。全程協調外交接觸的 Hong Kong
Watch 信托人之一的 Ms Calverley 向我透露，整件事的開端由接納香港難民開始。2018 年 6
月，黃台仰李東昇拿到德國難民資格，就開始與國會「人權及人道主義援助委員會」頻繁接觸，通過直接詢問黃李二人，德方對香港政治實況了解突飛猛進。黃李二人也提出旺角騷亂、大量義士因「暴動罪」入獄、梁游被
DQ 等等情事。","1571550687","https://l.facebook.com/l.php?u=https%3A%2F%2Fthestandnews.com%2Fpolitics%2F%25E8%25AD%25B0%25E5%2593%25A1%25E4%25BF%259D%25E8%25AD%25B7%25E8%25AD%25B0%25E5%2593%25A1%25E8%25A8%2588%25E5%258A%2583-%25E5%25BE%25B7%25E8%25AD%25B0%25E5%2593%25A1%25E7%2582%25BA%25E4%25BD%2595%25E9%2587%258D%25E8%25A6%2596%25E6%25A2%2581%25E5%25A4%25A9%25E7%2590%25A6%25E5%2592%258C%25E6%25A2%2581%25E6%25B8%25B8%25E6%25A1%2588%2F&h=AT0Js2Qh794LGE0A6isbet1hwCpXRfl7nlSFZa8Px5wQq2Q36CRTTuEsQdJarAGcOeQcUzzeg3R3Dn0FChAHTcJ3FgUsnzNen2TCcKIbDWRL6k5pp6DnhElutv8_SFuS5ka4m6RjDW5a49l8z5soTEzH8wKnVNZ5KwoWJ6RuYLsK7sHIEHayyS8FiMNKjWjMkY2B1fJ0FWH0Bdy00zO0sYnP1Rre8p4dexdA1duMHKwraX0KgMgWFMh4UA9mK2FddUx0FcMOyf6Uiqcv0DHLwk_LaazxvLIjCj99jmsnSHwXHyD-84oLZC06pG7QPwyMNzgxhu1uTfEs82D7KcKE7fMyqDcF3fEiMguiO3wGlIOhKt_OO7_1LsIl3B9_XFJQ17mXYjL7ZHP6b3BDnsil2sZAmcSvNFMSyeWb47toCAKz1FjsOKOIXGx7QaW4zrnPgO5bBtuKxXUGR6LKuPDEGqNWC9SxDDUwxGjLwYSb7Zp5vISPWsvXOuUFlSZi4gQswZgrv4H6teybwFGd0oMFjHpa3uwPB-nYnyZgfnflEbtO8jE7L_xEU879Z0syxTcTYtIl0B-8jQ9eDXx-0NsTn1xlTZh0C4qEMjGosmzO1z_KiHo-bSWCXJWC7igMMOasRXIMn0oIfK4ygfwU--g","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQBMxvIyCIbtWKLz&w=540&h=282&url=https%3A%2F%2Fcdn.thestandnews.com%2Fmedia%2Fphotos%2Fcache%2Fdq-01_CW1lb_1200x630cropcenter.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCS8SdtyRKyPuL6","Image may contain: one or more people, people standing and eyeglasses","「議員保護議員計劃」— 德議員為何重視梁天琦和梁游案？ | 盧斯達 | 立場新聞","德國聯邦國會確認，通過「議員保護議員計劃」(PSP) 支援香港兩名 DQ 受害者 — 梁天琦和..."
"https://www.facebook.com/dolostnews/posts/2174542399518782","1571237650","","1571550687","https://l.facebook.com/l.php?u=https%3A%2F%2Fthestandnews.com%2Fpolitics%2F%25E5%25B2%2591%25E5%25AD%2590%25E6%259D%25B0%25E9%2581%2587%25E8%25A5%25B2-%25E8%25AD%25A6-%25E5%25BC%25B7%25E7%2583%2588%25E8%25AD%25B4%25E8%25B2%25AC%25E6%259A%25B4%25E5%258A%259B-8-%25E6%259C%2588%25E5%258F%2597%25E8%25A5%25B2%25E6%25A1%2588%25E5%25B7%25B2%25E6%258B%2598%25E4%25B8%2589%25E4%25BA%25BA%2F&h=AT2IWdkHNrqFKMxynchU4DeVegNCha6J3EknGsBB-IC87_7wK-5C6wpbc1j-c3F6NDJds0ILpvAs40zNqPJCUJClMaqB4vt7XNq2SrIqD6JIpNu1n_QkUmRifQw5Na6xJpUu5FUykeGcHhNxxmUGf0yHkz8vCmXbrT3eng6ZJtwenuT6nxMxaf537Bf2-ci0pMgkW2dkqlt_gHgcsK0-GZHOv_wfui0cEBcjqWcbl3DskyU0ltG3dxZg3H4AoKOsle10tIEqqxnI2lLwCDqEk1tO9Y26YdHE8I0CnYK-gyQcq6YeFxr6DKjOjK9sCGxjXsmDADDMVfutLrRCL6swPNrob_nqm3OWIkrHSef9ISYmJQCsDONqoulwNTa5FJxr49tMxA8ErJ_rlpy82ie0Ufi8kerXK2aW7oNILaHzeXWRcaCN35z-52_n1tGffhPOqXwZ8tTxWDS4CzS-5aTCeO8vMSW49SpUOdQsOboTwIzZFc09vtUWE_zp2dgaF4cMEZOSKA94nHEBMGFY-7p5vdU4UlWuQ2_hQEM1EhodOkKwFMb6ix8u-DVK2Tn425nMWTO2p6GSAMCXw5SCcBfv9qi_EeWg2B1c7cUjbrCD-z48yFOZjF6QBE9jnlhjrXoRFVLjYiQhLf6b9y45WO4","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQCAnQSDuxYPdDmc&w=540&h=282&url=https%3A%2F%2Fcdn.thestandnews.com%2Fmedia%2Fphotos%2Fcache%2F20191016-13_yx6ph_1200x630cropcenter.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCthUUpbklgmuhL","Image may contain: one or more people and text","【岑子杰遇襲】警：強烈譴責暴力　8 月受襲案已拘三人 | 立場報道 | 立場新聞","民陣召集人岑子杰今日在旺角鴉蘭里被四至五人襲擊，；被鐵槌攻擊致頭部大量流血。警方晚上發聲明強烈..."
"https://www.facebook.com/dolostnews/posts/2171059963200359","1570896794","","1571550687","https://www.facebook.com/fanpiece/?__xts__%5B0%5D=68.ARAUvgOjffA6b6zysY4_APgcoojqwl8fd2d3SPiDt1EZ2w_uVxoLIAJHabwjCZ8s3uC-f5svS3pdS6-OXWEF56RVxckY3qdvHkDIgKnO1NpViiB0Tup9bsIKGe39zBUdU4baJZq7ZUMxcxkJ_J3getjR8NeEPc-i8vgZyiwGHKP3airKvjE_6dAVzgysYvqi8fdg3frH05OFalnd5hkaOU9wGAsEv-ZEUv2p1ikPIDN7-dIG2QuKtDLpx2W-lSg9mdaU8b3IVzYaxF4CVq-9mptiJMJDDdpIoEwZoSqH0GgV98GnTFOhUZ75rwX3v-O6tOlNTqD6MuiPcjqcdVdQ3xcrvqTlQCbZKHcVMC3EYXO5Y9Z6XfyeOE7nsr4J8kdJysvcNETaTLaJW-oQVKT3EFpz14_P5U3BbaoDeeTqmi-fVoY-KkKmMPFyxOV2ASyhr36pn4W0F-FJlvpypyR-HK-qjXl1JIsw2NsCRx_dV2R-ksMx3kZcv32jpWLDl1E7vIp1QA&__tn__=kFFHHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t15.5256-10/69746179_1212566332285327_3526011765961785344_n.jpg?_nc_cat=111&_nc_oc=AQkmSMIeAESF_bHrsv_2l0tGFiJbZoKrv7KrVc4IROshNG92-YErz7vfSSqduKpATjY&_nc_ht=scontent-sin6-2.xx&oh=38b19eaeb65ed9768e179d2d6358b2ca&oe=5E5F704D","undefined","FanPiece","732,358 Views"
