url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/furch.photo/posts/490038521601327","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579286918,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/furch.photo/posts/414083615863485","1559119405","Panasonic 也玩 APS-C？ Lumix V1 新機規格與照片流出
.
看起來這是一台採用 Panasonic S1 外殼的 APS-C 相機，2400 萬畫素感光元件，可錄製 4K 60p 或 6K 30p 動態影像、支援
All-I 與 LongGOP 編碼，具備 14bit RAW 且連拍達到 12fps。從機身與旋鈕位置來看，這台相機應該九成以上採用與 S1、S1R
相同的操作配置，同時它也是「L-Mount」的成員之一。
.
Panasonic 最近的策略有點謎，不過即便 APS-C 無反市場已有 Canon、Sony、Fujifilm 耕耘多年，這台「Panasonic
V1」還是有一點空間可以切入，最主要的點應該還是在「錄影」部分。
.
其一是 APS-C 基本上可視作是 Super 35mm，錄影方面的資源已很豐富，其二是在 APS-C 的規格上 L-Mount
缺乏鏡頭群的缺點反而可以得到緩解，現有的 Leica TL 鏡頭可以直接使用，Sigma 所出的一票 APS-C
無反鏡頭也可以換個接環迅速補上支援（但這些鏡頭是否適合錄影，那可能又是另外一回事了）。
.
如果爆料屬實，Panasonic 應該會是史上第一家同時橫跨 M4/3、APS-C、全片幅 三種系統的相機品牌（某種角度來說 Leica 也算是
XD），但它的缺點自然不用多說，類似 S1、S1R 的巨大體積使得這台相機註定與某些市場絕緣，從 6K 30p
來看售價走的也是頂級路線，對於提升市佔率的效果想必有限。另一個隱憂是按照 Panasonic 的尿性，這台 V1 肯定又是目前唯一採用對比對焦（DFD）的
APS-C 無反新機，DFD 在錄影時其實仍有不少限制。
.
但總歸來說，「V1」的推出大概對既有的 APS-C 無反市場不會有太多影響，我們也不妨反過來想，如果一開始只把目標鎖定在 5% 的市佔率，並試圖增加既有
L-Mount 鏡頭的流通率，那麼 V1 這種特殊的機身定位也就不難讓人理解了。
.
圖來源：https://www.panasonicff.com/breaking-first-leaked-image-sp…/","1571352078","/furch.photo/photos/a.133620803909769/414081729197007/?type=3&eid=ARBZE6KUUnss2RNrmbewHhf6g0MyigDdWU87fr8t9smxdyE_3f8pIqo7c75CfV5TWiuNXxt5RAY-H0Hc&__xts__%5B0%5D=68.ARDhbZpZdvZykgZXgbpPubhxh6m0i-Y8V5knU7Bj2JIMMdC6j7vFlko8n_I0ntRaI8meLfBOdo1VKn6j49E4wy1rLUVmKm-4qng8lHsA7WBYcLJTZORvhu3mgjAbwSUg1qIv0yekCzediXNj3Lvo0fCXXHhYHBMjNX3sVybA_Ynia4K0RyX-JgASlvc4-QTWNEBA9l1CWsAT74wcWNwwhorCCctCuE7YmCcaKz2dMXCx_EahhHOJejYEXGeTUtomPM9Jrt1wXti-GjgwCK4Xiu70GIKbA_uq-7-CqwKEOEbQb1XaDs9IwVOq09ZLWyg7-1nfZ3H0-uYX5Vdwj4o7zWY&__tn__=EHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p280x280/61258204_414081732530340_3307063752074985472_n.jpg?_nc_cat=102&_nc_oc=AQkK6yCNtRbTyadu1l3WXorHgcDUPXZLtz0Y59Iwj7MWLXe5-WJHO3cqh6ckaU6A1_M&_nc_ht=scontent-nrt1-1.xx&oh=b31a9446f1e3ff8a89a4e6d9be9e511f&oe=5E1CB42B","undefined","",""
"https://www.facebook.com/furch.photo/posts/477130092892170","1568795514","Sony E 16-55mm F2.8 G 在今天正式上市
.
應該有些人已經提前知道價格了（？）不過這還是要說，這比起我原本預期的還要低許多，定價 1,400 美金（約台幣 43,350）在台灣只賣
34,880，等於打了八折，幾乎便宜了一萬啊！
.
初入手的感想，這顆鏡頭的體積比預期小很多，大概相當於 24GM 的大小然後再瘦一點，以一顆恆定 F2.8 的變焦鏡頭來說確實難得。如果考量到同級的競爭對手例如
Fujifilm XF 16-55mm F2.8 的話，Sony 這顆的重量僅只有 494g，相當於輕了 150g，口徑也僅有 67mm。
.
因為體積精簡的緣故，原本推測這顆鏡頭可能會比較仰賴數位修正，但實際上在廣角端的修正幅度比預期中小。此外令人印象深刻的是它的散景，在 55mm F2.8
端的表現確實很不錯，若說有什麼小缺點，那應該就是沒有防手震了吧，不過以這價格、定位來說，目前的同級競品也都沒有防震就是了。
.
很怪的是 APS-C 格式的無反機身發展這麼久，到目前也僅僅只有 2 顆恆定 F2.8 的標準變焦鏡皇了（Fujifilm、Sony），如果算上已經斷炊的
Samsung 16-50mm F2-2.8 也才三顆，這真的是很奇妙的狀況...XD",1579286928,"/furch.photo/photos/pcb.477130092892170/477129809558865/?type=3&__tn__=HH-R&eid=ARDmFB61My87F_fS5VlQKXHmvp6Qmr9hNlbpUJZciV53fNZ4NP5-rqoQKdsoiosWmPqr7KrgWMDyWve7&__xts__%5B0%5D=68.ARCKZduvazrTSNBpooB4Gdvz7dddYPCi9HIUTWtImhQiA0068nne56lgWsux0U4cUxDFXaDxtwyGYWMGzWkYEFX2AeOfmq96GgwJNX0pIJcFhx2Q7TJrrhMwYjwcXmtPsqiU3J-SsP8NQeAxdG-lbya0gWGSA1c-0huiHAbTRHASSSLKV6cttVYB96TARc3qI0EFCtWIF-BcsqRn8RcdbUfWcbV06fa8h56w6EhMpxtfWaJTBvRpbDwXAUCjKzqjzI4b54ieWDq6Kha1yLGmKtvlogrHhiIouVJA-vqCH-CFAcLnFUHu8LpKZOrxSzWgQqVWyQslaV7HirWuoz-3YAU",undefined,undefined,"",""
"https://www.facebook.com/furch.photo/posts/477704786168034","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579286917,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/furch.photo/posts/445133799425133","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579286934,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/furch.photo/posts/464066100865236","1566985555","Sony a6600、a6100、兩顆 E 環新鏡頭提前流出！
.
雖然 Sony 要到今天晚上 22:00 才會正式發表新機，不過大家所沒想到的是新機資訊已經提前走漏了，而且是「整個完整的 PDF
檔」，堪稱史上最高規格的流出XD 
.
先說 a6600，它的對焦規格（0.02 秒、425 點相位對焦點）、連拍速度、錄影規格都與 a6400 相同，不同之處在於它採用了 A73 的「Z
電池」，續航力大幅上升，握把也變得更加厚實，並且錄影可使用眼部追焦、新增了監聽埠，此外它也配備了機身五軸防震。雖然沒有太多驚喜，不過這確實是 a6500
的小幅升級版。
.
再來是入門版的 a6100，採用了與 a6400 同級的對焦、連拍、錄影規格，最高 ISO 小幅縮減至 51200，採用舊的 FW 電池，觀景窗解析度較低為
144 萬點，錄影少了 S-Log2/S-Log3 可選，此外錄影也沒有眼部追焦功能。或許可以把它看成 a6000 和 a6400 的混血兒，它具備 a6000
的定位以及 a6400 的追焦與對焦性能。
.
不過我想比較令人興奮的消息應該是兩顆 APS-C 新鏡頭吧！分別是：SEL 16-55mm F2.8 G、SEL 70-350mm F4.5-6.3
G，終於補齊了 E 環 F2.8 標準變焦鏡以及望遠變焦鏡的陣容了，等效焦距分別是 24-82.5mm 以及 105-525mm，相信可以讓 a6X00
系列的應用更加完整，希望稍晚公佈的售價也能夠讓人生火。
.
從型號看起來，a6100、a6600 應該算是小改款更新，APS-C 機身佈局由原本的 a6000 → a6300 → a6500 變成 a6100 →
a6400 → a6600，至於將來還會不會有媲美 A9 等級的 APS-C 機身呢？就讓我們繼續看下去吧....",1579286921,"/furch.photo/photos/pcb.464066100865236/464067547531758/?type=3&__tn__=HH-R&eid=ARC4GgmoTV-bPsdXgXzeQSWqLtEugh-uGUAYSKQGd8-tAjsij_YGJ638PUCU3Z9DWhTEdD4HIq2QGuiH&__xts__%5B0%5D=68.ARCi9bknfrkPLgG3xwUDyduR7boxLysNLYKEAkD79zYZdOjx9OoPEGmZeXN2siHgFG2Nic1rcfhcskP-5mRYoYSipABpteOlgVpjuDr4YYeO-sMQbrqicIWMuVQVBKcgu2YUPUYQ9R11VcaLlbYjCZj6F7u6YAXBWXIB3o-7uvjGPg52P4fhGUfJpj_47OZb6Zrp9_SRUb8xxxqmwtKx2vGf7zAf86VOF8SGvpR2q8MWgr8tBW5h9K0XJBcCy4zeGGRc6iQmWp4IE2QYQiPhnil3joiYnwzB7uPHrCsvDEQhgjdKDucdIh8U-vo9FulQbPxSPV-DNkduCnwNgmH5O7I","https://scontent.fbkk10-1.fna.fbcdn.net/v/t1.0-0/p235x350/69478885_464067554198424_2219966259116638208_o.png?_nc_cat=109&_nc_ohc=civxNy61QXwAX_nHr0O&_nc_ht=scontent.fbkk10-1.fna&oh=9130c73e4b3498810dd2ce21631f5785&oe=5E8F59C0",undefined,"+3",""
"https://www.facebook.com/furch.photo/posts/385234765415037","1554084000","Sony 相機拍動態的對焦區域設定 -- 基本通則

 「Sony 相機的對焦區域選項也太多了吧！」
「拍攝動態時到底該用哪個對焦點選項？」
如果有這些疑問，這張圖或許可以幫助你認識一下 Sony 相機的設定方法。
.
這份資料其實是來自於 Sony 原廠公布的「Sony A9
焦點設定指南」，原圖是日文，我將它翻譯並稍作編修後製成這張圖，它用兩種模式來幫動態攝影做分類，分別是「移動速度」以及「可預測性」。
.
可預測的動態目標例如火車、田徑、飛機，不可預測的目標則如飛羽、球賽、賽車等等。「寬」與「對焦範圍」適用於移動快速與難以預測的目標，「擴充彈性定點」的意思則是若相機沒辦法在指定的對焦點內對焦，則會自動以擴充的區域（對焦點周圍往外延伸）對焦。
.
當然，有拍過動態的都知道這張圖並不一定代表所有狀況，有時候我為了構圖方便，也會用「對焦區域」來拍球賽或是賽車。不過如果是沒拍過、第一次嘗試過的動態題材，這張圖倒是可以幫大家建立一些基本觀念。","1571352079","/furch.photo/photos/a.133620803909769/385234175415096/?type=3&eid=ARDwK6Q6r6yO8bxEvXza1Bcm_eIjJBm91NMqDrs9ytkFRnVa7aCl7sAbBoUX9zC27E-s3jRUJb8s1h70&__xts__%5B0%5D=68.ARCVwVH06OR27LX5-2FKXf8c8KvcTQNasN6yu6jDaUNJL3G9vtwI1Hkb5_l0Ky8xy3Bf0pwE3oX1SaDcwrmKSfXWkTDL-Wh3KNjHwQcBt-7U63Q3bL4V6_ZlAnNK7nHhvW5QVt7F40K80fUM4GYdYz-zl9sA6kHaVuf7S6Debf8gqRJyKxM2DXyxfQsP1IGqEPNwJmpWVPcPhO4KdbRpX2eei4JaTAs9S9lb--YhX5_vcXY0PYIXmqyZqmxVn_edTrRICmpP-f4npNbyR5hVaR0jSIthFQxEm4DE5XCZ0glGC8LiLTZMLOo5HPaN3Ny9EIUZekNImayGbSNo5J3kZmA&__tn__=EHH-R","https://scontent.fcgk12-1.fna.fbcdn.net/v/t1.0-0/p526x296/55927930_385234178748429_7856231556526899200_n.png?_nc_cat=110&_nc_oc=AQlULgywJn91PeeSACfhGZ1QvBQJfuUKN7Nd6IovVm62xYAqfAdWzIa23CJVYSw_pG8&_nc_ht=scontent.fcgk12-1.fna&oh=79a24da84f0eb46902ebe775c4ef2fdf&oe=5E25FBCF","undefined","",""
"https://www.facebook.com/furch.photo/posts/455192111752635","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579286929,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/furch.photo/posts/486029898668856","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579286931,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/furch.photo/posts/473032693301910","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579286926,undefined,undefined,undefined,undefined,undefined
