url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/gagaoolalafilm/posts/2449983638658337","1570885201","在觀護所中大家幾乎絕口不提同志議題，
但不代表他們並不存在。
只是禁果也會帶來《後果》......
電影傳送門📽️ https://pse.is/GYSNV","1571367038","https://l.facebook.com/l.php?u=https%3A%2F%2Fgagatai.com%2Ftvmovie%2Ffilmreviews%2F%25E3%2580%258A%25E5%25BE%258C%25E6%259E%259C%25E3%2580%258B%25E5%25BD%25B1%25E8%25A9%2595%25EF%25BC%259A%25E4%25BB%25A5%25E9%2582%258A%25E7%25B7%25A3%25E5%2590%258C%25E5%25BF%2597%25E9%259D%2592%25E5%25B0%2591%25E5%25B9%25B4%25E7%259A%2584%25E5%25A3%2593%25E6%258A%2591%25E6%2583%2585%25E6%2585%25BE-%25E5%258F%258D%25E6%2598%25A0%25E5%2585%25B1%25E7%2594%25A2%25E9%25AB%2594%25E7%25B3%25BB%25E7%2593%25A6%25E8%25A7%25A3%25E5%25BE%258C%25E7%259A%2584%25E7%2584%25A1%25E5%258A%259B%25E8%2588%2587%25E7%25B5%2595%25E6%259C%259B&h=AT3scdAic5ScPnmTciqMOMaTq-OUITAuOy5E6byPMdcumli46C0G1p8F--cFwbqdLKPlchTCPZDvw4mrNP8wur1lIhOQ6iVjyM4gEATSnGCI8UJ2XFpf6LQt24gawsYairb9ebBLWRpmyUN-4cz-zpbo9hUW1vQTX8dQCS1FiGn4gB7GU9duBtJvwGTdbegqel6TnR_JhD6U9M-fGXtZl9_OuBuo09sSQEzYuYu4d0y-Z3BGfN4lozAJ1DPwDHFv-UpYUwpIjuLvzT3P092mkY1xZKyixE0oFl8jJKJBb26d51hqllUpLw5nEFywAAPC9cZHJc3YFTymnHgYdRMfuRyIEl3WRrJq4GtxaKbtfqwj5SsJeWSxvMenjIN3_gbFpnOdXhasOlGnMt_XrMlvqjXyHEaJ-SsJG31EayKeMOThZnJBmqtHNDeVBZk_AgjZAZf9OCPLnjlG3TinIxw6lFmzqKw0D8p_iRaSoMtEkCqVs3d_D_5lh_r3Xsca-BPQrC-BHu5KnjtNWxxhnoIGE-Jhv5h_s202Df8hwrTMUaKmOucGUYjfiAQOm35ZmRt639WLuc-x4UojfLjljpj33hG3IajO55HvQDbdWlLbdiq0JyirxX8I3uw_hdcuS49Ttwafh5X4vKaf75NL-So","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQCANFiBRYByrMKW&w=540&h=282&url=https%3A%2F%2Fgagatai.com%2Fsites%2Fdefault%2Ffiles%2Fimage%2F2019%2F43761%2F%25E5%25BE%258C%25E6%259E%259C1s.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDKXNf2pOQ2Chnc","Gambar mungkin berisi: satu orang atau lebih, pohon, luar ruangan dan dekat","《後果》影評：以邊緣同志青少年的壓抑情慾 反映共產體系瓦解後的無力與絕望 | Film Reviews 影評 | GagaTai 嘎嘎台","文／喬治鎊 《後果》（Consequences，2018）是一部難得來自中歐及東歐的同志題材電影，編導達科許坦特（Darko Štante）以擔任觀護所輔導員的親身觀察，呈現生..."
"https://www.facebook.com/gagaoolalafilm/posts/2445607775762590","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571367038","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/gagaoolalafilm/posts/2454680968188604","1571061601","得獎的是......軍犬！！！
本編正式宣告敲碗結束，11/15鎖定GagaOOLala
絕。對。服。從","1571367038","https://l.facebook.com/l.php?u=https%3A%2F%2Flalatai.com%2Ftvmovie%2Fnews%2F%25E7%25B2%25BE%25E5%25BD%25A9%25E6%258F%258F%25E7%25B9%25AA%25E5%2590%258C%25E5%25BF%2597%25E5%25A4%259A%25E5%2585%2583%25E6%2583%2585%25E6%2585%25BE%25EF%25BC%2581-%25E3%2580%258A%25E8%25BB%258D%25E7%258A%25AC%25E3%2580%258B%25E3%2580%2581%25E3%2580%258A%25E6%25B3%25B3%25E9%259A%258A%25E3%2580%258B%25E5%25A5%25AA%25E7%25AC%25AC26%25E5%25B1%2586%25E5%25A5%25B3%25E5%25BD%25B1%25E5%258F%25B0%25E7%2581%25A3%25E7%25AB%25B6%25E8%25B3%25BD%25E7%258D%258E&h=AT2LBkHPvhDxMa48HUmRTRMdwApUecEo0yGeCGL8xCpgdSO7vbQOfqbJlKlARoRYCKf82K8RJupSX_Na-fvPUHQ54139aVwFl28FqB45bYUKj_kAopCPGPvvGujvinTTkZJXoio-B9ZjZLoD5QR9unY9t13W4ptRrTXNo80QFtckNrKr7e18KqzpYA6wh3ix1NCp9aV9h9dxifoyeJBX5v130g6aTn90Zy3XvpopjpfU6J-gJXsRM67dFSdg7b1NHynZGWsJXO7_XWKrVNUnnEQ1duXapGYIOVjA6sreWAHP-eXmywiN52x7WiP0msr_O1G_dvo1D3LAsMMmm4TjvMZbh1_JrVKDbQhAGU5iyXGSH0L5MSMOf7X5BRjbsuPvO0oABVY3X7ZeR_ax8Sd8MRm-LwfNkb2lDNr9wNUZs7i3x1B5qQj2T-p95gPyApo4k0l-4XBCSarazYQzcJhuwt6B7EaYqgWAIW40-8cGZgLTxoclYgol6n9IFNx_AeuDCKqOyLSrKiT54GZ5aLxAnWLAEVEeMpzI_CJVKfgGOhW6ttajskeY_Ztj1w-cVcFww1CuIVB5W0Gh4-zDC1Nd0dcSYIWMOacqQ3t2Xm_FIxlxCH3i7llTvbyPOLWTgzp4bU-8JrH6KHVrfVbz-CQ","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQDNmYqLL3dvtnax&w=540&h=282&url=https%3A%2F%2Flalatai.com%2Fsites%2Fdefault%2Ffiles%2Ffield_image%2F2019-10%2F%25E6%25B3%25B3%25E9%259A%258A%2520The%2520Summer%2520of%252012%2520%25283%2529.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCIlQaKUsiUkO-n","Image may contain: one or more people","精彩描繪同志多元情慾！ 《軍犬》、《泳隊》奪第26屆女影台灣競賽獎 | News 新聞 | LalaTai 拉拉台","第 26 屆台灣國際女性影展，10月10日於光點華山電影館舉辦台灣競賽獎頒獎典禮。 由知名編導王小棣、「女影香港」創辦人 黃鈺瑩、女性影展策展人 羅珮嘉，3人..."
"https://www.facebook.com/gagaoolalafilm/posts/2425385354451499","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571367038","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/gagaoolalafilm/posts/2426928384297196","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571367038","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/gagaoolalafilm/posts/2433484743641560","1570370401","家庭永遠是心裡最難過的那道坎啊😢","1571367038","https://l.facebook.com/l.php?u=https%3A%2F%2Fgagatai.com%2Fculture%2Fcelebrity%2F%25E5%259C%258B%25E5%25AF%25B6%25E7%25B4%259A%25E8%2590%25AC%25E7%25A3%2581%25E7%258E%258B%25E6%25BC%2594%25E5%2593%25A1%25E4%25BC%258A%25E6%2581%25A9%25E9%25BA%25A5%25E5%2585%258B%25E9%2580%25A3%25E6%2584%259F%25E5%2598%2586%25EF%25BC%259A%25E3%2580%258C%25E6%25B2%2592%25E5%2590%2591%25E7%2588%25B6%25E6%25AF%258D%25E5%2587%25BA%25E6%25AB%2583%25E6%2598%25AF%25E6%2588%2591%25E9%2580%2599%25E8%25BC%25A9%25E5%25AD%2590%25E6%259C%2580%25E5%25A4%25A7%25E7%259A%2584%25E9%2581%25BA%25E6%2586%25BE%25E3%2580%258D&h=AT3THilt59i6qJGbamu5QNnxzP0P3fmZFwjQnFEAnnX_NH4uo3kznLE9ACCQLR-GhPmAJO7Mtq87RNATZMFquV9h4X97bFjpTWA78M4duOvUY2raIY2whpPwXtPqEJaPFeii9t_WbBCCdJdzLBhq0BGg-pQaa9ZOUVWgwYf2RSEnNFhSV8b3_qDYsr06v3gBxNrm_7t2CXeiR4zwNZhmrbfKB04mdb2wKPU0dZTYHFV0KgaQkmzK5Jk2uM-04q_hCv5Acgur4gC_QdHUbfhpGoioo9caRn6jl8StBYDkkJUMD2s2xqv0PEyeWZChSj8FeN00P0qtFDv8wGBbXV2TG8l77bzrZEMjAZqSZ0WhaNn9ujKPyvOMTuLqE1nHQd146r6SKLtYrV3VDTOQWiEwvtEVH5lgO_oSYJXgyLnCMTI7TLEALa9TrEfeaXf7i0GXJFIffoQtmU5uATnTVLGaECK3aMwQFu-KC0QfzugkrC6b92maClASVfvTCS3u6koYyp5YVXv8P6uhp4VpzXWTJ37ORGge2n6jNJWMLRnuFHB3OIjB0RVMdxeTIOhLZJaUfJPJonsS_3vq6DgnZ56IxCm0ZbAYOyl8kl0l2s_yVYu1-I8n4cno9HWQdxSxdZkhKgVqreR9aVle4LXR6Kg","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQCbUE5naTiJyunY&w=540&h=282&url=https%3A%2F%2Fgagatai.com%2Fsites%2Fdefault%2Ffiles%2Ffield_image%2F2019-09%2F%2540NME.com_.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCqkof-3x4WNjw8","Image may contain: one or more people, beard and hat","國寶級萬磁王演員伊恩麥克連感嘆：「沒向父母出櫃是我這輩子最大的遺憾」 | Celebrities 名人 | GagaTai 嘎嘎台","飾演過知名角色甘道夫和萬磁王的伊恩麥克連（Ian McKellen）不但在演藝事業非常成功，也如劇中角色般捍衛LGBTQ權益。 （圖／NME.com） 星期日時，伊恩麥克連..."
"https://www.facebook.com/gagaoolalafilm/posts/2446233479033353","1571058001","連假後被工作摧殘😩
地方的吳太太心情不好嗎？
讓農農替你提振精神吧💪

 看更多天菜議員👉 https://pse.is/KPPWZ","1571367038","https://l.facebook.com/l.php?u=https%3A%2F%2Fgagatai.com%2Fvideos%2Fitem%2F16307&h=AT3bdWuGz-62-9h-X6AGwonvUN67vufpA7x1RSI8y5Q50qbCVTp_666A-OKvjqg-xJwwPstwlz0OZRBODinBOot9Zu2_rqZ8zGyx46VUKLp6b9_wSclfz_FG7ITLCVt7mRDrsBXRyt568kGiClhpQw3VS3E3foE612OQfy0fSWObkzZ3PMkjKeg5Mkcjmi2afS22PsuVozeJHCDdDMOXwp2efx9xhzniQeitao1A2kpCUUmuJ6AyKkJ-fJ2t7rbT3BRQWYVTz9WrFoJOSMx7PDve0Nnmc8ZCkyYyrV8pR-l3HO_xYew7Z6eZXHbM4p3OgyC5iiisbgVo5XdJytU4g8yhnUqnNuFtGPEU111tZmT0S51RR4xi8u2NgsWDpgi7eJfoUlnR2Htfwvi-i78Uu-z5hMkDAHNz8BYJTQHmMlb3ecsIL0DOxJwnOMtCq5rxas7ry0SCtLpEGCCvZqONuLsd01jfpUZ8uj0gKi9eGRl6w7JLMZnVgvjaVq-U7R2RDSheBB-GP8xDpIzN9nd_Y7OGdX0ra8y4s35DcUULTF60aZPgNACnjK4GXPUKjliyzp2NDYUBZBgjPJxEV3wbzoasdfL-dAc2SRLorNF1_W9DEJaFGULQH8Dd3GnaF7-kxlV9GTmI1dqboF2PPP4","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQCgcCE5ZEyxiR88&w=540&h=282&url=https%3A%2F%2Fgagatai.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fog_image_video%2Fpublic%2Fimage%2F2019%2F43521%2FScreenShot-VideoID-95_V7OGOjZg-TimeS-52.jpg%3Fitok%3DWbNr0n9q&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDPz8OzoGygfLyz","Image may contain: one or more people, people standing and text","吳怡農拉單槓大爆二頭肌 吳太太們又要暴動啦！！ | Video 影片 | GagaTai 嘎嘎台","6個男同志鄉民眼中的男神級政治人物→http://bit.ly/2o4KtVK"
"https://www.facebook.com/gagaoolalafilm/posts/2450021995321168","1570878001","壞壞惹人愛😍
可是那時而呆萌的神情是怎麼回事😅
一秒被圈粉👉 https://pse.is/MHDSS","1571367038","https://l.facebook.com/l.php?u=https%3A%2F%2Fgagatai.com%2Fculture%2Fcelebrity%2F%E3%80%8A%E5%BE%8C%E6%9E%9C%E3%80%8B%E6%96%B0%E7%94%9F%E4%BB%A3%E5%B8%A5%E5%93%A5%E6%BC%94%E5%93%A1%E5%A7%A3%E5%A5%BD%E8%BA%AB%E6%9D%90%E8%AE%93%E8%A7%80%E7%9C%BE%E7%98%8B%E7%8B%82-%E5%88%9D%E8%A9%A6%E5%95%BC%E8%81%B2%E6%BC%94%E6%8A%80%E7%B2%BE%E6%B9%9B&h=AT3nnfvDPZEU82PhK-1sndwsWPqBhquBz6WRhk6EJvfN8be9hJX_aSH5dA4S74VWrZhL1KoN0BZCnQ0Th2uS1t-d9b3fJSjx2uAa10iOzQbzuMVsGolMvdQ3-jpGtlnaD1OuvS0uzrIAHB87EXREtSNgrk5pgwC16W1PuUeO7dPaV9jY_mvJPlzrNoUrgwDDdy6NgdJrOZNKECGv6Ujd4Dgy2C5hywANIQPHC7uvL-uX1XILT3j5q0NEA1nU3BqZte7Dw0TKL_TBv3FES__EqDYt3t6TBfeR2OniBpmUqNcIOGWwktj8lwNZP6EOowfeNHkvyTYLF1tQlxqzQ-fH-pHpPzclLgjpGGzdc10YGPw-HjrJ_6tzlPprxz5NLd3sFm22musbangxepi3jj2fnmAdKBWO4mujymWaQG6ei-0Yec5SSTFXuCchwntzZ4XoItrP-4kd3f5OzsaQAX7SNf_l5Y3enI4_wHLWCtnB7hiLheZ-qDCaiM0dwWN2o-29DL5kIkYxapZqL3mRsqrtSj9cAFm6Le1Flum4IgJ_y37Kpn1_PjPJ36Ovf2XwtJV2Jg-M257JJaeqspjTeOViqOUEd2SR96aq22tONtYn4qlbO9Sd6Il_7J2LkNsabohJaNSKjFjIymEdTW3P-s4","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQBqrm8y0Pb0pbag&w=540&h=282&url=https%3A%2F%2Fgagatai.com%2Fsites%2Fdefault%2Ffiles%2Ffield_image%2F2019-10%2Fcover2_1.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAj_FaZobXzIKwV","Image may contain: one or more people and outdoor","《後果》新生代帥哥演員姣好身材讓觀眾瘋狂 初試啼聲演技精湛 | Celebrities 名人 | GagaTai 嘎嘎台","在去年斯洛維尼亞影展，一部名為《後果》（Consequences）的男同志電影震撼了觀影人。《後果》不僅是當地第一部酷兒電影 ，劇情選材也相當犀利，除了深入剖析..."
"https://www.facebook.com/gagaoolalafilm/posts/2426776214312413","1568296801","「比較公投前的3286份問卷及公投後1370分問卷，發現非異性戀族群在公投前，15.4％有自殺意念，公投後顯著上升至24.6％，異性戀族群則沒有變化，無論公投前後都有5至6％有自殺意念。」

 有些事情可以原諒，但不能忘記。","1571367038","https://l.facebook.com/l.php?u=https%3A%2F%2Fudn.com%2Fnews%2Fstory%2F7266%2F4039456&h=AT1t_rpxiatk8usptik6Cu0apc2hVupNFhK2EdBupx-5TfXDN-O5lF_7aiZTfgQutF6pmRH5TtBpLNSzVFEgNd8Dgl-X2FDS3qa8ld4vwjMYwSW7RzxdP50L1Pb4BYypMKNiuO2QUnrIhJQiynLnLdam7V_olKJ-TBdpY1lWMmf-muLehLu18B3DdheNuAYjYbNcjUspA2libSeIE84nTQsqrK_8mFRzE_anlka_tJFRruFyEWgHm58ywY4i1_GG9LXeuz1dM1AdHvE1xcrZXCJ2WkP0aNuAvQ6k1zCjJJvAdFK8385tEcSqCGL5Gw5MW64S2CuJHAVWrkhsfc7LjTFLdrEkeTfj-W5bcmelJHDQNPOY-ozGwitvSQs0aQJfJOL5iovEHCXCOiqSxaYVPWadP8yK44hHvF3-w__3M_v6d24BHfyGH5xHPXSdRSUOn8N8fuBLww7Td0AKYwXdc7YEqB1o0f6JqOsm6VJ-VS4HbMOufF-favOdiWoyIYy8mpUT_7gOCvflZQSG2Rr1NeOx_bt-_imr0T4n7C-1C1lrsTXFuVo9nSxovOGvb8IkrXsN63iN0KA65EXy3EA3330-hHlWZuf85HfQCNm6iSTHUtRuOBFXVDdxKSifj7-vfsRv5zdmFbZU4USprxY","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQCXyuoMLClgDSCW&w=540&h=282&url=https%3A%2F%2Fpgw.udn.com.tw%2Fgw%2Fphoto.php%3Fu%3Dhttps%3A%2F%2Fuc.udn.com.tw%2Fphoto%2F2019%2F09%2F10%2Frealtime%2F6802867.jpeg%26s%3DY%26x%3D36%26y%3D0%26sw%3D1206%26sh%3D805%26exp%3D3600&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBpi67NXoqkB1RH","Image may contain: one or more people and outdoor","同婚公投傷害非異性戀者心理健康 本土研究首證實 | 聯合新聞網","台灣去年11月舉行全球矚目的平權公投及愛家公投，結果牽動社會各界心情，亦傳出自殺憾事。高雄醫學大學精神科教授顏正芳於今..."
"https://www.facebook.com/gagaoolalafilm/posts/2446226572367377","1570280402","健身熊、雅痞熊、可愛熊......
每隻看起來都好好抱啊😍
台灣原創同志網劇《同同情》
第一季全6集，註冊免費看🐻","1571367039","https://l.facebook.com/l.php?u=http%3A%2F%2Fsc.piee.pw%2FLML7J&h=AT02oes421R-NAliLsMKWd0vSO3LzNieOxFaJ9IQFlV0s1lOegWuQnrzUJRMnJdQTCtJRusMZ0hF5F8JIy4KmNZfGo4KIquo3xrSHK7Pt1PiWTQGQV1qdviWPSDbc9wZ0U4fkTspHQU9Q8f5-Aa9JhVc12P-clWsap1Fj6-v-hdHxxIUaFQXptt7AfQRSxSBRAwwW8OKgcIigsjwPxeDLnFCzKm-wqWCnVaD9gKYCw1YbRBWKFB5Z4DT4VD6DRvrVRfN9w0wbWgS56eYHFr_BblQ7Tg5XKQn0gCuGHMlmORkQQdCQSFDLF6_-BTkXYuKnGuzfNLXlbR_T8QN8iSQzlXAIkwOXQt49dujOeb_eqcGVQF8jYDMBiYi9gnDgaflGWrGkDDJ5mH_RbEpl1LVC7W4UtZby9_cSH2QWG9crd8056lLu6MLdpd2ZN7WoAXkUI-9bNJCbPrl8XE3oAr_FQGTxbIIe5AjzzfPm3IQLXBHdID8abPaWm_tHO8wDh2QAOi8uRmBs0UUKf8uMiKwEbhfJ3inlI-ryRV_RvegQ6lY6xIwM8z-f8pFHG3gFXINP3d5U1GEDVUrb56YcJA47ThTHX4fFiT-TkZY29eS_P0l5JYjB7vRP3KuJr_XfpoUjpFG10SZh8Vj_cDBF9M","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQAb-mUfPNzbzjxy&w=540&h=282&url=https%3A%2F%2Fimg.gagaoolala.com%2Fmedia%2Fd805580c-521982-lg.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBtvL-Ynmg3gO2n","【9/22上架】同同情 第1集 (全13集)","喜熊的心聲我們聽到了！網劇《同同情》第一季即將在本週完結，全6集註冊免費看！","《同同情 第1集 (全13集)》Tong Tong Qing Episode 1 (13 in total)線上看，【男同志, 愛情, 喜劇, 台灣, 免費】同同情是歡樂卻又帶著狗血劇情的腐劇，四位主角一路成長的愛情辛酸，卻也探討著現代的同志愛情模式。 第一集概要：探討著..."
