url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/hateworldphilosopher/posts/1527958627334697","1559538193","女兒説
高中的國文老師
能長這麽帥
聲音好聽
她的國文能力
一定會更棒更好
好好學習啊",1579438754,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/hateworldphilosopher/posts/1455624537901440","1550762409","方湧-莊子纂要、莊子學史跟子藏·道家部·庄子卷建議嗎?","1571713455","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/hateworldphilosopher/posts/1452669724863588","1550411499","《厭世讀者．閱讀心得（三）來自知心朋友的推薦》

 今天我要推薦大家一本我的好朋友寫的好書。

 我醞釀了很久想要寫一篇這樣的推薦文，終於在剛剛看到厭世哲學家粉專貼的一篇讀書心得而有了推動力。

 
我發現很多人，尤其是新一代的年輕人，都帶有一種「清明」。這種清明是一種脫俗，一種反體制的意識。這樣的人比較缺乏奴性，也難以投入一般人設定的情境，所以通常要不是變得比較孤僻，就是假裝自己跟大家都一樣，結果假裝到自己都忘記自己原本的樣貌了。

 
我有很長一段時間，從有意識到17歲，就是那個演「俗人」演到到忘我的那個年輕人。我不知道世界上是不是真的有我這樣的人的容身之處，同時又因為看不慣世俗人打造的世界而感到厭世。厭世久了，發現討厭的是自己，那個困住、不敢獨特卻又不想被捆綁的「我」。這樣的分裂是孤獨的啟程。

 
一本像《厭世講堂》這的書，其實功能不在得到人生解答，不在於厭世，甚至不在於哲學，而是聽一個「厭世生活者」藉由自己的生活體悟和莊子的智慧去看這個世界，再讓自己重整對自己、對世界、對宇宙的信念，讓你的那一份清明可以得到重視，在你的意識中擴大。

 身在世俗，若要不凡，一定要找跟你有同樣野心的夥伴。有意想要脫離厭世的人其實滿需要互相多聊天、照鏡子，協助對方看到盲點，以便活得自在，而不是越來越厭世。

 我跟這本書的作者就是因為這樣，在當兵短短幾個月就變成忘年之交（他年紀比我大
:D）。看到這一本書從零散的小文章，如今拼湊成一本活生生的暢銷書，真的覺得不可思議，看到這本書真的讓很多意識流浪者得到撫慰也感到興奮。

 
我的臉書上有滿多擁有這一份清明的人，或許這本書會對你有所啟發。不需要懂文言文，其實這本書也不是針對對國文、文學或對古文有興趣的人，它是給發現自己身陷在「楚門的世界」，但又不是很確定這是怎麼一回事的人。

 你們不是瘋了，是醒了。

 走出來吧。

 ---

 
這篇文章的作者是我在2016年當兵時，由於被分配到同一個單位而認識的一位西班牙僑胞朋友，他就是在孤寂而厭世的歲月中，與我互相安慰並共同前進的靈性伙伴。能在如此偶然的情況下認識彼此，我想這一切都是宇宙的安排。

 後來我創立了粉絲專頁，並開始寫書，他總是我在文章寫成之後第一位讀者，他不斷鞭策我並戳破我在寫作過程中的盲點，所以他可以算是《厭世講堂》這本書的「顧問」。

 
他有很深厚的「新時代」背景，在認識他以前，我並未了解新時代思想；在與他探討人生的過程中，我漸漸體會到《莊子》思想原來與新時代思想是可以互相推闡、印證的。若沒有他，本書不可能會產生，至少不會長成現在這個樣子。

 ---

 👉👉👉還沒買書的讀者看這裡：

 （一）博客來：http://bit.ly/2TT2L6C
（二）讀冊：http://bit.ly/2TQOnM7
（三）金石堂：http://bit.ly/2TQBa5X
（四）誠品：https://goo.gl/wHxeSd

 ---

 👉👉👉電子書看這裡：

 Google：https://goo.gl/qRfpkC
Kobo：https://goo.gl/zbbPBc
Readmoo：https://goo.gl/Cj46AK
博客來：https://www.books.com.tw/products/E050038742",1579438758,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/hateworldphilosopher/posts/1437362369727657","1548673396","😞😞😞我們為什麼會感到孤獨？

 以下內容節選自我們的新書《厭世講堂：顛覆人生的十堂莊子課》",1579438763,"/ylibfans/photos/a.213298929597/10156881045624598/?type=3&eid=ARCkyWJus3qVg5BWCXQG6gCAhIMbSvrcC9GJdvhwgqeEnv7Z-76VT9Hvf-HG34N5HJLsIivTdwoTXBZD&__xts__%5B0%5D=68.ARAIf3gpiRmU-pmtMt2gvYPUg-9pxcKHPhxZMccENRobJeZ63V-X__XCFNs6HH7hwajbmaAdU8yqUp7X6p3BSyzhD5FBdHNR_eCwxiN81lz-BEHHNW4Eq14Mpqb1XmL6-aLfHqrfnYSgpNh1R4TdmzWVUu3CiX5-NbqghM6dNzv8lJa1d-0AKTvVnrLE5mHk3pkrr6_NeDYQ95aGGkD2yMXk9JNp4Byl4VoS_Rn7E1VsLJc3jcz6l3Kr95nQSj9qyobGOKpQ1Jt0uSrC2rNfqkEoEsph-AgPdmiG7JBIOwMTReTUyknQeOtoehgDmF-Ys2_B0eMXXikKHTGIrb8DFDHuNFOKcY_wabG_5tFEFvZndEZVIZIk7QUwjxZIMAueP1HwywJ3xI51UjYP_M2xZHkIvFeX21GuvnD7gPAsVeGZFVZhwlQsTWslO5S2XOaZJX4WCY7JlCI5RE7pbKa0MW744m0iS9wJ0fiipd-nGwh1HYkTGNtAv-Y&__tn__=EHH-R","https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-0/p235x350/50534726_10156881045629598_7218737223003275264_o.jpg?_nc_cat=102&_nc_ohc=rILlpmwZHysAX-sB1Gx&_nc_ht=scontent-amt2-1.xx&_nc_tp=1002&oh=7aff2463b14faf67c786bc17464dfdc2&oe=5E9AD089",undefined,"遠流粉絲團",""
"https://www.facebook.com/hateworldphilosopher/posts/1457702151027012","1551008471","","1571713455","https://www.facebook.com/photo.php?fbid=10157333034728938&set=p.10157333034728938&type=3&eid=ARDfHMQgzch8dqtIoPh4108bJG2ezFVSUzWjsdRsQvdVzxvQoyHwdjqBqJUDw-XD34M_Q23DIuzUwsyz","https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-9/52460273_10157333034733938_7664466257512497152_n.jpg?_nc_cat=109&_nc_oc=AQnHPRmdot5e-ROGjoInMT2G_y3RUmHHaXv0DVT8JHwSoNzvy1wtcAWwDpXTucpvqMQ&_nc_ht=scontent-hkg3-2.xx&oh=c4a32193a9a8742f7fbabf61cac8e766&oe=5E5B2044","undefined","",""
"https://www.facebook.com/hateworldphilosopher/posts/1564022403728319","1563423001","《厭世講堂》博客來今日優惠價：66折211元!!!!!!錯過這個村就沒有這個店啦!!!!!

 果然是早買早享受，晚買享折扣啊~~

 ☞ 瘋狂搶購連結：https://www.books.com.tw/products/0010811705?loc=P_0022_005

 #雖然第二集難產中

 #第二集要來寫古代邊緣人的故事所以只好把自己變得很邊緣

 #但是一本談邊緣人的書會有人想看嗎

 #有人覺得第一集太硬了完全讀不下去的嗎",1579438770,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.books.com.tw%2Fproducts%2F0010811705%3Floc%3DP_0022_005&h=AT2I9s3rTzaGpT64YEOoBsp0zARN-OCHliGfyd74QQHTeDOKX6YFHir27LP9MMOAckivrNHeWdL2tAxyy0sUB4koh8caYcOPwFRxK04zy9fVuJYfOMhxFwdnA2W7Vufx5Ry-aN0W8W-pwbzx0xAZ5GFm98AqRMHNCUU-Mcw9xPHbqz3b9g2yksib3cAIY63Y9P9Ck5HlRq_Bf2248N6u90UwLPBFDED8lk-cehmK5uUv5mrJeF_YivoxQwEuB23jQh9imPGz54kLqxqD4V03OPYQk5lOuIaDdVjNMZWUOjlcF996VGwu_HC6QorNyCzVdrqynyPF-tYKAHixGf9_VhYd3LXSwbTQmMjm48E1OSkwU26XQXAdr_-vDOWgO8UcS-Ph0LXrdys3gZ7Cawoww53m8Zx7xoSUvkf4nRCn3qDtWlAkvK2trfHBWaW5tvSKJ9X79hU2aaRGcXFvHeufoL7pNFCS1iEBMCga8IdYio9sjn65Y-Eb4iwHYUIF4Yh7bXp-hpZf-URntrnMDEPfIXn-H-gV-12J1d08Yt1UqCnHSuPFq-6MaWdIwuuA9U9m9Nh859JG-bfYFq2TFp_Z8fPfMA-2HkbrC9FjFkA-uQfXSKcfyP5NVQfTfXH4eZdNRH-wCMlqJGyoKi58","https://external-cdt1-1.xx.fbcdn.net/safe_image.php?d=AQCGMKQyU1CjC07_&w=540&h=282&url=https%3A%2F%2Fim2.book.com.tw%2Fimage%2FgetImage%3Fi%3Dhttps%3A%2F%2Fwww.books.com.tw%2Fimg%2F001%2F081%2F17%2F0010811705.jpg%26v%3D5c3db69b%26w%3D1146%26h%3D600&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBUs959006YtypN","No photo description available.","書名：厭世講堂：顛覆人生的十堂莊子課，語言：繁體中文，ISBN：9789573284536，頁數：304，出版社：遠流，作者：厭世哲學家，出版日期：2019/01/27，類別：人文史地","books.com.tw厭世講堂：顛覆人生的十堂莊子課書名：厭世講堂：顛覆人生的十堂莊子課，語言：繁體中文，ISBN：9789573284536，頁數：304，出版社：遠流，作者：厭世哲學家，出版日期：2019/01/27，類別：人文史地書名：厭世講堂：顛覆人生的十堂莊子課，語言：繁體中文，ISBN：9789573284536，頁數：304，出版社：遠流，作者：厭世哲學家，出版日期：2019/01/27，類別：人文史地"
"https://www.facebook.com/hateworldphilosopher/posts/1442994499164444","1549273717","#過年攻略2

 愛管閒事長輩：「欸某某某，今年包了多少錢的紅包給父母啊？你賺的錢夠不夠用呀？」

 厭世讀者：「裝在紅包袋裡的，那不是錢，是我的血淚。」

 愛管閒事長輩：「（一臉萌逼）」

 #讀厭世講堂學習待人處事的藝術

 #用厭世終結所有尷尬的話題

 ---

 
文藝可以穿越時空，撼動數千、數萬、甚至數代的讀者，甚至有可能改變世界！確實，在千年後，當我們手上捧讀屈原的〈離騷〉時，我們還能被屈原的碧血丹心所感動——文藝的力量是無限大的。

 --

 
《離騷》為屈大夫之哭泣，《莊子》為蒙叟之哭泣，《史記》為太史公之哭泣，《草堂詩集》為杜工部之哭泣。李後主以詞哭，八大山人以畫哭。王實甫寄哭泣於《西廂》，曹雪芹寄哭泣於《紅樓夢》。——劉鶚《老殘遊記．自序》

 --

 屈原因楚國破滅而哭。
莊子因亂世離散而哭。
司馬遷因宮刑之辱而哭。
杜甫因安史之亂而哭。
李煜因南唐亡國而哭。
朱耷因國破家亡而哭。
王實甫因失去愛人而哭。
曹雪芹因無材補天而哭。

 
他們為什麼要哭？因為他們都失去了原本賴以生存的事物：國也好，家也好，愛人也好，理想也好，尊嚴也好，都已經碎了一地，煙消雲散，再也無法拼接完全。他們的靈魂如此殘缺，又怎麼可能不哭。

 但他們卻沒有哭出來。他們以淚水研墨，一字一句、一筆一劃，或成詩，或成文，或為曲，或為畫，他們將自己的淚水化為文藝，穿越時空的限制，交到了我們每一個人的手上。

 親愛的讀者，請你謹記：當你看到他們的文字或圖畫時，那印在書頁上的，其實不是墨水，而是他們的淚。

 （以上內容節錄自《厭世講堂》附錄一）

 ---

 👉👉👉還沒買書的讀者看這裡：

 （一）博客來：http://bit.ly/2TT2L6C
（二）讀冊：http://bit.ly/2TQOnM7
（三）金石堂：http://bit.ly/2TQBa5X
（四）誠品：https://goo.gl/wHxeSd

 ---

 👉👉👉電子書看這裡：

 Google：https://goo.gl/qRfpkC
Kobo：https://goo.gl/zbbPBc
Readmoo：https://goo.gl/Cj46AK
博客來：https://www.books.com.tw/products/E050038742",1579438760,"/hateworldphilosopher/photos/a.866919160105317/1442994449164449/?type=3&eid=ARBfS93bnCMy2P45_ZZaf1M0GNxW0P41xGVD5GYCyUXpgYOvsPYB0oAhGcGQz5CUhNtj9znUI34KaBRX&__xts__%5B0%5D=68.ARA8R2pm5WFa8yvnBqYI68XuqY5TqnWqCLo4fB9C8iy5fgrUrDLKCkePNCD2XBNqDll_aloIXMkhjQTtWTVqYZ_UlA7SONA5ZQA3izWsJXTpGAZ6E4iqCI8iZnn604R5-zHdyll7vgCR1mWrLkvA3a8WaSm1p4GvyKTo-fEA9j8opx73dHeTHvwhkKPAB3x6thiAbQo4_K8RqAKfKtjjHf3X_DF_nZSMq1dwQV87PS0ipdLQwCiRQOCf9O7jEsvzh00nxUvanPXv4RnIlLYv0OSb_2TyMB6PhUbOj-u13GZkSX79UGVMqOYuOEe-oNhbqPTmwPXfJ_NNcDBfMedARZ0fXQ&__tn__=EEHH-R","https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-0/s640x640/51069981_1442994452497782_1062938233198870528_o.png?_nc_cat=107&_nc_oc=AQnqVXD_xQb8-NdcOs-DMbPVqgUnWP28tc3qPxEFNbjz7Z9ScJ9ZUzxOxYfRlE7iCMI&_nc_ht=scontent-amt2-1.xx&oh=edaad319653067dbd54dc916e3fb4a1a&oe=5ED8E1A3",undefined,"",""
"https://www.facebook.com/hateworldphilosopher/posts/1571891839608042","1564319208","👉今天要談的是「鸚鵡誤國」——「會講話的鸚鵡」最終只會害了整個國家。

 👉什麼是「會講話的鸚鵡」？為什麼鸚鵡會誤國呢？

 ---

 理學家謝良佐先生曾經說過：「能夠從名利的枷鎖之中擺脫出來，才算修德有成，能夠稍微休息一下而已。現在的政治人物根本做不到，都是一群『會講話的鸚鵡』而已。」

 
理學大師朱熹也說：「現在的讀書人，你叫他說廉，他把廉說得頭頭是道；你叫他說義，他也把義給說得頭頭是道。等到他當官的時候，做出來的事通通都是不廉不義。」這種人就是「會講話的鸚鵡」啊！

 民間都在學習「言語」，朝廷都用「言語」來治理國家——這就是當今世風日下的原因。

 有些人看見「很會講話的鸚鵡」，就誤以為那是一隻鳳凰，惟恐牠沒有被安置在富麗堂皇的園林之中，這不是一件很奇怪的事情嗎？

 ——（宋）羅大經《鶴林玉露．能言鸚鵡》

 ---

 👉什麼是「會講話的鸚鵡」呢？

 鸚鵡很會學人類講話，人類講什麼，牠就跟著講什麼，但是牠根本不知道這些言語背後的意義是什麼。牠就只是「很會講」而已。

 
所以「會講話的鸚鵡」比喻的是那些舌燦蓮花的政治人物，話都說得很好聽，滿口仁義道德，批判東批判西，別人做的都不對，我自己怎麼做都對，說得自己好像是救世主似的，實際上卻根本做不到。

 
這種人當官之後，就是整個國家向下沉淪的開始。反正他很會講話，就算他做出來的事都是不廉不義，他都能說得自己很委屈、很冤枉，說自己「一片冰心在玉壺」，只要問心無愧，就不怕政敵的抹黑。

 ---

 👉空談誤國

 南宋的理學家羅大經用「能言鸚鵡」來諷刺那些只會空談、而沒有實際涵養的政治人物，其實是因為當時的社會已經陷入瘋狂。

 
「下以言語為學，上以言語為治」——這就是當時普遍的社會風氣，民間與朝廷皆然。只要你能講道理講得頭頭是道，朝廷就會以為你有真才實學，搶著任用你，讓你享有高官厚祿；正因如此，民間才會搶著學說話之道，崇拜那些很會講話的人。

 根本沒有人在乎真才實學，只要你夠會講、夠敢講，講得比別人好，講得夠煽動人心，你就會被大家當成「聖人轉世」，對你崇拜不已。

 實際上，你不過是一隻「能言鸚鵡」而已。

 其實你什麼也不會做，你就只是「很會講」。

 
但那又有什麼關係呢！只要你夠會講，就算你只是一隻鸚鵡，都會被大家當成「鳳凰」——即使你不想當官也不行，所有的人都會把你拱上位，因為你已經變成大家心中的「聖人」了，聖人本來就是應該當上高官，造福百姓才對呀！聖人怎麼可以不當官呢！

 羅大經看著這種瘋狂的社會風氣，實在是不能理解，只能默默說一句：

 「不亦異乎？」（這不是一件很奇怪的事情嗎？）

 ---

 👉哲學歸哲學，政治歸政治，本文是一篇純粹的哲學文，與現實政治毫無關係；如有雷同，純屬巧合。

 ---

 👉 古文原文：

 上蔡先生云：「透得名利關，方是小歇處。今之士大夫何足道，直能言之鸚鵡也。」

 朱文公曰：「今時秀才，教他說廉，直是會說廉，教他說義，直是會說義。及到做來，只是不廉不義。」此即能言鸚鵡也！

 夫下以言語為學，上以言語為治——世道之所以日降也。

 而或者見能言之鸚鵡，乃指為鳳凰，惟恐其不在靈囿間，不亦異乎？

 ──羅大經《鶴林玉露．能言鸚鵡》",1579438755,"/hateworldphilosopher/photos/a.866919160105317/1571891772941382/?type=3&eid=ARDs6mfqbbWEb-jWUy5cxWz9FnbNSIuYyyOL6arqyS-TjSxwNQ43KdEZTWQ4y1ulhv_SbVqiwmZexo0y&__xts__%5B0%5D=68.ARClzBrwsb61lT8S9KXgjGVBTfXtRzZ_uZr-zYNSgm0mrAGt9T5R4OMNEt8Hselb_d4HjyNVnExkUd-SnTWGmzp6RkC4YAY24n2jr3no36AULOue_GHxvKgIswOSfZYku6j3B7uLz1KLOHwa9VRRqWG0c2ppJ1WPDda-pPFOZ5ISGTJZL4NI73bfjCobt-nsFewr8hrqyyqiOyecTYty2vK_mqsAfM83Gjzh9Qj6Ep_j4-wce_DcdcqdqLGfFUXNVFeaBuJ1azbsm0UHRVnL6dnEyCxVgWAofJWz1GV6kyFjR9Mi5uShCy_4HDGkt1uen5Se26cRml_kVjI1vQJgKElRQw&__tn__=EEHH-R","https://scontent.fmex4-1.fna.fbcdn.net/v/t1.0-0/s640x640/67610798_1571891776274715_6987654341662343168_o.png?_nc_cat=103&_nc_oc=AQlSNNbcKJxWvQZfd1LGs_2XdiR-VgTrh2dsmPGMdp2Z_QXnCyaCZiq1fOiksUoCL_Q&_nc_ht=scontent.fmex4-1.fna&oh=1bbe577a1ff79d0d3a14695afcfd1272&oe=5E9290F7",undefined,"",""
"https://www.facebook.com/hateworldphilosopher/posts/1458446584285902","1551098324","楚國跟秦國簽訂和平條約，
並聯姻確立兩國永為友好之邦。

 然後楚懷王就被秦昭王軟禁而死，
不久楚國也滅了。

 （全劇終）

 ---

 故事是這樣發生的：

 戰國末期，秦國變法成功，十分壯大，威脅到楚國。楚國大臣屈原非常有遠見，知道秦國最大的野心就是統一天下，早晚會侵犯楚國，於是主張「聯齊抗秦」。

 
但當時楚國大部分的朝臣與百姓都覺得沒有「抗秦」的必要。為什麼呢？一方面是楚國人自尊心很強，認為自己是南方超級強國，何必懼怕西秦！另一方面是秦國一向與楚國友好，兩國經常聯姻，有好東西也會彼此分享，就像好兄弟一樣，有什麼理由必須反抗兄弟之邦呢？

 
楚懷王當政時期，原本重用屈原，力圖變法革新，聯合東方列國對抗秦國；但由於秦國不斷滲透楚國朝臣，所以後來「親秦派」勢力壯大，一片傾向「主和」，楚國上下都認為「秦楚共識」是維持兩國和平的定海神針，「貨出去，錢進來，楚國發大財」。

 與此同時，秦國買通了楚國的媒體，朝中充斥著抹黑屈原的新聞：
有的說屈原與齊國私底下有利益交換，「屈原就只會舔齊國而已」。
有的說屈原拿楚國的錢去做金援外交，「楚國人民都吃不飽了，屈原竟然還要拿錢去那些小國家亂花！」
有的說屈原一天到晚在種花、寫詩歌、搞性平運動，為何不努力拚經濟？根本不重視民意，不把人民放在眼裡。
「下次一定要用選票讓屈原下架！退出國會！」
在這樣的風氣下，屈原只能被放逐。

 司馬遷在《史記》中是這樣說的：

 --

 
屈原被放逐之後，秦國想要趁機攻打齊國，但齊國與楚國一向交好，秦惠王擔心齊楚二國會聯合起來抗秦，於是令張儀假裝成是秦國的密探，帶著厚禮與信物交給楚懷王。張儀說：「秦王非常痛恨齊國，齊國卻與楚國十分親近，如果楚國能夠與齊國絕交的話，秦王願意把『商』、『於』這六百里的土地割讓給您。」

 
楚懷王起了貪念，信任了張儀，就和齊國絕交，然後派使者到秦國接受土地。想不到張儀卻抵賴說：「我和楚王約定的只是六里，哪裡有六百里的土地呢？」懷王發怒，大規模出動軍隊去討秦。秦國反擊，在丹水和淅水大破楚軍，殺了八萬人。

 第二年，秦國（可能有內憂外患的問題，想要終止戰爭，所以）割漢中之地與楚國講和。楚王說：「我不願得到土地，只希望得到張儀就甘心了。」

 
張儀聽說後，就說：「用一個張儀就能換取漢中之地，就讓我到楚國去吧！」到了楚國，他用豐厚的禮品賄賂當權的大臣靳尚，通過他在懷王寵姬鄭袖面前編造了一套謊話。懷王竟然聽信鄭袖，又放走了張儀。

 這時屈原已被疏遠，不在朝中任職，出使在齊國，回來後，勸諫懷王說：「為什麼不殺張儀？」懷王很後悔，派人追張儀，已經來不及了。

 這時秦昭王與楚國公主通婚，邀請楚懷王到秦國參加國宴。楚懷王想去，卻被屈原阻止：「秦國是虎狼一樣的國家，不可信任，不如不去。」

 
但楚懷王的小兒子子蘭，卻告訴楚懷王一定要去，他說：「怎麼可以破壞『秦楚共識』呢？」懷王終於前往。一進入武關，秦國的伏兵就截斷了他的後路，扣留懷王，強求楚國割讓土地。楚懷王很憤怒，不聽秦國的要挾。他逃往趙國，趙國不肯收留他。只好又回到秦國，最後死在秦國，屍體運回楚國安葬。

 --

 楚懷王死後，楚國上下才終於看出，秦國根本不是什麼「友好之邦」；之前秦國給楚國的所有利益，兩國締結的所有姻親、盟約，不過都是秦國「溫水煮青蛙」的手段罷了。

 
然而，已經太晚了。楚懷王死後，繼任的楚頃襄王也不是什麼明君，他聽信弟弟子蘭的讒言，再度流放屈原。屈原被流放到南方極為偏遠之地，眼看楚國國勢日漸敗壞，但卻無能為力，只能日日「行吟澤畔，顏色憔悴，形容枯槁」而已。

 再後來呢？秦國將領白起率領大軍，攻陷了楚國首都（郢都）——走到這一步，楚國是真的玩完了。

 遠在南方的屈原聽說首都破滅的消息，萬念俱灰。他心中不斷思索，究竟可以如何補救？渺小的自己還能做些什麼？他想了又想，只覺得走投無路，似乎只能做那最糟的打算了……

 
最終，他沉江而死。隔天，楚國各大頭版都刊登著屈原自殺的消息，將楚國全國人民給「嚇醒」了。楚國人終於知道，不可再相信秦國，不可再有任何一絲和平相處的妄想——現在該是舉國上下，同心抗秦的時候了。

 
屈原之死，成就了他的不死。直到今日，我們仍在紀念屈原，原因無他，就在於屈原是一位真正的先知，且最終以自己的生命，喚醒全國人民的良知。他的人格，確實如司馬遷所說，是宛如日月一般偉大的。

 楚國不暇自哀，而後人哀之。
後人哀之而不鑒之，
亦使後人而復哀後人也﹗

 --

 （原文）屈平既絀，其後秦欲伐齊，齊與楚從親，惠王患之，乃令張儀詳去秦，厚幣委質事楚，曰：「秦甚憎齊，齊與楚從親，楚誠能絕齊，秦願獻商、於之地六百里。」

 楚懷王貪而信張儀，遂絕齊，使使如秦受地。張儀詐之曰：「儀與王約六里，不聞六百里。」懷王怒，大興師伐秦。秦發兵擊之，大破楚師於丹、淅，斬首八萬。

 
明年，秦割漢中地與楚以和。楚王曰：「不願得地，願得張儀而甘心焉。」張儀聞，乃曰：「以一儀而當漢中地，臣請往如楚。」如楚，又因厚幣用事者臣靳尚，而設詭辯於懷王之寵姬鄭袖。懷王竟聽鄭袖，復釋去張儀。是時屈平既疏，不復在位，使於齊，顧反，諫懷王曰：「何不殺張儀？」懷王悔，追張儀不及。

 
時秦昭王與楚婚，欲與懷王會。懷王欲行，屈平曰：「秦虎狼之國，不可信，不如毋行。」懷王稚子子蘭勸王行：「柰何絕秦歡！」懷王卒行。入武關，秦伏兵絕其後，因留懷王，以求割地。懷王怒，不聽。亡走趙，趙不內。復之秦，竟死於秦而歸葬。

 ——《史記．屈原賈生列傳》",1579438758,"/hateworldphilosopher/photos/a.866919160105317/1458446394285921/?type=3&eid=ARCTlVNTEh_1JyAGk6HQIzbatWBmFRHFVq-H7gJNDF4yFYLFTpG4U6Tnsn9QPdpanVCwXdfYFVs_qxYi&__xts__%5B0%5D=68.ARAnzEjFngrT1kO5HL_SDjRprANrCw2Trr1oIAJr-IXGI6euok_BhUXFsKJAEd_noonlJqWqrG--Js5S--kHPIOeroxKXMw4P-4PRyUqtfGCY4bgpLTnwGYU5CfomR01zrLIC0wy61tHRHRN0IRePBkSISOGEF_soNcx_EJYEfkVSmCcDTNMsEgrmpr1GhKS5FJovLqoTH9evidj93ZlVwiZZk7gsiDJ00PlMc2DHpulU1AVxpwwhX0TC9zwzHJcIcSrQy-Tyl6eqOCLQuN0c1ZO7v6E5pdk4zgs0T1CEg3MUTf1A_KoIytbZCFhWubKd_Dmv1WO4ep8uyQvwcD2sdx98Q&__tn__=EEHH-R","https://scontent.fbkk14-1.fna.fbcdn.net/v/t1.0-0/s640x640/52629658_1458446400952587_6012343551654887424_o.png?_nc_cat=106&_nc_ohc=mDUjz1uBlskAX9V9mCn&_nc_ht=scontent.fbkk14-1.fna&oh=90cfc22417b7e8b9adff16957289d633&oe=5E915179",undefined,"",""
"https://www.facebook.com/hateworldphilosopher/posts/1212181908912372","1523468117","《深夜聊天》

 又睡不著覺，所以還是上來寫寫廢文。（ps. 每天都是下班之後就累癱在床上一動也不能動，一不小心就睡了三個小時，導致現在睡不著。）

 最近覺得愈來愈無力了，工作上或人生上都是。

 
其實，教學工作真的會有種把我整個人「耗盡」的感覺。千萬不要看老師只是站在講台上講課，感覺很輕鬆；私底下要花多少時間收集資料、設計課程、製作講義或投影片、處理學生的各種疑難雜症，除此之外，還要設計作業、批改作業、登記分數，了解每一位學生的狀況，兼顧公平性與獨特性，還要額外花時間及心力訓練學生參加比賽——這些辛苦都是一般人看不到的。

 說實在的，老師真的不是只有「教書」而已啊。認為老師「只要把書教好」，這種想法實在是很天真，並不符合實際的狀況。

 說得更實際一點，對一個學校老師來說，「會不會教書」反而是其次的問題。

 
當然，學生是很需要一個「很會教書的老師」，可以讓他們學業進步，考到好成績，或是對某個學科產生更進一步的興趣。但是，我現在覺得，學生在這個年紀其實更需要的是一個真正了解他們的老師，關心他們、照顧他們的老師。「會不會教書」真的是其次。

 
這對我來說真的很困難。其實我就是個完全不會照顧自己的人，內心也很缺乏愛；這樣的我，要去照顧學生跟關愛學生，真的要用盡自己的心力去學習、去付出，而且還可能做得很糟糕。最近常常有種「我是不是個很失敗的老師」的念頭盤旋不去。

 
突然想到去年的文言白話之爭。在那一波論戰中，許多網紅或公知跳出來攻擊教學現場的老師，批評許多教學現場的老師專業程度不足。也許他們的批評是對的，在國高中教學現場的老師，我們的專業程度本來就很難達到大學教授的水準（實際上也不需要）；在某些自己不太擅長的專業領域（例如白話文教學）可能連研究生的水準也達不到。但這恐怕都不該成為評價老師是否稱職的唯一標準。

 
我兩年前才剛脫離研究生的身份，一直到現在，我都還不斷吸收學術界的最新研究成果；但在教學的時候，我只能說，這些東西對我的幫助是微乎其微。老師自己的專業能力很強，是一回事；有沒有辦法教到學生都懂，對學生的人生有實際的幫助，又是另一回事。有時候覺得很無力的是，學生通常一點都不在乎老師教的東西「有沒有意義」，對他們的人生有沒有幫助，他們只想知道「這是不是標準答案」，可不可以考到高分。

 其實這不是學生的錯，只能說，台灣的教育體制好像難免會讓學生變得這樣短視近利。

 
其實，台灣的老師已經翻轉到把自己給整個翻過去了，但學生通常還是原地不動。接下來該思考的，應該是如何引發學生的自覺，讓他們自己負擔起學習跟思考的責任；除非學生自己想翻轉，否則老師自己怎麼翻都是翻不過來的。對於這個問題，我目前真的已經耗盡，再也無心力去思索了。

 明天要繼續戴著腳鐐跟手銬跳舞了，算了，睡覺吧，晚安。","1571713456","undefined","undefined","undefined","undefined","undefined"
