url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/hcnice/posts/1983507555034825","1535538506","","1571173342","/watch/?ref=external&v=2132823623709597&__xts__%5B0%5D=68.ARBRKGveHrbtljrykA1mpgcL9A5FZlwsYgs7OqhG8ryXsbuaASrgbn7ATEZH-2yfrVc5WZ86b7wTpjb-qIJyS7huZAtEWrTZNa31EzKKETk-sdwSbBryJGbxQfbH23snwecn9T1v54YfzQoNYLUrEWh6cLr9dguLxuSBga3VYQXimSl4sfef4W5gzBq8LqDp6162A-9PU8lfoSDH04zQ04Ar6CRPyMqETjn9SE3dKxMhEAtFpCHC-7ATmOPH_PkHjrW_0WYk6VlZ4OCshMTgBIdxuUANVXxI20smJ55CxRsu43_D7pseZQODpE9ZAB-k_ufyKSQC593lZRMlkMAGS_KIPLf8bFnpksZuVIu3qLeTJFTmLiyv0OkJ1JOmi8HUPeSAqLwcQqDCJ8CgUVNsPx6gH9snootnZ_pn3MMXHY4ZrURQs9G6ftUC1x3dNIXcYfj2Il9RU1lXJOIagx6aPUr9qADpUNy7Yu1S1Zsx2sKS0522aFVJfS9FFNpwavidfr2l_bw8zc4rrSVwAHbkryAXqg&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/35000073_2132823660376260_2729355346131812352_n.jpg?_nc_cat=104&_nc_oc=AQnr8hbq30IRAoq2i3aT_ak48abUNCPqWRS9QBgVHvLSMpkhr7XGZhRkfm-pupV_HNI&_nc_ht=scontent-sin2-2.xx&oh=1324e186deb6b20efbfadd2ad2e5c025&oe=5E617C47","undefined","已購客戶誠摯推薦 邀您一同實現人生最高成就！","Posted by 長虹陶都"
"https://www.facebook.com/hcnice/posts/2000470093338571","1536807650","","1571173343","https://www.facebook.com/hybestlife/?ref=nf&hc_ref=ARR2Y9Hcg8ybTPYCR_55kyDqafski6YaIJoGOZBYY3EomaY3w2d5dw_jB-9G76CvWmg&__xts__%5B0%5D=68.ARChrEwy211wAYpv8dkN5aZnheT2MVIZ7JhdSZIQivsDpxKeBXTyvlXqcO5evB4FtKA0G5W-ZQVeo3NbVkBGLesJzn8bw5uMfdWfhA-vpLDv3fO0-SHUxudEqs3l1O6sOIqes30Mf-7MriejNP6eflXF-5UFTNOFgKxW7gjvqXdyxkFWAyd3RFBm58GU6VQ_fZYf6CCFPExiJd7R6aEk8vRyUdqYwl4erUbmSag5E-AccSBrecPvNirJXAm4vXm8ifz4OPSYNm1ib6OcP7jLI5WgJ7JknV3zlxbLYGVXwHN1bA5OltwUbAqapcXSxj58L9A_Z7YBHnrH0PZ1xFwinOtLAB3YnkwhicXQeJMQA7xlgTBpb5MkmUSHOf_iW9h5-jnDV4Boj_QXkbJ_8LUlGpCUVW--D_wEmDiQBuklTNt9oosbdgSMW4EWYAl2WoeChacE0zvQoajyrbRODws6dolA0f9XkLGwjhoKiUQbIKWamFH8iLPwwQ&__tn__=%3CH-R","https://scontent.fpnh6-1.fna.fbcdn.net/v/t1.0-1/p32x32/38894754_195834231288440_2014448320201621504_n.jpg?_nc_cat=105&_nc_oc=AQnpKqWKO4mLgzFMk4wUGjG4exg6B0cIcCwLlKmkRb8pOOQWB_quCvk4V82y030iwTk&_nc_ht=scontent.fpnh6-1.fna&oh=727da32f6b00e3b17ca730fdd5577763&oe=5E6317F3","合陽合仰","合陽合仰",""
"https://www.facebook.com/hcnice/posts/2530858550299720","1567239155","天啊！房貸利率低無可低，有計劃買房的你別錯過了~
http://bit.ly/2PlbDo6

 【#沐極】
🌷「離塵不離城｣
🌳「景中有居 眼中有景｣
👍🏻2房21坪極致高效機能宅
💖陪伴您與親愛家人編織美好未來☺

 💁‍♀️歡迎預約諮詢 親臨賞屋✨✨
📍 接待會館：文山區興隆路三段331號1樓
😉FB私訊或加Line 約預賞☕️
💁‍♀️專人諮詢服務
https://bit.ly/2KvapiZ",1579206329,"/hcnice/photos/a.626564220729172/2530858510299724/?type=3&eid=ARAzNP0poO54woFiVJ76Hf6PGdbagmz1ntM8Qnwfo8wnpyjBIX68XstD0Fpm-9s64AJI1F8gSoInVVEk&__xts__%5B0%5D=68.ARBPSSEQSfySKjVl4Hos8C2sdWfp8kX_-dLsvFG8HBf_4lKq78EkbR4W_IJ_4Kd2kbbwlnUQdNa0YWUUQjtMbIQyGgXgmrUsC4ccQ14_W4pm4TwJgPO-yLNAa4nyl-7ChL4g80mReP1VXzygXpDz6BVvUa_0RkXCvAq2FKMqSHrPcDVP5lcGvN3DiQLevIy6F9itVXhkkHMV2cPfsj8P7ek6R1hmeQCWASqRK4jTxeAyLsVgTbR58wmda9FHwlc58j9XpiLiPDMtdgNrb2WoOefBDK6A6AlSq6pVctFJgn7D9rw8Ln7oCCMnPJv2-DimJEHyqrt3y1XPsGg35MR3_VOg7g&__tn__=EEHH-R","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/69580643_2530858513633057_9034484881324769280_n.jpg?_nc_cat=109&_nc_ohc=LzOIOdZdNyYAX-fvVCD&_nc_ht=scontent-cdt1-1.xx&_nc_tp=1002&oh=27cf806962b9242ca7127593fc4b1b13&oe=5EA4D5A8",undefined,"",""
"https://www.facebook.com/hcnice/posts/2180261135359465","1548479036","把[鞋盒變禮盒] 關懷偏鄉兒童，歡迎您❤️一起加入愛的協會
http://bit.ly/2AViUkU

 ❤️心中有愛 行動要快❤️
愛的行動 善的循環
#愛的文化教育推廣協會
02-29263666 連小姐",1579206338,"/lovehappyreading/photos/pcb.1983600088356527/1983596881690181/?type=3&__tn__=HH-R&eid=ARArGx-PYIBK2acTpJ-fCQ41V4dx81oJGNZURFqkHQe9Jiosc3iTsccdbvlbffLcdd1-6HXHGJQpZ8s5&__xts__%5B0%5D=68.ARAhdsMzkPgu2UIcQySWClPUAz4sbyDYdsBdEkDb506EsDQNmEpMizl_AL382qSSciYcszKcWEXyvkO886HoiLX-EeO3wLq8NJbHURWxMlE9t7eE_i015YsJ70YvzljvYWzmjrws76nbeMTelmMPKKdXz94j3OaceKl81Or8SQVURAEwy__KKP_vNadAgULqeaciyn3ZklK6KIT6QrZxlRy63VgYLaVezSs5CFLqNowXgXGc4TELMCuqyBXN0lmI2hSsSAJDRS8QPPnl6AWj6-CxABMIufD5E1tzLPangr-XyxeYHP87LTylsFIWOlZJAcX9HsbF8P6wVHfFIFeVi6qkJxo3v31pd_3uhNO12r3jL0lr9F4DhU0X0I9ymQ0PgwLIrQ-iVOABTJuC6U-ZfVhb9nIBI4tOxRjm1_Hr1sLn8Wb9YTtYZ4FkcXKnzi__iHqB-uM698YNySSOuKVKMIQ_zzF4Koa1QZ1624TWpgGuvhCt8b1DRpwA","https://scontent-lis1-1.xx.fbcdn.net/v/t1.0-0/p526x296/50636641_1983596885023514_8168117959709949952_n.jpg?_nc_cat=111&_nc_ohc=KTlg-TEHYpUAX9hws3d&_nc_ht=scontent-lis1-1.xx&_nc_tp=1002&oh=b5881dbdcccece9e91d2119cd8a641ac&oe=5ED6DADE",undefined,"新北市【愛的文化】教育推廣協會","新北市永和區"
"https://www.facebook.com/hcnice/posts/1719945808057669","1516856124","遠離空汙「清新置產」當道！！！

 寧願離城親近自然 大口呼吸好空氣
也不要坐擁市心豪宅 卻被霧霾籠罩 😷😷😷
【合登上豪】鄰近17公頃義學坑自然生態公園
用泰山之肺淨化您與家人的肺 🌳🌳🌳

 ✨【合登上豪】泰山唯一新案 ✨
讓您買的合適 住的健康！！🤗🤗🤗

 #泰山新屋＃泰山房市
＃遠離空汙＃換屋 #首購 #置產
#泰山最好只有上豪#泰山新建案

 泰山正市心！明志商圈
中庭水花園│25-47坪
輕鬆成家2-3房❤歡迎賞屋
►►接待會館：泰山區明志路二段185號(文程廣場旁)
►►賞屋專線：02-22963666","1571173344","https://l.facebook.com/l.php?u=http%3A%2F%2Fwww.hc-nice.com%2Fnews_hot_sale.php%3Fcid%3D121%26id%3D1005%26utm_source%3Dfacebook%26utm_medium%3Dsocial%26utm_content%3Dhcfb%26utm_campaign%3D%25E5%2590%2588%25E7%2599%25BB%25E4%25B8%258A%25E8%25B1%25AA&h=AT1BeWDhEPWVLRQ0OHIX2HHY1OKeDe9--fHbpm-MnRoUjf9WNKaXkdPdx1eao2KS22pQ5s_Hhc-5TE1-bUMK4nmzRvuYi26f5bjRuPKRA4D6jqJu6cQIm50hBxu43mlTq6rwbEKh5g_UcN_ofXN-Hk3OKReVPrIbMCF4zMYJgnPhXilHRDDULoAapm42Nf4ZHoHvsV86jQs9X2BDUqGmcx3oHpkv8gqopXLfGl_qcK9s6CDx-0AGo7HaqOygkx0j3cwv2DzA9WuGUbkG7qH8T25YMuPJ95W_KHJM6DhcsvYb5Wcm6jF0TM3RtMa2K1DPkOLzsRCbvFDkM-AtZwk9m7pk1dzCU7EBujTINuLXcSi9hxORX9fXYGcDVcpicxE156PZ3EVsY0l4cDaSxrHuWfDXfB3ar0REZqxmHKkKRPl_x3SOdDrUqjMFdWIxFTB3aQ-p3ppompNdrULbW7RH0bkhv71KZUSiuUvCAnjy6WxwGNZV9g-hz-8PEbkgIBjC6nmXAJ4D2YYTZ1-QoFy6dvCTbONDxokV8apASYG55y3bLHmN2hpQHN32r7nhC0QcLfTYb4Q4C_3FWRFNy-G0xp2FB2lMFq9ub6ms6TTOgcgZIJXXM56lr2JxjcfdliPgtDrowDJRLp1Wasl0","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQDWnA6SQR6bErTg&w=540&h=282&url=http%3A%2F%2Fwww.hc-nice.com%2Fmedia%2F2018_01_23_070402_2224.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAew0346fcy8E9U","Image may contain: tree, plant, outdoor and text","住近泰山大口「森」呼吸，遠離空污～不再聞紫色變！ - 翰昌專業房地產行銷","經濟日報 移居泰山避居空污紫爆，環境與格局共生起家！ 大家都說買房首要關鍵因素就是「Location」，挑地點除了看大環境與小環境，也不能為了挑環境而忽略「住家生活」。挑一間好房，當然是為了久居，特別是今日 ..."
"https://www.facebook.com/hcnice/posts/2022686437783603","1538473396","","1571173344","/hodengbest/photos/a.1865958120387409/2096637453986140/?type=3&eid=ARA9U_CkG80v9hxBNX9hxG83Wua-NiYInvQ-V8MwFSY7yidKdcWMoDegPqSZ9vPgS1HdO4l-1rIRmYA6&__xts__%5B0%5D=68.ARDbM5MvVr5jWMGCT8cFXrs5nhA4RiithxwpZEuaZgydRkc54U2s3bUJnQ6QqHPeqRmouEbcY12qRduoNmEgGeaSKgc_jJc161MKGV97F4q-mqTEHtVFeRO4teK5SMUCpBYg0ilLp07G5fonOkd-2BHWppJmi17ExMjOofCMiAbWjyb7uS2s6oiiDw0-pg674Ni2Qiv0sGLVUf4th9STwrx43CI1ZkIv3HyKESuiakY_fmw1N_DeMU_KTK__Z0StmgmRuSLrBA0TXz7JtXarHEeM6XdfyzBtsofHQpJV8L3NiWOqL5S7ZrR8Ch39PeSIkCqglCDCuHsOF1XwzuTatoxEJBE_y8mmjSuwV7YPsEBce46mQx0FHvkTJwLecQKykVnospmdLQLNnsVDRWPA8DfV-fgeP_y718OUZ8AXW1igVnKE2ejERD5zUo5ROTgw1nNErxByaVjmR0C97Xj5L3x42_rgB551TFKEaY_HuuWDENAC_u8CKF214Q&__tn__=EHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/s526x296/43024087_2096637460652806_6042776019172065280_n.jpg?_nc_cat=106&_nc_oc=AQmCiCDLdfYD2x_Ob530_6bdWvPP51EWZ34rLEvXMdiOnsOT9HMsy_kT42zO4hbgkGU&_nc_ht=scontent-sin2-1.xx&oh=f893af1757e2057bbfa5ded1c4296eec&oe=5E248E6D","undefined","合登上豪",""
"https://www.facebook.com/hcnice/posts/1865505843501664","1528947037","📣📣📣三峽ㄟ鄉親卡緊來～
再慢‧‧‧區域好房就要被別人卡位了啦！🏡🏃‍♂💦
㊙ 史上最強2+1房！🤩全新實品屋㊙
格局方正、超高坪效，擁有屬於自己的家
【長泰聚】幫您輕鬆美夢成真！


 ☑三峽㊣市心，生活超便利！
☑長泰街綠意靜巷，優質學區 （鄰介壽國小，雙幼兒園） 
☑獨立街廓 、四面臨路 、採光通風明亮
☑28-36坪《2-3房》格局方正 
☑27坪黃金店面最後一席，迅速卡位賺一波 ！


 點我→搶先預約賞屋
https://goo.gl/ZaxkAq

 #2018三峽最夯建案
#狂賀長泰聚熱銷八成
#高CP值全新好房

 ►接待會館： 三峽區介壽路一段157號
►賞屋專線： 02-86742288

 ►官網：https://goo.gl/uzUmCg","1571173344","/hcnice/photos/a.287200044665593/1865505270168388/?type=3&eid=ARBKxyXP3Ygnt4kdnaZ98n6sdEhROnd_anmeJP-C65Ypu1GWhH45eU5CcRlaTmZcKr2H0NyAEKGTa8rj&__xts__%5B0%5D=68.ARAE48Ra6ZXTQti5duK5OO5MA6fCWchh2b4VnsgurpnsAB4jULwp6Chzma_7pjHRtlz6wJc0_0ofk2DKrF96sssimywNy_gfYDKmAW3zAI_KSyu6GuPziVaDlJsAP-1d8Ai2tUR1r80nc4MpI7sbzFo7G4RvJtvYpqTbyoc5tfOIkzLjrSoPQflXCcwUwSZkfcNSGz7V7Ft0gTzu7SDw_hJHDRjBNARXOV6L5qa_R_OymjJk4hIEr5JI6FK3zFgJyCzzWso44XIsJNovVjJu6XaxSI1Ef6SmynIeB5xpqzS-cAksqWdbY4Hv3CLJ4_xy1v7buuX_58uI9I-LNYJEjN3LNw&__tn__=EHH-R","https://scontent.fbkk7-2.fna.fbcdn.net/v/t1.0-0/p235x350/35236427_1865505280168387_627830863266054144_n.jpg?_nc_cat=110&_nc_oc=AQk9uxIRATRfWFnraYn47XUkxryy1Ef0s3ReEojzaU-uSyDkG-tfLq_T35e6tUcsHXI&_nc_ht=scontent.fbkk7-2.fna&oh=1d902d23d22348160a0471ca041b60eb&oe=5E1E772B","undefined","",""
"https://www.facebook.com/hcnice/posts/2019021218150125","1538189241","","1571173344","/hodengbest/photos/a.1865958120387409/2092996031016949/?type=3&eid=ARBAVp0YOqBm9oEV2bmEMQEHaoQqcNJKpYtPKhuE1fJAXfIpFcmGj0pK_SofMxXKxyDcLdsHCoGAx2Y-&__xts__%5B0%5D=68.ARAYuJbXVrbNoHCO-fHlI9mhBgz_qLWyQ7hHIWTW3I-KnuyqeaWTrmuLtpHjec19QipKI3HLvjKgswE0gRj8OG6iYw0wfNlCRK5dR7Uxld9nJmDW7SXppsercAI0-tKTXNMQemfsRrBTC0qjyzya3ni6t0od0e5us2t-MjiQB2BgfWgkoy8QilIVvVxMLNlljxdoYpFq3J2P1aBLy6iMqpCatXeaEuF7ypc_dNLKHAtZUSQWRNEbh6hVN44ldjRytNQZhbqztf6-KpwrTOkaxXmIstyhQ4ovraZFZMbw_yn8294YN8j89Bj2J8JP2CKOuFO2DY06xtVJcQQpvM1c76ETIz_065kJ0ZFpEurVyUZMntWhrLDy79iYeQNh3gcAwCkLk_hWnktS1uDHES_ZuXs8mnJ991JqBOwdHbETpcdGHUddWKSAKovoTnuDV5-Mmx1vwjWbm7RB73flbIXkeA500hXOslRCgAjCM6eRz8f7vuB9TgoAcUi1pg&__tn__=EEHH-R","https://scontent-arn2-1.xx.fbcdn.net/v/t1.0-0/p526x296/42526113_2092996034350282_6476047260521070592_n.jpg?_nc_cat=110&_nc_oc=AQltuwCoENwN2qRySZ1mUOb_aSCigkBsAO4qT9CLNpJfrcDc9z1VDXajW0ojtEfvNHw&_nc_ht=scontent-arn2-1.xx&oh=1adb71dc646a720b942f47296b2471b6&oe=5E61D6F2","undefined","合登上豪",""
"https://www.facebook.com/hcnice/posts/1991317430920504","1536129785","★★★【合陽合仰】★★★
公園首排‧市心首席‧機能2-3房‧29-40坪
歡迎蒞臨參觀 https://goo.gl/CCmJd6

 接待會館：桃園區慈文路466號旁
賞屋專線：03-3411333","1571173344","https://www.facebook.com/hybestlife/?__xts__%5B0%5D=68.ARCBkI9CPtTily7bVi5Vr13kHpxGiPoTFYT0wIVhoDA7NmDF0prgCtxGVVN8UZu3AFeETMRRIqA6FR9ASNp4oh0xyFV_nvsXiHhj9D1Hd9Er1gDYoxQaEPXzrQV7sIowIaUffI0vLkfMERxiaeSW_GGAcq9uLb8k3i9wI8oabTzE5aF1Oui6FT_0REldIKQFaJE5moLhYOLsP5KdlI69SvHhqerijEdZ0Q9AEJrcQM39so99Wo4k5vUK7UWdW2sE8zMAk22K9Dg8ROlLMpdQvdXyj6P5HntvatA-7E-i2c9Njhrn7Z7ha3xEP4aWug2hF7GL2l8R04eLEA2c_MywUGMRJdpMPrJ3xUkn5GLcD5UoUoBVGfoi1spBzg4Q03podj2tBXaiBG4kjZ3O70dYdhi2958R712Q-Vsnr_S41Rpki1s&__tn__=HHH-R","https://scontent.fdac27-1.fna.fbcdn.net/v/t1.0-1/38894754_195834231288440_2014448320201621504_n.jpg?_nc_cat=105&_nc_oc=AQkZDTYPpFDOlEHqdAXBJgheyGF5JmtEuOVfcgWFJQbdlbI8FOyjAaPkH18vA7g-Bo0&_nc_ht=scontent.fdac27-1.fna&oh=21f40d973e61fa0ab6825425719c32aa&oe=5E27D1C6","undefined","合陽合仰","公園首排‧市心首席2-3房"
"https://www.facebook.com/hcnice/posts/2270897639629147","1553917767","☀媒體報導
❤ 感恩回饋的心 創造社會善經濟、善循環❤ 
陳麗鳳希望運用她的企業力量，推廣台灣優質農產品，讓更多人認識、品嚐，帶動愛家人、愛健康的善念循環，落實服務「利人、利他、利己」三張笑臉的行銷哲學，善盡企業社會責任，啟動善經濟，為台灣這塊土地貢獻一份心力，共享經濟鏈、共榮台灣產業。

 ☀媒體報導
👉 http://bit.ly/2HXbRfS
👉 https://times.hinet.net/news/22298254
👉 http://bit.ly/2Ubcpq0
👉 http://bit.ly/2CNMMRb

 🎁推薦優質熱銷案🎁
⭐ 新店 【#合陽天擎】http://bit.ly/2Grxa9q
⭐ 三重 【#長虹天馥】http://bit.ly/2BbkEqp
⭐ 泰山 【#合登上豪】http://bit.ly/2Bbkwap
⭐ 桃園 【#合陽合仰】http://bit.ly/2FXlESW
⭐ 鶯歌 【#長虹陶都】http://bit.ly/2Rqb2x2
⭐ 三峽 【#合康心悅】http://bit.ly/2Wyrqjd
⭐ 三峽 【#櫻花學 】 http://bit.ly/2X4tUFX

 ❤ 歡迎加入 ❤
🔶 翰昌地產情報Line@ 鎖定最新房產資訊，您最值得信賴的成家顧問 http://bit.ly/2LnBXs2 

 🔶 鳳姐․愛家之友Line@一起愛家、愛台灣 https://bit.ly/2KvapiZ",1579206332,"/hcnice/photos/a.287200044665593/2270893716296206/?type=3&eid=ARA6QAZIbg87_lMT1dchZz91Uz6clTy2uteFjcEA5ztAjF15wQk0EB94g7ManaDGBgC5D6QSifCNMmLd&__xts__%5B0%5D=68.ARCns_E-o0OvUlqWDm4m1Qs00G1lrJSip_-Y_3ksUxXGEmynzDG9g-hqyvOc-gk-CO4CxsLf6fAHzs8S7CdPrnQS7356byxsqopJSN91rDAeuklX1K1qQglK0nLuwuNwAxegKarFomaTt79WkBU-_YgUXwkHGe7hnh1otOFyvimCdMT1lt7FLEGjyf_WihTRsrKgln8bVcXWIr0IEHszkRajYM73eG98SdCmQ0Vfr3eFF9BpM9Lp-MeGfA87voigUP-j_gU2Qmvm_kzVm8a2hKdv7HH4Z5s6HB8E6123Dk-8kO-X42U-O-MlZ2GFX2j-WTmrWq5-T59ukDYDJ1LyWm_M3g&__tn__=EHH-R","https://scontent.fbkk7-2.fna.fbcdn.net/v/t1.0-0/p235x350/55819000_2270893719629539_7691496256232751104_n.jpg?_nc_cat=106&_nc_ohc=sKSIhZ8j12MAX8X-7AL&_nc_ht=scontent.fbkk7-2.fna&_nc_tp=1002&oh=4d1d107091312f33a6bbd0d96bc34c54&oe=5E92877B",undefined,"",""
