url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/huaghyihao/posts/648903755591486","1563879309","",1579450405,"https://www.facebook.com/photo.php?fbid=10219250071513280&set=p.10219250071513280&type=3&eid=ARCjLTM9XHEoNjjJL86Vu8jc4N5OKVTf-DRAAzs2nzyQtR7CaCflkNz-YcZeNuq8GcuGl2YZxK5nsKir","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-9/67236743_10219250071553281_2237328093180067840_n.jpg?_nc_cat=111&_nc_ohc=zs1_J4BYMfkAX89xFXD&_nc_ht=scontent-lga3-1.xx&oh=e50eeedd9878ae85a28d31a79ebde02a&oe=5ED4B8EA",undefined,"",""
"https://www.facebook.com/huaghyihao/posts/708702522944942","1571787217","昨天去看了笑友會的試演場
回家之後終於有些寫作靈感
李宗盛的歌詞寫過：
「我看那前方怎麼也看不到岸
那個後面還有一班天才追趕
哎唷 寫一首皆大歡喜的歌 是越來越難」

 但或許沒有人追趕
反而更難寫出好的作品吧？

 #大家加油","1572947534","/huaghyihao/photos/a.162686990879834/708699626278565/?type=3&eid=ARBpIjhdcEmTiaUie9-Yya9aKz8_qbi5ZSidriuX-sGLrMq_ttCZySsxcIrNZ3r3v2wKCv-7KDhv7ewY&__xts__%5B0%5D=68.ARDvQZWnSA8o5-DDUrJk7Ul-fV0hAwil5fz31VnUIWQgvS6qgTjtcRtjZA72of5lOdifNHBlFtUDi3PKdUGiZUZW8xcFwGRvKMBofC3wTCbGU6_ujHCZ8CiEiqLmSMasPvwB3-f5u05bBW20uORHekrh9_SC2EOO41Yg2Z1h3Nr8Ood3vCyAFTT9_ioa-2NoTakAJ-N3EldW14874lSqD9v6HZHc2FNNh-5szS8RsC3RsXZ552x3oIOhEI1bcWnpIU5kIBRkZw4OhSRvPRJob0I8msabjHrtp05CjfDXgoTGxN2x5sLQLsGCQk1yWJJ_M9oU7fKbfg_C2vXOYQaTxjk&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/74645267_708699629611898_4649720535108812800_n.jpg?_nc_cat=110&_nc_oc=AQkjRu5CUrNOFjVN730Uo0UuWvZl4x-Js1EaGth3bb_dRIK90agbVyuFmEYxFMjIza4&_nc_ht=scontent-sin2-2.xx&oh=1ef1a8972e275a73bc8c587ff1c95529&oe=5E46F77D","undefined","",""
"https://www.facebook.com/huaghyihao/posts/705362536612274","1571463026","這段話無關乎你支持香港與否、反對共產黨與否
希望所有人都能反省一下自己
自己是否經常只是因為相信而看見呢？","1572947534","/watch/?ref=external&v=401209060506927&__xts__%5B0%5D=68.ARC299kmvGdec44HGNfwxScLPBHFX68LUVQrA7HYqFvuZLCxKC_-aYMbMA0qegzN8jeeAMrObtzmcv8QA6iRt3Oe9mc7imoza5pFUewqJZcRXCHN_dHMF1laWpL3SN_nN_HBgZvm31r1GQuWaRJV54TLx_FNfkLgjcNU0VU80afvLfQwRZi6NadTyPKGQYKn3XQFM1Ffagb-qYhiw0rRafvTAkJJ7tpXoXJdc_xa6g3jPCtSlhkXGgIPPh6F1taMv2de0I3QPC21vdTBrQ5IwM2iprjGpXU7ivQP2UrtEEoTDuIQ3oWhQf3WqpHfS9L6K3ILIvxNddFIkv-iPiZRnrIG6Jyhfv6KnfFpsNrSeF6kTC5K4KeenHfr48Upoy01mGgumZqJjVQfCLDMpJAbIwOInpnJVAdXmQh0GqtwNh_FHUM4_vRmtahtRYsjOTCYaVs1knwjwMAF1LVDG1LCUw-yI4mOHWk_JTwkhec2MeZ7CwqBhW9uAO-1CDtUGvd14Y4&__tn__=kFFHHH-R","https://scontent.fjog3-1.fna.fbcdn.net/v/t15.13418-10/71064767_481461085772765_4277075626181001216_n.jpeg?_nc_cat=109&_nc_oc=AQm5Hj-OVMToaYtfuCxAi-xYQlIANO6qt8R5HedLKSdUi0YDQSquN3FZnqVFVuMqWlE&_nc_ht=scontent.fjog3-1.fna&oh=83751d25132d534b29ac14cf0887c70c&oe=5E185749","undefined","內 地 良 心 律 師 陳 秋 實 再 次 玩 命 敢 言","Diposting oleh 自由登 - 連登資訊平台"
"https://www.facebook.com/huaghyihao/posts/700300670451794","1570898256","10/26有焦點之夜
內容和快樂嘴六會有重複
粉絲購票前請斟酌喔","1572947534","/TwoThreeComedy/photos/a.387884641556430/986598888351666/?type=3&eid=ARDVbof0eHosepQ4UgkS3RrpwBwytLPbwS5tM9rFudN6d0tQr4sEhtG-utET96EoFQL3Rk2ZI0oLJzrw&__xts__%5B0%5D=68.ARCS6k8CA3PfXi67RNHVsbGJS78QxDkgjLH-ZYI5MnahjvBqtIZITVW0NofwxkNIKTgSatUuBaqwCm1vCtpOTbXqwUkEUsf51dkoFF37dn0Avfk-KgVb-BKFhIF0rzxksZBfsG76USl74OXM3_0SfW5EbrReJqWEMgN9X2kMTcq_yE6sazhDjtOF-pHydjb5i0cYcgYeICES7MsQUEQImnVy7vLc6tiiu4cC-hU7_-MbXHg6hC8aF73o1P3cvLYRqV7l8EXUottoud9RAIYzqcfLS5AjA1TVVrG2GpnY-1qKsKIfk_IR63ZCoDN8LICaooqOQC27ug32eOxvMh3PxfPlO8HBm-C-vwVlVYnF6GCn5rzUUV-_oF7vsRl1PYTM0LuXmRwCNSoJyYVXDgubF-i4JvfnN9o03mF2NRgWPS6TPJtDOmEzFsQmbiGQYWnBa2hjGrn68CzlJbIFz5PVTrNEoZuLQnbWJOe14KaBVwxZE4qttsU&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-9/s720x720/72740487_986598891684999_5348037219066052608_o.jpg?_nc_cat=103&_nc_oc=AQkGXM04jwEXsxv7924DtDbaNn06VpFphmAf33FkgwgTRDMey-6tZ3HNT2EXUD-CUp0&_nc_ht=scontent-sin6-2.xx&oh=323dd9b78aa27622667cef6767f8ebe3&oe=5E4CDE5D","undefined","Two Three Comedy - 23喜劇",""
"https://www.facebook.com/huaghyihao/posts/711462109335650","1572082972","來法普一下","1572947534","/skslawservice/photos/a.1994751080563871/2648285288543777/?type=3&eid=ARCU4VE9wf6Jt4YFSqEK9sJUJyV2unlYfPBtfqizGjdENZ5E27YzNx-NSscjSMtqdUnGeRubjenZq8be&__xts__%5B0%5D=68.ARCDt8w6EhjFWd9paOopusDU929JRQJcjwoOgahmp2VTZj4i_MZcVJXcDyzxTIQvyAFEkk-ym5p4pX2yK1FFApgiOFB5WP4Qxt05-H-lGXBJJ9y62dD6dGmV1zius5GbquKafsQomSHSNM4VPEgIjmwfI6GEtYV2GTWVqr4NcUyQGKgJpdywZpzGjMD9BktbmrdyWUzUlhCTCpMIzWQYexdsEee64hIjLzjJ9Eo8PkTI_8g_lc_f1KeNNJPKnTlbHIWe9-EHDznhrva8ik2MiC4KNPevQvolRSy1CQA2zGxFYWbPbxdCBIyCrbDZOufZPXznL5CXEOuf9QwCL6_Z9d0fvM82UxG8qkPqQVv2eWDLAsiWXX_1bL2J3f1eViO6gJf7SyxAof2qKrv85dIMpRF0ZTwx017Zbf_p9HS8Ia84agh1SoT8uVwyJ_Au2J265Z-pHgFJmJ-l_OSURpci6R6b5a5-MJJdmxV9IDCtfhZ60gmur94q92Y&__tn__=EHH-R","https://scontent-yyz1-1.xx.fbcdn.net/v/t1.0-0/p526x296/74423641_2648285295210443_5998144625997512704_n.jpg?_nc_cat=110&_nc_oc=AQldc_mbyx5LrBv3jVAQOp-Fs0xOBJa444SrYB_ivigWFxw5Zq9j49fOXu_kUeRgz_A&_nc_ht=scontent-yyz1-1.xx&oh=b6dadf6da49a94fc8f82101082155fd0&oe=5E518FF0","undefined","法律新幹線",""
"https://www.facebook.com/huaghyihao/posts/716990098782851","1572667933","萌萌三部曲各自的影片都沒事
完整版卻被YT黃標
YT的審核根本沒有道理可言
先暫時鎖起來，媽的","1572947534","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/huaghyihao/posts/715317425616785","1572492285","如果墮胎是殺嬰
那麼流產就是過失殺人
產檢是侵犯隱私
剖腹產則是非法入侵
懷孕可能涉及非法禁錮？

 「男人們如是說」

 #原來歧視已經是件理所當然可以掛在嘴上說的事了
#原來我們是從老鼠籠生出來的
#你對老鼠籠有性幻想是你家的事林北只對陰道有性趣","1572947534","https://www.facebook.com/photo.php?fbid=2529440457143022&set=a.111455845608174&type=3&eid=ARCmzGbOzzIajuJiyfIu1pKINNED4ol_peW9V16vn-FbW6fuExk6i6ay_-dmfkRoIyQsIslIZ2S5hyX7&__xts__%5B0%5D=68.ARBa3bAi7wlWHECyZyfrmL1PgL1TLq3HJS6FDCuaJ9vXr1tYc_j5f1qj0kTNUI0N6ZRH15a80kOLCLXyhx0VlqO4g_jmqou96Zlv5zuNvgxSef5OZrLm6rHOkWO07gAf0riQVBR-vs57mzhWAN8cRbOrJiH96XFnPIM23r7OJotc5gPWnrfqHcw0_7ke6DTcaSxFX76c0v9uITlQ-pJcvpBiq4YWf5BCfMnFcClTsAgRCA5wOiQcKKdF38qL3hcKCvncqfnojt1VsbyvoK1zwusiCT6mti5wo8fq3Vf1GViP3pzbHj342r8L_prCyhLLfdF08SnSwJUYEe4Hd2eszgw&__tn__=EEHH-R","https://scontent-yyz1-1.xx.fbcdn.net/v/t1.0-0/p180x540/76706700_2529440463809688_7415377116625108992_n.jpg?_nc_cat=103&_nc_oc=AQkB-KkczWNMNtzpHBTXm5DbU5IyI_uBWW_em8bQPyfNZm07qcFdR9s8RuOZ43jkArg&_nc_ht=scontent-yyz1-1.xx&oh=d1f06912c7093c1c3a37639b933af612&oe=5E638863","undefined","謝宜安",""
"https://www.facebook.com/huaghyihao/posts/709061629575698","1571826050","讓子彈飛一會兒

 希望能夠儘快加入戰場
#江郎才盡真可怕","1572947534","https://www.facebook.com/photo.php?fbid=10206419019391749&set=pcb.10206415638587231&type=3&__tn__=HH-R&eid=ARAsRpz-StKBrsGfQRFPaK6W0I_-tClvmWf8CNlZOHcIGAnKKA7VeHIfFaXRh6LhprjpdYib0NdtHm1o&__xts__%5B0%5D=68.ARCjWIAaitA94R9zhdHi3qR8OBwm07NcqAOjLOyIAYz763KDV8kVonbwD2T4S4zdC7V5b5v8LhOjC8jZkr8PSYOvXCgconCQhxcDENnbCZHs44QzgHm1V7NR77CpB9ZF670_owHPgx5PXAdoU2buchUXVIbN6N5fB73Bdrra7BoI1l5APzOBgdl-HzoJOsgSCYtTRFizo2zpptkCkx8ZpTmEcP1HjnXUMxawQJUlCv3Q5a51vBnu237KosRoQfHJQxHWSbPh3ouOVNEpyHfIGPxgbjULSBv6Ky1pV7pzXpGT1D58SNn5IvpOx08S7zggAOJP7VVR1cj8jaQF8bebnBA","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-0/s261x260/73281444_10206419019471751_3859649837741899776_n.jpg?_nc_cat=100&_nc_oc=AQm7fA1P6YwvvNPgllUqewkqWZSROaqNxMPhzgAszQqt-K-ODUAvZ0XvceFLYyxCkdI&_nc_ht=scontent-lga3-1.xx&oh=c138859a9577d0bc8c39a347017bb1fe&oe=5E45A199","undefined","2",""
"https://www.facebook.com/huaghyihao/posts/715500522265142","1572514330","接了一個活動演出
客戶看完試演，反饋給我「現場有教育界的官員，請避免『你唬我』這個用詞」

 我不懂，「唬」什麼時候變成不當用詞了？
嚇唬、唬人是髒話嗎？
是怕官員對號入座嗎？

 為什麼要污名化「唬」？

 #教育部官員阿不就好聖潔聽到唬字就心碎","1572947535","/huaghyihao/photos/a.162686990879834/715498125598715/?type=3&eid=ARBpL5fkaBeSErxbqn6LgCNQjuBlv4n9yq-sAyl_W5xf6QLTuaxGurDpejzdvnC2cwH0GCRZ3q4Br6vo&__xts__%5B0%5D=68.ARApnNx0zDQ8Pve9OYm_ZF_E8G_B0Yi3f224gpntomDP8-O4loIqisYtD8kTmt5nAHq4C9JB0t8ZscDKZ_93eCg7PhBM9jIyN9ZyyCtNlMDmeC-EctSPpiWqMlfEo36xuzQLrda21mfw9fWmLz2Xq_pfCEQR5ABkk1MsxaWQdtq_X1Gkd3BalUSl7uTl4sqvH310AOwU50_WmuFeEbw2rxJhd8Ddfmh70e-PphT3DNisml6tsgjgBqpOdnd-V0xvY6-F2M7qB7Cx060wX7I8A4MVyqOuMux-XJvDvRjV4tCczzUtzkEABEsY3uswCAwNRMT3SFjuDFwxoKofXiX_q3g&__tn__=EHH-R","https://scontent.fiev13-1.fna.fbcdn.net/v/t1.0-0/s526x296/75349206_715498128932048_8193061867044732928_n.jpg?_nc_cat=102&_nc_oc=AQk8bTG1Bi8DP-Rp6i1V5mP-aeBZ4dOpZ_q2yCpcJkMRAO2KOZx2Sx7gyhCEa_iYnRo&_nc_ht=scontent.fiev13-1.fna&oh=a3187f6b71b1789e71588c8a480a9a3d&oe=5E478497","undefined","",""
"https://www.facebook.com/huaghyihao/posts/697993227349205","1570624039","What⋯⋯
我已經到了掉個包也會上新聞的程度了嗎？

 #你好歹跟我說一聲讓我知道要分享啊","1572947535","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.mirrormedia.mg%2Fstory%2F20191008edi011%2F&h=AT1n5Ayl88uLaS3-Fipeng-frrkiHJ6JIp7DAjutUe_ygKrL4w_1tU9ZuPqtv1PyH4vsQIJBkKcljVoBwxddj3jGsi6yIlohe4FIqwoHSS-U2nPUKe5ruXrFcx6pcY4c_ERdJZjnvonJVZLQRZ6v-OyFT9vE9Nj7UN-HUGGnLO-AzV78Z-IA-7sS-5nth6Uc4-DdJ-JGVaW5YK3bpnlfmspo3Iwt17kcsI9tP5Dh0quJzGqFli4aN7GPvpj3yWKdo7ca46z7dWZofK-WkME2VPmGdXvKoovBNJlToAx-duFHHz6BADUyVsOu8rRyBmlQHQOyzCFvazboPBvs3hV3eQMNMH3Di3kQWVbgtLHZ-vsG__J5M-PL-GW9pELtbptCQ2pKXjojsAkY1gtKzhYU5xaOZD09_TQfrWzcMvAI2vpjZ-ljyhwjqZRevK-wCs6gi0sBMIpgKmU7zHEKu7BeK1PCtvTm5bKYsYkx5hpW7r5gc8rXhGYX_L2nM7g-AjHMNjIcjIlt33dqeQDUmMjLAsUYTXo_TIEJMtDsX3hjF-XEp4seUlrRmGDRU0YF63fmQDookrMOlIlxgrPICsYbtTK4O2FbWqY2WjGZKKnqJVLL2Kl7JQ_hJoSUzBvtbjlMU-rI_gLT8M-Z","https://external-ort2-2.xx.fbcdn.net/safe_image.php?d=AQDUOo2luNJWa90W&w=540&h=282&url=https%3A%2F%2Fwww.mirrormedia.com.tw%2Fassets%2Fimages%2F20191008124708-48c01444180106b2759728a05f6eb5dd-mobile.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB41GP4uIHw6ZCS","黃逸豪個人背包遺忘在台中高鐵站座位區，半天都沒有人動。（翻攝自黃逸豪-台灣最強八零後相聲演員臉書）","鏡週刊",""
