url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/illustrator.curly/posts/2399432576991320","1570542689","2020桌曆來惹！！❤️✨
桌曆、明信片一次擁有！
每個月過完了還可以把它撕下來當明信片用噢₊˚‧(๑σ̴̶̷̥́ ₃σ̴̶̷̀)·˚₊
⠀
預購到10/17，截止後將不再販售
之後也不會開賣，就只賣這一次噢( •́ ᗜ •̀)
定價300元，特價200元(運費另計)

 預計11月10日出貨

 https://shopee.tw/product/1758904/6800411214/",1579442608,"/illustrator.curly/photos/pcb.2399432576991320/2399432410324670/?type=3&__tn__=HH-R&eid=ARDU1g63w7_52I98QOCIqf0bPjSxnNjTX6vIz0mAvpwJt6NjPvvm9DwO8CFBDPAVeg3RGThy3waq8f3b&__xts__%5B0%5D=68.ARD_7HM-3fCeXrsbpoxu6AXcfsmx3l49inCBspzTmJJPHQxJLA7U7eCavt44s977PO9MoFuDM91pd73jxkIran1zCj5ChMil9wmF8o6EdzvZnFJMoyi3FkAau6xTM4dLnii0c9hbWkylX13tS55ATAmXc2wXhZaiY_E-AOZQuGAylSevHyknuQ3CsTyCRFelZzhUvqDgSn3aqqChXR-xY1qT_IYS1cTAL1eor5rcZAP5SmBgPiMy17eJp3WmQ-IadlJzlJqCB4hEZ2eg2CwzXdxxFd2vX43TyLwBotKugrD71WWE0Bj8AWPIfeIWrYaU-ArmHTgbdAnCsvKijxXdECTA28hq","https://scontent.fcgh28-1.fna.fbcdn.net/v/t1.0-0/p168x128/72176337_2399432416991336_9162508970131193856_n.jpg?_nc_cat=106&_nc_ohc=60guEyd2pSIAX-KIKc3&_nc_ht=scontent.fcgh28-1.fna&_nc_tp=1002&oh=2705e6a8b3d68094bbb90ed043e56e36&oe=5EDAAC95",undefined,"",""
"https://www.facebook.com/illustrator.curly/posts/2135454446722469","1535116431","愛用個性去判斷一個人星座的人

 #捲捲curly","1571716652","/illustrator.curly/photos/pcb.2135454446722469/2135453293389251/?type=3&__tn__=HH-R&eid=ARDJOPK6hC96NAecFWBnvTKlQt47gvvzV-bVdoXeXzNKg81Fz7ktiZB-bskR8wZ5gkq9mBUC2APa3sQ0&__xts__%5B0%5D=68.ARDAjc4SK_bmR88tBvqqj5hJ1SdCmuActvlLQTPHnWsPJ7foURg6pY7kMGPdeI53IxUTsRnJlYDt5BdEQfa9x2zgGrJy6bM12GmhuM6_dskWnhjYLP2xv6DXfa2elkqaE5xFuLCv6YlKftVZ4CzKaswRpPwz4FpMisd6XIeo44PL-TaxTJI5xXy8_ccmNz9AzkgglzDu8IVvHoI08uOiwo3danMlip28odXXev8FkXQCVHkWYMSN_rh8dV4ljIj5yZ-ioFoMkm5flZig_LPxKtlWm4jrMmvYpGwngenLhdWp8m_pG6CZy5Gt8LIN1Fi7O4m8EzwccRQUkfCbLRERDTHbWFaF","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/s261x260/40025982_2135453303389250_314270165866905600_n.jpg?_nc_cat=104&_nc_oc=AQliAh88gz0u0SXxpJwimT9_NyevhNtYDwQQC8WLgAfqqkgwiYfzOo9canrRTIpBZcA&_nc_ht=scontent-hkg3-1.xx&oh=111fb019baa3e6a6f7f47b32a522d539&oe=5E60A770","undefined","2",""
"https://www.facebook.com/illustrator.curly/posts/2261776054090307:0","1553504775","原來是清明節要到了啊
怪不得台中也在下雨呢

 #清明時節雨紛紛的部分
#在台中讀書四年很少用到傘是真的
#捲捲curly","1571716653","/illustrator.curly/photos/a.1432392033695384/2261776054090307/?type=3&eid=ARCJBW15OUT6Suwp5LWaiKCtmxiUw2--pfsDCQKiiEhJ2GNIZyZfvhX8AdswOgng-cTQ11Srgjyiv1df&__xts__%5B0%5D=68.ARDXFZ_43YwYJuBdXzrva9wiJG1-xRWmsTQhcYqFsM56RFAw0AVFA1c9JdjxwAFxLTNieID3NrZTLfyVYNF-ThQAeBgvVo5g9etxUt02oooe3tuiv8BaAEoSxQ-Zr_0SmlUxceCDw80NtBo3YWcJka2fiwblTOr70zhfaTc_eoJPqySOPIQEtWFYf4aGq-Uhuu5iu3-FNvEPOh2Wq3rwCotSKdMFbrsM9QzcfuzAsq_NYgz7UPDEyyTKvqOOZ5tN9Vg7TnrMFjHxvTWOGzhGyPGicDAo-29sp4FscYYU3sHpJkN_g2nfhBmG9nu5PZRVeqvXuuz1E0CQ2KOpUFqX-_Et-6Z_&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/54730405_2261776060756973_609043924694073344_n.jpg?_nc_cat=105&_nc_oc=AQm_u7v1UGRLwa3UIpgUZ4EystHCcurVnmW7zhnZFxQSzzWjjtiwAi8Y0jbAww6Sv-s&_nc_ht=scontent-sin6-1.xx&oh=39d880e92b6ad652f25676e513ffc2d1&oe=5E5AA788","undefined","",""
"https://www.facebook.com/illustrator.curly/posts/2246662808934965","1551272322","最近是不是分手潮？Q___Q

 #捲捲curly","1571716654","/illustrator.curly/photos/pcb.2246662808934965/2246662698934976/?type=3&__tn__=HH-R&eid=ARCQzvMdNvBzZyVtCK1bhkDwwWEsXZLczlzDaJHiTwSnTzizLTg0yqm1pZbFztOzw-MOBTFBe0nvzxHf&__xts__%5B0%5D=68.ARAm7F-Gz751NGGGOASbSI2wfXIGurByQcGJbF87IAwbm1zdGf0bv-1_x9_Qvyj3zbyr0dRzfG2dhuV8H0cMIbRNt73UC0BKtZY8NIHLu2iD4xfaDDlJ-2CVbD-Wx-oqKFICPOd0qK3oV2TfmKYxWmL6aWWj0dcD_4F7g44h-nz90Budb2DWNlwBDB8r8Z8b0-bQY7c94ID0W3_9GVlcNH4ua5tCcM1LCNY7e2xeNjG0MGvYwDLj8GVglvmAjJIEQ90HvWlt1rvei0E2ik4qHBbj_-eFhg-hT91Vb4jxGpTbxnNQnX7RpiRB4Y-FLsDuHRqZXmsfQODVB9cwe8dZNGCeTqAg","https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-0/p168x128/52902906_2246662708934975_296944053046476800_n.jpg?_nc_cat=103&_nc_oc=AQlqYVCzmTZTcSAD0GyrBFx1r7NLZql4yrVqGJ1U68Y2S4tabF-usSYzYbbdumnL-Dk&_nc_ht=scontent-hkg3-2.xx&oh=86501d7d64142dac8cd6fab7dc6518f9&oe=5E259729","undefined","",""
"https://www.facebook.com/illustrator.curly/posts/2355133968087848:0","1565449196","明知道談了戀愛
到頭來的結果會是分手居多
那你就從此不要談戀愛了嗎？

 把握當下是快樂、是幸福的
才是最重要的。

 #不要怕再去愛下一個人",1579442605,"/illustrator.curly/photos/a.1432392033695384/2355133968087848/?type=3&eid=ARBiDTa8wiqQ_271zvzOiCGamzqZTrF3IoCOsqj1mjoqt1PTfeyw-zETPg_ft3y278G5F76-2BlSBKkc&__xts__%5B0%5D=68.ARBmYPC4HP0HifMuUIFPtBuOs1grz6WilWbcn2IY0d9moRDvj8eNS7FMR6Iy8SmQdgR6S8Xe_jt7hmyof_SSc-ZTgwX4cBdHj4YP2wJwT8uywbjsJc2AXwGKQHcnlurfVW9rZlKnJqcO3N2Gvj6J4_83THLQ8iGqIp41AMY9dFeT_xWlHTBoi0MfWCR5aXzALECVvQ8xtKdPotjR2oVBjeu2KunfdY3HcKgOJt-iVlWnb4cxHmomZU9rNTfxP2rmjWx45i7jWJ-Bn1nNtD1WJrvSo1woRgxk116MMOW8PvOHFqq_S5pce6GcM-0QJrVZjFFzp0u8bWs7WuegxGUk40WE6cEr&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/68319316_2355133971421181_5083207594269474816_o.jpg?_nc_cat=107&_nc_oc=AQkPEsouMondTjYlSbzO6ma9yxXSD98tuWHxVHwgH0nFKAgvyALCct2MeM-gZWkOWtM&_nc_ht=scontent-sin2-2.xx&_nc_tp=1002&oh=766f079f2ffd31833ad5c718f01a7daa&oe=5ED936F0",undefined,"",""
"https://www.facebook.com/illustrator.curly/posts/2182694288665151:0","1542453562","最近一、兩個月在經營插畫事業方面
遇到了大部分創作者會陷入的低潮跟難關
不外乎就是粉絲人數的壓力和創作瓶頸的問題
導致自己因為現在實習的關係無法兼顧學生身分與良好的生活品質
甚至讓心情長期處於憂鬱、不快樂的狀態

 「當自己自顧不暇時
也沒辦法再帶給別人歡樂和溫暖」

 是的，我想說的是
目前的狀態沒辦法太常更新
甚至要休息一陣子了。

 一直都知道自己是個很沒有毅力的人
但我想
畫畫，是我堅持過最久的一件事情了
很慶幸自己下了一個很勇敢的決定

 我會努力把心態調整到最佳狀態
並且
繼續把創作分享給大家。

 #等我回來喔","1571716654","/illustrator.curly/photos/a.1432392033695384/2182694288665151/?type=3&eid=ARB954pC62j9zVmKp7v7CHA8Pt5S54IAZ9aMAtz5PuSm68kmyUWuISqQgUMG80JxtP6AyF89DtHfpI5E&__xts__%5B0%5D=68.ARCPqEKphSKrFQVF2OoRpmyBM8gzsJw0BkWOm1T6MV5BQOIdANg7Dbq99kFoox4GW86N8jOftBHrcAxLfDTS1QCA6Rvzj0tdWjRa5oyVhGg7VOpQ54MXN5Z6Dq2P6ef8gR6pu_KC6rXos39PFv68irLAKWrHH_qPD-hDJ41OQ5FHudHUzFu8eyswRG7vo0L7q-AHn01nkFOEHYWONcjCjz30vqBA7jUYiW2MiJMFKF1TImyqTysBLzYr0anfgPJo2O3bzCCZisXNjjwUjjO3Kb9OTT4GOI7hoRm9Kpe7GiHy9DIPGJ6vRqz7PywkubGl48TP8IQ-UEPoCMYMu49tAE1w6gBD&__tn__=EEHH-R","https://scontent.famd4-1.fna.fbcdn.net/v/t1.0-0/p526x296/46449461_2182694291998484_3421003251548422144_n.jpg?_nc_cat=111&_nc_oc=AQniRAt1zc9HkyXWN2cQYdJ2qLcEeBQbSogGPMUHFRl3BpNr5ynlpp4CbOv5dh7AVD0&_nc_ht=scontent.famd4-1.fna&oh=0b23198dc76c1dfa95265b2f9eef1800&oe=5E58B5B1","undefined","",""
"https://www.facebook.com/illustrator.curly/posts/2150930171841563","1537529807","三人行 必有人落單

 #捲捲curly","1571716654","/illustrator.curly/photos/pcb.2150930171841563/2150930105174903/?type=3&__tn__=HH-R&eid=ARCg7dx_-xbZBcK5qJg5fV-bg7UEhlsdjAc_EL4L-VlqECC0IKnUnt2MfOwZOxVArXg1_xEDMoc5ETFu&__xts__%5B0%5D=68.ARCs36NEEja2HbmrFyLDRUKWIyUOTraAM_ExuaVZ2gpDNgx1M0-I7g5pla1AkabZwriR1WvywMtYkv3jBBg6t6Rv8oXomBTwhPVZFVP-352snzAyPxJdPCVAbzNarxLJzJ8xXlvOcggVxbeSPNv0ZUhOMymFbvWqfNtQiLuvtRqd429KYnShn_j3dBZABfI_dU92gQmMYAIyLoCse74GYMs_tLbDHlq2tf97RRHQtUDmZSiENromv03MyAMrygTl7VoN1ps2JE1SeHuXqVv73jdtUZnDugwOMIHCD6abGtH483_B3eAzW-avtfjM_d0v8hPg-Gi8V8seFSwmn4vg7JCHeI0g","https://scontent.fgbb2-1.fna.fbcdn.net/v/t1.0-0/s261x260/42194201_2150930115174902_4260421838951153664_n.jpg?_nc_cat=102&_nc_oc=AQlDBASNOLXyM5N6Tf9JXYpQ2Y4jbPmQwyu2t-n380KErsh29CNL0jv3hhLRZ4ZSxKc&_nc_ht=scontent.fgbb2-1.fna&oh=9fc7ce20a4b743ea0dec5b30ff9ba274&oe=5E59D737","undefined","",""
"https://www.facebook.com/illustrator.curly/posts/2206381342963112:0","1545735436","聖誕快樂！！🎅💕🎄✨

 #快樂快樂最快樂
#新聞有亮點
#我回來了
#捲捲curly","1571716654","/illustrator.curly/photos/a.1432392033695384/2206381342963112/?type=3&eid=ARAp9k4S5cKbi4Afss0iS1dOO-5uCRRMbmk79YQF_DBE4YiOKKABQev5mA3o_zNOcHglazHE6m5vnVoI&__xts__%5B0%5D=68.ARC53L1fmXVxvQrSRO3Nu6Z6hLxaJj4SLWgpWmCPQBTP4xlfw4WhjCZSmzRr7vKTlti0Y2Cc1LJNM89rhHYn--446DWkcTJ5baL_Zvw6_EGV4YLACE5XsuiA-MZLhV7nMGbLQWGd4eljqiWTg59M0N6Z-BD0IvWmOfq-Kb3GGHeHNjgUm0aK5QsG-bPRmgVoSW5RdyakVJcfo5OxqCRaypJRht00Y7onJvbV6w7feR0V2dON-TIX_IggN8E1Jq2LKWJrnzG4djFwSaads1oPFV2af9gyDlGWQcWwS2GtiOEqlzOVrtr5oLRguxjp5rROAuRMEDy09cOR2ZXS3QbwS3G0hVaj&__tn__=EEHH-R","https://scontent.fkno3-1.fna.fbcdn.net/v/t1.0-0/s600x600/49106213_2206381349629778_590752225916092416_n.jpg?_nc_cat=108&_nc_oc=AQm1s2vIZgeTuL1B0293IMUvqDSi6GPYjUnuUsZHrsrbeyEcZ_4XYVs3OhO1i3mz4oQ&_nc_ht=scontent.fkno3-1.fna&oh=3ff8ed5b2578863b9c38483eef77c043&oe=5E5E2E35","undefined","",""
"https://www.facebook.com/illustrator.curly/posts/2025924451008803:0","1522575001","嗚嗚
我好像知道些什麼了(ಥ_ಥ)

 #就跟我4月21號有簽畫會一樣
#全場就我這個插畫家沒人排隊
#捲捲curly","1571716655","/illustrator.curly/photos/a.1432392033695384/2025924451008803/?type=3&eid=ARB4q-iQFDRgKhtwqFkWXw209YFYaOcHDlI9ZOuNrPqvtdUFhD_NzJTMWlrp7VcripvTsOmjtImTM-9E&__xts__%5B0%5D=68.ARDTQLfX04pMIdEk8rQ-la-3MO_53k0FfrgpnjBzmTUZfQlUZKGrZgC3s_m4ZEettT4-Ba_T0UpFtH5RWHSug94OA7ueafZhL4MSaiMXK_EfPdxGcxOZ97PhqhR4X8uYExD3SJLf0c4EBqrUiRt1jF6bqMtOOImUBA-L3unh6JFfGug7sKXTAXOs_It7PQrwNI7A2tHT6CA0TuzlfiRaeqjQrejIt4u_vgME2K5_jVxZac8DXPh9NsehtGjixAw11kh81RsvTQ_AyxUTdMpfuL71ROFEvm_r-qvjVUJLrvBLT6HwIdF9-2_rB1ux3iFl5lROu4NY0H494wDjoJ_j4D5JtJhE&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/27072400_2025924451008803_6590115677532255001_n.jpg?_nc_cat=108&_nc_oc=AQmqeOnKQwu6soTwPD8De4RoSvvFvRcyrQ00BTYWXbE7e0aFBcOQig-thWeSRDLjU6g&_nc_ht=scontent-sin6-1.xx&oh=a44ac569d148adf337020c543c55db08&oe=5E654F81","undefined","",""
"https://www.facebook.com/illustrator.curly/posts/2149392771995303","1537275213","我誰跟我一樣
吃早餐沒有搭配喝的會很乾

 以前都會買超商或是早餐店的紅茶奶茶來配
現在都喝鮮乳比較健康❤️
捲捲工商服務時間📢
最近很喜歡喝鮮乳~~~~~~~
而且我都喝瑞穗的鮮乳啦！٩(˃̶͈̀௰˂̶͈́)و
因為瑞穗的鮮乳獲得2個國際獎項肯定
喝的安心品質又有保障☺️
然後！然後！然後！
早餐搭配鮮乳
對身體也比較健康喔💓
#MondeSelection #iTQi #金獎鮮乳 #代表品質風味安心的國際獎章 #瑞穗鮮乳早餐好夥伴 #用瑞穗鮮乳說早安 #早餐喝鮮乳#本篇與瑞穗鮮乳合作","1571716655","/illustrator.curly/photos/pcb.2149392771995303/2149392651995315/?type=3&__tn__=HH-R&eid=ARACbfrvS36UygDcLzHISSjAqHFeBjP7Zd4Ne2p5Tm1Ck36sgFUd749EggRgiwpPvvpiA621y0mqCkX5&__xts__%5B0%5D=68.ARBw2f9dCIm6xUFXov5_1_BcYr556TbdEPruRfztzGuUHaNalG-6YA4KRGuWSggvhKicH0p71CrRhpQE5uCgE2UFG42bVOlM7bHANC7gxmoc5PMd3vfXMtwdlBw9s1sfMsraW6-n926cMnoLU61Bum48v4G8ea5hrXktRx8bx0ZaieyaSarejNwwh0Pifar034ZySLjSjZs5_jc-jlKEY3Q4pwoD74AKuVkMHsM99co9eVlI_bbliCBr8wpWKJqrjUs_ZnBUMQ7xSsi5WAeFb5V9vkGM01Xmo165RqKm6j0o95ZYYQ7nQ2Bh8sUqhipCw3IwwtqBcx8Zom_bpVGKalXVW7Pv","https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-0/p168x128/41991073_2149392661995314_7080989049065832448_n.jpg?_nc_cat=108&_nc_oc=AQnQ8FmE-sGBbSxwiZjRy-AlGTWkk71rsloNT_KDuLairR5CX2QcYMJPcbyZJtomBWM&_nc_ht=scontent-cdg2-1.xx&oh=6c9b1cba2a0cc98ae3b3887efef70cfc&oe=5E57613E","undefined","",""
