url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/joanna.weitung/posts/10158066467113018","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571053930","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/joanna.weitung/posts/10158985485833018","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579156363,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/joanna.weitung/posts/10159628611008018","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579156367,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/joanna.weitung/posts/10157879575698018","1523973389","被稱之為「廚房裡的歷史學家」，來自俄羅斯餐廳White Rabbit的主廚Vladimir Mukhin，上週末帶著團隊來台獻上為期兩天的俄式震撼饗宴 ❤️ 
才30出頭的他早已擠入世界50最佳餐廳，這次結合了台灣在地食材創造出多充滿秘制配方的菜色。令阿Jo心動的不止是一道道慷慨入菜的魚子醬，還有每道菜裡的食材擦撞出來微妙的味道....
好吃的料理配方真的不需要複雜花俏，當情同意和的食材碰在一起自然就會出現奇妙的火花！

 Orchid Restaurant 蘭 White Rabbit Restaurant&Bar","1571053932","/joanna.weitung/photos/pcb.10157879575698018/10157879497893018/?type=3&__tn__=HH-R&eid=ARCtO-oTXPBv--4HJ5HUe7UQ4Jm_h1y-XVaWc1Ng-fwEZJDbG6IrcKlNaE7k9LyC8RvsyLHJNUQM4gkZ&__xts__%5B0%5D=68.ARBs4IzGvbRFjhnTOztFDOmyjCBO3yYIkvw29eFYHpnTb9aYeSCqW1BofSKSl9VM30g08VIzqOo479Ss2rUdgrsFerPQdaydXcTtXmWFywZA1qy9U7DqPkZgurai2_OvbBGgpoJ4pBs3WyooNnf1UL9eHdhZQSPnrSHEW3hnr2I_xtd6QBT8jlOeBfsZ6dhXBYPIc5R4pnafaVSgLfBoOoFEavsz2NC1o570l3o7oYnR-ibKoAGrvQlzUBXU_BQ0SBsBXZG2uqQ66ZNMu-yohMclA3be_RbF9MOHtJ2NRsi2JP9tN9OP6Zg9BxBReVWEHHcqJIlwN5BHPIUSr48V","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/30707511_10157879497893018_3989704119194684104_n.jpg?_nc_cat=111&_nc_oc=AQkiHpnQso-psGWOyQmkJlQ6g-f0Yxwq27TOXt57-lzMF77jISZ37rs437BQVzzNCk4&_nc_ht=scontent-sin6-1.xx&oh=13197bdeffcb60186c4f5bf021e9bd23&oe=5E386816","undefined","9",""
"https://www.facebook.com/joanna.weitung/posts/10159635524763018","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579156360,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/joanna.weitung/posts/10157563127223018","1516888471","每趟陌生的旅程開始都難免艱辛，但途中能遇到志同道合，心心相惜的同袍... 一切都是最值得最完美的回憶！最後六強有點帥翻...","1571053932","/joanna.weitung/photos/pcb.10157563127223018/10157563093563018/?type=3&__tn__=HH-R&eid=ARBHApFNmHGM6YB0OFBKfe8hxKNnxRXra_I41iRUIyY1AIXXBwthcyACnmD6pEvDpKSH5Ld_v9QxW-pN&__xts__%5B0%5D=68.ARADk2tgYUU1TyUHj-KWT0Pm49TOQF2_S3lsXH7LY68zcX3YWvGXCtGA9mRIuh1z1K20oO9ps2Iyp1BcOy4-sn9YOgVqgaPemwVwsYnNmDovJmlAFapp-zh7QxaZpiT6E9Ceb0qTWtbMKU4cKtvDm32buwl5DnW2C8kGCo-87Iou1CnKMtYuEdbyqv562Z4s38al3KbNcyzIM4U_q1E3P1f8KwgIjnADWKDXwzM_9YC8nVQOEoB8aN2MiDjveIvwvZvUbQ6Go0CtRlSZjB41suUJY6ZdSr0MKW0_o8ixg8OvJjkcQxBODwyy9FeA6FOI-tfZ7tBCSsnJ56YaXjl6","https://scontent.fhan2-4.fna.fbcdn.net/v/t1.0-0/p235x350/27067862_10157563093563018_6983077496725388319_n.jpg?_nc_cat=110&_nc_oc=AQmsSlVczOdrh9M7qSiXgvPR0DaV43dJhY5r7Sj4HYpA3FMN0b1w50dvTN7zpn2dv-c&_nc_ht=scontent.fhan2-4.fna&oh=80e791914ddf16eb6f255cdfc9271fa3&oe=5E1DDF8B","undefined","",""
"https://www.facebook.com/joanna.weitung/posts/10159574293058018","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579156360,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/joanna.weitung/posts/10158720945088018","1546529511","讓弱勢朋友們得到一餐溫飽對我們來說應該不是難事。即使不便捐款，也可以用我們分享訊息的力量幫助這個活動促成喔！目前剩下不到一個月，但募款卻仍有一大段差距...
他們期盼和我們一樣，能有一個充滿過年氣氛的團圓。
創世於每年年農曆過年前都會辦理寒士吃飽30尾牙活動，邀請包含寒士、獨居長輩、單親媽媽及植物人家屬，於108年1月27日(日)至總統府前廣場圍爐團圓，今年全台預計邀請4萬民弱勢朋友，席開4000桌，助弱勢溫暖過年。並在結束前給予一個500元應急紅包，身邊能有一份救命錢。詳情請看連結！

 https://www.facebook.com/286809824802548/posts/1178721768944678/",1579156363,"/genesis.org.tw/photos/pcb.1178721768944678/1178732215610300/?type=3&__tn__=HH-R&eid=ARD4hOv0UKZWmQXbUykeMGrV45Ysjm4Q6Zen0vcxIWuX1Cn_18KjC7crE0kABh3_Umuan2z7lsjynG34&__xts__%5B0%5D=68.ARAndzYWPoI8wDlEAML8lMfgpzzjadQwq2Jp2JskIvMdKTPPCjHVmo7atLRomERZ_lNvepH6-1g0o1qmtcBYnI2-gDa7CObTApWya_udKKl03HXW1l-Z2BVoaEL-i0uy8iL8ok9efl98U2KY05d46PWn6HgxhW3lFHSjvdsrEKD2Vhy0FY32ewPcyfxVfdC7rreRweiFasZXh6j-eHDmoXQTbu_KYNupCllWBNAYEdhrAkehOIO3XyEF7zKb31coKD9hlHz9K3T4GDOJXajZepGxgP_wPgoJgHKMlJTBLCnzzlsubqxO7UVinejk5ZqAZzd_O5ZPwa7zQgZi-9y4JNjYgg7GwUSaPHWkHw27Hhi2CrCY3xjAld-2KhRLI6lomR2b4iqp-eCzgZQrrhBoN-2qPESoioSAzfzqC2qT3S38p5_zdbkvdes-ZVXgwp-o0Jng_L4voOb7TZCVoBDC0TpoCMV3Ik5mrxXi3pFWHtbML7c","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p235x350/47058539_1178732218943633_5929882997070233600_n.jpg?_nc_cat=110&_nc_ohc=XgFxI9RcXXgAX9vU2if&_nc_ht=scontent-sin6-1.xx&_nc_tp=1002&oh=97ceba7b1698cb30d84e9cdaddb42e06&oe=5ED3F9FA",undefined,"Kirim Pesan",""
"https://www.facebook.com/joanna.weitung/posts/10157900881038018","1524577953","今天的烤乳豬皮薄脆肉鬆嫩，太正。檸香叉燒上頭脆脆的焦糖... 食神也落淚... 
至於我手上的春風得意蝦腸粉，剛好襯托出我難得的好氣色 (離題）🤣","1571053932","/joanna.weitung/photos/pcb.10157900881038018/10157900826773018/?type=3&__tn__=HH-R&eid=ARCBNDHTePRTrWfUnQWwO9QobpO81JPu-CIVHGP4JwK_q2jszPqWbDB5rozZBizG26Ed91re2eNbgQn2&__xts__%5B0%5D=68.ARAGzNwb_IHBUrkke2r9_HyjzbZPEhAReb5uFbLT-5RkEoPxGSjUd10hFXb5dh5AVAyVNiX_k4raAeSCiP3hRnr19e49nFlZPwDnpfnIf7D5AUZhSLhFfNTFa4zfNwT3UPsC2_-8jrYXfItgH6jAvp5ex8qcKSu7TqhH_9pD-DilP2S8MPY3pOuxSu8_9bNum6FIUpaWAyBmkHZV1-euO2ANr1TAFFSpYb80QsZGF_jOjpuAqquEQPcZpOhUGptCNPu_fIHwtvwJPj-34arESagsFKTlCt1929X9O5hsryi9u6qhrGqheYw5hIO6g7jStLBUU6z_NMvxgYbSbLJy1QNYeE3xFrGnRQkR_EuAd2YX1oownag_RfZXWTqD8JcCtQux6FaOmIAaeOy9J2sq0XLp54g_hl4rGg","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p403x403/31180043_10157900826773018_5280364093694919047_n.jpg?_nc_cat=106&_nc_oc=AQnVUn5PA5BQUL9jrbxpjlXkth7qgW6upPgmpF6R1XqYng0Eo5YWYmT3uuEt0waJ89s&_nc_ht=scontent-sin6-1.xx&oh=1d8a853860698c92b2630e7d44266ea5&oe=5E271903","undefined","",""
"https://www.facebook.com/joanna.weitung/posts/10159101121678018","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579156368,undefined,undefined,undefined,undefined,undefined
