url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/kindom.evolution3.0/posts/2230332843709311","1566172800","來當新店的孩子吧！

 新店區公所捷運站出站就到家，
左擁行政中心、右抱新店國民運動中心，
從此你家就是『微型城巿巿中心』。

 運動自如：下樓就是新店運動中心，喜歡什麼運動都可以
綠意滿盈：1600坪綠化空間，到家如處公園中般舒心
安全無虞：SRC鋼骨構造，可達6級抗震
商圈重疊：新店區公所X七張生活圈，生活機能大大提升
視野遼濶：近河濱公園，單車迎風或漫步都自在得意
交通便利：15分鐘速抵繁華大安區

 更多驚喜體驗？創新殿誠摯邀您前來鑑賞。
---------------------------------------------------------------
北新大道〡新店區公所站〡3600坪市政園區🌳🌳〡
冠德創新殿29～46坪 ｜2021年全新完工
來看屋🏡：新店區北新路ㄧ段88巷口 (區公所站2號出口) 
想詢問📱：(02)2912-8288
看更多👉：https://reurl.cc/1Vb5Q",1579203701,"https://l.facebook.com/l.php?u=https%3A%2F%2Freurl.cc%2FmyMxV&h=AT2K2KotuLfCN4IkwwTGIysDxKtvEAmHf4x8-UTYM0eAthQ9eHNdt-AzmvLX2hIY4Ok3rRYkiptMMVrrfnTHR4tB590fCilNyZ5PgMPq2H6PgzN5ZFIYv6dNWDo7HIlB3-bF2wMayzzf0oBc9b9ezsPzKkCNzTyFmfnuoXLmUNK-eIQGixQ4oqdbap_yhXk4s3l4yZwHTuZ0Zh9DYeV9xkB6MDjTmLcT6Q9HKioE1rthFjIGrwSWu2wkwtheJq8C2TqqVLsN5fiPo6_c5_tFOqs84Rc1ZohelgTlpjWmtaJYPGglWTzYsXlS5LOYWrCqDQDpKrhaSC7fb7wvVLLap4sj6v8zI1JyKyijGqqu5lDK0jUCs_f_psH185ZiMT09kCfCaLWPPCwHpJUFj4K8XDHPo4xqCDVBu91SuYpcmcqQZWiYz7iMTxvQ5Q5jJIGd6YXf-sCDD1qrHNL9x23eE3HZ-aYCzfz8RB28VUd0kYvVMQTqRS0AFzK5IaAzOHpHzQeb0FPMSbRBgTu2ovY8peZ-kAh84RPVEaZYS1MxTNnCyB06wy40RwvjPb5YdudKPHTVT14omE5rEc-N2wLxWPZ3pltQ3KNkDaXhh4H2nK6i6Ka2Va6oJgFfexlCVaCPeX0Ir0GNOZGZlLoVxhg","https://scontent-sin2-2.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.228.960.503a/s526x296/68881660_23843694420240210_3007161248245612544_n.png.jpg?_nc_cat=104&_nc_ohc=30dnnyP4gxkAX970IxS&_nc_ht=scontent-sin2-2.xx&oh=1c4ac99ad05bf4174d69bc330b35c0f0&oe=5E8FA190",undefined,"全新眼界， 嶄新生活。 3600坪微型園區，捷運共生宅。 ｜冠德建設｜29-46坪｜30層鋼骨地標｜...","reurl.cc冠德創新殿全新眼界， 嶄新生活。 3600坪微型園區，捷運共生宅。 ｜冠德建設｜29-46坪｜30層鋼骨地標｜...全新眼界， 嶄新生活。 3600坪微型園區，捷運共生宅。 ｜冠德建設｜29-46坪｜30層鋼骨地標｜..."
"https://www.facebook.com/kindom.evolution3.0/posts/2230334163709179","1566777600","便利同時保有生活空間，有這麼一舉兩得的生活空間嗎？不只如此，它的便利還會包括：

 📌捷運共構共生，出站就到家
📌比鄰北巿，15分鐘直抵大安
📌新店區公所中心，八大機關為鄰
📌運動中心在樓下，下樓立即抵達
📌3600坪微型社區，寬廣且舒適
📌公園綠地多，也可遠眺河岸美景 
📌三大捷運商圈匯集，生活超便利

 冠德創新殿邀請您闔家連假前來新店踏青遊湖兼賞屋，贏得心曠神怡流連忘返。

 ---------------------------------------------------------------
北新大道〡新店區公所站〡3600坪市政園區🌳🌳〡
冠德創新殿29～46坪 ｜2021年全新完工

 🚩感謝熱銷・錯過不再🚩
29坪大2房熱銷倒數計時・46坪大3房限量入主

 來看屋🏡：新店區北新路ㄧ段88巷口 (區公所站2號出口) 
想詢問📱：(02)2912-8288
看更多👉：https://reurl.cc/pNvke",1579203702,"https://l.facebook.com/l.php?u=https%3A%2F%2Freurl.cc%2F2jYQm&h=AT1k846TWD7a36AZIyeGpPiQpBVzrbuN0RlLfXq1I9M9Rv0P5MPI8d_ktGlxAND61WWnUT31x4cdfrbYopTOV02fOJ2gNxoJpPFXaeUx7MF2gMUSxU-gAbjIZhTJOYWwEw4K3g6zbK6HNAWSpJ63FKVWJK96EIxWn9jtPM2he1j1SfxcfXhV2_uFlFpEqo0RlmqGkNbc1xwMUSbsYVU7YHXKWhYW1D3dywzLHau-XW5Sjar6KXhqYYJ54yDznpUBUJ3hnjtzZ0quviH6amnam64p3_ZJ2z23JRhV2ZOjPU3G9cuYXeLccXkFlVeD13RXhlTEPp4UHc4yqhLp47kaJplxUIEuIdL3501iK5OfZTxvqM3bmXISbtH0ZeFqPP_UgvfdG0vHmCrH3k2qxAD2EvS8XH59ClLvmNsxwouxMmh1u-lmHKEcQyfJjKnbGC6x4fQisFNJsgoEf61__ly7WyvaHXfMoPgFXqyjKmM4AsTA2i7wvMHmNruaQmN0z4Nm0aOtezWlHYc75NkGSIZNW6MMhKtXFRwZNSbRtk8WtsxVDfqaGAHGY-Z10WmHcvsMTP0hV_gdfkQeKeYyMg9CvhJqeUqPgVlXM0--HjxtCFm1VzTuQzaxHLxdzZ8_x7t6ZyJNA55wxqnJbwCiw1Se49aCXw","https://scontent-sin2-2.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.228.960.503a/s526x296/69516988_23843710647790210_1333310856888320000_n.png.jpg?_nc_cat=102&_nc_ohc=8xj26j_JmegAX_Lou4c&_nc_ht=scontent-sin2-2.xx&oh=0fd7ae2d85c4b180662dcc71b8ca869f&oe=5E9A0202",undefined,"全新眼界， 嶄新生活。 3600坪微型園區，捷運共生宅。 ｜冠德建設｜29-46坪｜30層鋼骨地標｜...","reurl.cc冠德創新殿全新眼界， 嶄新生活。 3600坪微型園區，捷運共生宅。 ｜冠德建設｜29-46坪｜30層鋼骨地標｜...全新眼界， 嶄新生活。 3600坪微型園區，捷運共生宅。 ｜冠德建設｜29-46坪｜30層鋼骨地標｜..."
"https://www.facebook.com/kindom.evolution3.0/posts/2230325463710049","1565568000","木柵・養生慢活

 難以忍受巿區的吵雜、緊湊的生活節奏了嗎？那就來試試木柵的『慢活』吧！由眾多學區交織而成的木柵，走一趟木新路就可聞見隨處撲鼻而來的人文氣息。

 而信步即可抵達的化南新村，保留了1960年代的建築特色，是少見的戰後文教建築呈現交融的時代背景，錯落著構樹、尤加利樹及桃樹等，村內常常可見台灣藍鵲呢！

 步調慢活的木柵，生活機能也相當完善，政大商圈 X
政大附中生活圈交集，亦鄰近公館與景美商圈、同時近捷運木柵站，連接信義快速道路，15分鐘可直入信義計劃區；在此享受慢活與便捷生活，好不快活！

 #花園洋樓 58-85坪｜#重疊別墅 80-130坪 
三商圈相擁▪名校圍塑▪近捷運木柵站
來踏青🌲文山區秀明路ㄧ段129巷 
問更多🔔(02)2937-6788
看更多🉐https://reurl.cc/9k6ov",1579203706,"/watch/?ref=external&v=454869615089530&__xts__%5B0%5D=68.ARCgXnj3uFy3DGkDkUtaCaQnf8ag749-RN-go0zgf-tagySOTlikuN42GMmLWBZoNe_L0bSzZy_RuaCXvRP3h17m-1WGUclF8uvGeuJaIWFsyLxdcvtt0oV_VDr5oVS6DRqLch3ivkUE9wCm3P4f5UtudtbLRU-huU7kT-rVQEPl8FM5U6YlWY4UVvSj9JZ1QBXxYuJYP_xpTtoNL9aRSC7t8MoTUCMmGOsIWruJsUuC8DPcEVy85bs0zYhYhkFfnNLdc632g53sUgu9pnasQHo468EtkJc9EUIkOGkxEtMP8zg_IOeUHSgmtwqIPxxyyFSUREkGmd7lfkFbACT-XYOCW7PCwfzUWmaDboDV&__tn__=kFFHHH-R","https://scontent-dfw5-1.xx.fbcdn.net/v/t15.5256-10/65536425_454869998422825_5391582891752816640_n.jpg?_nc_cat=103&_nc_ohc=uAchSja6i4sAX-RvbRh&_nc_ht=scontent-dfw5-1.xx&oh=05674559d109b49448dc029dd43c5217&oe=5E9E5138",undefined,"微山丘-減速生活篇","Posted by 冠德進化宅"
"https://www.facebook.com/kindom.evolution3.0/posts/2238758049533457","1568592000","大家都說，買房是人在挑房
但這裡的房子，則是挑人來住➡ https://reurl.cc/aYd6X
🌿喜歡都是大樹的社區
🌿聽到的不是蛙鳴就是鳥叫，沒有喧囂
🌿隨時都有高爾夫球車接送往返
🌿一整棟休閒會館就像住峇里villa
🌿喜歡別墅大庭院生活

 親自來現場看，發現比影片更精采之處
#花園洋樓 58-85坪｜#重疊別墅 80-130坪 
三商圈相擁▪名校圍塑▪近捷運木柵站
來踏青🌲文山區秀明路ㄧ段129巷 
問更多🔔(02)2937-6788",1579203699,"/watch/?ref=external&v=2565595530169861&__xts__%5B0%5D=68.ARAmmEbPj05ZnDL77WqCtYk1vD0Rm8Tx49dMRk6KnJgk6bhbFBsuF_1y34s1LcmYhhuxoSN4BUu-b4--ZSUuV9L0ATWcbgS-f6RojHyUluWHo47F5zAQJ78pxaR1_PEzSlf2uFpEGQ_goc3iZJVABdxZZb8pcCdgfef-_6pGdwpAtmyBMx5fKIwlJZWqaDqmPuw686gzjQOWo_XgBmweu3_x-FWb6NDf3L82muySLQWgJFkMnRoRVx3w_0qjIDIDcmvnIAwmncdsruT07mvJS_aGGdWVGs70Us0MwXgklJhhKZZQqq1C5rAYRz6pT-q2QtgwwZGRCFUF0BGhRNZefrehmUTwYGK4Ax6ow0Av&__tn__=kFFHHH-R","https://scontent.forf1-1.fna.fbcdn.net/v/t15.13418-10/64176609_358006968236340_6590196431707963392_n.jpeg?_nc_cat=108&_nc_ohc=zVwvawjiRUYAX_JdwW_&_nc_ht=scontent.forf1-1.fna&oh=2cae4f42f8e2512ccb9a14651b6b8512&oe=5E98B346",undefined,"微山丘UDN","Posted by 冠德進化宅"
"https://www.facebook.com/kindom.evolution3.0/posts/2090359287706668","1559093282","便利同時保有生活空間，有這麼一舉兩得的生活空間嗎？不只如此，它的便利還會包括：

 📌捷運共構共生，出站就到家
📌比鄰北巿，15分鐘直抵大安
📌新店區公所中心，八大機關為鄰
📌運動中心在樓下，下樓立即抵達
📌3600坪微型社區，寬廣且舒適
📌公園綠地多，也可遠眺河岸美景 
📌三大捷運商圈匯集，生活超便利

 冠德創新殿邀請您闔家連假前來新店踏青遊湖兼賞屋，贏得心曠神怡流連忘返。

 ---------------------------------------------------------------
北新大道〡新店區公所站〡3600坪市政園區🌳🌳〡
冠德創新殿29～46坪 ｜2021年全新完工

 🚩感謝熱銷・錯過不再🚩
29坪大2房熱銷倒數計時・46坪大3房限量入主

 來看屋🏡：新店區北新路ㄧ段88巷口 (區公所站2號出口) 
想詢問📱：(02)2912-8288
看更多👉：https://reurl.cc/2jYQm",1579203702,"/kindom.evolution3.0/photos/a.1500046563404613/2090358661040064/?type=3&eid=ARCV2Ttz3AxnQLGqOe_mS-5DDYwvDjeCZV5m4jEVGsybGhN2aA5j2248oRSmux7CQKFJ1M0nmlBx8I8z&__xts__%5B0%5D=68.ARD1vl_uTI5UPxqCJ2sroTxCGEjrbs6ne0YLU_5dViRncdEED8T4pExdlCjQSqXaB6CKbYwuq-JJqvSke6MN6_CMzuETzU8SjqEqE_mmHsjwp49Z4q4juuypKjmezZhj-Do4Jcc-f7emIj9JQ5fjwNhIA3bGpcgVDSv80F-yjWoUTtZe-uTqJAKR4LbL2kMfAVfxuwLS_hYdB4jokA5NACMfNod8QfMJdhs_L67njIE4tP_FlS1-7s_l157LxICUNoumBI1Mq70sjYqajShkn9000LEKPHInePg3rKu8w_TBLYmPfkU3ffq1OkOETtV5yTPCuUJ-OP8Pfu80I_1wVSfBqD7H&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/55861185_2090358664373397_5562385258554327040_o.jpg?_nc_cat=111&_nc_oc=AQkxtPPblmclL3Ei6Mpj7nM5RD9ZtFlLnojczXNCO-a8uHu4yPfzOG7vdjjm1FLTO7U&_nc_ht=scontent-sin6-2.xx&_nc_tp=1002&oh=f9e3533bc15a436a6a83369159a8602e&oe=5ED3E2DE",undefined,"Send Message",""
"https://www.facebook.com/kindom.evolution3.0/posts/2099154080160522","1559692801","上班拼經濟，下班回家練體力，
假日陪家人自在轉換戶外模式！

 聽說新店區公所將會有一座廣達3600坪的立體園區，
結合了運動中心、住宅與A級商辦，
吸吐芬多精、室內運動健身、辦公、交通移動，
便利休閒與機能共有，不再是夢想！

 新店區公所到站即到家，
座擁3600坪大基地，彷彿居住在森林般自在悠活，
早起陪家人散步慢跑、傍晚與孩子一起揮汗運動、
晚間夫妻閒適約會，機能切換自如，就在冠德創新殿！
---------------------------------------------------------------
北新大道〡新店區公所站〡3600坪市政園區🌳🌳〡
冠德創新殿29～46坪 ｜2021年全新完工
https://reurl.cc/QERao

 🚩感謝熱銷・錯過不再🚩
29坪大2房熱銷倒數計時・46坪大3房限量入主

 來看屋🏡：新店區北新路ㄧ段88巷口 (區公所站2號出口) 
想詢問📱：(02)2912-8288",1579203710,"https://l.facebook.com/l.php?u=https%3A%2F%2Freurl.cc%2FQERao&h=AT3SrR81Y2QqhzWmb5ZAuCAQCg3n74qb_rRbB7kIl0p-THp7maBmH--WcvwAqVBpKX7AuYdS-2HQ--dxVz0rehEMsK3JVrRy1Pnps0fP8RCh97um0WT3pfqxg8DYAKvV4Nl6swK2hPw7caeiWPp9DeFY1r0k0sxroVu__g17Fgon17m0Fs81wk997UalDhw3buPGMkLR2Ab0ISeuW2sp186Qu-ZzpnvnEPU1xpVFPunqfcfY1lq7Sf2Bu5V7z83CzYZgh9xh-xPHpXHCZ6lHe4FlcElf7o0qJrP9cFHrQTHK_AKAyJVl8pskVLjLlt93yY-XicmXcmiLFcHy8xGU6stjdsifqyHjBP9THPUUuq-y6amZgVvYKz5VzV8i3xjxVvVroRByXKhLdSL0c4CilABximl1PTtq5D1mtTql_3J1uD5Y07F1HGE8MYnNGAsbTy42U2wug6HrenayDbE_PGew1jf3dFwskVDYUAnr4XxwZ9tCURsuAh0we4CehUdtWR1HKJarC4xSQGXKFNM6EksMVEBEbc9VaQrRcUbMvWYwYvufAQLAnHbHJNyHhu_Zl9VzbObNl3Y2NDk9NVmTfQBByjwSWcy6P1E7dw9Bnex6r7TWfZjPMox2Nbsr89PHnmQ2afFLeGqTITwH1w0","https://scontent.fhan5-6.fna.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.228.960.503a/s526x296/62088859_23843510524030210_8386033175695982592_n.png.jpg?_nc_cat=107&_nc_ohc=HVBPNv_2pHgAX8NHIWq&_nc_ht=scontent.fhan5-6.fna&oh=59f84c3fa7c8341fecc78b756d53d7b7&oe=5E9332FF",undefined,"全新眼界， 嶄新生活。 3600坪微型園區，捷運共生宅。 ｜冠德建設｜29-46坪｜30層鋼骨地標｜...","reurl.cc冠德創新殿全新眼界， 嶄新生活。 3600坪微型園區，捷運共生宅。 ｜冠德建設｜29-46坪｜30層鋼骨地標｜...全新眼界， 嶄新生活。 3600坪微型園區，捷運共生宅。 ｜冠德建設｜29-46坪｜30層鋼骨地標｜..."
"https://www.facebook.com/kindom.evolution3.0/posts/1754694584606475","1532914991","黃金綠建築 開窗就能擁抱綠意
換個電梯就到運動中心 住在這裡跟度假一樣愜意～

 #創新殿
#市政廳

 ---------------------------------------------------------------
北新大道〡新店區公所站〡3600坪市政園區🌳🌳〡冠德創新殿29～46坪 冠德市政廳50～142坪
來看屋🏡：新店區北新路ㄧ段88巷口 (區公所站2號出口) 
想詢問📱：(02)2912-8288","1571168013","/kindom.evolution3.0/photos/a.1500046563404613/1754694521273148/?type=3&eid=ARASybQUWnRJz84DgXoZTroNu3GHGvGNiCbmX9GbSP0s7LJPAo7HoUUgKCGmpep_6zDzpM1crbU9-ytx&__xts__%5B0%5D=68.ARBA23r6L4xZ-c6Gc_XGzLoTMykk-gT8WTwYe-gWQBqp1pqyU_DaekwhZkgYxaFqSFfvvMrjqUbqoeDxJMQLZ-ig2-fWNfkkYKqF-xjyNnNh_qRE_upVfEAMRE0YQ3Qs8EG1uhaRU0lnKYduACCtQOqY1Bg1RjLPmPCThvEf4aa-z3OUnE9s9kwKwlDxBveUw54DzN0bttCc3WWgV81lHhosAoOSjWngZPS5wVrF0DOf83AAtDKfaSSasTaWkjjIB7DFUItEI5ahWcTT4XbLL_kLbgNx1ByJh5zTLiDYOUmtCNPn2XPRGV7_oQBnHtrEkiU8IU52Uq9VaSnjLyhZJnZqzHkO&__tn__=EEHH-R","https://scontent.fcgk22-1.fna.fbcdn.net/v/t1.0-9/s720x720/38005633_1754694527939814_1789878262843834368_o.jpg?_nc_cat=109&_nc_oc=AQnN7mnBeX5wJlvbFKpv9vHMOKLv2SrBOdhG4eYICMgKN6Axv-_dP5_n8egWh5gd2h0&_nc_ht=scontent.fcgk22-1.fna&oh=1309f1933106688863f2197202d93825&oe=5E2859F7","undefined","",""
"https://www.facebook.com/kindom.evolution3.0/posts/2230328330376429","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579203707,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/kindom.evolution3.0/posts/1963135340429064","1546992000","離塵不離城、宜家移居的區域，根據調查非新北巿新店區莫屬。

 
交通方便、近學區、綠地廣濶、生活機能佳，就是新店區公所生活圈最大的亮點，與七張站交會的生活圈裡，生活機能優異，除了擁有便利國道交流道、也有大受遊客歡迎的碧潭風景區。

 值得一提的是－碧潭吊橋已在2018年8月被公告為巿定古蹟噢！日治時代第一座由台灣人設計與施工的雙塔式吊橋，為世界僅存的長跨距鎢鋼球軸承吊橋。

 踏青、划船、看古蹟、賞夜景一次GET，順便挖掘附近的隱藏美食，乃是人生一大樂事！

 ---------------------------------------------------------------
北新大道〡新店區公所站〡3600坪市政園區🌳🌳〡
冠德創新殿29～46坪 冠德市政廳50～142坪
來看屋🏡：新店區北新路ㄧ段88巷口 (區公所站2號出口) 
想詢問📱：(02)2912-8288
看更多👉：https://reurl.cc/KQ81g","1571168013","/kindom.evolution3.0/photos/a.1500046563404613/1964207223655209/?type=3&eid=ARAkgTmX-etExf2sPAHWhqVieu5ACWDeFGNXAO_uNiO-wI9ifqR0VtSAnWAzuSEdeCZPadCXMoOCkaWn&__xts__%5B0%5D=68.ARDhN2E6J-qK8TULaYMwElJhOMy6-p0kb8XJF7iQvbyEBMz-aMyKEan4Bn1bAsd0JHC5C7ucP0BTaRv7s-P1CNZdEUpOtrUBWFhiD6ZXa0b_MRBuYgb3rnTnLxKZ6xuGx92arp6_fGD1GeMI6QOYCbqJrdbZfUgTSbhWg6IzyjFibScj83d7RX0NwJQXfQ6ULvYLfWwt7_O-UfUu6cYVAjrnitgkGwAv5PwUuZ7fW_OIduAwjw8kqQ_IeA6SL0pLpcqOdFaweWcopzHjeHmYDOZ47KNCKJtp0CSmjZAmeStLWdz2XIJTOsz0GUq3_ssEmbxSBKmBcrgOAOB0l32f70b9IB3m&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/49435372_1964207226988542_3412832385505427456_n.jpg?_nc_cat=105&_nc_oc=AQno6IXEKaeLJTygkeZCEwe5v_by7cf-6u0NDegi7Cc9DD3nsUyOFLfJL3GNUlUDgYU&_nc_ht=scontent-sin6-1.xx&oh=3abae2678e9b80d35afa2560b8477456&oe=5E1AF6C8","undefined","",""
"https://www.facebook.com/kindom.evolution3.0/posts/2090327164376547","1557281097","離不開便利，但又想要享受樂活？那就來新店！

 新店巿公所捷運站與新店站間，被大片綠意緊緊包圍
，生活圈內多達16個公園、碧潭以及獅頭山與小獅山登山步道，無論是預計2020完工的新店運動中心、或是室外休閒行程，放心！通通都支援！

 
其中最值得一提的是小獅山登山步道，計有『3峰11亭』，穿過住宅，漸入眼簾的是古樸的舊石階以及豐富的植物景觀，舉目可見極佳視野，涼亭數目眾多可供暫停休憩。從制高點俯瞰台北巿，北二高、碧潭吊橋與新店溪，三處交織成，乃是由衷推薦非賞不可的難得壯麗景觀。

 ---------------------------------------------------------------
北新大道〡新店區公所站〡3600坪市政園區🌳🌳〡
冠德創新殿29～46坪 ｜2021年全新完工
來看屋🏡：新店區北新路ㄧ段88巷口 (區公所站2號出口) 
想詢問📱：(02)2912-8288
看更多👉：https://reurl.cc/dyn16",1579203704,"/kindom.evolution3.0/photos/a.1500046563404613/2090326501043280/?type=3&eid=ARC41q-P677sEAsPX5lrtGzdDuX8lK8Jj3b_s13uF_cNoziUcMs0njqO9FXdgaXTCbgsncwTAIpu7a51&__xts__%5B0%5D=68.ARDrEo7z7bV-p3I3I0anDvdQIc1VJfvR-vH9yTEFU3Gv9eYbreUMK-WarxvhLzhhJYh2FNohVqoJaapC9BjzgEIhed84sAdLyAtG6uV6VtRpc49GGmyIRczqQTUSmaqhpt_Jz2kJnye3hYUr0_hNv1wxL1KWhKtOYfwfxqMTea8cw0DoV9GRYxBdwU2ZqwoB-oRAQFIqLFGW1O80fczIRyUhF2EArRmfPeU-cX8L_l47FwZicOcjSj3WDE5VOLDDSPZITrrjU07rnELmoLVYkCHdFqwuj5ZFVTVtv1dF9UyyAx7zSI7InQD7XBFo5D_S0vcSzP8o_OQo0eLlvbaaWWX6rfRR&__tn__=EEHH-R","https://scontent-bom1-2.xx.fbcdn.net/v/t1.0-0/p526x296/55865218_2090326504376613_8740398789711364096_o.jpg?_nc_cat=109&_nc_oc=AQnN-YgrDe3BClFtJHeLjTcRCztcNmQvwHcv8oLPOUkdq4lLmDcO_JDqd6i1SvOt374&_nc_ht=scontent-bom1-2.xx&_nc_tp=1002&oh=9b2d446cfbab1cc1e12a961631ae308c&oe=5EDAA9F4",undefined,"Send Message",""
