url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/klgpolice/posts/3343175865722472","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571403502","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/klgpolice/posts/3293261487380577","1569920230","「米塔」吹倒交通標誌，巡邏員警即時排除

 
108年9月30日中度颱風「米塔」挾帶豪雨及12-14級強陣風來襲，基隆市警察局第四分局中山派出所巡佐簡靖騰、警員李翊煜，於9月30日16時許執行防災巡守勤務，巡經中山一路217巷口時，發現巷口交通標誌遭強風吹襲連根拔起，倒塌在道路中央。
 
時值豪雨視線不佳，簡員、李員為避免危及用路人安全，遂合力先將倒塌的交通標誌牌移置安全處所加以固定，再請值班同仁通報相關單位到場進行後續處理。
第四分局呼籲，颱風來襲期間駕駛交通工具，應多加留意路況並減速慢行以維護自身安全，如有發現掉落物或障礙物，可撥打110報案專線或1999市民熱線通報災害應變中心派員前往處理。","1571403503","/klgpolice/photos/pcb.3293261487380577/3293260210714038/?type=3&__tn__=HH-R&eid=ARB74pVAIzeDO5MUlsfuIlbnZ_y7cxaOCNYlihmu1DcETF9hYKx8LPp7MygbVSjylJiRKVaEvLb1ukXB&__xts__%5B0%5D=68.ARDDObHPGkhDSYBYJZITtk330SWHjIZi-reSnqaC329-KRS_DG3q5P729_Js3uFJqdP3wOBd4oAM9S7F01_2GlUdiAJtbO3OllV45DMpXvBI2-GdiVNRLT6us-6KaEKaCRK_QhcNY9D-bN1rbh-30gWt7kCsG5yyotWIyEpgxDVgBrEVQQ2wXhE9Y0n1NQzAbY_c2vfUE9qCQBN1TOFh0x3Dn1YMsRxS6EybMJ0GGauUxJ40TohOPPrs7JNXqwHAo76XIVONC7oxBKZbghVa4Or8HfPCjJzXVdHY50sbSOHxRUi1MucSLfRpoen_e8v_ik4vdJHqxZA3K8rl1EKMtAW8Ng","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/72402646_3293260217380704_5974322499695935488_n.jpg?_nc_cat=104&_nc_oc=AQko0CvyGkbRTgc5ikNIrFa1kbFq19YVpPO6LpUtpSmKIzPRix_vQR7q9PVx1N7pnhw&_nc_ht=scontent-sin2-2.xx&oh=a0993eb660cdbb300c8473eb36f8be64&oe=5E30CBC3","undefined","",""
"https://www.facebook.com/klgpolice/posts/3270200263020033","1569210449","夜來豪雨淹路面 警擺三角錐警示護用路人

 
受塔巴颱風外圍環流影響，本月21日凌晨基隆地區降起豪大雨，加上地形多山，許多地勢較低之路面有積水情形，影響來車通行。基隆市警察局第三分局八堵分駐所警員陳宥愷及何晉儒於本月21日2時巡邏行經本市興隆街時，發現路面積水，且擔心夜間視線不佳，用路人恐生危險。
警方發現大片落石路面積水後，隨即開啟警示燈，冒著大雨，急忙擺放三角錐，進行交通管制，提醒用路人放慢車速以免打滑發生事故，並待雨勢稍緩，路面積水消退後，才安心離去。
基隆市警察局第三分局呼籲:「因應塔巴颱風外圍環流影響，氣象局對台北市、新北市及基隆市等縣市發布大雨特報，用路人行駛道路時，務必放慢車速，看清路面狀況，以免打滑失控，甚至是受困水中」。","1571403503","/klgpolice/photos/pcb.3270200263020033/3270200023020057/?type=3&__tn__=HH-R&eid=ARAslLuDbzq9Hbcu43CjX7SdFu7M0YnFHjz3Tc4CwxYu9JDfDo9l1v1cd_YhM0wSXKr_TuA_Ye_BQRAb&__xts__%5B0%5D=68.ARDymXmlX-uE3SXTRfHAjiQxcfcud7-VbdNdz3ekOAGt1XBhflTW6fnVrQYtwHb-ZRRD85L3zbPa0d5Pa6k7zKU36xPfCdgnh0QmR20f86h9wUlIFLCYtIEMBGg8-rLaFZHe2UdwYExDQk449mNVg1ABkQ1YHOU9guDFiPUoQ9NThhCs38SMn3QajA_Eoy1geuj3b6RPBcIl5I_OifCeAOVAutc8E9sf67kV1XrQ2b1SbXLNui_nf5irdnt9os0yUVqFWT88CoHEMgSoYKI6rM_-0QuMwgarbWcwwzk4NfLynaRRl7jwtgWMicvlS8m0HCTKdJaIHZuaXzrfSGGsJj4Y_g","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/70180018_3270200026353390_58533231649095680_n.jpg?_nc_cat=110&_nc_oc=AQnnDWnwob5-L1XMAdibobnHRADWzfFjvFgADfQE_83O2aNcAEsDkWaR7wQWI4-ezXw&_nc_ht=scontent-sin6-2.xx&oh=87acb8ae08e066a078c5687bfaf0901b&oe=5E26F540","undefined","",""
"https://www.facebook.com/klgpolice/posts/3316337571739635","1570609775","","1571403503","/kcpb110/photos/a.492290780922160/1445996538884908/?type=3&eid=ARCREqxAXYvZu7QgK54tJxPgmDWPcIwshuDv7TiHWoH-dNgE5Cn32fBI0cZUKzKTTPq9qylLwMRaUh4u&__xts__%5B0%5D=68.ARDKc_-CQse51EL_NzVjejuqHyXwV3aLEFwgDna3gQVXXreEM-VdBaENkrRaYoFGNAC4rAL44cNu-HqXhNZrd0YQUO6u3tG6Y2x5zWBX25Qq8K2HILJZNqxkYvP5sfhoix32Gwuk6deEgpXY5cAyTAdg7kTwdEK9yn2YyVJNEeSC3b0seZhL813K-GDhyzTN2zcUFQ-vqnsDreNXvhtVEOXW9hkNTNGsVfG28EYxuQP1uspgvB69PUBx6zZFEUN_N_UP57Hzd4MBpqUIyxJ-tNPsI-0ZmXFkeErdGHN7VIZMtgVgGexgQk6KXWIxygRMOuiZrNRTSY9Yh_F1sXytdwij70ScVm5mwnn1LPzPywA6Tj7pxI6_Rd8ExWs2gcEA8Mj3kcKS6z9q0whNR3skwB4gl0xXIEEqNGHO-UcXhLCfBswbmojqqe5b_Uk2OhkMUwfIT7TYSkXMwHwbs0TUAhj4xKIqzoRwYzQTLnDXRlGycEG6gDFv2EZ3&__tn__=EEHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/s640x640/72258695_1445996545551574_2481797958085902336_n.jpg?_nc_cat=100&_nc_oc=AQkD3a0c8FTMzYn-VIIJ3-zuKFvPLdLxIL_WgLVsubYZ7FdQtkRSZjVCHllAi2NaI2s&_nc_ht=scontent-sin2-1.xx&oh=f0667cf4bb1deb5ecb3e6886b8c9790f&oe=5E2C7B9C","undefined","KCPB局長室",""
"https://www.facebook.com/klgpolice/posts/3303842559655803","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571403503","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/klgpolice/posts/3301263043247088","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571403503","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/klgpolice/posts/3336362203070505","1571186016","失蹤13年宣告死亡，子女思念立衣冠塚，警重啟調查，比中身分助其返家！

 
我母親失蹤13年了，我們怎麼找都找不到，因為不捨母親成無主孤魂，我們才幫母親立衣冠塚祭拜，盡一點為人子女的孝心，真的謝謝您幫我們找回母親！緣本分局第三組組長許耀彬，檢視警政署身分不明(無名屍)系統，發現新北市政府警察局汐止分局95年11月24日，曾受理一件漂浮於基隆河岸的無名女屍案，該具女屍因長期浸泡河水，毛髮及五官均腐爛無法辨識，又身上無遺留證件、飾物及其他可識別之物，採集指紋、調閱監視器亦無所獲，遂以無名屍公告協尋，13年來資料一直掛在無名屍系統等待比對指認，大體並以「編號7587無名女屍」埋葬於新北市汐止第一公墓無主墓區長達近13年之久。

 
案經許組長依該無名屍的體型、外觀輪廓及陳屍區域等特徵，搜尋交叉比對分析上千筆資料，於108年9月5日比對出一名居住於基隆市，95年即失蹤的75歲郭姓老婦人，特徵與該無名女屍相近，遂重啟調查，為本案露出一線曙光。

 
再經許組長查找老婦人的子女，子女告知母親早在95年11月就失蹤了，剛開始他們家屬用盡一切方法四處尋找，父親還因為思念母親，每天騎機車都刻意多帶一頂安全帽，稱要順便把母親載回家，也多次無助的求神問卜，可惜都沒有消息，在遍尋不著絕望之際，因怕母親成無主孤魂，遂於106年父親過世時，以母親的衣物幫母親立一衣冠塚並且與父親的骨灰罈放在一起，讓二老相伴，盡一點為人子女的孝心，並於107年辦理法院宣告死亡，至今雖過了13年，但他們仍然十分思念母親，尤其是逢年過節時，總覺得家中少了1人，一直未能尋獲失蹤的母親，是他們家人心中永遠的痛。

 
家屬還說，剛開始接到許組長電話時，全家驚訝的不敢置信，因為母親失蹤13年已宣告死亡且戶籍資料早已除口註記查無資料，竟有警察還在調查母親失蹤案，讓他們感動萬分。他們相信真的是奇蹟出現了，是母親失蹤13年後想回家了，拜託許組長帶祂回家，也弭平了他們13年來找不到媽媽心中永遠的痛。

 
復經許組長採集失蹤人郭婦子女唾液檢體送法務部法醫研究所與該具無名屍做DNA親緣關係比對，比對結果吻合，確認該無名屍即為已失蹤長達13年的郭〇〇。後許組長再聯繫士林地檢署原相驗股檢察官，調卷並依法醫研究所的親緣鑑定書開具郭女相驗屍體證明書，於108年10月15日順利為該具「編號7587無名女屍」，正名為郭〇〇，後再帶同家屬持郭女之相驗屍體證明書至新北市汐止區公所辦理領回「編號7587無名女屍」，當一行人到達「無主墓區」找到編號7587的無名墓碑時，家屬等人淚流滿面，再三的向許組長鞠躬感謝，直說真是功德一件，讓離家13年的母親終於有名有姓，不再是無主孤魂，可以落葉歸根找到回家的路。","1571403503","/klgpolice/photos/pcb.3336362203070505/3336361963070529/?type=3&__tn__=HH-R&eid=ARClesc_M4aCGFq4PcEL3wwC6WjbpePwL_3y4O-rovf-nr08z-zpLCvFwOjJp5k6e_tZPlolPkIckVu0&__xts__%5B0%5D=68.ARDi6bOqlufUwoCwUzyv859RqeXxKC3F2pXWOFxMbJqn6fOnKr-WvpAIqE2jREQE3R88GVPuKWSYZ4BC_U8q-XkhBJ5N20q4Tx8Rcsll-xqkWCDMPyyG3dzxXhYi9vEjR7-3wUatZV70LHuV_-CEtb7STwjGkdoVCsSmRANbKj2UKUWSwJZOJpZg9Ql_uUqWEgagq6ftQQwff97vz-BQTvFtT1b-whupFeJfWK-5IyH9aiNv4GPQVeF2R_kTMdH4W8JRqtLLYw-4qPbjtEyvMqTQzrprW8i5DtEvCiBSyjeJw_sC8oxLIzWCz2xIxB8dy7S4LBrjK8cRcowrpcdBFdbuvw","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/72556185_3336361966403862_9154835392581599232_n.jpg?_nc_cat=105&_nc_oc=AQkhu-ugdsUI_v_8cC6v3SluZ1DaIhLTNeQ9qvWU91Tip6EXOdqlqOIgqsrRNrfzv1o&_nc_ht=scontent-cdt1-1.xx&oh=6c1286a7f16c20ed82f20a1dc892e71c&oe=5E2E396D","undefined","2",""
"https://www.facebook.com/klgpolice/posts/3342979689075423","1571370118","警四分局新(卸)任所長聯合交接，承先啟後護治安

 
基隆市警察局第四分局108年10月18日11時辦理中華路分駐所暨安定派出所新、卸任所長聯合交接布達典禮，由警察局黃副局長勝智監交、分局長李俊德主持，並邀集地方民意代表、里長、仕紳及協勤民力幹部到場觀禮，現場隆重熱絡。
第四分局原任安定派出所所長陳俊霖榮陞基隆市警察局政風室警務員，由第一分局忠二路派出所副所長王政硯接棒；中華路分駐所所長陳俋宏榮陞基隆市警察局交通警察隊警務員，由基隆市警察局刑警大隊警務員劉威成接續擔負起安樂區、中山區治安的重責大任。
基隆市警察局黃副局長勝智及第四分局分局長李俊德，對於新、卸任所長從警工作歷練以及豐富經驗予以肯定，期許其在新的工作崗位上，更加戮力於治安、交通及為民服務等項工作，充分發揮所學知識與經驗，全方面的推動各項勤(業)務，發揮整體力量，以民眾福祉為依歸，營造民眾優質安全的生活環境。","1571403503","/klgpolice/photos/pcb.3342979689075423/3342979272408798/?type=3&__tn__=HH-R&eid=ARA9BzmGk94VPUIY3wKPPo_DqfnnEm_bDzMIOv6DbY7i9ebpUwY-Od4z_iCpnc0NmdTmjxZL1r3q6bQf&__xts__%5B0%5D=68.ARAZ4_v7XCEeaiG_ROX_wbS988MBlQqlMQaoj9hdNfIHDdd_CEsJtr6MFh9a-Bv1eV6GgjMuI3TBcMJbYnJwpIxlrW9W3Wdt5vBc1CLGR7gxABlx3kxOVTwRhkc2MvGDJfHNIqySJiige2QlUUJI1kxzM7X6VitolAWBmb4YDqRtnojBz0YrP-naXoj3AT6Zu83NDGQP0QwmSRXBs0uccREV_PjFHdrjFX1HBPXNaSkbl8IWiYCwdChNdQ2fIDoi1OVesme9hkUh87D6jVYBfPLgj8ClM_PwWc4ZHglMskGUO6-wdslDIIy6NFIb61UzZCQZ0I64CnijWorckxsQoGOvmA","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-0/p526x296/72948423_3342979275742131_1303009514722689024_n.jpg?_nc_cat=106&_nc_oc=AQl_MPxyoOSAY_GdbcqVZ-q2ZMIiF8Ap1AIiURfvPzXE8qjiu4Oy0om_zjdbmr1OyAM&_nc_ht=scontent-lga3-1.xx&oh=4f4217a4d757d14e57ceed7666959623&oe=5E601604","undefined","4",""
"https://www.facebook.com/klgpolice/posts/3292621534111239","1569897122","中颱米塔強風吹襲員警不畏風雨保護市民排除傾倒路樹

 
昨（30）日中度颱風米塔來襲，基隆市區明顯感受到風雨漸強，讓市區各地零星狀況不斷，包括多處路樹傾倒影響道路通行。昨（30）日23時許，基隆市信義區月眉路290號前發生路樹傾倒阻礙交通狀況，基隆市警察局第二分局信義派出所警員林奕杰、警員許暐昕接獲通報後，不畏風雨立即趕赴現場擺設交通錐、設立封鎖線確保用路人安全，同時通報市政府工務處人員前往清理傾倒路樹，迅速排除道路障礙。
第二分局呼籲民眾，颱風期間隨時有強風或豪雨發生，駕車外出應減速慢行，注意交通安全，行駛中如發現有路樹傾倒或淹水導致交通受阻情形，切勿強行通過，發生危險，並請撥打110通報警察單位轉知市政府災害應變中心派員前往處理。","1571403504","/klgpolice/photos/pcb.3292621534111239/3292621357444590/?type=3&__tn__=HH-R&eid=ARDgemEFB86EHfGvAIQyb3eSyJ5wT-glT4D2jaZwP_SKzwTcgShkEKO3iNFc0KsQVcGMJ7tX8ITF8Oas&__xts__%5B0%5D=68.ARAiGsngilfeZb0VQMtxrmbcNZkh8LoRmVKz22pYmStOM9VyALTD-IWRwOOzo1tSRGB2LcPUwm0yRQk3TLtAns2Iu3ssRw3ecCAn78ogjEI0ikhwv53MBQLz6iEn1hW9ATKNAcComnS-2iQ5ovbrTHYLTHdtZx8s3jUZJ1TUjMlVzCwMeI1-R0DpVm18xgSB0GWSpFPg3xU4GHEq9VUYnAksd9SbHDwe4aJyW112ssK5DHYpagBG8U2S6wS30DBd7t5mNQXkP4_9exP7girf1UPO07IWb7xWEcWQNBYATkuNxDOruai9x3OK_HGyCiTCktfprypw4FUTArw9t6lm2Wk4oQ","https://scontent.fhan2-1.fna.fbcdn.net/v/t1.0-0/p526x296/71877437_3292621360777923_2835892821657911296_n.jpg?_nc_cat=101&_nc_oc=AQkYX9gE_ExRY9IKLUfydOK4yyLVigza4uiTwp8SyhISAaPeMb2iFwOL0hC8ZVDVIU4&_nc_ht=scontent.fhan2-1.fna&oh=0f94c63a262d35949f498d0d2385b805&oe=5E28810D","undefined","3",""
"https://www.facebook.com/klgpolice/posts/3270424099664316","1569218838","","1571403504","/kcpb110/photos/pcb.1431671863650709/1431670823650813/?type=3&__tn__=HH-R&eid=ARDa0MkYlpnriuXkd8m_qtZukiSVbYUcf2cvO_UNv0otQrftrzy2H3RaxJPZUyznddxkHgQMgU9u6oRt&__xts__%5B0%5D=68.ARCrG7-VXl9EsMl9Ez4y80-4EimVJLNhgUUQa-lwoJUrChk6Ei-JGO1hqLE1kPcc4rmv4f0_DTsqt5Lnn-A40B7Z4r16AGuVeFfoNxHM_2-wk_7BBaqXzWYJAH8Oaz2yEG7VR3WPI637Ue0LAKWYZivroOi4csyPnJD4tc7RezuvzYICSpp0D2tkeyLCRVQmoxjdgvXADQ4PwrJgZNF0kFUuQin8OGWXYobm5cFZxdeVguHB6cCV743I4ZfhCkcAMx76Ap9GB7HFDi2hAO5dOpsokegRiXs32wlX-R-dO24Ec9j-cxCQD9oYdmdnqqCDSHVR9oHvZolzsHOIdRLcld9MAWmxI8n0YVA70HK1A6u0JZtnvJOL4CuBGy-bM6OAcDdnQwmMfbIV96lkTR_JXWgC7VGSqx2C1iTytOE_DmeSHUmcKtpk5rbtlqvxjR4zdj7ugKGLVmPcaczQro1ixK_MyFhKnaERop40BeXenXmHWam-ThErIk64","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p296x100/70492059_1431670830317479_8005775304092024832_n.jpg?_nc_cat=104&_nc_oc=AQmMJmHzy5kkVKMSdK5OjqAl-Y3-NHmWWTHa-AlmJ8LRh6Kvl3TqRTlRpRJDMVaHCSk&_nc_ht=scontent-sin6-1.xx&oh=3831e28876e9ad670265602671246ad3&oe=5E6277E0","undefined","KCPB局長室",""
