url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/kuangyaodm/posts/270354030293616","1547730001","∎《就是這麼簡單就可提高下單率?自己的商品，自己推》
-
以使用者的角度去建置網站，為了就是想讓使用者到達我們的網站能感到舒適自在，讓我們的網站更貼近使用者的需求。在使用者擁有良好的網頁瀏覽體驗後，進而為公司帶來利潤，雙贏的局面才是自架網站的樂趣所在！

 光先生的網頁設計解說想看更多，就點進網址吧！

 #網站架設 #網路設計 #數位時代
#光先生
💟光先生IG @mr.kuang__
https://kuangyaodm.org/website181001/","1572942030","https://l.facebook.com/l.php?u=https%3A%2F%2Fkuangyaodm.org%2Fwebsite181001%2F&h=AT2JO5O75b89dgljG-8dWwWjg85VmfcaOeBxx-EvKrF5WWEeINvfUCG5tNUki2evorXbTxw7NgnQC0XhVtG23Stvs7LKiPEj5Sjyt_vGqyQUUVYWXLUzAILLfa5JivAuZbf8tkMBWuiaUBOQnXSmNyOLz70cEx21dh5y76TmbKhCj49uPsvpVFvH15lA_nSleWkhqGMzTYuED3se9wDchY9ApKIvxvW75wo0CZzJ7kBAU5AeFofz-4BbwgMTBxuym_eUlQL4SLOJ_qDjyjB7-7ibZirIBmVRQ3VVjRuFQM0Y8CSqSOF_j7jdNMEbf9Sk7dmpJqPfj3DClFMWMyC36ddCHW5kdj_ryVPeCQ-SBbBn61xYgPQYNXT_5C4TkYAfgOFAbDs9TEkZImTY787hCNUNe3ix7xCRoB3iAuOCB1kRT0qifPvDgNG-G6DTZ64xef057PfM6nm_HfVUzTezOnSgCMFLPNu6BCoznaJxOlC0rq1-vIQTDIuLQyg6gn6J4yIYHrLc-7Z8susluBtkwG6fGPfQTvDsWrXv352jcj75GmrGjiLhhS4i6G0d6ck60jlVUV0L6WG2SV7sosXGgvtTJZGuF_XzAz46o9_2qkEkGfK9BDPHqtufz0kvg5N-ZZ2zcjClNgs","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQAyUtpdSxzLqVB5&w=540&h=282&url=https%3A%2F%2Fkuangyaodm.org%2Fwp-content%2Fuploads%2Felementor%2Fthumbs%2FBlog_title1001-nwxcpy1d52s994xgrkc7aj9cxgxy6oh88lasystigw.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAiPo0PS4-TV1mN","Blog_title1001","就是這麼簡單就可提高下單率?自己的商品，自己推 | 光先生-每日學行銷","今天光先生要來分享的是「網頁設計」，以使用者的角度去建置網站，為了就是想讓使用者到達我們的網站能感到舒適自在，讓我們的網站更貼近使用者的需求。"
"https://www.facebook.com/kuangyaodm/posts/401346943860990","1570194004","∎《一頁式網頁該有哪些內容？利用起承轉合法告訴你！》
-
一頁式網頁因為其簡單、快速、低成本的特性，成為現代的電商常會利用的手法，那不管是一頁式的形象網頁還是一頁式的購物銷售頁，網頁的內容應該放什麼才會更吸引人呢？本篇就用常見的寫文章手法「起承轉合」方式，來告訴大家網頁的內容應該放些什麼吧！

 #一頁式網頁 #一頁式網站 #一頁式銷售頁 #一頁式網頁內容 #光先生
💟光先生IG @mr.kuang__
https://kuangyaodm.org/web191004/",1579417184,"https://l.facebook.com/l.php?u=https%3A%2F%2Fkuangyaodm.org%2Fweb191004%2F&h=AT2tc69NhUFymnVqtkEjJptRI2D6OjYVTBnoqOSslk7Bkjj1PqHFqCMg06woAhJ6T6f1KHT_NyFnLKEeEj-l60bnq2nJSiDdNN57fFcAIkYPo3l0VfpzGoZFUcTjpIY_tuN5TVWlsVeit9DsBpeWFzs5DMLYmc5Dx05BV6rKuyFxG-5NUXP6RPMbHgQQe-BAG1_lLtc6a10dDuRvmbLSwRD0kRK9NSXanIRq7gHPIJr1jzE9j89b2R0AOHebJeivHBI79Z_CwWHxzERo4PPv23cEzWdPIHibVFqNh4sIViOalT16__ZPjsOCkCPA68DrhDhHAeixD9j34lg2UCJ78AeQEUDVtMQuyahj3NFrs4ioqDYtglvIpgsstzNO3nJRR-HZCYKb72mbfB09jubBUtq4lDaniXW-ZNtNquZKy-_d8cr-9Vj_q7hfbOIxy5oKV0iv5yEOEkuA_RRLVLQ_68xdj291Jx2cyV-1dV2UzNrx2ix9R-Rx6b1iWufJfQYDFG4AtZOV-DpMONhl7B4oA8aO64TOyZAZJwsg7MxfJS4o_tEoLMvp5M0JRpWIkoHLE3swbyPIlp_pow0ucntJpJJioNN3wLekyAwKxK8AL_V-vfgKkY1_GGVroEzRwdhFNLhQBL_3z1-X","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQCNLiBOpIQYNXE5&w=540&h=282&url=https%3A%2F%2Fkuangyaodm.org%2Fwp-content%2Fuploads%2Felementor%2Fthumbs%2Fwoocommerce%E6%95%99%E5%AD%B8-oepwjg7qbwcl80n9czg576ts5zze6ackey655nxy9s.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCwVW1Zhe1hwywM","woocommerce教學","一頁式網頁因為其簡單、快速、低成本的特性，成為現代的電商常會利用的手法，那不管是一頁式的形象網頁還是一頁式的購物銷售頁，網頁的內容應該放什麼才會更吸引人呢？本篇就用常見的寫文章手法「起承轉合」方式，來...","kuangyaodm.org一頁式網頁該有哪些內容？利用起承轉合法告訴你！ | 光先生-每日學行銷一頁式網頁因為其簡單、快速、低成本的特性，成為現代的電商常會利用的手法，那不管是一頁式的形象網頁還是一頁式的購物銷售頁，網頁的內容應該放什麼才會更吸引人呢？本篇就用常見的寫文章手法「起承轉合」方式，來...一頁式網頁因為其簡單、快速、低成本的特性，成為現代的電商常會利用的手法，那不管是一頁式的形象網頁還是一頁式的購物銷售頁，網頁的內容應該放什麼才會更吸引人呢？本篇就用常見的寫文章手法「起承轉合」方式，來..."
"https://www.facebook.com/kuangyaodm/posts/409752953020389","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579417191,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/kuangyaodm/posts/291973504798335","1551013201","∎《照過來!照過來 ! Facebook的影音行銷你會了嗎?》
-
你知道，現在及Facebook最夯的影音行銷模式是什麼及Facebook要如何影音行銷呢?在前兩篇介紹過了影音行銷的優勢劣勢以及如何挑選適合品牌的影片類型，讓我們接著看下去吧~如果您是粉專小編，不妨跟上這波行銷趨勢吧!試著將品牌以影音方式呈現，可能會於品牌知名度會有不小的幫助哦，快跟著光先生繼續探索Facebook行銷的奧妙吧!

 #Facebook #影音行銷 #數位行銷
#光先生
💟光先生IG @mr.kuang__
https://kuangyaodm.org/adv190109/","1572942030","https://l.facebook.com/l.php?u=https%3A%2F%2Fkuangyaodm.org%2Fadv190109%2F&h=AT3qoMyhTn9VRBVgCSu_2JH5lAdfOdIDbNdagxfQRuoAim3c1jJXXQoMkzhz6PiYXNSzjA-gho1rmkKVfnSE3FnmT_tKTVxdMFXg1l9jaM7n5n28lYsEgamsS-q4bXUaGnrnhgKk3QVynzQ7zKmN9APFPe2vyc-CCeaB0MFU6Ibj98iK3vrp89GfM0XLiId28uEUZuvnttbUzj23i10XlDIQNAXmPZxtvaMc2q9NgLcF43Qi6JV2D01yeHNHrYxxTEdUxj_qhpOTLgNzRE1y2_AAQmPKH2tkY6UwO4AGlPirBtKlRflb3VOLVs3xYJb_nGBe3oRAsikecbidpyR_5JTChxbKYloo2EgEorGZhg8NqTH4x2htGFV0vUVtOHeZAmDImwNtNrOqybjQaJCYGUujhn7L1_o9q1lci4TPK8bnKLG6XekZFewbvsB6DfqO4m4AQN8Pe8rn4pOWn9EgF2-LjTxy18e-G7y9R51_kRG_h0ZtkvXgZbltNlX7mLcw-RdejAgosDc-pohIQxbysu-vYBpDvns6KxXFVoV9BBLnyVGHMLpLLCFBZVIAPsTPdm1fFuuarq9fZtwanbVf1OG-YFKiU7hvyipSbw6BK9Fxhm6WgXYjKCnODzSzA8o2Uru_DVH7ZVVk","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQA4NfV62EcwOORx&w=540&h=282&url=https%3A%2F%2Fkuangyaodm.org%2Fwp-content%2Fuploads%2Felementor%2Fthumbs%2F190109-%E6%AF%8F%E6%97%A5_%E5%B7%A5%E4%BD%9C%E5%8D%80%E5%9F%9F-1-o1r3u0p2tit0fshxxmb8b49cs9azxrn4u9wtg65cxs.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAh1GEYyWb6jHZ4","190109 每日_工作區域 1","照過來!照過來 ! Facebook的影音行銷你會了嗎? | 光先生-每日學行銷","你知道，現在及Facebook最夯的影音行銷模式是什麼及Facebook要如何影音行銷呢?在前兩篇介紹過了影音行銷的優勢劣勢以及如何挑選適合品牌的影片類型，讓我們接著看下去吧~如果您是粉專小編，不妨跟上這波行銷趨勢吧!試著將....."
"https://www.facebook.com/kuangyaodm/posts/406705379991813","1570971604","∎《網頁設計師使用的法則，你學會了嗎？（一）視覺階層》
-
當你瀏覽網頁的時候有沒有類似的困擾？
「這個網頁好難瀏覽阿！感覺頁面很亂很雜」
「看了一陣子，怎麼覺得沒有吸收到什麼資訊？」

 或是當你設計網頁的時候有沒有這種感覺？
「網頁到底要怎麼排版才比較好看？」
「為什麼我排的版感覺的就是怪怪的？」

 本系列就推薦幾個網頁設計常見的方法給您參考：

 #網頁設計 #視覺階層 #網頁排版
#光先生
💟光先生IG @mr.kuang__
https://kuangyaodm.org/web191013/",1579417184,"https://l.facebook.com/l.php?u=https%3A%2F%2Fkuangyaodm.org%2Fweb191013%2F&h=AT2zVTqEF39ANdod3ugl2zP8jkP1L4uU8RlP-6xioRE82u_2ZVPaZlHo2vBMrx6s_Z3MJ9ChF9uVUlPjRPCAeQ8BzWnuhemr_CT3A_8-pPckJYqiDHlNJgR4mJ68q733kUNRpl8EKAu_4qz1sofpfhbU1gouTvFNdAFNTMh4sBk3j-b3-SH5gkIjYiR56tbKL8UXYyYyHEjGB-ZQz_4CAgLH7-pRWQ3neAVMCexyfEARcrngODERwayeAnPoeKDvEM5892sXv0i4y0wkzbBmyYZjwwnU8JjCaHlZp6x6okXU51caQGo-czEUZKnLZ-gFrbCoTK4JqMmG1ss7yCHbh9RemzylZ_PzBt0jiP47SEeErpcFO34VsqN5uifeBvVPvNyJmqubSlMEsGVsQ4gdnrymkr7bEYKdFJr7AWNG1qTsO_lFBMPytMhAN968qwsJ_Py9z58qP63twl2EtAalROKyMCf4EUjqSoUvRn4ykIEY9U-SvpdX8K5uq4RenjiSMp-8jj0d5sQ08KzRVVYS5KPb4Tj76q5K3QeK8rGa_RLUMVuTfAh-GZYuKbsus06P1YaDlGWW-U3mjb42btb6jYNIfynQ32f8uLSd8-h97v1Ow7w4ziSvgiA1ocQ94Vj1qtl3fxzUXmkKHpYOSjfJYYr7mD23","https://external-cdt1-1.xx.fbcdn.net/safe_image.php?d=AQAC0nnaBDA1_aMj&w=540&h=282&url=https%3A%2F%2Fkuangyaodm.org%2Fwp-content%2Fuploads%2Felementor%2Fthumbs%2Fba-of5oz9p9vjrwtht212znjps622f8yvaixg6rt018sg.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDPLFK7yFgCgrtX","視覺階層ba","網頁設計是提升轉換率的重點，設計不單只是設計師的工作，設計同時也包含行銷的概念，當你對設計的領域了解的更多，應用於網站上時成效也會更好。如何用最有效的方法呈現你想表達的概念？什麼是你想讓觀看者最先注意...","kuangyaodm.org網頁設計師都會使用的法則，你學會了嗎？（一）視覺階層 | 光先生-每日學行銷網頁設計是提升轉換率的重點，設計不單只是設計師的工作，設計同時也包含行銷的概念，當你對設計的領域了解的更多，應用於網站上時成效也會更好。如何用最有效的方法呈現你想表達的概念？什麼是你想讓觀看者最先注意...網頁設計是提升轉換率的重點，設計不單只是設計師的工作，設計同時也包含行銷的概念，當你對設計的領域了解的更多，應用於網站上時成效也會更好。如何用最有效的方法呈現你想表達的概念？什麼是你想讓觀看者最先注意..."
"https://www.facebook.com/kuangyaodm/posts/281615859167433","1546606801","∎《GTM教學(一)：如何加入Google Analytics追蹤代碼》

 
在之前的文章中有告訴大家GTM是Google推出的代碼管理工具，以及如何安裝GTM程式碼到網站上面，但剛安裝好的GTM裡面是沒有任何追蹤碼的，所以本篇將以大家最常使用的Google
Analytics為例，教大家如何輕鬆地加入追蹤碼哦！

 PS:影片小編太邊緣自己跨年導致傷心過度，來不及製作影片給大家了，多擔待一下🤣🤣
#GTM教學 #代碼管理工具 #GA追蹤
#光先生
💟光先生IG @mr.kuang__
https://kuangyaodm.org/tool190104/","1572942030","https://l.facebook.com/l.php?u=https%3A%2F%2Fkuangyaodm.org%2Ftool190104%2F&h=AT22PwLrwB_7CYEWK5NnEoaRJ8I5KAAVvjezzIaa_qx7oprtlnHLK9tCCKWuTs_rVtspjbEr04LX1U60PAjlKQieEdOS1lHGUSjSxpWw6KCsM5s371PgGaYtOm1H-EBsYOBzsEjn-NaWZdsVBM5U5x5iQlE06FC0rgwxAXtVXFvostbZqomsDfTtYa-GmPlrIcquAKdgud-VRxb8_v0QLwJdcZ1EZq0PaT3UMln3uAbrzr-l3Cnu7gDSgh2RQWZGOHmlQgtYm3bdhvjDtHXb8euo9carwgXgqCW37LMpGxiet_WOYdwplXn26KSOG708HescWwRDk1NoFSIJhAq5XRH5mkOQ40R6au4zwtClOFb0vOt2UjrBjGFao2f-JwocZell9yziktH_oXDtAOFmgn280zfM6t2JbZJAt9GWTcnd5_HZ2VRs8cNGEQNvmgm71TGA-kVw-iWoAT0vMySRHAn0a6cKNSrr_tV8PqYH54HMrzTdtzR7p6bOfg6enQdRidBUuHroxb_VnGfUVmEVICGrdhazFT9rRgS81Vj2Po_ZK3xONYqkTKMLD8uJdsAZTpdYxfvAOEzisOwsG4w_QS7ZceLPLP7ZeZmrIYVFvih61F25lWQClT56zT54oI79qncsei9OLHbh","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQCUv-GFd9H5AGnX&w=540&h=282&url=https%3A%2F%2Fkuangyaodm.org%2Fwp-content%2Fuploads%2Felementor%2Fthumbs%2F190104-%E6%AF%8F%E6%97%A5_%E5%B7%A5%E4%BD%9C%E5%8D%80%E5%9F%9F-1-o1iqmc6ty0mh9ljsevnc1zeh9mfe9bzcb1e94q6ke8.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDveWrquQjINfnL","190104 每日_工作區域 1","GTM教學(一)：如何加入Google Analytics追蹤代碼 | 光先生-每日學行銷","在之前的文章中有告訴大家GTM是Google推出的代碼管理工具，以及如何安裝GTM程式碼到網站上面，但剛安裝好的GTM裡面是沒有任何追蹤碼的，所以本篇將以大家最常使用的Google Analytics為例，教大家如何輕鬆地加入追蹤碼哦！傳送....."
"https://www.facebook.com/kuangyaodm/posts/392457261416625","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579417183,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/kuangyaodm/posts/382472845748400","1567170002","∎《A/B 測試讓設計最佳化！提升網站轉換率的技巧》
-
A/B測試是一種最佳化的技巧，可用來比較同一設計的兩種不同版本，找出何種較能達成公司目標。A/B
Testing的應用範圍非常廣，不論是我們服務的廣告與網站，或是任何與設計和分析掛鉤的項目，常常都可以見到A/B測試的應用

 #AB測試 #ABTesting #網站分析 #網站轉換率
#光先生
💟光先生IG @mr.kuang__
https://kuangyaodm.org/web190830/",1579417185,"https://l.facebook.com/l.php?u=https%3A%2F%2Fkuangyaodm.org%2Fweb190830%2F&h=AT3lTSIwHwTNfo5zCh7vu9RL3f5C7SOxNoJeb6JXKSpOjzzrX8W3N1IWBolEW2TV2uC7MLxKF958hKHDvOMAuIviFirioyJRMEDnl93N1XBD1L4Qe0bgRVBIHcsmquprJLuStN-DoEhZMASh0DEb--BLp11X5oNQDpB32HzSP2J2gay_AYWlutju4KTy_G8M6fTTX8xMvSl2CC-TpYNnVsjE5HsgM719AvA_qSG6vygzD0PpOBaVa3XfjZEofg8ud78zpzn3Rj9bNGvECEWvZ0dBbTyY6jTp0Hi2sE48TqzbZS71avlLsx366kDT0knuamGxwSX9nhyYHp_E4vdyO16tK4Ahmgek8Re4EmFnbkw2rjRI8KBfwAoxJ1p5P4TZOrtpnO8ESO-AILD52nIWJjZ8XHOJ7N2A0ihudu4wtBGO2bCFeiU-vN5ac7OnxPa5-zXyosMUilUt2Zax8G5KkY-I6xK1sTXbyL--LAuol0ZJBlVqubqSqlZnqS6SJtFyFf_CuhSmwX24XMG1xFXdfnUHGHlyfKbFMlfCqNpL6wK2JTL82Msfe_htlf9nWBO4zitNVGeb9Lg7WmA2dsYe-SQHtDSggDVBxkrnzWUG7yAGT6tzqpzei4p69S9T9rRHWJc95I69xLzk","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQDyhW_ZWFxllf_x&w=540&h=282&url=https%3A%2F%2Fkuangyaodm.org%2Fwp-content%2Fuploads%2Felementor%2Fthumbs%2F190830-%E6%AF%8F%E6%97%A5_%E5%B7%A5%E4%BD%9C%E5%8D%80%E5%9F%9F-1-od11u4zrrbols8wte0po7kqy3l2draj0rwc8smbrnk.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB_Ck1NpkWvKkhm","190830 每日_工作區域 1","A/B測試是一種最佳化的技巧，可用來比較同一設計的兩種不同版本，找出何種較能達成公司目標。A/B Testing的應用範圍非常廣，不論是我們服務的廣告與網站，或是任何與設計和分析掛鉤的項目，常常都可以見到A/B測試的應用，","kuangyaodm.orgA/B 測試讓設計最佳化！提升網站轉換率的技巧 | 光先生-每日學行銷A/B測試是一種最佳化的技巧，可用來比較同一設計的兩種不同版本，找出何種較能達成公司目標。A/B Testing的應用範圍非常廣，不論是我們服務的廣告與網站，或是任何與設計和分析掛鉤的項目，常常都可以見到A/B測試的應用，A/B測試是一種最佳化的技巧，可用來比較同一設計的兩種不同版本，找出何種較能達成公司目標。A/B Testing的應用範圍非常廣，不論是我們服務的廣告與網站，或是任何與設計和分析掛鉤的項目，常常都可以見到A/B測試的應用，"
"https://www.facebook.com/kuangyaodm/posts/420145081981176","1572699652","∎《【Form Maker教學】教你如何設定條件顯示》
-
這一次我們教大家如何「有條件」的顯示內容
比如購物型的表單通常會有付款及運送方式
但如果選擇「貨到付款」就僅需要顯示其中一個欄位
可以加速填單流程並減少誤填機會；
更甚者可以做出像光曜的「預算估算」一樣
選擇產業與預算兩種條件，
最後再秀出估算的結果哦！

 #form #maker #網頁表單 #wordpress #外掛
#光先生
💟光先生IG @mr.kuang__
https://kuangyaodm.org/web191102/",1579417177,"https://l.facebook.com/l.php?u=https%3A%2F%2Fkuangyaodm.org%2Fweb191102%2F&h=AT3FmH6ePkwPLpXq_NnporKzTSuI3T0Z-MGee6usgBcGMoQmVMUpqrUyaKGo1LPRpjhCS9r3AuONFPy9f2GNE4gAklJNiioXSea1tjNu1tm3710srOKpge8EWoLt7SPM92hD4jdxYuRVpc31m4owQetJP4xRjH1AUHoWNQawrhdluAeXt7K4WIfGI8TENshC82jUud9orOVchixOMjG2U_SqLBZ3rVMQ3SEPuMAqLxm6AR2mXJ54A40WP09LoF80Gp4PGYGk9mKRKg6SOoCeHfIu9_yOdqBRLIclPL8zsX9McP65vYja00Y8UObUU0s6b19yvs3MYjm3htNiTbZ0OYXfeuBFv7C1FErDGNZMpFmMSErXjBAkj7nKSrzfq6D2hLskxTwC6kojlzxj9dakaHA1nH-LKPGJcOCVZoFQgXnf8hpWKaG99wTOAL8b5D0__QhUS3QR_2oPrdY839ZBk1PG2k-mB5kHJ2RIlo8703q04XSIlDQNqB-JaQP0ymFtT1YE7xHagH93PgROTstRZcTcEkxUhPe3sTQFvT4kOw1i_aw8fmaief-hWxD5bJQWDAWMw3W__nALibjVvjsEG01hh215biFyd_wmauBEQA6HzwMzgf-kveUDeDvYdLQnoTPBXrzFSzhs","https://external-lga3-1.xx.fbcdn.net/safe_image.php?d=AQBOMAYm6X8Cvijs&w=540&h=282&url=https%3A%2F%2Fkuangyaodm.org%2Fwp-content%2Fuploads%2Felementor%2Fthumbs%2Fform-maker%E8%A1%A8%E5%96%AE-og4gcuhj0990p0s650dwem1h6ysh14zpc5lba4ks00.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQATejcfuNKlrkZ8","form maker表單","這一次我們教大家如何「有條件」的顯示內容，比如購物型的表單通常會有付款及運送方式，但如果選擇「貨到付款」就僅需要顯示其中一個欄位，可以加速填單流程並減少誤填機會；更甚者可以做出像光曜的「預算估算」一樣...","kuangyaodm.org【Form Maker教學】教你如何設定條件顯示 | 光先生-每日學行銷這一次我們教大家如何「有條件」的顯示內容，比如購物型的表單通常會有付款及運送方式，但如果選擇「貨到付款」就僅需要顯示其中一個欄位，可以加速填單流程並減少誤填機會；更甚者可以做出像光曜的「預算估算」一樣...這一次我們教大家如何「有條件」的顯示內容，比如購物型的表單通常會有付款及運送方式，但如果選擇「貨到付款」就僅需要顯示其中一個欄位，可以加速填單流程並減少誤填機會；更甚者可以做出像光曜的「預算估算」一樣..."
"https://www.facebook.com/kuangyaodm/posts/306838763311809","1552395602","[🤓光先生知識小學堂🎓]
3 月 12 日，是全球資訊網（World Wide Web，WWW）的生日， Google也在今天換上紀念網路發明的圖示，慶祝30歲生日。🎉🎉🎉
這都要感謝英國科學家「提姆·柏納·李」的發明，才能讓現今的我們能夠這麼便利的看到網頁呢!👏

 👍參考資料:https://applealmond.com/posts/49421
📕延伸閱讀:
《連阿嬤都能輕鬆架站了，你還在擔心什麼?》
https://kuangyaodm.org/website180808/
💟光先生IG @mr.kuang__
https://kuangyaodm.org/adv190305/

 #數位行銷 #光先生 #知識小學堂 #感謝前人種樹後人乘涼","1572942031","https://l.facebook.com/l.php?u=https%3A%2F%2Fapplealmond.com%2Fposts%2F49421&h=AT2wyeTNXoYOIUqiLrphPMSScxFF6q2SPOIieQf5sbVBiHcYNbv-ETvhXRUr3CasyfetqnWra3l5XX_FdQbdxk1guZXWGFILTw--PTI6zWQe_jI36PXaZB36CwyNypnDDFKnbisV01MbSZ2fP-mgsZVqJnoiqUD6tkvJw-37Q9oyVtXmOMZYRAKj9snmZXek8WyVy1Tm6vwiKvltGGs-dn5d8NRoxDfWVnVSw6_BcylhkGywHzeMD-Bi84ZoTuiBeP8yLS_usUi7hdUUw7ZHCCjMAe38jqg8KLHllZuosI6jHC1KckyWaFGzL14x5_QsXpGjTvs1cja_GGnhznxAG_J-I-6kOt8y32gthxoqAw3dpyjFZCa887BN8ebjaboBUPubbExT2xOK_imo7wcWa21UijmE_3zicGGEH-XL6Ym0uiRTpx2el_XGR7dfD0onFRWmr84LoztlYwyX1HQev8fhKBlaKs8Qe4HAVVkvtebGKbUVdhkfL9kCY3rJv2f51uEEdpytW9zlZd1_sjYDeXJbcpTTyXEwJhH67lWVuV5ea6CvBgrn7uCw2ZzzWKR7wkOQTfmqXejL9fcjUFpsEkUvsyNLSPgbGo7gbX911_KNmKQqSuw8y3GPCpbeJUrUWs0aXpuBq3Zs","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQA3eKDEGZCYvYxW&w=540&h=282&url=https%3A%2F%2Fimages.zi.org.tw%2Fapplealmond%2F2019%2F03%2F12084146%2F1552351306-12955bab9a864fd9e6a0237c5e472e89.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB76t-g5mG-GZid","全球資訊網 worldwideweb www","蘋果仁",""
