url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/lovelycory/posts/2184445371592226","1560169274","太厲害了！！一定要分享ㄚ！！😭❤️🙏","1571719121","/watch/?ref=external&v=429746990909906&__xts__%5B0%5D=68.ARB1NJFzAtcASSc0FIHdyW7eplI1OjEcWjvKh2c9QL7vnmlmYU-6Nq4EuFO_JApWN7JW-Pcd4qx5IOyIYn-SYNPL3q6FlDXXamwWT-sWcAaRqfxcvH7dvz_GhvtN5JoZggc2GeLAToiFkSYI5dkKd6DQ_1L8RFt8hNoxteT-Dx6oKZbBLkB90mdT-hP4A7MOMkK2RD9hRRX53YR8a55OpSaYqgQDTkIn9bGOm4H-Mfwoj735JMf5bdG9TSHckjux9TcIwfCG5W82B-XCf-OprjESUMDXNrCWjTlgDqmB3VAK8SudIsLzOrKi-yu7knArFzLK9FCnpqk5W3WRr87PT8aPV5gjKGP41ETTC2TiHiqjSWvCi8LJQ8WUJPgbeg9ZUZ9pcWuNUPanixz1aUO9l2oe6Aktk7S2ykQc10yRaqDbFodqgYwwIjAYNVOcoOw3rZeLUBYsq23ttVsT_HYQ8B_o1TOPjBf_NQnwbqfpynXzTdd0VFMAuC_yy15WHpQ3svVV&__tn__=kFFHHH-R","https://scontent.fhan2-1.fna.fbcdn.net/v/t15.5256-10/62417597_429748294243109_244358689677377536_n.jpg?_nc_cat=101&_nc_oc=AQkCXrls3H_nExmD41ozzZT8rE48zHxIYw-dny7FmEMqvMaSfqOlCfCbHFIflw1UdJA&_nc_ht=scontent.fhan2-1.fna&oh=43edb1a2964771988cfa0dd22b12644f&oe=5E23138F","undefined","時光當舖漫畫版第二部第一集封面過程","Người đăng: 葉澄愛吃熱蛋糕"
"https://www.facebook.com/lovelycory/posts/2153109914725772","1558533549","宥希姊姊安安ღ( ´･ᴗ･` )ღ
我終於換了新安全帽貼上貼紙!!
希望不會真的有人拍我肩膀說可以XDD","1571719121","https://www.facebook.com/photo.php?fbid=689989421438171&set=p.689989421438171&type=3&eid=ARAr1rzniUcDybrYr9cjjjbkjJoCK9JBczgAA6qJlXIO9oIUbx_DO1dIyfepStRNm-Hw264h3zBZYGx0","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/60735458_689989428104837_9136185368977080320_o.jpg?_nc_cat=105&_nc_oc=AQm25smSt6-CvVZKDJZmDPPDHQeUhpP4ZK8_u7nd83-QOCyzdeU9Z8oTLNpPfNFkn0M&_nc_ht=scontent-sin2-2.xx&oh=ae0f9e343b7e07d089b69c06944d916e&oe=5E5965BD","undefined","",""
"https://www.facebook.com/lovelycory/posts/2392489114121183","1570465669","老師，我好喜歡您的畫風細膩又精緻，劇情也是無可挑剔!!
看到老師的漫畫後，也更加確立了自己喜歡畫圖這件事情。
老師加油哇，期待您之後更多的作品///

 大概是宥希老師的痛櫃(≖ᴗ≖๑)","1571719122","https://www.facebook.com/photo.php?fbid=975724272763541&set=p.975724272763541&type=3&eid=ARDTGVRfFZD5_uee9DEUmer-71tiCFuHdT_8DhWknCK2MwiSNxoozogSuSJF9XHOqdAAyCpXxgOoJv-1","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/72258477_975724276096874_1420591816478031872_o.jpg?_nc_cat=107&_nc_oc=AQlFkDzqu8njQOlPpMwQBgNR_TcOB7lhVqd2q3HObOwH5-1DFHQPv4zj4ebvZ0-uo5Q&_nc_ht=scontent-sin6-1.xx&oh=1ee88bb133a24e61d74829f5bb4be96a&oe=5E62DB9B","undefined","",""
"https://www.facebook.com/lovelycory/posts/1999946640042101","1549427948","大家初二好哇～∠( ᐛ 」∠)＿
今晚6點會發個很開心的消息，記得來看哦❤️
＃照片是老爸拍的櫻花
.
.
.
.
.
.
.
.
.
.
.
回嘉義老家也是要工商der(・∀・)
.
.
.
.
.
.
.
🔰「有何不可4 」購買連結🔰

 ⭕️特裝版

 尖端：https://goo.gl/TDLFuK (完售）
博客來：https://goo.gl/HpMEfX(完售）
金石堂：https://goo.gl/YT8ERf

 ⭕️一般版

 尖端：https://goo.gl/1ErBcQ
博客來：https://goo.gl/h7Vxdy
金石堂：https://goo.gl/qpPY2B

 ⭕️有不4網簽組還有少量可購買喔！！！(ゝ∀･)b✨
錯過預購的人快來點這買買買ᕕ ( ᐛ ) ᕗ
▶️ https://sppbuy.91app.com/SalePage/Index/5105086","1571719122","/lovelycory/photos/a.568594119844034/1999943716709060/?type=3&eid=ARDlz-GZb3L50weCkU5sFXB_WWtr7UzIQS-pZ7JKrHP5-ajXQIO8TXjzktES6xhOx8DeEJqgTkotSbpP&__xts__%5B0%5D=68.ARCVYVZiyU01JSfPKtiBej_uxZ_qM5OMJQ3S2QNJR085e6QjYlZGRtMahMXbMKtDB1EqGLAn-fUQSgFBj3oEAyVhVa7h7ecZxjh-JCWIgBkAGhUDecAqetW1uDe9RZHAA4Awn25lF6IE4T2mifWKKFj23Kbt-EEiyqw8p6knD4ykeeTl9no53OTBIl1wiCRJCn0Fa77SJMeIqXoI4xb27xM4gxGpSn0315Vlf217eup9CCZAXTFvFuQZo12ZFR1nzlWxI5atdwlZwsbDXUz8TXdCmGIc6R0N-vganaoWUihLyd8Nd_ekU7iKQ1D-s0fC9iixr7yRlJ-qnuB51kElROke2Q&__tn__=EHH-R","https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-0/p235x350/51616405_1999943720042393_7958899017411198976_n.jpg?_nc_cat=111&_nc_oc=AQm-lgE31dyRuCiia1MnzkP-11ew-rqOf4YNx0c4HksnKmeVn3bHBU3BTZrTN7mKO7c&_nc_ht=scontent-icn1-1.xx&oh=5935a0fa2ce2ba3359c14cf4b0a97555&oe=5E5AA454","undefined","",""
"https://www.facebook.com/lovelycory/posts/1979840208719411","1548153732","感謝大家的購買支持～｡ﾟ(ﾟ´ω`ﾟ)ﾟ｡
有不4特裝版尖端官網目前已完售！
博客來和金石堂還可以購買喔～｡:.ﾟヽ(*´∀`)ﾉﾟ.:｡
另外還有一個好消息
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
有不4網簽組還有少量可購買喔！！！(ゝ∀･)b✨
錯過預購的人快來點這買買買ᕕ ( ᐛ ) ᕗ
▶️ https://sppbuy.91app.com/SalePage/Index/5105086
.
.
🔰「有何不可4 」購買連結🔰

 ⭕️特裝版

 尖端：https://goo.gl/TDLFuK
博客來：https://goo.gl/HpMEfX
金石堂：https://goo.gl/YT8ERf

 ⭕️一般版

 尖端：https://goo.gl/1ErBcQ
博客來：https://goo.gl/h7Vxdy
金石堂：https://goo.gl/qpPY2B","1571719122","/lovelycory/photos/a.137629709607146/1979829122053853/?type=3&eid=ARDZxxKvkKRdsPw-JfPigKPepjjJCc7mIMMpkhYp0ULix2LThLjuhcg7vdCYUTWZ2BB6bXLNmeFzOITq&__xts__%5B0%5D=68.ARD9_9tN0jGD8v9WaMLbpgyt3M1pjWbpLplfBVYAA5rwILQNzDuSHgIBOMHEAoOglVEJ1qzJVkFZCjJXO9ibBb_t3K3Wba1_OhZQwuWkB779xb1VBW0xGtxoa4YcVelx4Y2YRTv2_-_qcjgdiI8iU2zZdx0Bu-SaUQR5XF5bW8-Ck2LKn25DOSf12-jjl987eGqdAEvvVf3kYxtFle13EAPunbM0jiug8vsgrfpXgU7B9uCbnA9Kvb60t1n3kSZbXVzorvZaIu7p06hSx43hxJ5y4KjQonzscmW5lLcgWRnTpOyh7v4aJFsiBNZtFvGE9n40DUNrwbJ0gW2ceMSdztpKgA&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p320x320/50331343_1979829125387186_3185216938636738560_n.png?_nc_cat=100&_nc_oc=AQmWM2IyuK84i4cNW10jnCleeakK0z28sY42ImvPZ8UTx2_iUl3goEfaw1CQEBsGsFI&_nc_ht=scontent-sin2-2.xx&oh=34b6194c31092e323196ac47fe7f9a99&oe=5E1B50EC","undefined","",""
"https://www.facebook.com/lovelycory/posts/2082704058433025","1554520077","這是我國中時代看到的迪士尼美劇(boy meets world)，也是我最喜歡的美劇，喜歡到連自己的英文名字也取得跟男主角Cory一樣😂。
Cory是天生卷毛，他的死黨是一頭秀髮中分的小帥哥Shawn，「lovely無所不在」裡阿響的設定也是和shawn類似，大家可以翻回去看阿響小學到國中時期的髮型就是跟shawn致敬的
🤣
這部美劇在14年後以Cory的女兒為主角再推出新的電視劇(girl meets world)對我來說真得是個奇蹟XDD 
這次能在紐約二手書店買到DVD，就算帶回台灣無法看也無所謂，姐買的是中二時期的回憶和感動( ´▽｀)❤️
#boymeetsworld
#bookoff","1571719122","/lovelycory/photos/pcb.2082704058433025/2082703301766434/?type=3&__tn__=HH-R&eid=ARCbhNNVMRaM0L72OgX_OHphx616a1xFH40H1hvi7GyhL4y3dqUGq4mg3pSyuXD2YzR1-6tdxCoN5c35&__xts__%5B0%5D=68.ARBrNorq_LysxMiUWRp81b7vyVEzTtKrpgURUP_CmycMK2f5tNaXyziD5k9TxPLhz56Vu7NVmbKpo1inqz_kiF8sLBNV13Kvk8BXhFp-bHU1s_8I60Y_U26-qtrSVtUSrWxDR9wyVgAsHc2cKHINoY826LtwzpuBAlfZlc_Hyexh0prsGEpRNWGqur47ASyLriU8uvaZ9BY0-XLbQ97PyNILy6BH7n8k1QBnTaGfOCZO7OjvUCOGjPFs0kywanM1ZNFbDBXZrw8CWY9WLYy4oq-Tu813RhCNad4qpDOXxTlA0XUaG0CXBj08a1e_CQI9EfUAZjq0Z13e37-GoZEI51UCGw","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p403x403/56310255_2082703308433100_93233685477720064_n.jpg?_nc_cat=104&_nc_oc=AQmGmpaMP6XoNXUGSyLuqxx26O4vXBic5ulDbl1fQWq8d_pUzzH0OYdylZMfORQp4Mc&_nc_ht=scontent-sin2-1.xx&oh=4f0dba4b333dc0260ca91d6d4cfd3423&oe=5E641506","undefined","5",""
"https://www.facebook.com/lovelycory/posts/2080144092022355","1554371245","畫這個橋段時，智慧手機還沒出生( ´▽｀)

 #moment
#許個願吧大喜
#makeawishdaxi","1571719122","/lovelycory/photos/pcb.2080144092022355/2080143338689097/?type=3&__tn__=HH-R&eid=ARBXB7iOGrPc8xLOqP9k_k46WTbJkbFXVBGbIk7LgVV2czHWdW69keUkAd4jaBQpJVhdgUCpnbv8-xAE&__xts__%5B0%5D=68.ARDO41zjBMCb-Qmq6L-u4TiZdE8O3vIdmBhSJrN0XoO4uldmEbLlz1x4BIgLtAjG0R6P8R9GO6itAgRyLPFdfXK0pKYk4E5QhOMx4dbu-MoogwXB2kHak6FyhokhTQURZqswMNyDRbvKbUkidtvp5SPpfPGOOH4TGCusmlAzdc5B_Luk3JE_N1H_RLTm5lHZnffoZQJv49bod5rJdha_STZqv202JXvQJoT-8pT3ZrlFr2Si0va34C383Z2x_jQKZ-GEfWl3u9uOWNlpzFuDI_b_rRLBqxgNbgFa6ugRRLhk9qn-0VH2xEexojS_F8AyUOfGlMxEHqtY7JlfS3XX8g6w3w","https://scontent.fhan5-6.fna.fbcdn.net/v/t1.0-0/s261x260/56191359_2080143348689096_7506609287213350912_n.jpg?_nc_cat=105&_nc_oc=AQkghsh9agI0hel4yYwAQz8Or27CCNk9AtNJLCQi00S-jJjdbcD8w3x7IE-juwfA3bk&_nc_ht=scontent.fhan5-6.fna&oh=412c8c0ecd99d997f400b9264ef6be35&oe=5E195336","undefined","7",""
"https://www.facebook.com/lovelycory/posts/2231971456839617","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579443794,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/lovelycory/posts/2024206114282820","1550806563","#參加回饋活動的人看過來～～～

 麻煩參加活動的大家把「公開分享」「博客來刊登後的書評」「金石堂刊登後的書評」截圖放在留言串中，讓我更快能比對資料發送列印碼喔～( ´▽｀)

 因為參加人數會越來越多，博客來書評好找，但找出公開分享和找出每個人的金石堂書評實在太吃力了，姊只是肉身一人在加班啊..._(´ཀ`」 ∠)_(?
請大家幫我這個忙，讓活動進行得更順利!!( ´▽｀)❤️","1571719123","/lovelycory/photos/a.137629709607146/2000199296683502/?type=3&eid=ARC9dnIoO-IwZWDgKaRuPgIZo2opNkIxVFdWnUgSGVvX5piWdxZvYAmQQg--LNSBV4VjSGYukckEl_QD&__xts__%5B0%5D=68.ARDurIskuq7bncnk3nLqLeJrs3r25tClv3q5adtBxL4Lky9re3RliI7HTRIdcFo5K_a4mSmrzgDhHgtNBezsE0sAs2hZADRBp4qJRlVWg3AZoFA62Mv10yJ2QVbEsURnYUcEO4LH5InH0etxgs9FSQAr1GXpj5moeeba3pgUhPWFvyl64J4zFVnk76oPpTWb_k1hf4DC_o2l6XMtPyfF1ZVaVr6oOt5qMWk_EZy8nGbbqCMTv3apWyz4wQSibLVdPcheo74P5h7RsM1wZal6PSEI84ubnoGw6pH3sKrcBcgtvQtUvXJ3oMwDqAlS8WuAMRJ4nse1vCjHH0RbW_dgD4Jj7DQzf2KBraJRL0oaECIn9b2NhipHmaSf-KPRlnFhOTTmWOjoPm-HrSqxaTDXc0SpfwuaqjA0sysHQ1PHux6F4giElArXlYjcH88KYnHtikLyGNlBbm-4ik8RtvyovMk7DqsmTs9LTgR8mAQZ1Fm-0b5BhfN-i3Mo&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/51263685_2000199300016835_6878719428276518912_n.jpg?_nc_cat=102&_nc_oc=AQn_T_3AKyY4A-PL5DsT0EYP0DKpv8rdghrSptBOcEmamRRrHisjUTNRBjOptBI-KDk&_nc_ht=scontent-sin6-1.xx&oh=ddb1cadde19f668b09e438f11204857a&oe=5E184157","undefined","Cory宥希畫世界",""
"https://www.facebook.com/lovelycory/posts/2378747402162021","1569839611","工作紀錄🎶20190930颱風天🌀
眼神閃亮的無法直視😌
.
今天是個涼爽的趕稿天，大家出門還是要小心安全喔～( ´▽｀)
.
#小丑醫生
#繪製過程在留言區🌀",1579443798,"/lovelycory/photos/a.568594119844034/2378744952162266/?type=3&eid=ARCsSrIsofXpldLGN-BElM3Xnss064kTS0g5d79I3XM0arXD_YOhwwKJxJTFbw1UBhyoqYPlHFvc8ezR&__xts__%5B0%5D=68.ARBj4sBfD3nKjN2OdM-Uchhrc7rrN2sNphJAnfPNmJn40IM5N6xhM24uMhX0NllLf8HeqsvOBWa6gaeseLvBJGEsg-tSJ3Zc8g_X5EH67i_wvOQ6iuPG42U92aiRTYsQY3YsMDseoiW8nQ3LaCMi3DyIvZkS0PwVsWBLDf4IXgV3-2Lc8_qWz8E_nEEPe7O7Cw-E3OQQH-c08UcihqlL0kaHnl0BCVkg8g-bnGleWyv4SA6HXrS_dMl2V-vmckgX8YwI2jYkbGSYkIKkYGjaz-fCRiynTi54ab-rhIZfeWg-ZoL_U8TwgilbzjsMs0c6K2UP_UgQ3QeIyhplnyA6xThg-Q&__tn__=EEHH-R","https://scontent.fbkk10-1.fna.fbcdn.net/v/t1.0-0/p526x296/71109042_2378744955495599_4730198618688978944_n.jpg?_nc_cat=107&_nc_ohc=33GLPsT2C8cAX9nJtPS&_nc_ht=scontent.fbkk10-1.fna&_nc_tp=1002&oh=e921ad6f34e01abd7b5458b521229b5b&oe=5ED4659F",undefined,"",""
