url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/luckycleolynn/posts/2770653969659868","1570853618","先生回日本幾天 有重要的工作要執行

 在月子中心天天有他陪
突然他不在身邊好不習慣⋯

 看到這張照片
想到每次先生工作完都累歪了
（你們看他臉多累、恍神）
甚至很晚才下班 
有時候忙到連飯都沒時間吃⋯
都還是想餵寶寶喝奶 
想和寶寶有親密的接觸
不然就是還想要幫我做這個做那個的
我都說沒關係 希望他趕快休息
但他都還是堅持

 連我半夜起來擠奶
他都會在半夢半醒間
摸摸我的背
好像在告訴我⋯
妳辛苦了 我在陪著妳⋯

 真的覺得很感動⋯

 我好像嫁對人了😭😭😭","1571111184","/luckycleolynn/photos/a.572512302807390/2770649582993640/?type=3&eid=ARDxBDAZoudysI5PUq800ia-dhtQmjpKuVvgAPOjbVILXj61r2bzcrGmMbGeDI0K6xxDkhcc7a_vSptr&__xts__%5B0%5D=68.ARDV_9Amd5JVN8eo4dB6RGpwM03htVGlAgmDAfXYqYQ85s-84hT4bz0rRM1uqChOo-S-BJwCCscmqpP1QbYcAGuSSFtVdQXSGNppziQ76yY9SW-1qHjvkQVFMeqEr4MfFwfdFGMUUVW07_zGSKIgG5zvBhrSPzcF3zqKq1ARl45yZOoUlgQvYjkStbuYC5WpEU1LBMakTv2sdUbLjLAxO0yDEjHcKJtw_0vfUaI_C6GwD1igh46qr3ABc1CXzNgu9izTBKfDADdn4XPE8xATGVMCHFm9YITsHZYxeRdLZM-Tpl1gpAm24kT6oTrrxFbdK9gCNm1w9wUD8bnGzTPHPicd6Q&__tn__=EEHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/s720x720/71896910_2770649586326973_8653177667606020096_n.jpg?_nc_cat=110&_nc_oc=AQlX7K3J4UTju9rv_ttOUZKDWvCVaRra7CSsPlmbc6DV321dlbZ4LC3lqnrLsoOdb80&_nc_ht=scontent-hkg3-1.xx&oh=e19e1b30d9347a1b5b12f935bf378616&oe=5E6491A3","undefined","",""
"https://www.facebook.com/luckycleolynn/posts/2769365533122045","1570804815","這套穿搭來了♥️
我要先說這件牛仔褲～我好喜歡噢！！
一開始是被它褲頭的斜釦設計吸引，結果收到時，一穿上有讓我驚喜到，它算是中高腰的設計，超級修飾臀型和腰線，不知道你們懂不懂我的意思⋯就是它可以壓住、收你的小腹（好，我知道你們一定説是因為我沒肚子了）但是我一穿上就有就感覺，它在小腹的位置有類似那種加壓的感覺，但是穿起來感覺是舒服的唷，不會卡卡～
這件穿起來是舒服唷！不是粗硬的丹寧，彈性也不錯，感覺是有高級感的牛仔褲，值得收唷！因為它有特別的設計感，加上中高腰+斜釦的設計，會讓腰部在視覺上看起來變細了，它是合身的剪裁，所以修飾度不錯，但因為它算是淺色，當然不會跟你們説穿起來會有腿極細的效果，只能説它算是淺色牛仔褲裡修飾度不錯的，這件就是收藏它的設計感，搭配短靴穿也很美，即使搭配長靴也可以，畢竟褲頭的設計感就是它的優勢，這件一年四季都可以狂穿，搭配涼鞋、球鞋、任何鞋型都會好看！
另外我覺得，這件不一定要追求很合身，如果你們帶大一號，略鬆度感覺也會很美！我是穿最小號，腰部算合，腿部略鬆這樣～網站上都有尺寸標示，你們自己看看唷！
🔸斜釦造型牛仔褲：
https://dazzlingdazzlin.com.tw/item/4161?start=36

 然後黃色毛衣我真的不知道要講什麼了😂
我太愛黃色是眾所皆知了，這個黃很可愛、年輕，不是秋冬感的芥黃色，是可愛的太陽黃，嫩嫩飽和又不過於鮮豔的萌色！加上蓬鬆感，穿起來很減齡，氣質又可愛！這件我私心超推，冬天幾乎都是較深的芥黃色，一定要來個可愛的太陽黃，單穿或外罩在洋裝外面都很亮眼，顏色是你們收到一定會很喜歡！很美的黃，看了就心情大好，穿起來氣色也好非常好唷！
🔸蓬鬆感原料黃色毛衣真的超美好喜歡！
https://dazzlingdazzlin.com.tw/item/4168?start=24

 🔸髮帶也是不用多說，超值得收藏！
https://6226banana.com/products/jph1057
唷對，我把🐝🐞別在毛衣上，是不是很加分😍
🔻分享過的髮帶貼文請看這篇🔻
https://www.facebook.com/135389086519716/posts/2752387314819867?sfns=mo
⚠️收單後就不會再開了唷，也即將關單了，不要等關單了才問唷！請把握最後機會，收到的都超愛、超驚豔，都說實品太美🥰💓

 鞋子：Dior、包包：Delvaux

 分享完畢♥️","1571111185","/luckycleolynn/photos/pcb.2769365533122045/2769360563122542/?type=3&__tn__=HH-R&eid=ARCdjzISV9xK7F_RKFfUmkYSrwgZ8iRrSokxHCwTIIvsm3wSvs-rUZY8cKJiz-f_lplGKT9iVfV0jrm2&__xts__%5B0%5D=68.ARCti98gnl4do23VwkHUjAZg1fgbBpiDi8eE2fRGQbwhf_8yBeHpJraov0WqrXSKW0W4u7HTp963TZ4uHj-HUy9y_YJcbZqjXMa4qPmXau7P0O1utW-E8geHdSystPgXnRU0SnrmT8faJHGYJgUKZS_KZ3zeCsQrRPp3W6AeR_tEcBoR6uMBuTiCrSueFBSmiCPxkagdvT8iG3tYRHVBFRcJTT-VCJCBvOcfw47O6v4m8raplu0t44LT9T1KvF2FewyPIp42Z4qzPXm3j6NMhplbHmgejg1eSKSHxJHUMDQXcx-Y_AqEQGguGZpl1bxntPqE1mhQwZfsVRsFYvLcwaiKOw","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p350x350/72736492_2769360566455875_7661163178553769984_n.jpg?_nc_cat=104&_nc_oc=AQm-VmKRbbO1ARLJhN4M05myuE__DBJnqQVkkxBJ5a1HjP4IYrqqFHDFUDGikKiHa-E&_nc_ht=scontent-sin6-2.xx&oh=80728fb077ba6d1d1d1037b58dccf025&oe=5E634A51","undefined","21",""
"https://www.facebook.com/luckycleolynn/posts/2752387314819867","1570113605","因為有好多人說FB鎖文的問題，來不及或是根本沒有看到我姊姊的貼文，來不及跟上超美細緻的日本手工製作的髮帶，唯一一次、最後加開的機會，很緊張的一直詢問錯過怎麼辦？
要用匯款的人，我姊姊說優惠價格可以等你們到週一唷，所以就別擔心了唷，先下單比較重要，不然沒統計到就可惜了唷！

 髮帶的小蜜蜂🐝和小瓢蟲🐞
別針，可以從它的漂亮收納袋上取下，你們就可以別在髮帶上了唷，我有時候也會把它們別在我的衣服上、別在毛衣上、任何外套的領口上，或是帽子上也可以，超別緻超可愛的！
🐝和🐞我兩種都有，是因為髮帶有兩個顏色我都有買唷，只收藏一個顏色的人，就只會有髮帶本身附的那一隻唷！
♥️日本製手工點點髮帶（卡其、黑）
網址在這裡唷🔻
https://6226banana.com/products/jph1057
（網站上有很多穿搭照片，可以看看唷！）

 之前有分享過了，這髮帶實品很厲害，實品一看就是不簡單，連包裝、細節、標示等等都很講究，還有很精緻的特別收納袋🥰
（有買的人，收到一定跟我一樣超驚喜♥️）
當初看到時真的滿驚訝於日本的講究，很多好小的細節，都可以足見她們的龜毛與細膩的心思，然後它是棉麻材質的，質感超棒，夏天戴更是不會悶熱，棉麻商品本身單價就高，算是高級材質，我在日本也看到好多不是日製手工的髮帶也要好幾千了，名品的就別說了，幾萬元都有，所以我覺得這條價格超好，看起來很貴，很像名品，質感也是名品級的，但價格卻滿親切的（有在收藏好的帽子、髮帶的人一定懂我說的～價格親切的意思）日本好的手工帽子、髮帶隨便都破台幣五千，甚至還有上萬元的呢！
至於髮帶或帽子，我是滿敢駕馭很特別的樣式，但我知道很多人不太敢嘗試，我覺得這條髮帶詢問度這麼高的原因，是因為它算是很好駕馭且好搭配的，要穿搭的很有設計感或是穿搭休閒、隨性都可以
♥️
它有設計感但又不浮誇，日本手工製作的質感真的超棒！實品超美，真的比照片更精緻漂亮唷，而且色系也是耐看經典，如果你想嘗試髮帶，這條會是不錯的選擇，可能會開啟你對髮帶的愛好和迷戀唷
🤣😍
我會特別喜歡收集髮帶，也是因為髮帶根本就是種魔法，也可以套在你自己原有的帽子上做變化，一年四季各種不同種類的帽子幾乎都可以搭配，好像讓帽子賦予了新生命一樣，當然，沒洗頭時，或是髮型、瀏海在過渡期時，帽子和髮帶就是救星啦
🤣🤣🤣 

 ♥️完整商品區：
‪http://6226banana.com‬
網站上有表示現貨的部份
量都不多了也都可以快速出貨唷💓

 任何有關商品的問題，或是訂單進度相關的問題，麻煩請寫信到我姊姊網站上的服務信箱，都會在「正常上班時段」ㄧㄧ回覆唷，謝謝你們～
服務信箱：‪service@6226banana.com‬ 
國際（海外）買家可以直接在網站上訂購，請填寫正確的收件地址和電話。

 謝謝♥️","1571111185","/luckycleolynn/photos/pcb.2752387314819867/2752382008153731/?type=3&__tn__=HH-R&eid=ARDAwqs0Gz2QMcsMSX1TaPVYNF5f28hExMuwYcmvIuz7Tuga9vae0DSNv0RPD5uHHYlXl2IHTHroj-kC&__xts__%5B0%5D=68.ARBlIkqkaYFRNvLq0KRa9Q69l2qjWl3kiXQU2BhDFr9AgNqaA1NqzAdhpYnr-yJD-fzh9hggzIyKSUYw32vYZm74SKE7j-JpfoEUxsbVP5ot4trVY2Xklh5aO1h54BFL6o3Fni79TaD-uN9Luh8jUmQ2LWTbONTA5MIBeeL6sJABA4Ofv7DthaN-r1SflfYkw3iidldt2wLY35u1pO7y4BQ8Cre4lIwR6QsKcM1g-NGm72d1aK1gFRHP5_hsyFWtEHTLTTJezt3qH7mEQwrRrdqPiGVwqa4iA9yvFzFhEW_5OwXCuW9P6oflYyhEuc9hlaMdd8K17-h5TPSuGbtQsVeVsQ","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/s261x260/71472457_2752382014820397_7245681309492707328_n.jpg?_nc_cat=101&_nc_oc=AQliGFW9nhuBBPGqtYnQsWVRd6ZmJblA8Xs2BzWwCq-ijg9SopB1tZbzTUe780-GakOzjTzkRD8-x4V3JmdR06QE&_nc_ht=scontent-nrt1-1.xx&oh=c5eacd302c6a36e499ac178922ce8de6&oe=5E184D4D","undefined","3",""
"https://www.facebook.com/luckycleolynn/posts/2713789072013025","1568476477","今天拍攝好快樂 好好笑～💓

 更多動態可以看看我的IG限時動態唷🤣
https://instagram.com/cleolynn

 ♥️","1571111185","/watch/luckycleolynn/?__xts__%5B0%5D=68.ARA-GTAgiFp24Aho3WuXj-A5K049zAbMSDdH-Xkmo9VA7TyyIQ0Q0kpugOze8ghP4tuz_xsFeJQCe17PpqN7Aiucw4lCstFnDV0Qxk5UbTCUhiS3BBm2uoqpNZ_hfMtMUUl5EReliVdCDTa60sAKx8veVGYHuDEdrpJcOwDtt1lugfatYBSL453lut9s9Vr81TdypHbnxeDS-ihtS4Aevy-UaukoERrvI0XcrHUG2Kl8aDgJy3YyvAE-XyI3tC6O_jvjaq2iQkNxg2RnTJzQnWjkhPcIhvkPA3_5xks4pRiXQVAVc5iupPMYTB6dw2S5QTMTYwY2Ptkz6cpHev4SDDbZ9BXQI4r9LPPBSg&__tn__=kFFHHH-R","https://scontent.fpnh3-1.fna.fbcdn.net/v/t15.5256-10/67831067_708859192962577_7408595788466487296_n.jpg?_nc_cat=111&_nc_oc=AQm8LAaXQ9ys9cqF8Kqp4ji2lhLgHxB3fSQFPzqoas4vVDHu3rM9voDygaQTX99BsTM&_nc_ht=scontent.fpnh3-1.fna&oh=37d23a25c32b87a3fff239b2d3aa1c22&oe=5E28A54C","undefined","Cleo - 林鴒 -","17,429 Views"
"https://www.facebook.com/luckycleolynn/posts/2264642496927687","1546269188","感謝司法在暑假就已經還我們清白
願意用時間去等待結果
即使再難熬難受與傷心
獨自忍受和面對騷擾

 曾經有位陌生的女孩
妳告訴我：
我希望看到妳真正的快樂
而不是勉強自己 假裝堅強
謝謝妳當時放下工作
陪伴了我幾個小時
對我說的所有的話 我都深深記住了

 福禍相倚
我相信 人生遇到任何挫折
也許是福報在假裝禍事
正在替你的人生做出篩選

 收下這份人生為你準備大禮
好好地 去體驗 去感受 去看
更珍惜真實良善單純的朋友
簡單的生活

 能撐過這段日子
都是因為感受到滿滿的愛
最重要的是 凡事正面思考
謝謝陪伴在我身邊的家人朋友們
謝謝一直鼓勵我 相信我的陌生人們
謝謝始終都支持我相信我的工作夥伴們
謝謝在這裡一直默默無聲支持我的你們
更謝謝我自己強大的意念

 新年快樂♥️
2019 願大家都平安健康、喜樂、善良
Love you all.","1571111185","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.nextmag.com.tw%2Frealtimenews%2Fnews%2F457234&h=AT0O9lb9SP6M7m3Hk0iGcxeB_QI1YxWIM4gEPtUxPUm7Rys8Y4_OAccqFaDWWR2Pt23dWH3wt4xokADSLtUZ9ddizJt2QWaCcRFn53Gr4GPCzUkJONevS77-eIOVBxTtGDUBDb8DZesKmbNYbsCk6fl2MADe0qv4RlZ6xJI6ECZUEyhYipjeBbcxC28uNI06o3I09j66dYZQ3HCYWEiRHCtR3PbnXKVf-Futp99zsDWp8cLZOzGX_mk4tLB5JA5ndznMifMAXv6M65FMDS_NEN6dLjNrg3TAmhr9DsnAgkfQ9JVt5OJm3fEbsDujIC0a2BaMkh62-z2Oy9i8SjVrDX6Uv5syA9AWZzx11CaIphHmJOnOpgPqG9rlVsHzPhMg8ev0eYz7QkZlC-CWPBg0_PyRAEUFk0tKwWKmrzRXnYrifY7FlSBfYN-1LY6jAALGZ6mWXUSFU5C-5mQFNdsvQU6nSkXmkVPs5ISmhmSrH5MvCRRr8KuQ1tu1GSOcZUUZXCBYlxRBubQM5njkOHRk8gejHGA3dOFpGXttYc5hXoNp8kbgfqE4iyfK60_fU7GfDCJCj2udgI2SoU9dGn9RnoRhHGZLZqhzH9lU3dqfTYJZGxgqE0TspeAz3cZD4EBO7pCmC8uZH2SZVCTS","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQAzVm-TmMy9XbtV&w=540&h=282&url=https%3A%2F%2Fimg.nextmag.com.tw%2Fcampaign%2F28%2F640x_afe053a509bb9627304a067243491371.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAFZ-XTXspAgUzH","undefined","（獨家）林鴒賣衣事件司法還清白　熬過自殺低潮","知名部落客林鴒，之前因為賣衣事件挨告詐欺，今年司法已經還她清白，全案終結不起訴，林鴒如釋重負表示：「如同當時的想法一樣..."
"https://www.facebook.com/luckycleolynn/posts/2750055978386334","1570019024","謝謝大家的祝福 我都有看到了
真的很謝謝唷♥️
好多的感觸 ⋯
再找時間和你們聊聊唷⋯
真不可思議 我已經是媽媽了
真的好像在做夢噢⋯ 

 在月子中心休養也努力學習好多事情
每天都睡不飽 因為會很想一直陪著寶寶
而且我已經會幫寶寶換尿布洗屁股了😆💓","1571111185","/luckycleolynn/photos/a.572512302807390/2750055921719673/?type=3&eid=ARCtQQLtWVCg3104IC54zM9RNGy_RG6SlojOuIWsAypHKtM8XTVBTH29zrpHYmUe8jkgmcmFODjYvQKF&__xts__%5B0%5D=68.ARDV2A596jCj86Hmpm426npBYjsE7rcBZxjg2T0VNCv5I4ZwEubq3KTlH9IxL8rkVa_rl_JTba7gqxmcnqx9JSK9TCe5w0azf6KUhAr8Y8sHXxOIeyzCEJFejGCiPueRPP-jVyfgdBVaXkkBe5W_fDtxM4MrWrM_7DBbHYF9D7e28kVhIFWdxstyEkYQcjayp927DIxaxK1hdZrT2rITaBhtcj-EW723ccQmzFzN2uW7c8LNoKthUXrB13YRpYeWfDG5Ecj5xssHPJJLua3lSo_lsQN2ANLP6R6joHEkKLA98YVQIE91p_4e0Yg_OPVApDTAfvz0HIgbs1HlYsdRHwV5WA&__tn__=EEHH-R","https://scontent.fbkk22-2.fna.fbcdn.net/v/t1.0-0/p526x296/71340739_2750055931719672_5596153683004882944_n.jpg?_nc_cat=107&_nc_oc=AQkcw4LCT7b78hnGX7JfW213b6KJYx4nYeHlw-kjYMxP2EimxlyzVvqMqx61asMQ8RU&_nc_ht=scontent.fbkk22-2.fna&oh=740cbe0bed08b8873e5707ac956ebb5b&oe=5E1684D1","undefined","",""
"https://www.facebook.com/luckycleolynn/posts/2613564705368796","1563889720","今天晚餐吃了臭臭鍋～😆😆😆💓
我好久沒吃了耶！
怎麼這麼好吃～懷念的味道🤤🤤🤤💓

 今天經過東區發現這片好酷的牆（門？）
拍照效果好特別！","1571111186","/luckycleolynn/photos/a.572512302807390/2613555252036408/?type=3&eid=ARBCQ0kjuP3-NomXFevYQADL6S21VjqHpOUpv5AuZcSrs11L8XMOyNxCeFsUNr9exz_RixJbD8FSBe0l&__xts__%5B0%5D=68.ARDuaeTOboKDM5UkiffIBrQAFsdX1rHUVE519G1J2UToZ3n2xHkvrir0WfOsXyAtzAxv2RKb5BZOD59VxU_l_qYfLaI0zsHTzB3ieH-E0GKN777qD7LMtcjTA4-T4tF5BO-FHzi5HRBThoqd0AFKxoubx4LsO5Txeh1xAICE2lQhf_sPO5JdZx3r7EhQ-7Te0lUAzVYMs0iTC7wU0snxD0-XbGBmZDsxRmjvGljMIffzM6dyjz9509xCX8rcaHwRhM76LB31DJHi2HL9Zz_74NWD0_hq4-LVLC7eiEyrqxdScpCo9gVZDfIbFMlRAfSnEys4yWBBq4rPNNWnmipApLU5YQ&__tn__=EEHH-R","https://scontent.fbkk5-5.fna.fbcdn.net/v/t1.0-0/p526x296/67401700_2613555255369741_4657111817342943232_n.jpg?_nc_cat=100&_nc_oc=AQmUD5ugQTmJOm-RXkJxtOUYzB-b44wuu41lrAqb6KVPJJGsXvaL2uvozl13ce5-tHQ&_nc_ht=scontent.fbkk5-5.fna&oh=cc4a9401d440ea44ce7d3f57dd8f21d7&oe=5E20BBC4","undefined","",""
"https://www.facebook.com/luckycleolynn/posts/2745505732174692","1569823130","這陣子好像作夢一樣不可思議⋯
小寶寶抱在懷裡的感覺好奇妙
其實這陣子都在休養
以及要面對、學習好多事情
新手媽媽真的好緊張 也好累⋯
但為了寶寶什麼都甘之如飴 

 寶寶比我約定剖腹的時間
早來了兩週⋯
（因為胎位不正也只能剖腹產）
原以為不可能這麼快
我才剛拍完孕婦寫真耶⋯ 

 生的那天落紅時只有一點點
去醫院想說檢查一下安心點
當時還以為檢查完就可以回家
但是到了醫院竟然開始陣痛了
天 哪 我 什 麼 準 備 都 沒 有
所以我完全措手不及 甚至連頭都沒洗
別說待產包了 我什麼都沒帶呀
真的是完全都沒有準備⋯
超級緊張！一直想說 怎麼可能？！？！

 哈哈原本打算要去接睫毛什麼的⋯
結果完全無法！（還以為可以美美的生⋯🤣）
就這樣⋯
迎來了一個跟我一樣的處女座寶寶
（說好的跟爸爸一樣的天秤座呢？😂）

 本來想讓你們猜猜是男娃還是女娃？
結果醫院的包巾有分顏色😂
藍色很明顯就是個男娃娃了
我生了一個跟我先生長一樣的前世情人
所以我有兩個情人了！（也太幸福了吧💓）

 在產房的時候
第一眼看到寶寶、聽到寶寶哭聲時
我就忍不住也哭了⋯ 哭到整個臉都腫了
先生也是一看到寶寶就感動到掉下了眼淚

 請忽略我超腫眼皮和疲累的臉
我就沒有美美的去生孩子那種命⋯
這一切太突然了😂😂😂

 感恩我們都平安
謝謝天 謝謝大家一路的祝福和關心♥️","1571111186","/luckycleolynn/photos/a.572512302807390/2745503385508260/?type=3&eid=ARDiEsPMJnEHi2gYkZz0TknEKwzAXbxeE3QU64jl-DcZz0dhWu5N4EjQCzV9L2zitbYrn4nK8U9rIMoD&__xts__%5B0%5D=68.ARDtk0emG84l7EJovK4jdkd6VvNBl4Hn2QOlnVOvBFKXl0J2hKxcO2fBugWLBuoqX2A6Ym14-8dG606eaxrmPHp9vTtq1S7AmGGyr-6W9CTRXtqlw4elZLh6BPt6q1sY_B4RxYhC90y2w4hJtu5_IjMCTWciRt1E45D809c_B6kxXQJkHsJRR5YLHrAJ7kfGg7gkJ1qvJL0EuPz8Kz18ZMwV75se0wBUQvQFdHySftvAf01EK-6qM7VtsE8IbHmjIwdgJj_cvUJ3pFunLzJVtNExg5KOXUgpZ4AsswMQrQL_9qcE5C32iTj3uw4Ls6ZYfdq7pkwW1lloTj0uDwfuS_CC9A&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/71237786_2745503388841593_4046936460824150016_n.jpg?_nc_cat=100&_nc_oc=AQlojckf86vQWrdyKtiSKZ9Xlps6LOAOnnppKZYojaSqoLVBQterPOCLDKIyEWKmERM&_nc_ht=scontent-sin2-2.xx&oh=021f7278e389e39d6c9bf2523921779f&oe=5E2062EA","undefined","",""
"https://www.facebook.com/luckycleolynn/posts/2768377196554212","1570764683","現在每天半夜都要起床擠奶
半夢半醒間還是會覺得自己是在作夢嗎⋯
我是個媽媽了 是媽媽了耶⋯
朋友說 第一胎都會很有感觸
再多生幾個就淡定了⋯😂

 每次看著寶寶也會覺得好奇妙
是 Mini 小小向💓 （眼冒愛心）
很開心生了一個好像我先生的迷你版本🥰💓
每次抱著寶寶都覺得老天厚愛
我最喜歡先生的特質 剛好寶寶都有
我超期待他們父子倆
以後一起帥一下的😍🤣

 我記得我之前好想生女兒⋯
現在每天跟兒子談戀愛 好好笑😂","1571111186","/luckycleolynn/photos/a.572512302807390/2768364186555513/?type=3&eid=ARC2yqCrqCJ65eYg-t6ilxk4UcSC4i-mwUYdTXA-hZ6MtJwaH1DP_CzNapr4ejxCrvKhej75Zfsos9Hn&__xts__%5B0%5D=68.ARBs3IpeoF0-d1VnCdy611i6zfbGhqxc0MATfC6i-Wb-9nzEKy6PiKJRGqF-IKiA4QBE7oG_4Fhkitx2dWUaMeEUv_FHtb_aYrHq1xC1dmXepY6WE3fQAuJncRNPlYqL2tYXNI7Kuvj1FSiEKnPMc51ft4fRwti93dxqMfAvAYZzYHUS6gDIV7rkPaCP760z3ufPSaHOEGwcaYB_2Uqt5nEctJcyljSGB4-Vo2Iavm_kgHc_LjDVreZ6FkN6KKsooUXSojhRxs7aPZkY3b575DijfE7If1kbutv0LXI3_jWvFMbwzMU5m_fkvTlupscJg3v2RxdyqK99enzwqGSaeLE3XQ&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/72144626_2768364189888846_2886011039848071168_n.jpg?_nc_cat=101&_nc_oc=AQnbNk_1mgs9oeM8-z-nBWoJDZBIrDM6UuOupYr9RIM_J5DBGe1SBbSpX8YzF3idzzI&_nc_ht=scontent-sin6-2.xx&oh=619c06f083d7f058d1490e470adca7c1&oe=5E64C7CC","undefined","",""
"https://www.facebook.com/luckycleolynn/posts/2767200503338548","1570718215","今天外出走走覺得好舒服，散散步也發現自己狀態真的恢復的滿不錯的呢！
我姊姊還說妳怎麼健步如飛，走慢一點啦！😂😂😂

 黃色毛衣超美好喜歡！
斜釦牛仔褲也是好好看噢😍
都是 Dazzlingdazzlin 💗
明天再來分享唷～

 🔻髮帶在這：
https://6226banana.com/products/jph1057
🔻分享過的髮帶貼文請看這篇🔻
https://www.facebook.com/135389086519716/posts/2752387314819867?sfns=mo
⚠️收單後就不會再開了唷⚠️

 差不多要餵奶了🤣
媽媽餵奶去了～😆🥰🥰🥰💓","1571111186","/luckycleolynn/photos/a.572512302807390/2767196333338965/?type=3&eid=ARAMLcwHfeYdqMKtbGM5l2L7Umsu0ES0QpwbI1diGbiTF7_bEpXBzIkBCwJS-wUUSRNkugF-V1Vlk_vc&__xts__%5B0%5D=68.ARCWKoQvrH8yz0Etd9pzJhELzTRWEq-TZLQtQOm8qpsq7o86Lac4UFiVJO6kEEHgUGXbiHesrnOB4iI7KmoF_dBPz2wRfSkJQ2zNAw-ruKlpQOXblEYyXbh-wGhO58oNA1DzZ5FEWaXIDcqSB1m119zwfolhkRBVyUhpPC8n7LyOPO3lta6dyiSF7QptZacojrN9XAfuPyuUFHI56P49s2nK-ORRicq3QR9SBmvR2-dExv-4MLhMO7WLOHnfYjtNylYr5Z6eHOCfXU0_0zHFxyGmdYcqXY7HgVPBGv4-fMZuvdqYDRf_Gin7B0gQ9knrKqqO8-7jwoEIbb0G3SbUhlPfjQ&__tn__=EEHH-R","https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-0/p526x296/72760308_2767196340005631_8906776176261857280_n.jpg?_nc_cat=106&_nc_oc=AQkXXZmJZp_b_V1L_zynmzjrWEL5GE76JWEwwrqaqa4xnfId_qi2HzYNx11F6pplnlM&_nc_ht=scontent.ftpe7-1.fna&oh=c823819fe513e66566856b6c9652370c&oe=5E2A5482","undefined","",""
