url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/mengju1214/posts/2572710732812178","1570889319","明天見！","1570908296","/citizens.mowing.action/photos/a.2260689834153491/2346683188887488/?type=3&eid=ARA_gSnClLLj0E7vkHlSMwFRQokVnSAHDqz5euujcpMqmlpM1Pt9jdnXscS4ufFzOUH6AjtzvUtC3f6d&__xts__%5B0%5D=68.ARClcie9wKbyzJKlTFTx6oJlNg8sy08QQCTUIFFadEf5gKH0Tiw7Q2zrd79pS9KbSHKn8bxWsJb0DFUwAWmKfFPyqKiOkBOlcwRcLlVcba_bjTFpDwP0cshM_RjTVs7Ryy5p4X6Tc1YNIgzzYmaug46p8EQNFV5SjRwpjpUte_-ju6RkqBeIwpJ6T9H1-8k70SOVEAEZmLcbTOvADodcaaQsLsBp2CsVlZihIORODGPeCGDDfenubrHU4HNKWeJnNNo6h5sIwD3TLrDD5hJ7zRQ-Z-9GQ_Bkec3xrsD7JC64NgGJ6v4a_YazTbeKhcgJaGDSlefsYfci0kThtTQgwZRfzuOSn5fMlZPODrhhDa1TOWboy_Dx-2dC8iZ3v6dmBE2bp_h0i04GRknn0gIwOGb-cm-H1OWPfKsWEsHK5iDvCCLPnIZV5V4FaR7nC6CjQB0iz_ZOIA8xQWn8HnpA0hv2oQPqi-qFbdL2hN3yXUahHBU7l_jkEAvQXdJa-A&__tn__=EEHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-9/s720x720/72242527_2346683195554154_894774732958728192_o.jpg?_nc_cat=109&_nc_oc=AQkrcdk_6nFoBwu3dD0pI276vfqo8JL6i0JHxA7pQtidxY8BuywSO0vlXw2qGeuWjsM&_nc_ht=scontent-hkg3-1.xx&oh=07e50f257390e827f4b9b0ccda5433d9&oe=5E190D1B","undefined","公民割草行動",""
"https://www.facebook.com/mengju1214/posts/2564567260293192","1570532014","今天被許多人問法院判決的事情，阿洳簡單的做說明。

 今年4月，因為質詢韓國瑜市長後，遭名為「李OO」在臉書粉專留言「你長的那麼肥那麼醜」「肥醜女安心吧 台灣人民沒人想對你怎樣的」、「請問議員大人
XX現在3H多少錢啊? #可以無套嗎? #可以後門嗎?#可以內射嗎? 」、「#你全家都死光啦 」等言論。最後就是因為該男「#你全家都死光啦
」，所以我決定一併提告。

 
近日收到法院判決認為外表屬個人主觀觀感，無關社會評價，因為民意代表掌握相關公眾資源，並有政治影響力，在議會質詢是否竭盡監督市政的責任，也可受公評、應接受人民監督及評論，應
 #承擔較嚴苛的言論監督。

 言論自由是基本人權，但前提是彼此互向尊重，沒涉及恐嚇威脅汙辱等，今日我雖然是民意代表，在議會行使職權之時，即使有 #言論免責權
，但也秉持這樣的原則，不對他人進行人身攻擊與恐嚇！

 判決書說明，所謂的侮辱，乃對他人輕藐表示之行為，諸如嘲笑、詈罵、藐視。

 今日除了對外表的批判，還有「請問議員大人 XX現在3H多少錢啊? 可以無套嗎? 可以後門嗎?可以內射嗎? 」與「你全家都死光啦
」等言論，且我算了一下，這位網友對我整整一個月，無關市政質詢的文章也都進行這樣的言詞謾罵，總謾罵言論共25-30幾則，我整理厚厚一本的謾罵留言，這些言詞難道沒有輕藐之意？沒有藐視之意？沒有汙辱之意？

 
也在今天，又收到一封更不勘的字眼的辱罵信，什麼半人半獸的畜生、滿腦蛆蟲、喪心病狂、滿口狗屎、妖孽、瘋母狗等字眼，也因為判決接到一堆打來罵得更過癮的電話，法院的判決，是為了助長這些人的不理性的行為嗎？","1570908296","/mengju1214/photos/a.1516964751720120/2564566810293237/?type=3&eid=ARBMuYjPkqJatcob34MZZviSzUDiySJvbnUItJeCI25kYq8QZgvSCef6jXAy5N8Y5s6fZB3HpYxhDdyV&__xts__%5B0%5D=68.ARB-Kokavbd6ai4AiY2s5R_N6QQ29cKGL1SkWkcy0Imgz7G8JkRiBS8681bQDFLENFfxUTCF1Dlm4U-93fIj2DJvnND3985ThRIUycU1KtdjL04bIG9RvG9dKqprFQrAUuPV6E45UE_U8patBGvYlfyVOyXy36yQvrsr_hCWeQqRuVJQ8EDpeFRvkI6zN7UHxKLMACYfdpHDrt10HWSEryxaFr8ofSwRDg63bqOByzd8T6JNae6nt_qtOQMMa_KFOyZQHXzny4YYt5qu4JuqVzvV9IUMO1BxwA0osGviOmkG5yNBTXt8R9YEmyQg5LdKE6QQNcRFl0uo_NBaLMgefP4Dtxfl&__tn__=EHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/71835939_2564566816959903_2354787107899179008_n.jpg?_nc_cat=106&_nc_oc=AQlR67a18r-T7oRV3uf_W4jmUaeJ78UcxYOss8tpABPDe1zvZWuT_Kk4Uh9CRNrR8BM&_nc_ht=scontent-sin6-2.xx&oh=85c10b3291320b4fd749fdf3acc9fd09&oe=5E2FE2DD","undefined","",""
"https://www.facebook.com/mengju1214/posts/2535533779863207","1569239285","因此嘴巴承諾的都不算！

 別人是「君子一言，駟馬難追」，韓國瑜是「國瑜一言，謊話連篇」。😏

 #韓市長口頭講的都不算喔
#口頭承諾都不是政見
#誰叫你們要相信","1570908296","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.chinatimes.com%2Frealtimenews%2F20190923002999-260407%3Fchdtv&h=AT2ttarxKkxCmKpDPCTX4vpPkI7RLm42uxn4rNECvcFuhVwWBN9EsDrD7fi0_QYTPJuorYdm_hGcH0-vVKU2cOKTFmNvIjl5OaqJtH9q-8U1FejhvpOGj5JNyQ7PgbRg0omLMhpGxixHzcVuunF9q-7ZKcUMkDE-itlmt0ohqi56mcAvNHcO4av_CdZIs79NyjYpTA401YSF3is-1w538sqk3a1V52KWT5v9_YI5GpiSMXCMg4ftJhB34G4BaMYIBaQ6qX3wL8S8feXXRmAccFJItXZSkfcYJtjZmgs7WNP738c-JsozsudTseX0IUaAg9qJFQFCZAqEXunOWpwioT8NFUozUIKLlJmG9aQHJ3r3YtxoLB1lzPKTOLMh-QtcbDkgD0kCNURPPQGELLatoQcHHOntxl_8wZFZQvUZlvGyxr13CGVRTYoG_qinSBAIMXHIv0LHkaToqp07gxAC_Nt6e3Dh0ZIK3BnNpU3qS5qXambuM2tpnsh3LzPlvyGJBI84h14u0me0S_kJjkd8hdTuSaXKnmUQETZIUiuL_6a9cUKGrgmvfNqv__kvjiUlG-FDmI0cK81jhroVXxL8Bfx465FltaYyZuYP8jBbg90p3eKX08y6VVByF3TLh3ipZ86NUOd9pAQ6VqZb1lI","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQA5QiwXrZK1zRwq&w=540&h=282&url=https%3A%2F%2Fimages.chinatimes.com%2Fnewsphoto%2F2019-09-23%2F900%2F20190923003000.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDhAH3Nz_M9UUSm","高市新聞局長王淺秋澄清，「不管是採石油還是採醬油，韓市長從來都沒有列入政見白皮書」。（本報資料照）","王淺秋：不管採石油或醬油 皆未列政見白皮書 - 政治","高雄市長韓國瑜23日上午赴議會說明109年度預算編列情形，遭民進黨議員質疑沒將南海挖石油編進預算書，韓正色反問「誰說要挖石油？」高市新聞局長王淺秋澄清，「不管是採石油還是採醬油，韓市長從來都沒有列入政見白皮...."
"https://www.facebook.com/mengju1214/posts/2547321118684473","1569758827","一起撐香港！

 #香港加油","1570908296","/mengju1214/photos/pcb.2547321118684473/2547319512017967/?type=3&__tn__=HH-R&eid=ARAuOSOLkU-U68GsxadtEkDAHB02IRHuKyT5kLJ7ypP-HS8cSDZk_FDnZmN83ovfYCjhC1J9wghHzrlR&__xts__%5B0%5D=68.ARC-Zp1fubxeqrZ3KHqgCwT89ntgBPAdO3g1fa2NVSz02CNA3vG2aa5SqmR0zGoKrlA7xTXhc5wWTx2VinEgA73PRY7xoN-BBdk321472RE2hFjYapzrgKu1rWqN5wgcUJ83LCm1gzY_EfxGOeAuWDVvakAUR29pcbLWomL6IibC_1e47AkjzlgGwbznlBuHlQIzPCQAteEApKRu-L_OwCuX0fdglEuEHQ_iM1jmSrO0Y_QatJw4q8j6X39l4PbSJ5qGi8rpKxuYBIDtpYl9dhkex0rxKOD5xvAbUNMHyTODTs3xpfPMv2n7ZUcsdYZ_zQFyK63X7c5GUl9YcxdS7WsoC-ut","https://scontent.fhan2-1.fna.fbcdn.net/v/t1.0-0/p526x296/71667430_2547319515351300_2741636405682765824_n.jpg?_nc_cat=103&_nc_oc=AQk6AE8hPcg-odq_Sg8yG2Uu2cZgw_xH8oD3B5Zgp9gVjo-4JcmFJYARd6wxHpL-G2o&_nc_ht=scontent.fhan2-1.fna&oh=06f6e4c5ab72c93e9fdb2967a2cca3ae&oe=5E1F7AE5","undefined","",""
"https://www.facebook.com/mengju1214/posts/2530123630404222","1568994735","謝謝您。

 您的精神由我們繼續傳承，剩下的交給我們。

 #精神永存
#一路好走","1570908297","/permalink.php?story_fbid=2508032199428751&id=1511329009099080&__xts__%5B0%5D=68.ARByGqktU0crPT8xMYXuqFDAtKXfkSvrNlSml2lWvpQ9k6wQlUQFdXaXOW39IyadSG90ka6cUtNPzUjX7wqj8_lVEShnmPOUZno9o6HVFlqs6Aa40K-y2INmKrUzCLilLXCLVvlRnqHcTs56OSGrCkeGaS6gfI7aUeqPAcvb-q7g7yZlhFmmiv1Lj5OXfNrL592j7TyxAfpeSruPdeuDna3N5gRxhsEixNB9S_tXnGXFxSkvSgRDMwZ9hA-lw1ZJ3avmrFj0sUDCOrVoqSkU2X1LEmMk39_h4ugeWT-5kRRUw8qW10pTBRaIUeQ9yPsJ6EkDCW_iYpXw4y606H9e6LNTDmFcUK0K06tD5OQ6SCFChW-AvwF7rkx8E8ilZGatSXns91wKbx3-I24INUl1DIgTxaqABSqh5psHV1SDxB7QoHROepVTIli2DWm-I7zJhA9asWqOfULYyk8kZJH-0A0kkkUavholK_L0I6hnlRkKPur8atOUHhAGWg&__tn__=H-R","https://scontent.fhan5-1.fna.fbcdn.net/v/t1.0-1/p32x32/71270284_2520693484829289_979511070454448128_n.jpg?_nc_cat=109&_nc_oc=AQl7NLjjkDjCKiZzT_eaFAeMVaO2CpwUISjbSmsEegnfIoGSe7hlSj4prE2d4FjkxRg&_nc_ht=scontent.fhan5-1.fna&oh=3df5920271853b8c52a5b558d915ac9f&oe=5E24814D","Su Beng-史明粉絲頁","Su Beng-史明粉絲頁",""
"https://www.facebook.com/mengju1214/posts/2352049394878314","1560502776","","1570908297","https://www.facebook.com/mengju1214/?__xts__%5B0%5D=68.ARDO0K0mGi3AZ6ckWjhB6shR8PPJO_W00nycnC_zE4VYho_2VnL3DTvkd9OWQ9M0OrPzewcAXhEjecgF6JDtv7BtGwjHFpEG9fSiccXx9ht5L89ySdi4DO86YjaE8aNFwULvbew9B4Wq6i5XmXRqAYszNSR15CYhCXrVP0mfPyhDaJn4hSA0nqiizEmi_aMqzzyw7UH65nZYxVCwcBpmvoRWWLAgCHUlaq5NtY4c9RnqCRVBZXzcnXxQar5CFFaHC0w6Yx77SiK_IdOtrexY1Gwbl4_yIie9-rYRnPitgOKM2Tlj7cAgw-2rK3lEdPfBk4YwSxrqhFYK1h2_JkhZ27AcMeUT&__tn__=HHH-R","https://scontent.fpnh6-1.fna.fbcdn.net/v/t1.0-0/c909.0.2410.1263a/s526x296/49329766_2091284327621490_7969832488023359488_o.jpg?_nc_cat=109&_nc_oc=AQlshYiw0PCr1KJSqYIvZvk-q93gTkcWIKfbXVbJllntwLFKcggiX-bRHnslvvMzTCo&_nc_ht=scontent.fpnh6-1.fna&oh=695b8896ce6c96f98a684ba98d8c835c&oe=5E1C832A","undefined","高雄市議員鄭孟洳 updated their website address.",""
"https://www.facebook.com/mengju1214/posts/2343174275765826","1560073324","今日香港，明日台灣。

 香港加油！","1570908297","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.google.com.tw%2Famp%2Fs%2Fwww.bbc.com%2Fzhongwen%2Ftrad%2Famp%2Fchinese-news-48571676&h=AT1AD3ZyZUnxCJWqC33YPacrlP6JsZMA2IfCu7KB3CLDTAQnb0GG5kHFbOR0TnixxwsKKFQqd7TKb3mebWVKT6szHMoN00voAT5Uq-JueKckW5B1YBv27x_lde01S_jNrIlgGla4NZZ1dSAQW9jObo8F3MekQJbXUVCEztk6pQhgfpR5qv2cBACV_BZ7C1Kkmgmd_g364P9RfLLyt-nWiTFT-VSD_wdLQ3gCzzA3P6cLcBGOBFUvVl6ax5EYWywL22w2A2BxGW9-idKv5NyOTbIcMiEWyvyFSxmFOhne4T5rc66-eZfwuDSim3BBdaNOes1cQoz0uo5gw_XsIrdUyBPM4iK2dp2gjEdTjLiE9c3kDy6X2lRXiMoq45s5QIvUB7auZnFI0Pr_fFENe62BpnXog3EXiillTeSvWNTA9ibSfdxso271juohbMPNnsKHfSpWSiH7l6lBngGzxVpp-wncY4sa5ejLvAPbk_8djf6TO4AYZ2nGPqG42EvF6NuDREvIS-m4MSeMIlkKETixIKAlmX2dDF7JTNU_s6-Uaoni1S3A3h6ffSCjoMCncIAgaelsleqcjW7LV4d3ujkYFQcXOKYupFUX1PWaN51L9mKdLBd-S1O8p7-Uurf08PKuazgddHAMMCdi955bBaI","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQBQsTfO6dsePcmZ&w=540&h=282&url=https%3A%2F%2Fichef.bbci.co.uk%2Fnews%2F1024%2Fbranded_zhongwen%2F1340C%2Fproduction%2F_107306887_mediaitem107306885.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAaCmig429xFal6","43625","逃犯條例爭議：大批香港市民參加周末大遊行","今天的遊行被稱作2014年香港雨傘運動後最大規模的遊行。"
"https://www.facebook.com/mengju1214/posts/2185195054897083","1551339359","有42年歷史的自立陸橋，今日功成身退，從今日開始至30天施工期間，請用路朋友多加注意唷！

 #進度查詢：
新建工程處網站：https://reurl.cc/VLqLY
專人專線電話 ：0980-855-889

 #建議改道路線
拆橋期間自立陸橋將禁止車輛通行，汽車請改行駛中華二路地下道及中博高架橋，另機車則可利用新規劃兩條替代道路行駛，周邊道路將掛設改道動線牌面，提醒用路人提前改道行駛，並請用路人遵守現場義交人員引導，避開施工路段，節省寶貴時間。

 #受影響的公車路線
高雄市公車「28」、「301」、「紅30建工幹線」、「53B」、「8043」、「245」、「92」、「紅25」公車以及國道客運「9117」、「9188」、「9127」、「1610」將配合改道行駛中華地下道，其餘公車站位不受影響，離峰時間車程預估增加10分鐘，尖峰時間車程預估增加20分鐘，請多利用高雄iBus
app掌握到站時間。
－－

 #蘋果日報：高市自立陸橋展開拆除作業 南北市區逐漸縫合 https://reurl.cc/XEoje
#Nownews：自立陸橋今拆除將走入歷史
https://reurl.cc/aVQn7","1570908297","/mengju1214/photos/pcb.2185195054897083/2185187081564547/?type=3&__tn__=HH-R&eid=ARD586Efb_7635g9CU9UiM8oyKPzQLhQbXfoswVcV2U-1QmLAQAnfEUcARFkanAF4mnb5EVrlo_I7jC8&__xts__%5B0%5D=68.ARCB_UN_vBUdi4Oc-b6OlI1hg3zw5A0iNrObVLqD6v1mjb49VCOd1rA9nR2J08MMsNoP8p9QaFGAQjVx8R24PNUdSSJTPI-i4JTR3PJX7-Wmv5pV69FkGl-cL2wc5nH9dQGap8S4MURPh1d1HNRf66KyYiSApIaexeRD-PUqnHWdxTTHTHT39LbHdhBxgxboFHZ1b6-Esrp5hlJk3SNKxEKOVjN6Ert4TG-7HZ4qvSMp4inJymAc4-MVkzv7OqH7A2wkVs1Jv_9AV8FtfH-Uyk7MgRStM40Nthxhw6QUy_huQUO5d524ASD6KgN_7O-zL3Tmo79Z5FDMXxnM10po9E1qzL-i","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/s552x414/53270773_2185187088231213_7443351509934276608_n.jpg?_nc_cat=106&_nc_oc=AQnG-Oxpnt0uN34xNnKugfWqU69z5necHWOaYiXWaSVbS6MWxHBkQENawTKObNcNIYw&_nc_ht=scontent-sin2-2.xx&oh=dcd74a3c4251c9fe2194cdb51e9e73c6&oe=5E297DD7","undefined","",""
"https://www.facebook.com/mengju1214/posts/2230810313668890","1554088937","拒絕一國兩制！

 今天黨團針對韓市長訪中行程，與農產品訂單一起提出質詢。","1570908297","/mengju1214/photos/pcb.2230810313668890/2230809210335667/?type=3&__tn__=HH-R&eid=ARDQlXluW3_l34V4ixVvYlsUP7xRyTI-_gZiXuaC-8-lDhgHthaFqbkO0FXdV0Z_C2va5obitHSGMWb9&__xts__%5B0%5D=68.ARARAzFNNRC1Sb8poah8QJYdv_mvPy9jbVQ6ZDS_sdQFzEgt3WFWAPU_sr7pyTRQORj8TiDZ853n5gJeeevEws0D23JU46Lxd0VwaSCS9xsGkPVl53j8fh32EbTUd1Wcu0C447nGKQpMWdeJlhz6e4Qmc5F-bwlDfcqyLfadeKqFZpUXlw74yF2fq7mnxOtf9gycUuuTa6AHb0TX75TdESqQ6GJNBjQaAuUWgfZR72HmsxicJV3kAovfYBhLgneNJbOKQwksFNTsITtlDK5xBMYyq1TIwt4FaSpOApvJoMotaNn-y9O6p7BTGFimVHDp4vdaw5UaFuGVPmW7XAioyoBC2Cp9","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p403x403/56232919_2230809213669000_1754786627688857600_n.jpg?_nc_cat=110&_nc_oc=AQl3OVsx9vHUoCP41cgHGWJ00SA_rG-K_T7EVSO2PmmPE3No-SketyYXw9bk7MHQt1I&_nc_ht=scontent-hkg3-1.xx&oh=998317413a768f17f1b4c19713f5021e&oe=5E16CC76","undefined","",""
"https://www.facebook.com/mengju1214/posts/2488641444552441","1567066498","不該把幽默建立在充滿歧視的言論上！

 
韓國瑜市長今天以「韓國瑜為你撐腰」為題進行「國政開講」直播，在談到人才外移等問題時，韓國瑜語出驚人，表示「鳳凰都飛走了，進來一大堆雞這也是大問題」。被糾正後居然只說了「開玩笑」！

 之前的瑪麗亞怎麼變老師，跟現在的鳳凰與雞，都充滿了歧視，身為高雄市長、身為總統候選人，卻把這樣的歧視當作幽默？年輕人不需要你這樣撐腰！

 #這樣的高雄市長我覺得才是最好笑的笑話
#最大的笑話就是他也是國民黨總統候選人

 韓國瑜失言「瑪麗亞變老師」 菲國辦事處代表致函：盼韓深思熟慮
https://reurl.cc/Yl7Q6a

 歧視外勞？韓：我們出去的是鳳凰 進來都是雞
https://reurl.cc/oDzX9D

 談人才外流 韓國瑜失言 :「鳳凰都飛走 進來一堆雞」
https://reurl.cc/GkZDmx","1570908297","/mengju1214/photos/a.1516964751720120/2488639451219307/?type=3&eid=ARADejRQ2S3UxbwEEll0sUhUBMdRcrsg6g9uK_9zyAu8pNWZqmw44Wxt1dHXz1GWg_a26miivZMOkyXS&__xts__%5B0%5D=68.ARDIIuA-7Lyd9nj3xf3kWTxqNogpc7OCz7ebsfszG7a5qFdanRIvVX5cUzMl5dwG5BGcGfdTR7ACa40p2lvpvo1x3U9svT5G6efX9_njwAxIs7vWlUzGYs4oxV3YJECXrtheav-IqgChwcL5G6wsvcAmnlqEMqqyPBIt2O9ErZINQ3QsqdSEB_vgGGnM-wBX8FFHbce2O6_6o5BiXG_Zm-WtcNSFj1nnAQ1l8qduk9wOtEiJbiDC0MwFDGF38aslXG5HRS5NP16xqoNwQFHAlUKAWXIdG7sdY2iwLgBQ5V-vR6QobT7CueaT67AlWwvS2L-ybYVbS_aMoBUjULzfKdfFx_zl&__tn__=EHH-R","https://scontent.fdac13-1.fna.fbcdn.net/v/t1.0-0/p261x260/69287002_2488639457885973_9186240232104656896_n.png?_nc_cat=104&_nc_oc=AQllrdY8h8yvAww3E8yRxdCm2GDtX36po65OIQxIypDzYy92HT_kzKHvyuhOH87-Iz4&_nc_ht=scontent.fdac13-1.fna&oh=3f579e9067715473ee66af1c4b1c3801&oe=5E36541C","undefined","",""
