url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/miao11255/posts/1703913189741428","1570111918","","1571083977","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/miao11255/posts/1679122142220533","1567854202","阿北 ABEI_@愛倫 Allen阿謙 AChien

 鮮肉內衣團出動～再次來到傷心太平洋
一段愛與一百萬的故事","1571083977","/miao11255/videos/676624009516120/?__xts__%5B0%5D=68.ARCfPFLm8xXOlclOqF9ky5Nw3a7v8-OJdKBfykwfLz9gvI-_dKj-OOIwHh7cXEgt6AeGgOz33rNAJOf2mrJyanXj22O5665ryyYWTh6LnzNxZjwBlrNEe6Yr8ikmYzk4M4qZoRVhP07xY1M2SvHfQPfOAc7KapKe-RdkWzZZYmfo2eVyvReqYnaXu8iv6J-zmFjtOQ6liw0i-hbDo74C4IHaKZ96kqWS6F1IypG_rbEvWMAN4yCFSAcKS2ssWOxC6WWpq26dqKSgmr8-Wo8v3dezpxY9M52aJQBFXX56F6p-eldjsASpb6tt5eh2NLclCPaxkFwcZJjlZxWc8nuxuixx3MmFU_FFlrJRmyUCvOiRctusHReN&__tn__=HH-R","https://scontent.fbkk22-2.fna.fbcdn.net/v/t39.10505-6/70903429_543130056429101_4703508884457783296_n.jpg?_nc_cat=106&_nc_oc=AQnLSR_JkFCkzzt6Sl_rtExT5e69ARmKFq77_cigYS6cJR72elckavw-kUH31Bn4BFM&_nc_ht=scontent.fbkk22-2.fna&oh=f72595d272fa117e92b087315b20280e&oe=5E1C45D2","undefined","Watch Now",""
"https://www.facebook.com/miao11255/posts/1668364543296293","1566776572","獨！洛城鳳姐逢賭必贏，網曝驚人秘密
下這種標題豪爽歐...","1571083977","/miao11255/videos/372044593464654/?__xts__%5B0%5D=68.ARCOosSHeCVEjQ5tYc6FTk2SWku0yLg2Ti1vYqZtj4M4Fd6OW8XwMdhB1vb63TEpHQmBRPLoscm91s59MIuf2XyDo_8SwkihknW1vJLTWbG6PSuggAEp0mu9QRnFM2Olp2Mj0LOu9lYqPlKkABYzxEOGjbCmF-4x21kkXS4BWjbHF2_tmCQiaD2z7Ap0E6vzk6_IFig68oazMCXC5-VmsNrPptcXi4s1sMmQhwdVu2Ve7mX_MmCc9h4bkROwT_At_Geysi2_qE_xk5qlyECBHUAI0oMnMvdH0uFvVwAdSNk5gQ-av6Ru6VH-ZzWio3nD9YudmtP5yBN6k36PiQraX4bwRFNFFBuFnCly1b3sr4L_yPalgKyp&__tn__=HH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t39.10505-6/70037423_389164201799145_3933921234017845248_n.jpg?_nc_cat=107&_nc_oc=AQmNKypIXs_eQzPjvy7MY991htHqOTRwRfSL87WJtnofvOPFmmV0LrIw4IjP9vN8FFo&_nc_ht=scontent-sin6-1.xx&oh=694fbd3ffec553f4fb135dd36cd3ba11&oe=5E610FCF","undefined","Watch Now",""
"https://www.facebook.com/miao11255/posts/1695441917255222","1569358858","沒錢就去賺！不囉嗦
一口氣直接賺到幾百萬
窮不能窮教育！更不能窮志氣！","1571083978","/miao11255/videos/2380323785558912/?__xts__%5B0%5D=68.ARAXM-G8TNv3MHR2bY6e6oD1rrTb5SqCIMvKr9WaocfgEOlkin5fowHoDz-E41ZYqQLHI6_MfrnBviDbdmxnzH_Yx09tjUSurxZqNbUVhNjBcf2_eSzQjSIfRA5h9psh3NklOnzi5PtHN9sIFvO4yXXR1Hs72mPhkRSz2lMprYtAxV0wk4RDEZD0IISHAnfrHVAdPO35ds5ufn_B3Q-o0h7tWIaSvVJavJulcoPQt8-CfVasF1239GofEW87lkUd6JKwdC8FsijtykW7qaVm4NzoOPDuT1UYqDsnWFpOvSWAzz4xEhhhvFlcK2Qn8rN4VQ7WVgjJrTTA8tX_ckCHdZw2EjNotpNZteEzbEDTHlXVzQiqazOD&__tn__=HH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t39.10505-6/71730680_2360658167540718_4678891562141220864_n.jpg?_nc_cat=102&_nc_oc=AQmFgL1jhHGV64_1Il6bryDpRFvQFbrLUdXYVGiUPV8ApHFcaK_GmMsO92pH_xFZia0&_nc_ht=scontent-sin6-2.xx&oh=6f7988e8f0b08aafe81ac87453845ad8&oe=5E2CEECD","undefined","Watch Now",""
"https://www.facebook.com/miao11255/posts/1642651172534297","1564149855","想不到吧? 連QA都做精華！
阿財為什麼這麼有錢..? 有本事問這題 保證不打你
-
點我買起來↓↓
https://line.me/S/sticker/8383769","1571083978","/miao11255/videos/1105739926481223/?__xts__%5B0%5D=68.ARCoEb0uVgffUe7eEao45KXd7XqFSBFEMkpNxXnb1phh9lTGBL7e4F1ub7tgr4X3AmLC37UQhFS0FIQIxtFQ__jjbYsoZL8n0TR9odxXkrqo5m-_jgfwrzNMLXCEDTnqa1VobggzBeQYSAB4Rbw7GoGHn9UGDRFhRfeY-C1voyY63_dI2umPSoI3JKHjKlX3A5_QrX13Z843rRwp9UhrQ5uqxGORAV99rLkec-SSbCaldn9anL35pIX8QKGshagGfwxL_-U2InnL6qZwGh0aOgeKW3-ptRKJrW3kVUf7QB19iSS79IP46meYdtO6IDGUr5zXoTkexfnC4agpe1Vi9b711SiUOOsQk9mKhAe-0LrzYay4k95h&__tn__=HH-R","https://scontent.fsgn5-6.fna.fbcdn.net/v/t39.10505-6/68125499_632682460551365_4034319247067840512_n.jpg?_nc_cat=106&_nc_oc=AQm0aeZ8k9BmzWr2XH5xfsmTIL5Jbu157_RBlJpz3m647Hig1FDCzZBauW4zR-TzAg4&_nc_ht=scontent.fsgn5-6.fna&oh=42c3b64342c8e317366c89f993c67dcc&oe=5E33AB1E","undefined","Watch Now",""
"https://www.facebook.com/miao11255/posts/1648886095244138","1564811190","謝謝各位一個月餘來的陪伴，最後和全鎮鎮民一起回顧整個新鎮吧~","1571083978","/miao11255/videos/2372796076339290/?__xts__%5B0%5D=68.ARANPGaHn7bG8p0p4FUVhpvmRJKiRaZ5uOQMlrZ9wMdqJy33NDRZzMuE4nt_EVOM3I3ol2-h02_K_4IeqRPZ7Q46-RysE-LvG3fRdmmmZwM1r4NquSZzqptuGC7bxYPA6GNJOJBUUejJdgLZY8xOdYFqAOQTE3bHfeDgxZi-B5E84OFnhxOhkXvKtzzDiSzbvIW9CAnmHDaQN9hfKR-EGv5oNeOn-BDnPcS3WBF063OyKb7XB6_a_wTghDRj-mtw0Z4Au7kKOnveqdTwlWWVnyb5GV1Fg-UFFVgh9MI3Y5SdQziVzZ4iey9ZT5-uOTAYe_99NGFK6lbHbaFPUXKBvM89LA53mIPEO0snKDOl61mhHlYuNuf9&__tn__=HH-R","https://scontent.fbkk10-1.fna.fbcdn.net/v/t39.10505-6/68447482_726110861142283_1904809345711865856_n.jpg?_nc_cat=105&_nc_oc=AQmJ-Bis8nMekg8U4MFE0UxNoAFdmLhHERZ3o1hkYhE4sN2R6IoJQxrw3ox9E8wK6iE&_nc_ht=scontent.fbkk10-1.fna&oh=a911cf90e0c8e6830866afd3fb35f4e6&oe=5E255F14","undefined","Watch Now",""
"https://www.facebook.com/miao11255/posts/1641113889354692","1563987780","結局的番外爆笑篇，我也是笑笑的啦~","1571083978","/miao11255/videos/470986510392600/?__xts__%5B0%5D=68.ARCsgocODjfjLeyT2bYxY0AD6XP_2LLRAo9A6slZP1JpWsSvtTBAG_U6JcNghbC9n_sHFgC3uvEwSMoCRDCyrmf0BU9EFuxmDQFZ8EjZ2BJeY9fyR5tPEG6ynGTH2MaiYq5VhbX0aJ3fojA3aYx-5VlOIOVUpczhrV36j2QSvUQQbUyCPtpuRkpfmQVXPcB0essgbjvy4at1T1zqb_WrvHC5hAnWM8sih8KSdGqEPkjJWYhUjj4sQAhSQKFsYZjGkP_BZluBA6dC4HrTGTBXAsfcuhZoDs5rLxMyI5z2BTym331cvb2e7kCJd-KEOf6015KY9URcvgPwrSGVBqXKwEKfv8FFejzoN7p_QBx4PiWIeCD-XKOZ&__tn__=HH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t39.10505-6/67881338_486439842159517_7376070924551847936_n.jpg?_nc_cat=103&_nc_oc=AQkKcqK_Bfje5w6AAT2zqcgJ4kAc2XsIC7uwnsfnG8KDjh4-qGsSPDdUpJjadLg8p1s&_nc_ht=scontent-sin2-2.xx&oh=c0d23257f8e5ca5189a66261c4221780&oe=5E323CEE","undefined","Watch Now",""
"https://www.facebook.com/miao11255/posts/1708152162650864","1570472550","解個任務把時間都拿來迷路就好了啊
抬頭一看原來今年2020年","1571083978","/miao11255/videos/2555421331168248/?__xts__%5B0%5D=68.ARAep30NQtKdaYFLbdasrAYh9GVe1WqLS9LZSqReLc79HdP-mZnzjVaGJXaevS0mUzNLJjEOgYx60OfjV-EZKVQodkZlvEcPqjq_22BbrWvsWZgfC2u3Xm_5p3wOHGAaq4p_lKTDnAjWDNOvtEa2mPnOwP78rvPivL8QdKLQs2Amwd_8hcfXWn6Cr_EF-rt3Y4IfxQZ-o38PuNWtY3hqoDa5SfvdYaG4Lm_c2kJ3A-nBMuG28Xeh8x4wpOVkzkLN8q9_tCmdc7CdqZvkcRIQw2B7m02lzdZYtskibtbsCriqsSPuCdW5ESO1CZ2pPFTMFcMF5sr9tN528v3LekBflY_Yh7tYMgA-BwVf0rw-X9ci6VJpBtZA&__tn__=HH-R","https://scontent.fbkk10-1.fna.fbcdn.net/v/t39.10505-6/72734684_1182452068621227_5741397502586781696_n.jpg?_nc_cat=102&_nc_oc=AQmxuLIBi6CN1Laq9BagkWhk7Y5gPXWiE-qwlf6zMm0fF6k6orwlP5G3mOC4x0zZrWg&_nc_ht=scontent.fbkk10-1.fna&oh=7af5ccbff7061f480f78e00e202f3e1a&oe=5E307179","undefined","Watch Now",""
"https://www.facebook.com/miao11255/posts/1640984439367637","1563977722","難得的拍攝體驗...第一次做..摃丸....
約會做摃丸大家覺得有搞頭嗎?

 #超犀利趴","1571083978","/watch/?ref=external&v=1313017635521977&__xts__%5B0%5D=68.ARBTPYvmFE04pgFZjcNvz41Hh_PFItibQGf7LtLa2KNM7wkrNwTbV-W6OKZozU0O_2qu9UyrEHbR7yDnSqWwqsrAdv4FjmGbxJz2LbkmofgA7KZfxTNCo2OuAnAjEFZGjF5-v7eHFfq0lFGmqXaIBdJM9FztEhkBvDi2ANQ7yI9H8TTT66YO7w5wx4CHk6mNGNVhpXBMG8PJd5qzEpBFflXLUx6fgypbbJKyhNEJbftKuf6T9FJiWbYerrSIvetNTG2zboQsoI5ItedNJVDc_PFA1Mkh5rP73vOXQbCruB9zlh3emiZzBS1yk0ZY64x-FrapLZ4TUp8goFFcyQU4SlcURI-C3110oU-X1Jxtk2cODACktUhqkkql6C8huiDYEGUJrPRvlD5glnwHSQHH7voq8m9udiJKd0HBp1acq5KAHi8silw-QCttJIIUbu1LF0ZCfFTIFNX3_LwiyW8Y_DUvtmgJ9gfYxc22Q-Ac5A-wnnX76g7aH-QIK2qmtnp1oQ&__tn__=kFFHHH-R","https://scontent-amt2-1.xx.fbcdn.net/v/t15.5256-10/66824722_1313023425521398_5630670728845066240_n.jpg?_nc_cat=108&_nc_oc=AQmgzK0igHUOURxpnnGAxnVUNlCEIcpngITL3pBo0D4EWPTMEQf1TwPJ1NCRhFOUU-g&_nc_ht=scontent-amt2-1.xx&oh=dd542810df979f008f423bbfc17fa93f&oe=5E2D6E88","undefined","【超犀利趴10】美麗飽島 EP3 / 曖昧中必學約會新招！初次見面帶去做這個，感情直接加溫 ｜小納豆一日約會 Feat.小葵","Posted by 超犀利趴"
"https://www.facebook.com/miao11255/posts/1657294561069958","1565674939","真心推薦，值得尊敬的前輩。
你我都值得一看","1571083979","https://www.facebook.com/6tantan/?ref=nf&hc_ref=ARTydHRQC2xa1wHeaKnqzYYj9HtbR0wrGpOEtK4KsmwMPQ-glgDYvBhCZ5ewscFgmJc&__xts__%5B0%5D=68.ARBw0OPR9o9LOrAOwMHCGN4WLisUB5Ei2_Qyd9wax7pVcNSeT2I7oYmib_MF_tk9tJTeoNs9dDrScjXoSDzcpkToP2n9HOCtnAfGFI77PRv39AvfjqNzE4gUTptldRGDTTRZdY8LUJg_MFR8EVO9QFfheTUxFt3ktGkWv-N4pN4Qf1PabSSd-KOCqY0mtvC7uLl9x4KbzpLnNs0oF3REZ03JXD-vai1kv6XADtNghaDDwnJgLJ6avnvCKc4fCr7OVzFo1dfW3RfjCMwVv8yq487zCKkJ9QkBwP5oGdZGOv70drFomXeBnt3xCWML0fwm8-7dMC_I-PK2Ts4jo2CNKlH1gUZy698JXj5gUlImaeQQQcznMS8_jRGt3tjTniwWTRBPjCO3xL-jF3aJ7MCbKDyPGW3pGCM-DY32PgNJo8mKCWRTO7ZeF4cN1DuOq8aNAqDkLTJYogElwEIcZ-PMFbVRBGx5wHe7f-DdK_o3o7X1SpzsbZEh-mHT&__tn__=%3CH-R","https://scontent.fcgk6-1.fna.fbcdn.net/v/t1.0-1/p32x32/1779679_465890620178502_353576992_n.jpg?_nc_cat=1&_nc_oc=AQnQFB45hK7734NwBL9HAcHtgF2bDh-fGRL7cO00t2J5zWQECvPADTnH3su4-89nIW8&_nc_ht=scontent.fcgk6-1.fna&oh=93ec63a55863c073bfd53d70ae5c00e5&oe=5E1E58DD","6tan","6tan",""
