url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/muzentsao/posts/1239640369576428","1570146039","｜#木人艸生態食材：生態綠｜

維持生態永續不息，
是我們所堅持達成的——「公平」

咖啡可以從不同角度挑選，產地、處理法、烘培度⋯⋯然而我們的優先選擇是 #公平貿易，除了以生產者權益為優先，減少中間盤商的抽成分潤，也關注生產過程是否 #環保
，並減少地區的貧窮。

我們所選用的 #公平貿易咖啡，來自台灣的社會企業 #生態綠，他們與發展中國家的農民，建立長期合作的夥伴關係，以永續、有機的方式耕作，
透明化的公開食材來源的品質，也讓小農在過程中獲得穩定且公平的報酬，讓環境生態與產業生態，都能永續經營。

生生不息絕非易事，方法背後更多的是堅持，是與人為善、以土地為家園、以農作為榮耀的善意和熱情，透過公平貿易的採購，與在地的生產者建立良善的合作關係，讓每次落果，都能迎來春風再來時的繁盛茂密。

#咖啡一杯一杯在乾
#我容易失眠賣給我衝康

圖片來源：Okogreen 生態綠
--
#婚禮外燴 #尾牙外燴 
#企業客製化餐飲活動
#友善食材的行動饗宴
-
木人艸・農食美學
來電洽詢：02-2883-2113
預約服務：http://tinyurl.com/y68pqv7",1579118331,"/muzentsao/photos/pcb.1239640369576428/1239640236243108/?type=3&__tn__=HH-R&eid=ARC9xlQRGko-moHpI8MbMJdOg5BtVsp0MP0T6csINnwHJXMRid11tNcxBKbpjeRzyePwBBh5sHlaPI5G&__xts__%5B0%5D=68.ARCehiCatPIBlswMLl3AueHrAsQ1ry1VgrjJq4lBomk9Isl0YWQ7hRvQawR0h1xHmNX2BYmYwc8HQxbVIHJWzzlYgxp72o5CTLB9Gp6x0SjqEIOYPDfTtE_aN3l2Jz4LoFyVek9NIdtXaeIrKle_qmRDUxAEEMWds1LHMg8IKcB31bqs4AMnk4o27CH8eWPZ0-Fz6DOeZg5CPXsQi85smzloxomUctgasM9o1MVCwUsa2-7bOQuVT_ohQSK0_Woid1YILFtXqd0-Yz9BnO-gI8Xtr6bkVAC8Rj84KJkTkSfkc92rA9UthHYC5SQ71qtbHpKrrt6nAtcCjqCOsnmkSn29-Q","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-0/p350x350/69863117_1239640242909774_7500165277196222464_o.jpg?_nc_cat=103&_nc_ohc=jC-GjI440mkAX9Nj6m2&_nc_ht=scontent-cdt1-1.xx&_nc_tp=1002&oh=54e2f5c22382746cbe6a2b68159fdcf8&oe=5EA8423F",undefined,"",""
"https://www.facebook.com/muzentsao/posts/1239659326241199","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579118317,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/muzentsao/posts/1055612471312553","1544680718","感謝各位的厚愛，

 我們到12/27都是滿單的狀態，再接下去廚師們還有外場的夥伴們就會憤而離職了，所以我們12/27以前都不能再接單了，請各位體諒。

 歡迎各位洽談1月份的聚餐唷~

 #每個人都問我們說廚師有多帥
#就這麼帥阿","1570987285","/muzentsao/photos/pcb.1055612471312553/1055612277979239/?type=3&__tn__=HH-R&eid=ARCKmv3M1ImAMrxt-sIzOcjekMIBJCP6mhE7tnsK5ZEGkGDZKs7vgSWmEHRiwSPOb17Wg-nLYQ5hNuYW&__xts__%5B0%5D=68.ARBwkU4F_kZ3IUAFvALVOkpQOM2MbRTXf4Js-3v23__bjeDZTkW2XhD1oFbFerle57oaZxp7wmqJI7ibKmyuLikKL_7R69-AksRnvJ8MhOysOom-coE7By9MS8Nj4MEZ8OUMmG58KqQsMXGmyMCqcqjEFuPA7Gvuxjju0Om9s3lEaDNV8Aa4Ag_JzAiwXUpd18PbotuwaMIYRS1CbPtH68ijl6N7B3_ZPq0vAhjPX_0jFApnx4jQ1usQ4ExwsFOuGJpuqizlOb0aCbaY1yWxqB4iP0lKzyeekyZ-8U40aUNOtZVzroH7GGk8PlhhoGxuijle0IQJTkN0YewH3zsuP286Ew","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p235x350/48393402_1055612284645905_1575038544089448448_n.jpg?_nc_cat=109&_nc_oc=AQnmeJzgqdRdbi-_3lBlBVF1Qqso4A3p52a2DD9GMDuR5_Qtp7SOc6JTArTJDYdB_l4&_nc_ht=scontent-sin6-2.xx&oh=6f5b8c1158e60fb4627579211c3f8891&oe=5E182D44","undefined","",""
"https://www.facebook.com/muzentsao/posts/1217270198480112","1566367200","｜#木人艸生態食材：赤嘴蛤｜

為什麼我們要選赤嘴蛤?

挖赤嘴仔是一種延續數百年的古老行業，赤嘴多屬野生較少養殖，且因成長速度慢，數量稀少，所以也被視為生態環境無污染的指標性物種。

可惜自工業化以後，台灣海域可能是水質汙染及海砂覆蓋，野生赤嘴的生長腹地減少，導致這項具有生態意義的作物減少。

如果吃過 #赤嘴蛤 
的人會知道，他的蛤肉口感不比文蛤好，但赤嘴蛤的海味卻遠勝過文蛤。而我們除了支持與維護台灣海域乾淨，進而帶來風味純淨的海洋產物，更希望生態因此生生不息，讓我們的生活能夠與環境共存。

超鮮美的赤嘴蛤你不能錯過，
和 #木人艸 一起透過支持台灣食材體現新鮮與原味的餐飲體驗！

 --
#婚禮外燴 #尾牙外燴 
#企業客製化餐飲活動
#友善食材的行動饗宴
-
木人艸・農食美學
來電洽詢：02-2883-2113
預約服務：http://tinyurl.com/y68pqv72",1579118323,"/muzentsao/photos/pcb.1217270198480112/1219820088225123/?type=3&__tn__=HH-R&eid=ARAmdqVwD4RnyeD7u3eA0YaD7UnfcKV-MDZl5P1qOitb7jncW4wMZ2TZeOFNZxsj9Ocu4OGRiDSKyIjp&__xts__%5B0%5D=68.ARByZeM_iWCmmuLjWoNLk761JztDawaKJJDzXlZaXDIhMOVOWjsogmOLAkDkrNRvWbNf-x951i9LI_4JJQD3jtiTsKS5F-XXDr2o4CU6kIqC-xTFR9Hrm0ZWQx4SopCjAtHXhiN5JSJlfwsJKrZyT4LnmdHUQvBEMDbRFADcXTMJUI3HCbBSBAF_9_dAyxKtf-JW6WgjItQKNWgu-XfYZrvlL8pjAq6hKySnFokDQG5CF2xWH4IMzhzUjyO2-DYcXMjSHrN_3b7mEad58QXppmWY9Gz0Xj0ovoN_nE4iQrjLUyqGfzgkXYRDDh1QnUH5FBcdIo0S4JTADxc2NrWUYkBWSg","https://scontent.fbkk7-2.fna.fbcdn.net/v/t1.0-0/p526x296/68488411_1219820091558456_514768799841386496_n.jpg?_nc_cat=106&_nc_oc=AQlGE457S7aRI5OdN6klxqlgNnW3wS78QpNndpx9cBsHaqf_15-7EdflpcIuBroiweQ&_nc_ht=scontent.fbkk7-2.fna&_nc_tp=1002&oh=6e4245b3196582ad62d989413559bfbc&oe=5EDC140C",undefined,"",""
"https://www.facebook.com/muzentsao/posts/1138241023049697","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579118334,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/muzentsao/posts/1140017252872074","1556329781","我們只做自己也覺得好吃的食物。如果沒有從心出發，很難做出令人感動的食物，雞尾酒就該有酒，不該是果糖漿去調配的色素水。

 餐點若缺乏文化的論述也將會失去靈魂，賺是賺短期的，每一個訂單都是在考驗品牌核心和產品服務的價值。

 #台灣fingerfood
#台式精品外燴
#謝謝昨晚客人的喜歡和稱讚
#看到台灣的小點心可以發光發亮大家都很興奮

 服務內容：
1)自助餐形式－
菜色內洽，
單筆訂單12,000元起跳，交通費視里程數另計。
單筆訂單滿1.5萬元即贈送餐桌設計。
需現場組裝廚師及服務人員則另計。

 2)茶點或一口食型態－
單筆訂單8,000元起跳，建議300元/人起跳，
單筆訂單滿1.5萬元贈送餐桌設計。
往返交通費視里程數另計。
需現場組裝廚師及服務人員則另計。

 3)套餐形式－
現場備有廚房設備及客人桌椅，單筆訂單需滿3萬元。
現場具備客人桌椅但不具備廚房設備，單筆訂單需滿5萬元。
交通費視里程數另計，現場製作廚師及服務人員另計。每位客人最低消費1,000元起。

 來電洽詢：02-2883-2113
預約服務：https://www.muzentsao.com/blank-6

 #婚禮外燴 
#慶生外燴 
#企業客製化餐飲活動
#友善食材的行動饗宴",1579118324,"/muzentsao/photos/pcb.1140017252872074/1142766149263851/?type=3&__tn__=HH-R&eid=ARBAuFrlZH-vMSkeopHGzn1F8br6yiYPyOM6uwFp1nsZCt25NcEV12XcqJm0_72EUhr9oeDzGnZ6r206&__xts__%5B0%5D=68.ARCICN8UdIpVm3KTuxLc2ERKDc6Uktfrhxcujte7f7L-aySWb8tLU6oGogPuw4Z-Y4LScD7xlxajx-8yFF8E_l2iv0bTjSgUkTGyzRCl3RqcdAUUUNfPKZKqUuSYVPtyuMiAIKGZMwVFJ93QiINBNZvnpGAtTOWCOt0P3rYmB5-4DaGEDG6V154setRkvVVmI16PtlzHvAH2TNfIBsKnceGQavjfEW0N_haLOHkSK-ZJSGFE6gesak1Kf1lG-Pc9CcHX-w23EF6Vy9igGkWjYyFm5OkfowcLRklybMRiqGMiJPCHsvZmRlJCB4tbsGfmeayjtyGtkScr-FaoG8h0fextmA","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-0/p403x403/59615390_1142766152597184_3643334660282384384_n.jpg?_nc_cat=106&_nc_oc=AQnzX5LFFfq1j_QjF4At9cQwq618KGpWWnUpVFcZLZ7yDAi-zCRMF3kfgSmgUYuZKmL0MXWiv3auyBOxsI_glTj3&_nc_ht=scontent-cdt1-1.xx&_nc_tp=1002&oh=4640b79c63c54caee691307063b393e2&oe=5EA4B46B",undefined,"+3","木人艸－農食美學CatererSend Message"
"https://www.facebook.com/muzentsao/posts/1135714446635688","1555738750","今天中午的赤嘴蛤痛風鍋大家吃的很嗨！

 彰化野生赤嘴蛤仰賴乾淨的海域，守護淨土就有絕佳食材!

 #生態食材
#我知道你吃飽了
#所以我夠佛心",1579118325,"/muzentsao/photos/a.457615641112242/1135714429969023/?type=3&eid=ARC7TG61stzRaoL8OaJCAmHGFTZlnzYnhIqmRVPf0EFGzV4MMS4vRfdZ7Fq7eI61BKw2xyeYpsYusWAw&__xts__%5B0%5D=68.ARBUo-W998oquUtxf6QXr2ow8wuIbkssdBPeXHSVkyc_Z-zx0erizGyab12BANaWvMjKb3vWPIC6OtUTU59Vs7wnf57omd28ZrDQ2m1lP8WJzIzNxRLxfb8GeDWnSVijoEpLnhLFvTlwexQW84e708RxBKXfk8j0g8rpsgTxJzGc4JMhXM3OnoY67qom93xxxaKyAf3uFbEJQX60YBhR2Kb6zWon9k9LWA1iVdyNb7DyPeaEES3QBBMZMsc0drZfzfvVRdUqI-Ypv221-CQnmn0q7QUPFc4AzaEwq-OkUkWIW6FzzgGmMLo_1Il75Rxt0Y_hii3O-WGQ2neXGb2--w3iLQ&__tn__=EEHH-R","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/58376185_1135714436635689_2091773859131817984_o.jpg?_nc_cat=103&_nc_ohc=HU_0POQEEIoAX9MaqoP&_nc_ht=scontent-cdt1-1.xx&_nc_tp=1002&oh=5d532f6752c926e6b0d6b4bcfc719635&oe=5EA342C0",undefined,"",""
"https://www.facebook.com/muzentsao/posts/945944418946026","1531621005","今天和花東團隊來進行一個開發深山餐桌活動，
部落香料雞腿實在是太吸引人了！嗶嗶波波的！

 十月份來一發部落體驗如何？

 #馬遠部落
#超好吃的餐點啦
#還可以玩水有好多魚","1570987286","/muzentsao/photos/pcb.945944418946026/945944185612716/?type=3&__tn__=HH-R&eid=ARBxdWNYMZ7beEU8ht3zp5ndDjf6jJuJOnOi5uQxixxT_oP2jawswuoPrpX3HM43mFuC7ymDSOXSOG-0&__xts__%5B0%5D=68.ARC15FkZlteqFiLLXFaUnQ8sc9_VAVY8GsiZSyGcRvKHbxwS2kqjNU-IQekk0rhGFQ6iozk53o0akGhafzv7erTOHANFzTJgXl-HudyJ1p88eQoDCZlsq-E5w9aVeSYFgLNRgbA14yX64rMOHddbIp28ehEv0jWSxekCLQ0mLkCmCip4Jq9L8xb8Ep4L8Bqaky8Vm4-q4oB83hZWsAaEy8-bWKUq7Sq1QwRaduOcBv8Xzn1oWVlwdyAW3K-PmrCdKaUFN2dacOkrNxdohDa6FnchpQtRAAAj41BpiY8xodpEgfGERrqBwOEs9D_QtQ8So5DUV4CsAZ-aWq9aX7HTqmM","https://scontent.fbkk21-1.fna.fbcdn.net/v/t1.0-0/p403x403/37120069_945944192279382_6613142328846581760_n.jpg?_nc_cat=110&_nc_oc=AQlvCqE8d1ni1m0DM88yiWK4-miDpSkK1OyZtrvx6p9xpHDzcUfJxgmCyYcSiuZ7bkc&_nc_ht=scontent.fbkk21-1.fna&oh=2491ffec9801f80c702961b2146667b2&oe=5E348C5B","undefined","",""
"https://www.facebook.com/muzentsao/posts/1208289422711523","1564640584","【正職內場外燴製作人員又要徵才了】

 因應公司業務需求成長，我們需要吸納內場的兼職人員，手腳俐落是基本的，專業廚師經驗也是非常加分的。

 只要有心人人都可以成為食神，這句話真的不假，但是現實條件裡，要耐得住火的熱、站的久，接下來也會有一連串的考驗，這是很如實的廚房狀況，要能夠接受現實挑戰，

 所以我們不需要
1)憤青，總是別人的問題的人
2)知青，很會思考但是沒有做法的人
3)對於改變沒有動力的人

 所謂知易行難!

 然後，我們來談談工作內容，如下：
1) 提供無國界料理及具台灣文化特色食物料理。
2) 具備食物設計的熱情及潛力
3) 對廚房工作具有熱情，學習食材特性及火侯控制
4) 具備團隊溝通合作能力 / 配合排班。
5) 準備於時間內的餐點所需菜餚。
6) 負責洗、剝、削、切各種食材，完成烹飪的前置工作、製作工作、後續清潔工作及管理工作。

 提供階梯式學習及調薪機制，能力佳者晉升正職享有年終獎金及績效獎金。

 工作待遇：150元/ 小時 (無經驗者)、有經驗者將依各別能力考核提高時薪
工作性質：兼職 (白天固定排班尤佳)
上班地點：台北市士林區
出差外派：有時候會有外縣市的外燴案出勤，所以出場是很正常的事
休假制度：依勞基法規定，彈性排班
可上班日：一個月內
需求人數：2人",1579118334,"/muzentsao/photos/a.455946777945795/1208289296044869/?type=3&eid=ARCArmG8u5PcnH4qmdu7GPhsZCN_A9UErC395Ie-mc6m8sFvMWFJ6GsZ4tW9ZZ0ilB-a65pIXzpXbNr7&__xts__%5B0%5D=68.ARBkWk1SBZ1qi8pKphSeNr78_5gDBfNWQpmeBdzGoenAgsPgcrkOh9N5pKb7jc3MUfXrfno6I1gvTDmhVxZBVn_T0C81-sEvfga1aTTUIIrsxe6gakE2bMy6y6C5FdnEHWYVW5i6IGM5qLh8ck1f1BAbiY5Kz7hsg2ISgM95WJtbyd3lhmR8y8-QaGbHDAPW2jvTpoLR8qN3MI6YBXy13yH0XDHr0etuIsCI-p0hG_Kuzhs5rR12dMxM4uIL5JbonSRjsYDeU8Upm4eu7Ks6zSjV0Dg1tDAYBdtHyer_KPg4cC3KDgG8mVDsKXQqPU2063G83yq6hKGiev-9-yIp9eApWw&__tn__=EHH-R","https://scontent.fcnx3-1.fna.fbcdn.net/v/t1.0-0/p235x350/67415650_1208289299378202_378667406559543296_o.jpg?_nc_cat=111&_nc_oc=AQkHSxT6XqR-X0dhceXPdg_L4VkHNgsgbpjt02ka5fMnGFM3gOPCBrxyRBW4ibo7auU&_nc_ht=scontent.fcnx3-1.fna&_nc_tp=1002&oh=2902b24e2a341e3a287349a681ad65d8&oe=5E8F7B92",undefined,"ส่งข้อความ",""
"https://www.facebook.com/muzentsao/posts/1151942261679573","1557901607","服務業一直以來都在創造體驗，這個體驗都是從客人出發的，目的是要為對方創造價值，無論今天我們有任何的堅持，都應該是在這樣的出發點上去提供服務。而這樣的服務業也才具有篩選客人的權利，知道客人不適合自己的服務而提供其他選項，也是一種專業的表現。

 這樣的出發點下，我們相信才能成就我們想要訴說的台灣文化、風味食材，進而創造高附加價值的服務業。

 服務內容：
1)自助餐形式－
菜色內洽，
單筆訂單12,000元起跳，交通費視里程數另計。
單筆訂單滿1.5萬元即贈送餐桌設計。
需現場組裝廚師及服務人員則另計。

 2)茶點或一口食型態－
單筆訂單8,000元起跳，建議300元/人起跳，
單筆訂單滿1.5萬元贈送餐桌設計。
往返交通費視里程數另計。
需現場組裝廚師及服務人員則另計。

 3)套餐形式－
現場備有廚房設備及客人桌椅，單筆訂單需滿3萬元。
現場具備客人桌椅但不具備廚房設備，單筆訂單需滿5萬元。
交通費視里程數另計，現場製作廚師及服務人員另計。每位客人最低消費1,000元起。

 來電洽詢：02-2883-2113
預約服務：https://www.muzentsao.com/blank-6

 #婚禮外燴 
#慶生外燴 
#企業客製化餐飲活動
#友善食材的行動饗宴",1579118339,"/muzentsao/photos/a.455946777945795/1151941971679602/?type=3&eid=ARCjg8FLXZ13ZkWom_z6vS5sJJfSfmRnqLhiBqOXnqRS4VGQXZlQ9dZAhhd74fyWlB__qUF-hg_pnBUt&__xts__%5B0%5D=68.ARDkVq9QbMWeh9bzjAvbGAH7DUNTellZ_aDe8LvQvTmvS2zK9hSqcHn2ZrI5rWrSkXmTNxO8vFpjNl-XuveviWINZ3KkyPntzwVanugQxW3wrZK5GjxRfbS9lkzZqXCDQL-yYXU3Iaja1XsoFzq5n5WUvMvUoVhCbDSsnu0t9va4-IY-trHKw4acQClA3_fJ62cB1cyF4HQmEZ95Uaq0ng4BV_R2eAdyQ5xkFrwTcvl56O34fgOLaTMAFMmeiFfT8JXRN6DJJS3_c3NOgmke7teI3TrsfbqlIztLL7xw-5p9-xNmHzLdY4hoV41rmfSvg9Ikimz4IEdrkENKOP4fN27E-A&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-9/60267571_1151941975012935_1639888659018678272_n.jpg?_nc_cat=101&_nc_oc=AQkNKCaN4vl-v6nzHLlduUiz6HbIJrC-gOwYKvAKamRrvpCtznpoTBsOeasJ_sIlWuo&_nc_ht=scontent-sin2-2.xx&oh=3b4a6bd4f191c7290e84f80513049ba0&oe=5E9EE3FD",undefined,"Send Message",""
