url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/natalie1128/posts/1954142368028970","1556808258","Good youtuber","1571761496","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/natalie1128/posts/2181277371982134","1568555353","底妝總是名列好用排行榜的MAKE UP FOR EVER ，
這次推出了第一瓶保養型粉底液-
REBOOT活潤精華粉底液（#REBOOT能量粉底液）光聽就很生火啊～🔥🔥
現代人因為長期愛熬夜，
就算上了妝看起來也常常讓人覺得倦容滿滿😪
啊這瓶齁～就是專治倦容肌的啦！（拍桌
►人蔘根萃取
►山茶花萃取
►麥冬根萃取
►維他命
►玻尿酸
擦上粉底液打底妝也同時在保養（還有自然植萃的香味我喜歡），
每滴都是精華液啊～🧖🏻‍♀️
個人力推一定要搭配 #112小顏刷，
可以均勻打上臉部不留刷痕，
雖然一收到產品拍片前我就用過了，
拍片時還是有被鏡頭上打好底妝的半邊臉比較嚇到！
會不會氣色差太多～😮😮
喜歡遮瑕度更高的人也可以直接刷兩層，
我覺得還是很自然不卡粉，
同時滋潤度也夠高，
上完底妝的光澤度看起來就是我想要的健康光澤肌，
拍完影片直接帶來日本繼續天天使用，
之前還有在限動問我最近用那瓶粉底液的人，
我就是用這瓶啦～～😎😎

 線上可以這裡逛：https://reurl.cc/ZnOdxp
-
https://natalie.pros.si/J3D7W","1571761497","https://l.facebook.com/l.php?u=https%3A%2F%2Fnatalie.pros.si%2FJ3D7W&h=AT0yfb_hD9KaX5JB1gpEWTziFQc-bxQpxJJ-_JDUqj1ej9hNQdvxtHLSbKBcBetmzXuZkQljO3Z2uu_SzDc-hHaosHytHbj7DIzFU68uWjCEvrd0OecoIAXU_QL-l6s0I53HiBbjeYrfrSnmHK2YTIHzy4ic42Z5KK7qMP9mzxy5L5ZXWjFt8UKr0nfbAW71gcrxErq4bSu80Yd3iyzs2ejir0qqhcp2K6g3N9xuTG6LGEZ_L6EbSplsZ9EbAyBETRZAbaU_nRdy9xvSVkDfpZeoHyz194pmT-OYtf3KFeWp8Vsp4zbsPs29wxypdEe2WeULUZbUy_yd_2FMcjVGfcRvJHLmpll0djvUb4v6cYz_-BnSo_6rHPYFKHX5GnHtEfUAmJv-Iu0pV0cl-cnm1o4iMiYOnV1hLIjfyeQsh2qrNEQ7gi8wLY_yOU25rbhXtu81QZckchpb3lagjhvBLe-1WdW1VzrJSd28dOvxeT7WLkGJYVWOFBCDfg59wXrbz7lgnOM8pWCmP1O2h4-vC6ue8OnZAfoE21tzbOy0PSvdOUV2IxLmwZiX8_G_0eqa4oQeTih8fbAyqE5oiSm8ogpOflq2NEDbTDzjxOziC8xYxwfEeGCZea9rnTo3N2h4jvps84T5LWMajz4I","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQA_G8xen_Ydb-lY&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FrOCh4dpy8CE%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQD3oxssHowXcDCz","上底妝也是在保養！ 精華粉底液真的有厲害（驚） feat. MAKE UP FOR EVER","上底妝也是在保養！ 精華粉底液真的有厲害（驚） feat. MAKE UP FOR EVER","訂閱以虛 ►http://www.youtube.com/c/NatalieTien1128 Instagram►https://www.instagram.com/natalietien/ FB►http://www.facebook.com/natalie1128 Blog► http://na"
"https://www.facebook.com/natalie1128/posts/1999134826863057","1559307602","（這次的影片造型跟平常很不一樣喔～）
梅雨下完沒意外就是各種跑海邊的日子啦！！
今年希望可以成功推坑老錢跟我一起自由潛水，
不過在那之前，
先來介紹一下前陣子接觸到的新比基尼品牌- Sealf bikini
✨http://bit.ly/2wcQe4l
從打版、布料到設計製作都是都是MIT，
車縫線、背部設計、泳褲的小細節別出心裁，
連胸墊都獨家打版！
-
我覺得它除了穿起來好看、胸擠的自然外，
綁好也是真的可以下水大動作游泳不走光的比基尼，
這對女生來說真的超重要啊！
想想玩個滑水道、海邊奔跑、玩個水上設施不小心露點的案例還真不少，
之前我也真的發生過從海裡起來比基尼帶子就鬆掉走光的事...超尷尬，
好險當時身邊沒有男的=.=“
-
這次實際穿上他們家三款不同版型，
大家可以看影片參考一下，
官網就也附在這給你們方便自由逛啦：
👙http://bit.ly/2wcQe4l

 #SEALFBIKINI #BIKINI #MIT #引爆款 #引爆妳的奶量 #泳衣 #比基尼","1571761497","/watch/?ref=external&v=2280004565584188&__xts__%5B0%5D=68.ARBR18aFC65o4ELjEQUOUsJOjTs0WzvSgX0gQ89_lqbSoqf-ytehjbY5FTe3b281Jfmb7rfZCuD3pXCeuW49eJuufJTu6asuKYFJcMSOlpBC_Vk1AooJCc4ttEWEmy6z9vi6kB5S6XoBpRjZQQ8j2UVmohZdqP8YjwAKS_DJoEwgD4LzJ9MizP0uL024MJX_X4gm9Z1fSrBCAVfHWTJF6GrKKmUUcL4uM-hozKwvpSVZB2Qwc0u_hoxzjbr1uOXzafg89lgJwHdQ3Mj4AHbBqHQMZhvvEIN36e3_Lq8FuqawJJTwBKCHD_TJMTR2JjTq5NPne_U5NL20oqIg31CacJyJNAxYJt4WIw0&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/60145368_2280007065583938_7018569864151302144_n.jpg?_nc_cat=106&_nc_oc=AQnz3zh_MhRDV5rdMvqbLoqPhBxgEu0JZnonIvbb3_VJd-yk1kJ-2kP9cMMrDhp1n6E&_nc_ht=scontent-sin2-2.xx&oh=b7afbb90169d63979885d95dea55d8b1&oe=5E58B885","undefined","夏日三套好看又可下水比基尼實穿推薦 - SEALF海上精靈","Posted by 田以熙 Natalie"
"https://www.facebook.com/natalie1128/posts/2214263072016897","1570112815","跟 Aries 艾瑞絲 去打泰拳不約而同都穿 S'dare的服裝就算了，
褲子還同一件😂
會不會太有默契～
-
喔喔然後泰拳超好玩的，
因為國小學過跆拳道所以踢好像還行（？）
不過真的太久沒運動啦，
中途一度還覺得眼前一片白😅
老人家體力無敵差～～
但爆汗真的滿爽的👍🏻
-
然後下課後遇到一個女同學問我：「請問⋯妳是那個⋯」
（想說欸，被認出來了嗎？）
「妳是奶郎的主人嗎？我很喜歡奶郎⋯不好意思我忘記妳的名字了⋯」
😂😂😂😂😂
哈哈哈哈哈哈哈原來不知不覺中奶郎哥這麼紅嗎哈哈哈哈？
看來媽媽以後真的要靠你斂財了喔😏","1571761497","/natalie1128/photos/pcb.2214263072016897/2214259815350556/?type=3&__tn__=HH-R&eid=ARBDyqLAksqxwjj2GrqoYWGyp1gZQTMCdDYnIp-284zOhxPUXm3JEUj9YG9zjNLfVn7oVPoNY_JcIIRW&__xts__%5B0%5D=68.ARBEKJxwZkWC0LcsdkZY15kar5FkO6xfO_-PgZ1Gy0xWLFKg-V5qJLNgtNcimGAwZmri25l_I7mbvorzJlCi4qAjZxgvfCyiWi09qttwLgJo5IfuxMsU1DGSfmdKP9m689ULHDmy83IvUFymX4xpWTIN08Oj9LqnLTRAco3BnMSYQhCxPHHVjqkrTZV_il_TT0ep5xm1cWzQ-fy1VWFrLL-Xd9xIj13vS38sZy2SM0Ngpv8Va4eS5bnCyNvNRxeGGGkruklkJJ1nbe-TaN6EUsNVsGeaSkqFVZu4H9YhTp86lVz0mLCdICrme_5UO-nLYmvy7XhfvmQL710N_vY_i352qg","https://scontent.fbkk9-2.fna.fbcdn.net/v/t1.0-0/p403x403/71601598_2214259818683889_491052394159800320_n.jpg?_nc_cat=109&_nc_oc=AQl1_AI-hpV6tOdQVv6deZN2ecv_1dQFCfxrUMDltp3ljPnDnbbJBQBnwJmEGtsGPro&_nc_ht=scontent.fbkk9-2.fna&oh=641a1d150e47d377c03fc601d150de3f&oe=5E1C6716","undefined","",""
"https://www.facebook.com/natalie1128/posts/2187773357999202","1568898310","今天很狂要來送貴三三Sisley試用組

 大家如果仔細觀察應該會發現，
人臉老化的第一個地方一定是：眼周！
眼周也是最容易讓人看出年紀的地方，
細紋、眼袋、黑眼圈等⋯
如果沒有好好保養甚至還看起來比原本的年齡更老，
然而隨著現代人的生活作息：追劇、滑手機、熬夜等⋯
都是加速眼周老化的種種原因，
眼部保養和眼部保養品的挑選實在是太重要啦～
-
Sisley的抗皺活膚御緻眼唇霜其實用到現在已經超過一個月了，
以我這乾肌來說，
我覺得它的滋潤度真的很好，
用量也不用多，
最棒的是隨眼霜還附了一支金箔棒，
我很喜歡搭配用這支來做眼周的冰鎮和按摩，
配上眼唇霜裡添加的植物活性成分，
等於是1+1更加倍的讓眼周緊緻撫紋
金箔棒我也會拿來滾法令和嘴角，
大罐的容量也滿耐用的，
以Sisley來說算是cp值非常不錯的保養品👍🏻
-
這次這支影片會送出一份Sisleya系列的試用組，
在這篇臉書貼文！
在這篇臉書貼文！
在這篇臉書貼文！
（別跑錯地方）
怎麼抽？
►按讚並公開分享此篇貼文
►留言跟我聊聊任何妳的保養感想或皮膚困擾
我會在9/27（週五）晚上在同樣此篇的留言公布得獎名單喔

 https://natalie.pros.si/JJ256","1571761497","https://l.facebook.com/l.php?u=https%3A%2F%2Fnatalie.pros.si%2FJJ256&h=AT1hD1m3N_DNDNWWiZ4mSDuV76-UN67tdLXYni10BgQasU2LDXNyy5_Xq6vHhrZB1wi7rkfHfQr-ZdN3psuybpd-W1npMbDg3yevsG-oRd5SqHt1dWaoHwZnzd_bzCkgFcx0OqKwJfrwMmOuDGWPD-h1YTvodvc15WKo3vbflVOIZuaRSmnHVDVr4MooF8k1nZTxUA7tDXZaCh0Ccp6YE386ToNSjb2NQeNK4fdnyjOFHugjdth4Lb6J_R9briTko6593-zKyz5EFhrWwd7xPIhbaQr6caE9q1FRByWExFj3TpzD-gwDoCJDW5jkZJ4evqSMxOLSf5YT2eZFGshbgLaRqhjleN7v9AcM0hK1nwILKuzNF20e5LxkwhKwtCUOHfbgJb9d2pIxVkGxVMZ8DcCUqKIbpeYA_6pKTLPDPUYkTm1HEFQovl_WMqUilm0JV0Jq2gRwDfS13Xf-DuUYSJ3BxKmcWshA8m1a0m2qpnQKvU8j_dNSkrJfHwyqwKWSFLPEldHgyEHFe6zcnYuN3apbE6lP5-3DZ9IaYfSZUcH_73yQV_nqBm5SUsv7-NBfKL_20TIzZel5WAbWf52LT5sDfNAFOCA4ZtrvAbjbiPHZm-32jPsidk7oQsC7TlueXe_oiVqiIi2lkbzP","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQAKmxErJkRlY_Jd&w=540&h=282&url=http%3A%2F%2Fcdn.psee.pw%2Fstatic%2Fimages%2F089F8920-9F6F-29E4-C379-5EE69CACEE8E.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBWEjonHLdUrlLw","「片末送禮」我都怎麼保養眼周？ feat. Sisley","「片末送禮」我都怎麼保養眼周？ feat. Sisley","大家如果仔細觀察應該會發現， 人臉老化的第一個地方一定是：眼周！"
"https://www.facebook.com/natalie1128/posts/2082772908499248","1563547341","剛剛聽完報告直接一個爆哭！
我的16型子宮頸癌前病變終於完全好了😭😭😭😭
經歷了兩年每半年一次的追蹤，
到後來做完手術原本報告還有些微的16型，
對於從小身體免疫力就是各種差的我，
每次報告隨著時間變差也覺得毫不意外。
-
今天原本也是帶著：「啊～八成報告也不會好到哪」的心態去了診所，
一進去林醫師笑著對我說：「以熙恭喜，妳的報告已經顯示完全沒問題了！」
當下
真的有點不敢相信自己是不是聽錯，
看了看報告，
然後眼淚就流出來了
-
這段期間拍的關於子宮頸癌前病變影片其實我收到上百封私訊，
有人分享自己也有一樣的經驗、有人看了影片去做檢查發現有問題，
也有人是檢查時意外得知自己已是子宮頸癌需要移除子宮。
因為訊息繁多我還在持續慢慢的盡量回覆中，
但大家的留言經驗談也好、不安也好，
或者打氣也好我都有看到。
謝謝妳們🙇‍♀️
-
再來在這我也要感謝許世賓婦產科的程醫師、古醫師前期的細心耐心，
也一直很正面的鼓勵我要好好照顧自己。

 然後特別特別感謝 林正宗婦產科 的林正宗院長，
除了期間很有耐心的解決我的疑惑外，
當時問他能否跟我拍一支解惑網友們對於HPV的影片也二話不說馬上答應，
現在我的癌前病變經過手術完全復原也是他的功勞。
喔，再來也要謝謝我的好友 王晴 Serena Wang，
因為她的推薦和介紹才得以讓我認識了林院長
-
雖然以前講過很多次了，
最後還想再次提醒大家，
不只婦科，
自主去定期做身體健康檢查真的很重要，
只要前期發現有什麼問題（包括癌前病變）那真的都是很小的問題，
不需要過度恐慌，
因為那表示妳還可以經由自身的免疫力和調整作息，
在不用動手術的情況下就完全康復，
不要等到真的身體出狀況再來擔心，
那到時可能也有點晚了，
這篇貼文也希望能鼓勵到跟我有一樣狀況的女生，
只要找對醫生定期追蹤，
乖乖聽醫生的話，
很快就會康復的
希望我們都能一起健健康康的過日子。
-
（然後下週我要去追蹤一個小腫瘤+做腸胃鏡，祝福我能繼續好運）","1571761497","/natalie1128/photos/pcb.2082772908499248/2082772825165923/?type=3&__tn__=HH-R&eid=ARBkhgFuabbOOIxbYtQ6fbmZpZb_JWuRWR03H-YEFU3Rf0jWw7wRH5TUNWXy2ZPBvcy0zz_mvEbzYjvn&__xts__%5B0%5D=68.ARBuHhLwxQP3AwHGhernapLxnOciSRkEIoOA9QYkknAmVUg6qw_6MwlyfqPQz5BNl94gyijGTVEjwKxv2xfn10jP7k_RUZergHhGFpbIWAxznfLAunSQCFSfDw5AZnIbMmA-kDR3ityRL4iZs5WlzA2N3oPvKNNSKRJCLyhSfUgN1RKtmZOsWJEfJCbe2rcaOJYi2fucazbC9oTTOL1XqB58Rzg4dQrfOYr3d7mnm2BLZLX6ICsbWbfw7BW3W4Cb5bOupewnnCxF6gO7IMg3j8OGIA1OQ6VD2rMa5OPB2WRU9TykHkMDf4CvlssKMomUT2i1t_hLp5ZAxNw9Sx6RMkXnYA","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p296x100/67718984_2082772828499256_8679023457943420928_n.jpg?_nc_cat=111&_nc_oc=AQm9dQskrH97R7w5_gGm_Ew0A6pX6jeTJSseYN52TRIGH8PAvyj23pQRCqjTxDLQTh8&_nc_ht=scontent-sin2-2.xx&oh=ddf7a567c1209e938dc494826d8d573b&oe=5E62E332","undefined","",""
"https://www.facebook.com/natalie1128/posts/1888353694607838","1552830972","把 Armani Beauty 新唇膏帶來雪場擦實在太適合啦！
來滑雪我都會化妝（防曬一定要做！），
不過低溫下真的超容易脫妝、唇膏也不久就會掉漆一塊塊😅
本來帶來滑雪擦只是純粹想用新品，
結果意外發現它非常滋潤！
顏色⋯不用多介紹了吧⋯
GA家唇色本來就是有名的美，
一出就斷貨的那種～
#512 的百搭玫瑰色什麼場合都適合，
#405 非常顯白且看起來瞬間時尚的紅
怕大家看我雪衣看到煩於是請老錢幫我在民宿⋯
的地板上先拍一張寫真哈哈哈哈哈
然後明天再來洗版雪衣🤡
#百搭美色成就經典
#GA #小紅帽唇膏
#特潤精油質地
#保濕零唇紋
#百搭美色405
#品味從唇膏開始","1571761497","/natalie1128/photos/pcb.1888353694607838/1888352881274586/?type=3&__tn__=HH-R&eid=ARC74mRVKSLebDX1xxvytBRDPw1jPMhphvdbhnOWivu-Dl3qTPiekuyO6fJ0rj_svApejvIgqJS8DEMW&__xts__%5B0%5D=68.ARAavEcWRUKirCSWaEtw7OyUglQrwy-w8BEQXzKXtf3P5PVNqJpEPasLa2NVwOFk18xfUtVnU3oWcBmT5OgcdUJf1iUAtWMgOuFdFT18gZOgNXF4l_TWAqlxd8dQnRmDk1rmRgFKCndqAB3Zc60Da_RpNFy2_ygUADt2acXot1lBHZiyfhzbYiHqvR9-3Ac629f24EQLkO1d40aCCUzxdqX9im2okhvawoeK5HNESQWewti6VKwFMi7zp5Tqar6n3xCffHN0hiq02FWmOUAQOHf3QqTQ76RejklIyjOpVS-loMLtmK-qk5lGQMkfx2CtMhn4l4VhydFFdD9-oMt2mXbsPg","https://scontent.fnak3-1.fna.fbcdn.net/v/t1.0-0/p350x350/54278350_1888352884607919_2742030103859953664_n.jpg?_nc_cat=105&_nc_oc=AQln2nrzCCfUvvLINQxEvs3pPZfPYDrXsdZyacwPXcch-7rHRydRX4A02lk9iqr6oIs&_nc_ht=scontent.fnak3-1.fna&oh=d9c6defbc2579b6dfb1b7a0c578365ce&oe=5E57EE36","undefined","4",""
"https://www.facebook.com/natalie1128/posts/1433734113403134","1521263628","想用全效舒緩精華液 用指節按摩淋巴消水腫 再用手的溫度加強它的吸收感覺都超實用💕",1579462740,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/natalie1128/posts/2237271216382749","1571145019","厚唷～～
我影片裡的痘痘未免太大顆了吧～～😭
這陣子應該很多人都被鬼鬼的廣告歌洗腦過吧？
而且配上那個舞蹈我每次都忍不住會重看個兩三次～

 今天就要來介紹肖連人混合肌適合的 SOFINA Taiwan jenne透美顏 飽水控油雙效系列。
這個保養品主要呢～
嗯，品名寫得非常直白：
1.飽水
2.控油
另外加上
3.無油和不易生成痘痘成分，
4.價錢親民！
對於正在為季節轉換而受皮膚狀況困擾的混肌非常之適合，
因為我是乾肌所以我直接把化妝水拿來天天濕敷，
水凝乳也可以厚敷當急救，
敷完真～完全不黏也沒有厚重感！
-
濕敷完的化妝棉我會拿來敷腳，
而且因為價錢親民奢侈用也比較不心疼，
我也會最後再用水凝乳擦身上比較乾燥的部位，
上個月每一兩週皮膚就得重新適應新的國家的溫度和濕度，
等於我每週都在換季啊～
皮膚要是不好好保養真的吃不消，
不只晚上需要保養，
白天妝前保養也是非常重要的，
看影片就知道我保養完後底妝有多服貼～
SOFINA jenne透美顏 飽水控油雙效系列
保養完化妝也完全不會起屑我覺得很不錯喔👏🏻
#SOFINATAIWAN #SOFINAjenne透美顏 #飽水X控油一次實現
-
p.s.混肌適用的飽水控油雙效系列屈臣氏/康是美/寶雅也買得到喔!
康是美► https://reurl.cc/k5EeGb
屈臣氏► https://reurl.cc/YlXaZx
-

 https://natalie.pros.si/L5CL4","1571761498","https://l.facebook.com/l.php?u=https%3A%2F%2Fnatalie.pros.si%2FL5CL4&h=AT1lI8agO8w8AFCQJWa_wZZiqYdrFfVXSS8k0TY35dTdHlYMjI4yv8w4-tyza6qSisgQNJ8XHK2TuOZzt84TLvLrTrz2OKurGT3ErRhIpa_T3g3Orlbl5mbqruh3rMrv2TDE7jG_28RTG2eCNY2T7NPSc2SYsV5kzafjUuOIBZoyjaCOrOKgoBvvVWm0TxdBDq1t6Y-HNmyzre5MuL53eMC8HuFKkNMRZgRs5IgRklMO9RJ4WFlsOtCzJwLmdoapIwZz9-Pl11n6oiYhPlgXafr9AaGP6PtnhNJjlaMWGocBp6q0CsVw5_aNMMKG52ZDVWOkNmkAynhkOGCENhgcDMNYuEiAz4v_A5r1W9o53OZhYsObt7z4uZDVB7NFaJeUgED8vH68DflIvwNEEg_4o9kjFkpkpEp9lpHPHjt52m7c4AtfuT9vut2woj2yPa2Z2QVm_KjHfnClc2d1jr19DJaM20I3HKU9VHoZZDiwdsogZDp4JyKhKbbiquHMEqn7RttOvsDHUQwT9BWpezwvcDhKCK8jYMX5ITTZDx_H43T7d7vti2YoeGzKPQT9gMqgNGTrqYIzbVaNmSUG9MHfD83VPB_XVp7k_MY3JoOz-RyQguMf_KuXO_ew6FU4P4DDxfxpTsFdCld2XWLqi-dnKQ4","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQCv2nHNXBt0ynoz&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FvSKjprYApOQ%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDywS6EBNkJ1vis","我長了顆大痘之換季太討厭啦～來聊聊換季保養feat. SOFINA","我長了顆大痘之換季太討厭啦～來聊聊換季保養feat. SOFINA","訂閱以虛 ►http://www.youtube.com/c/NatalieTien1128 Instagram►https://www.instagram.com/natalietien/ FB►http://www.facebook.com/natalie1128 Blog► http://na"
"https://www.facebook.com/natalie1128/posts/2212360028873868","1570025140","＃純分享順便問卷調查
今天有百貨公司開始週年慶了對吧？
我自己的口袋名單今年還真不少...
最近都在講保養，
今天分享我覺得可以靠櫃去試的彩妝好了...
誒...雖然他們家保養也有我喜歡的系列😂😂
Lancôme 零粉感超持久粉底液
其實去年就有了，
隨著今年各大品牌也推出厲害的底妝廝殺戰中，
蘭蔻粉底液依然還在我的愛用底妝榜前三名，
▸自然持妝
▸有遮瑕卻不覺得厚重
▸微霧光妝效
再來我覺得絕對要試的就是他們家的唇膏！
▸絕對完美系列，
亮面跟霧面都美得沒話說，
▸蜜糖唇膏
可以當護唇膏的高滋潤、高亮澤我也很愛
再來就是最近新出的
▸絕對完美鑽石霧光唇膏
照片直接看實擦+刷色，
非常滑順的絲絨質地，
顏色也激美！
當天攝影師朋友幫我拍完居然就默默殺去買了😂😂
真是罪孽深重啊～
-
不知道大家週年慶有哪些想買清單呢？
不限任何化妝/保養品牌，
留言跟我討論討論吧（很好奇大家都買什麼哈哈）🤩😍😍","1571761498","/natalie1128/photos/pcb.2212360028873868/2212325232210681/?type=3&__tn__=HH-R&eid=ARBDy6uhLuBvxgz2EiAal97s-Q2BG4vLo8U5VC0Ieh0QzXAtk5yZ8uJbnzUyDmn-X7mxxKoMZnpU-NN5&__xts__%5B0%5D=68.ARAkVVVAbm-EDWk9Z11BMyk9OOQd00nb1OIes-qWMqG6fCvsMsRg4dgUzqhlFSQZBPXNTPjjhQZmOFw6J7Ufoy8lILpG_ZFpiaSo1VJm5GTS_iuJrSlWwi5nz5teCYNIyOIkdtGYjJH6fToJF8OhWKkvRkdUIsq7ACdg-b5cLbSTW9JQGn2XdsWv4cjF_Lr3CZdw7DbBpRtFAkDRtTgstpegXKryJwkdCHpt-0LTBMpViukKxt5XoOxrRbmGjt8dqGOe8SyhX3OQjLkOxA27g05WYlodNhYdc5eYl4nD1HT6Te88fcqYLK48KKuTeAJb3K3qUhXOH8_m7MqMentFudPT_g","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p350x350/72250708_2212325238877347_1809523473320509440_n.jpg?_nc_cat=105&_nc_oc=AQnf9MOFrivHShizZqb5iTXUsqG5lY3GOrPIkjQtUO2RFSByYDQ4HsnnCOSrPsRSzb0&_nc_ht=scontent-hkg3-1.xx&oh=8686794a6503bea1c0312a4e1307a699&oe=5E62714C","undefined","",""
