url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/onlychiayi/posts/488125185103861","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571372441","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/onlychiayi/posts/485649008684812","1570795218","最近是玉米成長的季節，很多農民反應在田裡面發現秋行軍蟲，損害作物成長。我與蔡易餘委員來到朴子的玉米田，瞭解蟲害的影響範圍與農會噴藥的防治狀況。

 我們已經聯繫農委會啟動全面防治、補助工作，由農會請業者代為噴藥，經費由農委會補助，希望能有效減少農民損失。

 防治秋行軍蟲，最重要的第一步就是發現。請農民朋友最近要加強巡田，如果發現秋行軍蟲請立即通報政府、農會，我們會馬上處理。

 通報方式：
1.把發現到的秋行軍蟲拍起來，送公所農業課
2.打電話：0800093131，告知姓名、電話及地號。

 #秋行軍蟲 #防治 #加強巡田 #立即通報","1571372441","/onlychiayi/photos/pcb.485649008684812/485648775351502/?type=3&__tn__=HH-R&eid=ARDU8X2FFCcmxqXVRj043JvOD_OplZJw9VmTIF20-GmYVFoy9auaeYzmtwa3b2elobogSKoWFdPR3olE&__xts__%5B0%5D=68.ARClixniPmpWxfL1DfMReN7-X1H40BPY_suszCMMuA5Z-yY8Q0MgaZCZk8GYgCiQ6PFDU81scIfBZ9zHQf_AkyqHUb8MPcGspagnhF5lcFGOAwT4LtBXgb7g0EY_Z98lRO14G9RFafaM_BjhFuEE0zClB2OPc6enzlGeaOk6l-aVbq4fS3lE_yAn5GPG1gcbsBhsDGZCBMntHwskXOsX-t1XYefiIQjtpru92cnPyII2HtYeXuaebwzc5hnEbpVh6gKEcGslkopgKDM1r8jsI630c5Rw8P2WLc7h8baSgVmw7jzM8EVuSxqG7ibpvR4oowuLc0Q8BP46nR37KDcSMoA","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p526x296/72670116_485648782018168_6370341947793473536_n.jpg?_nc_cat=108&_nc_oc=AQkr3F-ltfHCn4k2CqVNdfmfNsK_m3mSn0W8n7KrAFeUuv1_vNBFK27pTciUhfaCRQ8&_nc_ht=scontent-hkg3-1.xx&oh=58e4cc3709a16be1dbc89a9c5f2fc090&oe=5E61BD08","undefined","",""
"https://www.facebook.com/onlychiayi/posts/482511948998518","1570366800","用九柑仔店是最近討論度非常高的電視劇，吸引一群死忠的影迷來到嘉義，來感受拍攝場景。我也特別到實地-朴子龍樹亭歡迎他們。用九柑仔店很多場景在嘉義拍攝
，像是最知名的雜貨店場景，就在六腳由中藥行改建的慶和商店旁、苦楝樹綠色隧道、朴子清木屋等。

 
縣府搭上熱潮，舉辦追劇小旅行，邀請全國觀眾，來拍攝場景身歷其境，也順道拜訪嘉義其他知名景點，感受嘉義人的熱情、嘉義的好。承辦單位跟我說，每一場次都爆滿，反應都很好，非常歡迎外地朋友來嘉義旅遊。

 
不只用九柑仔店，天之蕉子、返校也都選擇來嘉義拍攝。嘉義縣有山有海、氣候緯度適合居住、鄉親也都非常熱情、友善，是個非常有魅力的地方。歡迎大家來嘉義走走逛逛，感受嘉義的美好。

 #來嘉旅遊 #追劇小旅行 #用九柑仔店 #綠色隧道 #清木屋 #返校 #天之蕉子","1571372442","/onlychiayi/photos/pcb.482511948998518/482511825665197/?type=3&__tn__=HH-R&eid=ARAvZRT_HaRlD5OK0Y9i4g7NSDbFfSGt3KtvtYkct13rYhPZlMPrum7flgwtafKVpO4QEgThvN14dWNB&__xts__%5B0%5D=68.ARBF3csGVV-ZkdYmq6sG1x6DPGk_2o7IO-8XbtoVg5gcCV7mhOZ5tcz8dN8Zs9ql_E9L4m1geClIKj_xbKXlFh1eeTtuDYQTwZB3oWk4sPNhW_esLHFtwtFXiC0EdAeXeCqGW-rRXGXVFfUR5Zm5u_QaYxZSrzcT3xcPEk3AWtp2P_adWOrYzld-L2wy-KI4ICCZvSsA2qlMnN3XgPukCuHz1G6NPc40bYLDWXfC_-gJ0XkrJEVd2UR2oJJLQm1KZzRdjjEjLwyEKmh7yQ3nwO3gYkhu2A36P-wWSTZ-TN_ad6dCCndYlHbAFOJvmyJV2os5JR4yPjU6zWPXiPSMEI4","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/72167666_482511832331863_3152141060482793472_n.jpg?_nc_cat=106&_nc_oc=AQmGtOdgtfp2c-D1s67FrxwAmJuY7GJ81lNS17Qdj3893LNqnlxCpPbq5Rpf6jDf2PA&_nc_ht=scontent-sin2-2.xx&oh=333d755cf8c2e1a50a80e660684a0c2a&oe=5E3462F1","undefined","",""
"https://www.facebook.com/onlychiayi/posts/486303131952733","1570881643","秋天是柿子的季節，嘉義番路鄉是全國牛心柿重要產地，產量佔全國7成。我今天與陳明文委員，到番路參加柿子節，向大家推薦嘉義優鮮的柿子。

 今年柿子開花期，氣溫高、水分少，造成產量只有以前的三分之一。每顆柿子樹把養分留給剩下的柿子，讓今年柿子品質歷年最好，脆的脆、甜的甜。

 除了柿子本身好吃，果乾、柿子巧克力、柿子冰淇淋等加工品，也都非常好吃。歡迎大家連假期間，可以來番路拜觀音佛袓、直接購買在地出產的高品質柿子。

 #嘉義番路 #柿子 #嘉義優鮮","1571372442","/onlychiayi/photos/pcb.486303131952733/486302768619436/?type=3&__tn__=HH-R&eid=ARCZhYPjprYgNQohqJLsBXvGztQIBHsi2OWUPH61RbnAmSdw0YOAst8qAL3uRk52X-sc70YTxs5CyQoI&__xts__%5B0%5D=68.ARD683oXOZBu38sB4GJqVmYTHrVlxvszbAn6RH302rz-yLvMh6dFGjfcrXHAjF8d91gfygtwr9c9IrUKdVTAAaI0Z-ojn6q9gQPzdfee9LdmtLIHDyl0C5p_DzV2yDa2M_6LqCIkIqa_DUBHxH-d0IoiMozQ5kyIRUzb-GLA5Th8AukDjgwpmJZCxmXaViFVzD2QUhJBeLzKWosFPWqiylHpASPKHJ_bqpdBNXSuh4FPMv9QfZmYR4rSAc34ZD2fF2SHwATmK0DbllfJT8zOpcJDJxZyAnMNxdnaVK5lSjX-IAYTcNrwuczg8BbYYUHuuKhwKjx4ekr4TDAGVh3oRs4","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/72479777_486302771952769_8304853930114809856_n.jpg?_nc_cat=105&_nc_oc=AQksCbKA-1450Ap6qw7dw8dKEc7rzTmHA3ThaLeuAAaSTepcVwIIy45nfFfbqnJ74yI&_nc_ht=scontent-sin2-2.xx&oh=f4f22cb4234e17f4a24327b5818d6d4f&oe=5E63C28E","undefined","",""
"https://www.facebook.com/onlychiayi/posts/476969446219435","1569571243","感謝春暉企業呂武錦先生，捐贈3000顆「偵煙式住宅用火災警報器」，提供獨居、低收入戶等有需要的家庭，多一道保障。

 偵煙式警報器可以偵測發出警報，當火災發生時可以更有機會逃生。

 今天我到符合捐贈資格一位長輩家中裝設，他平常自己一個人住，當他知道這偵測器效用，直說這様很好。

 我希望每個家庭都能裝設火災警報器，提升住宅安全。這偵測器一般家庭都可在量販店或消防器材，希望大家給家多一分安全，可以選購相關產品。

 #火災警報器 #增加住宅安全 #希望每個家庭都能裝設","1571372442","/onlychiayi/photos/pcb.476969446219435/476968966219483/?type=3&__tn__=HH-R&eid=ARAGEWdYQJzLJVUkZJQ4VOE88SQBJdw1Kiqz3O2p9RAIn9Po8wwUQbMj5w29UZ8V2N00MrPLOVatIhvE&__xts__%5B0%5D=68.ARBqydb6mIrviHhiwW20qs5uZ1EmvS5ExF0eUzlTbUIugzkjWkGpPMg3PHHcwv33h8XzswZqPfgh__qFk4QMvxkVqpYZa0BrXyckFmRS9fCeFD3k_rqteYavW-quZ3fXn-NrlJfo6CoygVqevvJQIEi4YYJxB9d_amc6zf71UjNO2CEukNwvipb8RQOJYuMHBdAKcwWbCqCl5K8_8zEKq8aKzdjTVOWibVDwDBsup91Sd4aqjVHG6IKxck5UHEop2Al1HPB6gcrADkG1DMfo9KVTLCqJfckgke9gTKzgsixofM8vdF5jP1U__i5ktcJkCp8l9XOEbG-AV6b7HtryjLQ","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/71146826_476968969552816_4287784384104235008_n.jpg?_nc_cat=104&_nc_oc=AQkzjV35r6Dl1JmONTcegqbwNiGtlZddHPJ6gPz1xVHcSakf2vWsghDFKb_SK5Fu5oI&_nc_ht=scontent-sin2-2.xx&oh=f3499a9022f68c6fd9d9498cfddaa9c6&oe=5E337FCF","undefined","",""
"https://www.facebook.com/onlychiayi/posts/479451439304569","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571372442","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/onlychiayi/posts/462858684297178","1567512022","大成集團在嘉義馬稠後工業區投資24億的最高科技、大型食品廠，今天舉行上樑典禮，上樑後預計明年七月就可以開始量產，未來大約需要三百多位員工，我今天特別向韓董事長説；若嘉義子弟可以在此工作，也可兼顧照顧或陪伴父母親，那樣除了事業發展外，也解決許多社會問題。

 最近台糖董事會通過與縣政府的馬稠後後期的合作開發案，如果順利明年二月就可以開始招商，2024年可以交土地給廠商建廠與生產，即將會有2萬個就業機會。

 大埔美、馬稠後工業區開發相當順利，我們也向中央爭取水上南靖、中埔公館籌設兩個工業區，嘉義產業工業佈局就完成了。

 未來隨著更多廠商進駐，代表著有更多的就業機會，相對的食衣住行育樂的商業發展可以帶動地方繁榮，嘉義一定會越來越好、後發先至。

 #大成集團 #馬稠後工業區 #上樑典禮
#後發先至 #就業機會增加 #嘉義產業佈局","1571372442","/onlychiayi/photos/pcb.462858684297178/462857844297262/?type=3&__tn__=HH-R&eid=ARC9buSijkG25z13mfqEyxt_NYK8gLtT47ZmJ3bfx_mp-ByxOf5WEujv5XCiBdb9HXF9bs9PKI65s5aT&__xts__%5B0%5D=68.ARAJ2ckLTXAgSxNKECeFGNNSNPxkXbr2Ten0PnWJyFn3ZouGryTQkkFy0TYa0uzQmK8Gu5Pc0_imhnw3OA4v9ByBjnYlmLU9HWaPbhpUfFAJ8tOS1KaD485FFpLtenBxRSXMOGjFoE2pEjuKrsWj2czU4wsrJMqhBkPifa_OZ2nTve3stZIYd-EvB_zogK63RNgzPphRewco0Wtkv4unveHrZ-awyWR5yJOxiwmgN-DZH7wfA51LCDx6ZGDQblg0anYxv_RmnZq1MaNmk_s3Z7chPLbfGELhI_dmy4QLaKqMz1eHXQ0SCNSLI7EFMlJI1cHWyF8sqGWDGg3N9cMR6Bk","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p235x350/69539445_462857850963928_6856315109334056960_n.jpg?_nc_cat=100&_nc_oc=AQk3J_VaJ8uJrS8EMrzytAh7tDXUKDXLqhTkERtTCbzlkUKbF_4GYAvByjYTAPeksqg&_nc_ht=scontent-sin2-1.xx&oh=7a372e0d41cc0613d4ca358bfbdd598e&oe=5E5D478A","undefined","",""
"https://www.facebook.com/onlychiayi/posts/461777747738605","1567339207","文蛤因水災或極端氣候收成不易，許多人喜歡文蛤的鮮甜，尤其小朋友好喜歡吃。

 過去每年農曆3、6及9月換季，文蛤較易死亡，現在極端氣候亂了套，所以文蛤價高，但辛苦漁民卻無貨可交。

 
我到隨扈家看他阿公收成文蛤，阿公説；還好有人願意承接做工幫忙收成，否則不知該如何？現在都是老一輩在從農漁業，很辛苦，我們真的不要浪費食物。新的學期，我要求我們的學生用餐前，一定要大聲朗誦：感恩土地、感謝農民、謝謝食物。

 真的要謝謝他們，他們三點多就起床，四點就開始工作，我到時已經將近九點，換上青蛙裝，看他們怎麽收成。我和蔡易餘
這種門外漢才下去採收一趟就已經滿頭大汗，真的辛苦，謝謝這些辛苦的農漁業工作者。

 #文蛤 #收成 #四點起床採收 #風調雨順
#粒粒皆辛苦 #感恩土地 #感謝農民 #謝謝食物","1571372442","/onlychiayi/photos/pcb.461777747738605/461775617738818/?type=3&__tn__=HH-R&eid=ARBr-TM2GU44w8zjZznJdLoL8G5ux3NmCZe7aB_RZ8w1BFMNR84YIFFcS7RAlndKIz4r6BAaeoWU8Uty&__xts__%5B0%5D=68.ARDSSYGtdY8W0-SvA08EYz4HsBGwNnf5jPOyGegz2h_-pSBsXMRVDdlQ4IBiezPzhU-yjFE0L2aR4txV2fLW13XAJsIh_N6LiIP3TpjhxZNc8xZAJM5QTDj94XAbinPV3a_Tlxld6EC8nSn47MIE98fM-0tOVq6ytzkIdNbjISQR4gf69Yp4FJaY_hwur9t1rAT_Tya1VpZraOwFsUKNG-3ASPMATJkvpWJ9oXq8AzVZUHl0cLXm3ZOKaUMdUrEmBeJJ_GFWS0d-ffVput7yVQRQaW5pFfun9SH18-2livfsuX35GRUx-GfFm0U2cldvTISQqJjU4J0Ozp9seCg-0XU","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/69586255_461775627738817_6787855692867829760_n.jpg?_nc_cat=101&_nc_oc=AQnsUobuGu0ea4We0RiJk61UiZ0fobWCFkzf372m62jc6jpNzMSa4TrnC6qvUmjW5Vk&_nc_ht=scontent-sin2-2.xx&oh=cab3c2fa0214aa2e9797765ffb7b6290&oe=5E26676A","undefined","",""
"https://www.facebook.com/onlychiayi/posts/477631572819889","1569657871","嘉有好市集全新開幕！
縣政府廣邀嘉義的好產品，結合在嘉有好市集，讓大家不用跑遍18鄉鎮，就能買到嘉義特產。

 
嘉有好市集會希望變成永續發展的市集，除了目前青農自產自銷的農產品、環保局再生傢俱、文創商品、在地特色伴手禮。未來會持續擴大，引入二手市場，像是很多小孩子東西，可能捨不得丟掉，就可以拿來二手市集，賣給有需要的人。

 
嘉有好市集是一個生產者與消費者，能夠直接對話，瞭解彼此需求的場所，所有東西都看得到、吃得到、摸得到、聞得到。從今開始，未來每個月最後一個星期六早上，都會在原地舉辦，歡迎大家來走走逛逛。

 #嘉有好市集 #嘉義新亮點 #永續經營 #每月最後一週六早上 #縣府前星巴克旁草地","1571372443","/onlychiayi/photos/pcb.477631572819889/477631212819925/?type=3&__tn__=HH-R&eid=ARCWqbWNmx_GPe6RG27TMHvbpFG_rCLZMtemM4kLH7eP5wX7ocB6D5C5ZV2omrkH-D_G5ZUFhZOTa7s4&__xts__%5B0%5D=68.ARA4E_T2JLhGg0StrZrS0MAykVbskpSJi32B1AX_9NNLvF6yUwqwklpayvmRQEqMBTtwc4G6ewAX1z3w7Ghe476qiyIHMN7YRI3m8OHq-UOMkMvBJT3l9KNIyvVaQ7hH_x1ofXeWGqq_8vDTNK_SgWLNCvYhFw6dt1CeRh9FwRRDF20ActzT4w0s61w1nDl-Q2ZbiAYYstVXGbMoJWjyGRbjYrInqAHKxk-NECnATuMJGFN54S9wdfdLHEeginUp31BfAd1nuN6GI_7QSmvznF9kiDIz43TqdpCxP46wE4-AiFuol_CJB4ZJz4B43UKhq7rDsDQXTMEUv7IUSADcVG0","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/70647441_477631216153258_5159112229169135616_n.jpg?_nc_cat=111&_nc_oc=AQlG-EkgOFPshHffjo3AJmTkhW2GZA5YY2UnGzAminePxGcoFQl6jsYHZyFoDRTNKIE&_nc_ht=scontent-sin2-2.xx&oh=7e9226799d428da5d715902bff22f0a4&oe=5E17F041","undefined","",""
"https://www.facebook.com/onlychiayi/posts/485048545411525","1570705344","雙胞胎走秀，你看過嗎？今天一共有57對雙胞胎，還有一對很特別的三胞胎姊妹。

 舉辦的北迴文化藝術基金會，召集這麼多對的雙胞胎在一起非常不簡單，透過舉辦走秀，呼籲更多人重視少子化問題。

 #少子化 #三胞胎 #雙胞胎 #北回文化藝術基金會","1571372443","/onlychiayi/photos/pcb.485048545411525/485048042078242/?type=3&__tn__=HH-R&eid=ARCC_pqFgZZflztc_1dr1RxPhONwz3_4z8MlS0fIaCfZC-P9gtIzPatWdLsFRj5PlnAixGcLQ2RAR0jy&__xts__%5B0%5D=68.ARCKCnMFfmLfmrU6SZu51eKcxouL52FCwxIBGDqWevH3Cq1RBtuzMfRygvfknhv-Pibg9btp1bej4gfRz4ZAZsVWRTCw233QSLKOylQn2RS2Q0zQR6X5LTttEiTtZGufMS2J0X03Jjw-s2tqBLzWs12T1uFFrcRzVtQdxl5wZUTqmkP6p2sxIGaHYUPAS8ohx8CRKE7L8YKPiRVlmUXK58ml_nWYYJSHEingummSIvJ3I65Ldi9YjXQ36wi6i4cQc36hM-sAKtZylm-PtihYBc6YXMDPHSPn0YEefC6mTaPyksDllUJWnBDzGAH69t5zbIvfCewcb0aWkQYFCQQgzsU","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p526x296/72085599_485048052078241_4432860150205775872_n.jpg?_nc_cat=100&_nc_oc=AQnUJyeNW7zJWHQb1e7DH3_0Y4i_-C2DR37d6jXtkkQWZHf78cyoANknEibVraC6x60&_nc_ht=scontent-sin2-1.xx&oh=3e8b0ef14ab3f108084d20dea16063b1&oe=5E3306DB","undefined","",""
