url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/proplantw/posts/1003735999833420","1549274402","🐽就是明天！豬年到！
今天你與毛孩吃哪一道呢？
#留言Po出你們的團圓飯吧

小編祝大家「豬事大吉」好運天天到🎉
也希望毛小孩們健健康康的長胖長高✊
不說了～小編先去熱年菜、拌飼料🍱
#過年還是要侍奉主子們
#你說是不是

🔔#冠能新年小提醒
📌毛孩的團圓飯要吃寵物專用的
📌一定要跟孩子們做伙吃個大餐
📌紅包錢也要拿去為毛孩添衣加菜
📌每年都是奴才、今年也不意外","1571509195","/proplantw/photos/a.147057638834598/1004928233047530/?type=3&eid=ARDthPTgn61PJL62lsLiHzxj4X_PTOGdclca__Nt8uuQHe1rp5JseTUhwo6GyCRpjJM_Dh2bkKhR1hUX&__xts__%5B0%5D=68.ARDVsQRbpmLiFVl4XSrzQSYTksuPVeW07a68ISsNYIGiV47X2e3mhcrYCJW4LxrTb_ZSIzoHhMMAcPcRRVBsDMbnpTvlVwvjAi-Fz-e7kYZF2gX_SY9l-0CFqqzgs5Lq8uUIqQ6mR9rny5RO0WpL5YMHibFTPxC9f16ZROBDnSxSm8dfPc6kRd09qiA4orQPhvVXye2zoOMzOHiM6nXzbbjYZegPIK14yOtXKbvaofEwOCNffrJ4GUl57jEG2CL5iFVBaZJpkT77QKqR6dMwBMgC7FCRyuMNllQMtM0_50z1JfIHy4fhm-0sZa9NTGlLJMUTkEWurDv5Ik1BTqOvTVh22w&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/51082924_1004928239714196_8307422900378402816_n.jpg?_nc_cat=109&_nc_oc=AQmx_9hVa9v6yugdgyvQyYFOSwX-Jqmjkz3LLG_XwUAc4q4z9dURkbsVwHUO476r3hY&_nc_ht=scontent-sin6-1.xx&oh=ad67ca9515599f13949be5e0639ebbd1&oe=5E2D25C2","undefined","",""
"https://www.facebook.com/proplantw/posts/1182349938638691","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579267215,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/proplantw/posts/1154713274735691","1568628000","＼✨ 冠能FUN暑假趣．毛孩專屬夏日優惠✨／
▪ 即日起至9/25，售完為止 👉🏻『 pse.is/KWM9R 』

〖🐱#冠能貓全系列第二件６折〗
▪ 想為主子加菜就趁現在🛒

〖🐶#冠能狗全系列好康回饋〗
▪ 買就送PETKIT寵物淨水瓶💦

這次『冠老闆』這麼大方的送好康🎁
就是要毛孩吃的健健康康～快樂出外玩耍💓

- 活動即日起開始，數量有限售完為止。
- 此限定優惠活動實際以通路店內公告為主。
- 本公司保有最終活動解釋與修改之權力。",1579267208,"/proplantw/photos/a.147057638834598/1155387561334929/?type=3&eid=ARA9u9k7_SXhiHvlc5MFnj09aWqNi5GI6zXVwjSpkAjO6JwZGNBsO6ONcjpRmfnzFr-VsvWQZEnMmQGB&__xts__%5B0%5D=68.ARB7MeQz97V2kChF-PpafO8tWKhn_8l3b9bMMq-u4h3uePToy-MvSSd3fgG6gnjwG-7JEqJFcaF8ENdm4R5KERMdCHijhVkgBqQaWfUYNgJaDJTUDXxIlQ_C8Hhr8-aZba7TJNL4hBgFq8aBUbeoOuJmRf2ZHxYqVAPA4Ge3ct6aiiMWgdoRjn12xaUo5LqF47sgRctvbOK5mVWW8lR6WKSFunNO8R5U9LBJPLj29wqdUmTh2tDDvm8Qmy8uqhKD0ND2rS6eYu1YwTlWe8OKjn82Zoi6WiuNCmhc_z3-mYnuoMOkTuaDljoSv1i7Z6DRobFRRNKdc3ek8KpaPWUQdZWc8w&__tn__=EHH-R","https://scontent.fkhi9-1.fna.fbcdn.net/v/t1.0-0/p235x350/70506212_1155387568001595_7806883460332650496_o.jpg?_nc_cat=109&_nc_ohc=o_apRXAjOogAX91kAHQ&_nc_ht=scontent.fkhi9-1.fna&_nc_tp=1002&oh=9942632aa447de069c75dc7d87e43edc&oe=5E92750C",undefined,"",""
"https://www.facebook.com/proplantw/posts/1073779226162430","1558146151","寵物展Day 2 《活動留言區》
趕快帶可愛毛孩來攤位找我們玩！

 【❗重要公告｜好禮現場放送中❗】

請注意‼請注意‼
請在看完此貼文後立即將視線移開手機👀
帶好你的個人物品👜 & 家中可愛毛孩🐶

 🎉手刀來現場活動領取 #免費試吃包 吧
🎉現場拍照留言再抽 #正貨乾糧 乙包 (每日一名)

🔎日期：2019/5/17 - 5/20
🔎時間：10:00 -18:00
🔎地點：臺中國際展覽館 (台中市烏日區中山路三段1號)
今年在新場地，要來開勳逛展的捧油，不要走錯囉!!

#中部的冠粉快來找我們
#四天試吃包送好送滿
#還有正貨乾糧驚喜價","1571509195","/proplantw/photos/pcb.1073779226162430/1073779192829100/?type=3&__tn__=HH-R&eid=ARBSFrBymqfMnizdWmGqafqjE6y9Qz6uWKX2v8JlzgzokbrZ-0nYwM_Sj3yRV-mVtILGHDopfSS3dmx9&__xts__%5B0%5D=68.ARD0bFanz06cmTFr2sFtSRYoY-1FGvB-SA6ZY-bAqQonRnnEVmouO7wQp7uHAk8SxNn9UgNO-pm1_mmC9HY0ZHhCLdUBTAS8MJBi-MyrLWLj9lTeeUVpME8dlZPbaqRCBdxtyKBD0SeFnD-wR2KuI27R8DXCL-8QFpxGHCOMv6Cn6sXKJGgVq77Fp7ZBahLxG73iDpiuIPXHr7793WjPj2yhk6UwETTg2F25FbtQF-mz3v50r1WjDhKKREuf2DZUS34WRNynQiebzY_QD-vg4n5-5g7udzSq9lP2M6I3CGFl3r0anrcvY45jmMk1y6kv3a7ckARQIhjCWCABAthx6gZWWA","https://scontent.fpnh1-1.fna.fbcdn.net/v/t1.0-0/p403x403/60515260_1073779196162433_4948922559836979200_n.jpg?_nc_cat=110&_nc_oc=AQl_qbxabeXb5lr_G9dtU0uqRm-8BMXyThSPEnI0EkMA7JB2Pahs8RL6mmy2H7EgvKg&_nc_ht=scontent.fpnh1-1.fna&oh=f872ad33dd5fa4a16c3d58426827c36f&oe=5E61E8A2","undefined","",""
"https://www.facebook.com/proplantw/posts/1026881137518906","1551761596","已收到情人節禮物，感謝小編喔~","1571509196","https://www.facebook.com/photo.php?fbid=255089325440579&set=p.255089325440579&type=3&eid=ARAMUUt8bV0yf9rUCVam5p39nttTIe9_ETRcMfuo3OK-9TRA-HkZuSpp_yr3t0EajoJ2XBZlS2gFuxVl","https://scontent.fhdy3-1.fna.fbcdn.net/v/t1.0-0/p526x296/53192379_255089328773912_7551658318712799232_n.jpg?_nc_cat=108&_nc_oc=AQkPh9PmkvUJfpPejvYhcKg9uEKXwUSV0a9Dzo5eTlfM2KwkUSXt4BK9r6rOUVLqbOk&_nc_ht=scontent.fhdy3-1.fna&oh=2523077a5c564b82478a8c3db1045f9d&oe=5E2FA2DC","undefined","",""
"https://www.facebook.com/proplantw/posts/926429574230730:0","1538128801","💪🏻營養小學堂—貓咪『腰子』健康知多少⁉
腎臟病一直是貓咪就診排行的前三名病症，不管是急性或慢性，都讓奴才焦慮又擔心。根據統計研究，7歲以上的貓貓，有將近五成都罹患腎臟疾病！更討厭的是，如果不透過血液檢查，一般不容易發現貓咪罹患腎病，等到出現身體異常時，往往都是無法挽救的程度，到底要怎麼讓愛貓跟顧人怨的腎臟病徹底切割咧？

🎉🎉🎉【分享貓咪腎臟保養知識】#送試吃包
標註２位貓友，一起宣導如何維持腎臟健康
將抽出10位贈送貓咪試吃包～
🎉恭喜得獎🎉
Yamsun Wang
陳 智威
楊美玲
王錢錢
Medea Lin
維特
Della Lin
Jackie Ho
黃小星
張詠淇
請得獎人來這裡填寫資料唷↓
https://www.fblottery.tw/show/h95IQI
（10/10登記截止）

✅飲水一定要充足✅注意泌尿道感染
✅定期做健康檢查✅飲食觀念很重要
#高血壓也是貓貓腎臟病的成因之一
⭕食物中添加精胺酸可以有效預防高血壓
#補充不飽和脂肪酸Omega3_6
⭕已證實可改善腎衰竭，又以魚油表現最佳

冠能在乎愛貓的腎臟健康，提供 #健康腎活系列
▪成貓雞肉活力提升配方
▪挑嘴成貓鮭魚潤毛配方
▪室內成貓體重維持配方
▪成貓結紮泌尿保健配方
４款通通添加抗氧化劑、精胺酸和Omega3不飽和脂肪酸
奴才們為主子選擇乾糧時，不可不「腎」吶！
#冠能ProPlan
#健康腎活系列有助維持腎臟健康


※即日起至10/5 23:29止。
※得獎名單將於10/9公佈。
※得獎人須於10/10前回覆收件資料，逾期視同放棄。","1571509196","/proplantw/photos/a.147057638834598/926429574230730/?type=3&eid=ARDIZpuvUtyPiuGovPOQcTtoqF1rb-iBTo-lmzkOrd7raMo5TJRSIh0MZy9KXOznGR3nE2kBcjK2WIvW&__xts__%5B0%5D=68.ARCHv08UJhpukavcdMLHvsyAtTTl67QBEeXGnc1yeoT2LVJrSJ4ElBy7OcDBtAm6pSueHuyoT98Z3EG913vkqfzIXxJBPgNIMY0nTgfTJ-YpCWuwrjPBp3sXd7UeVGJjLpF0JOMGVnqM-sLOSS4Ts910usxuLksIIwS6QNEh39edNXdknUguRLIgPb07qXyuaRzM0gE_8jTPvsCm94HBB3Qox6ZLg64UFGuzxzi4Vl8MH-ggFbWqYjfsRlm-8DKYvrtPEDTk0t9Oo63h4btAkxar5hd7d_gmP4qpYuJm280fNrxLXymH7rx2e_jWWcgppncwMaFM55W1iHreoAwo0jo&__tn__=EEHH-R","https://scontent.fbkk22-2.fna.fbcdn.net/v/t1.0-0/p526x296/42058356_926429580897396_4531460728032329728_n.jpg?_nc_cat=105&_nc_oc=AQnDaBXAV1Cqp5v82bsu-uIFsy-Q8bA9KxLhsztmTw9eHPBLlHlTB7hwfi3oM8w-AaM&_nc_ht=scontent.fbkk22-2.fna&oh=1b2143a2f1fb3f77e5448e4e4ed4f2fe&oe=5E2EA7E3","undefined","",""
"https://www.facebook.com/proplantw/posts/1108988429308176","1562382613","台北寵物展～第2天～舞台活動開始囉
現場滿滿優惠跟活動等你們唷
🎁#驚喜抽抽樂
到攤位 📍I108 找冠能 (Ｉ區大門進來就是啦)
現場按讚粉絲團即可抽『⭐#冠能驚喜箱』乙次
（各種豐富好禮、人人有獎、有抽有保庇）

🎁#週末現場秀
週末兩日特別邀請到『🎓#雀巢普瑞納小專家』
在現場舉行攤位活動，冠粉們千萬別錯過
場次時間如下：
➤ 7/6 (六) ［11:00-11:30］
記得訂鬧鐘回來找我們😍

🎁#試吃包大放送
限時限量、免費放送、只怕你拿到軟手",1579267215,"/proplantw/photos/pcb.1108988429308176/1108987639308255/?type=3&__tn__=HH-R&eid=ARA6sMAKRFGGBLqQIz36DuqJN_BJIKv8wMjp9dTfyTN99B42lSVnBYUvnZHyHQoh2daXHq5c3qd2aRz-&__xts__%5B0%5D=68.ARB_oB3qp0hpDF2LPL5fobPAfWYhFVHOzYX7xgt_2xwEW3He23g0SFU2Efatn76EsEM0N4IEpJLQCBnP-0oi8eRF2X-KoS5fr_-H0k07McBJiXp85toC4DnoJedKHe0DtP9NBX5wOnl3eXh4QjqpnHpEb6m2_ArzcIenrqbF1DocjEbRTiivbF3ITUrBfGwQWeC8UAkLCvEF5FwURmzz50nQOqkDrKi0koh74K4WErQ71rLniHp68_zXAxC9AecgjtSmbVTL3O3RGuk3NwiGJJqxdIUwWOWdJgKH1Yf1Sx8QpgNIn223GTcuWH0-xv0ARMkPYOYrN2ifLrFsAZSVAcI2pg","https://scontent.fsgn5-3.fna.fbcdn.net/v/t1.0-0/p526x296/66100238_1108987642641588_4593452245873328128_o.jpg?_nc_cat=111&_nc_ohc=5eMWClJZ9W8AX87g29A&_nc_ht=scontent.fsgn5-3.fna&_nc_tp=1002&oh=feaf197cf5a6815d68be899cd8f948d0&oe=5ED7BD97",undefined,"",""
"https://www.facebook.com/proplantw/posts/1170859109787774","1570096802","▐ 𝗣𝗨𝗥𝗜𝗡𝗔® 𝗣𝗿𝗼𝗣𝗹𝗮𝗻® 全新升級
￣￣￣￣￣￣￣￣￣￣￣￣￣
#眾望所歸 ✨冠能最新開箱文
人要衣裝、佛要金裝、冠能也要水噹噹💝
一起來隆重歡迎全新面孔的：

．【 幼犬雞肉成長配方 】
．【 小型及迷你幼犬雞肉成長配方 】
．【 小型及迷你成犬挑嘴亮毛配方 】
．【 小型及迷你成犬雞肉活力配方 】
．【 成犬雞肉活力配方 】

除了華麗的外衣⏫配方也提升不止一個檔次⏫

☑ 強化適口性，挑嘴毛孩專屬
☑ 表層精細處理，顆粒密度提升
☑ 增加消化率，營養更容易吸收
☑ 絕無添加人工色素、香料、防腐劑

以及….新品預告‼『全犬種低卡健康配方』
#想讓寶貝嚐鮮的＋１
#更多好康資訊都在ProPlan冠能
#快設定粉絲專頁搶先看",1579267207,"/proplantw/photos/a.147057638834598/1171634013043617/?type=3&eid=ARDNQkegLmwngYZg0SSQnrLrFK54q3pr8GE0e-aZmxu8WC6HE99LEfilVTdI--_FHkh3f80-lIeMNSMI&__xts__%5B0%5D=68.ARCbXgXG34fRTSpXnvCO9q_ANWFUZWj89ldSzODbBFIq1nzbN1v04OPXakE5pnyG7OnlBXBGXOBwjx4OpJcZwq_sUkBpThwkhgZqAw2QKcAIexxTe7S_IXSMCmtx1HnmvX6eUuqZfo3MAyL6Y33rXDQE_v2r0mW-a63NcFTLvMmVaQq7M27SM-m8l7hPu7odM2KloZdCSE-iCw4-tsDnvg1n1xszk2nrDWkXEVLM9TvRRh3-oUmd1vfk7g6xOuIjlkFw6eIjxa7mHyfM0CbTBIMcb_8NGENGHJTxBx7j6TqpgKXljsoWSSn1mNy2VMA9BBnSCSe_vSuUKujBknpOHtFRgA&__tn__=EHH-R","https://scontent.futp1-1.fna.fbcdn.net/v/t1.0-0/p526x296/71793854_1171634019710283_3704031906908602368_o.jpg?_nc_cat=105&_nc_ohc=zQFc6sLoq_kAX8zPlZq&_nc_ht=scontent.futp1-1.fna&_nc_tp=1002&oh=acb82637b35e06bc3f661e3c8eeb4738&oe=5E98F877",undefined,"",""
"https://www.facebook.com/proplantw/posts/1026872257519794","1551760423","情人節放閃禮物已收到，感謝贈獎。","1571509196","https://www.facebook.com/photo.php?fbid=1774385235995484&set=p.1774385235995484&type=3&eid=ARA4Falil5Y7OrS60zFfxyP5ny69F6JEwViTXiIpID2S9vcb5m1lC_TDDBsURxc5redOzGQxm2CIXhtc","https://scontent-amt2-1.xx.fbcdn.net/v/t1.0-0/p526x296/53739981_1774385242662150_6763614691290775552_o.jpg?_nc_cat=109&_nc_oc=AQlDio0UPeGa43b05oJyetSmgdQlZCPzpHXQ9oPIsxw2TsjF5dwbPAdpB1gIYnXkDG8&_nc_ht=scontent-amt2-1.xx&oh=9478826119c4cc7a19b267dfee28187e&oe=5E62290E","undefined","",""
"https://www.facebook.com/proplantw/posts/1173121372894881","1570167779","好康報報🔉🔉🔉給大家知道
就是明天有~~~免費講座 👏👏👏
來到現場就會有小禮物帶回家唷~ 

💢『腎臟與心臟疾病對毛孩是不可逆的傷害』
💢『毛爸媽都想再三預防，卻不知從何開始』
【寵物疾病小學堂】#專業毛孩知識 #免費學
👇欲知課程內容趕緊看下來👇

🌿．課程資訊．
✔授課主題 : 老年病之 心臟病與腎臟病
✔課程時間：2019/10/5 14:00～15:30
✔課程地點:東森ETtoday寵物雲 新莊門市
（ 242 新北市新莊區中正路2號 ）

🌿．講師介紹．
#陳郁晴_獸醫師
🎓 國立中興大學獸醫系 畢
🎓 加生動物醫院 主治醫生
🎓 全國動物醫院24小時急重症醫院 住院總醫師
🎓 祐康動物醫院 主治醫生(現職)


🌿．報名方式．
1⃣電話、直接到店報名或私訊小編即可。
2⃣ 電話報名：(02)2996-0026。",1579267208,"/proplantw/photos/a.147057638834598/1173120326228319/?type=3&eid=ARCahH1mygyL7a-VNlDjW1HDTCb-X6Dx579j-J0gmUnRoJph-cf4TAzI7Oo94ovdSNubPmgcr8J7Qowa&__xts__%5B0%5D=68.ARBTAgNJKpL_EFM--a9zqlY341AiOFEfcIlZOkx28h9X4SfUzQBexI1su8unUeUdFm3O-pwUSb5iy9psKZii9pjzP_09rn4I5baZB-dtV8czVcHpAgUG4HVF3RQp1_QlZ25yb-utJre3BriRqbVy-hJjT4Z13SCKyWSRr2nloIYQVLQLFuPqN-d-ubITgCJXUzs_MLBHC-2QYowkAoksIn3WyX7Cp1IfeEKWJaDGADnd-VtcnXZTVsZ8qAjP9HEP0s_4y3ThS1e1HOKKY0lKhn6mncbxD_26F2F5hSyR8i7q96lcncxYn1S-oE3u9nHIxno3vQk4M5cE3hUvz2nigBu9fg&__tn__=EHH-R","https://scontent.flwo1-1.fna.fbcdn.net/v/t1.0-0/p235x350/71248337_1173120332894985_982979969510539264_o.jpg?_nc_cat=101&_nc_ohc=F2cmN1JVSuIAX86Ek5u&_nc_ht=scontent.flwo1-1.fna&_nc_tp=1002&oh=922be79acc4aa8c284473ccb98c352cb&oe=5ED8AB31",undefined,"Send Message",""
