url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/remonafansclub/posts/2219256741422671","1534604426","謝謝二哥帶我來看
韓國音樂劇
搖滾芭比
一齣結合
變性/變心/搖滾/美國夢
的近距離音樂劇

 喜歡音樂劇的朋友
可以去體驗韓國人創作
雖然聽不懂有字幕可以看
但我相信音是可以溝通人心的最好方式","1571369745","/remonafansclub/photos/a.729651087049918/2219256684756010/?type=3&eid=ARDfATNs8lewnRGIvyjHnXQURhE9S_FmIUajrEkO21JoYHq-goy0juTu3m2I8lFTpsb0HaraBHnhAZQn&__xts__%5B0%5D=68.ARBtcvUYh0dY2V6zxaVCqx2Up_pY6lhgNvJQeClQOOGDUMhi5UW3kONErXsN1JRKVfDAItVzhzUJLSu6XcPq6_wRbPLtLPtxmMK2ZDG1UTXbTFPhQSMvOGY47dsCjXexJCnoVeIMGbQ3AADUa4fLY6LHWQlq_3_ApB88hRv19L7s2Uh7BqcgxWqmspa7FdJmBwElb0-j4zTDnRKrDrquiSZC_W8kORTVo6VBKbSmLailfo0s8dpxiOhIyPFsZ2MqxR16v-j45srde7P_mXccomwyWFPcO62jMoa8TXKghfWYJgXq3AfDF82y3I8AhvurF8Bd3F1Q5uyNSPrUMieErrRx8Q&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/39441365_2219256688089343_6387662103494262784_o.jpg?_nc_cat=109&_nc_oc=AQm4DQzrlC4GtosertKebwl9Atok-XcBxm-nfS4I8eW8MAsYLkVQnl1MVLM-4CSGvY2Bg-wO2GUo8Yqh-WW9dNAt&_nc_ht=scontent-sin6-1.xx&oh=57b7a9895011c8868d555d6be1c356ad&oe=5E2E28AB","undefined","",""
"https://www.facebook.com/remonafansclub/posts/2118234271524919","1529738186","春夏九重葛女神
雷夢娜出來透透氣了
這次帶高雄陽光酷兒中心的阿丹
一到人來瘋江太來了節目
宣傳愛無懼活動
2018/07/05周四晚上十點半
在高雄紅磚喔","1571369746","https://l.facebook.com/l.php?u=https%3A%2F%2Fm.youtube.com%2Fwatch%3Ffeature%3Dyoutu.be%26v%3DWg2kP4M9DRE%23menu&h=AT2s__NeGwv3kSLR0ItGh0pVPxtpMYnlctu2ay_TngRKW6hEBydWV86JR6GbDvJr-WElU36X0aOHdkAG646dHkJRa2h5-cEoVnG90PZRO9Y_ryc61Bi6eexb0aFk0e1qN_DXtUICgR4kqU3qwHvs0EwbfLFTPphB9MPu8y6MjjRlu3zdeFuGcCcXxidNbWV1_ZR2lr6dUW4ZCY7ymr2-EV286I2KGL_Pzobg9xtsFQiISyScwdesXWb3AFC8nJ1VuoJW90qw39fiSIDiCPdMDHpsW0n7-3WdmcVhuuO-_DqLQq3EQeZwRlM1l8YUa_Nr0nOAW1tEMTDHb7cgmLTTgBp5jZDwZB8pdZl0qgaWJH-1eMmLVrvIAwSVtY2tReOnExaXNiH8xFsNDpmX9ui5MvGPR-mJzo_nQEXQw6bQo7SyYfAZ4i38g1P8WLWoqskqtaClGiy3mb7cw7nY7tDebuWJepkFp1WpVqFehXgsjy8pYJB8U8-ifWzd018LYokXGG-HxeEUj2iaImFjoQOA6S8DjSN6C1zbj2fVCURGly59nABQQqqW3gNXxXuxVZPqAG41uJOXaoFTRD6RWe85v3JmAVa5gFBdiU43-cC1qEoZB5bmEPuSsHVhuS_96H1o_dTCgeGRGqeRfguO","https://scontent-sin2-2.xx.fbcdn.net/v/t45.1600-4/cp0/q90/spS444/c0.16.1280.671a/s526x296/35587243_6093599576614_7462581882404732928_n.png.jpg?_nc_cat=104&_nc_oc=AQlFlxYc8ubjqdnOKsKWtT169phZrt7kl9JMIARQf7REwwSxbCoMJ51jUtdjMGSImtQ&_nc_ht=scontent-sin2-2.xx&oh=6cd1ef5c2e27b3b8917987ab8fc313ce&oe=5E2B2377","Image may contain: flower, plant, outdoor and nature","20180622 雷夢娜","（貝貝） ［6/22節目預告］ 開心星期五，happy Friday!!! 我們的花兒仙子雷夢娜今晚要來陪伴我們啦～～～ 並且邀請他的朋友 阿丹 南霸天一同來節目中聊聊，會帶來什麼彩虹話題呢🌈 敬請期待 ヾ(*´∀｀*)ﾉ"
"https://www.facebook.com/remonafansclub/posts/2602883876393287","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/remonafansclub/posts/1960275927320755","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571369746","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/remonafansclub/posts/1828141463867536","1508315130","還有10天
我想就包緊緊去走遊行好了
反正 這些年
該露的 我哪裡沒有露出來了??
大家也都看膩了吧

 #雖然包緊緊還是要妝髮老師發一下
#最近回台灣一直出差中南部也吃撐了
#除了高跟鞋還有什麼可以拉瘦身材我要買
#19大之後熱烈歡迎大陸同胞來台灣參加遊行","1571369746","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/remonafansclub/posts/2838635332818139","1566733103","每次都是在八月底準備要減肥，就讓我們看看我十月遊行的時候，是否真的成功減肥塞進新的造型服吧！!

#減肥好難
#誰有最厲害的減肥方法提供每次都是在八月底準備要減肥，就讓我們看看我十月遊行的時候，是否真的成功減肥塞進新的造型服吧！!

#減肥好難
#誰有最厲害的減肥方法提供","1571369746","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/remonafansclub/posts/2672599326088408","1559427106","卡樂偶像彩虹歌唱比賽，中南部複賽，很開心能跟三位評審老師一起合作😙😎😍😘

 希望我們選出來的八位好聲音
能在台北複賽繼續一戰成名得到好成績Fighting
繼續在決賽見面喔！加油

 雷夢娜也會邀請唱片公司高層出席決賽，聆聽各位的精彩出賽表演！

 聽秋山唱歌
#彩虹查克拉
#陳伊仁
#張文森","1571369747","/remonafansclub/photos/a.729651087049918/2672599296088411/?type=3&eid=ARBtbTZEwamITDZNl5NsQgDBM5z9nP2HjxmdU5XOSxRDicTme_dmW3Ri56wi6k6394ychSSCBKa1UQXG&__xts__%5B0%5D=68.ARCggVyE0ML6L8V1xtOjKRsivIQlhb3-9R7wt4RLOZq1JP2vDHcQSvcKf7brNP2_3VbggLT387WxuxnFJG3qacljxYN2j-64AHESbizARW-tLPgz3j-3wHBVp_YBmYNa74PAEhVpXydd-XQ1XIKvdieK-qUJ58S20AB-5wOFjapsazYLvpXz0Q2Wxlrfl4LRFvblTzvA8bIa-uuMGuThFXegaiDl80o56DVRycDnnaXU6S1TtlU3XCUdbOvIpDEXatZort8CcrSYpwpDdwQ7MH8noh0JiqrKXYa2ff207FS93wLQIABjf0KdD6XgPygYMN2qwwLkHBeve4qoddVmpJz9jw&__tn__=EHH-R","https://scontent.fbkk5-7.fna.fbcdn.net/v/t1.0-0/s526x296/61708317_2672599299421744_4755849537770225664_n.jpg?_nc_cat=107&_nc_oc=AQm95syAJPenR6DSwcVFrxdqS_XxRDHScCO4QxakXAMLXcIatwpREGV07xh85M5BZ24&_nc_ht=scontent.fbkk5-7.fna&oh=07ff9b9bcd45c98700377a3cb6a6bafe&oe=5E1E091F","undefined","",""
"https://www.facebook.com/remonafansclub/posts/1726200087395008","1499919838","有人知道馬爾他在哪裏嗎？
如果你不知道，這個同婚合法化的新聞會讓你認識她
當然我們也讓世界透過釋憲,同婚通過而認識我們","1571369747","https://www.facebook.com/queermosaawards/?ref=nf&hc_ref=ARSYQstZ8W3FZmCc2UEtw1Jd7wyPO6KWpGEUDyNuawIci2FsFArFO5srmI2HxUkcfhg&__xts__%5B0%5D=68.ARCxxnJ7nr_Lmbf1A__vZ4QsaPU6N8U5nrZXwBet6wt2imkXH_BZCRUauoFy8bnwhrbh4xMP5WInWZUNBdFyiLDYzNjkIuYNbYy9Dhgsii9l6xgo4sNxhr73gZoeyI-t767Fs1iQe7QQ4giuAeg0-iON2Z1VI5wdn3WAJKmemRVwAkNTeWUNkDTkn9GVOxNf9t7MO7bFXgT7u9r8ea9PldMKyhRZMirTUO2uGI3ciwo6wqOMgkDMypp4dRxEoXx0H8sbc6ZCrHIVGR6vMBZyps2UXMXMOCCHysxNj5mU6GzbSV7wxqrq1Pnj6CNa5P3twjsN7uty9XvJDiueTxYKjW3XknwxBSezheHj-oTnOZXldv0iyQtT_0eiZKrE3E3_4ekIFVsnaoXMcsuPuMUoJ1wJs7TopxMce62Y5ZgxqwaS4fyzhyka6Yzlm2JKWXIx2C9MPj2t2C5NBMl_JT1iO5AZSdeT_ldaQK7oJ05u5iO6apjhWORMJjB8&__tn__=%3CH-R","https://scontent.fbkk7-3.fna.fbcdn.net/v/t1.0-1/p32x32/18882018_1176650335812511_8151090127402921298_n.png?_nc_cat=101&_nc_oc=AQk464IK_wRb41XEh86R65WzTkYoAdibrREYXw9f8IQh2srhKhXLofvC0UUsh_3cWMw&_nc_ht=scontent.fbkk7-3.fna&oh=8753d68ddafbec4ef4ff33c96a57fbf4&oe=5E28B723","Queermosa Awards 酷摩沙獎","Queermosa Awards 酷摩沙獎",""
"https://www.facebook.com/remonafansclub/posts/2480760825272260","1549601665","新年快樂諸事如意
既然老天爺都那麼熱情
那夢娜也來放個閃好了

 #我在墾丁天氣晴
#謝謝各民宿主人熱情招待
#海角42號民宿
#彩虹無國界民宿","1571369747","/remonafansclub/photos/pcb.2480760825272260/2480760658605610/?type=3&__tn__=HH-R&eid=ARDwBUzlxisoS9qmQbvAbYTisM-iIMVIiYgjH1Vdk2HBr1ielKXap8To94BRFuzqB90cB0AvKmb2km9l&__xts__%5B0%5D=68.ARDOIWGtA3gyimDyUvVcH7VdqvvxUsOdvTAX-aD6fL9YAjL_Y0mwdq1zmOQU8EndPzKKRGE2UqnZwM1J85mmrQ0ae-yhlYGviDmnFoi571CuS3gU8jsf0Ir1Xazhni8ibwgFPV9A_OJCoQ1NTPjLzSMhtO1SpzDbkEoEly41ooQYthFRy3cRs1tSIGPM_I8UTHbC_1c_vC7xYyj3YnikbNJl_J0h7ksFE0nVoIujDJ8H0tt8lSaOTDUHhdA5hqv1ks8Zbkv-oxua4-8R7U7DMs-HjXBiq02ySQFyBQrofru5F--QjAzlxq9TYGfVTHk9wtA2AuuczHeHdcqD8hG_j43Fbg","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p403x403/51390257_2480760661938943_7255760807462436864_n.jpg?_nc_cat=107&_nc_oc=AQn64VZwAShV52QK6cHYdNSC0JrYg6glx1O7sB08Y7tlWhO1eASxziGbYsnm-alSbt0&_nc_ht=scontent-nrt1-1.xx&oh=a04faced53eecee62f5d02996182c80c&oe=5E344953","undefined","",""
"https://www.facebook.com/remonafansclub/posts/1993021537379527","1520939254","等等來上節目，開直播了喔","1571369747","undefined","undefined","undefined","undefined","undefined"
