url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/shopping0857/posts/2175651846073742","1569670868","哈哈哈～～今天有趕高鐵的fu～～
雖然很趕我還是順利到車站囉❤️❤️
謝謝今天的新客人集資簡媽媽2萬的貓狗飼料+罐罐，而且秒匯款了🙏還有很感謝其他幫忙集資的朋友們😘浪浪因你們而幸福🐱🐶

 #各位早班休2天下個月見囉😆
#請給今天有集資的朋友們按個愛心好嗎～
#2個歐我今天開外掛模式🤣","1571299174","/shopping0857/photos/a.1549466838692249/2175651786073748/?type=3&eid=ARBMz092EVDAKo3cbSINYi-KQurau0HnUbMGK6RzWGoE74x2uIBrgjAuwiLK_Bjw2uVp9w8PwXlBCSsd&__xts__%5B0%5D=68.ARCA8OGd9tTr4KY_mQ--btec_4LBj24NeeATcKpT0glUwuCafmP3cLHJ8NLYNlJvalVQ9C5Ry11DulW9G88vNuzIJdxT_Tns245j-dJ2cwFQF356gSdCm45b2_ZCML2u5Dc76cDTNv3L24EhHaY9rwiHfq2CPXWugEFpBTMuL7Nh74XTugP7Ut74gtJ2W9Yux7umVVVueXkuL-dgpZ7FfiVumMD_5o9pR9aYUD1Frz5oie41My8-X8t5caBtdKe96CvFu0kLQjhLW9_kXN0Ax-0ikYsWXBxh3IwJQ1sy7l9Km1NRvkMg3b2bE-WzErbqAjsYUgtsaoWF3gFmB7TqpJGfdMlK&__tn__=EEHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p526x296/71946486_2175651789407081_6157931960757911552_n.jpg?_nc_cat=107&_nc_oc=AQkBF7_Dq_K_1U5zpRtKdgZ177WRRGmIACAjIr9mQiCtSIzFKsZGwjOKYrgOZWtXzNc&_nc_ht=scontent-hkg3-1.xx&oh=5609ee69e90b4bd8fa76adba0e2a5c1b&oe=5E2863ED","undefined","",""
"https://www.facebook.com/shopping0857/posts/1994140007558261","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571299174","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/shopping0857/posts/2173070206331906","1569376841","謝謝工讀生的用心",1579265136,"https://www.facebook.com/photo.php?fbid=1439619036190154&set=p.1439619036190154&type=3&eid=ARDCVQ_UOlCP35Y4CwNKNNjvqqg59S0dXOCash_mlH9gkHqkSGtjG8Qgv5eem7vDtcuq28k9q6p8UXEB","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/70874762_1439619039523487_1694779608076910592_n.jpg?_nc_cat=106&_nc_ohc=-qE1cQPLo6cAX88PJgA&_nc_ht=scontent-sin6-1.xx&_nc_tp=1002&oh=32ce3697fab0a689d660fd07336f91ed&oe=5ED71EE1",undefined,"",""
"https://www.facebook.com/shopping0857/posts/2135376633434597","1564426536","https://www.youtube.com/watch?v=GL9T6rFOlts
麻雀總是雖小....","1571299174","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DGL9T6rFOlts&h=AT1tDD7XRArvv7u53iqSlhobZXkA--FJGQ_tB5kVQa4D1aHqIx5O4itPe9H77m5nRCgN7qAjcge7a-I6gH_PONQxfAgsHBE3lmwmUOGqZ35SraGGOe_MiEaDJq6-D2uKnsizyvD0K7KHuXpwHOoylEKW20OqrOs7PPiqyKHczsRI3PpioOBJS9jdLwi4PelYS9k87je76-zVXLnOJKIa3tN5FULTszmK3X2bHAmnw0YVoCrCHBpP7VeZ6n-C6oJyguayvUdnqLoYv7xlrhVcf6VdBC-MpfoTbFUfyfQ0FiyQ4kP39VDTs87wPaZKFYL6tyjdgiqiZTr8h3bzjIG2QomQittYnccYyTFB_b8nMSd0fRRi0BL_eHA-1yIP1kVMPVtrYpsAclLy8Q8x_ZouGlg1Ytpy4n-BjxJFSIkcPSrcXU7FeLwCWdr4QEREd8MlOoL-qnPTcqX3bj8lK0-0NndvBW_9zdUtk8xu_l2QZKX9yUZYI1gnTTdv_ob6xtdP1OtgUAF4YGI9kFJDAxkTg4ewykyNwCjQ4EGuapHLoZTfv0IRRPrDGt4UhJNxExozH9vEHzOCM-NG7r_H-r9kxqceTi3agLJwrkOwciurx24hEUfUXQT0TVxOO0a8dSA8svZp0l2FAW009NWVLmo","https://external-nrt1-1.xx.fbcdn.net/safe_image.php?d=AQBJaSZObwz_QT0g&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FGL9T6rFOlts%2Fhqdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAqh3qRtftzsrr6","Image may contain: one or more people","丁丁 GG的瞬間",""
"https://www.facebook.com/shopping0857/posts/2185271088445151","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579265146,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/shopping0857/posts/2184534141852179","1570738385","就算再忙再累上來看到這一堆黃黃的都融化了🤤
謝謝親愛的妳送的神秘禮物❤️❤️❤️
好可愛好可愛好可愛好可愛好可愛嗎～～～
（有維尼控可以曬出你們家的維尼嗎😍）

 #現在是中原標準時間凌晨四點多
#我跟路上小心的小新忙到剛剛。。。
#國慶連假沒有出貨喔！
#拜託各位不要再棄標了🙏",1579265134,"/shopping0857/photos/a.1549466838692249/2184534121852181/?type=3&eid=ARBWRVmSb8V_ghnCSZttMlP67zHpbAwN_GApX9G4yOrICeufnWdp1UHtF41G9U-619CsAACfh8sqzDMc&__xts__%5B0%5D=68.ARB6mnEKf12xCcZ_UBi7Q272Pyr1z_QD_TKklFgacbLaSe-PeWdleQ16oXHalIzDJqmxcxmw0-MyL_r5g7ycs9Jnr0VlyeUYG53jGSgCnWx_IU9ETWUEmOdnEo3lr-LvrRsxfVYO9RGTtNYek6eX8em1zErlsa71gsZx8U3_SgAinNtj7Pq03DrVoWRt6s5_lTENyl8m8u8R-Omwhf6lfSCH1qKCI3XAil5GtAQVDGS9iOCHZyCIf6H2vvlB3CUB09QsMd8zU9IxDrLa3apd1a3KNTIE2wCPVQ1E3QgtviD3kIN8pc91h2TtBYGC-znUWeqarfUk80lFbsvqLdAm2-w2m5qt&__tn__=EHH-R","https://scontent.ftpe8-2.fna.fbcdn.net/v/t1.0-0/p526x296/72474082_2184534125185514_388187811456483328_n.jpg?_nc_cat=101&_nc_ohc=VvXCRtJGNJ4AX_OQQrS&_nc_ht=scontent.ftpe8-2.fna&_nc_tp=1002&oh=8c9ec0d323db476de4a8d1973c0a5d59&oe=5ED91C3A",undefined,"",""
"https://www.facebook.com/shopping0857/posts/2168379123467681","1568811992","https://youtu.be/QomxZhW_3vE","1571299175","https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2FQomxZhW_3vE&h=AT0Qr-VM1JH0EcJ-yKKXhj6drT1_g8N-bo7Y8vxho1o4HCFl7xKFjDeoBdzW1PO4mkrLUGHrmXJ2R0ey00GZUM02FjSqmxoUhu-prgGFiIktc6lW2-9AtQLlVAueL9nt1zke9evR5lx8Qlk4uAxbwuMyl13bMZFXZBV3Fd66DFOCGA","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQAKkjE5QWuYLRrW&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FQomxZhW_3vE%2Fhqdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQALadFO3zWlVpHm","No photo description available.","教你改變個人財運","教你改變個人財運"
"https://www.facebook.com/shopping0857/posts/2166138820358378","1568530730","我家的小霸王😻","1571299175","https://www.facebook.com/photo.php?fbid=2297457943692029&set=pcb.2166138820358378&type=3&__tn__=HH-R&eid=ARAWaKKE26s9FVMI-xzxbmrnR8pgqsJwn9y0mZondvuupGXOY9x920kfaaTKoXuzO3bLTuPaOXvJKxgQ","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/s600x600/70416527_2297457947025362_2672148632311955456_n.jpg?_nc_cat=100&_nc_oc=AQkLSC-rufNZ2ti_kXMXj4-GGxmLD2aftbuamminRj0imycMOKiFInEH7lI5Ci-1lJY&_nc_ht=scontent-sin6-2.xx&oh=a0a770b22b1292184f07423366134579&oe=5E201ECD","undefined","",""
"https://www.facebook.com/shopping0857/posts/2173653712940222","1569442584","特別公告!!!

 工讀生的粉專目前有些問題正在調整唷!
工讀生直播部分直接轉移新粉專 下面兩個粉專
📣未來直播 影片 PO文📣均在下方連結: #米醬寵物生活館
#豪嗨生r
全新的2.0 換個新粉專新氣象
均在下方連結: #米醬寵物生活館
#豪嗨生r
新粉專 麻煩按讚!追蹤! 搶先看!!
LINE客服ID:@has0552b","1571299175","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/shopping0857/posts/2169986379973622","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571299175","undefined","undefined","undefined","undefined","undefined"
