url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/shua0522/posts/3499584160055556","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571551128","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/shua0522/posts/3536356766378295","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571551128","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/shua0522/posts/3527319060615399","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1571551128","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/shua0522/posts/3512356468778325","1570423594","【台北市第七選區立委候選人｜重陽佳節快樂】

 今天是九九重陽節～淑華送你久久的祝福💕
也不要忘記重陽節是敬老崇孝的日子
把握今天的好天氣登高旅遊、吃重陽糕
淑華祝大家步步高升，幸福快樂，開心久久，平安久久，好運久久，福氣久久，吉祥如意到永久！

 松山、信義區的老年人口比例，分別是台北市的第3、第4名，老化指數也都高於全市平均，身為長期在地耕耘的民意代表，老年政策是我長期關注的議題：
1.要求市府添購指紋掃描機、整合局處資源，使指紋建檔系統的辨識作業更快速。失智老人走失問題，已嚴重引起家屬們困擾與擔憂。從醫療端增設指紋辨識，經醫師判定為失智後經家屬同意，可以透過建置指紋系統儘速通報家屬帶回！
 
2.結合「到府居家醫療服務」和「老人日間照顧服務」，不讓任何一位老人家落單，全方位地照顧老人健康。
3.爭取長照2.0的經費，新增巡迴駐點服務，以老人活動中心為服務據點，就是不讓任何一位老人家落單。目前淑華已於任內針對信義區爭取三座老人活動中心，供老人活動聚會、課程學習使用。
 
4.目前正在積極推動每年 480 敬老卡法治化與多元服務項目，除了交通、運動、博物館使用外，應擴充至便利商店、賣場以及醫療服務項目！
除了上述已經為大家爭取的老年政策，目前台北市年滿 65 歲長者有46萬人，109 年 1 月 1
日「健保費」經排富後，將編列20億預算由政府支付，這算是在重陽節送給台北市年長者的小確幸！

 帳戶：109年立法委員擬參選人許淑華政治獻金專戶
銀行：台北富邦商業銀行市府分行
帳號：411102039068

 誠摯邀請大家一起訂閱淑華的相關社群唷🔎🔎
💎快速捐款連結►https://bit.ly/2nA2M4u
🍭加LINE好友聊聊►http://bit.ly/ShuhuaLINE
🎬訂閱YT看更多內容►http://bit.ly/ShuhuaYT
🤗追蹤IG看生活分享►http://bit.ly/ShuhuaIG
💬聯絡淑華點選連結►http://bit.ly/ShuhuaQA

 #九九重陽
#久久祝福
#許淑華
#信義南松山 #台北市議員
#台北市第七選區立委候選人","1571551129","/shua0522/photos/a.136195469727792/3512329702114335/?type=3&eid=ARA9IS9rOdZJ_zEXITHSKyrVFdCzllHm1WvVh8-6dcRCbtkW0A5aQHyEwN_Izf8m8Wl31ixDfowhW2wS&__xts__%5B0%5D=68.ARAkcLg2-r8ddKfYax8iHs05dlgoAXKiKF0aUblfi5uMp6L54ufzmj1XFZB4pMXZ8E3BwxPmrn7gkIS9ndx5tpINCuuhhiXFX5ROpIVNMGxyCvxsJMnmI1_DBQGJuTZjtYWMGlBDbSyTo0kqXdLg32uoE-xEHVbCo0Ya-AQV907Ou1AyHhcmjJKcza0rQvNKoC9cSExUxzDJlWxAZYyPMwR_VbVptaWYI1gduuXox5QE3fzqIu796TlXO1QsLGD9IHmXw71goLrHjwYXxX4Df565cb4TtF7V14e-D7zMU0iEZnMsxBEHSVgySncs6jGKtIsnDqpSM4NG8srYDIic6OZh_A&__tn__=EEHH-R","https://scontent-hkg3-1.xx.fbcdn.net/v/t1.0-0/p526x296/71817768_3512329705447668_7979368651155308544_n.jpg?_nc_cat=104&_nc_oc=AQlDG3LkJQVIpONLASWTUtFTP_hxbtM_NlBEOse1eshNC6Y5B6I3B62PbsaYcvUV-7c&_nc_ht=scontent-hkg3-1.xx&oh=19e4fb38d88a0f707e96f19c61bf237d&oe=5E600DE3","undefined","",""
"https://www.facebook.com/shua0522/posts/3516105678403404","1570535889","【台北市第七選區立委候選人許淑華｜校園智慧販賣機】

 新聞影片👉👉https://bit.ly/2MpYAwW

 台北市政府教育局推動校園設置智慧販賣機，想讓學生透過販賣機來培養使用無現金支付的消費習慣，但是政策推動的情形引起許多爭議🙅‍♂🙅‍♀

 今年三月開始試辦的校園智慧販賣機，卻只在八月時匆促開了 4 場說明會，會後也未與學校溝通，即刻發文要求學校設置販賣機。
淑華認為市府推動此一政策實施過於草率、不夠嚴謹行事，僅開幾次會召集所有學校到場了解便要求學校興辦，市議員吳沛憶進一步表示，智能販賣機所提供的飲品項目也是在政策倉促實施的情況下，造成校方無法有效控管並規範廠商，引起許多家長質疑與社會觀感不佳。

 
另外，淑華也質疑市府並沒有檢討回饋機制，廠商所支付之使用費能增加校方收入，可用於教學設施、社團補助等，但是廠商收入與使用費的差額明顯不合比例原則，讓外界質疑市府是否有圖利廠商之嫌疑
💸

 對此，我與吳沛憶具體要求：
第一，教育局不得發文強制學校裝設智慧販賣機，必須要與學校、家長三方溝通協調，視學校、家長需求裝設。
第二，教育局必須提出檢討改進廠商與校方的回饋機制，並於一周內回覆。
第三，教育局必須與廠商簽訂個資保密條款，避免學生個資流落他人手中。
第四，教育局需於110年提供報告予議會檢視。

 ETTODAY
https://www.ettoday.net/news/20191008/1553007.htm
中時
https://www.chinatimes.com/realtimen…/20191008003764-260405…
經濟日報
https://money.udn.com/money/story/7307/4093452
中央社
https://www.cna.com.tw/news/ahel/201910080254.aspx
自由
https://news.ltn.com.tw/news/Taipei/breakingnews/2940385
蘋果
https://tw.appledaily.com/new/realtime/20191008/1645668
民視
https://www.ftvnews.com.tw/news/detail/2019A08L11M1

 誠摯邀請大家一起訂閱淑華的相關社群唷🔎🔎
🍭加LINE好友聊聊►http://bit.ly/ShuhuaLINE
🎬訂閱YT看更多內容►http://bit.ly/ShuhuaYT
🤗追蹤IG看生活分享►http://bit.ly/ShuhuaIG
💬聯絡淑華點選連結►http://bit.ly/ShuhuaQA
💎快速捐款連結►https://bit.ly/2nA2M4u

 帳戶：109年立法委員擬參選人許淑華政治獻金專戶
銀行：台北富邦商業銀行市府分行
帳號：411102039068

 #智慧販賣機
#匆促上架 #圖利廠商之嫌
#許淑華
#信義南松山
#台北市第七選區立委候選人","1571551129","/shua0522/photos/a.209473245733347/3516556841691621/?type=3&eid=ARAWphk2MiLEj6fnCUSXE8wOrvoppr7pYzI7kGsq3yh7_Td3EpH9e5JJ3DNlONJBL7afRnQn3gA5bgFp&__xts__%5B0%5D=68.ARCXuS-7KD1AzAKVyYJ0XY2DD5UeTrGjJtM7n_EbVsGaLlch_UOeGT-MxnPsa_mWwYjbhOhIIu2yqFGEWZMn2CgtPKO8viCfI-hUkMBFGXSnTjrHpNLgwPo597CDLunybJMBrX3dOo1AsVsmsh2e7rLMWfnEbZBLC8_EYmhIEWr2TCoodLzCb13Fd4SOMGEToxnFOe1kGx2YexPtDPd5QKJY9sRZg7mbugzPYCI_lqoiOTLMHBLf5ptBIeHkQ7AsQAAecDDtMwCdOA1Qe4UsnBq59EeI7ARmThoxQJx9iof9kEvEDG9E7LTUq-xYqIyyM-dkKr1N5yiWNqNAVxv8EekWcw&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/71799250_3516556845024954_2403371558908198912_n.jpg?_nc_cat=105&_nc_oc=AQn3NmzuvRWCey_LtRSpdwZ1pcH2Q_LbG1uzvBesuYqn-aOjtLu1SwfAGuQXRj__m2E&_nc_ht=scontent-sin6-1.xx&oh=9cb5ea86bd3d71ecbf8a0264be057dd1&oe=5E319640","undefined","",""
"https://www.facebook.com/shua0522/posts/3491489067531732","1570363202","【淑華來質詢｜校舍改建問題多】

 台灣地震頻繁，老舊校舍面臨急迫改建的困境
北市國小共 131 所小學
未來 10 年計畫改建 91 校共 258 棟校舍限制重重
未達 55 年不能改建？
50 年校舍補強過不能改建？
學校的規劃因為改建程序變得支持破碎
公托難以進駐、樓層也難以最佳運用

 淑華要求局處建置完整ＳＯＰ
不需要曠日費時以專案形式一個個上報審核
讓校舍改建和公共福利能夠完善

 🔔喜歡影片的朋友記得『按讚』＋『分享』！

 ｜更多影片｜
🎬松信導遊系列► https://bit.ly/2ltRrSx

 帳戶：109年立法委員擬參選人許淑華政治獻金專戶
銀行：台北富邦商業銀行市府分行
帳號：411102039068

 誠摯邀請大家一起訂閱淑華的相關社群唷🔎🔎
💎快速捐款連結►https://bit.ly/2nA2M4u
🍭加LINE好友聊聊►http://bit.ly/ShuhuaLINE
🎬訂閱YT看更多內容►http://bit.ly/ShuhuaYT
🤗追蹤IG看生活分享►http://bit.ly/ShuhuaIG
💬聯絡淑華點選連結►http://bit.ly/ShuhuaQA

 #校舍改建
#公托補助
#許淑華
#信義南松山
#台北市第七選區立委候選人","1571551129","/watch/?ref=external&v=1280368625467474&__xts__%5B0%5D=68.ARAXfPnf3oKX6NwR9q79op9HaBRws5vYBKIxq5z9Iojqk3c2fQVjFQqs4vVS7chajm79ARRA2X4tv4nzEtm9zKQPj2Z3kOlMCX7OGDJ2CFV8VTWxI-mFZncvDHpYW1SY91xoS0oE4uwsyHugKtUxgst5KXeeiLiUHZXjTcoNzz3lTJrQg_l0ILV2DjETEJphs9ncp0b3gUAPGC-EaIfzzt2HPTUPGKi1sZuVtDvsxZ9tgnX2Pdsdx1SLno2Av_aFvgysF0ZUQYptEaedWgrSQ_7ZGFYdGIIF_0YK-8myarE-nz3ObX5Yb9lnLOVYs_YDAIuzruW0BwjWeqaF9EZPAYOIMJ4HVqlLwm8FsJ7KkYMuf2omM2-VxYUT8I4&__tn__=kFFHHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t15.5256-10/70356814_1280372882133715_8810177070375108608_n.jpg?_nc_cat=110&_nc_oc=AQmYFC6nquTHUjth5quiqQIzMfjX32n1HogW3KPGGCaexgxbunnSOVmcT8R1kKv-9Tk&_nc_ht=scontent-sin6-2.xx&oh=ebca32e15e88288e02d2e6f54dc2be3c&oe=5E30AFA5","undefined","淑華來質詢【校舍改建】SOP問題多｜許淑華Hsu Shu-Hua｜20190927","Posted by 許淑華Hsu Shu-Hua"
"https://www.facebook.com/shua0522/posts/3522803594400279","1570755601","【台北市第七選區立委候選人許淑華｜直播預告】

 你有養貓嗎？
那你一定要收看這次的直播「小英總統的愛貓經」🌸

 淑華 VS 總統蔡英文 Tsai Ing-wen

 🐱不要錯過我們今天16：20的直播🐶
你們的聲音淑華都有聽見！
下午一起加入直播，看我考考總統對照顧毛小孩的知識到底認識多少～
千萬不要錯過我們的直播哦💕

 帳戶：109年立法委員擬參選人許淑華政治獻金專戶
銀行：台北富邦商業銀行市府分行
帳號：411102039068

 誠摯邀請大家一起訂閱淑華的相關社群唷🔎🔎
💎快速捐款連結►https://bit.ly/2nA2M4u
🍭加LINE好友聊聊►http://bit.ly/ShuhuaLINE
🎬訂閱YT看更多內容►http://bit.ly/ShuhuaYT
🤗追蹤IG看生活分享►http://bit.ly/ShuhuaIG
💬聯絡淑華點選連結►http://bit.ly/ShuhuaQA

 #直播預告
#毛小孩 #大哉問
#蔡英文 #貓奴
#許淑華
#信義南松山 #台北市議員
#台北市第七選區立委候選人","1571551129","/shua0522/photos/a.136195469727792/3524230504257588/?type=3&eid=ARAWqsgE38HTsFiFt3mqxeQPUVx_rpn-vOz-TgQuMS-ttdDLFejUkIIDGWV55GbLKGSOM_CkkveH_zLZ&__xts__%5B0%5D=68.ARACT_KCwTYNFa2IC8wUFKVFfD3Oanrlk5XeUt___iIFH8P9wIxO9T3LJkPFfHK3fPh5pLXyBwwy0BdtdpuEEj_3m3AKmNvlydT8SmlW9TiMJp9_eDE9rD16xnLu6HOC6KQ2vWhFXUUuC0PJTo4BU2dCAZi-CqSGiY7QLHoshABKI_sRCle84k1byzNZFUGSzmMnBIw5279DHn1FFEufqsbU7eg-XN-zjq-5q-UJDoZj8cnrMV0sd-veBWH932HdoxYvu1sfNuU2xh6LVGkV4aUqFhfcqlkeiI2X8AeLC_DPWN6i6ent3XRN8RUDLf3uZbS5wFnFKYCtjeT8aMTWj3O08g&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/71089840_3524230510924254_5549523643979005952_n.jpg?_nc_cat=107&_nc_oc=AQnWd5jiZjS-jrSC6JqE7yhChH79VaU3OZCfh_mEhldXEoWJPn7sMMxj5EBS_0wzUJ8&_nc_ht=scontent-sin6-2.xx&oh=6f6399a05f9f91c27c4c74eb96a952ba&oe=5E5B2D9E","undefined","",""
"https://www.facebook.com/shua0522/posts/3270633719617269","1563152749","👮🏻‍♀️東京考察出巡👮🏻‍♀️

 與八位議員前往東京取經，過程中參訪了正在做2020東京奧運整體規劃的警視廳、衛生局、消防局和環保局。

 💯最想和大家分享：日本政府因應少子化政策，衛生局有特別針對不孕症的男女進行人工受孕補助，一人補助五萬元日幣‼️
在台灣也有很多夫妻有相同的狀況，這種貼心的政策也希望能引進台灣的福利內👍

 📍（圖四）不孕症補助資料

 #難得的考察
#國與國交流
#充滿收穫的旅程","1571551129","/shua0522/photos/pcb.3270633719617269/3270633416283966/?type=3&__tn__=HH-R&eid=ARAq1Oc4UTY7BjP2G4AlH_im7TeG7hHWC81H1hS1DvQxUiaJQVYiHdSoXabZCFQ3cqYUopwu7xorYdZG&__xts__%5B0%5D=68.ARBPe8A2eO2jR3upvStkcJhqlNWmxvDYveai4u9ZRjINzmc7j7DNccqSwtKHKrGlxe0rkRbkMVXdmEMZnXMku701z7NZ1HgQT3MAwozUWHqnFxd9eCVEHu00V5Uts8JZ5Ty36BZEoQKqXj2u75J-hTsGB6ewAWdQBjHbFuayL7mCMzMUMEbbDhrvIF-1K_h3kTL5R9OoOQ5FaiWYHyj28gfoT26FMrn9VJSrhWJnk7ObqA8sQ30W8XmHe_xnwUNOPH6XlYvhB1kYrwpVmb654pjzQyFEnicpY77qaeQoQmizJc9mgXzWABYHQ2H82JXiiMEmngRqEdyn2zDKpkxF0KFBoQ","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/s600x600/66887933_3270633419617299_7202130882277146624_n.jpg?_nc_cat=110&_nc_oc=AQmh_NmMIWhmznSJW_5GglDCHkS1HX11dmN9NKHJW52WKfHmVDZa-bcPDfW2JGgCVZk&_nc_ht=scontent-sin6-2.xx&oh=679bcb886026c456fd4ec6b8d800a719&oe=5E16EE1C","undefined","2",""
"https://www.facebook.com/shua0522/posts/3382945438386096","1566647942","👩🏻‍🍳松山食神盃小露一手👩🏻‍🍳

 颱風🌀天還是得出門跑行程哦！
今天松山社大特別舉辦祖父母節暨食神盃大賽，我也下廚體驗當廚師，跟大家一起湊熱鬧，大家猜猜我會不會煮菜呢❓

 🍭https://bit.ly/加我好友可以聊聊哦
🎬訂閱我的頻道看到更多哦 https://is.gd/TtOCp9

 #松山社區大學
#祖父母節快樂
#食神盃比賽
#白鹿颱風來襲
#出門注意狂風與豪大雨哦","1571551130","/watch/shua0522/?__xts__%5B0%5D=68.ARBZ8t2hiSLu8xEDO0I3yP5fZoS8oWxMYNHc853RgqaLAXJsw8SJ-XdOtEpbYuYS-fjryEAqR_AMulZ6YWUIPlLdPHTQELmhj70_3idClfkGb8XZ2ZILt1IVactsLmPpRKhz09hUSnkIYQvOs79AiQo8YHcqwR5GAALeG9AebouAX9Y_oFLk4ngiTH5gMT7w7R2yK39KOj17JCoU25NGmTJCa2mFH-Qnw8tXPg-IapALyzFKgjbg3zg9TCGCU6NWhJykJkhumQUrTsY9_mfbTGJgfhrL9LIDLihuxIJEdIFrbtokeXzEwkTIngUvHa6igCLV0e5WKc2Jg77wiXfGTBncWbwGA7gDVPk&__tn__=kFFHHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t15.5256-10/67188436_365637744360936_2950366460444147712_n.jpg?_nc_cat=105&_nc_oc=AQkJCJKWe5D9Dv06i52JpmUXuf-BT45YlhFi39BA6WZem3xM5dIfQzhOwTTcDlk5eQk&_nc_ht=scontent-nrt1-1.xx&oh=27c57b79f7bbeb255769af7d392b6185&oe=5E2D60CC","undefined","許淑華Hsu Shu-Hua","4,955 Views"
"https://www.facebook.com/shua0522/posts/3499359636744675","1570061315","😂感到欣慰😂

 努力了四年～終於下個月準備把舊大樓打掉動工惹😊💪❤️⋯⋯","1571551130","/onthisday/?source=shared_feed_story&__xts__%5B0%5D=68.ARB4XVmqZGrW1McsCTa_WBQF0wc5Ef2SZWV-iIJJ-RB9ei5H3M1aqLE6oeqJykSI2donm5ASUg_CX3bkAZO2mIYf97aHNUoxYWZTFmWuAbAhFA6WpBDmAhGmSC5_rHtE04nCeG38GyD_uKuKawd__u2aqQe8gkMu_1UVAcs-HN7aU7GnKzzuXUbfOW_SvGdaqCa1Dw4Kbe_sFyzAQjpzQBpRj8Bo4laX0GRJ01SfshqVQYiYWWDdokyEWC_TPbtWs4mg3ucO5PZjfGE5MOiKJiH95PLMeBagL67OCFAxk0OXValpccruOdra-z4xyyea2ZyKsDqIQkTFO_nZ07rt8qeE9WHPPC7psx2_PLe7oDcsow&__tn__=HH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-1/p32x32/51978436_10205533640255975_6071684662357393408_n.jpg?_nc_cat=103&_nc_oc=AQlzNCtvvMvUQtoM0ZMmllh-nBDikZAlZg_SEZ_9mITNPdkzKFeTNNdx43t9bhc3nmU&_nc_ht=scontent-sin6-1.xx&oh=a1e91cf0c2e07e3559bf72385f98e870&oe=5E5D0AFC","許淑華","See Your Memorieschevron-right",""
