url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/siweispace/posts/2403128323058360","1567926990","[空間展覽資訊] 織旅

 以毛線為筆、織框為紙，熱愛從大自然中尋找靈感，認真讓創作成為生活的一部分
喜歡溫馨的題材，更喜歡將溫暖帶給更多的人 
運用纖維和色彩，編織成維繫情感的畫面 
每一幅都有自己的故事，有自己的歌 有自己的舞 

 1027日下午1:00特別安排織旅講座及小織框體驗
活動優惠價：890/人，歡迎私訊 VAS Studio 插畫編織工作室 報名。

 創作者： VAS Studio 插畫編織工作室 何映萱
展出日期：9/7~10/27 (每週一公休)
展出時間：14:00-18:00 
展出地點：思微藏物生活空間",1579182739,"/siweispace/photos/pcb.2403128323058360/2403127933058399/?type=3&__tn__=HH-R&eid=ARAub9FmCgNvd6VX7Fbk4GjBIW7WouDPIJXKFELBydH-4RGfRJgdnQz6T3SZVyNYEBmkQm3ulJOMPCGy&__xts__%5B0%5D=68.ARBSv0NSVjOqWv6YRjXU6-lxrRdmVzh8wSgcdBNIU-oYwGSSfME4QwzlwOWKd1b1B5Bm69pI4ZKcVD0lAH2Df6L3inaiob3JUKytusCQuy9UG_nq392ymq1u_3417V0tngCH5BxHooPrZ2UfUXIqFRwL8e3W6jtxh4prhTfwO1kER_Iy2ZwhhGLbVpMURAFJaWRvkJG4JnbRfz7PceARVY0FGgOJoDwS8rKe9hWqhupw6Y1cuZMyZ521ZwqyFilKIFZmidCKE4VTcYl1uBYxstuKAQ_7XIWffpWmGIjyhKebCScsWPzI9AiBsYuLd_-QLXFZ_G1blKMGzfY0LSAhQWF0qw","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/69669082_2403127939725065_5538877626938032128_o.jpg?_nc_cat=100&_nc_ohc=iz5XYMtAEFIAX-MCfBa&_nc_ht=scontent-sin6-1.xx&_nc_tp=1002&oh=a469bfa45b131fdba99f486a06514352&oe=5E9AE7EC",undefined,"",""
"https://www.facebook.com/siweispace/posts/2368470233190836","1566274547","【思藏生活 一日快閃活動】

 久違的思藏生活一日快閃要登場囉！
這次邀請到 言謝咖啡Thank U Cafe 來到空間與大家見面
聽說台灣人一年要喝掉28.5億杯的咖啡
可見台灣人有多愛咖啡
但是咖啡的選擇那麼多你會選擇哪一家呢
個人覺得喝到最後都會找到那個喝起來最順口
還有老闆個性和自己比較投緣的
有的老闆很酷、有的很愛聊天、有的知道掌握講話的時機
說了半天，那言謝咖啡是屬於哪一種呢？
這就要你自己來體會了。

 當天會提供以下的服務：
1.現場手沖自家烘焙的精品咖啡
2.老板自己覺得不好喝不會端出的精品咖啡一杯+言謝咖啡心目中最好吃的乳酪蛋糕切片一片之下午茶組合
3.老板自己覺得不好喝不會端出的精品咖啡一杯+言謝咖啡心目中最天然好吃的手作檸檬冰一球
4.為思微藏物空間以及咖啡老饕準備的精品咖啡5選3喝到飽套餐
5.精品咖啡熟豆販售

 歡迎舊雨新知來空間品咖啡和談天說地。

 日期：8/31(六)
時間：14:00-18:00
地點：思微藏物生活空間",1579182740,"/siweispace/photos/pcb.2368470233190836/2368467353191124/?type=3&__tn__=HH-R&eid=ARClSv4HEBsf45_Qcok5YBnLTW0-MksGSVkpw_4BhRdlDqbTzh6D3yw_GatqeZMB9Z3YzNiu5Aj5RF4M&__xts__%5B0%5D=68.ARC49pQ_BTlq8cQQUqAxHN8BIHjdG9-i0hMJ3pizf2V_h-54l1oTbZw-NUlOhGw1ZCTzG10kswLqc8k-4KHc4YUhYwNfpQBazrkQfPvqFcjv68fkRlbk12OHGBhCu3oqf0uib0Hd4d0qFT2U_2kih_X_ALLtkFUa-y0sCDQ6LgTTz6q1QZLRm_lX-8WNjObtUOtE3uHSBPOXf1EoGcmAMupTrAmgQxha5S527_jE2H1u7ROENsRkDQaG8XvoggqOiBJAuaDY-6Hgz0hFsCRNQAKwKiGJaJ6rL3xiURlA94CbaasaytHZyJB7LJoWEUjbAbKRDAPCP71EXdfQ0VF_a_m1WA","https://scontent-yyz1-1.xx.fbcdn.net/v/t1.0-0/p526x296/68885338_2368467356524457_1439780755398983680_n.jpg?_nc_cat=102&_nc_ohc=nNSok0R1KsgAX8LaTxp&_nc_ht=scontent-yyz1-1.xx&_nc_tp=1002&oh=f84f755b06260c59efe5e0a01bfac09a&oe=5EDB1684",undefined,"Send Message",""
"https://www.facebook.com/siweispace/posts/2359838394054020","1565862697","因為正值夏天所以放幾張涼感風的繪畫給大家看，這是一個正在念大學的小女生所畫的原稿，每張都是獨一無二的，目前正在空間展售，這個星期在新瓦屋的玻璃屋有藏物市集-手感新市力，來逛市集的同時，大家也可以順道來空間走走，欣賞一下畫作喔！
___________________________________
日期｜2019年8/17(六)、8/18(日)
時間｜14:00-19:00
地點｜思微藏物生活空間對面玻璃屋
地址｜新竹縣竹北市文興路一段123號
交通指南｜ https://reurl.cc/Vy2kR",1579182746,"/siweispace/photos/pcb.2359838394054020/2359813540723172/?type=3&__tn__=HH-R&eid=ARA4rk9m-E9cPaIUyokgG-kFYa-N67M-HRfPw4maQzsWD-HvWPOqdTOQXG0W8qoWdAQ4prqDcCEk9i66&__xts__%5B0%5D=68.ARCmvjbcsVrwu5ewGwjc64OLbFmDfHbNL5rk9ubIfZv5zafGzvcl1rCzYmHWz8OZdcRp69iDYGrKHUnVM6EbhtVAq5dtWHutQ1PPFV1gLgRic-q4SUl7ZrbRxXunlu3OFzzAt7qtmRbVjcDTXkgHsCg_7VhxolKhsjbVgi3DR7Fluq3jKH_r6Eh6tQrWy3bfKUCyjGAdiWeitu8EMhavgSt53DCCVyrD4BHt0HTpK4T27fcgKMO6Q_wnVQBQhYLvnWXfdy8ykPWOccYAagBCekR2KKdhnk4DvpEKyhloZnJpgW4XjYtEv2WUy-F7Qh0-_SPoiDhMtzT_r_qbcVVh_2qkLw","https://scontent.fcgk22-1.fna.fbcdn.net/v/t1.0-0/p350x350/68329455_2359813544056505_1347869516121505792_o.jpg?_nc_cat=102&_nc_ohc=zUucNLgtTQwAX-1Hobg&_nc_ht=scontent.fcgk22-1.fna&_nc_tp=1002&oh=b84deddb2695833da556f28f8834540d&oe=5ED468C6",undefined,"Kirim Pesan",""
"https://www.facebook.com/siweispace/posts/2303382856366241","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579182741,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/siweispace/posts/2265048093533051","1561117766","| 老牛綠皮-多肉/手作/老物件 |
//2019/7月份多肉組合課程// 
Love Bird鳥籠&胖胖盆變身(盆器改造)

 —課程報名連結—(結束)
胖胖盆變身-造型的素燒盆，經由顏色的改造搭配裂紋的技法，植物的種植，達到復古盆器的氛圍。
Love Bird鳥籠-有別於往常將多肉植物種植於籠內的作法，加上垂墜植物，更添浪漫的氣氛。

 ✦授課老師：金剛老師

 。課程費用：
*Love Bird鳥籠-----1880元/人
*胖胖盆變身---------1980元/人
*兩堂課程優惠價--3800元/人

 。作品尺寸：
*Love Bird鳥籠-直徑16公分高度20公分
*胖胖盆變身------長寬高-35*16*20公分

 。課程日期：
7月18日(四)/下午13:00-15:30胖胖盆變身/下午14:30-16:30Love Bird鳥籠

 。課程學習：

 1.多肉植物基礎養護與繁殖 
2.整體結構的比例安排 
3.植物選擇與配置
4.多肉植物外鑲式種植技法
5.裂紋與彩繪風格變化
6.多肉植物組合種植
.......................................

 ✦課程地點：思微藏物生活空間

 ✦地址：新竹縣竹北市文興路一段123號(新瓦屋)

 ●園區備有停車場，學員課後可跟教室索取免費停車代幣。

 ■ 交通指南■內有詳細停車、搭車及教室位置資訊，請務必點閱此連結觀看：http://goo.gl/zPIFZX

 #課程資訊歡迎加入〔思微藏物Line@，請搜尋ID:@bch9565h〕

 #思微藏物

 #思微手感研究室",1579182744,"/siweispace/photos/a.572088296162381/2265048066866387/?type=3&eid=ARC3cMjhFZBCvlSzNUg6A2K4QFF66DwzAHuqn_pGr7ZY5JQZJREwQC1QYOfYQrGVcOk5CiZjDZG9gkaG&__xts__%5B0%5D=68.ARCjYTyL7sEPV9hqdVEAbFWiMdMzn19TsiM15a33tJVRlIKE7jE4mqH2KQ6wANOnwW83yzhzXBIoW1zAgnRs26JKomUkwNqEQaCyaGvIo8kkWRgMd4CMbPvtnv5GjSlULUGv1CmKWnRB2kPRkSSmOiF5A0yJmwcGtoCJ_U6bqbDhkjVOTVbHis_rTt7KjZNgmha_uVo8HYij5gKf3uy8VgrycdalhWGPyx5uW3SHOYXUL4N3ZbmkFM9ISW-wC8HmIx5Yde6s4cELlkGnvQHYvh_IDaLOZTwRuXrtxcbDH0pRAXXZUr_uq6U4A9z91ACYe2X9rnEIykOoaugpPskuH3OmOw&__tn__=EHH-R","https://scontent.fpnh10-1.fna.fbcdn.net/v/t1.0-0/p526x296/64656712_2265048076866386_6129613141136375808_o.jpg?_nc_cat=111&_nc_ohc=XMRQJjqkyfYAX_7S4IM&_nc_ht=scontent.fpnh10-1.fna&_nc_tp=1002&oh=e8534eea92a0be71c995ab11fd4f900e&oe=5E90E529",undefined,"",""
"https://www.facebook.com/siweispace/posts/2211589262212268","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579182746,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/siweispace/posts/2153887017982493","1555466988","| Enjoy today |

 //母親節永生花藝課// 
溫馨幸福的母親節即將來臨，
大家已經準備好禮物送給媽媽了嗎？
來手作一份給媽媽最特別的禮物吧 ！
獨一無二的媽媽，
當她收到你親自挑選、親手製作的禮物，
肯定笑得甜滋滋，獲得滿滿的感動 ！

 —課程報名連結—(課程已結束)

 ✦授課老師：Sway

 。課程費用：
1480元 (含教學、永生花材、花器、包裝及場地費)
兩人同行九五折(請於下方表單之姓名處註明兩人）
三人同行九折(請於下方表單之姓名處註明三人）

 。課程日期：4/27(六) 15:00-17:00

 。課程內容：
母親節永生花藝課特別選用雙色漸層的珊瑚粉繡球，搭配代表媽媽的康乃馨以及玫瑰、尤加利果、莓果等永生花材，組合成專屬於媽媽的母親節禮物。
永生花：經過特殊及繁複的工序處理，將鮮花經脫水、染色、乾燥等過程，選用日本製作、其染料使用食用等級無害染料。顏色、質感與鮮花非常相似，如同鮮花艷麗，在保存良好的環境下永生花可保存2-3年。
.........................................

 。老師介紹：
Enjoy today 是Sway的花藝工作室，提供花藝設計、空間佈置、課程教學等與花有關的創意諮詢和服務。

 Sway的花藝職業生涯始於CNFlower， 其後經歷MOT Flower、萬豪酒店與西華飯店花坊主任，於2019年回到 
故鄉新竹成立Enjoy today， 透過溫暖、簡單、平易近人，以五感體會季節的作品與課程，分享來自大自然的美 
好，在生活的重要時刻裡，藉由花來傳遞人與人之間的情感。
“從一株花、一棵植物培養日常生活中的美麗和幸福，期待人們在與植物的相處裡感受到某些事物，珍惜生命”（大自然）的心，也將由此萌芽，與自然和諧地共生共存。

 Flowers to the heart , Plants to the earth.
Enjoy today with flowers and plants !

 IG : https://www.instagram.com/atelier_enjoytoday/ 
facebook : https://www.facebook.com/atelierEnjoytoday/

 .........................................

 ✦課程地點：思微藏物生活空間
✦地址：新竹縣竹北市文興路一段123號(新瓦屋)

 ●園區備有停車場，學員課後可跟教室索取免費停車代幣。

 ■ 交通指南■內有詳細停車、搭車及教室位置資訊，請務必點閱此連結觀看：http://goo.gl/zPIFZX

 #課程資訊歡迎加入〔思微藏物Line@，請搜尋ID:@bch9565h〕
#思微藏物
#思微手感研究室",1579182744,"/siweispace/photos/pcb.2153887017982493/2153886707982524/?type=3&__tn__=HH-R&eid=ARBxXDVT4tFzBgwJomairSPQR1iVI42bbk29MMKSuhYpfkT3qxDBAt-HyBpbPtasjNnkz8-48BGMnd-D&__xts__%5B0%5D=68.ARDIqernUpHDBUzJIltiXbC1ss_uZr9rk4_Zmhop2xrFYhoS0g92sshbhUXclYWkdkrU1FJw4YN4fqN85i0As9uh4kK-d_tLrLswIJtxswUJw6GU8E7jjh5t93rl8pE7_QyukLjVhP7XXciVrhb3Fb75PCs1Se1qA5TuFV8_YOXQ8oii86pB6mLwebZHuOr9R9hSWy_JyWbIBncKJ6LOzcZ6J82-ztc9pazhrKlRoKuPKKS-suzufU-hBM42xz9v0v6DpVqdvKUUDemLCiI788rkvK2YXrKWkU1j5lF-NC_JRyw8qXG1nVFxh5h2pE_5PP3ASmSNhC8qnMOCyf2bPgoVcQ","https://scontent-bom1-1.xx.fbcdn.net/v/t1.0-0/p526x296/57119606_2153886711315857_7412973270674178048_o.jpg?_nc_cat=104&_nc_ohc=Lq9HC3boyogAX9bMrmF&_nc_ht=scontent-bom1-1.xx&_nc_tp=1002&oh=6e1e09d61045b6090f1216655f37a3dd&oe=5E987A87",undefined,"",""
"https://www.facebook.com/siweispace/posts/2139313419439853","1554613175","[ 思微藏物生活空間。5月課程 ] 

 | Mako's Handmade |

 // 多肉復古花窗 //

 這次Mako老師在市集推出的復古花窗作品好評不斷
詢問也很高，老師特別安排5月份來開 復古花窗 課程
讓大家可以自己來完成兩個花窗磁鐵作品🌼

 —課程報名連結—
私訊 Mako's Handmade 粉絲頁報名

 ✦授課老師：Mako

 ✦課程時間：
A. 5/2(四) 14:00~17:00 
B. 5/4(六) 14:00~17:00

 ✦課程費用：750元/人

 ✦作品尺寸：約5cmx7cm

 ✦課程介紹：
1.木材、黏土、陶土的運用 
2.製作一顆黏土多肉 
3.仿舊石牆、木窗上色 
4.乾燥花與黏土多肉植物的搭配方式 
(可完成 兩個 花窗磁鐵) 
___________________________________

 ✦上課地點：思微藏物生活空間
✦地址：新竹縣竹北市文興路一段123號(新瓦屋)

 ●園區備有停車場，學員課後可跟教室索取免費停車代幣。

 ■ 交通指南■內有詳細停車、搭車及教室位置資訊，請務必點閱此連結觀看：http://goo.gl/zPIFZX

 #課程資訊歡迎加入〔思微藏物Line@，請搜尋ID:@bch9565h〕
#思微藏物
#思微手感研究室",1579182749,"/siweispace/photos/pcb.2139313419439853/2139312926106569/?type=3&__tn__=HH-R&eid=ARDxckJsl5rPOk2AamsKEppOylzOaeo8di80mfwf8gLcatcHkogZ8Gg4MsXSPSR3uGHE3D9zQ130HvqX&__xts__%5B0%5D=68.ARDwmQScof199hrO3LUKuYRb6BMOHhO9pbbb77n3W51AVm8VxqGfmG8azvrvOOD7jQhrhCpgd74xb_C8VloWLYlXcfUeDqYvSwLlPIpjeIEeqoOl0NpybwyxJ_X_GtMjZ1Eydrt3csn1K_eqE1nHhjBunirY19cfYSa5B52G7oDbCgQMgqaDk88H2HRDCWzQpPHugNMwD_vpRoc4tRxFLDAtzRIy3tpUtsX3_d_DRsItwMxo8wKPcJrc0LJOzoop2BkRlyMnJWtxOKxT9mI3WHV7WqqI-8Tn8wlgNDEaCDeXyGZCQQBdQ1HSCowoEy7pXjR0TYmXo7QxuKjHesaF5Jex3g","https://scontent-del1-1.xx.fbcdn.net/v/t1.0-0/p403x403/56659945_2139312932773235_2079734292707016704_o.jpg?_nc_cat=106&_nc_ohc=8lwxTkPWmDgAX-mLKsm&_nc_ht=scontent-del1-1.xx&_nc_tp=1002&oh=08d9f20e09f7a66aded8ebc5a66d530d&oe=5E9F8EA9",undefined,"",""
"https://www.facebook.com/siweispace/posts/2141090035928858","1554716649","[ 思微藏物生活空間。5月課程 ]

 | 花間手作．hanamaker |

 // 立體﹒花刺繡課 //

 —課程報名連結—

 
春暖花開，走進花園沐浴在美麗的花海之中，是件療癒的事情。老師藉著花季創作新點子，教授以繡線製作立體花冠、以編織技巧做出花托、以立體刺繡技巧做出葉子，讓您從零開始製作一枚簡約完整、氣質系的立體﹒花刺繡別針。

 ✦授課老師：Wendy

 ✦課程日期： 
★假日班：5/5 (日) 14:00-17:00 
★平日班：5/10 (五) 14:00-17:00

 ✦課程人數：6人開班，10人滿班 (額滿即止)
✦課程對象：成人，初學者，對手工刺繡有興趣的朋友
✦課程費用：1350元/人 (含一份材料包、研習、工具借用、場地)

 ......................................................

 ➤課程地點：思微藏物生活空間
➤地址：新竹縣竹北市文興路一段123號(新瓦屋)

 ●園區備有停車場，學員課後可跟教室索取免費停車代幣。

 ■ 交通指南■內有詳細停車、搭車及教室位置資訊，請務必點閱此連結觀看：http://goo.gl/zPIFZX

 #課程資訊歡迎加入〔思微藏物Line@，請搜尋ID:@bch9565h〕
#思微藏物
#思微手感研究室",1579182740,"/siweispace/photos/pcb.2141090035928858/2141089772595551/?type=3&__tn__=HH-R&eid=ARBd2e_3OHQtu351AamboNls1YDP5VFPcGCY545ajJXz2QgvyVprNZ78j3iih3nXLA1gJMhKfYTXbCwQ&__xts__%5B0%5D=68.ARCkTHNcq6Qdyv9xEpcaUdpTW4oqwqy93dap9ufL_WX9dgTakTHPMdbCCSM3rtS_AxDd9TooXLvqkQQGaXf8f4pKdgU8_jRxZTJQ0cEF0vM8MrxPteY6THuA9YdZx1SIJYIMmLLDjgeehaRcB09D6YyjagVgT2V1WY1ZSbZou9dlvZVyHX-N6vGXtQ-NqlKgZep7EZ2kGf2c0lQysujoHPj-LdOuPGuTOQY4mNGL4SLB6nXyhNQdAtM2m4ibgRsZGhbU87q4aWjVuRrSxdhgc4rw3dXDEkU-C9Olhh1uQ1JsQypIBOGRrG2LqVrz1j-cRNQxDuKyFgSgYHbItY9sdyOyZA","https://scontent.fbkk10-1.fna.fbcdn.net/v/t1.0-0/p403x403/56567956_2141089782595550_4311797662220288000_o.jpg?_nc_cat=108&_nc_ohc=ZmrWrQxxiwgAX80joe9&_nc_ht=scontent.fbkk10-1.fna&_nc_tp=1002&oh=e83eeb7b14b7b9e3b21e19ccffd1e833&oe=5EA09230",undefined,"",""
"https://www.facebook.com/siweispace/posts/2124954964209032","1553756014","有陶一家 小豬系列來到空間囉！
3隻小豬4種造型，每一款都超可愛~
好想通通打包回家~
歡迎到空間選購，沒有郵寄服務唷！

 #有陶一家",1579182740,"/siweispace/photos/pcb.2124954964209032/2124952894209239/?type=3&__tn__=HH-R&eid=ARDOhY-KYfeJnxte1HKyf6Gt9xQxDhJL_8gxVLaclHUrWyDfVSGa6UG9LerCV11mPYfyFIgzJpQ3ejjX&__xts__%5B0%5D=68.ARCuUmqnboUTUSwxaJCFTGfztg3ZuWcA10bycbbkqs9ynauDKtgFHOj_4CVvnVlHXIGA4YujZiSotIN-3znOgYe_LKIt6V8JcVmiup84f_2T7546nGX2Q4LsAJWmm5q-7IeETk5SKJuEyNJyxouArPujP-vSdgGPfvMsayTOGWzxhShlzSEzS9S_qvZbWXschtkc7vRYmoD-QUBO_KIT1IzadZKtOeQYQjaJUt3dBiJAbNZurUGtVlQoFZyzDhD2BReTyAZ5F1XQERTgQQ5U3pDAfiXev-xkTd0kvDArXO5SUPtHpORqCwYbvpn9FeuTrXpwDvCMWHgYsaxKTxQ0MheCzA","https://scontent-lga3-1.xx.fbcdn.net/v/t1.0-0/p526x296/56162110_2124952900875905_1030367859810762752_o.jpg?_nc_cat=102&_nc_oc=AQlOc60vSSuahioS4SYQbbt0Lrumvt9MAdmxdAFeNQtEQrYH0QQFxToNyuPhzU7NR2E&_nc_ht=scontent-lga3-1.xx&_nc_tp=1002&oh=3902273c06d12b16d68c928df726f0d1&oe=5E97C740",undefined,"+4","思微藏物Product/ServiceSend Message"
