url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/studioofgene/posts/2387797574618180","1563154157","好書今日限時54折 👍","1571434788","https://l.facebook.com/l.php?u=https%3A%2F%2Freadmoo.com%2Fcampaign%2F2019%2F7%2Fmind%2Findex&h=AT1_UAaGY8V5BqjOxOdo1yphdM0PWpCd24SjGnrvS7Mp9RPwO_FmY0xeeoSNkbznUSApXAs28YcN3gxLtuMwSWf4QdF_Dqh4jE4XazwyVshhlJ6sDBzfOPUtzTXKrVeX9lSwo2MjXceTWWFbasMIttWEbhEU0vJO-oSy3YpXGh87JNEfXDOND2lP8_I27idK-fyiYFeBROaBK7MnssVTh3EHRHEuqQiMGTG6jxPam6-oLC9gCkODfzGK1v0_mSzLc2trjmbo59My1L9hFlPahFbHAd_PY9OIfMVn3i3grajjtLHMbxW6n54it1nG3EH0f-KzkGQwhSIeyZLJNfAab5bBgcWC1rxcHac6vRJ1X0tx-xk_w7nrQNgq2d1QYePEnK-HB3QcspnWqMCPjeFfd9irI_mcCicPM3yzSwphGZduYFQVLlWa8muGTWinShjvdsdc5p_9fADwOx0oOdXI2BYhCiRGoFF-2UXoX2mzZhkKm2d0jWQyI0JWsTn-LrvYMJWlU8MFi0mrKITEL6hTuVsk4ffPbs-03JD6P2P3n6aZYZPhoipASjkGEU61S1Y4V0JXoHpbqDmMOzYjEtrjygIityga9W4mnnGo-HcwlBRwB42Jtjw5KUd87TQTT-cB7-Z2NJY8pY0uXXK5","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQBEMO8n7AfRXTyv&w=540&h=282&url=https%3A%2F%2Fcdn.readmoo.com%2Fstore%2Fevents%2F1056%2Flogo%2Flogo.jpg%3Ft%3D1562834787&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB2N3sBJJhGJ1YU","No photo description available.","現代EQ情緒之父X腦神經科學權威：這是即將改變你生命的一本書！ | Readmoo電子書","7/15，《平靜的心，專注的大腦》限時優惠54折！"
"https://www.facebook.com/studioofgene/posts/2540075026057100","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579323827,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/studioofgene/posts/1558069257553674","1489472962","（講座分享，歡迎轉PO，若不妥請刪除！） 
3/25（六）：【中西文化對談系列 免費講座】從業障到根器的轉化：韓劇〈善良醫生〉的哲學省思。
報名網址：http://transform8619.pixnet.net/blog/post/340137273。參加者請記得報名，才方便準備講義喔！","1571434788","https://l.facebook.com/l.php?u=http%3A%2F%2Ftransform8619.pixnet.net%2Fblog%2Fpost%2F340137273%E3%80%82%E5%8F%83%E5%8A%A0%E8%80%85%E8%AB%8B%E8%A8%98%E5%BE%97%E5%A0%B1%E5%90%8D%EF%BC%8C%E6%89%8D%E6%96%B9%E4%BE%BF%E6%BA%96%E5%82%99%E8%AC%9B%E7%BE%A9%E5%96%94%EF%BC%81&h=AT0q9E9f1VKs5G_PIP88JWtYi2Ca5g0Q3tLXV4u7Vrzb93tCqqr_HYryl7QVAe_elD9J4VdSsuFQOc-nhLY878K_DElevz_GzObECfznlJy06-3_xQS3zqMn_oBsCylLq3kPDOzkuPY_0uGxaOmhHod749tWXheel5j33eDNSUxpYQ","https://external.fhan2-1.fna.fbcdn.net/safe_image.php?d=AQAyvTGpcx4s8MrP&w=160&h=160&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FF2O4ApS3YL4%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher_square&_nc_hash=AQAMFe50E8A5NRtU","Nessun testo alternativo automatico disponibile.","【中西文化對談系列 免費講座】從業障到根器的轉化：韓劇〈善良醫生〉的哲學省思 @ 貞明讀書會 :: 痞客邦 PIXNET ::","【中西文化對談系列 免費講座】 從業障到根器的轉化： 韓劇〈善良醫生〉的哲學省思 活動說明 真正的勇敢不是不害怕， 而是面對應該要做的事，正確的事， 即使害怕，還是勇敢去做。"
"https://www.facebook.com/studioofgene/posts/2532191816845421","1570104406","在這個AI（人工智慧）盛行的時代，高科技帶給我們的矛盾會不會愈來愈多？面對快速發展的現在和很快就到來的未來，我們該如何是好？如果我們在這個時代，還用了陳舊的地圖來指引方向，是會有多悲劇？
 

 歐萊禮媒體（O’Reilly Media）創辦人提姆．歐萊禮（Tim O’Reilly）的《未來地圖：對工作、商業、經濟全新樣貌，
正確的理解與該有的行動》（WTF?: What’s the Future and Why It’s Up to
Us）就是要告訴我們，別再用舊地圖在未來尋找方向了。

 
在美國，只要有接觸電腦資訊的人，很難沒聽過歐萊禮媒體，那是以出版電腦資訊書籍聞名的美國公司，出版過不少聖經等級的工具書，也是出版開放原始碼書籍的先驅之一，常承辦許多開放源始碼社群的研討會議。歐萊禮出生於愛爾蘭，在加州舊金山長大，是網際網路時代最具影響力的先驅和思想家之一，也是推動Web
2.0、開放原始碼軟體、政府資訊公開、自造者運動等科技革命的先鋒。 

 
在大家對AI會不會搶走大家的工作或者毀滅人類文明都莫愁一展時，歐萊禮主張，我們該抛棄過去的舊地圖，用未來地圖對工作、商業、經濟全新樣貌提供正確的理解與該有的行動。他指出，現在的新科技如AI、雲端平台、區塊鏈等等，正在重新形塑我們的世界。
 

 「WTF」在《未來地圖》當然是指「What the Future」，可是略通英文的阿宅都知道，這在更多人的認知中，是句髒話「What the
F..k」。據說有個阿宅的老爸在臉書中強行加了他為朋友，他衝動地在動態中說了「WTF！」，老爸問他是啥意思，他機靈地回老爸說是「Welcome to
Facebook」。難怪年輕人和金孫，都抛棄臉書改用IG了。",1579323821,"https://l.facebook.com/l.php?u=https%3A%2F%2Fskygene.blogspot.com%2F2019%2F10%2Fwtf.html&h=AT3eBFPXVoaCrJSwW9Yr198qc7Edkyjx6_F8merYahjn_RpkwcI910Rxo_tbAxhRMHzUgCyMvs0pMq974R0wz69MjRu8BE_6LRqglgf4Tm7x98rQwUi0FX0ladc-OMBU0jDB5kZc5XrIaK20mg_Apc8HWhIvLzG8K4Ot-7tWUk2Am-JgP01um-HD5IvdPEscd32BnUYVoPNydpucPJ_7wZIUETmaMEFZ3p2IW0i1eosW81sJAD9yJb74d_zDJZ4JTSRzstKBt4QGCEaMFnC5Y5K6Vm6vDUqntat2lrzSX1_kvFsdHy8q_c8rU2P8MUcSs9CfU01ry3t6d6Mj1iMvDoW0udAUHArJ4pZdrbFQrk73H_ieYKsGWxAy1S9py_UZitIO1g607LgB6K9ujv3DDCirFcUb6mABpxwzcK7j1D_UlsOG1o5awB-aX0R1I9Pyp7e73SkVC_aCBiG3xs_7cF_gk1vBNt_SdOTF_WPgvhNKH5vRA3LeYNIPrk2b76yJYJKOp_j57ifQRYyFLgfDRklrr-GJUiMuhaNRadt1jiKnTuX5AjOKnNI0kbKnkXz0dIpROXCcv5dMesP_xq3997CCw4LCEilMZ10ewdmecirPvQ8a2qhZ0VeF_-c-SveYutjvDOi-gZOQrNz7","https://external-yyz1-1.xx.fbcdn.net/safe_image.php?d=AQB2fNS6ijyYP7_a&w=540&h=282&url=https%3A%2F%2F1.bp.blogspot.com%2F-sy5fShR_Ne0%2FXP-252kkBMI%2FAAAAAAABMtM%2FtS1SOTm1kE8oTQH7Yh5eXtUyl5cP8x8fgCLcBGAs%2Fw1200-h630-p-k-no-nu%2F0010808558.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCuLOjn0DF1v8uF","No photo description available.","現在只要拿出手機，很多事情都能搞定，包括通訊、上網、聽歌、看影片、玩遊戲、行動支付等等，在全球各大都市叫車、訂房、訂機票，全都不是問題，宅在家裡也能輕鬆叫外賣，還能追蹤送餐進度。我們校園內用餐時間，Ube...","skygene.blogspot.comWTF的未來地圖現在只要拿出手機，很多事情都能搞定，包括通訊、上網、聽歌、看影片、玩遊戲、行動支付等等，在全球各大都市叫車、訂房、訂機票，全都不是問題，宅在家裡也能輕鬆叫外賣，還能追蹤送餐進度。我們校園內用餐時間，Ube...現在只要拿出手機，很多事情都能搞定，包括通訊、上網、聽歌、看影片、玩遊戲、行動支付等等，在全球各大都市叫車、訂房、訂機票，全都不是問題，宅在家裡也能輕鬆叫外賣，還能追蹤送餐進度。我們校園內用餐時間，Ube..."
"https://www.facebook.com/studioofgene/posts/2542212849176651","1570541493","我們總以為在現實世界中，和夢境相比，我們所見所聞的，都應該是真實的。姑且不論假新聞，即使你親身經歷和親眼目睹了，就一定是真實不虛的？神經科學家羅托在這本書中，使了不少詭計，讓我們一次又一次上自己眼睛和大腦的當。
 

 
當我們以為所有人都應該上同樣的當時，2015年網路瘋傳的藍、白洋裝照片又來落井下石，我聽過很多理論在解釋此現象，可是迄今仍困惑為何有人看到的是藍、黑色，而非我看到的白、金色，果然你的錯覺不是你的錯覺。
 

 
這個震驚了好幾十億人的洋相⋯哦不⋯洋裝，顯示出我們的大腦，與其是讓我們體驗世界本身，還不如是先過濾掉許多「雜訊」，然後建構出一虛幻的世界。我們與真實的距離，從不是天擇真正關心的。只要方便我們能夠快速找到食物、躲避天敵、邂逅良偶，我們的感官就算足夠精良了。當然，這樣的過濾加上建構，會讓我們產生許多「有趣」的錯覺。
 

 
生活在舒適圈中，是能令人安心的，可是經年累月後，換來的可能是固步自封、墨守成規、抱殘守缺。我們自以為很懂「山不轉路轉、路不轉人轉」的道理，可是現實中往往更多時候是在鬼打牆的原地踏步中蹉跎歲月。旁觀者清，當我們隨著羅托設下的「兔子洞」進入了一個奇幻的世界，我們自己就不斷地在當事人和旁觀者之間作身份的有趣抽換。
 

 《慣性思考大改造：教大腦走不一樣的路，再也不跟別人撞點子》（Deviate: The Science of Seeing
Differently）不僅僅是本自助書，雖然羅托（Beau
Lotto）也很想要把方法及技巧傳授給我們，同時也是本科普書，因為唯有透過瞭解了箇中原理，我們才能心悅誠服地受教。羅托也把他二十五年學術生涯的菁華濃縮在這本書中。雖然成立「怪奇實驗室」（Lab
of
Misfits）並且在各大博物館中進行裝置展覽的不太像是科學家的作為，但這些經驗也讓羅托跳脫了純象牙塔式的視角。書中許多「感知神經科學」（perceptual
neuroscience）的案例令人大開眼界，也讓人跟著一直追為「為什麼」。",1579323828,"https://l.facebook.com/l.php?u=https%3A%2F%2Fskygene.blogspot.com%2F2019%2F10%2Fdeviate.html&h=AT1BKUvJ5mDIBAkVRW580idS2S6Prb4-arqHPFMsosQTa0MKCHPxLzjeMeLSBQlHxYkvFyDiqw9q7lqLN04B_7rb2iKOYt86oQZ-abp6zBCNrHBTR5q9DlFDTvWoTHElG53o8yvmWMXAJgccQEkxogbxC-yZm3_06Yq65ypZD0o_kH973sEaJy9isM00MauppKLNAY9MTeRjbCnFYwXCbOGyVPD9UtWuMZDkr1HXA9EqHVKS03xXgQDZuzGeIPldZsRFo5EPXFevglsdTHfI7mRQffS37k5dcY_Gm5G1PugnXvQEFEFzhrUYSB9mzyEP-UtlXmdOwVrXq9bN88S3DXpOT7MuDoC1IqaoeQ_TeBn_MHdWUOHWWOKbPwsxuYD4Yjd7dSP2eX6GLC_jsNxQ8MJnUBpi3_jH2iK_TSI4j2mQcgb0ISLkEyuUm8Cxw4F7TWB-hsolJbHAO-kjjM1E2pg8LkunW98LiKssJhGOFx-V-icxW9kHnF5CxQFphShwLN0cQHcyP7pU8wFzzWWtBKb3U3a96cv2iyaeN-hz0_cvizyiTGG6kNe7uBaSTXx_lw7P-B573O-vClZFMpsPh_QxigPVeP0aHnfwQcUXFO33OJ-jVBvVNh_Ckfeo4AaNKBXeDnuCAEZ5kr-T","https://external.fyhu2-1.fna.fbcdn.net/safe_image.php?d=AQCMdiL1cYfU9mvD&w=540&h=282&url=https%3A%2F%2F3.bp.blogspot.com%2F-tcaAhPmuW84%2FXZXsOVbqj1I%2FAAAAAAABNuY%2FssgHm7TdmSUg1S7XaCIxxbWeAJTLzn3nwCLcBGAsYHQ%2Fw1200-h630-p-k-no-nu%2F9789571379449-2.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDzNxrszlRjDZn7","No photo description available.","你看到的世界，和我的會有什麼不同嗎？ 應該會是大同小異的吧？否則我們根本無法建構出共同的想像，並且依著類似的原則在社會中生活，遑論要彼此有效溝通。 然而，我們很多時候都想要讓自己在這個世界中活得特別，甚....","skygene.blogspot.com我們與創意的距離你看到的世界，和我的會有什麼不同嗎？ 應該會是大同小異的吧？否則我們根本無法建構出共同的想像，並且依著類似的原則在社會中生活，遑論要彼此有效溝通。 然而，我們很多時候都想要讓自己在這個世界中活得特別，甚....你看到的世界，和我的會有什麼不同嗎？ 應該會是大同小異的吧？否則我們根本無法建構出共同的想像，並且依著類似的原則在社會中生活，遑論要彼此有效溝通。 然而，我們很多時候都想要讓自己在這個世界中活得特別，甚...."
"https://www.facebook.com/studioofgene/posts/2535732983157971","1570260189","今日（10/5）限時NT499😀",1579323829,"https://l.facebook.com/l.php?u=https%3A%2F%2Freadmoo.com%2Fcampaign%2F2019%2F10%2Fstevejobs%2Findex&h=AT2e9wrv6qpEa_IslU1-EcVv8KzTClDUw-qG2NYxbXa50R3HcJprpZONHYWtmQVOh6C010anDpti6Pi4I3Ta9mgGZle-M9Px7VCWhrCTG4xHhBbffLOei8JDA0kvobHzNYtS_zeHWEvWbc-tXZ_xxpRpwqDpvthehoYlxTJwOEzfPBg3FhPWYKXGs9Sf7vIPa_dnGLHnWIwCHmeWt6q4X5fdH_hROj-GX9rSHolSDoEkazSpDxLy_6iwKLFroG2AISwxVCapc3BHRT1Kbzjy5DENoqzBzjOiwZvhM-GWtG2lRCWmcxGC_ouMs3pcarBY1XjI9N5B9avIlra7lKTs9pv7of9ROqKwh2XyzhaETMOElroLa5FA5G6idDpELrRyWiAQ60WN-AuTsPtVrt-tHHKFk9wjBt9l5FvdyVhbkrqji0RvMYQm8TReO4QpATyKW0Cepo2vw2PTU7bajJMuMHJoFcbpbSSkgIyyJfKVsJV6cz0wiCkgp1lZFS7TMaDujwQAWlRNJdMvDJrKoStqheTIfG5Mqlvf2WuTKf0iR8B_GW5xf58HhtIGmM8FIaZBGDEN1PqTRHunO1YNvsW_H4PFlH0QGQ87Aae5WY8D5a--vI8-xyxq2BUF02okQXVHQvjcAKU3xAcyhDMy","https://external.faep16-1.fna.fbcdn.net/safe_image.php?d=AQAQtNoI1ClAURzC&w=540&h=282&url=https%3A%2F%2Fcdn.readmoo.com%2Fstore%2Fevents%2F1186%2Flogo%2Flogo.jpg%3Ft%3D1570164234&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQA3-Vt2VyuEdmch","Image may contain: one or more people and text","10/5，《賈伯斯傳》限時紙書62折～","readmoo.com向賈伯斯致敬：因為賈伯斯，世界變得更美好 | Readmoo電子書10/5，《賈伯斯傳》限時紙書62折～10/5，《賈伯斯傳》限時紙書62折～"
"https://www.facebook.com/studioofgene/posts/2502993269765276","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579323826,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/studioofgene/posts/2561489557248980","1571313690","小時候想嘲弄朋友，會說「你應該去看獸醫」──這麼做當然是不對的，而且面對不會說話又形形色色的動物，獸醫的本領可不輸人醫。 

 
不瞞大家，獸醫也曾是我童年時夢想的職業之一，尤其在電視上，看了一部講述動物園獸醫面對各種動物的疑難雜症如何對症下藥的紀錄片後，我就開始幻想自己也在動物園中cosplay獸醫，和毒蛇猛獸玩近身肉搏和打針吃藥的遊戲。
 

 
當然，這和諸多童年時的幻想一樣，都成了回憶。博士班到了美國加州大學戴維斯分校，有公認全美最強的獸醫學院，不少優秀的台灣留學生在獸醫學院念博士班，於是認識了幾位獸醫師，聚會時也會聽大家聊到獸醫師的生活。簡而言之，大部分獸醫師的工作似乎不像紀錄片那樣精彩刺激，這也算是長大後夢想幻滅的一種吧。
 

 然而，當我讀到這本令人捧腹大笑的《獸醫超日常：犰狳、鬃狼，有時還有綠鬣蜥，《侏羅紀世界：殞落國度》特聘獸醫顧問的跨洲診療紀實》（The Travelling
Vet: From Pets to pandas, My Life in
Animals），立馬重拾童年幻想──原來自己的工作和生活精不精彩，是自己的心態決定的！",1579323819,"https://l.facebook.com/l.php?u=https%3A%2F%2Fskygene.blogspot.com%2F2019%2F10%2Fthe-travelling-vet.html&h=AT3_wxoEax2kiYuYyb3MNBbpIv5igSk6h0_DCMvIAdQxEencQjNtLgfXtnMM54IuTf5VtQdXSxm_vjfs8OVF9gzkUNrmS6xfrF6LZ9If6dlLhpShnGOuqfi6T2du88MCHgMQiT_SsYeCgk80_JUo1WP6PYIVD3UmfozBCRoRmed_KNg8XeIN5eHuSfbgMYtzGZ_t3qU7Tl6Tw5vYehEDRuvj24xtVyHNmGdPlvEi_UjdoRWy-qP08kT_Zk76xONSBNyJsyc6NyVsPNtz72pUBEds-KOfPbC-IFfoFB1Fx3a-a4kSPNny5c_lQFnx3-4XKWWGt6mBxdkgW3iWdDgBJ1Iv8ATowK1XpFJbevgcRClWaEtbdRGwfUXDnK1tqzMUb4KFQmbSpd4BBhMLW53tnbUgYnSfQoxFtrmoKZb0Ogabw8HDd7U7mxyHda4r42-Tf3A3dWSQpgAaEQPFVuehaKluP9Y3xHmhi-LtQKAadMF4EWiA8q544KcY-aQ7APB3TGEvQCsXIz4I0c_aoM_ow5QsPYmXJNUXYOj_x6ac1j25w5BuAG548r9NZ1Vm1DWbTs3RsUF2kcjNf0jvUnjLf1QaQ-xJFL7tn_yylSUK9cj4WYTmQRZT4khJ4TWFernmhux4nXBipj5dCYbA","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQA5RNuIC9ErfMY9&w=540&h=282&url=https%3A%2F%2F1.bp.blogspot.com%2F-tQPhsqem1kk%2FXRS4JW1FwAI%2FAAAAAAABMy8%2F1BmFsrR0slMSLuk6c8RS5bLWd43PvX4dgCLcBGAs%2Fw1200-h630-p-k-no-nu%2FgetImage-3.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQA1P_ke8bJdf7tQ","No photo description available.","小時候想嘲弄朋友，會說「你應該去看獸醫」──這麼做當然是不對的，而且面對不會說話又形形色色的動物，獸醫的本領可不輸人醫。 不瞞大家，獸醫也曾是我童年時夢想的職業之一，尤其在電視上，看了一部講述動物園獸.....","skygene.blogspot.com旅行獸醫超日常小時候想嘲弄朋友，會說「你應該去看獸醫」──這麼做當然是不對的，而且面對不會說話又形形色色的動物，獸醫的本領可不輸人醫。 不瞞大家，獸醫也曾是我童年時夢想的職業之一，尤其在電視上，看了一部講述動物園獸.....小時候想嘲弄朋友，會說「你應該去看獸醫」──這麼做當然是不對的，而且面對不會說話又形形色色的動物，獸醫的本領可不輸人醫。 不瞞大家，獸醫也曾是我童年時夢想的職業之一，尤其在電視上，看了一部講述動物園獸....."
"https://www.facebook.com/studioofgene/posts/2549421275122475","1570847770","今日六六折 [https://static.xx.fbcdn.net/images/emoji.php/v9/t7f/1/16/1f60a.png]^_^",1579323826,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.books.com.tw%2Fexep%2Fassp.php%2Fgeneng15%2Fproducts%2F0010794593%3Floc%3DP_six_prod_home_001%26utm_source%3Dgeneng15%26utm_medium%3Dap-books%26utm_content%3Drecommend%26utm_campaign%3Dap-201910&h=AT3rbs7qFNS1J8LiNY3ILOdr4fdDfHhAVISQf6HrxKcMHhQ3rc-xHvCm2WM44UwFgq02m-Cfoq8d2Pl-Meyyo3rQUGBqXeEpBiaJqRG276Dm0McCkT8yXliaFvAGjLs-yyGEjvpkBfB-dz5dN5_otocy3DX3JPqCnuPu6fSrd1xsud2Aic8Bt_BPgudoG1156IEZyA9Yym1eKI1oCtw8WrU5L3RVUsGECcpoJz-JHm6bgpjTUxz5CvPIRvDuFRf8Wb21UXH76BfKsrn_WSZkO4uATnd1wqiYm0-FbOsq3ox30lmffDRtBAIBbSQpydSfjd7ARHCxSQAa5G83flfxs3X0cPaElCLFcXy7zl1HWZQZ1L6JrqyC1GN_fx7G3G7xZRNbQfQvU4Oucw-W8un2n2SlHu1rHEsQMAm4GdvgSmVj9CuxJ0b1hOAwBA8Wen_nSy3_Sz9q8zVNf8bgMLHwqC7SaOkQOx7V3HPdbopPEXSAyr0Lb-0cAvkwM0fL1ap8013FmyqTISlKjwA5qs-aa5hfhKprTmNZtX6ikdrX1cNbHuxCwWjHlmY_CVmqnA_8qOG__i_T82c_c6HjDR6gw94VLh13vPw31N1LdbnNGPkiKOND3C4NQj6AbLl3ev-y92HcM_hw7a_oX4lv","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQBNbohuhgQ8Bba4&w=540&h=282&url=https%3A%2F%2Fim2.book.com.tw%2Fimage%2FgetImage%3Fi%3Dhttps%3A%2F%2Fwww.books.com.tw%2Fimg%2F001%2F079%2F45%2F0010794593.jpg%26v%3D5b59b0bc%26w%3D1146%26h%3D600&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCB4dGC8j2LfIhf","No photo description available.","書名：元素週期表終極圖鑑（附贈精美元素週期表海報）：118個化學元素的知識大百科，原文名稱：The Periodic Table Book: A Visual Encyclopedia of the Elements，語言：繁體中文，ISBN：9789578722323，頁數：208，出版社：大石國際文化，作者.....","books.com.tw元素週期表終極圖鑑（附贈精美元素週期表海報）：118個化學元素的知識大百科書名：元素週期表終極圖鑑（附贈精美元素週期表海報）：118個化學元素的知識大百科，原文名稱：The Periodic Table Book: A Visual Encyclopedia of the Elements，語言：繁體中文，ISBN：9789578722323，頁數：208，出版社：大石國際文化，作者.....書名：元素週期表終極圖鑑（附贈精美元素週期表海報）：118個化學元素的知識大百科，原文名稱：The Periodic Table Book: A Visual Encyclopedia of the Elements，語言：繁體中文，ISBN：9789578722323，頁數：208，出版社：大石國際文化，作者....."
"https://www.facebook.com/studioofgene/posts/2343681999029738","1560952861","【溫故知新】國民黨籍鴻海董事長郭台銘6月15日赴吳鳳科技大學畢業典禮致詞，他將自己的工作經歷分為3個20年，並提到年輕人畢業後最好失眠3天去思考人生，倘若畢業生們每天工作16小時不放假且持續45年，「未來將會超越我！」；此番言論被轟「慣老闆」。

 
台灣工時之高，世界有名。根據勞動部和經濟合作暨發展組織（OECD）公布的資料，去年全球四十個主要國家中，全年工時最長的榜首為新加坡2,392小時，其次為墨西哥2,228小時、哥斯大黎加2,216小時，台灣以2,134.8小時居第四、南韓2,124小時排第五，過勞死的發源地日本則以1,729小時排名第23。

 
從這些數字來看，台灣人真的很拚，比經濟實力更強的日韓還要拚，果然很崇尚「愛拚才會贏」的精神。可是，在知識經濟主導的時代，創意比蠻幹更重要，這種拚命三郎的精神，真的有利可圖嗎？再拚，拚得過電腦嗎？現在連圍棋高手都不是電腦的對手了，在很多工作可以自動化的情況下，我們難道要加長工時、減少薪資來跟電腦或機器人對著幹嗎？
 

 難道稍作休閒就等於糟蹋生產力嗎？這本好書《閒散的藝術與科學：從腦神經科學的角度看放空為什麼會讓我們更有創意？》（Autopilot: The Art &
Science of Doing
Nothing）就是要告訴我們，事實上正好相反，如果我們想要更有創意和投入工作，我們其實不該只學會如何高效地工作，也該學會如何適度地放空。無所事事並非奢侈品，而是更上層樓的必需品。放空不僅有益身心健康，還可以是提高生產力的關鍵，所以請放心的放空吧。

 延伸閱讀：

 放空的科學與藝術：https://skygene.blogspot.com/2019/04/elastic.html","1571434789","https://l.facebook.com/l.php?u=https%3A%2F%2Fskygene.blogspot.com%2F2016%2F06%2Fautopilot.html&h=AT2d16GVVSe22MLGhBS49d31CxS-bLJw5l5mkZqyhr04dduCDsWlzHSBO5yi0oLjw1IWZzijMIS3WSreN5lSLZfODgy0mwDzVXbp6ZYScDVXlWrzVXYP_h9R_mqc44AOR7oKjD2Cw4rXgnpyz7zmZj_4krILVW_C50k4LbvFK7hrPpr9eE6Fa_fZmrdgsQk_aAMVerff6MNkE81qL_CXsgoMBw-udLFO39uy7Fa795aVUo8oMe7S9aSsoSK8IWlel_kb_UEcCXaWlse2gCqiq2GS6r9mxMR_un4ROmQsWzsBLXbMxowbRFNV6Pef5eOl2e7LsByVTTQBGdXxAza1Gng2ijQwU7DHKhEDx7VJGAktoeZx-vpwFznNWo2y3ItJbHM0s7GqjTI2PiPE59rfKEpZqlPOqzIbJxexVe6yDEE-9dOzNdUXMlWXwmBJgrXSAMv2WmZaui84wBEyRtMwIqIU0ezmcltl9by2yO9efphE--QAnCAbRmjvj_L1gSVUz-AbWeAqTYWdyyEHZSANvWXDD5k7M77G8W2kbZAIFXzSWtCb4N_7e5AhvxnUQOWdSnmtIIoP7WeSUjYhMDhIE7OW_9T02m2Kp51TMlcFKzm7HXBZ5NnKVXv8KOavKDAKcqzxD99FhOQoYamv","https://external.fhan5-7.fna.fbcdn.net/safe_image.php?d=AQAW2ay1YXs50Enr&w=540&h=282&url=https%3A%2F%2F2.bp.blogspot.com%2F-0Hv22jKPk2U%2FV01B3pfedbI%2FAAAAAAAA9JM%2FFZGFqTcJQwMq0INQIs4pYM01H-U4PyjagCLcB%2Fw1200-h630-p-k-no-nu%2F%2525E9%252596%252592%2525E6%252595%2525A3%2525E7%25259A%252584%2525E8%252597%25259D%2525E8%2525A1%252593%2525E8%252588%252587%2525E7%2525A7%252591%2525E5%2525AD%2525B8%2525E7%2525AB%25258B%2525E9%2525AB%252594%2525E6%25259B%2525B8%2525E5%2525B0%252581.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQChQloPKRtfcmIn","Trong hình ảnh có thể có: giày và văn bản","學會少而美的藝術和科學","台灣工時之高，世界有名。根據勞動部和經濟合作暨發展組織（OECD）公布的資料，去年全球四十個主要國家中，全年工時最長的榜首為新加坡2,392小時，其次為墨西哥2,228小時、哥斯大黎加2,216小時，台灣以2,134.8小時居第四、南...."
