url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/tainan104/posts/993513750979997","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579199202,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/tainan104/posts/965591820438857","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579199200,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/tainan104/posts/988560211475351","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579199204,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/tainan104/posts/993512144313491","1571010566","有興趣設計的朋友可以來報名參加",1579199209,"https://l.facebook.com/l.php?u=https%3A%2F%2Ftainanpapago.blogspot.com%2F2019%2F09%2F151031.html&h=AT0c-kVW1iSyIinmMlxGimR6658UeD_TYfANz0L1cwcAFpPRecgPOx2QZCpxQmDEd1FHVkpneNpksDxS6z2ksxR7LOC8QfIm_i8Utd5pzkyenjou0qOgOc_RNvCqwEpgPuWmkGx6b9risRQ3MxNBB_hwDAuxWWWumXJ4X2uLztAoL6N10UcfcGpjGUG1F_QIK47DnqCnYw6NV5wVkpyJdA-bTX-MghFpCMpO5WgUkjafLk04dS4O-OSqc_RS0H5J5syFGB2CzHYhHfZz373h9cuQUn3kzZXkrSSuJHia8M2rSrB98gAfV6a6upiN9ys2NCnIE5g-DwNZ6fHn9BdFHIGudrgUecToqZ6727psyZcaBeu4PbRKYE4zarJ2GLcI0mSbgQs1U1bDbtDmlmpxM8chFi5UW022c3OVlu_47VSEKVziuyDepqKLyZipJNdQM6169-Z3o5VdWbsE3wqyv9x0yLFVas5_kvPUhI69ldYMMcyy0cjOO5wfaqj-F-7heOKyHErvgSBsdN5wUdg0nPBkxJWV-hiKpr_biyd7SqjTnf5gGYpsJ2g6crpn9L0W93QxecEdhOycJD1ktepCPF94U4SfycXypsFC0gOq0fUsXaYoF-U-tdl257bci1YcX13OwJKFltrI","https://external-dfw5-1.xx.fbcdn.net/safe_image.php?d=AQCvsxhFZUviuPY7&w=540&h=282&url=https%3A%2F%2F1.bp.blogspot.com%2F-PW4Y8JKomLA%2FXYH3Aj9auuI%2FAAAAAAAAd0o%2FxKl9KgxRuJgGKzq0f663th5gW0rukuE1wCLcBGAsYHQ%2Fw1200-h630-p-k-no-nu%2F2019TDA_banner_930X702_s.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAYIEYwL6eMpTnm","No photo description available.","若說臺南是一個品牌 ・・・・ 相信多數人不會有疑義；一個城市品牌的塑造，抽象如城市意象、 歷史氛圍的論述，乃至產出具象的城市特色商品、 呼應城市精神的代表作品等等， 每一個環節都是不可或缺的關鍵要件。第一屆....","tainanpapago.blogspot.com臺南設計獎，以臺南的在地產業、技藝、材質為徵件主題，總獎金15萬並於藍晒圖文創園區展出，徵件至10月31日若說臺南是一個品牌 ・・・・ 相信多數人不會有疑義；一個城市品牌的塑造，抽象如城市意象、 歷史氛圍的論述，乃至產出具象的城市特色商品、 呼應城市精神的代表作品等等， 每一個環節都是不可或缺的關鍵要件。第一屆....若說臺南是一個品牌 ・・・・ 相信多數人不會有疑義；一個城市品牌的塑造，抽象如城市意象、 歷史氛圍的論述，乃至產出具象的城市特色商品、 呼應城市精神的代表作品等等， 每一個環節都是不可或缺的關鍵要件。第一屆...."
"https://www.facebook.com/tainan104/posts/974278166236889","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579199217,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/tainan104/posts/936173880047318","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579199208,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/tainan104/posts/985324771798895","1570148095","台南古時就是糖的最主要貿易聚集地阿~",1579199202,"https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.chinatimes.com%2Frealtimenews%2F20191003000061-260405%3Fchdtv&h=AT1x8FkPZR9nCJIM1hlpt1tyzwXmYn_4SIEUXLy2bcu33wJ5nEnsR-UphI7lWBADiGV0LDsXqAdmcv5hYygbucPraelVXmQP-St37uL1J1l6q52dSLxYEsEEZMvBfaDMsXKNItFnQVz61ELJujoFVZJGq5DSmhIiXJMf9wxvHAOs_fbsDiK0R1dm2YmlWzZffaFAwtBeN5iAquNsuPuObV2RfWgEGaLxS69L75IRopdpzyERgnWdh8Wv_SInAe7iNHc_ruu_u7DSvJq2X8ebYVzmJu9yRFtZevHqfP6JhFDHK0eUZ7qR40LwwCrQWT2XIsGw1caYWayERmM1tDmRU2UgAMMQmWnBXHtMwYhOU1rL71NzbHTWFElvkvNaQk_vQxTTvTCD8CaHhSWje7nX38OsvKUZvXdxjF3FrAgixWXNHyvtv8reOuO-mZNlKpoRXyA1WbmGe9RbEfzYi42rmDXc73fSHIEj1bbSlj-IYy45kjQM3kNURS1IEpFElh37eNPvF91o0Tw1ygFQiIjyZykcSROe0NngreiCiJzAwjyV0P9H1J2bqaRjFHHQmE1rikkEYwVK528FEHoq-2K4miozZh2W2qIEYMSQdqwO_lm9U1JWnhKTlTudXwcJnqyK4lTF9Z88EpEU","https://external-hkg3-1.xx.fbcdn.net/safe_image.php?d=AQBrhpvao6_loM8h&w=540&h=282&url=https%3A%2F%2Fimages.chinatimes.com%2Fnewsphoto%2F2019-10-03%2F900%2F20191003000065.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQBrGnb-7ZjE7yyg","台南美食小吃多又便宜，不過有網友吃不習慣，直說太甜，忍不住問鄉民「難道台南人都吃糖配飯？」 (示意圖／本報資料照)","府城台南美食小吃一籮筐，價格又便宜，不僅遊客慕名而來，當地人也相當自豪，但有網友吃到「名產」後，甜到讓他說不出話，甚至比買來的奶茶還甜，忍不住直問「台南人吃飯都配糖？」網友在PTT八卦版PO文，表示自己下台....","chinatimes.com府城這料理讓北部人嚇傻：台南人吃飯都配糖？ - 生活府城台南美食小吃一籮筐，價格又便宜，不僅遊客慕名而來，當地人也相當自豪，但有網友吃到「名產」後，甜到讓他說不出話，甚至比買來的奶茶還甜，忍不住直問「台南人吃飯都配糖？」網友在PTT八卦版PO文，表示自己下台....府城台南美食小吃一籮筐，價格又便宜，不僅遊客慕名而來，當地人也相當自豪，但有網友吃到「名產」後，甜到讓他說不出話，甚至比買來的奶茶還甜，忍不住直問「台南人吃飯都配糖？」網友在PTT八卦版PO文，表示自己下台...."
"https://www.facebook.com/tainan104/posts/966130117051694","1567991286","感覺是個超有趣的活動歡迎大家多多參與

 #之古鑑今的好機會啊","1571163596","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.ettoday.net%2Fnews%2F20190908%2F1531258.htm&h=AT1edU7GLPZSq83zwaM_LxtPD2_9btQQZXlRnFpKivWkbfWJ6_oJtK__XGkeM5_Pzw0rE2zgssBtaK1PeKD8FFXlmpeUyQlefNCNcTfSbJ17RZELlvyGUu3fpjujLWv4Wqad6g9TfMrYLeiqiuLdRE09TYtHzDs5t2zZmb8Rei0WZo22vth0f3sXQgqg2g3igACxMc-UVfpahKzARA5aY9XPGpfyPCKLKnFHvbobCjzpelwSJ_nikQoVcWitrngeqwkZLNh_tAkB3wuNXhEqd9VNHLWVqsKDoznKEniMNgX-3YFfCWtHOcqec1NdlIxqSuP-bHSTqe9g33qpgTzXG1Cgfzw_AP7ApA32b-Y4u0UZvxU8OCiKcPLR08309COnw4nU6xAEj9Detj0YS39ThGm69Tp2Hl9a27JFnFUxGe1wWcpNR4QYwzUToMtAf2KDCs0OMK2dGlz9BbdoJiFb9vuZSSQwOfkFXvk2ta3M75w3W5sKGSLFE-Q0jC1vyDvD5Zii-5JrjV0vUAyrRN75zjVQ4fRaGRb0zsLrq1bBx7VjS-P3ubpnljBO9zFaEc-qBv3JfXRJh4piLCIabHAgsk25mTKY984NOFdBQxT-4-Hi7qudI215otKJbagWyWaAgfdBSQSETv7x","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQCrbAWTa9ciugy5&w=540&h=282&url=https%3A%2F%2Fcdn2.ettoday.net%2Fimages%2F4358%2Fd4358245.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQD_0SIeJYD2dPia","▲「地圖超展開：台南四百年古地圖特展」，自9月7日起於麻豆總爺藝文中心工藝館盛大開展，市長黃偉哲邀請民眾參觀。（圖／記者林悅翻攝，下同）","古地圖接人氣　台南四百年古地圖特展開展 | ETtoday新聞雲","「地圖超展開：台南四百年古地圖特展」，自9月7日起於麻豆總爺藝文中心工藝館盛大開展，市長黃偉哲表示，人家說做人要「接地氣」，這些珍貴的古地圖則是要「接人氣」，讓我們這一代以及下一代，了解我們的祖先過去如...."
"https://www.facebook.com/tainan104/posts/983959178602121","1569994360","又多了一個古蹟點~國慶日可以去試試看~",1579199203,"https://l.facebook.com/l.php?u=https%3A%2F%2Fudn.com%2Fnews%2Fstory%2F7326%2F4078271&h=AT2Y_8PtAEA4r1weVZbZOGCPh59VDN2BjbDkRj4YZAUJOkyEKWn0K7599udDPWxcKNUe6DuhHtWUueeXhmUmgrZdlbF8eKccSnp9lL8Klp1QNwBOCZ6v1OrIwTYW-TWQDdtf0Cy__kcTmgS1uOCemF8kF7LdV3wqZxCgKiGiIRJwborArGZ-N3Ab-OUeM9lPZWolHthK6SeswNJLFbro1eTIxKHWngyTXHBRAgtUHM1sAS5bg_XTyp5W2zSmlT9D4EcPzY_pbr30iUFNoE46EYSTalO01J7cxAEA6n7TDEUFmWKEM-nZSeosY6e1W5T6aO4d2okdZbkHMSDgM71B1beLPTbiKydQD4rk7smpOZoQczPk_uNiddiqwfuGDIKZZV9FNp9Elcqe41t7GVVI06KyjmlA128_duDZvw9EidoDIT4C-ZBXKgpR3NiphHfYJH0NS62SXOOZWrk2TYevIuWopReyAA_RCdh4aIkQwL48A-uozDghnkxnI2clnV5uXTYFu72zrddtw0AGrUjMd0VnZ1Z3DwnEktyJ0Y8U3HSZL-SDXUaoTZRchv7NWcIol-8K9Pn_P1JwNiJs8HEvvJ8Hr-OkWNpKDQrgfgfIXhVS49aKC0mzvLothIqeJgXvCXUvVUFkwUzb","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQBQvl12_xidB1Zz&w=540&h=282&url=https%3A%2F%2Fpgw.udn.com.tw%2Fgw%2Fphoto.php%3Fu%3Dhttps%3A%2F%2Fuc.udn.com.tw%2Fphoto%2F2019%2F10%2F01%2Frealtime%2F6886000.jpg%26s%3DY%26x%3D0%26y%3D9%26sw%3D1280%26sh%3D852%26exp%3D3600&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCrlKdJgEPt-kz8","Gambar mungkin berisi: keramaian dan dalam ruangan","再過三年將滿百年的台南山上花園水道博物館，台南市府將於10月10日國慶日盛大開園，廣邀全台灣的民眾利用雙十連假，前往一...","udn.com台南山上水道博物館 國慶揭開百年神秘面紗 | 聯合新聞網再過三年將滿百年的台南山上花園水道博物館，台南市府將於10月10日國慶日盛大開園，廣邀全台灣的民眾利用雙十連假，前往一...再過三年將滿百年的台南山上花園水道博物館，台南市府將於10月10日國慶日盛大開園，廣邀全台灣的民眾利用雙十連假，前往一..."
"https://www.facebook.com/tainan104/posts/972816043049768","1568765394","這是一個不幸事件請善心人士多多幫忙囉~

 #台灣法律有時還真奇怪","1571163596","https://l.facebook.com/l.php?u=https%3A%2F%2Fudn.com%2Fnews%2Fstory%2F7326%2F4052118&h=AT3HHm_gNGobmLZrO1V3-oMnikDECXg4eyfNA2hhI1IAr7_NrjQ5U5oi7kS_mmRGtzu-UfGing0rSYYpLxv7EfvVaDo8JzkNTrZHfryQLbR7G1UkrnrwnqgFWK952KAIBu6Qgr2jbk5g1BbR0Go_GJviSDcIhWd1OjIlE6LfrzjldeuMbc6LgqH1qvLNqOQ45fo02LLFHSqdNu6Kw068-l2o-IusIkrqfWjZo9Kw0-F6zJxqEUSYt3Li6L-ShxlwwKrxRFPz8FaGY0BzNhCgJoTc-nYAK-033UalP2hIfSNtRo6Z6QKiAhcO5gOo1FTB8OMEcd9eGJ436-PaXSsJeSMzM9W_xXwSzyMGH_9J4BpiQ4Eq5tudXrIEIzA8TsgCHInvMSiJx7MztF0bFuf8RIcNzKJmKTNrp4_a0bULUXCAHRPOfn483935tUGz1BzRE2Dn3OG7ypdrF4DOw4kyzfhzGGPAvBcimgiYu_60O4zvbjMmUpOn2XY173rE3gwuZ8ZVPBZNAYP12jIxcWX7TsQ_vSzoUTjTIOgdoJPwVr1x7-jy0jO7z1m3X0ldkalaT9d1UNBB6Fu8Huh5PU8Q-rrfUS6AIJUGoz8e5-7NpyP3sQPsXh03UpqtR0Q1vkguXHuR2u7tyERI","https://external.fbkk5-4.fna.fbcdn.net/safe_image.php?d=AQDkAKqREqcUiZa6&w=540&h=282&url=https%3A%2F%2Fudn.com%2Fstatic%2Fimg%2FUDN_BABY.png&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAGb6w9SA1YXJSK","No hay texto alternativo automático disponible.","台南安平氣爆受災戶 里長請善心人士踴躍幫忙！ | 聯合新聞網","本月3日清晨，台南市安平區發生一起氣爆事件，造成一對鄭姓雙胞胎兄弟，受到灼傷。也因為當事人是低收入戶，面對後續房屋賠償..."
