url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/taipower003/posts/1778548212389247:0","1471498582","【Meeting姐姐的提醒 -台灣旁邊有颱風】

 這幾天恆春半島的天氣變化很大，路面崎嶇以及濕滑，請遊客們多加注意，並且請勿在館內奔跑，以策安全。

 
今年第8號輕度颱風電母今天上午形成，外圍雲系會帶來短暫陣雨，台灣沿海也易有長浪。氣象局也提醒，台灣西南部、東半部、恆春半島沿海及澎湖、金門、綠島、蘭嶼，也因電母颱風可能有長浪。

 圖片來源:中央氣象局
文字取自:中央社","1571535605","/taipower003/photos/a.1585257525051651/1778548212389247/?type=3&eid=ARBJfdgDb1oVMzHyR8YH9tQsqK13BLg5P7acHQlMJkeUeicg9KR6-PM7n8zjnMwx6zCoQPP8Ep0iKWQW&__xts__%5B0%5D=68.ARC9nvM4By4Pz6P9Y3IoJby2ztUWnxCNhTp__2cARq7D56boWUgrmlKKKKeJSNtbEPq5O_lXnBqbpe3e5vV8rtGegVRp5I5vAGMHP2xH48xG05o3nexJSWIJb4-ySU0STdXQFZG2SwpqWf7Fu4pMm_wKy9XDoaHSkHn5kazXXl9zpbN2EKN_jjRfowpK2f97tjDk-MuQ1Yf62-LlbE4zTGWpBylVSXmA3V7nuATExxci2CNQCnrEj4_qeYFoTVFIQ0nDY6Qb-oEeuVsVAGR0xIle0khkUCN6VgnsnXVZ_GojhEYNkSgAGP-GRPdmhgH4BsBQZUDAvUWsrvCzIq8eYMF9YM_p&__tn__=EHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/14079537_1778548212389247_8171389251244518583_n.jpg?_nc_cat=100&_nc_oc=AQldjgir5U40i6T6iEs1VMfJz7RmjuRMD5-VEFSuo94sqTr70-IvRgfvHgKucNWuKRU&_nc_ht=scontent-sin6-1.xx&oh=5f49b8175115002a143bc14c1ab05270&oe=5E60290C","undefined","",""
"https://www.facebook.com/taipower003/posts/2457210967856298","1571375851","","1571535605","https://www.facebook.com/photo.php?fbid=1071603506564289&set=p.1071603506564289&type=3&eid=ARCbkb6ILEfC52Faa27Unn41Uc3-iZrHkHK9bgcH6n1jqPGyrlYOYvIBH6nCo8egXZRIBs4kn1QBYQaY&__xts__%5B0%5D=68.ARBaQysIkHORjE-2_fbh61AaLnwZfxWZYirJT6yUf5b6-bcC1kTAHTLDZtFQkAaQKiwuTgGMcfQnHuZRQglgRZ1yF1hXZ64cKyetS9jaTv_iBzBz_8HHI-wXxIgZQieUhnB0JU_ohPNHc-z7dl-JikcZV3Rsny9Vogt6EoDSLL5dQ2eIcvdvQhUY98DSI_DyzWkMk0PjpNGB__uJ30LymIcapjWVVl9mJS13jEV6b59UG95Cp5cQIUMOQkq-0qyCn8q3KO63i7MiiJBJDslfPWyA_UyxsE5ITEt71Q&__tn__=EEHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/p526x296/74506381_1071603513230955_5996043485046636544_o.jpg?_nc_cat=107&_nc_oc=AQnvYBoJaj4054mvnBhyO-jox4DUuLsAIu_FLDCHToEunoxYmrubd4Xl-AmwE0hvqSI&_nc_ht=scontent-nrt1-1.xx&oh=f86e63bd5aa496e1c2d22983fc7ab9ea&oe=5E1DA9C2","undefined","",""
"https://www.facebook.com/taipower003/posts/2458262014417860","1571464002","","1571535606","https://www.facebook.com/photo.php?fbid=2604274429592669&set=p.2604274429592669&type=3&eid=ARCk2qCYKT4r-JJiOGr4noSaIeQk7yFG1zIDvuiiSVps03ClixtNxD_L-DvhPCJUq_Eej3MMN_nE6R2F&__xts__%5B0%5D=68.ARCFFBKUW5Fmc9O_TkQsqDjxZYbMDtUJjslau32dGXlFq5rlU-fuINYgYTZlLLOjA4PSyBRZjRUdkzU7EZsK42bCj_0zI3OnPzJ7LsWaxCaOtt-6ZfK30rNWO4Tu_Bcq5F7me2jlfskDmNbxqevqZy_ASzLu6aNIqB2Mn3-rjVyCzLIY_6iYQHFbeiK9cAPmSQcXKLG1qnSNvTCm3xI0LOsShyApa5lVjj3xDsdyQe14ShTMJ9CoqfSu-Ye3UPlnbHJ28D6bzbgc8p9CAKvfLNP0dqo6TBWN8wKb4g&__tn__=EHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p240x240/74409898_2604274432926002_1644067988615200768_n.jpg?_nc_cat=111&_nc_oc=AQlvVT3EyUwmFMfM24qYESw96kfsdO4Ilw8XpqT29FqW_9iyC79UaDT_WYYvYYlY0Ns&_nc_ht=scontent-sin2-2.xx&oh=11823d5d8f68203182697b216e14a88d&oe=5E16DFD1","undefined","",""
"https://www.facebook.com/taipower003/posts/2209583099285754","1541040632","公告:
本(11)月份4D立體場影片換新片摟~~~
本月播放""冰熊""。
4D劇場播放時間:
上午9:00.10:00.11:00. 下午 13:30.14:30.15:30.16:30
敬請各位貴賓提早10分鐘到館做現場排隊喔，採現場排隊制，不用預約。",1579347128,"/watch/?ref=external&v=249882759034699&__xts__%5B0%5D=68.ARAqo6FasroXoHbTeoSRf-_73XAZiuBCMt3JSBbCqQxfQyvKtEHbc0gEqq0SDilJbLPUvltLBmLPh3UPsKjramyauqSUH627usxw7KvXotnknxFh3BOHCWrtj5l0WesRc6DHEM-gmJwvYyKdrHq5MV22TbbeINfQe6K5ONUsEg0wlqfsjpHfPOT5eqVmos8CTJY5muLe7fAM9P8-u2rZRG4zyvQ0iCiAQWeswmJxm5--Tn3gdwuG3ZYqC6h1wF2c4NxIcJY6XxwJAyWbPg6BxXtk6JgbyTCv2VqngbydGxf2N8dmIUX5D1xeaMOPI11VRxIsPMFXMUxzd2xYWYCPBCuw5t4IVNbePVTxew&__tn__=kFFHHH-R","https://scontent-ort2-2.xx.fbcdn.net/v/t15.13418-10/44494839_2203248443052887_8337777259620335616_n.jpg?_nc_cat=110&_nc_ohc=aMQDQMVRnjcAX9l5HKK&_nc_ht=scontent-ort2-2.xx&oh=5ea6ff5f8caad441f412fc0320c9fce8&oe=5ED4126A",undefined,"冰熊","Posted by 台電南部展示館"
"https://www.facebook.com/taipower003/posts/2185882231655841","1537345226","看過來~看過來~
屏東縣政府於107.10.20(六)舉辦「半島歌謠祭開幕踩街活動」，內容如下:
一.日期:107年10月20日(六)14:00
二.地點:恆春國小籃球場至恆春鎮北門廣場舞台區。
三:開幕式:107年10月20日18:00
恆春鎮北門廣場
四.臉書:https://www.facebook.com/hearherefest/
五.電話:08-8883939
六.踩街網路報名網站:https://goo.gl/forms/WbUAt83b4pNLfaSt2
七.踩街書面報名聯絡資訊:屏東縣恆春鎮中山路39號，里山活動小組收。
八.如有任何活動上的問題，請洽執行單位:里山生態有限公司，電話:08-8883939,email:lishanact@gmail.com
有興趣者可報名參加喔",1579347122,"/taipower003/photos/a.1585257525051651/2185882148322516/?type=3&eid=ARCPFpPbgZEhzdccLPExQXipchyy-QZYSykhaXYCZajOZs6QYRK9AinwrbpF7brxl9IK3WwNwYf2UTDg&__xts__%5B0%5D=68.ARDTEKc2tZRNpKu6B96IvlXYtgCty8gWawjwvowb5kIpqQ2GKns8co0PXB6rKKcVIr4NS0vhGe9J22eVqoOsl0_i7IhBRaFx3uuU7_Q0j5Jetgie5vMJs7aIljOm9azHKaLlYa4yP-QJ8QJNQyxl8DcfuQ9ChB1blJ5Mt00hKdqAb-LBgwcQNUl7Sv4XU2ynm-6xuC5JpncLkgih2AG8WNvTMu-NVUg_Euz08HGezHNAwq0E7ieXq_dzQy4wJggmbRiiwWp781OGUMC8jxhn9_d534i4sK9rWx1AhA5v7cE4F7m4KcLhW_2QyLCJFsMiNqyJwz4tQ0euGZ8Rvj7Tvs06a-Xf&__tn__=EHH-R","https://scontent.fcgk4-2.fna.fbcdn.net/v/t1.0-0/p526x296/42092462_2185882151655849_2937492300269355008_n.jpg?_nc_cat=106&_nc_ohc=KFkvaINhLpkAX8LV400&_nc_ht=scontent.fcgk4-2.fna&_nc_tp=1002&oh=d1a76e21c48c47f5b78efa381f4cf287&oe=5E9E1FBA",undefined,"",""
"https://www.facebook.com/taipower003/posts/2193059847604746","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579347126,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/taipower003/posts/2097070583870340","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579347128,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/taipower003/posts/1695046944072708:0","1453186916","【故宮國寶來 FUN電之猜猜看】
看過來~~看過來~~
大家來猜猜看，睜大眼睛看一下
＊請問這幅圖是哪個朝代的產物?
請在本篇文章下方留言 ~~~~
前三名猜對者有神秘禮物要送給你喔！(\\^ u ^//)

 ★最近粉絲專頁陸續會有活動~~
請粉絲們密切注意，有機會拿到神秘小禮物！(\\^ u ^//)","1571535606","/taipower003/photos/a.1585257525051651/1695046944072708/?type=3&eid=ARC5kAujwaep238gt-mAp76fSyqT4cto6D_ExYIaWCWbYS0emY2jzxzePWxa0YdaHtNUG4yhm4vvpvnQ&__xts__%5B0%5D=68.ARC51wNLjQhZPkxioeOZlUKOXu9J-ehxVm944RJybcNCtqq6N8GmpHeVXaPYFbe2w3tbMCQZaIKWpai9tO-Rz0KRXuIoXR-ktLzQPF3amFYWluP3Eg5EWSHzMFcsuAuozN99P4JgokHdxKCbTIHwIAdRIUE3zb5wSgM2yr17va4mHXpE1K1nhnw-W_lqWUiZjn9mS0E69aqM493KGeXesZ3LoHny-NkmmPGBNLO4iLs5_eTrEhoQDBOek-_h1rvnv4UKGQUwjrztuF2TJ41CqYW28nEZkIMwCg80RQtaz_NpanSplQuvPTTWob_us9rC9Kv36tYRwX-43TDI4anbQX_2UEg-&__tn__=EEHH-R","https://scontent.fbkk7-3.fna.fbcdn.net/v/t31.0-0/p526x296/12604689_1695046944072708_7302333825185182792_o.jpg?_nc_cat=108&_nc_oc=AQmZxBrvDZAm0GMa75OgeOEjd8wispjuSCzKA0jqo5HqO3COCO_0rB7M0OPl6rZf9DI&_nc_ht=scontent.fbkk7-3.fna&oh=d748300c631f1dce27e519b01d88959b&oe=5E19ADC2","undefined","",""
"https://www.facebook.com/taipower003/posts/2458262501084478","1571464063","","1571535606","https://www.facebook.com/photo.php?fbid=3129198520429571&set=p.3129198520429571&type=3&eid=ARB-GgfvR4_evu-OrYStxxbHXyKrJd8K5H26p0CFN6CIzS-pbX1o1dZL6ro_SXSuO0TsMm7EGdZL6XYK&__xts__%5B0%5D=68.ARAarW0nVw9iV6q-PpQd3iccXszoAY4w1ymUgOBJiKRgBs3EdRXzVcxRlLP37A6wjOgFjc2QV-VcRLGFkz0Ei6LrsJ6_ry8Z8Oe7TRMNwKoy-t69chgdzFP_wQct3telCFYaNGAmKncI-9KgbHEPOT8HExwxmspTTivgvzLZSYVh9tgb1pjQpxIPtg9VbJBuDYRvJ_FtZ4dk2eSjuhQydxnIMOETz_4n0MYeGDvr5_vzs682ZJzRB3AgXh9xUuvKiV6U65kkB6WbZgE1K5GHw08UJNOq7Es0dPENHw&__tn__=EEHH-R","https://scontent-sin2-1.xx.fbcdn.net/v/t1.0-0/p526x296/72688264_3129198527096237_6199758065978310656_o.jpg?_nc_cat=104&_nc_oc=AQmBbB3V9TZm9Q6CsiFfNP7zQMZtAOPtuvyOc4pI1lOYyaqxDU1yfMtPf3KPz04RkJ8&_nc_ht=scontent-sin2-1.xx&oh=b5e3d81d52277e988c8f179b72b564e2&oe=5E1E6234","undefined","",""
"https://www.facebook.com/taipower003/posts/1789940084583393:0","1473852269","注意~~注意~~
館內因受到颱風的侵襲
房舍及展項受到一些損害
及目前仍是停電狀態
所以明(15)日中秋節休館喔

 第二個颱風也可能會來台灣
請大家一樣要做好防颱準備喔
祝大家佳節愉快~~~~
南部展示館關心您","1571535607","/taipower003/photos/a.1585257525051651/1789940084583393/?type=3&eid=ARAuedNcm6KDQ9ulLUVhyKzdiV8eTfhmZy7wWd2AJE56H_R6tSbs-PFpuVLHXh3_IUE2UkvGJwZ6capg&__xts__%5B0%5D=68.ARB6a_Wp8mevIPj5d1KQhIE6IJzh7ZL6f3bkYjQ3dHlVg4Dx2upLs7-CjrQlaqXuPsITaru5H5bxPI_R3zDT6Jggyn-gkj7MWfDVW__LJqZBsD4Yhu-bZ5elI3jk-kCEMdVx6GCLU3ul0Wy64VB7_qzCLIkZiHYGAXpH9TkJ26lSHY2e77T1RFMVXHAk6cwsT2wW-ZNPwFSnlPcYyNnGRKYnxr5Bz1zu2Q7RB5ikMzBca0vC6XDYYt-qXcD3ou32szfT2r9fYOXhCwB0FI7QZzsOnwGmZIP4lobMP0eVqBlVynqtn0u4Oece46zsYPXUbMLjvTWoY7nTNiyhspbuQBy58R2r&__tn__=EEHH-R","https://scontent.fbkk5-7.fna.fbcdn.net/v/t1.0-0/p526x296/14368901_1789940084583393_9197258889415738830_n.png?_nc_cat=107&_nc_oc=AQnyNUFWP2t_ZjCvVxXrla7eE9HSHeb-b-sVtrRfXDHPvAnTkcycoQRFbelAOFraWeA&_nc_ht=scontent.fbkk5-7.fna&oh=6f965630f60d111919ab2a4f0a91f58a&oe=5E2BBEC5","undefined","",""
