url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/ted0307/posts/1147436218789262","1570083450","各位請注意囉～
😭😭😭","1571725208","/coolie2019/photos/a.252331748664405/406688459895399/?type=3&eid=ARD_V7izJTdkdrEZaQBtLND1sOVdJ5rPm0O-XXajDjqkxohXgU_TOM_5u8BatyIGtxxUL9H0aD4Bt0_Z&__xts__%5B0%5D=68.ARA68D2ksqWQfBWS3GBQkf2XLTSxewA_S6Hmx7NBX-gMBlEujJHmmMYvZueLZ-38kNntNuWyV7XRt3hzzwL6Hl6n221l5Xcct-jj1vxPGew7wOkUKN72YvnsIGbe0xlwA0Ojiw3dN8qu57B2E1DiPFxehd8Kj4PaEbUaPgYYK_oVLJ6LstZhPqavjkL4ltLUPFEWpr3wF-yqW_Pa82s0HiuY-bzvRKx-wX5yzZ2yBFXqwUUTIPlEpHBRig5s85yL081k4HLsWetlBi8vHGmRJvowcq6sAKxa0xLDS8EddyiMrCOmA5_pbjQuHzph2tEQPWAaLnCFynKSvOKNLeOBMdGV2EAJHqux1t1wShKGWet6fVIQYNiJ38dPkJRCeZof_jkjS2zd7etiZgfbv6gbb_z9XoI2ZxTw2Yp_lAHQ7L4HMl7wFctWTMQC-kbnHfCqjtRuz1NMbxFGSFhVgxVOP1EBdC0yEHTSuKSRfblhAFsxT2DVbKgOtw&__tn__=EEHH-R","https://scontent-hkg3-2.xx.fbcdn.net/v/t1.0-0/p526x296/71571982_406688466562065_5320535199145000960_n.jpg?_nc_cat=100&_nc_oc=AQl14bZtvomzFzAXlghX1FP1I7Q8ksusExY-nc1iptH7OmLLkz1lvEV35FhPcuSIPtc&_nc_ht=scontent-hkg3-2.xx&oh=a8a45bc866a2f2fa2a10be40c2aac152&oe=5E1E693C","undefined","苦力Coolie",""
"https://www.facebook.com/ted0307/posts/1163574760508741","1571710348","你們知道只要挑戰賣布叫賣
就有T-Shirt嗎？
我已經接受挑戰囉😁
換你們上！","1571725209","/watch/?ref=external&v=2393842600858087&__xts__%5B0%5D=68.ARA9CJn11NBQf_cjuV_KLncCHB_r8BiihcC9Wc55yBY_NVTu0tYmf8TwjF5m67LoSbKk8j2IkMAMCxiNabr2ksJJCIrKkusRlNkCodu3kqSihkaGFIjUJDl2LOx1nEjt5hsAVt5zOMyIUuRuCWJt0VT41I0nmST-Ke5k9SUmyJ0-E25y8XDg8EyqPOEzr6fa_3A5VYvlzV2ZMdi4eheIP4L0IqCZ0A_TsZ4ixOScFMeRhJlaDBWjC0lTLz2ctGy1au0BNqP-ssX25rljkMfdHevRkf2Z0iLTiTuPnXasM0c6i2xcMXAxvzIt3IavQItE-hi2mdkfppcXSBA-9-0Lsf3J0eajMuIhvkV2utmdwS2RXCR3P0UBS9lOC8u3tx1_pYi-Or-_dCJeBlhekajvTAGlbbOsNJ6zsdXqOesKwqZZ1eREfp-w-K2Ezu1gn7IR6wGkuZujWxGlIsZLmuPl9AEEfO4puVsOSjF58hHfeSReNDsJgun33JU2a-45jHKTOw&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/71842151_2393849927524021_6785022474741350400_n.jpg?_nc_cat=109&_nc_oc=AQmBkMIiV_3FPjnmp3Vs5VIuCRxZBa7HLmDxYL3lHsO5wdJnjeRsFwpTg0QjjUcgqDc&_nc_ht=scontent-sin2-2.xx&oh=d94c1fed5b6d88ce387704130ec1a177&oe=5E1EBA48","undefined","《苦力》｜賣布挑戰，由你來說唱","Posted by 苦力Coolie"
"https://www.facebook.com/ted0307/posts/1143728525826698","1569667256","","1571725209","/coolie2019/photos/a.252331748664405/405141846716727/?type=3&eid=ARAUDz6o9WMjd5ou6rkOk9pBGHT42Mo2_F7aX6IXMzijNDQXPckOFfq4Bp_WJA1rIzuun9-JNaPJmAR1&__xts__%5B0%5D=68.ARB-mbSJBdMyrG40njcn6051zTzTRIg1fVip9mt0hDxy39yd5i8p1bUOkVxD71NWMrTFHvgl9vlotWY8toaFSXd5UJ4hpqP5EUJoxPnZX4nQix3wa-hTcRSooJj3nReqp_0QsEtisTCn3k-2EGVhcsExHatZ8d0kov2gm1RV8CBUl_HirKoXNLVkz6qkqWZsyUJ9EvxgjgHquCLXbtYOTz7nbZifgYBhQh_38q834oqT86JrGgjplAgRhXY0U3A3R7s8BdVB3DUK6qqOuS9GALmxiXs6lLvJ3Gh4wSRGKr2lfSw_xfYQW15ZElf0ssVeQKSr9aQIsEHwLXU5XffC4o1kOeJJIBfC-qcQtfiNDb6xZs6p8hIFmvtVz5WbiIOJQ8Dzbh2BwxSDhur8zkuZcNUzRycIJIruZtbVI8aWh-7qzXnF2Buy67-33fE_4GictodADJbg-0vCt3imj_ToU1MN5Un3Y20ZWgH9Kbh7ql0XyTtDeIok3Q&__tn__=EEHH-R","https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-0/p526x296/71774865_405141853383393_8474052873955573760_n.jpg?_nc_cat=111&_nc_oc=AQkYcs0NvQTagFHMDDWXJSNWYuHPRDM_0ZwGiSv6jibgF26vrNEFDaN_i_doKRn7mY8&_nc_ht=scontent-icn1-1.xx&oh=fb71ecfb6174c847fbed9812731456bb&oe=5E2B4CA0","undefined","苦力Coolie",""
"https://www.facebook.com/ted0307/posts/1162912667241617","1571659479","⋯⋯
好吧，你們贏了","1571725209","/ted0307/photos/pcb.1162912667241617/1162912083908342/?type=3&__tn__=HH-R&eid=ARBZGdMCFr_j7WRYEPxlXnLn5ZSZS_Fm_oXipkuPqjbjCsli8r9nONrbJGXdadE_ean4N93cZBF-UBrP&__xts__%5B0%5D=68.ARBl68LoKY4Uc7GekzcbRTKsicHPH8eIOojywo6khT6WKls6qME1QJDAwU4lqp5bvCVNuwoSz0IIgHyxAvTpOm0N7FpKzWvyXj2rANcJFamuSIq5nz7_bbouuM3UdXiL_FKDTSNZ07DquXeqnLrZe0JjJaD7NFjrsUiLbMFDClNo2j0by_LFbHdymqu9BdKH87EtWeb6bIW3z2akQOZ2Qo82BzPnbGhd3SAvai5ryEYNsipQ7fk7mu143i8HrNOCv5oYSfd6AfCMt0NRlaQlD83d4q5vEmoEqsjgD096Cp7l05vQj_qa7Xw_lhT1gI-hD1_-bjrNeWfchR0I661AUMcYEw","https://scontent.fcgk4-4.fna.fbcdn.net/v/t1.0-0/p526x296/72638434_1162912087241675_5544948073584656384_n.jpg?_nc_cat=101&_nc_oc=AQnj1yxv6xUg1P7c0tPeLj9E_b8Mp7dZa_x4CC_Nn3-5t4wbNm_hFH2om1L1ZanSZJ4&_nc_ht=scontent.fcgk4-4.fna&oh=e2b9307d8c53948d7f4a1bc996efbdb3&oe=5E2D62DD","undefined","",""
"https://www.facebook.com/ted0307/posts/1142835115916039","1569569084","","1571725209","/UDNtime/photos/a.514674648977622/744691332642618/?type=3&eid=ARBAmtGnFFhWJv0JOuOOwTResXNZoPV0DJUs5p8FvfgCsl_n4zP9-FlK1OaW4rJYkdY4GJ8tLjI9Omic&__xts__%5B0%5D=68.ARClmz7cJKW7Ctx7jkRsqn3r20wuHe0ct2ugbtGCVntYZ1RwBBP5kMQsqm9T39ICzed4Wvp8GeYzUd9Mjy2yOO2Fh2VS_nJ0ToPNzaGFmYfM7XL-cU48Gmn6jAZT6OSvLTqj8l-Am3PLO8egpXqM0GdSE1Yu8Jr8OdBDkbIDAIBTDBRi2co2vGtzpqTh1Yr9MwQsehShBp3SJb-6nkFHOCXGNQM1bVbm5uOrRZ1ZWVIssGSNAkhhH79u7i2sHO44bm1TsW-KjJ4kqpDi6Xib0YBd31LpLtSx41SHQgE0nljK-GxnjHYQ5wDOoSlSr0mH2TrqQNSAOkNhHBueVtQCXK_3iBVkD1fMMiCFiu8zoL0cT2KVf-9IT-efhA3cyOawyxwcEfALCc_9didholF3mGGPl_cMcatzsR4a6z8vwLPnlrzOeLQa3H3cq09DaxyVI-Wo4JpM-eE4WpIyybuuo7Ocybz4Ghgl-Mi48jroiirJ0_G2528nzQ&__tn__=EHH-R","https://scontent.fhan2-4.fna.fbcdn.net/v/t1.0-0/p235x350/70364700_744691335975951_790505352352235520_n.jpg?_nc_cat=105&_nc_oc=AQnIXAdES39aU8ju8O4HNo21QY_5fZ0dXTUevXjSWI3OT4l1b4iVVbjx1gGz8MTmzmE&_nc_ht=scontent.fhan2-4.fna&oh=ca8939aa0d7b83c214850a8ddf0d57a7&oe=5E58C4C9","undefined","報時光UDNtime",""
"https://www.facebook.com/ted0307/posts/1122681884598029","1567234933","快追","1571725210","/coolie2019/photos/a.252331748664405/391072724790306/?type=3&eid=ARAbSrVTNfJWDL5U5iOVP6dnpdAgopEvMCK2QkSO3v7FPo--nPz18BTX7CVPvtirhZg89W1_CQay0I6m&__xts__%5B0%5D=68.ARCaMJKTvYh1rh-Qn0cUVG-tE_wZdzryzotS_cxU1V63unhDlaUgjbuim6CO44VNwi3N9lFJqNXRie1JK8ojw-Z2w1xD-IyzU5oXNLVCEAUQS4GvxdEBLjmLM-r5gHCYNp0LMY8K8z-qhlfmh37DALVO5o-Zr0LBdFO2ol0EbfgWOsc9TTn7tlizGgkKc2RDAalxvSosC8dQLVPf-DIgqpvCkHFgpFyycORHUwdM7FFqnIggG0bY5MPXh0BMpaBLnGVkYK9dFWDulliAdJytOP1UxSmj4JfBaQ-mkonIPfwIsAeWYJ7ff6o7Uq8XQa8RPzotv4wYZpc0YZXT8TTbvKDtjqp1OFzE2zH9SRXr1TNXNoeWSZmdENRoZDcY4Zm2TMOjzSQ6PshtrQgLPn6ZRBkT4ECQfvN2EsINr4qpLD87kHWEqpdThLsyyDfLb4U2s6UjWFtjz94R7dS1Oik8q_Pu_PM8i8YjKSeXu348c21fKu10TetaCw&__tn__=EHH-R","https://scontent-syd2-1.xx.fbcdn.net/v/t1.0-0/p235x350/69466079_391072731456972_3601824600230461440_n.jpg?_nc_cat=105&_nc_oc=AQmMGpkUbI34RIc4AmK53vPxkk7Y4vvWOupWmwd9tSgZp2e0BNJOCYs5rAs0XGGbBe0&_nc_ht=scontent-syd2-1.xx&oh=040fe9df708be88f45f311ef1c5a912a&oe=5E20465E","undefined","苦力Coolie",""
"https://www.facebook.com/ted0307/posts/1162688053930745","1571638979","大家幫忙找","1571725210","https://www.facebook.com/photo.php?fbid=10157367859791013&set=pcb.10157367861701013&type=3&__tn__=HH-R&eid=ARDDY7zSx1HsMdDR8FBDLJpelOMUpIAIfieeEa0MUTG9uB36hs19ze99svRe9YNhcePU3jmk3bbXt5zS&__xts__%5B0%5D=68.ARBaieEqJFQKXGmYSxwwlaBZmt3JSSPCpiz0uVCDVZIqfrYSeKdHU9YFXtkaDaiVeDyKWSC6t-VjhsLcfLlgnpdIRd5Vp_sK74QLBEBHlD1jfer6OWW4nZ-AokhJh2XHEd0XzoRyJwIBAds-9S7J4czlIZpx-LsfcgOPKwyxqsrsELX03XIzUzohqpT1IoLDOJAg48G1kmPCHjvV78DZJHh-fVE9N4DfCkTgDQl6phxmQawC1ZqFMku63dTfX4LNkEnwDiQiPHDxLSpjqe2-ZSbr1cRh49o4aNwMHc3JRWpyBcUpusJen34hnDVU1sIHpfQJbqT_oBZp1PUVMTfY3mAkMQ","https://scontent-cdg2-1.xx.fbcdn.net/v/t1.0-0/p261x260/74957275_10157367859806013_1163949911176118272_n.jpg?_nc_cat=108&_nc_oc=AQkJtvO13S1Tj-76lHi3ELO0SUHj0QsnDspndZRkxAbLx0VCx0t93NzIOlwGWJgaWns&_nc_ht=scontent-cdg2-1.xx&oh=c66804aabbcd87eca4aef5c80b2ce4c1&oe=5E26BC15","undefined","2",""
"https://www.facebook.com/ted0307/posts/1104021366464081","1564824885","阿爸推薦😍","1571725210","/watch/?ref=external&v=444333509489566&__xts__%5B0%5D=68.ARD9VJeEok3qK7Ec0Pj1XHefSSfd9Vy3TWcWKT6JyBuDawhq51qRwQCjDyuvtmk_-hBr741Ud2XKnrIHXR5EOUYnlUu5Yh_GOvUWH75ZOISgE0vruxJTEnZEnqk98uCqbeAbU6Ie62oLpjJd2gEhM_9vMeMef9pMGSrDoOTWZ1alTwKjG96q_3w-ZcBwLkadxBmwV3G_rzrls-FW-mflGTcxJ1ppht9LGQAyGgOz8lw6l0lKEmD8tXn1qMRBeHoXQfGQm3do4p9joPUHnU_vrsX_LJ_VlLZ8KlUI2JEzcDFAY-AeKYcIH5Z8Z4uoHO6746kfxdcmONVyh6GqFMTmwzNMyrgoTxBDY8A0McpEy1IqDGtsviVc3PZJaE_lqnCwl0jD-09WtoPhc2WMov0svCXYLySL_GEUiecwMfCSfDI1kfbUD15yQCJ41qUgLDHHdOwotbycaF7KVLRy2P5QeR00vzEEwM46hrMSMcV96HEwhustAhrdZ-9HIYyPzQvu8w&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/65837416_444335996155984_2558805596421750784_n.jpg?_nc_cat=105&_nc_oc=AQk2hSjhZafU_q8AWHt-W_jNA1MB3QLvt-1g1s_kpqgAtWWalr2jf9L2lkcnb9bt0l4&_nc_ht=scontent-sin2-2.xx&oh=2991809fe2f229aa2127c645ec679917&oe=5E5EFE0C","undefined","《苦力》｜廖峻爸推薦篇","Posted by 苦力Coolie"
"https://www.facebook.com/ted0307/posts/1127987454067472","1567869394","","1571725211","/watch/?ref=external&v=426331904904741&__xts__%5B0%5D=68.ARDWsZJFBOY7ia0uh9jhrJOTH-D5WIDTVn4YpQA3nFPHJXumaHRQohUujW8YsO1g-SPe835o2hlAT81RQwAEa98sV7pAvh4xdw5BQi_IXr7uQQ7DzVcnbyfNXu3bIjThX179NBr8Lx1ZtxmL1BKX0d99-zKeBsCiDdoAXjeQmRdjmiBwy8qexZxnD8GHUaKEgf6cjgJezbJelE3yJlOuOfQGctTYdKWVZdNiQHtrI9SVPlKUPUt5sH0EMj8ztIKLyO5Zm_2X1ht_EmSXp3LVaW78VNPzIX3a_SHXbujft7RkpYG38Luz1IlPfvBbj_Wi2Yf0KDrkuxWHEKSnrU991Z444FNFipnh1Tdp5DEVqy4U9UFjuowBK3XR7klUwdv0lkfv4UoXyhzxLQfVCUBSkkNDDGY7BtvB02u4KvXmz9elncxIyKxF3Zf1UFS6Cve1RiBIVXtlslH3JwL94RA5euChZ0RIsLhlWwzbbcU6S_4Zywg46ddaC0HMO0MSNPg&__tn__=kFFHHH-R","https://scontent-lax3-1.xx.fbcdn.net/v/t15.5256-10/69008632_426363151568283_7343913465024610304_n.jpg?_nc_cat=100&_nc_oc=AQmAVPEx6sV46M9gn3eTMO5462EpcIjWZmm94UhHSSTsLO0GuzMCygOcOO2X1ura7PM&_nc_ht=scontent-lax3-1.xx&oh=5be39133a48c4f3d03ae77aef36a2f02&oe=5E61DD4A","undefined","《苦力》｜感恩粉絲映後直播Part 2","Posted by 苦力Coolie"
"https://www.facebook.com/ted0307/posts/1119969448202606","1566881571","錯過「苦力」的朋友，你們的機會來囉！","1571725211","/coolie2019/photos/a.252331748664405/389576961606549/?type=3&eid=ARDD87cpuyo3X3tmViDpVwfdss9tZqQiKGhzp5iEf-5OJ5l_GjScPwKd5rgEOev_OYD3d5P1PhJoS7fU&__xts__%5B0%5D=68.ARDozR_VAYGh4rPWxKcIlyoso3L3PmXyrZ4AKq8VkHFDlzaiId-ZyBnOstHFpUdHwcnpE_xkn1IrdlkNn5BMiU554Sg1eSAm5K73_CNrXWFBZSATMHOYP38xnfpgHrM4_Mg9EUHBS4UN6Osjdd70c7fi_HqE0ovfmbFv5oemvidY5Y2K0nX8_QXrqpa8T-OOXRl-IAkd6LMHrGzmzwaaSYbSpKA0SRBEsM9G9a4TvE8gBZ2BxCb-3o83tGGTwCZNrrqlkeTfMVCZhhG3I-ebt3e9Xo9Q120_Hcvfas6ct6DlJQfLKWehH7uw-9HmqchAP2Czn6oJ78d4vxrZkfSCrXbTTvm9_W0qyVE2xDsHqBW95E8gvpqV0LC2gvYK49X7G8JDu6_3FC5_MX7jORuHDwJPXpjpAvrSqCtfKMo5GyxrHImKz3Z_VSHXg5wvAi8P5dB3XM1AqyoDHMsYfS_uw9gjHLA5Bo6g-5i6I8YZfqqTqrBZBKPXYQ&__tn__=EHH-R","https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-0/p235x350/69675471_389576968273215_2267527438462353408_n.jpg?_nc_cat=108&_nc_oc=AQmYL646IsTjg_iJQq9lkbr58_bqXIUAdLw6Hv01gwuQx2pW0Hcul6eHAL_qF9A95zs&_nc_ht=scontent-icn1-1.xx&oh=b43e16d313c486d5142bdecb78f35c6a&oe=5E1F16CE","undefined","苦力Coolie",""
