url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/topicfactory/posts/1715055518794067","1561472971","很不錯的空間，辦的活動也很棒！",1579133014,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/topicfactory/posts/1751318561834429","1567859972","日本台灣交流協會的和菓子講座，邀請擁有45年經驗的和菓子職人伊藤郁先生，帶大家從歷史、種類等面向深入認識和菓子！
伊藤郁先生製作的和菓子，小編有幸也可以品嘗到，精巧的外觀、味道甜而不膩、以及柔順的口感，視覺與味蕾的雙重享受☺️根本就是吃的藝術品！🤩

 ＃日本台灣交流協會
＃美味的和菓子
＃吃的藝術品
＃議題製作所 ＃topicfactory
＃講座 ＃古亭 ＃師大 ＃美食 ＃文化","1571004876","/topicfactory/photos/pcb.1751318561834429/1751318055167813/?type=3&__tn__=HH-R&eid=ARBYaboEPlpXuxs0jlgmh9mJboiAu1dWOgaqvLqGeHzJ0TBcfiwa0mcCS3lIs4wc9_3GRQG75m_5QLhC&__xts__%5B0%5D=68.ARC79wH2Vf2loTpPbC8he297ONfZ3XhkYqMS7QkQT-kezpQEtMkUO6aOALQEMFbz5JnVDXjQZeHLubY-nk6hAHKMaiNFP6Mh-ydrK5WQAEmZZYMFlbRoCBMtDlpT_t8MCWBLOz_lsA22gW_pNQmSoKHExztKmSY6pqGkmTT0ZVcFEmb53-Lagz44_Ue1CRboyZosLYsCqZRqmJVF7bQrM2XRm6oxLvQFcfYf5OtmgPyCjBzlELptdb_5-s74KoeJyjNojO5ggiBGnG375Bh0ksE31eWL8DUzn6CBVEp6Cry6WplPDEGjz9XcbzRAOHxHySjROT6xe4Zvn_MquX1IlmeEBrfyYqy3fM2F5L0hJEufMe-KDu3Hpuq6aBoP75OKTIsw8OCKyRAcjF1eCFxidXlPj-B7fjRz_uu6zuHpIAc2JQI2T2OO","https://scontent.fbkk10-1.fna.fbcdn.net/v/t1.0-0/p526x296/69713471_1751318061834479_8134543160975032320_n.jpg?_nc_cat=103&_nc_oc=AQlsU_D0Jqo4qhnePQZO25_NNOIFhpSBoNxhcPYVZbSy43JXj2GPvbnXkSQMZX4sOMg&_nc_ht=scontent.fbkk10-1.fna&oh=bb9a0a8eda6a7d4d80c8190085671f5f&oe=5E25A7A4","undefined","",""
"https://www.facebook.com/topicfactory/posts/1561159874183633","1531273507","自己和家人一個優質的生活環境，大家一起來創造這個機會吧!
你願意長期生活在這樣的環境中嗎?
缺電限電的環境
高電價的生活
高空污的環境
核四的問題困擾了這個國家社會三十多年，影響到大家的生活難道你和你的家人不會感到厭煩!
給自己和家人一個機會，促成[以核養綠]的公投，讓我們自己來決定自己要的生活環境! 
給自己和家人一個機會請點選下面的網站:
https://drive.google.com/…/1aR8iNTO4dOuPhT9KEOk22E6JYF…/view
連署書至107年8月31日以前要送交中選會，時間緊迫，敬請轉傳給你的親朋好友大家一起來共襄盛舉。",1579133007,"https://l.facebook.com/l.php?u=https%3A%2F%2Fdrive.google.com%2Ffile%2Fd%2F1aR8iNTO4dOuPhT9KEOk22E6JYFnewnpl%2Fview&h=AT3ORw_HdsBp36S49x6FIA76uPWz-v1_U4x0t_6gFsQjOEwbuzL-odiSluT4vYyiPyroJfNufPMG2jzGvFdvQIpExFvI6GpCYZaJCx0ZhkxMwsJ7aPIWpMvlTw9g8Rb-LgwYv5DpRHAivG7FbAN3lPyl7jsruuIUiATzhCPrLwjqgA","https://external-lga3-1.xx.fbcdn.net/safe_image.php?d=AQBPEFR54KfvcExW&w=540&h=282&url=https%3A%2F%2Flh3.googleusercontent.com%2F2Dq-3JU4jKNikbfEA5K3epKMKnYQwORO-w1JfzcCwME6MY958xISkO6z41w%3Dw1200-h630-p&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDdF4MRH7elZmBU","No photo description available.","以核養綠公投連署書（請雙面列印）.pdf",""
"https://www.facebook.com/topicfactory/posts/1708007212832231","1560348360","【Bitmark大使系列講座：Technology is Not Magic 學會從駭客的角度看世界：科技、權力、自由意志】活動紀錄📸
昨天在議題製作所舉辦的「Bitmark大使系列講座」，由一直致力於保衛數位資產的「Bitmark」舉辦，邀請了美籍華裔知名硬體駭客 bunnie
首度來台演講，從講者自身的成長歷程、從事駭客一路以來的經驗到不同社會議題的分享，透過講者獨到的觀點與直接面對面的交流討論，除了對講座內容有所收獲外，也重新定義了大眾對駭客的認知。","1571004876","/topicfactory/photos/pcb.1708007212832231/1707990089500610/?type=3&__tn__=HH-R&eid=ARD6Y0fBtsZIa-K9hKgc5NcqXeRVUuPI8wI7UWntWBXT6CkclilWJeAMnHyAR0ghYHokn8IkfsAI78eP&__xts__%5B0%5D=68.ARDpaFmWa7cIlqD1cb7p8X1Cv14upiSeBHpmuIN5zEtjKEzo25UPFCTwMjygJVZliZmin30KUHYiAtJXUFcoOEZuAt-XIt1yqJduksO-_IjnslX6PmEmD_g5tox5xSpnBRkEqaXQm7Mi1ba5XWDqc-viLJZXVpjfFPQzEkmhn4F_O0JAC3mnoDDM57IYDXxbystQ0gpJoC5kdSFMM2jJFPo2aWxpyvwMPh8goxTH7979Tepu0Ef-uh9XlhE95wX_Ez2vmivdIdP2cyoDrhcaw751t79aTgywpwCIVXRet6e6ZEUHio9spwYWY6gttwwOgSZcK9PTMJM7uibJRQ8MmttSHEE5","https://scontent.fbkk5-1.fna.fbcdn.net/v/t1.0-0/p526x296/64233409_1707990176167268_1019506527469305856_n.jpg?_nc_cat=109&_nc_oc=AQmg6bPhahuFap9Vl9ur96P-SIvC44KUpsy4-W-6kyo4CK4LkEW8vxcVatoQT3LmHRY&_nc_ht=scontent.fbkk5-1.fna&oh=5323b8c1712e0e4c77a85e700cb352b2&oe=5E3678AD","undefined","2",""
"https://www.facebook.com/topicfactory/posts/1713182532314699","1561182141","【打造浪漫氛圍的不浪漫日常：空間經營基本功】下週6/25（二）晚上19:00在議題製作所！
目前報名人數已額滿，非常感謝大家的踴躍參與，有填寫報名表單的朋友即報名成功，別忘記活動就在6/25（二）19:00 議題製作所，非常期待與大家見面交流！🤩
---
【活動介紹】
空間就是我們的城堡，我們是維運城堡的好管家，我們的工作是：「確保每位來到城堡的客戶能夠感覺自己就是王子或公主。」

 空間經營不只是砸錢比裝潢，營造浪漫氛圍靠的是務實的汗水與充滿愛的淚水。我們的理想來自於每日確實清潔廁所、伸手進垃圾堆，細心分類資源回收的家政項目。

 
在一個充滿浪漫氣息的環境工作，但工作內容一點也不浪漫：天天掃地、拖地、蹲著刷洗馬桶、撿垃圾，空間經營基本功第一步在於「丟掉偶像包袱」，替客人先想到的體貼服務，每一件雞毛蒜皮的小事、累積成每一場活動目標的大理想。

 這場講座由「議題製作所共同創辦人 錢念群」分享她在議題製作所這幾年來的實戰經驗談，絕對會戳破你對空間經營的粉紅泡泡，也絕對讓你一晚了解空間經營基本功！

 你將學習到的知識：

 空間經營ABC：開幕前必備的基本功
空間經營SOP：系統化的效率經營
空間經營FAQ：各式各樣的問題解決方針
空間維運存活術：創造品牌價值與影響力？

 【活動資訊】
時間：6/25（二）19:00
講者：錢念群（議題製作所共同創辦人）
位置：議題製作所（近 古亭五號出口）
地址：台北市大安區和平東路一段75巷2-1號一樓
活動頁：https://www.facebook.com/events/435038870385599/

 【講者介紹】
講者：錢念群（議題製作所共同創辦人）

 
主修政治理論，對性別、人權、公共議題、媒體、公關行銷有熱情執著的空間經營者，數據資料社會觀察家，與出張嘴的人權倡議者，對公共議題的付出僅止於寫報告、偶爾翻譯，被前輩說服真正的行銷公關還是要面對真實的人群、建立扎實的體驗口碑而開始嘗試空間經營。從裝潢設計跟工班溝通開始，居然也四年了，希望以初心者前輩的身份與初心者分享空間經營基本功。

 ＃空間 ＃經營 ＃活動 ＃免費 ＃講座 ＃系統化 ＃品牌 ＃議題製作所 ＃topicfactory","1571004876","/events/435038870385599/?acontext=%7B%22ref%22%3A%22108%22%2C%22action_history%22%3A%22null%22%7D&__xts__%5B0%5D=68.ARBBczRI8Sv_cs4GszIyvs1IP8geX2bjYaFWy7DD-Vemob7ZKCfN7J285YGvDDZK7wr4fnUvh-glEsKG_HtPdFsuwvGb_RnfKRalX_2uSks2xF1Y0miTyhQizwaXVdafWRI7fqj7dYR76evZG0tSxFaJ4PpNO7HYY78MiJOu_FmiiRrkR2m4b1PZ6aJ4pZL4vMPhcWqCYmu5-dgCrxKIqw47Mr7fqUqKrbk3V1UoUyOmkCT0vofThgTzzY3u88vxYNivV-n4F-7MDHZ8my3vYuRFh5JytPzcnhTLDpDRFg5X7OSYjdeA2PafSU_KtyNTRu_AQueQ73ShtH99a-8s6Fg-hS8wuyALwfCQU9KZcr6EgGb-XJjcqcSWZUmqUE_QLIcFYRJsCgU-HlE8h7HKOSPezAmIgIExZL0_v5QpQxyQEY56wwKq&__tn__=HH-R","https://scontent.fbkk6-1.fna.fbcdn.net/v/t1.0-0/c3.0.955.502a/s526x296/61026327_1699235630376056_8469379975307329536_n.jpg?_nc_cat=108&_nc_oc=AQmXLkZ9kAVT5Oj6bNmYjQVpJCXd-QOPaM-OYt6JR0PnKHMsIbjvR4ZP18Do8wvZziI&_nc_ht=scontent.fbkk6-1.fna&oh=3c6dcc36a2b5e4df576e8c4729714a41&oe=5E31DF7A","รูปภาพหน้าปกของกิจกรรม 打造浪漫氛圍的不浪漫日常：空間經營基本功 免費講座 6/25（二）晚上七點","打造浪漫氛圍的不浪漫日常：空間經營基本功 免費講座 6/25（二）晚上七點","議題製作所 Topic Factory · ไทเป, ไต้หวัน"
"https://www.facebook.com/topicfactory/posts/1763642773935341","1569757831","今天的「共廚・好食・好健康」活動，從四位講師的飲食經驗，告訴大家如何從吃下手，既可以健康飲食又可以享受生活，讓身體由內而外健康窈窕，並帶著現場朋友們一起自製沙拉、咖啡，以及品嚐調酒，不只補充大家的飲食知識，更直接讓大家吃得健康！小編也分到了一杯冠軍調酒嘿嘿～順口又好喝，真的非常厲害！

 ＃共廚好食好健康 ＃健康飲食 ＃享受生活
＃廚藝 ＃料理 ＃調酒 ＃咖啡 ＃活動
＃議題製作所 ＃topicfactory #場地 ＃空間 ＃古亭 ＃師大",1579133016,"/topicfactory/photos/pcb.1763642773935341/1763641310602154/?type=3&__tn__=HH-R&eid=ARDbWizCWEd9eR5FiP5vh09oNVqoKjw54vaz6MvorWrDebD4tp6Q3H5yYo1b0U_l9ob01ntkWmHX2Ijn&__xts__%5B0%5D=68.ARAzFDM1MGZoy0l3m5wNt8OPf7YOyUwNftZR4Xj5iN30wyiHWVuqxTeefmtkO4AMaa1x5d9U9jPE7iZXH1w06gHz8CjEAfFbJXYhPthMyiTQ3lloLOApvtrjkFORuzrIIvXXtooERzEPW26ujQ0_K5fTLbBBoitLlhAAyOZMfWZda3NAsUr5RGuThG-q4CL6qh45WcnUXC5wKILzFzet5FXUQLGp3ezmTDX9jIO8O_DYpnoM2VE1TaxsigqILTOb2mRJasWnd6uRzqyrDn5fEiHa6wzaPlDt1kjk1DFWnYnnALbnMK2bRp8oKIeSF4RIXlSSvxafYMYyRKmn4N7w_Urm8tKUGMyMZrDW8gctE9QU9-bGRDuVeRriIiwQBzGnaiaLqfE6g314DBDFEhleaplMFJJJrVQDflmuyVMpyb25u6f4roTf","https://scontent.fcul1-1.fna.fbcdn.net/v/t1.0-0/p526x296/71694146_1763641313935487_6411428146112888832_o.jpg?_nc_cat=100&_nc_ohc=XcrtdzZaYzEAX-8XgfQ&_nc_ht=scontent.fcul1-1.fna&_nc_tp=1002&oh=93d1a4feb7e16a33d2f31d1f554de611&oe=5EAB5851",undefined,"+6",""
"https://www.facebook.com/topicfactory/posts/1650094465290173","1548242601","【一月免費講座】有錢沒錢，來議題聽講座好過年～年末公益場連發！千萬別錯過！
📍1/24【主播「宛」點名：社會亂象都是媒體的錯？】
https://www.facebook.com/events/384264645672744/
📍1/27 【年菜的美味秘訣：輕鬆煮輕鬆吃，拒絕「甜蜜負擔」】
https://www.facebook.com/events/2363091800586819/
📍1/28 【如何讓對方「淨身出戶」：家庭自保法律公益講座】
https://www.facebook.com/events/336583543609861/
📍1/30 【公投的下一步：不要誤會，我不是針對以核養綠，我是說在座各位】
https://www.facebook.com/events/981078125424241/

 ＊活動免費入場，若人數爆棚，以報名次序作為入場依據。請在每場活動頁裡面填寫報名表喔！","1571004876","/topicfactory/photos/a.1408539276112361/1650091225290497/?type=3&eid=ARBCuxTYe8NHAKusQsQ4Ko53Xxt-OhoQvKVQGBEXsNFG9Rl5DCVnQMHyzySBL1HMY3Ri23zDSlb0jfTT&__xts__%5B0%5D=68.ARAecgd_7Ojnu-6KhWGJZdRJus2HtUpmOW9pIUqmVf4vD3SaarGl3WlQt4YuvFNgZ31e6BP3STE_mXEA_nYjUG6b1oPM8rl8y4CHfOGa8B033N5Is8AujMCWcyRmSEPv_jwAOJYu9VzlJQMm6VyYtOlpJfK9PE6nLZbbZo_cJ6Bb1wAWFYW-Mqjv-2x3dnC6zzhygZUmaOm4Kfq5kqbyEFPMz2JMFgb15UGvovBEk2pxZlpYCXYEGLN-TehxVzuhML9UbJWUI8Q42MAd8Db-R_sus8EhiozV5nSzWEt1Zoros2fPIzpgmnqIBIqZMuSJNHxM9QjKZH_q5qgOAUh_pTLDK15UGjPd28hu3tL7QpQMHwnPnFWVIPAU70IKdxPhLSZ8LaJwePMHY_fWGuTuJ70q73IW8fIZ5H253EHxmCohKQJJ_t-U&__tn__=EEHH-R","https://scontent.fbkk7-2.fna.fbcdn.net/v/t1.0-0/p526x296/50335316_1650091231957163_2495371068353544192_n.jpg?_nc_cat=104&_nc_oc=AQkQ9BR9bqeu39cANPZVRkjRB60bwJBZAU0iVjzvGxziPe_60ufvM7wtMAoM4q_90Z8&_nc_ht=scontent.fbkk7-2.fna&oh=c36aee8cc754b1dc0c7c18e4692e8229&oe=5E229A9F","undefined","",""
"https://www.facebook.com/topicfactory/posts/1762540347378917","1569594501","#議題好文藝
「餐桌是建立親密關係的源頭。」
今晚「台北詩歌節－愛的饗宴」邀請大家一起共進晚餐。從下午詩人們便開始籌備拿手好料，讓大家在饗宴上一邊品嚐美食，一邊聆聽詩句，用飲食的口感，傳達詩的觸感，也用料理的方式，串起過往的記憶。今晚的饗宴，讓參與的大家不只口裡胃裡飽足，也讓心靈的味蕾得到了滿足。

 臺北詩歌節Taipei Poetry Festival
#2019臺北詩歌節 #牆與啄木鳥 #愛的饗宴
#議題製作所 #topicfactory
#派對聚會 #活動場域 #藝文空間 #飲食料理 #詩歌文學 #古亭 #師大",1579133018,"/topicfactory/photos/pcb.1762540347378917/1762536264045992/?type=3&__tn__=HH-R&eid=ARD1y5xNW6LeXIZLvuIT8zTtkP5QxjGjaTDjy5mF6hiowz6PoRkA7An7EGEJfNOhDgpsx9Xrces0gNqU&__xts__%5B0%5D=68.ARBVWYa3d30xkn3qrg_Z3fHLao4ao7bgkM3XhH8yPDvSrUYrq61ib7EFKh3YjmJCprBo59ipXMzohd3U1IlU-VGDyYr_39DXRAvgtb4zRICFapMFX12kH5lYurQisuuBgvb7ZHZfpncxC6HbJgBhucCudASJehRQrJ7m9BrZt6KdqM-MnF_biuxxWOZO2LLEKr1SR2skg7BnbyJIWhDcymoGsRqe793iuB9-JTCog_UofK0h0hrtwFyc8-2Z6dbfn73VcxE_eydnnIFzorphs5EnJDhfrQbRyhFSoSVL0ezb6lu1zQb-zDALHDEF0VJ_i6F8DF6ElyDMVe877a9FB8cgfpYephd0g7nPPO6K6La5ymmxI6YDR1OMSnDWoEZAXBWA2fIx8pJp2f_YMQp3aojo6kyNV0jPf4FsiDlLSxiYjWLS8z78","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/71144977_1762536267379325_465255020988727296_n.jpg?_nc_cat=106&_nc_ohc=cZz88f5bo5gAX9MlHyR&_nc_ht=scontent-sin2-2.xx&_nc_tp=1002&oh=f8245b879bba07c26699adb1a12bbc2a&oe=5E93E683",undefined,"+6",""
"https://www.facebook.com/topicfactory/posts/1701484910151128","1559282958","【感情講座】美好的夜晚，感謝有大家的參與！水鹿精釀 Sambar Brewing
感情攻略講座本來只是我個人小小的分享，沒想到需要解惑朋友們這麼多，每次讓我覺得訝異的是原來大家都這麼單純善良（？），希望這幾次的課程分享可以讓大家學會怎麼辨識自私鬼，還有在喜歡的人面前怎樣有更好的表現。

 還是要回到那句核心：「認識自己。」不論是工作、戀愛任何人生的事件，建構自己、也讓自己成長，只有真正了解自己，做出的選擇才能讓自己快樂。

 總之，認識自己、透過努力練習讓自己慢慢有自信，放下得失心、不卑不亢，一同見證自己的成長。

 #戀愛 #感情 #兩性 #渣男 #渣女","1571004877","/topicfactory/photos/pcb.1701484910151128/1701484593484493/?type=3&__tn__=HH-R&eid=ARCnmxeC9TcsTdseMIzaXzK3lLylGKCZU5M4_P5MbNAvbuBVGvbopBE7Vg1We6OrNBN_9QDtnBxSa7tT&__xts__%5B0%5D=68.ARAz1s9r_id3kB1alFja95DIi9KVhuemrqfaKwDAo6eX8iuJf_hvUqI6Uq4iMv5Z814gIQwNOvdH4oYBqcs119LqzOLoVbakAck__qH3uA9waDADgREdgpweCoy_NUuPQ5ssZ3OJ4uB_UbZClfV58jB8rN_nM-dDJh2biQevY-rDfaeeVXYmKHuXBrwVsxfwnJwK5H7LwpS_JgkCOEmRhxpGfpiMLx17OZMyFrUee_A9zlbDpDnoSY9oj5Cf-Us39W32Qc2yIaKkr_sIK3DTKHQvlaIbU2y3fKwwvEfuU6jcQ0KxTYrFRe4yxI-mgm4F9IkwsCZ-eljoOt9ztbJmCYxLwqMD","https://scontent.fcnx3-1.fna.fbcdn.net/v/t1.0-0/p526x296/61628528_1701484600151159_2985359689308438528_n.jpg?_nc_cat=101&_nc_oc=AQkAl7y43xEObbH9rMlmuci__NlXtSAKiIuM8wROfjbkIwcDf1WlyyIefIveVZgEsWI&_nc_ht=scontent.fcnx3-1.fna&oh=99744d57deb7e621cc6c7c40170ddaaa&oe=5E2525C4","undefined","2",""
"https://www.facebook.com/topicfactory/posts/1667729900193296","1552482001","【二手精品選物快閃店Pop-up Shop】3/17(日)
🌿「名牌精品，千元以下就能入手！」🌿時尚精品、名牌廚具、香氛全新產品，還能捐發票做公益，免費換特級橄欖油馬賽皂。

 更多品牌精品，陸續更新中！

 #Cartier #SalvatoreFerragamo #PRADA #MiuMiu 
#BALLY #Tiffany #Coach #ClubMonaco #agnèsb 
#ck #MarcJacobs #CommecaIsm #CalvinKlein
#MichaelKors #MICHELKLEIN #CharlesKeith 
#Martens #馬丁鞋 #Timberland #Converse 
#Dyson #NEOM #MOROCCANOIL #LOCCITANE
#柳宗理 

 🌿個人品牌介紹：施愛咪🌿
職業：Planner
很清楚什麼是我的、什麼不是，下手快狠準，只是下手頻率有點高，物滿為患啊～

 ＃微風般簡單 ＃自在 ＃宜人
-
🌿販賣精品：
👉 Ck 連身裙
👉 Club Monaco 連身裙
👉 Marc Jacobs 外套
👉 Commeca Ism 長外套
-
🌿 除了上述的服裝品項，快閃店當天愛咪還會攜帶更多精典好物，敬請期待。
-
每位前輩的商品，就像一家個人品牌的迷你選物店。我們網羅品味前輩們，拍賣曾經讓他們怦然心動的精品。
商品旁會附上這位前輩的介紹小卡，你會知道每個商品的上個主人是誰、他們過著什麼樣的品味生活，逛二手市集也許可以發現你的品味知音！
-
精品永遠保值，只因為這是生活態度、精緻品味。議題製作所與多位品味家精心挑選的二手精品，從生活日常物件到服裝、飾品、生活用品，歡迎生活美學初心者來挖寶！

 
你可以知道這些物品來自哪位美學前輩，也許你們有相同興趣和喜好，都喜歡旅行、也喜歡香氛，偶爾喜歡在家下廚，他們精心挑選的精品，有些使用的痕跡，但還是這麼美、氣質出眾。最重要的是，跟著前輩的腳步，不會花冤枉錢，也可以擁有跟前輩一樣的細膩生活、一點一點累積自己的美學。

 3/17（日）歡迎來議題製作所，選擇你的精緻生活。
美好生活的品味，從細膩「選」擇開始，你喜歡如何調味自己的生活，想凸顯自我的何種性格，透過「選物」勾勒出夢想中的藍圖。

 📍時間：3/17（日）13:00-20:00 免費入場！
📍選物商家/商品：將陸續曝光在議題製作所粉專與活動頁內，敬請期待。
📍地點：議題製作所（近 古亭捷運站五號出口）台北市大安區和平東路一段75巷2-1號一樓
++活動頁面++
https://www.facebook.com/events/2006672082780363/?ti=ia
-
#選物 #名牌 #精品 #品味 #復古 #二手 #精緻 #高貴 
#特賣 #清倉 #斷捨離 #平價 ＃快閃店 ＃議題製作所 #topicfactory","1571004877","/topicfactory/photos/pcb.1667729900193296/1667729693526650/?type=3&__tn__=HH-R&eid=ARAFLc1B4ZgVLYJ9-f0qsQK8O4NYfujo_GtM6558Q3IHb1EOsohwUNw5u21730KYke_bMJUMYTiTC5o1&__xts__%5B0%5D=68.ARCXquNBezOTnDzWOZAOlUW9spF3bO19OvC1dmm1vvby2qvVM1P0TKiEZ0gDjiAiH5hFPWwMGG4KeKyMF96J3NoKqVIiSWpKjLl4PaRimzlLNES4mshSbq4MfdDeE9npQJE6pFDwsFL-BH1djmc_ghi6yqRAqE9qWVC7FANlu708C3uLCaleOMM_F7H8Le28u7wSmUiLXPF0qrYCMpvVJGzK6vgiS6k6uHZQZwXOoiUy8ighDizHwDYKrv0WnCpOPhd72l6FneS8ouxSNs6PJE2gyq5nt6POKhTb449dKG9O-qc3_WmVJ0sQWqk-t-eNpihXsuLm7LaFV7vQeYfIWoPxpFhZYdLnMaA2vY5PjYMsV3fugk5VHV7w8FEGWjL9-WGe28mMiQc6j2mdL8Ba9-a582GXDozjwkx1Ayuf4DE7QDXGqrQ1","https://scontent.fsub8-1.fna.fbcdn.net/v/t1.0-0/p261x260/53488060_1667729696859983_3875869725900668928_o.jpg?_nc_cat=106&_nc_oc=AQnZbUySXTkg3te4x1drz6lbNfMXVV7INit6uRWbYLJGGJ0dOxvjzSY01Df4O_V7a0s&_nc_ht=scontent.fsub8-1.fna&oh=add5a18b99d83d22b6c76d5d8273beb8&oe=5E332AFA","undefined","",""
