url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/tpaobj22/posts/2865001250230724","1570982081","一直在糾結要不要帶軟Q去和服體驗，覺得必然是一場華麗的花錢找罪受。但路過看到免預約的和服體驗，還是有點心動。

 「去！連妳一起去！我拍！」旅伴極力慫恿。

 心想不好吧？人家也拖著孩子還麻煩她拍照，不過旅伴再三保障沒關係不要三八，難得一次，要做就整套，去！

 恭敬不如從命，今早九點店家一開門我就衝了。

 結論：的確花錢找罪受，但很值得。

 
再次鄭重感謝我的旅伴，她的積極、熱情、在旅程上幫了我好多好多，強力領導我走出舒適圈，餵獅子也好，和服也好，沒有她在我根本不想挑戰。出了社會要認識新朋友不容易，很感激孩子們讓我們能相遇。

 今日行程：
由布院和服體驗▶️坐由布院之森回博多。

 其他我們看圖說故事。","1571482496","/tpaobj22/photos/pcb.2865001250230724/2864894876908028/?type=3&__tn__=HH-R&eid=ARAV9UmULkbTwTuzOodxqEBVC9o04pg6zT4utvqxtQ50FKlKfzjK9j6LtfvvVlbn-Lszz3APmdKsmDge&__xts__%5B0%5D=68.ARBYhoWGZFdzwW8PLgdhLIMQe1rVQWls17zWf3m5O-c3zmT7OwEJUSU8tQhIua_A8pObyiIVYJlnSehnVNskeyB-x-c-__w3c6in3fRiXTz83RHdnds9OHGIUAHF6p758ydZrdF9vpGw-UIdDlRF1GKbqbvQmUHrppyqwEA-4e5xcQw4PBI7YPteVdJWrzSJw-t_eE2VNNCJaLteeXuLLWqLYEzcI0m1kWnxrITq0yazJPvz9sG4DEqqUeht7UOPxAuy5JNIov1Y2tNryWylL60XvOlOacFRlNp6Arf9Z28fxgooRcG-_9v-7nY6mZSMgzPUkN1Hj0hmlulew-483jnx-Q","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p403x403/72432828_2864894890241360_1479495811178954752_n.jpg?_nc_cat=103&_nc_oc=AQnBRh11JIkbfRIx-XqkT54wF8QS4U03xME-ZB6QyTyjYp0M-AOlLaITqZPMH7-9M9w&_nc_ht=scontent-sin2-2.xx&oh=0e24c3419e9de01bc001e8b0da385625&oe=5E2DA754","undefined","10",""
"https://www.facebook.com/tpaobj22/posts/2017126291684895","1528162878","您好，不好意思，可以知道西喜妹妹的身材尺寸嗎？想買那件妹妹最愛的襯衫，想作為購買尺寸參考，謝謝。",1579184930,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/tpaobj22/posts/2840986325965550","1570011328","跟melody in winderland 老闆娘娘合作直播玩得太開心！超時了還繼續穿！還好隱藏角色說他可以料理晚餐。

 懶得看直播的朋友，或是想先看看圖片再回頭看直播細節的朋友，來參考看看靜態穿搭圖片吧！

 10/3 18:00社團網站同步開賣！
網站排程表：https://reurl.cc/8lWEm7
購買方式：

 1) 社團- https://www.facebook.com/groups/miwgroups/

 2) 網站- www.miw.com.tw","1571482497","/tpaobj22/photos/pcb.2840986325965550/2840985519298964/?type=3&__tn__=HH-R&eid=ARCBp3cnix22Z-WqNlvZKske4KBGBwLhbhg6Rt43MVdR_G_s3g2P6YVTzH6xNWQLwzlxZMU0oK0OHW8j&__xts__%5B0%5D=68.ARBPVP98XdIjq5sH80w5UnP8Kbr5VaVL3bJBx26Kg6LS7zRUn1J36mQI3Hxvjv4Qw0OW-dVKRiDbduhEkZHD8RagXJ8B3yGOD-c75FUraf51FE5adKhKLxkV7Cj1qrLsFYXIjyRXlCKta5QFcPOmb9OsYrSj4_9sXuhEF7DvJrDZ2R3Ed8w0POV_vBCNrRzo8YiSzWsWI1Fu4YKOzTBR4Zn9Bs_F9WbNVjJFyRgjx3d92URdyBu95gT2pEFp4-HcL29ZxaaqJrSJhwJivxLWyVp3G3nvt-BjU91xuSbK8IvjyhxymggSh4p41B7-nb82N0C_H7dmOkhoGzWD6Q4E4jR2SA","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p350x350/72261637_2840985525965630_475073483731107840_n.jpg?_nc_cat=101&_nc_oc=AQnG3yk9HT-cXoDXch2Z9jUEI1Wfh9mFRXZzlH0Glvk1bImnZU_6jxf7_veyBfwCTAs&_nc_ht=scontent-sin6-1.xx&oh=2673250c1d4fd7cb3a698de5f0f24527&oe=5E288E7C","undefined","8",""
"https://www.facebook.com/tpaobj22/posts/2840329222697927","1569980474","我的老公是個有耐心的人，他可以把柚子剝得很漂亮。

 認識他時覺得他有點像大型恐龍🦕
的「鈍」，後來才察覺是他的耐心過於常人，先定而後動。他自己舉例是「天堂打得到50級的人都有堅忍不拔的韌性」，我自己的觀察則是，他去撈便當店的例湯，可以從蛋花湯從撈出三個蛋黃給我，要沈住氣，讓大鍋杓在鍋底待一回兒，慢慢慢慢撈起。

 我依言去撈，都只有清湯。

 柚子也是，我怎麼剝都是七零八落，他則是可以一條一條漂亮地剝好，放在保鮮盒，叮囑我要吃喔！

 最後謝謝一下送柚子的

 紅龍果小王子 賴彥銘
產地咬一口 Bit By Bit

 柚子都很香甜好吃，甜甜的效果快又好，感謝您們讓我今早一直坐在馬桶上打這篇。我們家還有12顆，下次真的不用送太多拜託了🙏","1571482497","/tpaobj22/photos/a.606313146099557/2840328182698031/?type=3&eid=ARCspSPowXE8mueUUFt2I36nxutv0WZ3CxowOTLauoCubYY3Y96EL5JdczKOL1tsoS2JlUzuN5cHrFwk&__xts__%5B0%5D=68.ARBAHVbA0IOx9lHzLT1MzQih_MbxRxB3Xhz-uPWF_KVUl04CBryhJ8lwiHIPx2q11psLTtNOcZZuMNXMUx21pqTw93znQafC0fw5Jp4KZuLI4yfRCIlZ28tH3Ern8zGmH4Rl8jYpnkER7YA3OXCcK16Yuszt7M9jW1nKYuGuxRhT5NEgFdQP37HexFx24W7lB9n9diNvHTfx9r5a_PyyC2Hf9UyeR9lqT_wXvG7Lj7Ko0jLNxcmNKb4kWYu05n5l0sOCVEHoVudcvmjNKuel3LAQGIluA1rErkp2wA3lNR0adKp9Y5q_6D_9nQtGPRd9M8ziQXj6_4jW9VqjSVxBnCTRaQ&__tn__=EEHH-R","https://scontent-sin6-1.xx.fbcdn.net/v/t1.0-0/p526x296/71554317_2840328189364697_888209274151370752_o.jpg?_nc_cat=103&_nc_oc=AQmaFxMeTfHWuSxFss-UXpPRzkKAa_lF1dArvEpNYm7GdlsnHc3fXbBtWJF8pZk4pjg&_nc_ht=scontent-sin6-1.xx&oh=4ab37cbdecfe0f0fc121e8d6ce5fe479&oe=5E1A55D6","undefined","",""
"https://www.facebook.com/tpaobj22/posts/2624791040918414","1560314772","育兒像爬山，一座看不到山頂的山。
一路上會遇到從山頂下來的路人，給妳鼓勵，告訴妳。

 「再努力一下下就要到了喔!」

 然而正在揮汗如土，焦頭爛額的自己，心中只有無限的幹意。

 「都說一下下，一下下，我都拚這麼久了還沒到那個一下下嗎?」

 ======

 紀錄我們家邊緣人即將滿一歲半越來越像人的小廢文。
➡️ http://tpaobj.com/a1y6m/

 === 小工商 ===

 圖中這帳篷是淘寶買的，有天跟軟Q聊到秘密基地這件事，上淘寶搜到這個感覺不錯就買了，連結我放留言。

 另外，加拿大 3 Sprouts收納目前小Q購物台開團中，到2019/6/17喔!

 加入社團
➡️ https://www.facebook.com/groups/314143279036055/","1571482497","/tpaobj22/photos/a.317344078329800/2624790004251851/?type=3&eid=ARA6ZeJNzxguPDCm09Ib0thumOyTfKHGIIqU7BiIQZW3jkie5IBb_rJGJhOZiHfRkqdRjzRO39eoayLM&__xts__%5B0%5D=68.ARBJCDB8QCXE4v4WHZ_IJ0ijln9-iZt7wJA7N17pw1CT7SPiTg36A1o2dw0VPq4TIikl6cxlX9EnbRw2hD96XCMynWbNa49sFaGOW6s08uz6W_fQZ9rYa2FoGv6ynt6uH4d5l9EL4Ti88L6kJuherCUbKB_UN7tv-0v4pfGzzB3KEvd2HD_ifDNc3JaLSNDmMvWqn6-fnBRiljbD_u2H7wik0_XfgawJDj8_DSoqZvGuZsCJCGCa6ZgNb75kVJghNXALt3qiKfhwfaJjwcPSOwQ0cNMZswVUsp5DQ5kmKNJMgohDWqhQ59QZjto6upuyCdzz6bl6PNId2n7BdnrKJr5iKw&__tn__=EHH-R","https://scontent-nrt1-1.xx.fbcdn.net/v/t1.0-0/s552x414/64246725_2624790007585184_1486131973737938944_n.jpg?_nc_cat=101&_nc_oc=AQnHpzBY0zcoVq5eXt9sOSOfPdgDvjyh09ZbLhj328b9kENNQrq6FGFBl6bgfryiKIo&_nc_ht=scontent-nrt1-1.xx&oh=3aff722ddc04508115c1250a2cb59c20&oe=5E636916","undefined","",""
"https://www.facebook.com/tpaobj22/posts/2773990569331793","1567077388","冰冰吃像冰滷味、熱熱吃粉油粉香的阿雪真甕雞，今天是 #團購最後一天啦！

 上次我用氣炸鍋180度10分鐘，原本Q彈的雞皮會變成微酥，很適合下酒喔。

 最後一天，要買要快！

 ====== 團購這邊買 ======

 https://happypie.com.tw/category/998

 本團為公益團，結算業績後將捐出5%所得給青少年兒福單位""勵友中心""。

 —————-

 1.阿雪手撕雞特色:
a.悶醺冰鎮後,獨家傳承30年阿嬤的配方調味
b.特別選用16周大的黑羽土雞，口感,肉質甜度最高。
c.老饕評比調味最佳,吃得到Q勁
d.蘋果日報評比連續三年禽類菜餚冠軍
e.有2隻冷/熱上菜影片(我放留言給大家參考)更多上菜變化

 老媽麻辣拌醬
a.麻辣乾拌麵界的老字號天王
b.一代歌姬--ALin推薦和眾多藝人強力介紹
c.獨家麻辣醬由數十種辣椒和辛香料獨門配製小火拌炒
d.麻辣醬打開後也易保存(沾不完的醬可下個麵直接拌,超好吃~~)

 這次團購獨家特色
1.兩品牌首次聯名推出
2.獨家限量1000組
3.目前其他台買不到,史上最強組合
4.大人小孩早餐(做成肉肉三明治)晚餐一次滿足
5.宵夜檔配大人的飲料極適合
6.野餐露營帶著走 開趴面子高","1571482497","/tpaobj22/photos/a.606313146099557/2773990362665147/?type=3&eid=ARDlClGieywdceIpIWMFHi4t5F0jtuWyF3j0PoYDGviDVU1vVEsvloTpVSUvu3T84Kp2UI3Tm0jIJXyV&__xts__%5B0%5D=68.ARD-yPuCPcMIMdYuduHoGsqswLpTON1Ujvb0DlmW9nOfXIV0EX_Liga-Cbvl-AHapodGDB413KIPGwIb7e02AmUCtScVItAkOwh7JPCwN1lY_lVKHVyZLKgqY4rsnfXtLtDUtbJl74uQXzFY0R1i6WHHDBuhj_xisDi-EAgCuWZFJyTzGgLY9JATaSJV2g8mTY5M83H1TqAk5jMO2W_EPzjuFCPBjbnt4ekYYiknGmHeOa1k-kFYYKNc4bNttPDbzcLwYHoWwdaRLsGoT-lrf8VrLo1gn5BHP-abO1LiJUyU363d84tclySBCGQD-IlhY9Ay2ZwpPOUDaawxQaleBVlBgA&__tn__=EEHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/69739559_2773990365998480_2164411342474182656_o.jpg?_nc_cat=109&_nc_oc=AQkFP_5dMllXGsSqXTl90eG8INQtywsWdUVnF8VpQsz1VJC0O3qgegTrxGXqJ9wdmi4&_nc_ht=scontent-sin2-2.xx&oh=557bf28d18d8e59cf76c8558e75b574e&oe=5E60EB4A","undefined","",""
"https://www.facebook.com/tpaobj22/posts/2326131527451035","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579184929,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/tpaobj22/posts/2665391910191660","1562118499","北上考前衝刺兼考試，拋家棄子五天，追逐自己的夢想去也。

 一把年紀了，書都念不進腦內。跟隱藏角色申請能否至少考前衝刺班讓我住旅館好好念書，要不然新竹台北奔波太累人，他一口答應：沒問題，包在我身上。

 然而這幾週訓練孩子一起睡覺始終不算順利，很害怕他應付不過來，一再詢問是否我退掉飯店好了？他還是那句：

 沒問題，包在我身上。

 虎尾的婆婆也追逐夢想去也，出國參加百里健走。想要丟包此路不通。還好我媽伸出了神之援手，但放話只限兩天，各一隻。拜謝老媽。

 再次有感，當了媽媽，想要隻身一人努力追求點什麼，沒有強大而溫暖的後援是做不到的啊⋯⋯。

 #感謝天感謝地感謝老媽感謝老公
#大人們

 背心 MO-BO 西喜聯名款
外罩、褲子：mobo （非聯名）
帽子：Melody in Wonderland 上次合作
行李箱：nasaden 新無憂22吋，優惠連結我放留言","1571482497","/tpaobj22/photos/a.606313146099557/2665389000191951/?type=3&eid=ARAQLGIbKad-YowUW2vJH5lrfSavwVPEImv3D6oKgJ3hufHnXHTBfTHWR434puTpi6S75gPw5LNSuLOq&__xts__%5B0%5D=68.ARAJQgV5otw8fuSjXd7ToBvzNzFFl0Ciqqh42-2Gl51O-cpKX7WL61HgJuMllJaw80z0ZjsUNIa8aW3luNY53KZsmtNTair1t25e4U1mUPPSbVrS2sw_CP640qCyE-GUEWzlhpvWnSwWtf_52bAzC2Qcx-3hIqj365uEZu-qyz1gY9bhO8cP84S-7g6HSSMDrNXBlkyDN_qd7QP1aZgFwu1hVykjadF7htXV0oQV_1AZyUxVy5loI4m0kapxMilKc1A0ltjkI1l1BKy3lZVr3Hzg_VBqR5OQtowkoiKi7sdQlWVHxTpicNYaqPpc296r96CigZvEiipTdod-M2He8MOO8g&__tn__=EEHH-R","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/65957601_2665389006858617_6377972459705991168_o.jpg?_nc_cat=105&_nc_oc=AQkfhiE_9FSTr_JXU2eGg5JmJByc-ae1hmlj2C1qaz3X5TQpTS5TZYB1UAdBGFF5a1Y&_nc_ht=scontent-sin6-2.xx&oh=7ff35eec2a4cafc889e463c92ab01a51&oe=5E63A433","undefined","",""
"https://www.facebook.com/tpaobj22/posts/2874443069286542","1571309075","求救問網友～😭😭😭😭😭

 
推推車、抱孩子、推行李的一週下來，我好像中了腕隧道症候群，會因為手掌酸麻而痛醒，前幾天已開始有症狀但很快就好了，今天麻很久，決定去看醫生。醫生說狀況還算輕，不用到打針的程度，叮囑手腕多休息、熱敷、可以吃點B群。

 問題來了，我討厭吞藥（很容易卡喉嚨），有沒有那種好吃或好喝的B群呢？或是藥丸很小顆的也可以，先謝謝大家了。

 #可以奉旨休息當廢妻了
#今天孩子都給老公洗喔耶","1571482497","/tpaobj22/photos/a.606313146099557/2874442272619955/?type=3&eid=ARCenmpnLPwtDFiYT4-Evn-FPRUdhhEZhq-FbskGMwAPuTWKQiLoQtJJFPhtntDHJpd61iArY7p_azEb&__xts__%5B0%5D=68.ARC7fBKJFgljOhijLSgqqXzmf1UMN5bMW8fRXjMnS6GMCVl0uIR3GUzQSbQ-6k2WXXoOei7cCqo5bD6mDAflqMizEmTjBLhiLJWggFFn5FfgFvooXkTKV8CCguAXpP76E7ek35XBR0RiBt7YFyw5KPkM6P-btrnNZweTvUcEBquwJM7myaKZWjiWNCbKNDKrvbIqUSKQ_UqA5GAX1BClTniEWFSiYFX2th96Q_2inyC-9ikW3RLgco0lGCFi7WQRt9f-PVtNkBk0KvO8QAZiVUP9ghZBJctswL8Q5oJXSYCRytNrK6H4DtK48FttzGUu-zm4WwJkTHaxVsiv7AGUe9zzRQ&__tn__=EEHH-R","https://scontent-icn1-1.xx.fbcdn.net/v/t1.0-0/p526x296/72555143_2874442279286621_1604829120154304512_o.jpg?_nc_cat=108&_nc_oc=AQlI-hh7hou-ddnz6RRoYk6cRjqpT2PWndRivVh6D0efzoTPUI5WxAJUlinlHDsGoFM&_nc_ht=scontent-icn1-1.xx&oh=861867c1900f5286444b685876fd6a5d&oe=5E2E1125","undefined","",""
"https://www.facebook.com/tpaobj22/posts/2122129507851239","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579184928,undefined,undefined,undefined,undefined,undefined
