url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/twfilmgroup/posts/10157611204411779","1568635010","我可以推薦，也想推薦一部電影『花椒之味』。
不諱言的，自己是因為#賴雅妍 而進電影院觀看了#花椒之味 。
本以為是淡淡的味道，因為我有看過原著小說，會有一點點的感動；但沒想到，改編後的電影到最後會那麼觸動人心，大大的擁抱了每一顆心。
導演說故事的能力依然那麼有吸引力，每一句對白都說進骨髓裡，像觸電般總讓人省思，繼而恍然大悟。用愛為基底，讓這花椒之味，不會太麻，更不覺得辣口，而是暖和了心裡的各種滋味，看完電影，哭過也被療癒了。
#花椒之味 的好口碑，在9/12上映後，持續的在爆發，倘若你正想進電影院，觀看一部電影，#花椒之味 正是很好的選擇。

 #花椒之味不能不被感動 
#花椒之味暖和了你的心
#花椒之味如樹如枝如果

 圖一自拍
圖二圖三轉自花椒之味FB https://www.facebook.com/FagaraTW/",1579116237,"https://www.facebook.com/photo.php?fbid=10220579982753639&set=pcb.10157611204411779&type=3&__tn__=HH-R&eid=ARCCIrDhwHYFduHSKk9jKDjSUWxTH4yxokkaZO22jQDGVNQEvN-x_d3cpcjNwg7GqURl7QDd72Ft-yQy","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p526x296/70402321_10220579982793640_7796514060660375552_o.jpg?_nc_cat=103&_nc_oc=AQk_5NVwP4kf_fWBk3oEy1i8EXjwoQ0IDAmy5rHO238mlFM4dgndqXaUjkDHrMfy0-I&_nc_ht=scontent-sin2-2.xx&_nc_tp=1002&oh=00837b6b4e5aa1e7447af7ef1c5c29c5&oe=5EA84B80",undefined,"",""
"https://www.facebook.com/twfilmgroup/posts/10157510177006779","1565364096","","1570983236","/watch/?ref=external&v=1368377763320728&__xts__%5B0%5D=68.ARBrwzZ40inGD3KQEa0zJFINdfJ_dCUdqTdvopFzRCYyU4kRkQvzzQlRJIlEHiQL3HG_NDNW9H3KzcUVuFF5YwJYvSWCbLAbBbxCJc2c8dNxc0HRhqxcEStHDDuBE5MA2ZarmVSVm2yb0JpZttL-exU_dZVWWuxpsGgDKFAlKTR_la1xKE1k4MSqkO_4zJ9xuwJuEQRVyp6EReX1Q88NSBIzyZx4qCrvuZDdqBtDI7RfvKzJn5ckBIIisIlYVDwZT-fbinY_6O-1juUnePXqUQp_UWjtTex-61fhK5CpPc0pgcAaKUAFXAjeHtY6yFOnX0SWdUUNH8Z65VISAJmG62uWS-jnTirSCsdDm4N10chGJhxJcElIPR3w2XVbGBqI5-xUAzkaCv9e2D83ij4PAXPXQVSyJAhFLRLh3fPIfyua6KjLBguXlpp7pcAAcKsI9FBYaxKYuAeNPRZue-MWyP0n3Fz9KqAU1pZgriZq9kp3cfJySt07d734lSs&__tn__=kFFHHH-R","https://scontent.fhan2-1.fna.fbcdn.net/v/t15.5256-10/62482610_470198483801412_1688244914120294400_n.jpg?_nc_cat=102&_nc_oc=AQklgorUu-NshVR28e43OoLOFVSgZI5z74CeWh9Nz6sKWX06SqvTujBfyHktHBsuDkM&_nc_ht=scontent.fhan2-1.fna&oh=18610c54204481b274a53b850bd6dbfc&oe=5E214A95","undefined","《臺灣三部曲》－【豐盛之城】計畫概念影片","Người đăng: 果子電影"
"https://www.facebook.com/twfilmgroup/posts/10157688276126779","1570976378","","1570983237","https://www.facebook.com/Tcacof/?ref=nf&hc_ref=ARQNnIApcTuJUqqRRyrKbYL0thc4prCqWG4lM2-Kz6jEe4yhthRwWRVFWP9m3NdxZpU&__xts__%5B0%5D=68.ARB9eaQeraNVKTSTPZg38jlN_8gwMUTV1lvkVJ0K9IyCgl9lQi1fVX4zIZcXUx5u4qbtk1-9dGCR1TZWodZZQIC5Hz5CSYwzhJT7LeS4wUtHRv1NUwr4dR6cuQ67X2CZEFHz39tvgwk2jXAvxlmuxINbaBMqNg_mmWOjn0hPDztaR6InlRw8pz2lapWOcXKe1gwQIE25Y5BiSbt0GT6JigHPx8rHKPh16La43Bx_VhUnkR0E77R9xnP593sUSVjRxp_PY-aEQsV4O_RM0HaCHUoDNxycj4tsuDpO0NsHwxmfoBtOi1AmlKS6lZZufFyPkYM1PblIh6TcsoGfJ2zEMzwY3kefr8uz3aErbo_9P0aAaxxTdLPM24ay2C_VZKTlI-CYp9leX7E4BWezzB7stXmHgwFXB-oa5shVQFbzut75MDqiHhJ5fm-ZUwANXqfO19YNWkq3a0mu-3_v7iIt3f0NkTW1_JD69wtPRlsUHYXF-rU&__tn__=%3CH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-1/p32x32/540730_513232472072392_517730427_n.jpg?_nc_cat=101&_nc_oc=AQn9jIIZUIDbD98pB6r76Lc3S6tJ6_NcWKntOUwC9XFINDjTZ3Q3mUJTP7rcIceWJFs&_nc_ht=scontent-sin2-2.xx&oh=55f727a12529037980b63b68651dbb60&oe=5E2C3DA5","Tcacof 台灣當代動漫原創論壇","Tcacof 台灣當代動漫原創論壇",""
"https://www.facebook.com/twfilmgroup/posts/10157501393571779","1565087608","",1579116246,"https://www.facebook.com/LADYTHEBUTTERFLY/?ref=nf&hc_ref=ARSuTN5hnwv--YTShnlxKuupwm3zHq0rPAe06737SaBnGJ_OGoX7JQUs8uUDn7hB04M&__xts__%5B0%5D=68.ARBf6rsy4hyfGn4PQ9J2QZYHB75ZeTxFq-HQOB3gfgQWFglHPU9XQ2PYrLEeswkV-VU6NUzs5tjdugrpPCcaJsUvLqVT42czHam5viicb5DcILIDs4C4ZmCKxsdynQWR-VBBQuVdOJZ9qvLh5K-v9HdrADjSiZ-I2YCrV3i-vgcmWRQ1v94AQ6E8FwbrKPcVtoDyaCJRsEXcG9xoitMZ0yMa8OJbPcYJFBkqi9QLQTadmhJC8KK-IPw0BRtyHnvvRS5r-lVRGZeKOY9k_9xjbv0PtXsZpwZ6N8-miMvHHhk81h1cRxjC1AAuIfBppf2SFweLGfo4YnE3y-ikVin6M6WZK9e3Gnk_RagyvowOF-HH2rbinVppI43NHx6DqwmCYuLX5VYb0UrT24CcMkNomTrAPvQ95V-QFxj25c21xciaaqPXg4R42hQ1xNDRuYNFEpQfW1KmkyAQlqwCpzvi5uydzBr9Iwy5s5IFijd1TlBSvqeS&__tn__=%3CH-R","https://scontent.fhan4-1.fna.fbcdn.net/v/t31.0-1/cp0/p32x32/28947136_2053749031332277_7276970057144419652_o.jpg?_nc_cat=104&_nc_oc=AQnkBtLEtqIyTq2_w_tPtZEifPyHz4rjivtHEEC_DdGjkRZsfrIavt4LKYpTqmHRzkI&_nc_ht=scontent.fhan4-1.fna&oh=40d6acbe495980e739a3b7ea30546b4a&oe=5ED9BFA3","傀儡花 Lady the Butterfly","傀儡花 Lady the Butterfly",""
"https://www.facebook.com/twfilmgroup/posts/10157423887841779","1562495967","Channel of my casino vids in California. Please check it out and subscribe!!,",1579116238,"https://l.facebook.com/l.php?u=https%3A%2F%2Fyoutu.be%2FA5w-lEC0lW4&h=AT2nnHbt7KW9QJxVhqyOj9Ve3XUcgHB_aYneSqex0iIx_N-CiSnEc1Fvy4w3MZvKbpuNlmp_FLZykK40evu0cTXRXyjElKWxX1pgP7dxAMz4F4fE8knNJAUHGNz3r9flw__vw_EQe93HyBGKInIAkk-HZboq0_QnfI8wiu1jSgj2zQ","https://external.fbkk23-1.fna.fbcdn.net/safe_image.php?d=AQAym74IACrr7MhS&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FA5w-lEC0lW4%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCqOoJDxllp7Spv","ในภาพอาจจะมี สถานที่ในร่ม, ข้อความพูดว่า ""BUFFALO GOLD 325X BONUS WIN!!!!""","July 6, 2019",""
"https://www.facebook.com/twfilmgroup/posts/10157501497991779","1565092090","",1579116240,"https://www.facebook.com/Tcacof/?ref=nf&hc_ref=ARSttqBn0xE16p888J3A3_kU3Jo46L-Jr1thBf8XxuH0o1-UD-hCpkOfO1NOnRVo1E4&__xts__%5B0%5D=68.ARDi9uyl3v109dvr2YDKqdVwzv3TfAOdfBoqKDcGZRUd7GqwDALkKCS4kgBXbCUQVxA9z5Qm81SI9HQ-VSsNV7ujZi9m0wNM4JLYWgLSvLHPAr3WNjmF5E8l5twbov0Lh4m-IK2nsbFBWSlL3RgadTpsmIywMvavicH6_0XoegZzqtOnVZLA-mfhNkmF5F_jT5n4AuNrM262k3iezGqqrzix9SuwsBRIEFCAVCX26LGW94IbTrAlwMxYYBplCx1CZV-kAduKu8fxolNKIdVKjpec468s8990z3W97dpCovDP7URXppKUoyi80t5cxyz9OGWpwXV29odP3RQd9tUMI_7NV_YuWGMjvwsrwoe11P71UbRWzi1ySfy_QOpXhWr_8-hqJ9TO05tkWDbY_mScleYSZP1Ez_jEaPTJ0ofRuXonUkXPgdk-ATwcb0drf5Z8HOEC0HvmGBv9KPB1Jy45dru9GGzcCwfyBWmsFoB1Y0fj_hQ&__tn__=%3CH-R","https://scontent.fdac14-1.fna.fbcdn.net/v/t1.0-1/cp0/p32x32/540730_513232472072392_517730427_n.jpg?_nc_cat=101&_nc_ohc=hBOvVQr2Q_QAX_s57EJ&_nc_ht=scontent.fdac14-1.fna&oh=1e5717292293f4d702516436d3749fa4&oe=5E945F61","Tcacof 台灣當代動漫原創論壇","Tcacof 台灣當代動漫原創論壇",""
"https://www.facebook.com/twfilmgroup/posts/10157509007286779","[Error]: TypeError: Cannot read property 'attribs' of undefined","","1570983237","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/twfilmgroup/posts/10157493277731779","1564824514","韓片正夯，我們究竟是如何看到外片的──談電影發行公司的任務",1579116245,"https://l.facebook.com/l.php?u=https%3A%2F%2Fclappin.blog%2F2018%2F01%2F29%2F%25E9%259F%2593%25E7%2589%2587%25E6%25AD%25A3%25E5%25A4%25AF%25EF%25BC%258C%25E6%2588%2591%25E5%2580%2591%25E7%25A9%25B6%25E7%25AB%259F%25E6%2598%25AF%25E5%25A6%2582%25E4%25BD%2595%25E7%259C%258B%25E5%2588%25B0%25E5%25A4%2596%25E7%2589%2587%25E7%259A%2584%25E2%2594%2580%25E2%2594%2580%25E8%25AB%2587%25E9%259B%25BB%25E5%25BD%25B1%2F&h=AT2E0j9HsnMkt3Fkx151PKAnHParQMo9hvbB13B0cQ0tY5_eiyjgEE0fTnmKTEgEepVEhESGjE_HbnZQmNDcZufkip9Ikg0PMEeYdUDhSUvlmmsgBXUtorycgcQMHj7Rs7ovLoXcJyoj-zf4DaSxXu_Ohj0imFusS48JYyZlZZbPHsNnBoXN2OhjNdf1h7BERIunCyoZKexnBRC3xVWklUvBDWThAdtaOqDhX6qDtLpbgZKtw9lHMN018S_Pxh3ecpdBPNPx3flKwFo_4-rJWxYBSPQkFhePBAIXikbB3zaVKssUUZfBTWkwct6Zs4z7yhBXzSCxYV6pH8p69BpPaCmmcmPXH1EhOaVE6DrsqcKeDpdHy9xcabIuXurq7vtMpUyRh-a8LtL2DFlduCHT18jI9VVFZKyuP-Py4g4rFoGl5a07NzL1jznO7UPTHi4d-XZXkDJdpIG7-9qPBZ0k_GnhTbVLEHs6chLrKwwtiVPavI1Pt5d5KoZhjQ0p6CP0ZCzTxhyasTjDHsz__Bn7nrnnM8W2X2FUa4gDnleDNa53GhUwaveoNKiKffxcpJycNnkHYpdWVuE0BEJBAQAiYxMOFH6ZeapQ58xCxQLIJrhQLAw8FyNMq_LX0wsfkGAEZuTCjELh","https://external.fdac24-1.fna.fbcdn.net/safe_image.php?d=AQBW08NXn5jLbakB&w=540&h=282&url=https%3A%2F%2Fi2.wp.com%2Fclappin.blog%2Fwp-content%2Fuploads%2F2018%2F01%2FGoing-To-Market-Dec-InFocus.jpg%3Ffit%3D750%252C500&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQD1UTRAij0KrMrc","Image may contain: one or more people, text that says ""AMERICAN FILM MARKET PRESENTED BY THE INDEPENDENT FILM & TELEVISION ALLIANCE®""","這幾年，每當遇到自我介紹的場合，大多數人的反應一定是：「電影發行工作是在做什麼？」相較於電影製作流程，大眾對於…","clappin.blog拍手Clappin｜韓片正夯，我們究竟是如何看到外片的──談電影發行公司的任務這幾年，每當遇到自我介紹的場合，大多數人的反應一定是：「電影發行工作是在做什麼？」相較於電影製作流程，大眾對於…這幾年，每當遇到自我介紹的場合，大多數人的反應一定是：「電影發行工作是在做什麼？」相較於電影製作流程，大眾對於…"
"https://www.facebook.com/twfilmgroup/posts/10157500953551779","1565066201","",1579116246,"/keyiimage.studio/photos/a.2448257715389544/2448257738722875/?type=3&__tn__=HH-R&eid=ARAABA0lXZJUJL6AC7eluzqZuFxJKKKrW4Zy1ozuVNO5edsGWRF3PX3fyCs8YmdkEpMRdk8gOv0dOlVH&__xts__%5B0%5D=68.ARDy0b3HvdZuNaIF9iry8nHL1jKY1ouyQYbk3ptac8UlgG095sa1Ttlwf_WhS4bKtTXLgs0swFoB16Vl4SxfNN22DScbVhOuPlmrzmOWwIIDZvXgV_tStFOcPozkOfJyVwWCBH08GY-7FJ9hqD7jPzE5S1bgWGigqkLFoI7EiCPWeHVB1bp83ct1nOubnFLhRpAl2nw9BryrvfIroUJEpmaevKhiy0MbDZHFCh3zkuxe74XWvs6GigqAuaGEU_dobAKgc1pk2U-pf1zpf4MKiT0ADamQi1uXWVhV7MN3V7b_uee7zRi-oQa7NpOMxRm5a6_o1DksAklLuagcpVWDjqN6iT3JsZ4GRb0Ea5QrR541v66__ZySa0sTOgSRHmkFpWt9p7HYdpTM8x3jlpWasoDV5zQFxCBDB4VH0dCM9WUEr72HIM-QpBBLgx6P6eduiDdonhY_u53p4JE0lJFA2fP8dwMibs7tjkAOOCwVbHfSDmpyJqipye4gRxUaoJNhMx3SvwUlQqHR8f2YwiYKs_Ssx5DACXRI","https://scontent.fcgk6-1.fna.fbcdn.net/v/t1.0-0/s261x260/67409765_2448257742056208_6315499617765031936_o.jpg?_nc_cat=103&_nc_ohc=cx97G54LEtQAX8Bl4RD&_nc_ht=scontent.fcgk6-1.fna&_nc_tp=1002&oh=3772f0e22d2b683098b3e5fae088d514&oe=5E9EAF50",undefined,"+8",""
"https://www.facebook.com/twfilmgroup/posts/10157496011326779","1564908106","",1579116239,"https://www.facebook.com/Tcacof/?ref=nf&hc_ref=ARR2vNS_eOUmrAvGmMKX2RS4Lgi1z8bPcX3F1yOuziSvybtuWqNHzShwraO3Zcj8VWI&__xts__%5B0%5D=68.ARBtE8WTywYh1mRvYp1eouy-NTc58HbMGUTuKF_ObwFKhAP6-YGK5Z53eIfRNNEjxcg7qM7dAibJyjokj-xVkd7ldNfpAFMSpfMpKablImFb8FzLXgtGxTrs8--lnnR5QN04rb_ujCisTapHMq-6sfVtAtN7fERZHcJLcc2P5vFwvipVFUm7zNAYLU0DzNmjTGcdXiTCpjkA6WN8v9VYqPULXuIMdazN3CixrJhUomJK1ZnzLVbN3UxHKkL2qrSVtr5RkxMAG8I1aIDGJ06N4W_2nfuwNVNJMSQhdNW7WbbfxZNzKYAgHuUP0QBGALQt0Ryu0xi4StRmELZvcWOkPrgoJQh9iRF8XhQbdwUeMj_kE7teKIz9KTmn8tzIlo_5tkYJ13YYuEEzmtXahSZPErunaTTfHQvTOrAmZ3OQRRBZmYiUl3DqVtUCLl3I_EG0hcG4YrhhsvHIXHG_XMWxmvw5lFbNiLj4sIUzHcRZW-pvLm0&__tn__=%3CH-R","https://scontent-cdt1-1.xx.fbcdn.net/v/t1.0-1/cp0/p32x32/540730_513232472072392_517730427_n.jpg?_nc_cat=101&_nc_ohc=hBOvVQr2Q_QAX_u0ZeA&_nc_ht=scontent-cdt1-1.xx&oh=57e3edcb1b44af6bfa3305b0d8edba55&oe=5E945F61","Tcacof 台灣當代動漫原創論壇","Tcacof 台灣當代動漫原創論壇",""
