url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/wishnotekstar/posts/2393170154126560","1572948020","柾國今年真的有點衰啊ㅠㅠ
#防彈少年團 #柾國 #BTS
_________________________________
FB看不到的精采消息都在“韓國有事嗎""IG！
現在追蹤各種韓星資訊及贈獎活動都不錯過❤
：bit.ly/wishnote_kstar

 想收到最新最快的韓國消息嗎？
快加入Twitter還有不定時好康送給你❤
：https://bit.ly/2MxzhdZ","1572951585","https://l.facebook.com/l.php?u=https%3A%2F%2Fwishnote.tw%2Fshare%2F120549&h=AT2l2UhztxU_w7YsVZWdeBAJwTsdszSdAo7njOgldbBz3OVr_mxbPB7f9ALn9vqEBu20AmAmbMtviHlu1Z6shGWDuBfww3Vy0GufLx1vUuW95yp40dRqWhA99OueErcGZCruZymm1NFKRJpxmFSMwm_CAUv6Zyz_21siPOF06tYi1NNaTV-ot27CwVcyqqmNooOwqnN7YEz8-3dmxW3ETBEBuU5s7UgHhBIQNw22TfbsdrieX-1gN5ovD-geOFuKaN_dMhS5JtaCObM1GquC7OlCWXWl7sa9xCgICfWCZhCuyFrK1gRxtWLrbc-yeU4yMy_gDvsZ_cAvapkEDAZu7ljbLhQA6PnaEgMBeC3wvLzjhwp85QvPugus8amZG_TbcR2-yNYqh6jOrMVOSw1UR7mUCdBqBfRzakIuVewv9YrXxKLYxcviZ3QRpMe1Vuw6f_et1EezPceGPydvvPM3KyoY-OGi1FZ0WgSOkLwJdRJpaW322wtCBM2UauAD76-AiC9SoYtt24H_it_jX6htAY-qdZ1cypascQvhjxzSX2IA6d5bNOUnNrY-dNOWs9cSTgwmrZdJM9qeQACiN3q_05VH59ZcR4IbQdtkleyFpeFFmg0docqe6x_KejcnUR4F8PQcCS9ZXuHRI78n","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQAQzTRDrTMga8iH&w=540&h=282&url=https%3A%2F%2Fcdn.wishnote.tw%2F900%2F2019%2F11%2F05%2F900_120549_1572939118.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB6G_GB5jzROHyn","Image may contain: one or more people and closeup","2019根本是柾國的受難時代！網友看不下去 還原交通事故真相，呼籲黑粉：口下留情！","柾國今年真的有點衰啊ㅠㅠ 昨日(4日)韓媒報導了防彈少年團成員柾國的交通事故新聞，內容提到：「4日，據警方透露，首爾龍山警察署以涉嫌違反道路交通法對BTS成員柾國立案調查。柾國本月2日在龍山區漢南洞的一條街道上開..."
"https://www.facebook.com/wishnotekstar/posts/2390934964350079","1572861601","以為TXT的已經夠驚人了XD
#高難度編舞 #TXT #GOT7
_________________________________
FB看不到的精采消息都在“韓國有事嗎""IG！
現在追蹤各種韓星資訊及贈獎活動都不錯過❤
：bit.ly/wishnote_kstar

 想收到最新最快的韓國消息嗎？
快加入Twitter還有不定時好康送給你❤
：https://bit.ly/2MxzhdZ","1572951586","https://l.facebook.com/l.php?u=https%3A%2F%2Fwishnote.tw%2Fshare%2F120531&h=AT1FVu4Oe-1SbtQg3WfWhGyPWdYpqilFWxjlQt3FK-dOcbgD8VjrbOk-yLWZ1URc0-Mvm7B9WLJvazBkxIm03xHL4hf5QKvzFB_x_vohTxUjKnxMi7H0YEDjKpm_m2oXXCQJfTpfgOqs-HDB-ZhllFj0eZZH3OZHXxs8A0rr9xL6dPs_td5R55sH6GBlVQJQFJJR2ew_OvCZ2iwvMe37QSVvp1WGt0C_GOjL2TmRuZXn3rzitrrvfZc-vO0-g3iS_-Cc-peGfRBRtIdhgNwa2QpUilGSD2HWq27C12of5p8pBUMbeWsCj3T6vO4vZBvalzkpFTUSdJyFjRhTQLQip9O0ZHGMu_JS57gYeAx7iK9FCHql4iJAiNgc-XlqF3Alc1DqP6aU_Hwh4o5SKdH0I9POWlnANGCwAKniA4HomkUVBnd6-3uC3ZJRXG3JAboABbEmWnioVmhNibF1wRWw4rRK1i_o7CCy3c7dU8eR_aPPxnPmNyxTtbWl_DIyF4XSKABClwVUPItGT25l6IOfhSV59GxCD5gVxBNlaVRsN285txUiBXAlx05SO8Vmq2Qo_jFtaj-LsxawCyDVxXaM-7KDg283lM31mKBlFk7IHqsaFLPqgo-UIpt1uYXGvrAcxVH3X0CyFg1CtTxF","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQAtP1jQJHmeSQGr&w=540&h=282&url=https%3A%2F%2Fcdn.wishnote.tw%2F900%2F2019%2F11%2F04%2F900_120531_1572842767.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQD6jQEXTUO5l2yW","Image may contain: one or more people","以為是CG做的！大勢男團回歸MV高難度編舞讓粉絲全看傻，網友卻笑稱：有魔性XD","以為TXT的已經夠驚人了XD 先前TXT的新專輯概念影片釋出時，衝擊性的表演讓外界非常震驚，其中更是有成員模擬在水中跳舞的片段，不管看幾次都覺得很厲害啊！"
"https://www.facebook.com/wishnotekstar/posts/2363414757102100","1571749233","根本認不出來是誰啊啊啊啊
#Me妃 #化妝好重要 #Joy根本就是兩個人
---------------------------------------
✨趕快來追蹤我們的Instagram！更多粉專看不到的精彩內容都在這裡！
https://goo.gl/eV5ppB

 💖關注 WishNote Me．妃 💖解更多美妝、時尚、生活資訊💐","1572951586","https://l.facebook.com/l.php?u=https%3A%2F%2Fwishnote.tw%2Fshare%2F119974&h=AT2JbgrJHqm45fWmlYSReevC8wMkSdcPcfGrS-xSnat1luAHBzEHRfyhOfNx4mcmY9auMjplLwGawigRpTp8sD2k8pOfJgWSAREriA1RJRhVUmEts3Z2KlqEJ1dT2Bk5L5jm7Gf7sgqxycuW-OzhQWt7-LWvwgRJBSkgkLNvPTX5hE_rabQhC0l-AVLL9Y28EDFvtsVNojcoTEbhNAw2YwaWVHh73fznrhdCo1lxYXAEUV64tl7gm3BSUgpvmE4eKUWHkzEzuIh77SIxeKH2aONGmVm9MX6VRCbGHBIYF4z7CPRC0rycKgSqmMw4f366k_vBtCrdgiLhKn0yNPCJauvP-Eh5qw56_Ih2OsUdiqWbJh3ieSumXNw82n7xajh1ouBYiRKQDmUf5sGCa-vD32ta6Fzp6EFwfCPXliD4i7kPqFCXiDKJSbBU2M-PEm7RgJJm51JQ-02-Ohh6ybBRYSmaHFsjsFjLtqXEjxqiNLnyZdm4Oy6hFgvsb7FhQ2hLNWd7SYHE7RKVeImVe9rWce1Qb6C0v96FmEysv5OENMhTr1ppds0mxciE5wM5fE1iYy3hVqXZIQ74KE1cXTLB5A3BWZSHWGmDpCLdr0kHuYJRorcpz-03CJ7VMV7jtJBpUWXQ-qG0MwZ1yWpu","https://external-sin6-1.xx.fbcdn.net/safe_image.php?d=AQCetbqXxQvbvOTx&w=540&h=282&url=https%3A%2F%2Fcdn.wishnote.tw%2F900%2F2019%2F10%2F07%2F900_119974_1570424449.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB7qz60FhUtpWDf","Image may contain: one or more people and closeup","JOY、子瑜都認不出來？8位女偶像的妝容「蛻變」之路大公開！","妝容可以改變一個人非常大的形象，從清純可愛風變身成為火辣成熟的造型都有可能，只能說化妝甚至還比整形厲害啊！不只凡人可以從妝容上有變化，其實這麼多年來，妝容一直在做不一樣的流行，究竟女明星的妝容有什麼樣..."
"https://www.facebook.com/wishnotekstar/posts/2369729343137308","1572145200","天啊裡面的物品都超可愛 😍😍😍
只要是阿米們都會發瘋啊！！！

 感謝 JOU TV 朴梨 提供影片
--
💖影片來源：https://reurl.cc/0zZAnK
💖點我追蹤IG：https://goo.gl/hB1dvK
💖點我看更多有趣影片：https://bit.ly/2GlSkU6","1572951586","/watch/?ref=external&v=936101113425077&__xts__%5B0%5D=68.ARBEIOoW1uxsz6Q-oOJhQ1KLNG1hkJytWT7zcX5rcleaX2R_z_6mLhRgzK2XPY4BeCdzAvGlkIFWuuGCtjyld6-TvgHjM6ApD8lETXGBSzsEL9HrTwzeYjcIpEk5cUrjtzIU98Mf_L_7IIDwjkxPxHe7DY1iZjrddGN9z8BaDLBS1inn7qUE_P-7Uhpqn11HjRPGZ0BNj50lUcMtqeZnnn4TvopyKtc38ljFhz1D-4aoOS7aZu9yI4oe8NKP3EYxPYq-Lgo2TzBxI4v4iQGbP5vJfNXlD2v-AZYFG4K50k4oPo0BhGXnChdFtHvf5NPJ6cyY6pOMhpKVRihgMQzkOK-i0RpZPM6ygg-mAg&__tn__=kFFHHH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t15.5256-10/71351374_936103783424810_4758885177705365504_n.jpg?_nc_cat=104&_nc_oc=AQlduKNxbTOYg_rQIwm39T-B2lbCwlf_G8ssN-5b-iVcoUHMAmun_dUuq9fFvh9l40k&_nc_ht=scontent-sin2-2.xx&oh=de33a8da64a35b7b014d7bb2a2049436&oe=5E45DCED","undefined","BT21開箱！特價整個失心瘋？🌟🌟🌟","Posted by 韓國有事嗎"
"https://www.facebook.com/wishnotekstar/posts/2392821147494794","1572930052","啊......MAMAMOO對不起XD
#MAMAMOO #真實身高 #QUEENDOM
_________________________________
FB看不到的精采消息都在“韓國有事嗎""IG！
現在追蹤各種韓星資訊及贈獎活動都不錯過❤
：bit.ly/wishnote_kstar

 想收到最新最快的韓國消息嗎？
快加入Twitter還有不定時好康送給你❤
：https://bit.ly/2MxzhdZ","1572951586","https://l.facebook.com/l.php?u=https%3A%2F%2Fwishnote.tw%2Fshare%2F120537&h=AT1j1E0vrUJFV6JS2zAWxmggVxdITGobIpCzKePZmyQFYH7jMvgi2tzG3UNv8bPpg9FDqNMegHxoKThmdWfaaABQcLWPlr27YVoZ8YjFg_Cv99mifaDpElXL6k3RQcWEURAgTzO9fkybEEwSNiSqzFpEvriCyO6VZmjU6j9vOjR2OuCP652nMA47D1Ac1EI1MXhyvFVyeCsLgchF-yI6vIqOjJjrnthzRkTibuTsrvXR8GyAv4M-R7U0S25eug2MdbIuA_Lt0m4duh_1EpJyDV--mVNqPb_FAvhhaVODXlDCAr1CZPvmU7914PcjT0UX_z7hyYnxL1sB61FBu2dqG4tkSTvxVVsloLNJYuJ9B8v_nQrRr1xJo9nzZrI7BQwf-5tMtRSI4Uyv2TzAbrI2BKA9vN1k9y9jEWw63HTz2K2g4y-6IL4pQ_LeG0bYl_s3AqeW_RCkYJipt4nuJjnNI2dZ3TvLNAkfifQWSHxTaX6Bn0s9GuwdensZ2HaNgjTHeZ6bIu5-pYNbLKQFUGndGKj5lVvXY2OpxmjgqlLCVNnRiOT3vw8F92o_imdR5_Tm023I8Ox7fMzL5JwG24JlCmLVvXh_PwsPzi0ffHgmg_LBqfPb4Hxm0EQIUY5jtMNnGpAI5GlCLEoffmhp","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQCIevKnPHrd2tIo&w=540&h=282&url=https%3A%2F%2Fcdn.wishnote.tw%2F900%2F2019%2F11%2F04%2F900_120537_1572858719.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCyq7hR8_SSE6jS","Image may contain: one or more people, selfie and closeup","以為是放送事故！直播中主持人身後多一隻手，鏡頭一轉卻讓MAMAMOO真實身高曝光！","啊......MAMAMOO對不起XD 雖說偶像最重要的是個人魅力及才華，但有時候顏值與身高也能加不少分，不過也有些偶像是以矮小可愛出名的，像是SEVENTEEN的WOOZI XD"
"https://www.facebook.com/wishnotekstar/posts/2381070488669860","1572444041","連續七個月冠軍真的太猛啦！
#華莎 #太妍 #朴智旻
_________________________________
FB看不到的精采消息都在“韓國有事嗎""IG！
現在追蹤各種韓星資訊及贈獎活動都不錯過❤
：bit.ly/wishnote_kstar

 想收到最新最快的韓國消息嗎？
快加入Twitter還有不定時好康送給你❤
：https://bit.ly/2MxzhdZ","1572951586","https://l.facebook.com/l.php?u=https%3A%2F%2Fwishnote.tw%2Fshare%2F120423&h=AT0EK41h41VUSxE7DJs9nPvKuk4nNYDg7m9PxWEw9Ne7oZeX4tm7qGkdV62e1fnvrFdc8gEiBG8qxx0Rbwbk3ou4oiwHbmCTjiRBnsQe3bHO8dEkhjgg1ujCfucTxHQ4PPPKAvqeTS5y0-ovqFFaWB8saRjK5H7XzwfDfaNQRe45kvrGLFylduzudPM07-mxzO7n7Uw0lebB75RPO1aEd9N0VTSOOD52r6seeJQ11f9ksgrHCKgzyvJiydnYNHwu4IwxtJ5Ik_venlQ-CpIA0hr_zv0x87RBp7l26op8yi1eYfv65YPU8fKyr0YvLjDCtZi0RYhjUVxLycI3eAHvxhf2tQiFyCyyosKTUpB0DirfY8W4Y4-PYUkpTxIB87PUvgGlXEnZdLyg-ans0y7m6lizmlWzcMTRE8LxVTNJFkEJLu2Yr0le9ZfS3otACsXW-_W4S_VIwzfAz6iNOX8rUEf8U5aqOh0i2h6jM7nMUJQpQR8Njw0uZRHzjPrNoD20fQKpRUMbyUAVBP9bbUtMiG73Jm3QANqM8ez2YHTI6pCRFT_NEyz1xvbKkTe-4xj-_YBclSzkCO_FTqm9dwCiaUy89idjWN13Z-zqOvzGbLf0_SXaQh_hse5pOf6t_nm23QCydeU48qF9JMLM","https://external.fcgk13-1.fna.fbcdn.net/safe_image.php?d=AQDyp6npsxwNt4FV&w=540&h=282&url=https%3A%2F%2Fcdn.wishnote.tw%2F900%2F2019%2F10%2F29%2F900_120423_1572338105.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDZaS5gyG7bYw89","Image may contain: one or more people, flower and closeup","女偶像只有7位進榜！10月偶像個人品牌評價TOP30出爐，冠軍連續7個月都是BTS的他！","連續七個月冠軍真的太猛啦！ 每個月韓國企業評價研究所都會透過大數據分析歌手/團體的品牌評價，以下是9/26~10/27期間統計的偶像個人品牌評價數據排名，一起來看看有誰吧！^^"
"https://www.facebook.com/wishnotekstar/posts/2381113015332274","1572789645","原來真實的髮質長這樣ㅠㅠ
#IRENE #太妍 #IU
_________________________________
FB看不到的精采消息都在“韓國有事嗎""IG！
現在追蹤各種韓星資訊及贈獎活動都不錯過❤
：bit.ly/wishnote_kstar

 想收到最新最快的韓國消息嗎？
快加入Twitter還有不定時好康送給你❤
：https://bit.ly/2MxzhdZ","1572951587","https://l.facebook.com/l.php?u=https%3A%2F%2Fwishnote.tw%2Fshare%2F119980&h=AT2sYklpGbDoh7Aj738rFLjxiVMNqsBUyV1F45gXxfYbkL4t1ItSwXukoNSwnGKgOoqxhLTC-Tc5_1woNCezd4iRUoP85ePml6iuM_FP5f8i-dPkvXT1WhvvlWBUWIMa8lXHzOf7Tk1G8QadhgAlkX90SI9oG29_s_aQCdwKydVqYFhSyeBSKJmQTky67BNh93_YU4EH8mXxjZbiE65Er6zBW4Nnsi-082N8fBz6YNEF_EVB80k92ChHu_Ec7g8ddnzZ9nBK6Mg5_J4ZAzRDLCsgLFP-_EVMcu4K-DMQDFyijI8JA4vpPi8wI2UdlvlVTZHDkY7GFsDsl_pZxjrF92FtEwMtuHa5g39NKhvQufWf-zgYfaBJ6IATsJTpl9ZcqHHVlzEH0KVllLMIQ_vZoIx72qz0EsrMnyhhLTUutP_eTlxay-gs3zkGXXXzCrr7bjn1pPatCiqObyluFV7alnDbxZJVoqOc3Yy3gxu549MMOeDAmy-fiK-FnURRQKkWwAU45fHuZX__J3OsYaYJBEtS9IuEcit0zwahZAABJ4cb3LwJe2wXGReVej6S2bgDrMFatlQr-xTw0X6EwIJnpeIZ0DWrZ-7M-RRMAdEAQt_AkoISYlyvb5DMLYDqq8zStXfY6x7Ix0UQLObp","https://external.fhan2-1.fna.fbcdn.net/safe_image.php?d=AQDhgDP99QD22YAc&w=540&h=282&url=https%3A%2F%2Fcdn.wishnote.tw%2F900%2F2019%2F10%2F17%2F900_119980_1571284364.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQCeircAM8G4CDWP","Trong hình ảnh có thể có: một hoặc nhiều người, ảnh tự sướng và cận cảnh","偶像真的是極限職業！IRENE舞台下真實髮質曝光，前後差異照片讓粉絲看了超心疼！","原來真實的髮質長這樣ㅠㅠ 偶像是個時常變換髮型、髮色的職業，所以需要常常染燙頭髮，長期下來其實頭髮狀態都不好，韓網最近就列出了幾個女偶像的頭髮在整理前跟整理後的差異，一起來看看吧！"
"https://www.facebook.com/wishnotekstar/posts/2355103607933215","1571457601","要一直長長久久走下去！
#superjunior #回歸 #SJ
_________________________________
FB看不到的精采消息都在“韓國有事嗎""IG！
現在追蹤各種韓星資訊及贈獎活動都不錯過❤
：bit.ly/wishnote_kstar

 想收到最新最快的韓國消息嗎？
快加入Twitter還有不定時好康送給你❤
：https://bit.ly/2MxzhdZ","1572951587","https://l.facebook.com/l.php?u=https%3A%2F%2Fwishnote.tw%2Fshare%2F120226&h=AT2QSUrutYzUrDY_euHVmGfopypmx5HpLhpn9SEFWnnBGWS1i-y_D7v2eFjlaWbApkeEZ3c7vZJWY711cpRj_mS8Khz_hT3_xWKo2vmDVa2LCBBAOHeq7BswfjMlCeWg05QR67MmhO4vMOV0VcQxnF2MfVhiUUe9bc2SK29nxuO3WDOzSQyYrMELcn65hhdPSLvcihJ-sWyB81iYlWArpuUyNf_K8nHx-AaFuveta9qvRT6wbqF0Q0p_olVk-OpnScx2Ih6yG2cKtTouUcc_4ta7b1JLJXc38UGVLQhEYYkQMFmkPv2Jx0w0pTX6md4zSu9dkzNZp9qLirpQJWt502rfHIWsxEe5XdDrwLVLDR9NbctP8_4BEYcAM3flDD4Agn-wAKTXeVAsROL5dYWqTmluHNYz3ErYhVj5i7VvO7KEplv5ULhDTnDm_tUGrBRSN07l67eKYJT9eU-xfW6m1cFfV9-y88vfFdcWEXt3kmHVDGEKmQqlPtPMi2GBVKvwC4C0hL8yPhNghOelr0eh198s7gC6_TJ6pVRTe6nGSiYYWhspYFEY5etV40zCGuRV3d0n-DvRYy4O0Ey9rOtsWlOp5cgePv9xjMYV-MmfgWry9NoVYDQozHkdbCFNPmQq0TKgv9pv5HE6ZN6I","https://external-sin2-1.xx.fbcdn.net/safe_image.php?d=AQDMdnT4WNIlHkL4&w=540&h=282&url=https%3A%2F%2Fcdn.wishnote.tw%2F900%2F2019%2F10%2F14%2F900_120226_1571039876.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQAcu_0knduOJf5P","Image may contain: one or more people and people standing","空白期幾乎長達十年！Super Junior終於全體回歸，神童演唱會曝心聲：SJ再做也不知道幾年！","要一直長長久久走下去！ Super Junior今年出道第15年，不過光是成員們的「空白期」就足足用了10年，靠著自己名字的演出和帶著新專輯回歸的韓國偶像Super Junior，也在首爾奧林匹克公園舉辦了單獨演唱會，與粉絲們分享了這一路...."
"https://www.facebook.com/wishnotekstar/posts/2373702716073304","1572170436","但其實小編也覺得人多的好處是這個沒錯XD
#SEVENTEEN #團員 #團結力量大
_________________________________ 
FB看不到的精采消息都在“韓國有事嗎""IG！ 
現在追蹤各種韓星資訊及贈獎活動都不錯過❤
：bit.ly/wishnote_kstar 

 想收到最新最快的韓國消息嗎？ 
快加入Twitter還有不定時好康送給你❤ 
：https://bit.ly/2MxzhdZ","1572951587","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.wishnote.tw%2Fshare%2F120136&h=AT0NAIhbJ7eGJD_8L5HID4OQvlAdkGyfgUl9TzmC681xS3h4Wdd_zNQ29eckauJ062fLD5FSD8RZMnQlxOez2p2nLJinz4uFRnXcwel2shRzBqdiGHh2jC9S2NIZY3vLuduHj4xid6lul3I4n0NqsxRi3R8MEsl8yueBTR2JXEyrv2f_HaIh9oXzVyZnpucOgJMBckzSwkJOjT8jNOfjrC4JHembMlfztGPxaz3TdQ0VgY4IoCFh5uufl6z-gk-O4ABGAA5RZMrw-aqH80HlXw74V3PI0eBHc6c1MKxnd0KUnIVSLNS3PwaaiijmlpL2G66Ienr7wsM8ujZkTPfJNBKzgMwiuOyMB2wi-MJFVyAH-iFXQG_ytAeFpBZ_N4bWahFjnNorX-sBrmu6iXe4CmIp61LSQ0lHPQNRiEiQL3Ll4UW3SEMLDqy6ED1Ow34QU_vXkxMUl8q8uBotfQJQ_xiHfpTrAAYrcSd-j4Rg5gom3FjVdvmddRCb16S4v1LhCzUmyk0CPryPBX6YyzB4Qk4pDk_WXpG-71DLfehLijGzuGfxoIdwUwGgdj8qT970arYZu9mT68C-OlOk_eKtFHHEU5w9W3DgKVvwYkDxSBOADIP4SlbJ8Ls5vUHrMJYUvAWFOx4vsgpo9kN8","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQCHDGU95Nbx0dnQ&w=540&h=282&url=https%3A%2F%2Fcdn.wishnote.tw%2F900%2F2019%2F10%2F13%2F900_120136_1570980607.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDc7uh-CDnPbsVy","Image may contain: one or more people and people standing","SEVENTEEN成員自爆人多好處卻差點釀成危機！隊友聽完嚇傻，瞬間反應根本神救援！","但其實小編也覺得人多的好處是這個沒錯XD 還記得小17們剛出道受訪時曾提及「成員多的好處」嗎？當時HOSHI認為成員多的好處是「力量大、向前輩問好時覺得信心倍增」，總隊長S.COUPS也認為「人多更容易讓別人記住SEVENTEEN這個...."
"https://www.facebook.com/wishnotekstar/posts/2369700379806871","1572274804","衝動之前請先閱讀手則 👀👀
#Me妃 #避孕觀念 #請牢記在心
---------------------------------------
✨趕快來追蹤我們的Instagram！更多粉專看不到的精彩內容都在這裡！
https://goo.gl/eV5ppB
💖關注 WishNote Me．妃 💖解更多美妝、時尚、生活資訊💐","1572951587","https://l.facebook.com/l.php?u=https%3A%2F%2Fwishnote.tw%2Fshare%2F120115&h=AT38lF4UpQKWJ4xp1lNnX-_NyCb0lhC7nL4gJJvdIEs34EpYpwRdD5E7aatAohR2CXI5yGD_AX1i8ADxgGP-SHfOKkT_HBW_38-2ZewRjz6P8lnkY-GoJFqJjFHNpIQU-whXFOzPpono30-eRYU7U4vG-5czyTJ6WBfNsOOiSnQNHIh_5gQ6D94qt_A2LYO68WGI7TdJSpPqO30N1wqcA-quKjb2WI9CKfpv1uZmNtpJByycQI-A0A7_YRaerAs_LluDXTeavtLp5mASustQpEuufnIdiBvOoLyN_vRXcKHZk116NnN1QEbHlXt_DHOMFnaRPnjtlOb5AngVO5egQtSh4pshE6yHOMNYnItgMEhmRuRPYxvxsuiwMPONpMuLSo7xsyDlStGYt1Yhn_-N-w2mEKmAPEAvwbLC_8RrAFuaYYl8G_ykjn_jLdag_1LHQllC1cjuZukcKLKFpqb659KXm28JMiOqCWtDim2ySPldb7FvZgfTrjjW9uW90W_yCG-jz-G_fehA86AphODWJHGyt0IpwZnddUOMjWiLtyzT-5vIOXGlqfH9pvD0Fwz-vvAKmR0MWdODmAekjpTaUqPYa_7shTROC7DtRiqq3rVWHHxpcTX9AVGMS5U_kC0_X00tqpqhU37bbGY8","https://external-sin2-2.xx.fbcdn.net/safe_image.php?d=AQC9NEe2eoT50LR5&w=540&h=282&url=https%3A%2F%2Fcdn.wishnote.tw%2F900%2F2019%2F10%2F14%2F900_120115_1571047935.jpeg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQB7DHuKIc7N1oVX","Image may contain: one or more people","90%的人都有的NG想法？8個超錯誤的避孕觀念絕對不能犯！","性愛是一件很奇妙的事情，有的人一生中不能沒有性愛，有的人卻只要愛可以不要性，甚至有的人還會因為害怕懷孕而避免性愛。但是，真正的避孕觀念只要對了，基本上就有90%安全度，但是下面這8點錯誤的避孕觀念，你絕對....."
