url,posttime,text,crawled_time,attachment_link,attachment_img,attachment_img_alt,attachment_title,attachment_brief
"https://www.facebook.com/zzhr02340/posts/2577988518890878","1569374038","【活動分享】
現在天氣很舒服，很適合去古亭河濱走走喔🌷🌹

 #臺北市政府工務局水利工程處
#撩妹金句拿大獎",1579223020,"/TaipeiHEO/photos/pcb.2585731538174455/2593103344103941/?type=3&__tn__=HH-R&eid=ARCQulP9BQfWf6brPw3V7Zp22emzOnHnkkV0T-H4dwOBUlOGx8G-Zk_szgnoJP_Hf3x2AsHsmCA_dlKG&__xts__%5B0%5D=68.ARA1dbHixisEk2oiZRbG_yv7PlDCmZLp2x4SXwwgTsD7rtxrWUIavLDbqnGwKybJz7YLbObKMNqit4BDxWWwlgccQvx-50732bkofMmts03p_ZvlVkIe8vVz-oRmzsZe4xmqPur4Rkq3ZnMmLztVp9HGKjL-kXmYNvcqeS5OP3v-URaUAB3XNs3aXvf8QynqkGHTeJwp05qWUsWVRjL0gjXNDfUNJbDFHh5M1ADVP_01dOhQWdBIPB-T6z0VguoVmQgci0kniewETreGoIX3LWtAi8S45gME-hRfmvU3IijznBenyWdWyoDbGs_IT81A8DZ6UXnJUOvTzoipJeqbkBQhLFBWBN1a1dGLqiip0mhG-PawhTkaUeqdWkj7SeCnTMFIOxmvjOc0XZOawIu_MBqrUWsqfruAn6UTi_Mx30oIsdwv82IWH9Y3Uy8-rtwkZrzMKt4NzIlyqPqopA24t3WNDY09FIINvMOp-V_HLwPgUXnkb6KBsHZ0","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-0/p235x350/71922589_2593103347437274_2235854653109567488_o.jpg?_nc_cat=109&_nc_ohc=kMLHaZ5X6CAAX-vQu5_&_nc_ht=scontent-sin2-2.xx&_nc_tp=1002&oh=82b1821aa41cc4c241672f88ead81a13&oe=5E91B78F",undefined,"戀戀水綠 臺北水利 Taipei Hydraulic Engineering Office",""
"https://www.facebook.com/zzhr02340/posts/2033828133306922","1540352618","","1571208651","https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.youtube.com%2Fattribution_link%3Fa%3D9s-OpisAmYk%26u%3D%252Fwatch%253Fv%253DYV1SwvIpeMI%2526feature%253Dshare&h=AT1qdyZiPE8ZSpK7nVOv3_QMKOIhkcXOSJvt0NlBUdpv09WDe3pz22UoI9uvrmPPa9b3BRJHfWDa185hpM0DjRn3Yl7iFGVVKiIcsqUyqc3UfIEAdSevR-j1U9_E_YjaP7cPdU3gvKPGZY13bIwK7S9FyThCQuWG1eOjEgD5o5Pbo6kWnFt-MqgJcKTSEvkuikFiwLMvz9UBg9sJHv6DNeu3C_31-eY6hIOVEf70xKP8EbpF4xD5AFGl6XKirWFJTlqrXaqq8ZV2-pWEdtPKJ0bZA2a04QFL-v3ludsUGQAeqf-avvC0sugGgN59kFWpGMoBguRzdpD3096wa-QGcUdvEcXUyT__ebNTGY1BpPnrYqN37dgXMiJjPFXixuK8FyAcvlEgoo2b05xoTjOaB7LSm2FOqPmYcWt2YF6MH_ABuQE36oTG0C7cQ_IFfyg2lJy9rAS4biTLSzYq7-vcMdafXZXwID2eaHlTYXh0Xp2KCVYu2S-mhozc4dO6uafAELEC0grobARN7JTTNJ1Lb3F8k61Grnd5NC_vk0nLtY_RxHddudHigIoPBiV9WwHLhaxjyEP0l7kDkZiK561Gl3ctksZWemuLy7_xmIbD028HiTA3XRbjQMumgcBe0_YYZ9ihXeOlvCjNouDq","https://external-sin6-2.xx.fbcdn.net/safe_image.php?d=AQBZ_AiCmfQoYHz9&w=540&h=282&url=https%3A%2F%2Fi.ytimg.com%2Fvi%2FYV1SwvIpeMI%2Fmaxresdefault.jpg&cfs=1&upscale=1&fallback=news_d_placeholder_publisher&_nc_hash=AQDHgTRCEyIAy3dP","Image may contain: text","公投18就開始(國語)",""
"https://www.facebook.com/zzhr02340/posts/2345510815471984","1558404699","108年度「出生、結婚、遷入、離婚及死亡5大類生活實用手冊」電子書出爐囉🎉🎉🎉
有興趣的朋友們可以到臺北市政府民政局官網下載喔
👉https://bit.ly/2WdsR9j","1571208651","/zzhr02340/photos/pcb.2345510815471984/2345508552138877/?type=3&__tn__=HH-R&eid=ARDvqncUTBHJRIQbwxBYUdWFjdYbUVbCdLGtlsPh7prTBGgFCmwLfOuEXKS4C_Py12cTQtrGpkn866O_&__xts__%5B0%5D=68.ARCBuA-NhAYzUXDB3PcXVVv1BDsFUUF5n2d9O1wUA9pGted2JznUkYu4qIqeIvrOe4rOFueebsiGu5wN7E3ut7eM4JfK_sQbg12wtmiHFgDHOd3Zd4GC7eA6-NrGyiuv2eVBDzBaL3sJPIot_VAU6ulbH0pw1LQaLguoZpCcnvB-0sQIqlc5ScJmJCITpFhpIkU1BlvGI5XOS0PDfznX-V-lK1np7hp241gozYYwl0ALLEvVrloEuk_kvnAAJcCMhTVYBRfLLI7I6OWn1DQ8QHfTkLfrl3dqaMHh4sKvk4Gmt1xS8NANI9w_rp9bZuxtPyJdm2NA7TW_Ht8oZWlucdzO5g","https://scontent-sin2-2.xx.fbcdn.net/v/l/t1.0-9/60882696_2345508555472210_519915283058524160_n.jpg?_nc_cat=104&_nc_oc=AQnuYNVurwnDewJIippwzXMaPTXR6JrdP-U7gYVWR3VIzioj38NKAGboJ3FQ9-66Wvs&_nc_ht=scontent-sin2-2.xx&oh=2b16dde55a0a297b0b012359fcf52043&oe=5E60B576","undefined","2",""
"https://www.facebook.com/zzhr02340/posts/1731440880212317","1520220678","『參與改變，從你開始』
小編看到懶人包寫著
就算畫在餐巾紙拍照上傳都歡迎耶!!!
等會吃飯來動動筆🤣🤣🤣","1571208651","/moi.gov.tw/photos/pcb.1954067941288266/1954066457955081/?type=3&__tn__=HH-R&eid=ARCotaojw230jmlX_kLWbkJHPTMkeiIi4NLzIQzMy1LnorlRiB1v5-Rx7Kmnj8KL-bEbUCYddK3rNRYL&__xts__%5B0%5D=68.ARCx47FjvTpHCSX3UkLmUEMjzjFvilHiWRphgXlkb-_k7Mv0uFce9km9nvurhT56QDg4TpAnxpKDnTUg6QmQ-0-Nveg4EMOkvJRphMjjh_N2mumn4CtgjbJJZM2KyTYFOZRh46THl3qNHjCPwpAF8RiXfyOxsO64UIzoA4AwpBU4B81lIWMKWuDhy5aA7gL1xmQLAyLvj_XKH-1a46P2Eqil0c1GLIHbgFlSo13LbX1CTtL8qskbG5IfGBwNyCah2mWOQ-X4YYy4MO7tzU3WeP2Uz8KDHcXepqv34RbXw501USFSs9PjhcNpKpQTNlZI-cBEYYDSWaAsWU8G9-r9yM5Tszh8EDmCyxd2ij3hhL2ZNtx4J510pgZDYN50IaDQp4Fyhm3rTqM13PZIUfpuHWBtuBdTuFPv_7SiWYZ6jpzt8EXRM8E-1KubjHdmALmUnNAzScmlcQWx4_6ZqI_4y4znerG2yypczevKU0TWl8mb51wtS3j6qk0n","https://scontent-sin6-2.xx.fbcdn.net/v/t1.0-0/p526x296/28167285_1954066457955081_2013349238439301289_n.jpg?_nc_cat=107&_nc_oc=AQkWOvdLwCqCL6RYA8f-SVaj8sLpf4w1L8pKLkKa2h5ADQNzaB9twxNb02qu4KC-iks&_nc_ht=scontent-sin6-2.xx&oh=8328262c8fbe1021d40b17af6199a69c&oe=5E2836B8","undefined","6",""
"https://www.facebook.com/zzhr02340/posts/2462381360451595","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"https://www.facebook.com/zzhr02340/posts/2606243576065372","1570600112","國慶花車嘉年華官網👉https://1010funtaipei.travel.taipei/",1579223026,"/events/1160552750808085/?acontext=%7B%22ref%22%3A%22108%22%2C%22action_history%22%3A%22null%22%7D&__xts__%5B0%5D=68.ARA7mhlzkznqv412ESVx9nUX4SwAWN4a5FfxbynOToVjNIk2eFXR761BPegbrDAvnOnqHNiuLzo12NEAohT4mXgKZH6oZ6ETLTgJ-vi-wegvbsZHdXD2_cA6qlkGzColPfgSIg_bIIWd0wyQ1rMQhsiDJgDPbbIW_nYY34MNPAvJ8BH0K0kWN20K2oTeEJ5Fa_SmcADpyb1hAByODHXSngTqTwaA8-XqNfXrvWxZXGjOsEZf-W4jS2r8A0sfCCkKsqtz9V6t2y5y_c2BqtvlrOfOgBWbUxEq9aGlEe5FtzlCdSzJJoEjQ3hjKtt5FRCoOCjCb-Ksch-Qla0ErVKfrq8WgA&__tn__=HH-R","https://scontent.fbdq2-1.fna.fbcdn.net/v/t1.0-0/c0.0.559.271a/p526x395/72178716_2690289144328908_3673178979273015296_o.jpg?_nc_cat=111&_nc_ohc=SWWN6CAroacAX-U1sdX&_nc_ht=scontent.fbdq2-1.fna&_nc_tp=1003&oh=ab3003466a54d032ffaf33c3a2494ac2&oe=5EDA2F33","Cover photo of event 10X10 玩台北-國慶花車嘉年華","10X10 玩台北-國慶花車嘉年華","中正紀念堂民主大道"
"https://www.facebook.com/zzhr02340/posts/1892426467447090","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579223011,undefined,undefined,undefined,undefined,undefined
"https://www.facebook.com/zzhr02340/posts/2326680194021713","1557449708","國防教育宣導~~有興趣的朋友們可以參加😁","1571208652","https://www.facebook.com/aode.mnd/?ref=nf&hc_ref=ARQ9lJSne3MWCSHlSJM2wmPFQnZqcbDaR8U1oVP1AgxkoLbjHR4Hp8jvTt1wlBZA2M0&__xts__%5B0%5D=68.ARA9zEFaAWxatVb2sZ9HtHqZcucQvQ_22bAwTZc37h9k2gdf_qCGfL7DSNqBxlaLw77Qs01ZCspxq-pKsJxGisVG2b_HbBjvGitBHXPSFV2SNadWtaDQN4cU6fuLo5bRY3XXkVbwC-ATNj5iQrRGWc_ZBNMASv25Y1Y75aievjzm1K4AZBIg1QyWHgwzqwg8MYjfgK1DwwzNyMm7JNJb2MzQrpur1LC2ARzfIYFI6Z5U0aANkR63hvulHJXLheOb9kY168tJlZVd2Lteesc-UNgB1aOdWOtUmKhBgtjUtp5q2u0dXAdJ6LnYkVUg7iP1FIbtzZI5Fg7CUM_ASjuY8DB2u68RJYIVybUgm0AJ--ENB6hJRox-4sZlVU12BugAIQg9Wap80XEzAL-6e-j1tRK7CJoKSGH4R0CAH-cCIIwl7RuxZU0OYUAZjVsTRGWp0C6GhRfj6ttBaAYnjLRKlPfW_1TX9xfv6sdm3OBuDfO9GKGTh1LlxT9N&__tn__=%3CH-R","https://scontent-sin2-2.xx.fbcdn.net/v/t1.0-1/c1.0.32.32a/p32x32/1551476_235344076651941_192742043_n.png?_nc_cat=102&_nc_oc=AQnAU8dmdLlS-G2xZqLOVjuinywIxXIXkCbfcgKlbcsUZAGWTwFvzK-RPwKDm6KFqQc&_nc_ht=scontent-sin2-2.xx&oh=b24bbb5d97dab077f48a0c846c29559f&oe=5E30974C","全民國防教育專頁","全民國防教育專頁",""
"https://www.facebook.com/zzhr02340/posts/1697552633601142:0","1517822635","🎉🎉中正戶所新春好禮『旺福袋』送給您🎉🎉

 👉活動地點：中正區戶政事務所(記得是到我們新厝華山市場樓上7樓，不要跑錯了)

 👉活動時間：107年2月13日及107年2月14日

 👉活動方式：凡是於這兩天到中正戶所辦理【出生】👨‍👩‍👧、【遷徙】🏡、【結婚】👩‍❤️‍💋‍👨及【同性伴侶註記】👨‍❤️‍👨
👩‍❤️‍👩的民眾，於本臉書粉絲頁打卡按讚👏👏👏即贈送特製「旺福袋」1個，限量30組送完為止。

 福袋內容除了春聯、紅包袋、筆記本及棒棒糖捧花甜筒等多項好禮外

 ❤️【出生旺福】加贈環保購物袋，讓新手爸媽外出時，便於攜帶嬰兒用品
❤️【遷徙旺福】內含陶瓷刀具組，作為恭喜民眾的喬遷入厝禮
❤️【結婚旺福】多了乾柴烈火小禮盒，祝福新人愛的濃烈

 不論您是要為前世情人報戶口，與今世愛人互訂終生，或是與至愛的家人搬新厝，歡迎於2月13日及14日情人節🏃‍♂️🏃‍♀️
前來戶所參加活動，一同歡慶年節，接受祝福並且留下幸福的記錄。😁😁😁","1571208652","/zzhr02340/photos/a.144800298876391/1697552633601142/?type=3&eid=ARD3qiEUhQgMX9agjhufTXv934LgEDmoo9UtvTXXGtSfPuB_uQW3EU55EeU8hyDElADiBqtN_UOD7YF9&__xts__%5B0%5D=68.ARA83qvq9vfaBST9TMLD7s5kJswJnzYa9MU44Ni0wffbjbZG1RJfJfQx53cP0DIeIj0YM7Rvqw2Ia4flfgchUq3O1dqS3_KP_CGlr0NHLnYmbyMn-91IjZgMpBEx086CfoZlJE7LtFDcmazDiyhkUvIyzFA8M7mEehnqGTXs9y4ia3bedLxb3wcvSiJFeIWtZ2a0LTalFdXlHEcW3kf4ykAOEKQHmKqLFJL3rUprsGNircEYHU90zwOrfBNZHSKhRqwKewRyEX1v26ZICVk0G4NzsIWCgF5qAmJs47zzuLduytvaPUOdk5ezylaiKJx_1qwU23mlq67SmHWiimwp4qLGFA&__tn__=EHH-R","https://scontent.fbkk5-4.fna.fbcdn.net/v/t1.0-0/p403x403/27540887_1697552633601142_3950692017602199345_n.jpg?_nc_cat=110&_nc_oc=AQnihhif8yid-uDtMYrWM1OOZLrWqFwhSx6OhsmWnOfhaRMb4T94LP6Xi2TEEK-2Qu4&_nc_ht=scontent.fbkk5-4.fna&oh=39d7c2db290da3331cb700b1a2f52b7d&oe=5E5F197D","undefined","",""
"https://www.facebook.com/zzhr02340/posts/1904186666527016","[Error]: TypeError: Cannot read property 'attribs' of undefined","",1579223011,undefined,undefined,undefined,undefined,undefined
